[00:00:00,000 -> 00:00:02,000] 坐坐坐 你这边没事的
[00:04:45,480 -> 00:04:47,480] 就是疫情开始20年初1月份
[00:04:48,240 -> 00:04:50,800] 然后就说这个数字人是不是应用
[00:04:50,800 -> 00:04:51,879] 是不是数字经济
[00:04:51,879 -> 00:04:53,279] 他算不算数字经济
[00:04:53,279 -> 00:04:55,279] 那时候也不太懂你知道吗
[00:04:55,279 -> 00:04:57,480] 数字人也应该也算吧
[00:04:57,480 -> 00:04:59,680] 是不是可以跟粉丝们说
[00:04:59,680 -> 00:05:04,480] 我们国家的这个智库都是怎么写出来的
[00:05:04,480 -> 00:05:06,839] 对其实就是我们是更偏向于我们国家的这个智库都是怎么写出来的对对对
[00:05:06,839 -> 00:05:09,839] 其实就是我们是更偏向于
[00:05:09,839 -> 00:05:12,240] 我们不偏向于这种学院类的
[00:05:12,240 -> 00:05:14,160] 更偏向于那边
[00:05:14,160 -> 00:05:17,319] 更偏向于这种行业应用类的
[00:05:17,319 -> 00:05:19,040] 对 更落地的
[00:05:19,040 -> 00:05:22,759] 对 然后后面就是大家就搞那个
[00:05:22,759 -> 00:05:26,800] 就是说这个数字人这个觉得挺有意思的
[00:05:26,800 -> 00:05:31,279] 然后正好呢就是当时赶上这个抖音啊直播很火
[00:05:31,279 -> 00:05:33,439] 说那能不能搞直播啊
[00:05:33,439 -> 00:05:40,240] 然后就这么跟那个北京我们G1团队我们就一起合作去做了这个数字的事
[00:05:40,240 -> 00:05:42,399] 然后从那时候开始就一直在干数字人了
[00:05:42,399 -> 00:05:44,319] 就是一直在做
[00:05:44,319 -> 00:05:46,300] 但是我觉得还是我们一直在干数学就是一直在做但是我觉得还是
[00:05:47,399 -> 00:05:48,699] 我们一直在讨论啥
[00:05:48,699 -> 00:05:50,699] 就是它是不是一个伪的伪需求
[00:05:51,399 -> 00:05:53,100] 我们一直在讨论它是不是伪需求
[00:05:53,699 -> 00:05:58,000] 然后当时20年的时候跟很多人在讲的时候
[00:05:58,000 -> 00:05:59,100] 大家都觉得很新鲜
[00:05:59,100 -> 00:05:59,500] 对
[00:05:59,500 -> 00:06:00,000] 很开心
[00:06:00,000 -> 00:06:00,800] 然后这个
[00:06:00,800 -> 00:06:02,699] 有一种风口以过的感觉
[00:06:02,699 -> 00:06:03,100] 对
[00:06:03,100 -> 00:06:03,899] 就特别爽
[00:06:03,899 -> 00:06:04,699] 有这样的讨论
[00:06:04,699 -> 00:06:05,600] 特别爽
[00:06:05,600 -> 00:06:07,800] 然后过了到去年
[00:06:07,800 -> 00:06:09,759] 就是很平静了
[00:06:09,759 -> 00:06:11,560] 就没有那么多人讲了
[00:06:11,560 -> 00:06:13,040] 然后今年突然又火了
[00:06:13,040 -> 00:06:15,079] 就讲这个AIC的事
[00:06:15,079 -> 00:06:17,560] RooftopGVT就是又一下又搞火
[00:06:17,560 -> 00:06:19,439] 就很多人来找我们
[00:06:19,439 -> 00:06:21,000] 然后还有个更关键原因的
[00:06:21,000 -> 00:06:22,839] 就是他有个做模式的公司
[00:06:22,839 -> 00:06:23,920] 就是那个归基智能
[00:06:23,920 -> 00:06:24,800] 他在做模式
[00:06:24,800 -> 00:06:25,680] 归基智能对然后做模式归机智能
[00:06:25,680 -> 00:06:27,680] 对 然后他就一直在搞直销
[00:06:27,680 -> 00:06:29,680] 就是发展的很快
[00:06:29,680 -> 00:06:31,680] 因为是微商的那帮人在搞
[00:06:31,680 -> 00:06:34,639] 然后很多人就在问我们说你们是不是也做这个
[00:06:34,639 -> 00:06:36,000] 我是是也在做
[00:06:36,000 -> 00:06:38,160] 你们有没有那个直播机
[00:06:38,160 -> 00:06:39,439] 我说没有直播机
[00:06:39,439 -> 00:06:40,959] 他问我那直播机
[00:06:40,959 -> 00:06:43,040] 我想买个直播机你过来播
[00:06:43,040 -> 00:06:44,720] 我说哥我说那个直播机
[00:06:44,720 -> 00:06:46,879] 这个相当于一个显示器没啥必要你直接买个显示器买个直播机 你过来播吧他说哥 我说那个直播机这个相当于一个显示器 没啥必要
[00:06:46,879 -> 00:06:49,199] 你直接买个显示器 买个电脑得了
[00:06:49,199 -> 00:06:52,800] 我说那你这不专业 你没有直播机 那行吗
[00:06:52,800 -> 00:06:57,600] 他说那个很贵 直播机 我们很多人来找我们
[00:06:57,600 -> 00:07:01,439] 直播机多少钱 要我们说出上价四五千块钱 五千多
[00:07:01,439 -> 00:07:06,000] 然后卖六七千 然后他们卖十几万然后做分成模式
[00:07:06,000 -> 00:07:08,720] 就说非得要直播机
[00:07:08,720 -> 00:07:10,480] 我说我们要不要给你搞直播机
[00:07:10,480 -> 00:07:11,519] 我觉得挺挣钱的
[00:07:11,519 -> 00:07:13,839] 特别有意思
[00:07:13,839 -> 00:07:16,160] 反正今年确实很火
[00:07:16,160 -> 00:07:17,040] 但是我觉得
[00:07:17,040 -> 00:07:18,560] 封口商之后有很多韭菜
[00:07:18,560 -> 00:07:19,680] 对
[00:07:19,680 -> 00:07:21,120] 然后这两天不也是吗
[00:07:21,120 -> 00:07:22,079] 跟他之前说过
[00:07:22,079 -> 00:07:23,360] 就开了几次会
[00:07:23,360 -> 00:07:24,319] 站在台上之后
[00:07:24,319 -> 00:07:25,759] 下来之后很多人扎你微信
[00:07:25,759 -> 00:07:28,720] 老师我要搞直播 我要搞数字人
[00:07:28,720 -> 00:07:30,399] 就当时很开心
[00:07:30,399 -> 00:07:33,120] 但是下来之后我觉得还是有点虚
[00:07:33,120 -> 00:07:34,720] 还是有点虚
[00:07:34,720 -> 00:07:36,319] 追风口这种东西吗
[00:07:36,319 -> 00:07:39,519] 就是感觉没有那么实在
[00:07:39,519 -> 00:07:41,920] 因为我其实我做的很多事基本
[00:07:41,920 -> 00:07:44,000] 你看我做的都是很实在很落地的事情
[00:07:44,000 -> 00:07:45,800] 就很基础的一些东西
[00:07:45,800 -> 00:07:50,800] 对所以怎么从数字人变成了开居酒屋
[00:07:50,800 -> 00:07:53,300] 对这个时候开居酒屋的时候就很有意思了
[00:07:53,300 -> 00:07:54,300] 居酒屋是啥呢
[00:07:54,300 -> 00:07:59,100] 就是一个哈尔滨的也是我们一个老乡一个朋友一个女孩
[00:07:59,100 -> 00:08:01,100] 然后在疫情期间开了个居酒屋
[00:08:01,100 -> 00:08:03,600] 然后卖得非常好特别火
[00:08:03,600 -> 00:08:05,000] 然后过年期间
[00:08:05,000 -> 00:08:07,199] 他就自己两口子在家
[00:08:07,199 -> 00:08:08,000] 没什么事
[00:08:08,000 -> 00:08:09,199] 因为东北人我们喜欢聚
[00:08:09,199 -> 00:08:10,399] 就是热闹
[00:08:10,399 -> 00:08:12,000] 过年我们就叫他一起
[00:08:12,000 -> 00:08:13,199] 然后一起吃饭
[00:08:13,199 -> 00:08:15,199] 他就从头到尾给我算了笔账
[00:08:15,199 -> 00:08:17,199] 我说现在这个回报率挺高的
[00:08:17,199 -> 00:08:18,199] 可以做
[00:08:18,199 -> 00:08:19,800] 多久回本他给你算的
[00:08:19,800 -> 00:08:22,399] 他一年这200%的回报率
[00:08:22,399 -> 00:08:23,800] 那你回本
[00:08:23,800 -> 00:08:26,399] 对他是三四个月吧
[00:08:26,399 -> 00:08:28,079] 四个月基本上回本
[00:08:28,079 -> 00:08:29,839] 四五个月
[00:08:29,839 -> 00:08:31,600] 所以说回本很快
[00:08:31,600 -> 00:08:32,799] 然后后面我们就
[00:08:32,799 -> 00:08:35,519] 这个觉得
[00:08:35,519 -> 00:08:37,600] 当时就突然觉得什么
[00:08:37,600 -> 00:08:38,799] 觉得中餐干不了
[00:08:38,799 -> 00:08:40,320] 自己吃不到那个苦
[00:08:40,320 -> 00:08:42,240] 中餐太累了
[00:08:42,240 -> 00:08:42,799] 对
[00:08:42,799 -> 00:08:44,080] 油烟又很大
[00:08:44,080 -> 00:08:44,480] 对
[00:08:44,480 -> 00:08:45,200] 垃圾又很多
[00:08:45,200 -> 00:08:45,919] 自己干不了
[00:08:45,919 -> 00:08:48,000] 然后我们就想做一个模式
[00:08:48,000 -> 00:08:48,799] 什么模式呢
[00:08:48,799 -> 00:08:54,399] 就是说现在年轻人创业的人很多
[00:08:54,399 -> 00:08:56,320] 而且离职的人很多
[00:08:56,320 -> 00:08:58,000] 其实就业率其实没有那么好
[00:08:58,000 -> 00:09:02,399] 但是你说让这些年轻人说干中餐
[00:09:02,399 -> 00:09:04,000] 或者干一些其他的行业
[00:09:04,000 -> 00:09:04,799] 他也做不了
[00:09:04,799 -> 00:09:05,100] 我们想做日料日料就是比较有调餐或者干一些其他的行业他也做不了对
[00:09:05,100 -> 00:09:06,200] 我们想做日料
[00:09:06,200 -> 00:09:07,700] 日料就是比较有调性
[00:09:07,700 -> 00:09:08,899] 比方一个小费
[00:09:08,899 -> 00:09:11,500] 然后这个学习的又比较快
[00:09:11,500 -> 00:09:13,899] 然后大家朋友来自己去塞
[00:09:13,899 -> 00:09:15,500] 又觉得很有面子
[00:09:15,500 -> 00:09:17,500] 然后这个投资又不高
[00:09:17,500 -> 00:09:18,899] 最主要其实投资不高
[00:09:18,899 -> 00:09:19,700] 对
[00:09:19,700 -> 00:09:21,899] 然后能问一下投资多高吗
[00:09:21,899 -> 00:09:25,399] 这个如果说在稍微位置稍微偏一点的
[00:09:25,399 -> 00:09:28,399] 可能30多万就能开一家
[00:09:28,399 -> 00:09:30,000] 然后位置好一点
[00:09:30,000 -> 00:09:31,799] 可能四五十万就能做一个
[00:09:31,799 -> 00:09:33,799] 现在一个一点点奶茶能吃
[00:09:33,799 -> 00:09:35,000] 加盟费就50万
[00:09:35,000 -> 00:09:38,600] 对 所以说做奶茶那个都这么高
[00:09:38,600 -> 00:09:40,200] 所以说你当时想
[00:09:40,200 -> 00:09:42,200] 哦 热调店是一个比较好高大上的
[00:09:42,200 -> 00:09:45,519] 或者说一个比较贵客单价的一个地方
[00:09:45,519 -> 00:09:47,440] 大家觉得投资非常高
[00:09:47,440 -> 00:09:49,440] 其实就是还好
[00:09:49,440 -> 00:09:50,480] 其实还好
[00:09:50,480 -> 00:09:52,399] 就是跟奶茶都差不多了
[00:09:52,399 -> 00:09:54,000] 所以你们是打算自己做了这个
[00:09:54,000 -> 00:09:55,679] 然后再加盟或者
[00:09:55,679 -> 00:09:57,600] 因为这是第二家店
[00:09:57,600 -> 00:09:59,440] 我们跟朋友那个他在福冈
[00:09:59,440 -> 00:10:00,320] 他有一家
[00:10:00,320 -> 00:10:02,480] 就这边我们属于第二家
[00:10:02,480 -> 00:10:03,919] 然后长沙有一家
[00:10:03,919 -> 00:10:05,799] 然后最近有几个黄河
[00:10:05,799 -> 00:10:08,240] 就想在深圳持续的复制
[00:10:08,240 -> 00:10:10,240] 因为我们的想法就是做什么
[00:10:10,240 -> 00:10:11,200] 做社区店
[00:10:11,200 -> 00:10:11,759] 对
[00:10:11,759 -> 00:10:14,399] 未来一定要颗粒度要小
[00:10:14,399 -> 00:10:15,679] 越来越小
[00:10:15,679 -> 00:10:18,159] 其实绝大多数的店死就死在
[00:10:18,159 -> 00:10:21,039] 去玩流量的东西就留不下来
[00:10:21,039 -> 00:10:21,639] 对
[00:10:21,639 -> 00:10:24,200] 社区店如果真的复购做好了
[00:10:24,200 -> 00:10:25,399] 活得很舒服
[00:10:25,399 -> 00:10:26,799] 对
[00:10:26,799 -> 00:10:28,200] 你看接下来基本都是
[00:10:28,200 -> 00:10:30,200] 事业就很明显
[00:10:30,200 -> 00:10:30,600] 对
[00:10:30,600 -> 00:10:32,000] 然后现在
[00:10:32,000 -> 00:10:33,600] 包括他老爸一直在说
[00:10:33,600 -> 00:10:35,000] 说一定把东西做好
[00:10:35,000 -> 00:10:36,399] 别急功近利
[00:10:36,399 -> 00:10:38,600] 其实也是我们也这么想的
[00:10:38,600 -> 00:10:39,600] 就是要做骨杯
[00:10:39,600 -> 00:10:42,000] 做周边的人群
[00:10:42,000 -> 00:10:43,200] 因为我们周边
[00:10:43,200 -> 00:10:44,200] 我们这个楼上里面
[00:10:44,200 -> 00:10:47,000] 基本都是小户型单身或者两口子
[00:10:47,000 -> 00:10:49,000] 男女朋友基本不算
[00:10:49,000 -> 00:10:50,000] 楼上公寓不开门
[00:10:50,000 -> 00:10:54,000] 对 所以说大家没事晚上就过来吃饭
[00:10:54,000 -> 00:10:56,000] 那天晚上吃到1点半
[00:10:56,000 -> 00:10:58,000] 然后有个女孩下了飞机
[00:10:58,000 -> 00:11:00,000] 1点半和2点过来说
[00:11:00,000 -> 00:11:02,000] 好饿 您要不饭吃
[00:11:02,000 -> 00:11:04,000] 都关门了 只有我们家开门
[00:11:04,000 -> 00:11:05,360] 这倒是情况开到几点你们我们一般到1点说好饿 您让我们饭吃 都关门了 只有我们家开门然后就到这吃饭
[00:11:05,360 -> 00:11:06,399] 开到几点你们
[00:11:06,399 -> 00:11:08,960] 我们一般到一点
[00:11:08,960 -> 00:11:13,039] 大家没事上下面来吃点饭喝点酒
[00:11:13,039 -> 00:11:15,679] 然后自己一个人玩玩游戏
[00:11:15,679 -> 00:11:18,559] 自己喝酒喝三四个小时这种
[00:11:18,559 -> 00:11:20,480] 生活不错
[00:11:20,480 -> 00:11:24,559] 反正我觉得挺有意思的
[00:11:24,559 -> 00:11:27,480] 从一个跨行业
[00:11:27,480 -> 00:11:33,000] 从正常的一个像类似于一个算是互联网公司
[00:11:33,000 -> 00:11:35,799] 然后也在做一个这样的一个自己的事
[00:11:35,799 -> 00:11:38,679] 就是从一个健身房
[00:11:38,679 -> 00:11:41,399] 就是一个做生意的老板
[00:11:41,399 -> 00:11:42,679] 做实体生意的老板
[00:11:42,679 -> 00:11:44,080] 变成了一个互联网公司
[00:11:44,080 -> 00:11:45,700] 然后又来开店
[00:11:45,700 -> 00:11:46,600] 对
[00:11:47,100 -> 00:11:52,000] 感觉就是起码有一个感觉就是互联网
[00:11:52,000 -> 00:11:53,500] 其实没有半毛钱的地雷
[00:11:53,500 -> 00:11:56,100] 对
[00:11:56,100 -> 00:11:59,899] 我去我另外一个同事和我一块
[00:11:59,899 -> 00:12:01,200] 差不多时间离职
[00:12:01,200 -> 00:12:03,100] 他也回美国了
[00:12:03,100 -> 00:12:06,639] 然后他又说他要去做一个AI方向的创业
[00:12:06,639 -> 00:12:09,200] 然后说这个现在风险蛮大的
[00:12:09,200 -> 00:12:11,120] 我说你这个风险其实也都不大
[00:12:11,120 -> 00:12:12,399] 你赔 赔
[00:12:12,399 -> 00:12:15,120] 就最后破产你一分钱都不会赔
[00:12:15,120 -> 00:12:16,320] 只不过是这个创业失败
[00:12:16,320 -> 00:12:17,440] 你损失了时间
[00:12:17,440 -> 00:12:19,840] 但开个餐馆你开杂了
[00:12:19,840 -> 00:12:21,759] 那你扣多少钱你赔多少钱
[00:12:21,759 -> 00:12:22,720] 是的
[00:12:22,720 -> 00:12:23,519] 对
[00:12:23,519 -> 00:12:24,320] 是的
[00:12:24,320 -> 00:12:26,000] 但是我发现一个问题是啥呢
[00:12:26,000 -> 00:12:27,919] 就是说自己全力以赴做一件事的时候
[00:12:27,919 -> 00:12:30,559] 说大家无论从顾客或者身边的人来讲
[00:12:30,559 -> 00:12:32,399] 他是能看出你这个态度
[00:12:32,399 -> 00:12:32,960] 对
[00:12:32,960 -> 00:12:34,879] 然后他能感觉到你整体的氛围
[00:12:34,879 -> 00:12:37,120] 然后就是他愿意来消费
[00:12:37,120 -> 00:12:39,200] 或者说过来捧场或者怎么样
[00:12:39,200 -> 00:12:39,679] 就是
[00:12:39,679 -> 00:12:41,279] 就是
[00:12:41,279 -> 00:12:42,799] 这个态度很
[00:12:42,799 -> 00:12:43,519] 对
[00:12:43,519 -> 00:12:44,320] 是这个态度的结果
[00:12:44,320 -> 00:12:44,960] 对
[00:12:44,960 -> 00:12:46,159] 它是一个态度结果那不像你做一个产品就是你很有态度很对对对态度的结果对对对是一个态度结果
[00:12:46,159 -> 00:12:47,440] 那不像你做一个产品
[00:12:47,440 -> 00:12:49,120] 就是你很有态度想做一件事情
[00:12:49,120 -> 00:12:50,559] 但没有那么的认可有时候
[00:12:50,559 -> 00:12:52,559] 太间接了
[00:12:52,559 -> 00:12:58,559] 就是他还我感觉还是没有那么直的去面对客户
[00:12:58,559 -> 00:13:00,240] 就是那么快的进行一个反馈
[00:13:00,240 -> 00:13:01,919] 不像一个吃饭
[00:13:01,919 -> 00:13:03,039] 大家吃的好就是好
[00:13:03,039 -> 00:13:04,320] 吃的不好马上就来找你
[00:13:04,320 -> 00:13:06,440] 就是很快你就可以改
[00:13:06,440 -> 00:13:08,440] 还是临明生济一点
[00:13:08,440 -> 00:13:08,960] 对
[00:13:08,960 -> 00:13:09,639] 然后对
[00:13:09,639 -> 00:13:11,639] 偏抽象的一种
[00:13:11,639 -> 00:13:13,639] 很高级的需求
[00:13:13,639 -> 00:13:14,159] 是的
[00:13:14,159 -> 00:13:15,159] 临明生济一点
[00:13:15,159 -> 00:13:16,440] 然后考虑的就快一点
[00:13:16,440 -> 00:13:16,960] 对
[00:13:16,960 -> 00:13:18,200] 那么多高级的需求
[00:13:18,200 -> 00:13:20,000] P图的需求很高
[00:13:20,000 -> 00:13:21,639] P图是高级需求吧
[00:13:21,639 -> 00:13:23,039] 自我实现的一类需求
[00:13:23,039 -> 00:13:26,000] 哇是的就是大家�级需求吧自我实现的需求哇
[00:13:26,000 -> 00:13:28,000] 是的是的
[00:13:28,000 -> 00:13:30,000] 迷生需求
[00:13:30,000 -> 00:13:34,000] 所以你们会出一个APP让我把那个P图给去掉吗
[00:13:34,000 -> 00:13:36,000] 以前很多人跑不出来
[00:13:36,000 -> 00:13:38,000] 其实这是个迷生需求
[00:13:38,000 -> 00:13:40,000] 不用不用 没什么
[00:13:40,000 -> 00:13:42,000] 但是你可以给我一个作弊码
[00:13:42,000 -> 00:13:44,000] 然后让我输入到APP里面
[00:13:44,000 -> 00:13:45,000] 我就能看到他之前的
[00:13:45,000 -> 00:13:47,000] 其實可以
[00:13:47,000 -> 00:13:49,000] 能力都肯定是可以的
[00:13:54,000 -> 00:13:57,000] 可以花十萬塊錢買這麼一個作弊碼
[00:13:59,000 -> 00:14:01,000] 對 全媳婦用的
[00:14:03,000 -> 00:14:07,600] 其實有很多其實挺有意思的我媳婦用的
[00:14:08,600 -> 00:14:09,799] 挺有意思的看完以後覺得很有意思
[00:14:09,799 -> 00:14:10,500] 是啊
[00:14:10,500 -> 00:14:11,600] 接觸非常非常多
[00:14:11,600 -> 00:14:12,799] 社區電視
[00:14:12,799 -> 00:14:14,100] 其實這個是我覺得
[00:14:14,100 -> 00:14:17,799] 當時想去開那個指摺寶
[00:14:20,000 -> 00:14:22,200] 不要被拆GBD取代是一個點
[00:14:24,000 -> 00:14:26,320] 我自己跟餐飲还是挺有缘分的
[00:14:26,320 -> 00:14:29,279] 包括我那个频道一开始就是为了做
[00:14:29,279 -> 00:14:30,720] 给餐馆做网站
[00:14:30,720 -> 00:14:32,320] 教餐馆怎么做网站
[00:14:32,320 -> 00:14:34,080] 因为我当时给一个餐馆做了网站
[00:14:34,080 -> 00:14:36,240] 疫情来了以后帮他们很多忙
