[00:00:00,000 -> 00:00:01,280] 我是在为资本家打工
[00:01:55,200 -> 00:01:56,400] 我們是真的有這些煩惱
[00:01:56,400 -> 00:01:57,299] 這些煩惱是真的
[00:01:57,299 -> 00:02:00,099] 那我們就認真思考他不是在這
[00:02:00,500 -> 00:02:01,099] 就是在那說
[00:02:01,099 -> 00:02:03,400] 我什麼我現在賺了好多錢
[00:02:03,400 -> 00:02:04,599] 我在科技行業打工
[00:02:04,599 -> 00:02:06,879] 然後我十萬年薪二十萬年薪三十萬年薪
[00:02:06,879 -> 00:02:08,800] 然後我怎麼天天不快樂啊
[00:02:08,800 -> 00:02:10,199] 我職業找不到目標
[00:02:10,199 -> 00:02:11,719] 我工作和興趣不那個是吧
[00:02:11,719 -> 00:02:14,039] 其實我們也不是一群矯情的人
[00:02:14,039 -> 00:02:15,680] 他就是會提二二兩的問題
[00:02:15,680 -> 00:02:16,080] 沒錯
[00:02:16,680 -> 00:02:19,360] 嗯 我覺得可以從這個角度來講一下這個問題
[00:02:19,360 -> 00:02:21,919] 其實我為什麼想去問這個問題呢
[00:02:21,919 -> 00:02:23,719] 應該說有這麼一部分人啊
[00:02:23,719 -> 00:02:25,300] 是非常非常幸運
[00:02:25,300 -> 00:02:26,599] 就是他們做的事情
[00:02:27,000 -> 00:02:28,599] 就是自己喜歡做的事情
[00:02:28,599 -> 00:02:29,800] 你看到了那些人
[00:02:29,800 -> 00:02:32,400] 你覺得他們這個狀態是很值得羨慕的
[00:02:32,400 -> 00:02:34,000] 但是你也看到了很多struggle
[00:02:34,000 -> 00:02:35,099] 你在哪裡
[00:02:35,800 -> 00:02:39,900] 我自認為是一個蠻喜歡工作的人
[00:02:39,900 -> 00:02:42,900] 就我覺得我做的事情是我喜歡
[00:02:43,099 -> 00:02:48,000] 我能從中得到很多positive energy
[00:02:48,000 -> 00:02:50,000] 太好了 我覺得我終於
[00:02:50,000 -> 00:02:52,699] 不是 我見到過很多這樣的人
[00:02:52,699 -> 00:02:56,000] 但是大家一般不太好意思承認自己是這樣的人
[00:02:56,000 -> 00:02:57,500] 既然今天你好意思
[00:02:57,500 -> 00:02:59,400] 那就請你作為我這方面的mentor
[00:02:59,400 -> 00:03:01,900] 其實在國內互聯網行業這個更明顯
[00:03:01,900 -> 00:03:04,800] 就是大家很痛苦做工作
[00:03:04,800 -> 00:03:06,900] 大家在自己的工作中找不到意義
[00:03:06,900 -> 00:03:09,300] 然後大家就是缺乏motivation
[00:03:09,300 -> 00:03:11,099] 包括覺得就是
[00:03:11,099 -> 00:03:13,400] 我是在為資本家打工對吧
[00:03:13,400 -> 00:03:15,500] 所以說我就要去抵抗這件事情
[00:03:15,500 -> 00:03:18,000] 我不要讓資本家控制我的時間
[00:03:18,000 -> 00:03:19,699] 但是在工作之外
[00:03:19,699 -> 00:03:21,699] 難道說服役也是我人生的意義嗎
[00:03:21,699 -> 00:03:22,900] 大家發現可能有一點
[00:03:22,900 -> 00:03:23,900] 其實也有一點
[00:03:23,900 -> 00:03:25,639] 然後就不知道意義是什麼了
[00:03:25,639 -> 00:03:27,879] 就是我是自我提高呢
[00:03:27,879 -> 00:03:29,879] 什麼這可能是我對抗焦慮的一種方式
[00:03:29,879 -> 00:03:32,580] 但是我不覺得這是一個很理想的狀態
[00:03:32,580 -> 00:03:33,740] 所以說ok
[00:03:33,740 -> 00:03:35,180] 那我今天就作為一個
[00:03:35,180 -> 00:03:38,580] 您就假裝我是一個對自己工作不滿意的人
[00:03:38,580 -> 00:03:39,639] 然後你來講一講
[00:03:39,639 -> 00:03:41,400] 你是怎麼樣子找到你工作的意義
[00:03:41,400 -> 00:03:44,780] 我覺得大家對於工作
[00:03:44,780 -> 00:03:45,039] 首先第一點就是所有義我覺得大家對於工作
[00:03:45,039 -> 00:03:46,439] 首先第一點就是
[00:03:46,439 -> 00:03:49,680] 所有人都會對於工作有不同程度上的不滿意
[00:03:49,680 -> 00:03:52,000] 我可以說我是喜歡工作的
[00:03:52,000 -> 00:03:55,680] 但是你說我是不是對工作100%滿意呢
[00:03:55,680 -> 00:03:56,800] 那也未必
[00:03:56,800 -> 00:03:57,120] 對吧
[00:03:57,120 -> 00:03:58,120] 這還是有不滿意的地方
[00:03:58,120 -> 00:03:59,439] 喜歡工作是什麼意思
[00:03:59,439 -> 00:04:02,479] 喜歡工作作用還是喜歡你工作帶來的價值
[00:04:02,479 -> 00:04:04,639] 還是這個工作本身
[00:04:04,639 -> 00:04:05,599] 是你覺得是有意義的
[00:04:06,599 -> 00:04:08,479] 都有都有都有
[00:04:08,479 -> 00:04:10,120] 就是認可他的目標
[00:04:10,159 -> 00:04:11,560] 我認可他的目標
[00:04:11,560 -> 00:04:14,159] 我做的事情我覺得是有趣
[00:04:14,199 -> 00:04:15,439] 我喜歡做的事情
[00:04:16,000 -> 00:04:18,519] 並且他最後帶來的價值
[00:04:18,519 -> 00:04:19,959] 我也認為是有意義的
[00:04:19,959 -> 00:04:20,959] 好的 對
[00:04:21,000 -> 00:04:23,680] 這件事情是你幸運的找到了一份好工作
[00:04:23,680 -> 00:04:26,699] 還是你其實也存在一定的自我催眠和自我POA
[00:04:26,699 -> 00:04:29,300] 我覺得這個講法非常有趣
[00:04:29,300 -> 00:04:30,699] 我覺得兩方面都有
[00:04:30,699 -> 00:04:33,600] 就是自我催眠和自我POA
[00:04:33,600 -> 00:04:36,899] 其實這個很哲學的一個東西
[00:04:36,899 -> 00:04:40,100] 那就是什麼是自我催眠和自我POA
[00:04:40,100 -> 00:04:44,500] 就是當你真的找到一件喜歡的事情
[00:04:44,500 -> 00:04:46,240] 他到底是 你說會不會有
[00:04:46,240 -> 00:04:47,439] 有一個關鍵就是說
[00:04:47,439 -> 00:04:49,439] 你想包括 就扯遠一點哈
[00:04:49,439 -> 00:04:52,639] 就包括求偶有一個講法叫the one
[00:04:52,639 -> 00:04:53,600] 不知道大家聽過沒有啊
[00:04:53,600 -> 00:04:56,240] 就是說你會茫茫人海中
[00:04:56,240 -> 00:04:58,579] 有那麼一個人啊在等你
[00:04:58,579 -> 00:05:00,879] 他就一定是那個最完美最完美那個人
[00:05:00,879 -> 00:05:03,180] 你只要等到他出現找到這個人就好了
[00:05:03,180 -> 00:05:05,000] 我覺得工作有點時候有點類似
[00:05:05,000 -> 00:05:07,000] 對吧 就可能就有那麼一份工作
[00:05:07,000 -> 00:05:09,000] 就是他就是最適合最適合你的
[00:05:09,000 -> 00:05:11,000] 但我覺得這種事是不現實的
[00:05:11,000 -> 00:05:12,000] 就是你找到這份工作
[00:05:12,000 -> 00:05:14,000] 你找到這個人的機率
[00:05:14,000 -> 00:05:16,000] 是無限趨近於零
[00:05:16,000 -> 00:05:19,000] 然後你也根本不需要那麼完美的
[00:05:19,000 -> 00:05:22,000] 一個狀態讓你自己做到一個
[00:05:22,000 -> 00:05:24,000] 又開心又能做到
[00:05:24,000 -> 00:05:27,899] 每天會充滿的能量的去做你事情的
[00:05:27,899 -> 00:05:29,000] 其實你完全不需要
[00:05:29,000 -> 00:05:31,100] 那麼真的是最完美最完美一件事情
[00:05:31,100 -> 00:05:34,199] 因為我覺得沒有最完美只有更好
[00:05:34,199 -> 00:05:38,699] 好的我我識別到了一個很重要的這個mindset
[00:05:38,699 -> 00:05:42,300] 然後我在猶豫要不要現在就把我的想法說出來
[00:05:42,300 -> 00:05:43,199] 但是我還是說出來吧
[00:05:43,199 -> 00:05:45,240] 請說請說識別到了這個
[00:05:45,600 -> 00:05:47,519] 其實我之前看了一個視頻
[00:05:47,519 -> 00:05:49,879] 是那個Strauss的一個採訪
[00:05:49,879 -> 00:05:51,439] 還有一個很有名的先生科醫生
[00:05:51,439 -> 00:05:52,600] 我把鏈接放在這裡
[00:05:52,959 -> 00:05:55,040] 他就說一個很重要的點
[00:05:55,040 -> 00:05:57,120] 人生有三件事情是不可避免的
[00:05:57,399 -> 00:05:58,279] 一個是Pain
[00:05:58,720 -> 00:05:59,839] 一個是Uncertainty
[00:06:00,160 -> 00:06:01,560] 一個是Constant Work
[00:06:02,600 -> 00:06:04,399] Constant Work Pain Uncertainty
[00:06:05,000 -> 00:06:05,199] 這三件事情是不可避免的一個是constant workconstant work pain uncertaintyOK
[00:06:06,920 -> 00:06:07,920] 這三件事情是不可避免的
[00:06:11,199 -> 00:06:11,560] 你靠一個工作解決這件事情
[00:06:13,519 -> 00:06:14,079] 靠the one解決這件事情
[00:06:15,120 -> 00:06:15,519] 都是不靠譜的
[00:06:17,720 -> 00:06:18,800] 他裡面說的其實人更經常發生的事情是靠一個snapshot
[00:06:18,800 -> 00:06:22,120] 就是你會想像一個完美的瞬間
[00:06:22,399 -> 00:06:23,560] 你到了這個瞬間
[00:06:23,560 -> 00:06:26,839] 你就遠離pain uncertainty和ertainty和Constant Work
[00:06:27,160 -> 00:06:28,839] 其實不存在 過了這一個
[00:06:28,839 -> 00:06:31,279] 也許你在一秒鐘有這個snapshot
[00:06:31,279 -> 00:06:32,480] 過了這一秒鐘就沒了
[00:06:33,439 -> 00:06:35,240] 所以說就像你說的
[00:06:35,800 -> 00:06:38,839] 不存在 不存在靠工作本身
[00:06:39,079 -> 00:06:41,399] 靠老闆本身 靠the one
[00:06:41,720 -> 00:06:46,240] 去讓你進入到一個永遠對現狀滿意的狀態
[00:06:46,240 -> 00:06:48,160] 不需要靠自己
[00:06:48,160 -> 00:06:51,360] 其實說永遠對現狀滿意
[00:06:51,360 -> 00:06:54,920] 我覺得未必是一個很好的狀態
[00:06:54,920 -> 00:06:56,879] 對 對吧 那是
[00:06:56,879 -> 00:06:59,680] 就是人應該是
[00:07:00,279 -> 00:07:03,079] 一定程度上對現狀不完全滿意
[00:07:03,079 -> 00:07:04,199] 所以你才會有追求
[00:07:04,199 -> 00:07:05,160] 你才會有想做的事情
[00:07:05,160 -> 00:07:06,839] 我覺得這個你也是一樣的對吧
[00:07:06,839 -> 00:07:08,720] 你會做這些事情做工作上啊
[00:07:08,720 -> 00:07:10,720] 你肯定是對現狀不會說完完全全滿意
[00:07:10,720 -> 00:07:12,079] 完全滿意大家就不用做事情了
[00:07:12,079 -> 00:07:13,759] 大家天天躺著
[00:07:14,319 -> 00:07:15,199] 等死就好了
[00:07:15,199 -> 00:07:15,839] 對不對
[00:07:15,839 -> 00:07:17,360] 對你肯定要是有追求
[00:07:17,360 -> 00:07:18,639] 但是就是說這個不滿意
[00:07:18,959 -> 00:07:20,560] 如果是一定
[00:07:20,560 -> 00:07:22,160] 比如說他肯定有個scale
[00:07:22,160 -> 00:07:23,319] 就是說一定程度上不滿意
[00:07:23,319 -> 00:07:24,199] 你就說我要追求
[00:07:24,199 -> 00:07:25,040] 我要改變這個事情態度不滿意你就變成上不滿意你說我要追求我要改變這個事情
[00:07:25,040 -> 00:07:25,959] 態度不滿意
[00:07:25,959 -> 00:07:27,079] 你變成絕望
[00:07:27,079 -> 00:07:28,720] 就說我沒辦法改變這個事情
[00:07:28,720 -> 00:07:29,600] 我只好天天就是說
[00:07:29,600 -> 00:07:30,720] 我好不幸啊
[00:07:30,720 -> 00:07:31,560] 我好不開心啊
[00:07:31,560 -> 00:07:32,000] 對吧
[00:07:32,000 -> 00:07:33,240] 那關鍵就是說
[00:07:33,240 -> 00:07:36,480] 怎麼樣把握自己找到一個合適的環境
[00:07:36,480 -> 00:07:37,439] 把握自己找到一個環境
[00:07:37,439 -> 00:07:38,399] 我雖然是一句話講
[00:07:38,399 -> 00:07:39,279] 但實際上兩件事情
[00:07:39,279 -> 00:07:39,519] 對吧
[00:07:39,519 -> 00:07:40,639] 就是您調整自己心態
[00:07:40,639 -> 00:07:42,639] 就像可能難聽一點講
[00:07:42,639 -> 00:07:44,240] 就是自己給自己催眠
[00:07:44,240 -> 00:07:47,920] 然後還有一個就是找到合適自己的環境 最後造成的結果就是
[00:07:49,360 -> 00:07:53,839] 你可以不要讓他變成一個接近於絕望的說我對現狀不滿意
[00:07:54,120 -> 00:07:58,079] 你覺得就是說我對現狀有一些想改變的東西 然後但是呢又
[00:07:59,120 -> 00:08:04,000] 讓自己看得到我可以通過自己的行為來達到那一點
[00:08:04,000 -> 00:08:05,000] 我可以通過自己的行為來達到那一點
[00:08:07,120 -> 00:08:10,600] 我覺得可能我們開始講了點虛的東西了我覺得這兩件事情是一件事情
[00:08:11,720 -> 00:08:12,519] 你有覺得嗎
[00:08:12,879 -> 00:08:14,920] 一個就是你怎麼改變現狀
[00:08:14,920 -> 00:08:16,519] 第二個是你怎麼選擇現狀
[00:08:16,519 -> 00:08:20,000] 然後他的所謂的一件事情就是都是你能做的事情
[00:08:20,560 -> 00:08:24,279] 我發現這其實是其實我也見到很多像你這樣對現狀滿意的人
[00:08:24,920 -> 00:08:26,560] 很多對現狀不滿意的人
[00:08:26,560 -> 00:08:29,439] 我覺得我能找到的最大的共同點就是
[00:08:29,439 -> 00:08:32,799] 對現狀滿意的人覺得他們是 own the situation
[00:08:32,799 -> 00:08:35,360] 他們是可以改變的
[00:08:35,360 -> 00:08:36,720] 他們也可以選擇的
[00:08:36,720 -> 00:08:40,960] 然後對現狀不滿意的人是覺得他們要麼不能改變
[00:08:40,960 -> 00:08:41,919] 要麼不能選擇
[00:08:41,919 -> 00:08:45,000] 同意
[00:08:45,000 -> 00:08:50,000] 呃 就是說我非常同意這個是他們覺得現狀不能改變
[00:08:50,000 -> 00:08:52,000] 現狀可以改變這點
[00:08:52,000 -> 00:08:55,000] 但是同樣我要強調一個點就是覺得我為什麼想提這個問題
[00:08:55,000 -> 00:08:57,000] 想跟你探討這個問題
[00:08:57,000 -> 00:09:00,000] 就是我覺得就是很多人是因為這件事情不開心的
[00:09:00,000 -> 00:09:03,000] 然後我希望可以通過聊一聊講一講吧
[00:09:03,000 -> 00:09:05,799] 這個東西我當然也希望從這個對話中我自己能學到一些東西
[00:09:05,799 -> 00:09:07,320] 然後我也希望能就是
[00:09:07,960 -> 00:09:09,200] 給大家一些有用的東西吧
[00:09:09,200 -> 00:09:10,480] 就是說你
[00:09:11,799 -> 00:09:13,879] 所謂一個就是說我不能改變
[00:09:15,639 -> 00:09:17,919] 他更多的這個我覺得不能改變
[00:09:17,919 -> 00:09:21,399] 他有可能50%是不能改變
[00:09:21,399 -> 00:09:23,120] 50%是我覺得
[00:09:23,840 -> 00:09:28,879] 就說人在這個社會上有那麼多的路可以走
[00:09:29,320 -> 00:09:31,320] 就是總會有可以改變的地方
[00:09:32,360 -> 00:09:35,120] 然後我希望就是所有
[00:09:35,919 -> 00:09:37,320] 就是覺得自己遇到啊
[00:09:37,320 -> 00:09:39,600] 就是不能改變的挫折的時候
[00:09:39,600 -> 00:09:42,000] 但我覺得我這樣說肯定有點站雙標的嘛
[00:09:42,000 -> 00:09:44,799] 對吧 就是總會有人有那種非常physical
[00:09:44,799 -> 00:09:46,399] 就是不能改變跨不過去的看
[00:09:46,399 -> 00:09:48,639] 但是很多人可能並不是這個樣子
[00:09:48,639 -> 00:09:50,639] 然後當你覺得自己絕望的時候
[00:09:51,639 -> 00:09:52,399] 你可以看一看
[00:09:52,399 -> 00:09:54,840] 我真的是還有什麼選擇在這裡
[00:09:54,840 -> 00:09:58,440] 就我是不是一定要走這條讓人絕望的路
[00:09:58,440 -> 00:09:58,700] 對吧
[00:09:58,700 -> 00:10:00,740] 其實很多時候答案可能是未必的
[00:10:01,840 -> 00:10:03,899] 我一直想這樣說
[00:10:03,899 -> 00:10:04,759] 但是不敢這樣說
[00:10:04,759 -> 00:10:05,899] 就是怕你這樣
[00:10:05,899 -> 00:10:07,500] 像剛才你說的
[00:10:07,500 -> 00:10:10,240] 就是很有可能我們自己是個非常privileged的
[00:10:10,240 -> 00:10:11,100] 這樣一個角色
[00:10:11,100 -> 00:10:11,700] 對吧
[00:10:11,700 -> 00:10:13,299] 在這個privileged的角色之下
[00:10:13,299 -> 00:10:13,899] 我們就說
[00:10:13,899 -> 00:10:15,379] 啊你的現狀是可以改變的
[00:10:15,379 -> 00:10:17,899] 這其實會給大家帶來更多的痛苦
[00:10:17,899 -> 00:10:21,100] 和就是我們並不知道他們的現狀是什麼樣子
[00:10:21,100 -> 00:10:25,000] 但是我覺得因為我們的對話有足夠的限流
[00:10:25,000 -> 00:10:29,000] 和講到這兒其實也不是一個非常structural的對話
[00:10:29,000 -> 00:10:32,000] 聽到這兒的人可能已經是對這個問題
[00:10:32,000 -> 00:10:35,000] 第一有足夠的痛苦和有足夠的思考了
[00:10:35,000 -> 00:10:36,000] 那我不妨就在這兒說一下
[00:10:36,000 -> 00:10:39,000] 可能我不會在我的視頻裡面直接去說幾句話
[00:10:39,000 -> 00:10:42,000] 我會在這兒說其實人一定是可以改變現狀的
[00:10:42,000 -> 00:10:44,000] 或99%是改變現狀的
[00:10:44,000 -> 00:10:47,299] 絕大多數你說的50%是50%
[00:10:47,299 -> 00:10:50,259] 是你客氣的去說50%對吧
[00:10:50,259 -> 00:10:53,399] 但是你心中的比例應該是99%是可以
[00:10:53,399 -> 00:10:55,740] 只是在絕大多數的情況下
[00:10:55,740 -> 00:10:57,440] 你覺得你不能改變
[00:10:57,440 -> 00:11:00,039] 但現實沒有什麼不可以被改變的
[00:11:00,039 -> 00:11:01,299] 我覺得可以說這句話
[00:11:01,299 -> 00:11:03,360] 就是如果說你覺得不能改變現狀
[00:11:03,360 -> 00:11:04,539] 你一定可以的
[00:11:04,539 -> 00:11:05,200] 你一定可以的就是你不妨催眠自己就是你可以說你覺得不能改變現狀你一定可以的你一定可以的
[00:11:05,200 -> 00:11:06,759] 就是你不妨催眠自己
[00:11:06,759 -> 00:11:07,799] 就是你可以說是催眠
[00:11:07,799 -> 00:11:08,879] 你可以說是whatever
[00:11:08,879 -> 00:11:10,679] 但是你要知道你一定是可以的
[00:11:10,679 -> 00:11:11,960] 只要你相信這句話的話
[00:11:11,960 -> 00:11:12,960] 你就能改變現狀
[00:11:12,960 -> 00:11:13,759] 我不覺得
[00:11:13,759 -> 00:11:15,919] 應該可以說你可能覺得
[00:11:15,919 -> 00:11:17,759] 就是現狀physical的一些東西
[00:11:17,759 -> 00:11:19,480] 可能是很難改變
[00:11:19,480 -> 00:11:20,679] 舉個很極端例子吧
[00:11:20,679 -> 00:11:22,279] 就說家人生病啊
[00:11:22,279 -> 00:11:22,679] 這種事情
[00:11:22,679 -> 00:11:24,960] 這個可能不是隨著你的意志能改變的
[00:11:24,960 -> 00:11:28,899] 但是你可以有一個不同的態度去看這些事情
[00:11:28,899 -> 00:11:29,419] 你可以說
[00:11:30,419 -> 00:11:34,539] 就是你可以每天悲觀 每天很傷心的過這件事情
[00:11:34,539 -> 00:11:37,220] 也可以說每天也不能說非常積極
[00:11:37,220 -> 00:11:39,059] 就是相對來講更積極一點
[00:11:39,059 -> 00:11:40,259] 你不能改變那個結果
[00:11:40,259 -> 00:11:43,860] 但是你可以改變你在這裡邊的角色和你的心態
[00:11:43,860 -> 00:11:45,200] 和你應該做什麼
[00:11:45,200 -> 00:11:47,100] 你能改變的是你每天的行動
[00:11:47,100 -> 00:11:48,399] 沒錯 對 是這樣
[00:11:48,399 -> 00:11:50,399] 所以我是覺得對這個積極的心態
[00:11:50,399 -> 00:11:51,500] 其實是最重要的
[00:11:51,500 -> 00:11:53,100] 我沒有辦法告訴大家
[00:11:53,100 -> 00:11:55,700] 我沒有一顆藥可以讓你
[00:11:55,700 -> 00:11:57,500] 從一個心態變成另外一個心態
[00:11:57,500 -> 00:11:58,700] 但是我起碼告訴你
[00:11:58,700 -> 00:12:00,100] 就是那個心態是存在的
[00:12:00,100 -> 00:12:01,200] 和改變這個心態
[00:12:01,200 -> 00:12:03,500] 其實很多時候是最重要的事情
[00:12:03,500 -> 00:12:05,000] 沒錯 就是這個樣子
[00:12:05,000 -> 00:12:06,200] 嗯很好哎
[00:12:06,200 -> 00:12:08,600] 我覺得我終於把這句話說出來了
[00:12:08,600 -> 00:12:12,000] 我一直想說但是沒有地方說
