[00:00:00,000 -> 00:00:03,560] Hello 大家好 欢迎回到课代表聊数据的第11期
[00:01:42,359 -> 00:01:42,719] 第一呢
[00:01:42,719 -> 00:01:46,299] 就是有多少人有资格能看到你的adoption
[00:01:46,299 -> 00:01:47,700] 因为很多时候你在做实验
[00:01:47,700 -> 00:01:49,700] 你的这个东西是有的人是看不到的
[00:01:49,700 -> 00:01:52,000] 你要算好有多少人有资格看到这个feature
[00:01:52,000 -> 00:01:53,099] 我们就随便说一个这个吧
[00:01:53,099 -> 00:01:55,500] 就比如说中间这个什么天天领现金
[00:01:55,500 -> 00:01:56,299] 从来没有点过
[00:01:56,299 -> 00:01:57,799] 但是我们就拿它做一个例子
[00:01:57,799 -> 00:02:01,299] 然后我有多少人有资格能看到它
[00:02:01,299 -> 00:02:03,400] 有多少人真正的去看到它
[00:02:03,400 -> 00:02:04,400] 就是impression
[00:02:04,400 -> 00:02:06,200] 然后有多少人点进去了
[00:02:06,200 -> 00:02:08,400] 点进去你应该用一个click
[00:02:08,400 -> 00:02:09,719] 或者说你用一个更好的
[00:02:09,719 -> 00:02:10,840] 那叫surface enter
[00:02:10,840 -> 00:02:11,879] 就是你点进去了以后
[00:02:11,879 -> 00:02:13,680] 你会进到一个新的surface
[00:02:13,680 -> 00:02:15,479] 然后你应该是surface enter
[00:02:15,479 -> 00:02:17,360] 最后是核心功能
[00:02:17,360 -> 00:02:18,879] 完成你的核心功能
[00:02:18,879 -> 00:02:20,479] 比如说这个天天领现金
[00:02:20,479 -> 00:02:22,759] 那应该是领了现金是核心功能
[00:02:22,759 -> 00:02:24,520] 或者说他其实是想让我干一个什么
[00:02:24,520 -> 00:02:25,759] 总之就是有多少人
[00:02:25,759 -> 00:02:27,639] 最终达成了你想让他达成的目的
[00:02:27,639 -> 00:02:28,879] 这是这个第四步
[00:02:28,879 -> 00:02:31,400] 所以说你每一步其实都能看到
[00:02:31,400 -> 00:02:33,879] 你的这个feature的不同问题
[00:02:33,879 -> 00:02:35,639] 比如说你第一步你发现
[00:02:35,639 -> 00:02:37,919] 我这个app可能有一亿日活
[00:02:37,919 -> 00:02:40,520] 然后我只有2000万的人有资格看到它
[00:02:40,520 -> 00:02:42,439] 然后只有1000万的人真正看到它了
[00:02:42,439 -> 00:02:44,560] 那说明你可能这个feature放的东西不对
[00:02:44,560 -> 00:02:44,840] 是吧
[00:02:44,840 -> 00:02:46,319] 或者说你的login出了问题
[00:02:46,319 -> 00:02:48,520] 你发现2000人有资格看到他
[00:02:48,520 -> 00:02:51,840] 而且他的位置我放好了有足够多的人
[00:02:51,840 -> 00:02:54,000] 比如说他就只应该被1000万人看到
[00:02:54,000 -> 00:02:55,919] 可能他在非常下面的地方对吧
[00:02:55,919 -> 00:02:57,919] 它是不是一个你想要的结果
[00:02:57,919 -> 00:02:59,680] 你是不是觉得这个东西很重要
[00:02:59,680 -> 00:03:00,840] 他应该被更多的人看到
[00:03:00,840 -> 00:03:02,159] 你就应该放到更上面一点
[00:03:02,159 -> 00:03:03,680] 他应该被2000万人看到
[00:03:03,680 -> 00:03:05,199] 他被足够多的人看到之后
[00:03:05,319 -> 00:03:06,479] 有多少人点进去
[00:03:06,479 -> 00:03:09,240] 这一步其实是大家overestimate
[00:03:09,240 -> 00:03:10,319] 非常严重的一步
[00:03:10,319 -> 00:03:11,960] 就是绝大多数你的这些feature
[00:03:11,960 -> 00:03:13,479] 大家是不会花时间去看的
[00:03:13,479 -> 00:03:15,719] 大家不会去一上来就觉得
[00:03:15,840 -> 00:03:17,520] 这个东西你看天天点现金
[00:03:17,520 -> 00:03:19,159] 如果我今天不是做这个节目的话
[00:03:19,159 -> 00:03:21,240] 我每天都见到这个button的话
[00:03:21,240 -> 00:03:23,479] 我其实根本就没有去读它
[00:03:23,479 -> 00:03:24,400] 我一打开美团
[00:03:24,400 -> 00:03:25,000] 我第一件事
[00:03:25,000 -> 00:03:26,360] 我是要搜我想吃的东西
[00:03:26,360 -> 00:03:28,000] 或者说去点我想用的功能
[00:03:28,000 -> 00:03:29,120] 我是没有时间
[00:03:29,120 -> 00:03:31,080] 去把这些东西全都看一遍的
[00:03:31,080 -> 00:03:32,520] 这就是你摆这么多
[00:03:32,520 -> 00:03:33,599] 所以我在找的时候
[00:03:33,680 -> 00:03:34,759] 也许我能看到它
[00:03:34,759 -> 00:03:35,719] 但是你摆这么多
[00:03:35,719 -> 00:03:36,719] 最后出现的问题
[00:03:36,719 -> 00:03:38,240] 就是我作为一个用户
[00:03:38,240 -> 00:03:39,400] 我是没有去看
[00:03:39,400 -> 00:03:40,240] 它每一个上面
[00:03:40,240 -> 00:03:41,199] 到底写的是什么的
[00:03:41,199 -> 00:03:42,039] 它可能就会导致
[00:03:42,039 -> 00:03:43,120] 你的click through rate
[00:03:43,120 -> 00:03:43,879] 非常低
[00:03:43,879 -> 00:03:44,919] 点进去了以后
[00:03:44,919 -> 00:03:46,560] 完成率就更重要了
[00:03:46,560 -> 00:03:49,560] 一方面它可以看到你的产品到底是好不好用
[00:03:49,560 -> 00:03:51,879] 你的流程到底是不是足够优化
[00:03:51,879 -> 00:03:54,840] 再就是看大家到底对你这个东西有没有耐心
[00:03:54,840 -> 00:03:56,759] 因为理论上点进去的人
[00:03:56,759 -> 00:03:59,639] 他本身已经有非常高的intention了
[00:03:59,639 -> 00:04:02,319] 他这个时候你完成率应该是很高的
[00:04:02,319 -> 00:04:05,280] 如果你这个feature是像你外面说的那样子
[00:04:05,280 -> 00:04:06,080] 天天领现金
[00:04:06,080 -> 00:04:07,919] 我都点进来了想领现金了
[00:04:07,919 -> 00:04:11,520] 我应该有很大的耐心去完成领现金的动作
[00:04:11,520 -> 00:04:14,479] 可是如果你发现这个ratio特别低的话
[00:04:14,479 -> 00:04:15,759] 那就是有问题的
[00:04:15,759 -> 00:04:18,480] 我觉得什么样子的这个ratio是一个正确的ratio
[00:04:18,480 -> 00:04:21,120] 就是绝大多数的adoption在我看来
[00:04:21,120 -> 00:04:24,879] 除非是你产品放到一个非常显著的地方
[00:04:24,879 -> 00:04:26,040] 大家错过不了
[00:04:26,040 -> 00:04:28,439] 然后你的东西非常引人入胜
[00:04:28,439 -> 00:04:31,639] 不然的话我觉得你的assumption应该是从1%开始
[00:04:31,639 -> 00:04:32,800] 就是你要有assumption
[00:04:32,800 -> 00:04:34,680] 100个看到你的人只有一个人会点
[00:04:34,680 -> 00:04:36,959] 很多人上来以后会非常乐观
[00:04:36,959 -> 00:04:39,040] 就是从50%开始有assumption
[00:04:39,040 -> 00:04:40,079] 然后10%
[00:04:40,079 -> 00:04:42,439] 我觉得你从1%开始有assumption
[00:04:42,439 -> 00:04:44,120] 是一个更稳妥的选择
[00:04:44,120 -> 00:04:45,959] 就是你一开始是1%
[00:04:45,959 -> 00:04:47,920] 你通过把retention做上去
[00:04:47,920 -> 00:04:50,079] 你通过optimize各种各样的东西
[00:04:50,079 -> 00:04:53,360] 你通过一些其他的方式让大家知道你这个东西是什么
[00:04:53,360 -> 00:04:55,600] 可能你可以把它做到10% 20%
[00:04:55,600 -> 00:04:57,120] 如果你这个东西真的是有价值的话
[00:04:57,120 -> 00:04:58,000] 有很多人愿意点
[00:04:58,000 -> 00:04:59,560] 那它可能可以更高一些
[00:04:59,560 -> 00:05:01,959] 但是你从1%开始假设
[00:05:01,959 -> 00:05:03,839] 或者如果说你真的觉得你的很牛逼
[00:05:03,839 -> 00:05:05,319] 把你从5%开始假设会比你从10%开始假设或者如果说你真的觉得你的很牛逼你从5%开始假设
[00:05:05,319 -> 00:05:07,839] 会比你从10%开始假设要好
[00:05:07,839 -> 00:05:09,079] 那你这个completion rate
[00:05:09,079 -> 00:05:12,720] 我觉得你应该是照着30%到60%的
[00:05:12,720 -> 00:05:14,079] 这个区间去假设
[00:05:14,079 -> 00:05:15,560] 就是三个使用你的人
[00:05:15,560 -> 00:05:17,720] 应该有1到2个人会去完成它
[00:05:17,720 -> 00:05:19,120] 如果它是一个很短的东西
[00:05:19,279 -> 00:05:20,560] 比如说是一个10秒钟
[00:05:20,560 -> 00:05:21,759] 30秒钟之内的东西
[00:05:21,759 -> 00:05:23,360] 它应该是一个2的完成率
[00:05:23,360 -> 00:05:24,800] 如果它是一个很长的东西
[00:05:24,959 -> 00:05:26,720] 可能你要用1的完成率但是不管该是一个2的完成率如果它是一个很长的东西那可能你要我选1的完成率
[00:05:26,720 -> 00:05:27,639] 但是不管怎么样
[00:05:27,639 -> 00:05:29,800] 如果这一步完成率很低的话
[00:05:29,800 -> 00:05:31,399] 你就应该去看一下
[00:05:31,399 -> 00:05:33,560] 你的这个东西是不是真的好用
[00:05:33,560 -> 00:05:35,639] 中间是不是有一些文字说的
[00:05:35,639 -> 00:05:37,959] 让大家觉得我是好像要上当了
[00:05:37,959 -> 00:05:38,519] 这种感觉
[00:05:38,519 -> 00:05:40,560] 我刚一打开天天领红包
[00:05:40,560 -> 00:05:41,800] 他啪给我进一个游戏
[00:05:41,800 -> 00:05:42,759] 我就直接退出来了
[00:05:42,759 -> 00:05:43,480] 我根本就不care
[00:05:43,480 -> 00:05:44,759] 他的游戏到底是干嘛的
[00:05:44,759 -> 00:05:46,639] 就见到这样一个游戏非常扯然后我就跑出来了我啪给我进一个游戏我就直接退出来了我根本就不care他的游戏到底是干嘛的他签到这样一个游戏非常扯啊
[00:05:46,639 -> 00:05:47,879] 然后我就跑出来了
[00:05:47,879 -> 00:05:48,959] 我才不要去玩这个游戏
[00:05:48,959 -> 00:05:50,079] 然后领个一毛钱
[00:05:50,079 -> 00:05:51,560] 这是做adoption
[00:05:51,560 -> 00:05:53,639] 不要只看那个click through rate
[00:05:53,639 -> 00:05:55,240] 而应该去看四步
[00:05:55,240 -> 00:05:57,360] 这是第一个想跟大家说的
[00:05:57,360 -> 00:06:00,879] 第二个呢就是为什么人们倾向于
[00:06:00,879 -> 00:06:03,079] overestimate你的adoption rate
[00:06:03,079 -> 00:06:04,720] 因为大家其实都很聪明啊
[00:06:04,720 -> 00:06:07,360] 但是还是会忍不住的去
[00:06:07,360 -> 00:06:09,560] 把这个adoption一开始想的太乐观
[00:06:09,560 -> 00:06:11,399] 我觉得就是因为大家太聪明
[00:06:11,399 -> 00:06:13,800] 和大家在这个产品上花太多时间了
[00:06:13,800 -> 00:06:15,160] 因为你作为一个
[00:06:15,360 -> 00:06:17,319] 不管是在这上面的数据科学家
[00:06:17,319 -> 00:06:19,199] designer PM程序员也好啊
[00:06:19,199 -> 00:06:20,920] 你天天看的是这个页面
[00:06:20,920 -> 00:06:22,399] 你知道这个页面有什么变化
[00:06:22,399 -> 00:06:24,399] 我当时就对Facebook marketplace的变化
[00:06:24,399 -> 00:06:24,920] 特别敏感
[00:06:24,920 -> 00:06:27,399] 就是Facebook marketplace当时改动一点什么
[00:06:27,399 -> 00:06:28,680] 它颜色调了一点的话
[00:06:28,680 -> 00:06:29,279] 我都知道
[00:06:29,279 -> 00:06:30,480] 哦 诶 它怎么又变了
[00:06:30,480 -> 00:06:34,680] 可是绝大多数的你的用户是没有这个熟悉程度
[00:06:34,680 -> 00:06:36,600] 自然也就没有你的敏感程度
[00:06:36,600 -> 00:06:37,399] 这是原因一
[00:06:37,399 -> 00:06:38,160] 原因二呢
[00:06:38,160 -> 00:06:40,639] 是大家真的没有mental capacity
[00:06:40,639 -> 00:06:42,160] 这个其实尤其对土币
[00:06:42,160 -> 00:06:44,040] 我当时的例子就是这样一个例子啊
[00:06:44,040 -> 00:06:48,800] 就是我当时是给那个洞庭春做一个外卖网站
[00:06:48,800 -> 00:06:51,000] 他们当时是给亚马逊大楼送盒饭
[00:06:51,000 -> 00:06:54,639] 他们自己用的是google form加上vimo的方式
[00:06:54,639 -> 00:06:57,600] 这样做就是首先大家买东西不能用信用卡
[00:06:57,600 -> 00:07:01,360] 要花一个很长的时间去google form上填我要买什么
[00:07:01,360 -> 00:07:02,600] 然后在vimo上付钱
[00:07:02,600 -> 00:07:06,079] 然后他们有一个专门的人要把大家在google form上
[00:07:06,240 -> 00:07:08,759] 这个订单和微博的订单联系起来
[00:07:08,759 -> 00:07:09,399] 对上了
[00:07:09,399 -> 00:07:11,040] 然后才能去做
[00:07:11,040 -> 00:07:12,839] 而且每天你还要在google form上
[00:07:12,839 -> 00:07:15,240] 重新去做一个新的订单
[00:07:15,240 -> 00:07:16,959] 这个其实是非常花人力的
[00:07:16,959 -> 00:07:17,800] 很费时间
[00:07:17,800 -> 00:07:18,800] 顾客体验也不好
[00:07:18,959 -> 00:07:19,600] 大家可以想象
[00:07:19,720 -> 00:07:21,240] 很多人就因为嫌这个麻烦
[00:07:21,439 -> 00:07:22,879] 嫌这个点菜时间太长
[00:07:22,879 -> 00:07:23,920] 然后你就不点了
[00:07:23,920 -> 00:07:25,959] 我就给他用shopify做了一个solution
[00:07:25,959 -> 00:07:28,439] 就是你就像一个正常的买东西一样
[00:07:28,439 -> 00:07:28,800] 是吧
[00:07:28,800 -> 00:07:29,639] 点一下
[00:07:29,639 -> 00:07:31,360] 然后直接信用卡checkout
[00:07:31,360 -> 00:07:33,759] 你如果在之前在shopify用过的话
[00:07:33,759 -> 00:07:36,319] 你就直接收到一个短信的验证码
[00:07:36,319 -> 00:07:37,680] 就可以checkout
[00:07:37,680 -> 00:07:38,399] 都不需要登录
[00:07:38,399 -> 00:07:39,720] 也不需要用你的信用卡
[00:07:39,720 -> 00:07:41,360] 整个下来流程非常快
[00:07:41,360 -> 00:07:44,279] 一个正常的google form的流程
[00:07:44,480 -> 00:07:46,519] 大概是需要两分钟完成然后下单流程可能15一个正常的google form的流程大概是需要两分钟完成
[00:07:46,519 -> 00:07:49,199] 然后下单流程可能15秒到30秒
[00:07:49,199 -> 00:07:49,920] 就可以完成了
[00:07:49,920 -> 00:07:51,279] 这是一个很好的顾客体验
[00:07:51,279 -> 00:07:52,720] 而且看起来也非常专业
[00:07:52,879 -> 00:07:54,000] 就很多人信任这个
[00:07:54,000 -> 00:07:55,319] 所以说更多人会去买
[00:07:55,560 -> 00:07:56,279] 在后台的话
[00:07:56,279 -> 00:07:57,160] 他自动收款了
[00:07:57,160 -> 00:07:58,920] 自动把这个订单给生成了
[00:07:58,920 -> 00:08:00,319] 而且我们当时还做了一个
[00:08:00,319 -> 00:08:01,800] 基于ws的云服务
[00:08:02,199 -> 00:08:03,959] 我们自动会把订单给大厨用
[00:08:03,959 -> 00:08:05,519] 所以说我们会按照菜去
[00:08:06,360 -> 00:08:07,560] consolidate在一起
[00:08:07,560 -> 00:08:08,560] 然后为了司机
[00:08:08,560 -> 00:08:10,000] 我们会按照building
[00:08:10,000 -> 00:08:11,279] consolidate在一起
[00:08:11,279 -> 00:08:13,639] 然后还会有每一个customer的
[00:08:13,639 -> 00:08:15,079] 他是订单几号
[00:08:15,079 -> 00:08:16,160] 然后他的名字
[00:08:16,160 -> 00:08:18,000] 和他到底买了什么东西
[00:08:18,000 -> 00:08:19,000] 可以打印下来
[00:08:19,000 -> 00:08:20,759] 贴到餐盒上
[00:08:20,759 -> 00:08:22,399] 整个事变得非常简洁
[00:08:22,399 -> 00:08:24,199] 大概可以省他们一天
[00:08:24,199 -> 00:08:25,240] 4个小时的人力所以说有这么多好处安道理是不是觉得所有的餐盒上整个事变得非常简洁大概可以省他们一天4个小时的人力
[00:08:25,360 -> 00:08:26,519] 所以说有这么多好处
[00:08:26,680 -> 00:08:28,680] 安道理是不是觉得所有的餐馆
[00:08:28,680 -> 00:08:30,360] 都会马上的想去使用它
[00:08:30,360 -> 00:08:32,080] 因为当时给亚马逊送
[00:08:32,080 -> 00:08:33,399] 和饭的有好几家餐馆
[00:08:33,399 -> 00:08:34,399] 不止东霖春一家
[00:08:34,399 -> 00:08:35,480] 到最后只有东霖春做了
[00:08:35,480 -> 00:08:36,960] 而且东霖春一开始也不想用的
[00:08:36,960 -> 00:08:38,480] 是因为有一个小伙伴
[00:08:38,480 -> 00:08:40,000] 就是我之前视频有一个Esther
[00:08:40,000 -> 00:08:41,200] 她在东霖春工作
[00:08:41,200 -> 00:08:43,679] 所以说她就用了这个东西
[00:08:43,679 -> 00:08:45,799] 最后东霖村才一直用下去
[00:08:45,799 -> 00:08:46,799] 我当时也没有收钱
[00:08:46,799 -> 00:08:48,960] 就是完全成本价的去给大家用
[00:08:48,960 -> 00:08:49,679] 那为什么呢
[00:08:49,679 -> 00:08:51,879] 其实就是因为我总结下来啊
[00:08:51,879 -> 00:08:53,159] 就是那些餐馆的人
[00:08:53,159 -> 00:08:54,600] 他是没有mental capacity
[00:08:54,600 -> 00:08:55,799] 去学一个新东西的
[00:08:55,799 -> 00:08:56,960] 他不想学一个新东西
[00:08:56,960 -> 00:08:59,000] 他们的日常生活是很忙的
[00:08:59,000 -> 00:09:00,200] 他们学一个新东西
[00:09:00,200 -> 00:09:02,200] 而且坏了以后还要去找你修
[00:09:02,200 -> 00:09:03,200] 你可能还在上班
[00:09:03,200 -> 00:09:05,240] 你又不能给他提供及时的修复
[00:09:05,240 -> 00:09:07,360] 那他这一天订单就会出很多的大乱子
[00:09:07,360 -> 00:09:09,080] 所以说他宁可要一个麻烦的
[00:09:09,080 -> 00:09:10,919] 在他的他已经会用的
[00:09:10,919 -> 00:09:12,759] 并且他觉得under control的东西
[00:09:12,759 -> 00:09:15,240] 他也不想用一个新的简洁的
[00:09:15,240 -> 00:09:18,080] 但是他觉得就是我要花时间去学
[00:09:18,080 -> 00:09:20,000] 他不愿意花这个时间去学
[00:09:20,000 -> 00:09:22,159] 这是当时的一个巨大的教训
[00:09:22,320 -> 00:09:25,360] 就是我现在我在给动听春用了以后
[00:09:25,360 -> 00:09:26,720] 我让我再回去的话
[00:09:26,720 -> 00:09:28,679] 我也不会像之前那样乐观的估计
[00:09:28,679 -> 00:09:29,799] 说我这个东西做出来了
[00:09:29,799 -> 00:09:31,720] 全新出的香馆马上就会用我的东西
[00:09:31,720 -> 00:09:33,480] 而是我知道这个事很难
[00:09:33,480 -> 00:09:35,600] 哪怕有动听春的success case在
[00:09:35,600 -> 00:09:38,480] 我觉得我要去convince大家用这个系统
[00:09:38,480 -> 00:09:40,039] 也是一件非常难的事情
[00:09:40,039 -> 00:09:43,120] 所以说大家要把这个故事的意义
[00:09:43,240 -> 00:09:46,080] 就是说大家在assume一个feature adoption的时候
[00:09:46,080 -> 00:09:48,799] 一定要把自己带入一个customer的视角
[00:09:48,799 -> 00:09:50,440] 而且这个customer不是你
[00:09:50,440 -> 00:09:52,039] 没有你那样优越的生活
[00:09:52,039 -> 00:09:52,559] 说实话
[00:09:52,559 -> 00:09:56,279] 你应该想象它是一个文化程度大概是什么样子的
[00:09:56,279 -> 00:09:58,639] 它对事物的理解能力是什么样子的
[00:09:58,639 -> 00:09:59,600] 它有没有心思
[00:09:59,600 -> 00:10:01,039] 有没有时间去理解你
[00:10:01,039 -> 00:10:02,879] 它到底关注的东西是什么
[00:10:02,879 -> 00:10:05,879] 你这个想象的那些非常美好的feature
[00:10:05,879 -> 00:10:07,120] 到底他care不care
[00:10:07,120 -> 00:10:07,840] 他是不care
[00:10:07,840 -> 00:10:08,960] 我这句话说实话
[00:10:08,960 -> 00:10:11,080] 是说给那些硅谷大厂的马农们听的
[00:10:11,080 -> 00:10:13,320] 就是国内的程序员和产品经理
[00:10:13,320 -> 00:10:15,240] 我觉得还是挺理解顾客需求的
[00:10:15,240 -> 00:10:18,120] 但是像Facebook或者说是Google这些
[00:10:18,120 -> 00:10:20,440] 他们就做了一些很多奇奇怪怪的feature
[00:10:20,440 -> 00:10:22,480] 这feature说实话我觉得是自娱自乐
[00:10:22,480 -> 00:10:24,000] 是缺乏同理心的一些feature
[00:10:24,000 -> 00:10:24,919] 好 这是第二个
[00:10:24,919 -> 00:10:27,960] 就是一定要把自己带到你的真正的
[00:10:27,960 -> 00:10:29,879] customer的这个角度去想
[00:10:29,879 -> 00:10:32,279] 不要overestimate你的adoption
[00:10:32,279 -> 00:10:33,759] 不要自己感动自己
[00:10:33,759 -> 00:10:34,960] 那第三个误区
[00:10:34,960 -> 00:10:36,960] again又是这个骨骨大肠的程序
[00:10:36,960 -> 00:10:38,320] 人们经常犯的误区
[00:10:38,320 -> 00:10:41,000] 就是一开始你去overestimate adoption
[00:10:41,000 -> 00:10:42,519] 那你发现adoption低怎么办
[00:10:42,519 -> 00:10:43,919] 那我就去发email
[00:10:43,919 -> 00:10:45,279] 就是所谓的流量依赖
[00:10:45,279 -> 00:10:47,039] 就是我可以发notification
[00:10:47,320 -> 00:10:48,200] 我可以发email
[00:10:48,399 -> 00:10:49,600] 我可以想方设法的
[00:10:49,600 -> 00:10:51,600] 让别人说知道我的功能
[00:10:51,600 -> 00:10:53,000] 然后来使用我的功能
[00:10:53,240 -> 00:10:55,240] 在Facebook是非常普遍的
[00:10:55,240 -> 00:10:56,399] 但是这会导致一个什么结果
[00:10:57,120 -> 00:11:00,720] 你这个feature最后想move的top line matrix
[00:11:00,720 -> 00:11:04,679] 经常是跟你的活跃度是highly correlated
[00:11:04,679 -> 00:11:05,440] 什么意思
[00:11:05,440 -> 00:11:09,159] 就是比如说我希望我的feature给大家带来价值
[00:11:09,159 -> 00:11:11,639] 从而增加我们的整个的销售
[00:11:11,639 -> 00:11:13,759] 从而增加我们的广告收入
[00:11:13,759 -> 00:11:15,039] 从而增加我们的日活
[00:11:15,039 -> 00:11:17,519] 或者说从而增加我们的time spent
[00:11:17,519 -> 00:11:19,200] 可是你发一颗email
[00:11:19,200 -> 00:11:21,360] 跟你feature的价值没有任何关系
[00:11:21,360 -> 00:11:22,879] 你把活跃用户带来了
[00:11:22,879 -> 00:11:24,759] 或者把一些churn的用户带活了
[00:11:24,759 -> 00:11:26,600] 或者说你增加了大家的活跃度
[00:11:26,600 -> 00:11:28,200] 你的这些所谓的top line matrix
[00:11:28,200 -> 00:11:28,919] 都会上升
[00:11:28,919 -> 00:11:30,799] 你的广告收入什么的都会上升
[00:11:30,799 -> 00:11:32,960] 所以说你最后你不管你的feature
[00:11:32,960 -> 00:11:34,399] 做的有没有用有多烂
[00:11:34,399 -> 00:11:35,639] 你只要发这些东西
[00:11:35,639 -> 00:11:36,480] 你只要搞流量
[00:11:36,480 -> 00:11:40,120] 你就可以带来一波top line matrix的boosting
[00:11:40,120 -> 00:11:42,279] 这跟你的feature其实没有半毛钱关系
[00:11:42,279 -> 00:11:44,879] 但是有的时候如果这个数据科学家
[00:11:44,879 -> 00:11:45,840] 不小心的话他就会让这样的一个feature其实没有半毛钱关系但是有的时候如果这个数据科学家不小心的话
[00:11:45,840 -> 00:11:48,639] 他就会让这样的一个feature去launch
[00:11:48,639 -> 00:11:50,200] 我之前有一篇一个视频嘛
[00:11:50,200 -> 00:11:52,840] 就是讲说如果大厂的产品变垃圾
[00:11:52,840 -> 00:11:54,519] 数据科学家请把锅背起来
[00:11:54,519 -> 00:11:56,559] 就是你作为一个数据科学家
[00:11:56,559 -> 00:11:58,919] 一定要在这个时候有一个form stance
[00:11:58,919 -> 00:12:00,759] 不要让这种垃圾featurelaunch
[00:12:00,759 -> 00:12:01,120] 好的
[00:12:01,120 -> 00:12:02,440] 这个是第三个误区
[00:12:02,440 -> 00:12:04,600] 就是不要去搞流量依赖
[00:12:04,600 -> 00:12:08,799] 不要用这些流量去代替你feature的这个效果
[00:12:08,799 -> 00:12:11,120] 如果你的feature真的是有价值的
[00:12:11,120 -> 00:12:14,559] 你要想方设法的让看到你的人愿意点
[00:12:14,559 -> 00:12:16,159] 然后点你的人愿意使用
[00:12:16,159 -> 00:12:17,879] 然后最后你还要去看retention
[00:12:17,879 -> 00:12:19,600] 就是使用你的人还要重复使用
[00:12:19,600 -> 00:12:21,960] 这个是一个做好feature的数据上
[00:12:21,960 -> 00:12:22,879] 你应该看的东西
[00:12:22,879 -> 00:12:24,960] 而不是一开始就去关注你的top-down matrix
[00:12:24,960 -> 00:12:28,159] 我还看到在一些大厂就是很可笑的东西就是你这个feature的数据上你应该看的东西而不是一开始就去关注你的top line matrix我还看到在一些大厂很可笑的东西
[00:12:28,159 -> 00:12:30,120] 就是你feature adoption你不去check
[00:12:30,120 -> 00:12:33,000] 你直接就非常偷懒的去看你的top line matrix
[00:12:33,000 -> 00:12:35,240] 最后你发现你feature浪出了以后
[00:12:35,240 -> 00:12:36,799] 如果真的去看它的adoption
[00:12:36,799 -> 00:12:38,000] 1% 2%
[00:12:38,000 -> 00:12:39,240] 就1% 2%的时候
[00:12:39,240 -> 00:12:40,639] 你move啥top line matrix
