[00:00:00,000 -> 00:00:01,560] 其实我是一个观点没有那么强的人
[00:05:56,959 -> 00:05:58,240] 比如说你游戏的目的
[00:05:58,240 -> 00:05:59,519] 你游戏的那个例子
[00:05:59,639 -> 00:06:01,000] 所以我稍稍感觉一下
[00:06:01,040 -> 00:06:02,879] 就是这些XX图二
[00:06:03,079 -> 00:06:04,399] 他们的模式就是说
[00:06:04,399 -> 00:06:05,600] 让你做一件什麼事情
[00:06:05,600 -> 00:06:06,600] 然後給你發幣
[00:06:06,600 -> 00:06:08,399] 然後你這個幣他們覺得
[00:06:08,399 -> 00:06:10,199] 讓你覺得以後會賺一些錢
[00:06:10,199 -> 00:06:11,600] 然後就回去做這件事
[00:06:11,600 -> 00:06:15,199] 但是問題是這些幣是需要消耗的
[00:06:15,199 -> 00:06:16,300] 才能有價值
[00:06:16,300 -> 00:06:18,100] 如果只發幣不消耗
[00:06:18,100 -> 00:06:19,500] 這個幣是沒有價值的
[00:06:19,500 -> 00:06:22,000] 但是你願不願意拿你的這個幣
[00:06:22,000 -> 00:06:23,500] 去購買一些東西
[00:06:23,500 -> 00:06:26,439] 這仍然是這些XX查图没有解决的问题
[00:06:26,439 -> 00:06:29,839] 他没有办法用一个真实的服务
[00:06:29,839 -> 00:06:32,839] 或者说其他的东西来让你去花这个币
[00:06:33,160 -> 00:06:34,439] 对如果他没有解决这一点
[00:06:34,439 -> 00:06:36,319] 我就认为他没有价值就这么简单
[00:06:36,319 -> 00:06:37,560] 然后如果一个东西
[00:06:37,560 -> 00:06:39,920] 他只是基于一个fail of missing out
[00:06:39,920 -> 00:06:40,800] formal的话
[00:06:40,800 -> 00:06:42,240] 那他一定是speculation
[00:06:42,240 -> 00:06:43,279] 嗯嗯嗯
[00:06:43,279 -> 00:06:45,279] 对就是比较一些
[00:06:45,680 -> 00:06:47,040] 我是有这样的感觉
[00:06:47,040 -> 00:06:48,399] 但是我不敢说这句话
[00:06:48,399 -> 00:06:49,800] 你说了这句话我就ok
[00:06:49,800 -> 00:06:50,800] 以后我就知道了
[00:06:50,800 -> 00:06:51,720] 这些可能会喷死
[00:06:51,720 -> 00:06:53,519] 但是好没事来吧
[00:06:53,519 -> 00:06:54,839] 来吧来吧来吧好
[00:06:54,839 -> 00:06:57,040] 那第二个呢就是decentralized XXX
[00:06:57,040 -> 00:06:58,879] 这个听起来好像更promising一些
[00:06:59,399 -> 00:07:00,560] decentralized XXX
[00:07:00,560 -> 00:07:02,959] 我觉得他跟XX2N要好一点
[00:07:02,959 -> 00:07:05,379] 嗯呃但是他可能面臨一樣的問題
[00:07:05,379 -> 00:07:06,579] 這是我為什麼要去
[00:07:06,579 -> 00:07:07,540] 你可以問why
[00:07:07,540 -> 00:07:09,040] 你去問一個三歲小孩
[00:07:09,040 -> 00:07:10,000] 不是三歲小孩吧
[00:07:10,000 -> 00:07:11,839] 一個15歲的teenager
[00:07:11,839 -> 00:07:12,500] 你跟他說
[00:07:12,500 -> 00:07:15,240] 我這裡有一個decentralized Instagram
[00:07:15,240 -> 00:07:17,579] 或者decentralized的什麼小紅書
[00:07:17,579 -> 00:07:18,379] 你來用吧
[00:07:18,379 -> 00:07:19,000] 很酷
[00:07:19,000 -> 00:07:20,920] 然後可以給你拿一些好處什麼的
[00:07:20,920 -> 00:07:22,040] 他可能會說
[00:07:22,040 -> 00:07:22,839] 哦
[00:07:22,839 -> 00:07:24,759] 我為什麼要用這個呢
[00:07:24,759 -> 00:07:27,120] 就是他能夠給我的用戶體驗帶來什麼好處
[00:07:27,120 -> 00:07:28,199] 隱私呀
[00:07:29,600 -> 00:07:30,399] 隱私
[00:07:30,439 -> 00:07:32,000] 對大公司多麼的Evil
[00:07:32,000 -> 00:07:35,480] 這不是Webster常見話術嗎
[00:07:35,720 -> 00:07:38,160] 就是大公司們可以隨時的拿你
[00:07:38,160 -> 00:07:39,839] data去做各種Evil的事情
[00:07:39,879 -> 00:07:41,519] 所以我們需要一個Decentralized的
[00:07:41,519 -> 00:07:42,360] 這個XXX
[00:07:42,879 -> 00:07:47,300] 對我覺得這個是Webster公司依然可以拿你的data去做很多事情
[00:07:47,300 -> 00:07:50,399] 而且不只是一家公司可以拿這個東西去做很多事情
[00:07:50,399 -> 00:07:53,600] 可能很多家別的公司也可以拿這個東西去做很多事情
[00:07:53,600 -> 00:07:56,600] 就這裡牽扯出來一個概念我覺得可以澄清一下
[00:07:56,600 -> 00:07:59,500] 就是匿名性不等於隱私性
[00:07:59,500 -> 00:08:06,360] 誒 這個要不你乾脆就幫我们把一些常见的你看到的混淆
[00:08:06,360 -> 00:08:09,660] web3和web2大家常见的混淆给说一下吧
[00:08:09,660 -> 00:08:13,259] 因为我觉得decentralization这个问题讲的已经
[00:08:13,259 -> 00:08:16,699] 就是我觉得我们盖到你的观点了对吧
[00:08:16,699 -> 00:08:19,459] 就是它本身decentralization
[00:08:19,459 -> 00:08:21,620] 你要说decentralization是不是产生value
[00:08:21,620 -> 00:08:26,000] 那这个很多人就会偷换概念說decentralization會產生value
[00:08:26,000 -> 00:08:28,000] 因為它可以達到什麼什麼樣的東西
[00:08:28,000 -> 00:08:30,000] 但是我在這裡邊
[00:08:30,000 -> 00:08:32,000] 經常會感覺到
[00:08:32,000 -> 00:08:34,000] 其實這些所謂的東西
[00:08:34,000 -> 00:08:36,000] 是被偷換的概念的
[00:08:36,000 -> 00:08:38,000] 那要不你把這些講一講
[00:08:38,000 -> 00:08:40,000] 有什麼概念偷換你覺得是比較常見的
[00:08:40,000 -> 00:08:42,000] 對就是說
[00:08:42,000 -> 00:08:44,000] 剛才第一個是這個匿名性和隱私性的問題
[00:08:44,000 -> 00:08:49,000] 對對對 匿名性和隱私性就是我覺得區塊鏈它解決了匿名性
[00:08:49,000 -> 00:08:50,100] 它匿名性解決的很好
[00:08:50,100 -> 00:08:52,100] 因為每個人他就是一個錢包
[00:08:52,100 -> 00:08:54,000] 然後錢包地址你也不知道是什麼
[00:08:54,000 -> 00:08:55,899] 它就是一個public key
[00:08:55,899 -> 00:08:57,200] 這個確實是很好的
[00:08:57,200 -> 00:08:58,700] 但是你說它的隱私性好不好呢
[00:08:58,700 -> 00:09:00,500] 我覺得它其實很差
[00:09:00,500 -> 00:09:03,100] 就如果一旦你知道這個錢包屬於哪個人
[00:09:03,100 -> 00:09:04,700] 他的所有的交易記錄
[00:09:04,700 -> 00:09:05,100] 他跟誰交易
[00:09:05,100 -> 00:09:07,820] 他跟哪個交易所進行的一些interaction
[00:09:07,820 -> 00:09:09,059] 你全部都能看到
[00:09:09,059 -> 00:09:10,759] 他持有哪些幣 持有多少幣
[00:09:10,759 -> 00:09:12,419] 然後這些都能看到
[00:09:12,419 -> 00:09:14,820] 這是一個 然後
[00:09:14,820 -> 00:09:16,960] 我覺得可能還有一點就是
[00:09:16,960 -> 00:09:20,860] 大家在討論這個decentralized的時候
[00:09:20,860 -> 00:09:23,100] 它不是一個binary的東西
[00:09:23,100 -> 00:09:24,620] 不是一個0或者1
[00:09:24,620 -> 00:09:25,000] 就decentralized不代表它是一個binary的東西它不是一個0或者1
[00:09:25,000 -> 00:09:28,000] 就decentralized不代表它是一個無政府主義
[00:09:28,000 -> 00:09:29,000] 哦
[00:09:29,000 -> 00:09:32,000] 這個好像我覺得我在評論裡面也經常看到
[00:09:32,000 -> 00:09:35,000] 對吧 就是有人就會說啊
[00:09:35,000 -> 00:09:38,000] 就是說 比如說Rachel建立的那套protocol
[00:09:38,000 -> 00:09:41,000] 就會覺得說你decentralized不徹底
[00:09:41,000 -> 00:09:42,000] 有人建立這個protocol
[00:09:42,000 -> 00:09:47,000] 建立這個protocol的人就是這個社區的上帝然後我覺得他好像思路也不太對
[00:09:47,000 -> 00:09:48,000] 你怎麼說呢
[00:09:48,000 -> 00:09:49,000] 你怎麼解釋這個點子
[00:09:49,000 -> 00:09:51,500] 對 我覺得是可以這樣看
[00:09:51,500 -> 00:09:53,500] 就是我說它不是無政府主義
[00:09:53,500 -> 00:09:56,000] 是說它其實是有秩序的
[00:09:56,000 -> 00:09:58,000] 這個秩序的意思是說
[00:09:58,000 -> 00:10:00,000] 有的player或者有的stakeholder
[00:10:00,000 -> 00:10:03,000] 它的power之間是有大小之分的
[00:10:03,000 -> 00:10:06,639] 這個我們後面會講到那個
[00:10:06,639 -> 00:10:09,379] 比如說特別是以太升級2.0以後
[00:10:09,379 -> 00:10:11,340] 它proof of stake這個就更加明顯
[00:10:11,340 -> 00:10:12,840] 我們後面可以講到
[00:10:12,840 -> 00:10:16,279] 因為它名字都變成proof of stake
[00:10:16,279 -> 00:10:20,080] 所以區塊鏈decentralization也是有秩序的
[00:10:20,080 -> 00:10:20,779] 不是無政府的
[00:10:20,779 -> 00:10:21,779] 對 它是有秩序的
[00:10:21,779 -> 00:10:24,879] 它秩序來自於它的power是有大小之分的
[00:10:24,879 -> 00:10:27,799] 然後還有一個就是很多人可能認為
[00:10:27,799 -> 00:10:29,139] 特別是一開始的時候
[00:10:29,139 -> 00:10:32,100] 包括比特幣它也是一個permissionless的東西
[00:10:32,100 -> 00:10:33,940] 那如果你是permissionless
[00:10:33,940 -> 00:10:35,740] 那是不是代表你就不可能
[00:10:35,740 -> 00:10:38,240] 會有制裁或者sanction或者censorship
[00:10:38,240 -> 00:10:40,139] 是吧 這是一個很自然的一個
[00:10:40,139 -> 00:10:41,539] 大家會問的問題
[00:10:41,539 -> 00:10:44,899] 但事實上這個事情並沒有發生
[00:10:44,899 -> 00:10:45,580] 就我們可以
[00:10:45,580 -> 00:10:47,299] 就是沒有Censorship的事情
[00:10:47,299 -> 00:10:47,740] 沒有這件事情
[00:10:47,740 -> 00:10:49,220] 就是完全Censorship-free
[00:10:49,220 -> 00:10:51,980] Censorship的真空這個事情並沒有發生
[00:10:51,980 -> 00:10:54,019] 就是以前就是SOFA歷史上
[00:10:54,019 -> 00:10:56,779] 是發生了很多這樣的例子的
[00:10:56,779 -> 00:10:59,620] 我們可以舉個最近一個比較大的例子
[00:10:59,620 -> 00:11:03,100] 就是美國他的那個財政部
[00:11:03,100 -> 00:11:04,700] 他去辦了那個有個叫
[00:11:04,700 -> 00:11:07,120] Tornado Cash的一個應用
[00:11:07,120 -> 00:11:08,720] 那個Tornado Cash的幹什麼呢
[00:11:08,720 -> 00:11:11,879] 他就是完全把你給匿名掉
[00:11:11,879 -> 00:11:15,200] 對 你可以完全洗黑錢幹什麼都可以
[00:11:15,200 -> 00:11:18,360] 這也是財政部對他進行辦的一個理由
[00:11:18,360 -> 00:11:20,600] 但是我們先可以看一下
[00:11:20,600 -> 00:11:23,279] 在傳統的世界裡面是怎麼實現一個辦的
[00:11:23,279 -> 00:11:26,799] 比如說美國政府我要BAN你這個人
[00:11:26,799 -> 00:11:29,500] 那我就把你的那個關聯銀行給你說
[00:11:29,500 -> 00:11:31,740] 你不能去執行他的交易或什麼的
[00:11:31,740 -> 00:11:33,240] 但是你在虛擬貨幣要做這個
[00:11:33,240 -> 00:11:35,500] 需要就所有的相關的
[00:11:35,500 -> 00:11:38,039] Stakeholder都來配合
[00:11:38,039 -> 00:11:40,000] 所以正是因為它有秩序
[00:11:40,000 -> 00:11:41,039] 它的Power有大小
[00:11:41,039 -> 00:11:44,200] 所以這個Stakeholder它可以就是
[00:11:44,200 -> 00:11:45,360] 如果一個大的player
[00:11:45,360 -> 00:11:47,320] 去配合了美國政府的話
[00:11:47,320 -> 00:11:49,440] 實際上你也就是大概率的被辦掉了
[00:11:49,440 -> 00:11:50,600] 我最近在看教父
[00:11:50,600 -> 00:11:52,879] 感覺這個東西很像這個黑幫對吧
[00:11:52,879 -> 00:11:54,720] 就是本來是一個
[00:11:54,720 -> 00:11:56,360] 你想一個黑社會理論上
[00:11:56,360 -> 00:11:58,360] 應該是一個無秩序無政府的
[00:11:58,360 -> 00:12:00,200] 但是慢慢它就會產生秩序
[00:12:00,200 -> 00:12:02,360] 然後這時候你的政府找到幾個
[00:12:02,360 -> 00:12:03,519] 大黑幫的化事人
[00:12:03,519 -> 00:12:05,000] 那你就可以控制黑社會
[00:12:05,000 -> 00:12:07,460] 這個具體的例子比如說
[00:12:07,460 -> 00:12:09,580] 美國政府說我要辦Tornado Cash
[00:12:09,580 -> 00:12:12,799] 然後Circle馬上跳出來說OK我支持
[00:12:12,799 -> 00:12:13,799] 我comply
[00:12:13,799 -> 00:12:15,000] 因為Circle為什麼
[00:12:15,000 -> 00:12:18,340] Circle是那個USDC的背後的那個公司
[00:12:18,340 -> 00:12:20,799] USDC是他們最大的穩定幣
[00:12:20,799 -> 00:12:24,179] 它實際上它每一個USDC它背後有1Dollar的那個
[00:12:24,179 -> 00:12:26,000] 在那邊作为collateral
[00:12:26,000 -> 00:12:28,000] 所以他他能不comply吗
[00:12:28,000 -> 00:12:29,000] 我觉得
[00:12:29,000 -> 00:12:30,000] 然后还有一个就是
[00:12:30,000 -> 00:12:31,000] Github也跑出来
[00:12:31,000 -> 00:12:32,000] 跳出来说我要comply
[00:12:32,000 -> 00:12:34,000] 当然Github他不属于那个web税
[00:12:34,000 -> 00:12:36,000] 不过也是个很有意思的事情
[00:12:36,000 -> 00:12:38,000] 所以他们做这个
[00:12:38,000 -> 00:12:41,000] sanction非常的简单粗暴
[00:12:41,000 -> 00:12:43,000] 我直接blacklist这个地址
[00:12:43,000 -> 00:12:44,000] 就直接找
[00:12:44,000 -> 00:12:45,000] 对就直接blacklist这个地址这个直接找对blacklist这个地址
[00:12:45,000 -> 00:12:47,000] 这个钱包你就被blacklist了
[00:12:47,000 -> 00:12:48,000] 好的 我找不到你小弟
[00:12:48,000 -> 00:12:49,000] 但是我能找到你大哥
[00:12:49,000 -> 00:12:51,000] 然后你必须要通过大哥才能做一些
[00:12:51,000 -> 00:12:52,000] 我都不用去找小弟
[00:12:52,000 -> 00:12:53,000] 我直接说
[00:12:53,000 -> 00:12:54,000] 大哥自己会出来说
[00:12:54,000 -> 00:12:55,000] 我confi
[00:12:55,000 -> 00:12:56,000] 我confi
[00:12:56,000 -> 00:12:57,000] 好的
[00:12:57,000 -> 00:12:58,000] 非常有意思
[00:12:58,000 -> 00:12:59,000] 感觉这个如果多读
[00:12:59,000 -> 00:13:00,000] 多看些古惑仔
[00:13:00,000 -> 00:13:03,000] 说不定对WAPT的进化会有一些认知
[00:13:03,000 -> 00:13:10,000] 那Kopar就是我觉得你说的这几个你说的这几个概念上的澄清
[00:13:10,000 -> 00:13:14,000] 其实都是一些非常宝贵的市面上大家有意混淆的概念
[00:13:14,000 -> 00:13:16,000] 但是我觉得澄清的都非常好
[00:13:16,000 -> 00:13:19,000] 那我可不可以请你从你的角度上
[00:13:19,000 -> 00:13:23,000] 去把这个WEB1 WEB2 WEB3的区别给大家说一下
[00:13:23,000 -> 00:13:26,600] 因为这个东西我觉得也是大家就是投放腦概念很嚴重的一個地方
[00:13:26,600 -> 00:13:28,200] 對對對 這個我可能是一個
[00:13:28,200 -> 00:13:30,799] 我每天都在思考事變的一個東西
[00:13:30,799 -> 00:13:34,600] 然後可能慢慢的它那個收斂到了這麼一個認識
[00:13:34,600 -> 00:13:37,399] 就是我覺得就很多人也說過
[00:13:37,399 -> 00:13:40,399] 第一代的互聯網大家就是一個
[00:13:40,399 -> 00:13:42,399] 比如說以門戶網站為代表的
[00:13:42,399 -> 00:13:44,399] 就是一個單純的信息獲取
