[00:00:00,000 -> 00:00:02,040] Hello大家好 欢迎回到课代表力正
[00:02:13,759 -> 00:02:16,439] 如果有的话请把点头打在公屏上
[00:02:16,439 -> 00:02:18,280] 为什么
[00:02:18,280 -> 00:02:22,120] 我们在刚进入职场的时候
[00:02:22,120 -> 00:02:25,400] 我们会去用对错的角度去考虑问题
[00:02:25,759 -> 00:02:28,360] 但是在职场上大家都是聪明人
[00:02:28,360 -> 00:02:30,319] 就是如果一个人犯了错以后
[00:02:30,319 -> 00:02:32,319] 也有其他人会帮他看出来
[00:02:32,520 -> 00:02:34,719] 所以说你当你遇到一个工作
[00:02:34,840 -> 00:02:36,800] 你会看到很多不合理的地方
[00:02:36,919 -> 00:02:38,800] 这个时候并不是你的想法对
[00:02:38,800 -> 00:02:39,719] 别人想法错
[00:02:39,719 -> 00:02:41,680] 很多时候是你不知道全貌
[00:02:42,039 -> 00:02:44,159] 那一个资深的这个工程师
[00:02:44,159 -> 00:02:47,080] 他会从一个取舍的角度去考慮這個問題
[00:02:47,080 -> 00:02:48,479] 就是我首先
[00:02:48,479 -> 00:02:50,199] 我假設真的看到一些錯的東西
[00:02:50,199 -> 00:02:51,400] 我當然會去糾正了
[00:02:51,400 -> 00:02:52,439] 但是絕大多數情況
[00:02:52,439 -> 00:02:54,400] 當一個資深的人
[00:02:54,400 -> 00:02:57,560] 他看到一些好像看似不合理的東西
[00:02:57,560 -> 00:02:59,520] 他的第一反應一定是
[00:02:59,520 -> 00:03:02,039] 我們當時是做了什麼樣的取捨
[00:03:02,039 -> 00:03:04,439] 就是背後圍繞這個決定
[00:03:04,439 -> 00:03:06,199] 背後圍绕这个方案
[00:03:06,240 -> 00:03:09,919] 它的各种各样的限制条件是什么
[00:03:09,960 -> 00:03:13,159] 才导致我们去进行这样的选择
[00:03:13,199 -> 00:03:15,280] 不管这个限制是明的还是暗的
[00:03:15,280 -> 00:03:16,800] 有的时候可能是钱的问题
[00:03:17,240 -> 00:03:18,039] 技术的问题
[00:03:18,400 -> 00:03:19,199] 人力的问题
[00:03:19,639 -> 00:03:21,680] 有的时候可能是因为组织结构的问题
[00:03:21,960 -> 00:03:24,360] 我们可能跟其他的一个组有竞争
[00:03:24,360 -> 00:03:28,560] 或者说我们可能跟其他的组很难合作
[00:03:28,560 -> 00:03:31,599] 或者说我们的组织有一个更大的目标
[00:03:31,599 -> 00:03:33,840] 我们在这个时候需要通过这个方向
[00:03:33,840 -> 00:03:36,199] 如果你从这个角度开始考虑的话
[00:03:36,199 -> 00:03:38,240] 你就会不自觉的就知道了
[00:03:38,240 -> 00:03:40,680] 这个决定背后的各种各样的因素
[00:03:40,680 -> 00:03:42,759] 你就能得到一个bigger picture
[00:03:42,759 -> 00:03:45,319] 然后你对组织是怎么运作的
[00:03:45,319 -> 00:03:46,960] 也会有更多的理解
[00:03:47,280 -> 00:03:50,319] 这个时候一个好的工程师也好
[00:03:50,439 -> 00:03:51,400] 数学科学家也好
[00:03:51,560 -> 00:03:52,199] PM也好
[00:03:52,199 -> 00:03:53,680] 他是一个资深的同学
[00:03:53,680 -> 00:03:55,800] 他会在这些取舍里边去想
[00:03:55,800 -> 00:03:58,000] 我们现在最需要做的是什么
[00:03:58,360 -> 00:03:59,360] 这里边的取舍
[00:03:59,360 -> 00:04:00,879] 我在哪里可以近一点
[00:04:00,879 -> 00:04:02,479] 我在哪里近一点的时候
[00:04:02,479 -> 00:04:03,800] 一定会导致其他的地方
[00:04:03,800 -> 00:04:05,639] 会变得差一点牺牲一些
[00:04:05,879 -> 00:04:09,560] 这个时候什么样子的调整
[00:04:09,599 -> 00:04:13,360] 才是最利于我们现在组织的情况的
[00:04:13,479 -> 00:04:14,039] 好
[00:04:14,599 -> 00:04:16,519] 如果说你认可这个想法的话
[00:04:16,519 -> 00:04:19,199] 我们就回到小张的case上去
[00:04:19,240 -> 00:04:22,240] 小张他在说对错的时候
[00:04:22,240 -> 00:04:24,000] 其实代表了两个问题
[00:04:24,120 -> 00:04:27,199] 第一个就是他没有看到这个bigger picture
[00:04:27,199 -> 00:04:29,500] 他不知道这个项目的全貌
[00:04:29,500 -> 00:04:33,100] 他就简单的否定了其他的这些方案是错的
[00:04:33,100 -> 00:04:35,000] 他的方案是对的
[00:04:35,000 -> 00:04:36,800] 那第二个也就是更大的问题
[00:04:36,800 -> 00:04:39,699] 就是小张用对错在形容这件事情的时候
[00:04:39,699 -> 00:04:42,399] 其实也代表了他的这个
[00:04:42,399 -> 00:04:44,300] 这个思路的固执
[00:04:44,300 -> 00:04:49,519] 就是你会觉得你说服这样的一个人会非常非常的难
[00:04:49,519 -> 00:04:53,759] 就是如果他说的话是我们为什么要用这个方案
[00:04:53,759 -> 00:04:56,079] 这个方案它有这样的缺点
[00:04:56,079 -> 00:04:59,519] 然后为什么我们不采用更好另外一个方案
[00:04:59,519 -> 00:05:02,000] 我觉得另外一个方案因为123更好
[00:05:02,000 -> 00:05:04,000] 这样的一个讨论是很容易进行的
[00:05:04,000 -> 00:05:06,519] 但是当他说你的方案A是错的
[00:05:06,519 -> 00:05:08,240] 这个方案B是对的
[00:05:08,240 -> 00:05:10,360] 这个时候你就能感觉到
[00:05:10,360 -> 00:05:13,120] 他其实是很难去接受一个想法的
[00:05:13,120 -> 00:05:15,279] 你要去花更多的时间去说服他
[00:05:15,279 -> 00:05:17,319] 那如果说你不得不去说服他的话
[00:05:17,319 -> 00:05:18,519] 这是一个很难的头疼
[00:05:18,519 -> 00:05:21,399] 所以说就是屏幕前的同学们
[00:05:21,399 -> 00:05:22,800] 我们不要做小张
[00:05:22,800 -> 00:05:25,199] 我们要去有一个所谓的空杯心态
[00:05:25,199 -> 00:05:25,680] 好的
[00:05:25,680 -> 00:05:29,480] 希望刚才总结的这一点对大家是有用的
[00:05:29,480 -> 00:05:31,000] 如果你觉得有用的话
[00:05:31,000 -> 00:05:33,319] 请点赞投币转发
[00:05:33,319 -> 00:05:36,720] 然后如果是YouTube同学就那个点赞和转发
[00:05:36,720 -> 00:05:38,800] 这会对我有很大的帮助
[00:05:38,800 -> 00:05:40,560] 可能这也可以告诉推荐引擎
[00:05:40,560 -> 00:05:41,720] 你喜欢这样的视频
[00:05:41,720 -> 00:05:44,160] 那他可以给你推送更多像这样的视频
[00:05:44,160 -> 00:05:45,279] 那么谢谢大家
[00:05:45,279 -> 00:05:46,360] 我们下期再见
[00:05:46,360 -> 00:05:46,920] 拜拜
