[00:00:00,000 -> 00:00:01,919] 去年我们来一个特别简单的一场
[00:06:53,000 -> 00:06:53,800] 也可以分享一下
[00:06:53,800 -> 00:06:55,199] 是有个有意思的安排
[00:06:55,199 -> 00:06:55,600] 然后呢
[00:06:55,600 -> 00:07:01,000] 我们就想有的时候常常我们做这种结婚周年纪念
[00:07:01,000 -> 00:07:02,199] 要么去餐馆啊
[00:07:02,199 -> 00:07:04,300] 这些也都是非常好的仪式感
[00:07:04,300 -> 00:07:05,000] 但我们想呢
[00:07:05,000 -> 00:07:08,000] 九周年的时候是简单一点
[00:07:08,000 -> 00:07:09,000] 也就是去年
[00:07:09,000 -> 00:07:11,000] 去年我们来一个特别简单的一场
[00:07:11,000 -> 00:07:13,000] 就是啊两个人角色扮演
[00:07:13,000 -> 00:07:15,000] 在找了一个一家咖啡馆
[00:07:15,000 -> 00:07:18,000] 然后呢我们就偶遇
[00:07:18,000 -> 00:07:20,000] 或者是一种Blind Date
[00:07:20,000 -> 00:07:22,000] 就是相当于是我们互相都不认识
[00:07:22,000 -> 00:07:23,000] 第一次约会
[00:07:23,000 -> 00:07:25,100] 第一次约第一次約會
[00:07:25,100 -> 00:07:27,399] 那這是一種挺神奇的感覺
[00:07:27,399 -> 00:07:29,500] 其實在一起認識了十年多了
[00:07:29,500 -> 00:07:30,800] 結婚都九年了
[00:07:30,800 -> 00:07:31,399] 然後呢
[00:07:31,399 -> 00:07:34,199] 面對面各自捧著一杯咖啡
[00:07:34,199 -> 00:07:37,800] 坐在Peet's Coffee那家店裡的吧台上
[00:07:37,800 -> 00:07:39,199] 然後突然就想
[00:07:39,199 -> 00:07:41,199] 我該怎麼介紹我自己
[00:07:41,199 -> 00:07:44,000] 這變成對我來說變成了一個哲學問題
[00:07:44,000 -> 00:07:47,500] 我怎麼向面前的這位女生介紹我自己這變成對我來說變成了一個哲學問題我怎麼向面前的這位女生介紹我自己
[00:07:47,500 -> 00:07:48,199] 我是誰
[00:07:48,199 -> 00:07:49,600] 我究竟是有什麼
[00:07:49,600 -> 00:07:51,100] 我想介紹我的愛好
[00:07:51,100 -> 00:07:52,800] 還是展示我的資產
[00:07:52,800 -> 00:07:55,500] 還是展示我在工作上的成績
[00:07:55,500 -> 00:07:56,399] 後來想啊
[00:07:56,399 -> 00:07:58,100] 也許究竟什麼重要
[00:07:58,100 -> 00:08:00,300] 所以這是一個特別有趣的一個練習
[00:08:00,300 -> 00:08:02,800] 回頭你跟你的未婚妻過幾年以後
[00:08:02,800 -> 00:08:04,699] 也可以來一場這樣的對話
[00:08:04,699 -> 00:08:07,360] 其實這個很好我們今天晚上就要試一下
[00:08:07,360 -> 00:08:08,600] 對 認識自己
[00:08:08,600 -> 00:08:09,439] 重新認識自己
[00:08:09,439 -> 00:08:10,120] 認識彼此
[00:08:10,120 -> 00:08:13,040] 而且特別是對於我們長期已經生活了
[00:08:13,040 -> 00:08:16,319] 十年多的生活上的搭檔夫妻來說
[00:08:16,319 -> 00:08:18,720] 是一個重新認識對彼此的期待
[00:08:18,720 -> 00:08:20,480] 對生活的期待是什麼
[00:08:20,480 -> 00:08:22,079] 優先級在哪裡
[00:08:22,079 -> 00:08:24,920] 比如說共同的一些什麼樣的經歷
[00:08:24,920 -> 00:08:25,000] 然後我們要花共同的一些什麼樣的經歷
[00:08:25,000 -> 00:08:29,000] 然後呢 我們要花共同的家庭的資產 家庭的錢
[00:08:29,000 -> 00:08:31,500] 和我們共同的時間一起去做哪些事情
[00:08:31,500 -> 00:08:34,500] 是我們認為可能吸引力很有價值的
[00:08:34,500 -> 00:08:39,000] 這其實是一次很好的機會讓我們找到這個切合點在哪
[00:08:39,000 -> 00:08:41,500] 所以你的自我介紹是什麼呢
[00:08:41,500 -> 00:08:45,100] 我的自我介紹�其实我想的是我的
[00:08:45,100 -> 00:08:47,299] 我是从我的爱好开始说的
[00:08:47,299 -> 00:08:49,299] 因为我觉得对我来说
[00:08:49,299 -> 00:08:51,000] 这是我的每一种爱好
[00:08:51,000 -> 00:08:55,000] 都是让我打开人生中的一个新的体验的篇章
[00:08:55,000 -> 00:08:57,899] 比如说就拿潜水举个例子
[00:08:57,899 -> 00:09:00,200] 自从几年前我学会潜水以后
[00:09:00,200 -> 00:09:00,600] 后来呢
[00:09:00,600 -> 00:09:02,600] 逐渐考到了高级潜水证
[00:09:02,600 -> 00:09:05,799] 这种干湿潜水衣的dry suit潜水证
[00:09:05,799 -> 00:09:08,200] 然后呢呼吸的nitrax各种各样的证吧
[00:09:08,200 -> 00:09:11,200] 嗯 然后使得开开启了非常多的新的骗证
[00:09:11,200 -> 00:09:16,399] 我去墨西哥跟当地的一位本地的导向导带着我去了
[00:09:16,399 -> 00:09:20,299] 山洞里面墨西哥的森林里的淡水洞
[00:09:20,299 -> 00:09:21,799] 然后垂直向地下
[00:09:21,799 -> 00:09:22,899] 然后潜下去
[00:09:22,899 -> 00:09:27,700] 哇 发现了看到了很多墙壁上几亿年前留下来的化石
[00:09:27,700 -> 00:09:29,700] 我们去马尔代夫的时候
[00:09:29,700 -> 00:09:31,139] 一艘沉船
[00:09:31,139 -> 00:09:34,399] 在可能真的就是很多很多年前就沉到了
[00:09:34,399 -> 00:09:35,399] 出江沉到了船底
[00:09:35,399 -> 00:09:36,899] 我们穿越这船底
[00:09:36,899 -> 00:09:39,299] 看到了这是曾经船长的房间
[00:09:39,299 -> 00:09:41,600] 这是曾经水手吃饭的房间
[00:09:41,600 -> 00:09:42,559] 然后呢
[00:09:42,559 -> 00:09:44,139] 包括前段时间
[00:09:44,139 -> 00:09:46,720] 我们去这边抓龙虾
[00:09:46,720 -> 00:09:49,759] 这也是在加州可以去做的很有趣的一件事情
[00:09:49,759 -> 00:09:50,559] 在船上
[00:09:50,559 -> 00:09:51,919] 然后呢
[00:09:51,919 -> 00:09:53,299] 船把我们带到一个岛上
[00:09:53,299 -> 00:09:54,759] 然后下去抓龙虾
[00:09:54,759 -> 00:09:55,799] 然后在船上呀
[00:09:55,799 -> 00:10:01,259] 其实最令我感受深刻的就是在船上有四位老人
[00:10:01,259 -> 00:10:02,360] 都是70岁以上
[00:10:03,559 -> 00:10:05,100] 游客游客
[00:10:06,200 -> 00:10:07,500] 游客参加潜水的人对就是去潜水玩的人
[00:10:07,500 -> 00:10:09,700] 他都在那艘船叫做Peace Boat
[00:10:09,700 -> 00:10:10,500] 就在加州
[00:10:10,700 -> 00:10:12,000] 他已经潜水
[00:10:12,000 -> 00:10:13,899] 我遇到一位朋友
[00:10:14,399 -> 00:10:15,700] 年老一些的朋友
[00:10:15,700 -> 00:10:16,399] 他叫做Tim
[00:10:16,600 -> 00:10:19,200] 他74年74岁
[00:10:19,399 -> 00:10:22,600] 他在1950年的出生
[00:10:22,600 -> 00:10:25,799] 1960年代就接触到了潜水
[00:10:25,799 -> 00:10:27,320] 当时他说他才12岁
[00:10:27,320 -> 00:10:29,440] 他的邻居有一套潜水装备
[00:10:29,440 -> 00:10:31,720] 然后那个时候潜水装备是很少的
[00:10:31,720 -> 00:10:34,080] 不像现在有这么多先进的材料
[00:10:34,080 -> 00:10:36,399] 衣服那时候都很硬
[00:10:36,399 -> 00:10:40,120] 甚至对每一个人的身材都要某种程度上去定制
[00:10:40,120 -> 00:10:43,399] 然后他自从第一次接受到潜水以后
[00:10:43,399 -> 00:10:44,759] 就爱上了这项运动
[00:10:44,759 -> 00:10:49,000] 然后一直到70多岁了还能够去潜水 我就很佩服他
[00:10:49,000 -> 00:10:52,700] 然后另外一位叫Sheldon的潜水者
[00:10:52,700 -> 00:10:55,600] 他是两年前刚做了癌症手术
[00:10:55,600 -> 00:10:57,799] 现在坐在船上的时候他都不能直着坐
[00:10:57,799 -> 00:11:00,000] 一直要斜着坐才能不会很痛
[00:11:00,000 -> 00:11:03,000] 但是呢 他依然也是能够去跳潜水
[00:11:03,000 -> 00:11:07,559] 这其实每一种爱好都会让我们打开很多新的体验
[00:11:07,559 -> 00:11:09,960] 还有新的跟人与人之间的关系
[00:11:09,960 -> 00:11:11,440] Sheldon他就跟我分享
[00:11:11,440 -> 00:11:12,200] 他也70多岁
[00:11:12,200 -> 00:11:13,279] 他就跟我分享
[00:11:13,279 -> 00:11:16,320] 他的教育孩子认为这些学校都不错
[00:11:16,320 -> 00:11:22,799] 但是再好的学校也不能够替代父母对孩子时间上的投入
[00:11:22,799 -> 00:11:25,720] 这是不能够丢给学校去教育的
[00:11:26,120 -> 00:11:34,039] 那么这些很多 我觉得这也是问了他们很多 哎 70多岁的年长的 呃 这些身体也不错的
[00:11:35,120 -> 00:11:40,679] 老人们 然后问孩子给一个30多岁40多岁的人什么样的人生建议 这些智慧
[00:11:41,080 -> 00:11:45,940] 我们也是就真的就在一艘海上漂浴的小船上面收获到非常多
[00:11:45,940 -> 00:11:46,340] 所以呢
[00:11:46,340 -> 00:11:48,139] 回到刚刚的话题
[00:11:48,139 -> 00:11:52,580] 我觉得从就是我是从我的爱好开始
[00:11:52,600 -> 00:11:55,019] 向我的太太开始介绍
[00:11:55,019 -> 00:11:56,100] 我有哪些爱好
[00:11:56,100 -> 00:11:59,019] 从中找到我们有很多共同的兴趣
[00:11:59,019 -> 00:12:03,299] 我们的人生观价值观是有哪些的结合点
[00:12:03,299 -> 00:12:05,000] 没有介绍过自己的资产和工作
[00:12:05,000 -> 00:12:06,200] 其实我觉得不会的
[00:12:06,200 -> 00:12:08,799] 因为你有没有听说一句话
[00:12:08,799 -> 00:12:10,500] 就是当你参加一个party
[00:12:10,600 -> 00:12:13,799] 先问你说我叫孙玉璋
[00:12:14,000 -> 00:12:16,500] 然后马上说你在哪里工作孙玉璋
[00:12:16,500 -> 00:12:18,000] 我在唐山
[00:12:18,000 -> 00:12:20,000] 当我问这件问题的时候
[00:12:20,000 -> 00:12:22,000] 很多人说心里面就在算一笔账
[00:12:22,000 -> 00:12:24,000] 就在我在衡量你的社交价值
[00:12:24,000 -> 00:12:25,919] 我有没有必要再跟你说几句话
[00:12:25,919 -> 00:12:27,720] 还是我在跟你多聊一会儿
[00:12:27,720 -> 00:12:29,320] 其实从往往这些
[00:12:29,320 -> 00:12:30,799] 这些也没有什么问题了
[00:12:30,799 -> 00:12:31,039] 对吧
[00:12:31,039 -> 00:12:32,240] 人家时间都是有限的
[00:12:32,240 -> 00:12:33,919] 特别是在有一些社交场合
[00:12:33,919 -> 00:12:35,159] 人们都是代理着
[00:12:35,159 -> 00:12:39,159] 对用标签用这种去不断的去衡量对方的社交价值
[00:12:39,159 -> 00:12:40,519] 所以上来问你在哪里工作
[00:12:40,519 -> 00:12:41,279] 而不是问
[00:12:41,720 -> 00:12:44,240] 你是谁你是个什么样的人
[00:12:44,240 -> 00:12:46,399] 但是夫妻关系不能从这个起点上开始
[00:12:46,399 -> 00:12:48,720] 如果夫妻关系上来就从价值上开始
[00:12:49,000 -> 00:12:51,080] 那这可能是一段非常脆弱的婚姻
[00:12:51,080 -> 00:12:54,000] 因为我们人生肯定会经历各种各样的挑战
[00:12:54,000 -> 00:12:55,679] 不想说找一个人生搭档
[00:12:55,840 -> 00:12:58,120] 去建立在这个金钱物质基础上
[00:12:58,480 -> 00:13:01,720] 交朋友也是就是工作社交那样就那样
[00:13:01,720 -> 00:13:03,720] 但是交朋友的时候真的
[00:13:04,000 -> 00:13:05,399] 就是长期的朋友
[00:13:05,399 -> 00:13:07,799] 也是前天那個就是來問我說
[00:13:07,799 -> 00:13:09,139] 你怎麼認識努德大佬的
[00:13:09,139 -> 00:13:11,440] 然後說好像我不知道怎麼認識的
[00:13:11,440 -> 00:13:12,500] 但是後來想了想
[00:13:12,600 -> 00:13:15,100] 確實就是也不能說不認識吧對吧
[00:13:15,139 -> 00:13:16,899] 但後來想一想就是其實我
[00:13:17,799 -> 00:13:19,740] 是一個有問題的人
[00:13:19,740 -> 00:13:22,100] 然後我看他們不是看成一個大佬
[00:13:22,100 -> 00:13:23,399] 而是他們是一個有答案的人
[00:13:23,639 -> 00:13:25,480] 然後是從這個角度去的
[00:13:25,480 -> 00:13:27,559] 也没有太在乎大家的观点
[00:13:27,559 -> 00:13:29,759] 对 其实我发现大佬们呢
[00:13:29,759 -> 00:13:30,960] 往往他能成为大佬
[00:13:30,960 -> 00:13:33,480] 也是因为他曾经也是有问题爱思考的人
[00:13:33,679 -> 00:13:35,000] 第二呢爱分享的人
[00:13:35,000 -> 00:13:36,679] 有的在任何在公司里也是这样
[00:13:36,679 -> 00:13:37,919] 咱们上次也举了
[00:13:37,919 -> 00:13:39,879] 在上一期的节目中举了一个例子
[00:13:39,919 -> 00:13:41,279] 你去跟公司里的大佬
[00:13:41,279 -> 00:13:43,399] 跟这些社会每个行业大佬
[00:13:43,440 -> 00:13:44,120] 你说reach out
[00:13:44,120 -> 00:13:45,879] 往往都会有惊奇的发现
[00:13:45,879 -> 00:13:48,460] 会发现他们是非常愿意分享自己的思考
[00:13:48,460 -> 00:13:50,320] 是是是是是
[00:13:50,320 -> 00:13:52,159] 对就是
[00:13:52,159 -> 00:13:53,320] 但是换句话说
[00:13:53,320 -> 00:13:55,559] 就是如果我没有 我不是真的有那个问题
[00:13:55,559 -> 00:13:57,179] 我也不会去reach out大家
[00:13:57,179 -> 00:14:01,360] 因为我后来就是以我的这个脸皮的厚的程度
[00:14:01,360 -> 00:14:03,919] 我可以把所有的我认识的大佬们全都reach out一遍
[00:14:03,919 -> 00:14:05,960] 我相信有很多人会愿接受採訪之類的
[00:14:05,960 -> 00:14:07,039] 但是沒有必要
[00:14:07,039 -> 00:14:07,759] 就是對
[00:14:07,759 -> 00:14:08,960] 我覺得很有意義的一件事
[00:14:09,200 -> 00:14:10,759] 你可以問這些大佬
[00:14:10,759 -> 00:14:12,519] 同時也分享給更多的人
