[00:00:00,000 -> 00:00:03,000] 其实一直以来我都是一个Deep Learning大喷子
[00:04:17,519 -> 00:04:20,240] 大家用各自不同的方法都解决了这个问题
[00:04:20,480 -> 00:04:22,279] 只要你解决了这个问题效果就会特别好
[00:04:22,720 -> 00:04:25,000] 比如说AlexNet把它堆到了8层
[00:04:25,000 -> 00:04:29,000] 接下来ResNet用ResidueBlock把它堆到了100层
[00:04:29,000 -> 00:04:31,000] 后面堆到了1000层,效果特别好
[00:04:31,000 -> 00:04:35,000] 甚至在持续分析NLP领域的LSTM
[00:04:35,000 -> 00:04:38,000] 97年的时候也是从RN一路走过来
[00:04:38,000 -> 00:04:43,000] 也用类似的方法实现了这样Grid and Vanishing
[00:04:43,000 -> 00:04:46,060] 或者RN还有一个Grid and Explosion之类的解决也都实现了比Grid and Vanishing啊或者RN还有一个Grid and Explosion啊
[00:04:46,399 -> 00:04:47,259] 之类的解决
[00:04:47,339 -> 00:04:48,800] 也都实现了比较好的效果
[00:04:49,360 -> 00:04:50,459] 所以我个人认为
[00:04:50,740 -> 00:04:51,939] Grid and Vanishing是
[00:04:51,939 -> 00:04:54,000] Deep Learning为什么Work的一个重要的因素
[00:04:54,500 -> 00:04:55,699] 此外还有两个因素
[00:04:55,860 -> 00:04:57,399] 一个是我们终于有了
[00:04:57,660 -> 00:04:59,360] 大规模的人工标注的数据
[00:04:59,939 -> 00:05:00,540] 比如说
[00:05:01,300 -> 00:05:04,300] 以前Caltech 1.1大家做啊都做9000张图
[00:05:04,300 -> 00:05:05,560] 我觉得挺大的
[00:05:05,560 -> 00:05:07,439] 到到李飞飞他们组
[00:05:07,439 -> 00:05:08,199] 12年左右
[00:05:08,199 -> 00:05:08,800] 11年左右
[00:05:08,800 -> 00:05:11,920] 弄出来一个200万张图的ImageNet
[00:05:11,920 -> 00:05:12,879] 因为有这么多图
[00:05:12,879 -> 00:05:16,319] 所以Neural Network才不会overfit
[00:05:16,319 -> 00:05:17,279] 还有个重要的一点呢
[00:05:17,279 -> 00:05:19,639] 是大家终于知道用GPU来train了
[00:05:19,639 -> 00:05:21,160] 其实这件事情并不是那么直观
[00:05:22,279 -> 00:05:24,199] 现在CUDA很方便
[00:05:24,199 -> 00:05:26,519] 但当时CUDA还是1.0
[00:05:26,519 -> 00:05:29,800] 在说我主要用来做天气预报这样的情况下
[00:05:29,800 -> 00:05:31,439] 能够意识到deep learning
[00:05:31,439 -> 00:05:34,720] deep neural network能够用GPU来并行training
[00:05:34,720 -> 00:05:35,800] 是一件很不容易的事情
[00:05:35,800 -> 00:05:38,240] 甚至Alex Nath那篇文章一半的篇幅
[00:05:38,240 -> 00:05:39,439] 都在讲怎么去干这件事
[00:05:39,439 -> 00:05:41,920] 这是非常有开拓性的事业
[00:05:41,920 -> 00:05:46,000] 那啥时候适合用deep learning呢
[00:05:46,000 -> 00:05:47,000] 我觉得主要有两个
[00:05:47,000 -> 00:05:50,000] 一个是当你有很多数据的时候
[00:05:50,000 -> 00:05:52,000] 但其实也有一些例外
[00:05:52,000 -> 00:05:55,000] 比如说transfer learning就可以允许你用比较小的数据
[00:05:55,000 -> 00:05:58,000] 甚至几十张图就能成一个相对靠谱的模型出来
[00:05:58,000 -> 00:06:01,000] 同时也有一些其他的例外
[00:06:01,000 -> 00:06:03,000] 比如说你可以生成一些数据
[00:06:03,000 -> 00:06:05,379] 或者是比如像alphago一样
[00:06:05,379 -> 00:06:07,620] 或者是这数据哪怕非常noisy
[00:06:07,620 -> 00:06:08,939] 没有人工标注也可以
[00:06:08,939 -> 00:06:11,779] Facebook之前在Instagram上
[00:06:11,779 -> 00:06:14,660] train了一个非常noisy的数据
[00:06:14,660 -> 00:06:15,540] 上面train了一个model
[00:06:15,540 -> 00:06:16,300] 效果也特别好
[00:06:16,300 -> 00:06:18,819] 此外还有一个要求是
[00:06:18,819 -> 00:06:20,220] 这个数据最好是规整的
[00:06:20,220 -> 00:06:22,019] 比如说图像的像素是网格
[00:06:22,019 -> 00:06:26,160] 或者文本语音它本身是一个线性的序列
[00:06:26,160 -> 00:06:27,079] 这就比较好
[00:06:27,079 -> 00:06:28,560] 像图呢不是不能做
[00:06:28,560 -> 00:06:30,279] 而是就需要更多的处理
[00:06:30,279 -> 00:06:33,199] 相对来说就不是那么适合用deep learning来做
[00:06:33,199 -> 00:06:37,000] 那啥时候deep learning就不适合用来解决这个问题呢
[00:06:37,000 -> 00:06:40,399] 除了说啊你没有很多的数据或者数据不规则以外
[00:06:40,399 -> 00:06:43,000] 还有一个是你需要很多interpretability的时候
[00:06:43,000 -> 00:06:47,160] 或者你需要一个随机性特别小
[00:06:47,160 -> 00:06:48,040] 特别可靠
[00:06:48,480 -> 00:06:50,120] 或者是你没有多少资源
[00:06:50,160 -> 00:06:53,319] 计算资源或者是电力来做inference的时候
[00:06:53,439 -> 00:06:54,399] 就不是特别适合
[00:06:55,920 -> 00:06:58,639] 为什么人们就这么喜欢deep learning
[00:06:58,639 -> 00:06:59,680] 它突然就这么火呢
[00:07:00,079 -> 00:07:03,040] 我觉得不是因为它的performance是最好的
[00:07:03,079 -> 00:07:06,000] 这是因为任何时间段总有个performance最好的算法
[00:07:06,000 -> 00:07:09,000] 为啥到deep learning时间它突然就引爆了呢
[00:07:10,000 -> 00:07:13,000] 也不是因为说deep learning就解决了一些问题
[00:07:13,000 -> 00:07:15,000] 它是强人工智能要来了
[00:07:15,000 -> 00:07:16,000] 好像也不是
[00:07:17,000 -> 00:07:19,000] 我的答案是
[00:07:19,000 -> 00:07:22,000] 它到目前为止还没有出现饱和这个情况
[00:07:22,000 -> 00:07:25,000] 我偷了一个图来解释这个观点
[00:07:25,000 -> 00:07:26,000] 啥叫饱和呢
[00:07:26,000 -> 00:07:28,000] 就以前的诚哥那个算法
[00:07:28,000 -> 00:07:30,000] 它像这条红线一样
[00:07:30,000 -> 00:07:32,000] 搞了一段时间
[00:07:32,000 -> 00:07:34,000] 即使你给它扔更多的数据
[00:07:34,000 -> 00:07:37,000] 你用更多的算力
[00:07:37,000 -> 00:07:39,000] 更复杂的模型
[00:07:39,000 -> 00:07:41,000] 它performance也肯定涨不上去了
[00:07:41,000 -> 00:07:42,000] 这就叫saturation
[00:07:42,000 -> 00:07:44,000] 然后deep learning到目前为止
[00:07:44,000 -> 00:07:45,399] 至少是人有多大胆
[00:07:45,399 -> 00:07:46,480] 地有多大产
[00:07:46,480 -> 00:07:48,720] 你只要有足够的钱来标数据
[00:07:48,720 -> 00:07:50,199] 有足够的机器
[00:07:50,199 -> 00:07:52,360] 来支撑更复杂的算法
[00:07:52,360 -> 00:07:53,279] 更大的模型
[00:07:53,279 -> 00:07:56,000] 你就能拿到更好的performance
[00:07:56,000 -> 00:07:57,319] 所以这个东西
[00:07:57,319 -> 00:07:58,639] 大公司特别喜欢
[00:07:58,639 -> 00:08:00,319] 因为它把技术上
[00:08:00,319 -> 00:08:01,160] 人才上的竞争
[00:08:01,160 -> 00:08:03,439] 直接变成了钱上面的竞争
[00:08:03,439 -> 00:08:05,399] 只要你加三倍的服务器
[00:08:05,699 -> 00:08:08,600] 我就能拿到更好的product
[00:08:09,000 -> 00:08:10,000] 这是非常简单的
[00:08:10,800 -> 00:08:11,800] 他们非常喜欢的
[00:08:12,600 -> 00:08:14,199] 所以这是一个悖论
[00:08:14,199 -> 00:08:17,100] 就是deployment它门槛又在变低又在变高
[00:08:17,300 -> 00:08:20,600] 说变低是因为你看高中生都可以train一个model出来
[00:08:20,600 -> 00:08:21,800] 说AI model
[00:08:22,300 -> 00:08:24,100] 同时也不需要做fisher engineering
[00:08:25,360 -> 00:08:27,480] 可能不太需要domain knowledge
[00:08:27,480 -> 00:08:28,160] 有些时候
[00:08:29,079 -> 00:08:30,600] 同时它又门槛又要变高
[00:08:30,600 -> 00:08:32,720] 因为你要是真想把它做成产品
[00:08:32,840 -> 00:08:37,200] 你需要很多钱去训练或者是标数据等等
[00:08:37,759 -> 00:08:38,960] 所以这玩意还挺矛盾的
[00:08:40,279 -> 00:08:41,159] 在正式版里面
[00:08:41,279 -> 00:08:44,919] 我会继续介绍一些deep learning相关的模型
[00:08:45,000 -> 00:08:47,500] 不一定是模型,可能是一些思路
[00:08:47,500 -> 00:08:53,000] 比如说transfer learning, representation learning, general model
[00:08:53,000 -> 00:09:00,000] 像adversarial attack, RNLSTM transformer之类的东西
[00:09:00,000 -> 00:09:02,000] New architecture search
[00:09:02,000 -> 00:09:05,679] 这次时间不够,就暂时先这样
[00:09:05,679 -> 00:09:07,919] 我总结一下刚才说了啥
[00:09:07,919 -> 00:09:11,759] deep learning为什么12年左右突然work呢
[00:09:11,759 -> 00:09:14,240] 我觉得主要是因为有GPU的算力
[00:09:14,240 -> 00:09:15,679] 有大规模的数据集
[00:09:15,679 -> 00:09:18,159] 以及解决了gradient vanishing的问题
[00:09:18,159 -> 00:09:19,919] 啥时候用deep learning好呢
[00:09:19,919 -> 00:09:23,200] 在有大规模的数据和规整数据结构的情况下
[00:09:23,200 -> 00:09:26,399] 为什么大家尤其是大公司喜欢DPU呢
[00:09:26,399 -> 00:09:29,200] 是因为到目前为止还没有看到它饱和的迹象
[00:09:29,200 -> 00:09:32,000] 好 今天就到这吧
[00:09:32,000 -> 00:09:34,399] 我回头会把这个slides放出来
[00:09:34,399 -> 00:09:37,000] 里面后面有reference
[00:09:37,000 -> 00:09:39,200] 感兴趣的话可以读一下里面具体的paper
[00:09:39,200 -> 00:09:41,600] 等到正式版的时候
[00:09:41,600 -> 00:09:43,600] 我再看做另外一个视频出来吧
