[00:00:00,000 -> 00:00:02,000] 我没有办法对一个
[00:01:56,079 -> 00:01:58,200] 这这这就是我最trouble的情况了
[00:01:58,200 -> 00:02:00,640] 行心理分析我们过一会再说
[00:02:00,640 -> 00:02:02,799] 我们你在这之前要不要给自己叠个假
[00:02:02,799 -> 00:02:03,840] 你这种怕被骂的话
[00:02:03,840 -> 00:02:07,200] 你要不要说点就是那种往回找的话
[00:02:07,879 -> 00:02:08,800] 往回找的话
[00:02:08,800 -> 00:02:11,319] 我觉得作为一个很典型的
[00:02:11,800 -> 00:02:13,520] 其实我们刚刚其实在聊
[00:02:13,520 -> 00:02:15,680] 好像我很怕别人骂
[00:02:15,680 -> 00:02:18,759] 以及说我很希望让大家对我都很满意
[00:02:18,759 -> 00:02:20,360] 都很喜欢我的一个心理
[00:02:20,360 -> 00:02:22,280] 而且你很需要完美的答案
[00:02:23,280 -> 00:02:24,840] 你很需要完美的答案
[00:02:25,000 -> 00:02:27,000] 反而会阻礙你的很多行動
[00:02:27,000 -> 00:02:30,000] 然後我覺得這件事情其實是在
[00:02:30,000 -> 00:02:32,000] 很多人身上包括我自己這樣
[00:02:32,000 -> 00:02:34,000] 都是很普遍的一個現象
[00:02:34,000 -> 00:02:38,000] 然後你看似對這件事情又有一定的表達欲
[00:02:38,000 -> 00:02:41,000] 因為這好像是你最近發現的一些事情
[00:02:41,000 -> 00:02:42,000] 對就是
[00:02:42,000 -> 00:02:47,199] 那我就坑一下你然後讓你来聊一聊这些事情
[00:02:47,199 -> 00:02:48,039] 好啊
[00:02:48,039 -> 00:02:48,560] 好
[00:02:48,560 -> 00:02:49,560] 就是
[00:02:49,560 -> 00:02:51,840] 所以说请大家就不要卖了
[00:02:51,840 -> 00:02:52,159] 对
[00:02:52,159 -> 00:02:55,639] 这也是一个小女生在这个
[00:02:56,159 -> 00:02:57,039] 怎么说呢
[00:02:57,319 -> 00:03:00,879] 学习和工作的过程中的一些自己的领悟
[00:03:00,879 -> 00:03:02,199] 不是代表任何意思
[00:03:02,199 -> 00:03:02,439] 对吧
[00:03:02,439 -> 00:03:03,840] 我们也不要做任何判断
[00:03:04,199 -> 00:03:04,800] 对
[00:03:04,800 -> 00:03:05,520] 谢谢对就刚刚说到好像自己的領悟不是帶走任何意思對吧我們也不要做任何判斷對謝謝
[00:03:05,840 -> 00:03:08,400] 對就剛說到好像
[00:03:08,719 -> 00:03:10,800] 剛才說那句話我應該會被罵的
[00:03:10,800 -> 00:03:12,360] 罵的那句話說的好顛簸呀
[00:03:12,360 -> 00:03:13,560] 就這樣吧
[00:03:13,560 -> 00:03:14,759] 對沒關係
[00:03:14,759 -> 00:03:17,639] 然後因為我在美國的時候
[00:03:17,680 -> 00:03:20,319] 學校研究生他其實是有這個
[00:03:20,319 -> 00:03:21,800] therapist的費用的
[00:03:21,800 -> 00:03:24,360] 所以我們其實也就一直會看
[00:03:24,400 -> 00:03:27,000] 但是並不是說我有很严重的心理问题
[00:03:27,000 -> 00:03:29,840] 只是说你总是会遇到各种各样的困难
[00:03:29,840 -> 00:03:32,000] 那么有一个therapist可以聊一下
[00:03:32,000 -> 00:03:35,960] 其实我觉得我个人觉得是一个非常好的帮助
[00:03:35,960 -> 00:03:37,199] 你见的频率是什么样子
[00:03:37,199 -> 00:03:38,319] 一个星期一次
[00:03:38,319 -> 00:03:39,800] 持续了多久
[00:03:39,800 -> 00:03:42,919] 应该有接近一年
[00:03:42,919 -> 00:03:47,280] 然后就是他会不停的幫你從各個方面
[00:03:47,280 -> 00:03:49,680] 就是你遇到一些困難
[00:03:49,680 -> 00:03:53,280] 你心情上情緒上有一些波動和起伏
[00:03:53,280 -> 00:03:54,280] 都可以跟他聊
[00:03:54,280 -> 00:03:56,960] 那他就會幫助你一起去分析
[00:03:56,960 -> 00:04:00,800] 那麼其實上一個就是我在跟你講
[00:04:00,800 -> 00:04:02,120] 我工作遇到的問題的時候
[00:04:02,120 -> 00:04:03,719] 其實有一個點就是好像
[00:04:03,719 -> 00:04:06,000] 我會覺得我自己很懒惰
[00:04:06,199 -> 00:04:10,000] 那么我妈也会说啊你好像不够认真
[00:04:10,000 -> 00:04:12,500] 你你有没有更努力你有没有尽力
[00:04:12,800 -> 00:04:15,000] 然后那我就肯定觉得我没有尽力
[00:04:15,000 -> 00:04:16,800] 那我是不是就是很差呢
[00:04:16,800 -> 00:04:17,699] 但是我好像又
[00:04:17,879 -> 00:04:20,399] 没有办法去让自己更加的努力
[00:04:20,399 -> 00:04:22,079] 那么这个其实是我当时去找
[00:04:22,079 -> 00:04:23,379] therapist聊的一个
[00:04:23,500 -> 00:04:24,939] 很重要的问题之一
[00:04:24,980 -> 00:04:26,279] therapist是在学校
[00:04:26,920 -> 00:04:28,079] 那个是工作
[00:04:28,079 -> 00:04:29,639] 是因为你已经实习的时候
[00:04:29,639 -> 00:04:30,879] 对是因为是实习的时候
[00:04:30,879 -> 00:04:32,480] 所以还是可以找的
[00:04:32,680 -> 00:04:34,720] 然后就跟therapist聊的时候
[00:04:34,879 -> 00:04:37,560] 我就我就会跟他讲我的问题好像是
[00:04:38,040 -> 00:04:39,319] 就是我没有办法
[00:04:39,439 -> 00:04:40,160] 做一个
[00:04:40,360 -> 00:04:42,959] 我没有看到很清晰的path的事情
[00:04:43,279 -> 00:04:46,319] 去投入我觉得我应该要投入的精力
[00:04:46,319 -> 00:04:48,079] 其实这里面是有很多层的
[00:04:48,079 -> 00:04:49,680] 就是第一层好像是
[00:04:49,680 -> 00:04:51,600] 我没有办法努力
[00:04:51,600 -> 00:04:54,199] 第二层是我会为了我没有办法努力
[00:04:54,199 -> 00:04:56,439] 而就是很指责自己
[00:04:56,439 -> 00:04:58,079] 然后这件事情就会对我来说
[00:04:58,079 -> 00:04:59,439] 变得更加的不舒服
[00:04:59,439 -> 00:05:00,279] 精神内耗
[00:05:00,279 -> 00:05:02,319] 我就更不愿意去触碰这件事情
[00:05:02,319 -> 00:05:04,199] 然后我的治疗师给我的
[00:05:04,199 -> 00:05:05,439] 就是我们也分析了很多
[00:05:05,439 -> 00:05:07,120] 然後他最後給我的結論是
[00:05:07,120 -> 00:05:09,639] 你好像很不願意使用自己
[00:05:09,639 -> 00:05:11,240] 在這個事情上面
[00:05:11,240 -> 00:05:14,240] 然後那為什麼不願意使用自己呢
[00:05:14,240 -> 00:05:17,360] 然後我們討論得出來的結論可能
[00:05:17,360 -> 00:05:19,959] 第一個就是我很怕暴露自己的問題
[00:05:19,959 -> 00:05:21,920] 然後第二個就是
[00:05:21,920 -> 00:05:26,800] 我很怕做了這麼多事情以後被證明
[00:05:26,800 -> 00:05:28,800] 這個東西是沒有用的
[00:05:28,800 -> 00:05:33,879] 那其實還是會讓我question我對我自己的一個認知
[00:05:33,879 -> 00:05:35,480] 你當初做的判斷是這樣
[00:05:35,480 -> 00:05:37,000] 但最後其實不太合理
[00:05:37,000 -> 00:05:39,600] 那我可能就是基於這兩個點
[00:05:39,600 -> 00:05:42,000] 我就不太敢使用自己
[00:05:42,000 -> 00:05:43,800] 但是為什麼我後來意識到
[00:05:43,800 -> 00:05:46,079] 其實我不是一個很懶惰的人
[00:05:46,079 -> 00:05:47,279] 就是我剛剛跟你講的
[00:05:47,279 -> 00:05:48,519] 我們有一個做
[00:05:48,519 -> 00:05:51,319] 就是要做玩具的一個project的時候
[00:05:51,319 -> 00:05:52,839] 我發現我在對一個
[00:05:52,839 -> 00:05:55,000] 呃定義很清晰的工作的時候
[00:05:55,000 -> 00:05:57,560] 我是願意投入很多時間和精力去做的
[00:05:57,560 -> 00:05:58,800] 對你跟我講的
[00:05:58,800 -> 00:06:00,240] 但沒有跟大家講那個
[00:06:00,240 -> 00:06:01,759] task是幹嘛
[00:06:01,759 -> 00:06:05,300] 哦那個task是我們當時要做一個木頭的玩具
[00:06:05,300 -> 00:06:10,100] 然後我們就要一個個去打磨那種木頭的小木條
[00:06:10,100 -> 00:06:12,399] 然後就要拿沙紙去磨它
[00:06:12,399 -> 00:06:14,899] 當時我們是有大概有一千多個
[00:06:14,899 -> 00:06:16,399] 就是整個都要磨
[00:06:16,399 -> 00:06:18,000] 磨完以後要上油
[00:06:18,000 -> 00:06:20,199] 那我當時其實大家
[00:06:20,199 -> 00:06:21,699] 就是我的組員
[00:06:21,699 -> 00:06:28,199] 大家其實都是對這個job是有怨言的都哎呀就是好繁瑣好複雜
[00:06:28,459 -> 00:06:30,000] 然後大家也都不願意去做
[00:06:30,240 -> 00:06:30,759] 那
[00:06:31,019 -> 00:06:33,579] 後來我的組員其實我們都還是去做了的
[00:06:33,819 -> 00:06:36,379] 只是我可以感覺到我在這個過程中
[00:06:36,639 -> 00:06:37,160] 就是
[00:06:37,420 -> 00:06:38,180] 我的
[00:06:38,699 -> 00:06:42,019] 我的這個抗拒的感覺會比他們要更小
[00:06:42,279 -> 00:06:46,680] 然後我也會更積極地去做這件事情就这件事情对我来说其实是很快乐的
[00:06:46,680 -> 00:06:49,160] 就我是很乐于去做这个工作
[00:06:49,160 -> 00:06:51,920] 我突然想到这个是Nurse Therapist给你的一个
[00:06:51,920 -> 00:06:53,959] 给你们治疗的一个方式是吧
[00:06:53,959 -> 00:06:55,920] 或者说自我发现的一个方式
[00:06:56,279 -> 00:06:58,120] 但是你发现的是你不抗拒
[00:06:58,120 -> 00:07:00,439] 但是你的组员们发现他们很抗拒
[00:07:00,439 -> 00:07:01,959] 那他们岂不是会觉得自己很懒
[00:07:04,279 -> 00:07:08,839] 我觉得这可能又是一个就是成長背景不一樣的地方
[00:07:08,839 -> 00:07:11,959] 我覺得他們不會用這個東西來批評自己
[00:07:11,959 -> 00:07:15,439] 但是對我來說好像你是不是一個很懶惰的人
[00:07:15,439 -> 00:07:18,360] 你的本性有沒有問題是一個很重要的點
[00:07:18,360 -> 00:07:22,199] 就對我來說我希望確定我是一個很勤勞的人
[00:07:22,199 -> 00:07:25,439] 好像就是好像
[00:07:25,439 -> 00:07:25,839] 嗯
[00:07:25,839 -> 00:07:26,480] 就是说
[00:07:26,480 -> 00:07:26,839] 我知道了
[00:07:26,839 -> 00:07:27,279] 对
[00:07:27,279 -> 00:07:27,600] 对
[00:07:27,600 -> 00:07:29,680] 其实大家对从小到大
[00:07:29,680 -> 00:07:31,759] 都是一直在逆着天性生长的
[00:07:31,759 -> 00:07:34,399] 我们的学校教我们逆着天性生长
[00:07:34,399 -> 00:07:35,879] 所以说我们对自己的天性
[00:07:35,879 -> 00:07:37,199] 其实是很不信任的
[00:07:37,199 -> 00:07:37,439] 嗯
[00:07:37,439 -> 00:07:38,720] 尤其是我们天性
[00:07:38,720 -> 00:07:40,759] 就是我们自己喜欢的是一件好
[00:07:40,759 -> 00:07:43,639] 就是我们自己舒适的方式
[00:07:43,639 -> 00:07:44,839] 我们的天性
[00:07:44,839 -> 00:07:48,120] 我们的性格是能被这个社会所包容
[00:07:48,120 -> 00:07:52,000] 且能作为成为一个有用的人
[00:07:52,240 -> 00:07:53,600] 是很既不自信的
[00:07:53,600 -> 00:07:54,199] 对
[00:07:54,199 -> 00:07:54,920] 对
[00:07:54,920 -> 00:07:56,839] 然后对你说到这个就是
[00:07:57,079 -> 00:08:00,480] 我们对自己的判断的标准来自哪里
[00:08:00,480 -> 00:08:02,120] 我有想到我当时跟我的Ferris
[00:08:02,120 -> 00:08:03,000] 还聊过一个点
[00:08:03,000 -> 00:08:04,839] 我就是在找工作的时候
[00:08:08,959 -> 00:08:11,199] 然后我其实很希望我的工资比我的就是一起找工作的同学要高
[00:08:11,199 -> 00:08:14,120] 然后但是就很难达成嘛
[00:08:14,120 -> 00:08:17,800] 那最后的结果就是我的工资并没有比大家要高
[00:08:17,800 -> 00:08:19,360] 甚至会比大家要更低
[00:08:19,360 -> 00:08:21,720] 但是我本身对这个工作是很满意的
[00:08:21,720 -> 00:08:23,240] 就我很喜欢这个工作
[00:08:23,240 -> 00:08:24,480] 但是我当时就
[00:08:24,480 -> 00:08:26,519] 你们找工作找的这么好吗今年
[00:08:27,279 -> 00:08:27,920] 对啊
[00:08:27,920 -> 00:08:30,199] 因为大家都是NBA毕业
[00:08:30,199 -> 00:08:32,600] 然后就其实都找的钱很多
[00:08:32,600 -> 00:08:34,759] 就是我当时的点就是
[00:08:34,759 -> 00:08:36,960] 我非常非常的介意
[00:08:36,960 -> 00:08:39,639] 我的钱不如别人多这件事情
[00:08:39,639 -> 00:08:42,440] 然后我也会就是很责怪自己
[00:08:42,440 -> 00:08:44,039] 我就说那我当年为什么
[00:08:44,039 -> 00:08:45,559] 没有更加的努力去做
[00:08:45,559 -> 00:08:48,200] 就是我會不停的想到這件事情
[00:08:48,200 -> 00:08:49,879] 然後我就跟我的therapist聊
[00:08:49,879 -> 00:08:51,600] 就是我不明白為什麼
[00:08:51,600 -> 00:08:54,480] 我不明白就是我其實並不缺這個錢
[00:08:54,480 -> 00:08:59,600] 這個錢對我來說也沒有能夠很本質上的影響我的生活
[00:08:59,600 -> 00:09:02,240] 就是我的意思是它多出來的那個部分
[00:09:02,240 -> 00:09:04,600] 然後但是我不知道為什麼
[00:09:04,600 -> 00:09:06,559] 就是這東西對我来说这么重要
[00:09:06,559 -> 00:09:09,039] 好像我没有这个钱我就不如别人
[00:09:09,039 -> 00:09:11,000] 我就比别人要差了
[00:09:11,000 -> 00:09:14,159] 然后又聊到就是我不太认可的
[00:09:14,159 -> 00:09:15,360] 就是我不太喜欢
[00:09:15,360 -> 00:09:16,519] 或者说他们的生活方式
[00:09:16,519 -> 00:09:18,480] 不是我会使用的一些人
[00:09:18,480 -> 00:09:20,799] 他们拿到的钱要比我多很多
[00:09:20,799 -> 00:09:23,080] 然后我当时就有点
[00:09:23,080 -> 00:09:24,200] 这样我再画一次
[00:09:26,480 -> 00:09:28,440] 这里他应该还是會中斷一下
[00:09:28,440 -> 00:09:29,080] 也沒什麼
[00:09:29,080 -> 00:09:29,720] 中斷
[00:09:29,720 -> 00:09:31,279] 就他們會走來走去嗎
[00:09:31,279 -> 00:09:32,279] 沒有關係
[00:09:32,279 -> 00:09:33,879] 那怎麼辦呢
[00:09:33,879 -> 00:09:35,120] 說一下你不喜歡他們的點是什麼
[00:09:35,120 -> 00:09:37,720] 比如說他們可能就會
[00:09:37,720 -> 00:09:40,320] 比較功利了
[00:09:40,320 -> 00:09:42,919] 就是他們可能一開始就是衝著工資去的
[00:09:42,919 -> 00:09:44,720] 但是你看在我這裡就很矛盾了
[00:09:44,720 -> 00:09:46,200] 就是我既不care你既不矛盾了就是我既不care
[00:09:46,200 -> 00:09:47,919] 你既不care你又介意
[00:09:47,919 -> 00:09:48,879] 對我既不care這個
[00:09:48,879 -> 00:09:49,840] 你又不想很功利
[00:09:49,840 -> 00:09:51,919] 然後你又覺得那是一個很俗的事情
[00:09:51,919 -> 00:09:54,600] 這個工資在一開始就不是我的priority
[00:09:54,600 -> 00:09:56,120] 那我最後沒有得到它
[00:09:56,120 -> 00:09:57,759] 其實是一個很正常的事情
[00:09:57,759 -> 00:09:59,240] 但是我其實是很難
[00:09:59,240 -> 00:10:01,399] 當時心理上很難接受這個事
[00:10:01,399 -> 00:10:03,840] 然後我的therapist就會說
[00:10:03,840 -> 00:10:06,399] 我注意到你在這個敘述的過程中
[00:10:06,399 -> 00:10:07,799] 你會講到這個
[00:10:07,799 -> 00:10:09,200] 向他學習
[00:10:09,200 -> 00:10:11,000] 你會講到好像
[00:10:11,000 -> 00:10:13,200] 你好像還在用一種
[00:10:13,200 -> 00:10:17,200] 你好像是在以一種特定的眼光來看待你自己
[00:10:17,200 -> 00:10:19,000] 我就想好像是
[00:10:19,000 -> 00:10:20,399] 就是有點像我們
[00:10:20,399 -> 00:10:23,200] 就是好像就是一個老師的眼光
[00:10:23,200 -> 00:10:25,799] 就是你現在不如别的同学好
[00:10:25,799 -> 00:10:27,679] 你要向别的同学学习
[00:10:27,679 -> 00:10:30,080] 这也是我一个很本能的反应
[00:10:30,080 -> 00:10:33,879] 那好像就是在以前大家衡量的东西就比较单一
[00:10:33,879 -> 00:10:35,200] 就是成绩好不好
[00:10:35,200 -> 00:10:36,399] 你成绩好了
[00:10:36,399 -> 00:10:37,600] 你就是一个好学生
[00:10:37,600 -> 00:10:39,799] 甚至我们小时候就是会说
[00:10:39,799 -> 00:10:43,120] 成绩好的同学跟成绩差的同学上课一起开小差
[00:10:43,120 -> 00:10:44,399] 老师可能就会
[00:10:44,399 -> 00:10:45,440] 你这是哪所學校
[00:10:45,440 -> 00:10:46,399] 我剛才不知道一下了
[00:10:46,399 -> 00:10:47,200] 校風好好
[00:10:47,200 -> 00:10:49,279] 這個不太好講了
[00:10:49,279 -> 00:10:49,720] 真的嗎
[00:10:49,720 -> 00:10:49,919] 對
[00:10:49,919 -> 00:10:54,600] 反正就是老師會更傾向於批評成績不太好的同學
[00:10:54,600 -> 00:10:56,159] 好像就是你成績好了
[00:10:56,159 -> 00:10:58,720] 就是做什麼東西都會更正確一點
[00:10:58,720 -> 00:11:01,320] 然後以我的有限的認知來說
[00:11:01,320 -> 00:11:03,039] 這應該是一個很特例的情況
[00:11:03,039 -> 00:11:04,759] 就是校風這麼正
[00:11:04,759 -> 00:11:06,879] 應該是不太常见的
[00:11:06,879 -> 00:11:08,399] 对就是老师
[00:11:08,399 -> 00:11:11,519] 因为老师他也会有一些偏向性
[00:11:11,519 -> 00:11:14,879] 老师的KPI是培养出来成绩好的学生
[00:11:14,879 -> 00:11:15,480] 这是没错
[00:11:15,480 -> 00:11:20,759] 但是倒没有说就是同学们之间会觉得成绩好的人高人一等
[00:11:20,759 -> 00:11:22,120] 但是你们这是这样
[00:11:22,120 -> 00:11:24,039] 当然确实也培养出来特殊的性格
[00:11:24,039 -> 00:11:28,320] 对就是可能也不能说成绩好就高的人一等但是你们这儿是这样但是确实也培养出来特殊的性格对就是可能也不能说成绩好就高的人一等
[00:11:28,320 -> 00:11:30,519] 但是确实是有特权
[00:11:30,519 -> 00:11:32,559] 就是这个眼光是会不一样的
[00:11:32,559 -> 00:11:34,840] 就是你是属于成绩好的同学
[00:11:34,840 -> 00:11:39,759] 然后你可以得到很多的一些优势吧
[00:11:39,759 -> 00:11:42,399] 就有点像你是一个长得漂亮的孩子
[00:11:42,399 -> 00:11:44,000] 你就会得到很多机会
[00:11:44,000 -> 00:11:45,399] 得到很多好处
[00:11:45,399 -> 00:11:48,159] 你成绩好就只会得到更多东西
[00:11:48,159 -> 00:11:50,759] 那比如说老师的关注啊
[00:11:50,759 -> 00:11:52,080] 老师的喜爱啊
[00:11:52,080 -> 00:11:53,440] 因为老师也是人嘛
[00:11:53,440 -> 00:11:55,240] 那他就没有办法掩饰的
[00:11:55,240 -> 00:11:58,000] 他有时候对你的一些东西
[00:11:58,000 -> 00:11:58,480] 对
[00:11:58,480 -> 00:12:01,200] 但是这个会被你带到就是找工作的时候
[00:12:01,200 -> 00:12:06,080] 你觉得成绩最大的那个人是最值得学习的
[00:12:06,080 -> 00:12:11,320] 我就好像我当时的感觉就是这个东西是有一点撕裂的
[00:12:11,320 -> 00:12:14,360] 就好像我心里有一套我的价值判断
[00:12:14,360 -> 00:12:16,559] 就比如说我觉得我的方式是更好的
[00:12:16,559 -> 00:12:22,679] 但是我好像又在用一个别的东西来衡量我和别人的价值
[00:12:22,679 -> 00:12:25,600] 其实就是到最后就是这个工资的多少
[00:12:25,600 -> 00:12:28,360] 你现在对你那个价值判断还自信吗
[00:12:28,360 -> 00:12:31,559] 我觉得当我跟我的therapist聊完了之后
[00:12:31,559 -> 00:12:34,320] 我意识到就是我的这个
[00:12:34,320 -> 00:12:36,080] 就是这个
[00:12:36,080 -> 00:12:37,519] 不和谐的地方
[00:12:37,519 -> 00:12:39,480] 在与这两套价值体系
[00:12:39,480 -> 00:12:41,320] 产生了冲突之后
[00:12:41,320 -> 00:12:43,600] 我就会开始想
[00:12:43,600 -> 00:12:46,559] 就是我对我的这一套价值体系的
[00:12:46,559 -> 00:12:50,720] 信心和想法是从何而来的
[00:12:50,720 -> 00:12:52,279] 我想清楚了之后
[00:12:52,279 -> 00:12:54,639] 我就会对我的这一套
[00:12:54,639 -> 00:12:56,440] 信心和想法是从何而来的
[00:12:56,440 -> 00:12:59,440] 就是从比如说我更喜欢什么
[00:12:59,440 -> 00:13:02,000] 对我来说我的人生更重要的是什么
[00:13:02,000 -> 00:13:04,000] 我愿意为了什么付出我的时间
[00:13:04,000 -> 00:13:06,399] 我可能是根据这个标准来选择工作的
[00:13:06,399 -> 00:13:08,399] 你对你喜欢什么确定吗
[00:13:09,799 -> 00:13:15,799] 我觉得还是没有特别的不确定
