[00:00:00,000 -> 00:00:02,000] Hello 大家好 欢迎回到看点评论
[00:01:56,000 -> 00:01:58,000] 我在这边工作了三年
[00:01:58,000 -> 00:02:03,000] 然后从去年2022年开始就算Owner
[00:02:03,000 -> 00:02:07,920] 然后我现在有除了uni和以外的工作
[00:02:07,920 -> 00:02:09,840] 我还有一个自己的公司叫Gasco
[00:02:09,840 -> 00:02:13,360] 是在2022年的那个疫情
[00:02:13,360 -> 00:02:14,879] 上海封城的时候创立的
[00:02:14,879 -> 00:02:17,800] 相当于我现在在做两个品牌
[00:02:17,800 -> 00:02:21,479] 我们这公司是一个推广极味酒文化的一个公司
[00:02:21,479 -> 00:02:23,199] 然后相当于一个文化传媒
[00:02:23,199 -> 00:02:26,000] 也是可能是世界上第一家吧就专注于推广极味尾酒文化的公司然后上到一个文化传媒也是可能是世界上第一家吧
[00:02:26,000 -> 00:02:28,000] 专注于推广鸡尾酒文化
[00:02:28,000 -> 00:02:30,000] 让鸡尾酒生活化
[00:02:30,000 -> 00:02:32,000] 好呀 那我们来听一听这个
[00:02:32,000 -> 00:02:34,000] 世界第一家的推广鸡尾酒文化
[00:02:34,000 -> 00:02:36,000] 推广的是什么鸡尾酒
[00:02:36,000 -> 00:02:38,000] 中国肯定是
[00:02:38,000 -> 00:02:40,000] as far as we know
[00:02:40,000 -> 00:02:42,000] 但是那你推广的是什么鸡尾酒文化呢
[00:02:42,000 -> 00:02:44,000] 本身我在越内工作了三四年
[00:02:44,000 -> 00:02:48,840] 然后深深的除了就是什么鸡尾酒的文化呢本身我在越内工作了三四年然后深深的除了就是觉得鸡尾酒是一个酒吧
[00:02:48,840 -> 00:02:51,439] 最重要的一个产品去服务客人以外
[00:02:51,439 -> 00:02:55,879] 我们觉得更重要的是怎么去服务客人
[00:02:55,879 -> 00:02:57,400] 照顾客人 关怀客人
[00:02:57,400 -> 00:02:58,960] 然后去做一个社区
[00:02:58,960 -> 00:03:00,879] 更重要的是一个氛围
[00:03:00,879 -> 00:03:02,039] 社区酒吧
[00:03:02,039 -> 00:03:05,199] 我们是可能上海第一家或中国第一家社区酒吧
[00:03:05,199 -> 00:03:07,199] 这不是老板
[00:03:07,199 -> 00:03:09,199] 老板是美国人ABC
[00:03:09,199 -> 00:03:11,199] 他在上海组织
[00:03:11,199 -> 00:03:13,199] 他回到上海开了这家酒吧在八年前
[00:03:13,199 -> 00:03:16,560] 我们定义为第一家美式社区酒吧
[00:03:16,560 -> 00:03:18,560] 因为社区酒吧的概念很简单
[00:03:18,560 -> 00:03:20,560] 每个小区都有居酒会
[00:03:20,560 -> 00:03:22,560] 最早的酒吧概念就是居酒会
[00:03:22,560 -> 00:03:24,560] 这个酒吧在一百多年前
[00:03:24,560 -> 00:03:26,439] 我在美国的家里就有一个对吧其实最早的酒吧的概念就是聚友会这个酒吧它可能在一百多年前
[00:03:26,439 -> 00:03:30,759] 我在美国的家里就有一个这样的社区酒吧
[00:03:30,759 -> 00:03:31,639] 对就是这个意思
[00:03:31,639 -> 00:03:34,599] 它其实就是一个衔接各个邻里的一个地方
[00:03:34,599 -> 00:03:37,680] 就是不管认识的人不认识的人来到这里都是朋友
[00:03:37,680 -> 00:03:39,439] 然后这个酒吧会有很多的服务
[00:03:39,439 -> 00:03:40,280] 除了酒以外
[00:03:40,280 -> 00:03:40,879] 对
[00:03:41,400 -> 00:03:42,080] 黑聊
[00:03:42,080 -> 00:03:43,120] 心理秩序
[00:03:43,120 -> 00:03:44,960] 对其实最重要的是情绪释放
[00:03:44,960 -> 00:03:46,860] 有相亲服务吗
[00:03:46,860 -> 00:03:47,860] 都可以
[00:03:47,860 -> 00:03:49,860] 反正很多事情都可以在嘴巴发生
[00:03:49,860 -> 00:03:53,860] 那你作为一个巴天德会不会知道这个社区的很多八卦
[00:03:53,860 -> 00:03:54,360] 当然
[00:03:54,360 -> 00:03:56,360] 他们也知道我们的很多八卦
[00:03:56,360 -> 00:03:58,360] 那你会散播八卦吗
[00:03:58,360 -> 00:03:59,360] 这我倒还有
[00:03:59,360 -> 00:04:00,360] 这是个人的隐私
[00:04:00,360 -> 00:04:01,360] 除非是真的很好的朋友
[00:04:01,360 -> 00:04:02,360] 或者是这个八卦
[00:04:02,360 -> 00:04:03,360] 这大家都知道了
[00:04:03,360 -> 00:04:04,360] 这已经不是
[00:04:05,120 -> 00:04:07,680] 一个八卦一出来的时候已经代表它不是八卦了
[00:04:07,680 -> 00:04:09,599] 它已經不是秘密它就是八卦
[00:04:09,599 -> 00:04:10,800] 如果你知道的時候
[00:04:10,800 -> 00:04:11,919] 如果你知道他肯定
[00:04:11,919 -> 00:04:13,520] 我這個事情對我不會告訴你
[00:04:13,520 -> 00:04:14,319] 我也不會告訴你
[00:04:14,319 -> 00:04:15,120] 但其實大家都知道
[00:04:15,120 -> 00:04:16,639] 對其實這個
[00:04:16,639 -> 00:04:19,199] 這好玩其實大家就是朋友其實
[00:04:19,199 -> 00:04:19,839] 無所謂
[00:04:19,839 -> 00:04:21,519] 各有各的八卦
[00:04:21,519 -> 00:04:22,560] 可是好
[00:04:22,560 -> 00:04:26,160] 可是就是為什麼Union Trading Company这么牛逼呢
[00:04:26,160 -> 00:04:27,920] 为什么它是世界前50呢
[00:04:27,920 -> 00:04:31,279] 你肯定不是说我Friendly Neighborhood
[00:04:31,279 -> 00:04:34,879] 对其实对我来说
[00:04:34,879 -> 00:04:38,319] 因为我觉得Unique可能最
[00:04:38,319 -> 00:04:40,639] 因为我们其实是一家非常名不见经传的小店
[00:04:40,639 -> 00:04:42,319] 我们也不是什么大集团
[00:04:42,319 -> 00:04:44,160] 我们就是一家开了八年的一个小店
[00:04:44,160 -> 00:04:46,000] 你们在开的时候是没有那种宏大的野心
[00:04:46,000 -> 00:04:49,000] 没有没有我们只是想做一个酒吧
[00:04:49,000 -> 00:04:53,000] 然后对我来说uni可能最重要就是
[00:04:53,000 -> 00:04:55,000] 它让我觉得最像一个酒吧
[00:04:55,000 -> 00:04:57,000] 最像一个酒吧
[00:04:57,000 -> 00:04:58,000] 最像一个酒吧就在中国
[00:04:58,000 -> 00:05:00,000] 在我来uni工作之前
[00:05:00,000 -> 00:05:02,000] 我去上海逛酒吧的时候
[00:05:02,000 -> 00:05:03,000] 我逛了很多的名店
[00:05:03,000 -> 00:05:06,000] 很多很有名气的店
[00:05:06,000 -> 00:05:11,000] 很多大家可能都觉得这个地方装修特别好的那种店
[00:05:11,000 -> 00:05:14,000] 我去过一个比较像酒吧的
[00:05:14,000 -> 00:05:16,000] 是好像叫the same old spot
[00:05:16,000 -> 00:05:18,000] 在上海吗
[00:05:18,000 -> 00:05:20,000] 对一个小社区里边
[00:05:20,000 -> 00:05:23,000] 然后它的门设计的特别不合理
[00:05:23,000 -> 00:05:26,720] 就是你看上去它有一个环你要拉就是那种大门
[00:05:26,720 -> 00:05:27,800] 然后你看上去要拉
[00:05:27,800 -> 00:05:29,240] 结果其实是推开的
[00:05:29,240 -> 00:05:30,720] 然后很多人就进不去
[00:05:30,720 -> 00:05:31,319] 然后就走了
[00:05:31,319 -> 00:05:33,120] 因为它没有任何的
[00:05:33,120 -> 00:05:33,920] 在哪呢
[00:05:33,920 -> 00:05:35,279] 我回头把这个发给你
[00:05:35,279 -> 00:05:37,240] 对反正对我来说我去
[00:05:38,600 -> 00:05:39,560] 在哪里去逛酒吧
[00:05:39,560 -> 00:05:41,639] 就是大家去玩
[00:05:41,639 -> 00:05:42,319] 然后喝酒
[00:05:42,319 -> 00:05:43,959] 然后发现UNI可能对我来说
[00:05:43,959 -> 00:05:46,199] 它是最像酒吧的一个酒吧
[00:05:46,199 -> 00:05:47,000] 就很简单
[00:05:47,600 -> 00:05:48,839] 其他的太端着了吗
[00:05:48,839 -> 00:05:49,519] 也不是端着
[00:05:49,519 -> 00:05:50,000] 就是
[00:05:50,759 -> 00:05:51,720] 就让我开心
[00:05:52,160 -> 00:05:53,519] 对这个酒吧让我舒服
[00:05:53,759 -> 00:05:54,560] 让我自在
[00:05:55,000 -> 00:05:56,279] 而不是说那种
[00:05:56,279 -> 00:05:57,920] 那个时候有很多日式啊英式啊
[00:05:57,920 -> 00:05:59,480] 就是大家穿着西装比体
[00:05:59,759 -> 00:06:01,160] 然后去surfing
[00:06:01,160 -> 00:06:01,839] 当然你会觉得
[00:06:01,839 -> 00:06:02,319] 啊
[00:06:02,319 -> 00:06:02,959] 高级
[00:06:02,959 -> 00:06:03,879] 高级对
[00:06:04,079 -> 00:06:05,120] 几杯酒是这样的
[00:06:05,120 -> 00:06:08,720] 但是UNION让我觉得原来鸡尾酒可以这样
[00:06:08,720 -> 00:06:11,279] 你们的团队成员们也都很活泼
[00:06:11,279 -> 00:06:15,040] 对 就是大家没有距离感
[00:06:15,040 -> 00:06:16,720] 然后一视同仁
[00:06:16,720 -> 00:06:18,160] 这也是UNION的意思
[00:06:18,160 -> 00:06:23,680] 就是不同种族不同肤色不同信仰的人来到这个地方
[00:06:23,680 -> 00:06:25,120] 这是UNION联盟的意思
[00:06:25,120 -> 00:06:27,360] 他Union的意思是这个
[00:06:27,360 -> 00:06:28,959] 就是我们都是平等的
[00:06:28,959 -> 00:06:30,800] 首先在这里在这个晚上
[00:06:30,800 -> 00:06:34,399] 然后确定的不是只是酒精
[00:06:34,399 -> 00:06:36,160] CP9只是一个媒介
[00:06:36,160 -> 00:06:38,160] 确定是人与人之间的关系
[00:06:38,160 -> 00:06:40,720] 对就是情感链接
[00:06:40,720 -> 00:06:41,680] 通过一杯酒
[00:06:41,680 -> 00:06:43,680] 然后Company除了公司的意思
[00:06:43,680 -> 00:06:45,600] 除了Company就是company 就是酒吧嘛
[00:06:45,600 -> 00:06:47,600] 但同时它有意思就是陪伴
[00:06:47,600 -> 00:06:49,600] 所以这就是我们的一个意义
[00:06:49,600 -> 00:06:53,199] 我们的名字可能其实就解释了我们的一个概念
[00:06:53,199 -> 00:06:56,000] 或者我们想表达的一个初衷是什么
[00:06:56,000 -> 00:06:58,000] 就是第一眼看上去有点一本正经的
[00:06:58,000 -> 00:07:00,000] 像什么东印度公司这种感觉
[00:07:00,000 -> 00:07:02,000] 对对对 那个时候有很多这种公司
[00:07:02,000 -> 00:07:04,000] 但是其实那个 company 如果你理解为陪伴的话
[00:07:04,000 -> 00:07:06,939] 就一个比较冷清多了一个就是很关怀的一个感觉
[00:07:06,939 -> 00:07:07,579] 人文关怀
[00:07:07,579 -> 00:07:08,540] 其实酒吧对我来说
[00:07:09,040 -> 00:07:10,579] 最主要的是人文关怀
[00:07:10,579 -> 00:07:14,579] 在我去那些我可能觉得是鸡尾酒一定要调的最好
[00:07:14,579 -> 00:07:16,579] 但后来我来了之后发现
[00:07:16,980 -> 00:07:18,180] 鸡尾酒就是一个
[00:07:19,199 -> 00:07:19,779] 产品
[00:07:19,779 -> 00:07:20,980] 它就是一个
[00:07:21,199 -> 00:07:22,639] 它就是一个就是酒吧
[00:07:22,639 -> 00:07:26,920] 但是回归主题就是你刚刚说的鸡尾酒
[00:07:26,920 -> 00:07:28,079] 它是一个产品
[00:07:28,079 -> 00:07:29,839] 但是又怎么说
[00:07:29,839 -> 00:07:31,720] 就是一个不应该那么装逼的产品
[00:07:31,720 -> 00:07:33,959] 那你们为什么要是前50呢
[00:07:33,959 -> 00:07:35,680] 肯定是因为你们酒调的好吧
[00:07:36,120 -> 00:07:36,879] 酒调的好
[00:07:36,879 -> 00:07:37,399] 就像我说的
[00:07:37,399 -> 00:07:38,720] 我觉得是最基本的
[00:07:38,720 -> 00:07:39,439] 就是来到uni
[00:07:39,439 -> 00:07:40,879] 我觉得来到当工作的人
[00:07:40,879 -> 00:07:42,680] 调酒调的好是你应该的
[00:07:42,680 -> 00:07:43,639] 因为你调好师
[00:07:44,000 -> 00:07:44,800] 就像你是厨师
[00:07:44,800 -> 00:07:46,319] 你会做饭也是你应该的
[00:07:46,319 -> 00:07:48,439] 你说这句话听上去很简单
[00:07:48,439 -> 00:07:50,519] 但是应该所有的酒吧都想做事
[00:07:50,519 -> 00:07:51,040] 钱五世
[00:07:51,040 -> 00:07:53,000] 但是他们难道不会
[00:07:53,000 -> 00:07:54,759] 他们肯定也说调酒好是基本的
[00:07:54,759 -> 00:07:57,800] 我可以说在中国调酒比我们好的人太多了
[00:07:58,399 -> 00:08:01,600] 但是最重要的是我说的那个
[00:08:01,600 -> 00:08:02,399] 就是我虚拟那个
[00:08:02,399 -> 00:08:03,560] 让我感觉到开心
[00:08:03,560 -> 00:08:04,519] 那个东西是最难的
[00:08:04,600 -> 00:08:06,480] 是最让人心动的一个酒吧
[00:08:06,480 -> 00:08:07,680] 就是我可能
[00:08:07,680 -> 00:08:11,199] 对吧 我们俩假如说我们去上海喝了三天三夜
[00:08:11,199 -> 00:08:12,720] 然后喝了二十多家酒吧
[00:08:12,720 -> 00:08:14,720] 但最后让你记住那家是哪家酒吧
[00:08:14,720 -> 00:08:16,720] 那就是你最喜欢的那家酒吧
[00:08:16,720 -> 00:08:19,040] 而不是那家酒吧卖的酒最便宜
[00:08:19,040 -> 00:08:21,759] 那家酒吧是吧 那个美女特别多
[00:08:21,759 -> 00:08:23,759] 对吧 而是你真正记住的
[00:08:23,759 -> 00:08:25,120] 最让你开心的所以说你记住的不是美女特别多 对吧而是你真正记住的最让你开心的
[00:08:25,120 -> 00:08:28,160] 所以说你记住的不是美女特别多的那一家吗
[00:08:28,160 -> 00:08:29,439] Uni美女也挺多的
[00:08:29,439 -> 00:08:31,519] 哈哈哈
[00:08:31,519 -> 00:08:32,799] 三个也挺多的
[00:08:32,799 -> 00:08:33,759] 欢迎大家来玩
[00:08:33,759 -> 00:08:34,399] 好的
[00:08:34,399 -> 00:08:35,120] 那好
[00:08:35,120 -> 00:08:36,639] 我们觉得这个
[00:08:36,639 -> 00:08:39,200] 就是定位找到了
[00:08:39,200 -> 00:08:40,480] 或者说人设找到了
[00:08:40,480 -> 00:08:42,080] 那我想问的其实就是
[00:08:42,080 -> 00:08:43,440] 我有一个问题啊
[00:08:43,440 -> 00:08:47,200] 就是你对酒和这个快乐的看法
[00:08:47,200 -> 00:08:49,960] 因为你很明显你把这个东西当成了一个很重要的事情
[00:08:49,960 -> 00:08:52,919] 就是酒是连接大家的一个媒介
[00:08:52,919 -> 00:08:56,159] 然后但是酒同时又一定是个快乐的媒介
[00:08:56,159 -> 00:09:00,399] 那你觉得为什么酒这个东西适合快乐的这些
[00:09:00,399 -> 00:09:01,679] 它其实也不是和快乐
[00:09:01,679 -> 00:09:02,840] 我觉得是和情绪
[00:09:02,840 -> 00:09:06,480] 就是大家去酒吧一定是有一个需求在那边
[00:09:07,080 -> 00:09:07,600] 对吧
[00:09:07,600 -> 00:09:08,639] 对于我们来说
[00:09:08,639 -> 00:09:10,759] 我们有一个有一句话这样挂在嘴边
[00:09:10,759 -> 00:09:13,960] 就是希望客人离开的时候比进来的时候更开心
[00:09:14,519 -> 00:09:15,559] 这是我们想做的
[00:09:16,080 -> 00:09:18,080] 就是哪怕是一个人或者两个人
[00:09:18,440 -> 00:09:19,559] 你开心的进来
[00:09:19,559 -> 00:09:20,879] 我们会让你更开心的离开
[00:09:20,879 -> 00:09:21,720] 你不开心进来
[00:09:21,720 -> 00:09:23,720] 我们一定会照顾好你
[00:09:23,720 -> 00:09:24,320] 关怀你
[00:09:24,320 -> 00:09:26,279] 让你更开心的离开对没有人说我来这个酒吧喝酒我要喝到很不开心的离开你不开心就来我们一定会照顾好你关怀你让你更开心的离开
[00:09:26,279 -> 00:09:28,080] 没有人说我来这个酒吧喝酒
[00:09:28,080 -> 00:09:30,279] 我要喝到很不开心的
[00:09:30,279 -> 00:09:31,279] 你花了这个钱
[00:09:31,279 -> 00:09:32,879] 你来到这个里面
[00:09:32,879 -> 00:09:35,320] 你一定是想得到一个情绪的释放
[00:09:35,320 -> 00:09:36,960] 情绪的一个关怀
[00:09:36,960 -> 00:09:37,759] 对吧
[00:09:37,759 -> 00:09:40,759] 那我这儿少加一个问题
[00:09:40,759 -> 00:09:41,440] 可以先不回答
[00:09:41,440 -> 00:09:42,840] 我们先回答主题
[00:09:42,840 -> 00:09:47,360] 就是给别人提供开心这件事情听起来对自己的要求很高
[00:09:47,360 -> 00:09:50,639] 就是有的时候你要去承担别人的情绪共享这些
[00:09:50,639 -> 00:09:52,720] 那会这样挺难的
[00:09:52,720 -> 00:09:53,720] 是非常难
[00:09:53,720 -> 00:09:54,919] 所以这个行业就是
[00:09:54,919 -> 00:09:58,320] 我们现在也会更加关注调老师的心理健康
[00:09:58,320 -> 00:10:00,279] 因为你要吸收别人很多的情绪
[00:10:00,279 -> 00:10:05,399] 然后你每天要很高昂的去一个一个一个一个一个情绪去对待客人
[00:10:05,399 -> 00:10:07,399] 对待因为每天有很多的陌生人
[00:10:07,399 -> 00:10:11,399] 你可能一句话要说每天要说个三十多遍四十多遍
[00:10:11,399 -> 00:10:14,399] 但是你应该要保持一个很高昂的状态
[00:10:14,399 -> 00:10:15,399] 然后呢
[00:10:15,399 -> 00:10:18,399] 有没有那种客人来了以后就嚎啕大哭什么的
[00:10:18,399 -> 00:10:20,399] 你说我嚎啕大哭还是客人嚎啕大哭
[00:10:20,399 -> 00:10:20,899] 客人
[00:10:20,899 -> 00:10:21,399] 当然有啊
[00:10:21,399 -> 00:10:21,899] 这太多了
[00:10:21,899 -> 00:10:23,399] 客人突然开始哭了
[00:10:23,399 -> 00:10:24,399] 是不是强哥
[00:10:24,399 -> 00:10:25,720] 然后呢哥然后呢
[00:10:25,720 -> 00:10:26,279] 啊
[00:10:26,279 -> 00:10:26,879] 然后呢
[00:10:26,879 -> 00:10:28,720] 然后就是先给他指纪
[00:10:28,720 -> 00:10:30,519] 然后是关心他为什么突然哭啊
[00:10:30,519 -> 00:10:32,240] 你不能说你哭了然后让你走啊
[00:10:32,240 -> 00:10:33,600] 你吵到别人客人了
[00:10:33,600 -> 00:10:34,919] 可能有的酒吧会 但我们不会
[00:10:34,919 -> 00:10:36,679] 我们觉得就是
[00:10:36,679 -> 00:10:37,720] 如果有个地方能让你哭
[00:10:37,720 -> 00:10:39,440] 就说明地方有安全感
[00:10:39,440 -> 00:10:40,559] 你会放下很多东西
[00:10:40,559 -> 00:10:42,360] 然后在这里做你自己
[00:10:42,360 -> 00:10:43,799] 或者是一个人的情绪
[00:10:43,799 -> 00:10:45,799] 我觉得每个人都应该经历过情绪崩溃
[00:10:45,799 -> 00:10:46,799] 对吧
[00:10:46,799 -> 00:10:48,000] 肯定都会有
[00:10:48,000 -> 00:10:49,399] 所以我觉得还是一样
[00:10:49,399 -> 00:10:51,000] Union就是平等
[00:10:51,000 -> 00:10:52,000] 来到这里的人
[00:10:52,000 -> 00:10:53,000] 你只要进了这个门
[00:10:53,000 -> 00:10:55,600] 我们一定会给你最热情的服务
[00:10:55,600 -> 00:10:56,799] 这也不是说最热情的服务吧
[00:10:56,799 -> 00:10:59,000] 就是会很关心
[00:10:59,000 -> 00:11:00,000] 最关怀
[00:11:00,000 -> 00:11:01,600] 对就是英语叫
[00:11:01,600 -> 00:11:03,799] 我们的行业是叫Positive Vitality
[00:11:03,799 -> 00:11:05,000] 热情业这也是我第一次知道词之后也让我觉得对我的行业是叫Hospitality对热情业
[00:11:05,000 -> 00:11:07,000] 这也是我第一次知道词之后
[00:11:07,000 -> 00:11:09,000] 也让我觉得对我的行业有了一个新的认知
[00:11:09,000 -> 00:11:11,000] 说白了我们就是服务员
[00:11:11,000 -> 00:11:13,000] 我们只是一个会调酒的服务员
[00:11:13,000 -> 00:11:16,000] 但是如果我抱着一个Hospitality的一个
[00:11:16,000 -> 00:11:17,000] Host的感觉
[00:11:17,000 -> 00:11:19,000] 对再去host我的客人
[00:11:19,000 -> 00:11:21,000] 每个客人这样说白了你来我家
[00:11:21,000 -> 00:11:23,000] 我一定是把最好的东西给你
[00:11:23,000 -> 00:11:27,159] 最好的食物最好的感觉给到你
[00:11:27,419 -> 00:11:31,779] 我不能拿一个剩菜烂饭给你说欢迎来我家对吧
[00:11:32,039 -> 00:11:33,059] 就是这种后者
[00:11:33,320 -> 00:11:36,120] 这种东西会激励着你让你每天
[00:11:36,639 -> 00:11:39,460] 有一个很高的状态去对待客人因为他们
[00:11:41,000 -> 00:11:41,500] 对吧
[00:11:42,519 -> 00:11:43,559] 是来支持我们的
[00:11:43,799 -> 00:11:44,840] 我们是互相的
[00:11:46,000 -> 00:11:48,000] 好的那我觉得就是你你的这个怎么说呢
[00:11:48,000 -> 00:11:50,000] 热情的来源
[00:11:50,000 -> 00:11:54,000] 和你能给客人提供快乐这件事情的根源
[00:11:54,000 -> 00:11:58,000] 是对hospitality这件事情的热爱和认可
[00:11:58,000 -> 00:12:00,000] 对
[00:12:00,000 -> 00:12:04,000] 但是那你怎么样通过酒去做到这件事情
[00:12:04,000 -> 00:12:05,299] 其实很简单
[00:12:05,299 -> 00:12:05,799] 就像我说的
[00:12:05,799 -> 00:12:10,299] 我觉得就是调酒师会调酒是一个最基本的一个技能
[00:12:10,299 -> 00:12:11,700] 或者说我这样问吧
[00:12:11,700 -> 00:12:15,299] 就是你可以通过聊天去得到这件事情
[00:12:15,299 -> 00:12:15,600] 对
[00:12:15,600 -> 00:12:16,700] 对吧
[00:12:16,700 -> 00:12:20,000] 但是你好像对于几个酒吧来说肯定不是纯聊天
[00:12:20,000 -> 00:12:21,399] 就是你的主要技能并不是聊天
[00:12:21,399 -> 00:12:23,600] 就是你想知道我们的酒到底是怎么创作或者是
[00:12:23,600 -> 00:12:25,600] 就是你的酒的创作是一回事
[00:12:25,600 -> 00:12:27,200] 你的酒的理念是一回事
[00:12:27,200 -> 00:12:29,000] 然后你的酒吧的氛围是一回事
[00:12:29,000 -> 00:12:31,000] 然后你的聊天也是一回事
[00:12:31,000 -> 00:12:32,600] 然后这些东西是怎么样
[00:12:32,600 -> 00:12:33,799] 它是一个整体吗
[00:12:33,799 -> 00:12:34,399] 还是
[00:12:34,399 -> 00:12:35,399] 它当然是个整体
[00:12:35,399 -> 00:12:38,600] 就是我们酒单就是每一个季度都会更新
[00:12:38,600 -> 00:12:41,000] 然后根据季节去变化
[00:12:41,000 -> 00:12:43,399] 然后像这次深圳我们也带了15款
[00:12:43,399 -> 00:12:44,399] 我们以前卖的特别好的酒
[00:12:44,399 -> 00:12:46,440] 然后非常适合冬天的一些酒
[00:12:46,440 -> 00:12:48,600] 深圳的冬天好热
[00:12:48,600 -> 00:12:49,279] 对
[00:12:49,279 -> 00:12:50,080] 然后对
[00:12:50,080 -> 00:12:51,840] 本来是烧鱼粉还好
[00:12:51,840 -> 00:12:52,240] 没那么热
[00:12:52,240 -> 00:12:54,200] 没想到深圳一月份那么热
[00:12:54,200 -> 00:12:56,320] 但是还是依然大家还觉得很好喝
[00:12:56,320 -> 00:13:00,080] 然后我们还是以人为本去出发
[00:13:00,080 -> 00:13:01,440] 就是我们会做更多的
[00:13:01,440 -> 00:13:04,320] 就是说好玩的有趣的
[00:13:04,320 -> 00:13:05,440] 很local的一些原料
[00:13:05,440 -> 00:13:08,559] 然后搭配一些季节性的东西
[00:13:08,559 -> 00:13:09,480] 然后跟
[00:13:10,759 -> 00:13:13,279] 可能跟某一个客人有关的一杯酒
[00:13:13,279 -> 00:13:14,720] 那边只知道他的名字
[00:13:14,720 -> 00:13:16,200] 然后有个客人就说
[00:13:16,200 -> 00:13:18,360] 有个工作人员说叫张老师的金汤力
[00:13:18,720 -> 00:13:19,919] 张小姐的金汤力
[00:13:19,919 -> 00:13:22,080] 然后就说这张小姐是谁
[00:13:22,080 -> 00:13:23,919] 可能确实有这样一个人
[00:13:23,919 -> 00:13:27,120] 但是客人就会觉得为什么她可以上酒单
[00:13:27,120 -> 00:13:28,080] 然后我说你也可以啊
[00:13:28,240 -> 00:13:29,159] 你消费个一万块钱
[00:13:29,759 -> 00:13:30,600] 就这样开玩笑
[00:13:30,919 -> 00:13:32,000] 但是可能就是朋友
[00:13:32,080 -> 00:13:34,320] 或者是你说你喜欢一样东西
[00:13:34,320 -> 00:13:35,799] 然后我们俩一起去创作一杯酒
[00:13:36,519 -> 00:13:37,000] 都可以
[00:13:37,000 -> 00:13:39,480] 我觉得乔老师创作空间非常的自由
[00:13:39,879 -> 00:13:42,799] 然后我也是我的灵感非常的多元
[00:13:42,799 -> 00:13:44,720] 可能就是听了个电影
