[00:00:00,000 -> 00:00:02,080] 不认为短剧是一个影视行业
[00:03:21,879 -> 00:03:23,560] 网文绝对是一个很大的一块
[00:03:23,560 -> 00:03:24,639] 而且付费很重
[00:03:24,639 -> 00:03:26,360] 付费量很多这个网文场上来说的话网文绝对是一个很大的一块而且付费很重付费量很多
[00:03:26,360 -> 00:03:28,400] 这个网文基本上我们说的是什么
[00:03:28,400 -> 00:03:30,120] 就是二三流可能都说不上
[00:03:30,120 -> 00:03:31,599] 不知道几流的这种作家
[00:03:31,599 -> 00:03:33,000] 当然不是我们说人家
[00:03:33,000 -> 00:03:33,879] 收入一流
[00:03:33,879 -> 00:03:35,599] 收入绝对是超一流的
[00:03:35,599 -> 00:03:36,280] 收入超一流
[00:03:36,280 -> 00:03:38,159] 就是很多那种抄袭的
[00:03:38,159 -> 00:03:39,280] 很多这种爽文
[00:03:39,280 -> 00:03:40,520] 就是基本上出来就是说
[00:03:40,520 -> 00:03:41,680] 我出来一个大boss
[00:03:41,680 -> 00:03:42,560] 我把他给打败了
[00:03:42,560 -> 00:03:44,520] 然后这下一关又出来一个大boss
[00:03:44,520 -> 00:03:45,599] 我再升级怎么怎么样
[00:03:45,599 -> 00:03:46,719] 这个扮猪吃老虎啊
[00:03:46,719 -> 00:03:49,000] 什么这个这个一个人看不起我
[00:03:49,000 -> 00:03:50,879] 我扇他一巴掌说我是个太子啊
[00:03:50,879 -> 00:03:52,120] 之类的就是这种桥段
[00:03:52,120 -> 00:03:53,159] 追血啊
[00:03:53,159 -> 00:03:54,280] 他把自己
[00:03:55,520 -> 00:03:57,879] 把这个观众的这种自我投射啊
[00:03:57,879 -> 00:04:00,159] 这种在现实中间的不满啊
[00:04:00,159 -> 00:04:01,840] 他通过这个网文给宣溢出去
[00:04:01,840 -> 00:04:04,080] 所以有很多大量的这个
[00:04:04,080 -> 00:04:06,280] 现在的年轻人其实是愿意看这种文章的
[00:04:06,280 -> 00:04:08,560] 我这种文章我还在抖音上看到过
[00:04:08,560 -> 00:04:09,479] 这不就好了
[00:04:09,479 -> 00:04:11,280] 而且这种文章很准确
[00:04:11,280 -> 00:04:13,400] 你像雪中汗刀行几千张
[00:04:13,400 -> 00:04:16,279] 你想这一张我可能付费个五毛钱
[00:04:16,279 -> 00:04:16,920] 这不多
[00:04:16,920 -> 00:04:19,959] 大家看着看着就五毛钱三分钱
[00:04:19,959 -> 00:04:21,879] 就这三毛钱付出了
[00:04:21,879 -> 00:04:23,360] 你想你能卖多少钱
[00:04:23,360 -> 00:04:25,000] 你《红楼梦》写出来那么多一本
[00:04:25,000 -> 00:04:26,800] 那要写一辈子 对吧
[00:04:26,800 -> 00:04:28,399] 我这个网文我写的很快啊
[00:04:28,399 -> 00:04:29,800] 这个作者我就这个
[00:04:29,800 -> 00:04:32,600] 这个像漫画出稿这样的逻辑
[00:04:32,600 -> 00:04:35,199] 我这个网文我就是这个一篇一篇的写
[00:04:35,199 -> 00:04:36,600] 然后这些头部
[00:04:36,600 -> 00:04:37,899] 你像你刚才说的阅文啊
[00:04:37,899 -> 00:04:40,000] 七点中文网啊 这些的番茄啊
[00:04:40,000 -> 00:04:43,199] 那他们都有一套很成熟的一套体系
[00:04:43,199 -> 00:04:45,000] 那基本上有几个头部的大IP
[00:04:45,000 -> 00:04:47,480] 什么斗波苍穹啊 什么这个的追序啊
[00:04:47,480 -> 00:04:48,680] 讲这个雪中看刀行
[00:04:48,680 -> 00:04:52,079] 几个大IP带动很多的这种素人的这种写手
[00:04:52,079 -> 00:04:53,600] 然后写出大量的内容
[00:04:53,600 -> 00:04:57,120] 而这些内容呢 他们进行这种在网络上面的变现
[00:04:57,120 -> 00:05:00,720] 一集 一篇 一篇可能就是个几毛钱
[00:05:00,720 -> 00:05:02,079] 几分钱 几毛钱
[00:05:02,079 -> 00:05:06,040] 这个变现模式和国内的游戏的变现模式都差不多
[00:05:06,040 -> 00:05:07,319] 就是非常高级
[00:05:07,319 -> 00:05:09,639] 就是非常非常深爱人性
[00:05:09,639 -> 00:05:15,720] 然后已经进化到每次都是到一个这个非常让你觉得扣人心弦的一个
[00:05:15,720 -> 00:05:17,759] 这个男女主角就要毕东了
[00:05:17,759 -> 00:05:19,800] 这个时候突然一下让你付费了
[00:05:19,800 -> 00:05:22,800] 对而且你不觉得这是一个很高的付费
[00:05:22,800 -> 00:05:25,699] 就是这对几毛钱就可以刷下去
[00:05:25,699 -> 00:05:26,959] 但你实际下来的话
[00:05:26,959 -> 00:05:29,000] 你发现你把整本书要是读完
[00:05:29,000 -> 00:05:30,500] 你发现花销很多
[00:05:30,500 -> 00:05:31,899] 几百上千
[00:05:31,899 -> 00:05:33,300] 你哪本书能卖这么多
[00:05:33,300 -> 00:05:33,699] 对吧
[00:05:33,699 -> 00:05:35,199] 哪本名著能卖这么多钱
[00:05:35,199 -> 00:05:36,399] 书是卖不成
[00:05:36,399 -> 00:05:39,500] 所以你投入产主笔是一个完全对于成本的一个disruptive
[00:05:39,500 -> 00:05:41,199] 所以这个角度上面来说的话
[00:05:41,199 -> 00:05:43,300] 网文上一世代为什么发展这么厉害
[00:05:43,300 -> 00:05:44,699] 而且它的进入门槛低
[00:05:44,699 -> 00:05:45,000] 基本上网文其实你有想法你都展这么厉害而且它的进入门槛低
[00:05:45,000 -> 00:05:47,959] 基本上网文其实你有想法你都可以写
[00:05:47,959 -> 00:05:49,480] 你只要能坚持下去
[00:05:49,480 -> 00:05:50,680] 你都可以写
[00:05:50,680 -> 00:05:53,759] 并不是说非得要说我熬得跟曹雪芹一样
[00:05:53,759 -> 00:05:54,959] 我才能去写这个书
[00:05:54,959 -> 00:05:56,319] 我都得跟金庸一样
[00:05:56,319 -> 00:05:59,079] 我做过多少年的研究我才可以写
[00:05:59,079 -> 00:06:00,279] 这是不一样的质疑
[00:06:00,279 -> 00:06:01,360] 他都可以写
[00:06:01,360 -> 00:06:03,360] 而且写的质量也不要求有多高
[00:06:03,360 -> 00:06:05,959] 很多都是我们说都是好几流的这种作家
[00:06:05,959 -> 00:06:09,199] 但是他在变现上面他就可以去踩到大家的这个点
[00:06:09,199 -> 00:06:11,399] 这是一个低位人宇宙
[00:06:11,399 -> 00:06:14,600] 所以在这个角度上面来说的话
[00:06:14,600 -> 00:06:18,439] 当时其实上一个时代咱们中国的网文发展起来了以后
[00:06:18,439 -> 00:06:19,720] 中国的网文要出海
[00:06:19,720 -> 00:06:22,839] 就是把中国的网文翻译成了英文了以后
[00:06:22,839 -> 00:06:24,319] 就发现老外也爱看
[00:06:24,319 -> 00:06:25,560] 虽然说文化不一样 但是老外也爱看虽然说文化不一样
[00:06:25,560 -> 00:06:27,079] 但是老外也爱看这种爽文
[00:06:27,079 -> 00:06:27,959] 也有这种人性
[00:06:27,959 -> 00:06:29,079] 对 出来了一个
[00:06:29,079 -> 00:06:30,720] 相信那件事情对投资圈
[00:06:30,720 -> 00:06:33,000] 就是大家之前是
[00:06:33,000 -> 00:06:35,040] 这有一个超级先进的商业模式
[00:06:35,040 -> 00:06:36,839] 但是可能过于文化了
[00:06:36,839 -> 00:06:38,800] 就是是不是只是中国的人性
[00:06:38,800 -> 00:06:39,639] 中国的消费
[00:06:39,639 -> 00:06:42,519] 五瞎网就证明了说
[00:06:42,519 -> 00:06:43,800] 这个人性是相通的
[00:06:43,800 -> 00:06:44,360] 然后大家就说
[00:06:44,360 -> 00:06:45,959] OK 如果人性是相通的那大家就说ok如果人性是相通的
[00:06:45,959 -> 00:06:46,920] 那大有可为
[00:06:46,920 -> 00:06:47,279] 对
[00:06:47,279 -> 00:06:49,800] 然后我们当时呢就开始思考这件事情
[00:06:49,800 -> 00:06:50,720] 那我们怎么投呢
[00:06:50,720 -> 00:06:51,040] 对吧
[00:06:51,040 -> 00:06:52,439] 你作为一个基金你得投啊
[00:06:52,439 -> 00:06:52,720] 是
[00:06:52,720 -> 00:06:56,399] 那我们第一直觉就是先去投这个翻译的网文
[00:06:56,399 -> 00:06:56,759] 对吧
[00:06:56,759 -> 00:06:58,399] 那我就是直接就是找网文吧
[00:06:58,399 -> 00:06:59,839] 海外的网文
[00:06:59,839 -> 00:07:01,560] 然后我们发现这个东西不太make sense
[00:07:01,560 -> 00:07:04,600] 就是我们刚才讲我们这个投这个这个武侠网
[00:07:04,600 -> 00:07:06,300] 人家不搭理你然后其次就是说这一系列的这个网站呢在海外我们发现这个东西不太make sense就是我们刚才讲我们投这个五霞网人家不搭理你
[00:07:06,300 -> 00:07:08,819] 然后其次就是说这一系列的网站在海外
[00:07:08,819 -> 00:07:11,339] 我们发现它虽然是一段时间的火
[00:07:11,339 -> 00:07:12,579] 但是它的变现
[00:07:12,600 -> 00:07:16,459] 它的各种东西其实可能还不能完全的照搬中国这个状态
[00:07:16,459 -> 00:07:18,139] 因为移动支付不够行
[00:07:18,139 -> 00:07:20,019] 各种原因吧
[00:07:20,040 -> 00:07:21,100] 就是平台的问题
[00:07:21,120 -> 00:07:22,139] 移动支付的问题
[00:07:22,139 -> 00:07:24,019] 然后这个消费习惯的问题
[00:07:24,019 -> 00:07:25,680] 都有一些相应的影响
[00:07:26,120 -> 00:07:28,199] 所以我们当时进行了一些其他方面的尝试
[00:07:28,639 -> 00:07:32,000] 就是说我们在想这个网文如果在海外它不是网文了
[00:07:32,240 -> 00:07:34,120] 那它的衍生品会是什么东西
[00:07:34,439 -> 00:07:35,519] 所以我们就开始思考
[00:07:36,000 -> 00:07:37,920] 所以在这条路上其实我们也走过很多关路
[00:07:38,519 -> 00:07:41,560] 我们最开始在东南亚 东南亚有一个很有意思的点
[00:07:41,720 -> 00:07:43,120] 它这个文盲率还是比较高的
[00:07:43,360 -> 00:07:45,420] 这种文盲我们讲不是纯文盲
[00:07:45,420 -> 00:07:48,279] 就是说这个他可能认识一些简单的一些词
[00:07:48,279 -> 00:07:50,980] 但是你让他读一本书他是有难度的
[00:07:50,980 -> 00:07:53,920] 你让他用个手机这个进入啊什么取消啊
[00:07:53,920 -> 00:07:56,139] 这些词他是可以认的
[00:07:56,139 -> 00:07:57,379] 这个时候你发现在东南亚
[00:07:57,379 -> 00:07:58,339] 你要是扑网文的话
[00:07:58,339 -> 00:08:00,420] 有些地方你刚开始还不太好扑
[00:08:00,420 -> 00:08:02,620] 因为没有人看得能看那么懂
[00:08:02,620 -> 00:08:03,459] 看得进去
[00:08:03,459 -> 00:08:05,000] 这个时候有声书就出来了
[00:08:05,000 -> 00:08:10,000] 就是说你让这些人呢 他去看这么厚一本书 他可能看不下去
[00:08:10,000 -> 00:08:11,000] 但是他听还可以
[00:08:11,000 -> 00:08:14,000] 那我们在信息市场会不会是有声书的这样的一个形式
[00:08:14,000 -> 00:08:16,000] 那我们就开始投有声书
[00:08:16,000 -> 00:08:20,000] 有声书这块我们投过平台 做有声书这个IP的
[00:08:20,000 -> 00:08:25,879] 我们投过一家企业 就是在全球有上万不同的这种有声书IP
[00:08:25,879 -> 00:08:31,079] 他就给各个手机厂商去供应 给各种平台去供应 这种的我们也投过
[00:08:31,680 -> 00:08:36,600] 有声书的路径上面 我们去研究了一圈发现
[00:08:36,600 -> 00:08:41,279] 这个有点搞头 但是也没有长出来特别大的
[00:08:41,879 -> 00:08:44,600] 然后东南亚还有一条路 就是当时是漫画
[00:08:44,600 -> 00:08:47,720] 你看那个Mangatong当时其实是起来了
[00:08:47,919 -> 00:08:51,159] 因为网文有一个很重要的路径是慢改
[00:08:51,159 -> 00:08:52,600] 那就是出来了以后
[00:08:52,600 -> 00:08:54,519] 中国其实现在你看快看上面
[00:08:54,519 -> 00:08:56,600] 已经很多都是什么片票之旅
[00:08:56,600 -> 00:08:59,559] 什么修仙这种的慢改的
[00:08:59,559 -> 00:09:01,320] 因为漫画的成本现在也在降低
[00:09:01,320 -> 00:09:03,799] 大家这个画手只要他有IP
[00:09:04,039 -> 00:09:05,919] 有一个网文的本则他可以画出来 低成本现在也在降低大家这个画手只要他有这个IP有一个网文的这个本则
[00:09:05,919 -> 00:09:08,320] 他可以画出来 低成本的画出来
[00:09:08,320 -> 00:09:10,799] 所以漫画其实我们在海外也看过一波
[00:09:10,799 -> 00:09:13,440] 当时起来了一些像漫画团这样子的企业
[00:09:13,440 -> 00:09:15,840] 在不同的市场也做的还不错
[00:09:15,840 -> 00:09:18,080] 包括还有一类就是这个互动游戏
[00:09:18,080 -> 00:09:20,799] 互动游戏你看其实这就是中文再现的城市
[00:09:20,799 -> 00:09:24,639] 他们认为那我这个除了有声书和这个漫画之外
[00:09:24,639 -> 00:09:26,000] 我应该还有一些能让大家互动的
[00:09:26,000 -> 00:09:29,000] 游戏是很重要的一个互动方式
[00:09:29,000 -> 00:09:32,000] 所以你看中文在线其实当时他们有这个chapters
[00:09:32,000 -> 00:09:35,000] chapters是在北美当时做的很不错的互动游戏
[00:09:35,000 -> 00:09:38,000] 这个互动游戏其实给大家解释一下什么意思
[00:09:38,000 -> 00:09:41,000] 就是比如这个游戏玩到哪
[00:09:41,000 -> 00:09:43,000] 你到了一个城堡前
[00:09:43,000 -> 00:09:44,000] 然后他给你一个选项
[00:09:44,000 -> 00:09:46,879] 你是从正门进去还是这个爬墙进去
[00:09:46,879 -> 00:09:48,000] 最近的那个
[00:09:48,000 -> 00:09:49,600] 最近的那个就是
[00:09:49,600 -> 00:09:51,200] 完蛋我被美女包围了
[00:09:51,200 -> 00:09:52,799] 不不不 就这个
[00:09:52,799 -> 00:09:54,000] 没错
[00:09:54,000 -> 00:09:55,320] 所以就是这一类呢
[00:09:55,320 -> 00:09:56,600] 其实也是大家一个不错的尝试
[00:09:56,600 -> 00:10:00,000] 然后Chapters是中文在线做的一个比较成功的尝试
[00:10:00,000 -> 00:10:02,120] 当时中文在线看到Chapters成功了以后呢
[00:10:02,120 -> 00:10:03,120] 他觉得
[00:10:03,120 -> 00:10:05,320] 这个方面确实是呃
[00:10:05,340 -> 00:10:06,279] 蛮有点意思
[00:10:06,279 -> 00:10:10,120] 就是这个其实已经进行了一个视频化探索
[00:10:10,120 -> 00:10:14,320] 那短剧我们大家进行了一系列的这种演唱品的探索了以后呢
[00:10:14,340 -> 00:10:18,120] 那其实那顺理成章的下一步其实探索到一定程度
[00:10:18,120 -> 00:10:19,320] 非常make sense
[00:10:19,320 -> 00:10:22,519] 就我们中国最最最最成功的出版产品就是TikTok
[00:10:22,519 -> 00:10:25,100] 然后现在又有一个网文这样的东西
[00:10:25,100 -> 00:10:26,779] 所以短剧
[00:10:26,779 -> 00:10:30,279] 我们当时看到短剧有苗头的时候呢
[00:10:30,279 -> 00:10:33,980] 其实仔细的调研过它的成本结构
[00:10:33,980 -> 00:10:37,179] 其实跟网文的成本结构也异曲同工之妙
[00:10:37,179 -> 00:10:39,779] 尤其国内视频制作现在成本很低
[00:10:39,779 -> 00:10:41,580] 在最早期的时候
[00:10:41,580 -> 00:10:47,919] 我们听到行业内部甚至有说拍一部短剧就15万人民币这样子拍出来
[00:10:47,919 -> 00:10:52,720] 可能 我一点都不吃惊 最早期 现在成本上去了
[00:10:52,720 -> 00:10:56,240] 当然即便是现在上去了到一两百万
[00:10:56,240 -> 00:11:00,080] 你想他制作成本跟一部电影的制作成本还是差的非常远
[00:11:00,080 -> 00:11:05,399] 大家不知道的话一部短剧几百集然后每一集大概三五分钟
[00:11:05,399 -> 00:11:07,399] 这个不会太长
[00:11:07,399 -> 00:11:10,799] 我在抖音上面可能放个前几集去吸引一下量
[00:11:10,799 -> 00:11:12,000] 大家觉得好看了
[00:11:12,000 -> 00:11:14,600] 这个时候导到我自己的平台上来
[00:11:14,600 -> 00:11:16,200] 有的是导到小程序上
[00:11:16,200 -> 00:11:17,799] 其实非常直观的一个比较
[00:11:17,799 -> 00:11:20,200] 我记得短剧最火那段时间
[00:11:20,200 -> 00:11:24,200] 正好风神在抖音上面不断的在做PR
[00:11:24,200 -> 00:11:27,360] 他们做广告不停就说说我们拍了30亿
[00:11:27,360 -> 00:11:29,360] 对吧30亿美金的一个投入啊
[00:11:29,360 -> 00:11:30,960] 这个一二三部都拍完了
[00:11:30,960 -> 00:11:33,059] 大家只有多给我们点赞多来买票
[00:11:33,059 -> 00:11:34,059] 第二部才能出来
[00:11:34,059 -> 00:11:35,259] 哈哈哈哈
[00:11:35,259 -> 00:11:37,860] 就是一部电影10亿啊三部30亿
[00:11:38,500 -> 00:11:41,600] 那么你想电影票一张多少钱
[00:11:41,600 -> 00:11:44,500] 你一个人刷几次你能刷多少钱对吧
[00:11:44,500 -> 00:11:47,679] 然后短剧刚才给我们说一个数据是15对吧
[00:11:47,679 -> 00:11:49,840] 15拍一部 15万拍一部
[00:11:49,840 -> 00:11:53,840] 那么早期的时候呢 这个数字确实是比较低了
[00:11:53,840 -> 00:11:57,919] 然后你再把这个短距的这个集数 打几百集
[00:11:57,919 -> 00:12:03,279] 这样子往上一放 一集卖个这个一块钱 两块钱
[00:12:03,279 -> 00:12:26,960] 在早期的时候 平均一部剧在一个人身上一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一个一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一一就是一个GTA出来了以后 大家在上面能充个就是100美元大头了
[00:12:26,960 -> 00:12:27,559] 了不得了
[00:12:27,559 -> 00:12:31,559] 对 然后王者荣耀就几千几万什么都有很快这样的
[00:12:31,559 -> 00:12:36,600] 然后这个时候呢 你想这头是15万对400 那头是31亿
[00:12:36,600 -> 00:12:43,279] 所以这个投入产出比就彻底的把这个影视这个行业的这个投入产出比一下给颠覆
[00:12:43,279 -> 00:12:47,679] 所以很多人其实他们后期从影视行业转去做短剧
[00:12:47,679 -> 00:12:49,600] 但是他们发现差异很多
[00:12:49,600 -> 00:12:51,519] 对啊 就是完全两个逻辑
[00:12:51,519 -> 00:12:54,960] 对 因为他们的思考逻辑不是从流量出发的
[00:12:54,960 -> 00:12:56,399] 他们从作品角度出发的
[00:12:56,399 -> 00:12:58,720] 作品角度出发是不是两度恶心
[00:12:58,720 -> 00:13:01,679] 本身让人家一个写红楼梦的人
[00:13:01,679 -> 00:13:05,360] 然后突然说我要去写312拍了
[00:13:05,360 -> 00:13:09,840] 很多这种影视院校毕业的 很多孩子还是很有理想
[00:13:09,840 -> 00:13:11,519] 就是不拍短剧这种东西
[00:13:11,519 -> 00:13:13,440] 他们没法拍 换楼了
[00:13:13,440 -> 00:13:17,679] 我非常理解两边的做法 比如说我的视频它永远不会火
[00:13:17,679 -> 00:13:20,480] 因为他这种东西不会有人想看
[00:13:20,480 -> 00:13:24,320] 但是他是为了内容 我非常respect那些做流量的人
[00:13:24,320 -> 00:13:26,000] 我觉得那个是真正赚钱的
[00:13:26,000 -> 00:13:29,000] 和能做出给普罗大众提供情绪价值的
[00:13:29,000 -> 00:13:30,000] 我觉得那很有价值
[00:13:30,000 -> 00:13:33,000] 对但是对这不是一个逻辑
[00:13:33,000 -> 00:13:35,000] 就不是说因为你做了高大上的内容
[00:13:35,000 -> 00:13:36,000] 你就能做好短剧
[00:13:36,000 -> 00:13:38,000] 没有任何这个道理
[00:13:38,000 -> 00:13:43,000] 今年大家又看到了中文在线
[00:13:43,000 -> 00:13:45,440] 他们在海外这样的一个成功
[00:13:45,440 -> 00:13:48,139] 有目共睹 real short也起来了
[00:13:48,139 -> 00:13:50,740] 因为这个还很难效仿
[00:13:50,740 -> 00:13:55,440] 你国内你就是再有钱的影视制作团队
[00:13:55,440 -> 00:13:58,279] 你也很难在海外去这样子有一个流量的入口
[00:13:58,279 -> 00:14:00,120] 然后你有这么多流量的理解
[00:14:00,120 -> 00:14:02,460] 然后中文在线他把这个real short做起来
[00:14:02,460 -> 00:14:07,940] 当然也是他手上首先第一他网文的积累 海外网文的积累非常多了
[00:14:07,940 -> 00:14:11,779] 所以他知道哪一类的网文海外大家看的就是多
[00:14:11,779 -> 00:14:15,879] 以前你看大家拍这种美国玄幻 喜欢拍吸血鬼
[00:14:15,879 -> 00:14:19,460] 然后周恩在线当时他们有一个内部数据
[00:14:19,460 -> 00:14:25,000] 就发现说狼人比吸血鬼的效率就是高 为什么呢 很有意思
[00:14:25,000 -> 00:14:30,500] 就是说这个吸血鬼基本上讲的都是一些这种传案路线的内容
