[00:00:00,000 -> 00:00:01,840] 大家沒有意識到這樣的思維方式
[00:01:36,599 -> 00:01:40,299] 對就是因為這些老闆和我做的這個事情
[00:01:40,299 -> 00:01:42,599] 本身我覺得是既有挑戰又有意義
[00:01:42,599 -> 00:01:46,560] 然後整個給我的環境也是比較自由
[00:01:46,560 -> 00:01:48,760] 和大家給了我足夠的信任
[00:01:48,760 -> 00:01:51,439] 老百姓也是比較開放和reasonable
[00:01:51,439 -> 00:01:52,719] 所以說在這種情況下
[00:01:52,719 -> 00:01:55,359] 我覺得就是繼續待下來做這些事情
[00:01:55,359 -> 00:01:57,159] 這裡面有提到三個點啊
[00:01:57,159 -> 00:02:00,879] 就是行業 公司以及團隊
[00:02:00,879 -> 00:02:01,319] 對吧
[00:02:01,959 -> 00:02:03,280] 還有這件事情本身
[00:02:03,319 -> 00:02:05,299] 就是我正在做的事情的這個意義
[00:02:05,299 -> 00:02:07,400] 就是因為我覺得可能大部分人
[00:02:07,400 -> 00:02:08,699] 我們換工作的時候
[00:02:08,699 -> 00:02:11,199] 其實主要考慮的大概就是這麼幾樣東西
[00:02:11,800 -> 00:02:12,800] 我聽到的不是
[00:02:13,300 -> 00:02:15,699] 我聽到太多人考慮的是錢
[00:02:15,699 -> 00:02:16,800] 職業發展
[00:02:17,500 -> 00:02:19,800] 老闆是中國人還是印度人
[00:02:21,000 -> 00:02:23,199] 那你覺得就是為什麼
[00:02:23,400 -> 00:02:25,080] 你會考慮的主要是這幾件東西
[00:02:25,080 -> 00:02:28,159] 而不是中國人還是印度人啦
[00:02:28,159 -> 00:02:29,120] 或者是
[00:02:29,120 -> 00:02:32,120] 我自己上一個文理學
[00:02:32,120 -> 00:02:35,039] 就是我會盡量避免種族歧視這件事情
[00:02:35,039 -> 00:02:38,000] 我在職業生涯的過程中遇到
[00:02:38,000 -> 00:02:41,919] 就是我不會以他的種族去理解他
[00:02:41,919 -> 00:02:42,879] 我覺得那樣是錯的
[00:02:42,879 -> 00:02:44,879] 然後他就是那樣的做法就是錯的
[00:02:44,879 -> 00:02:47,520] 我遇到過很多好的印度老板和不好的印度老板
[00:02:47,520 -> 00:02:48,960] 好的中国老板和不好的中国老板
[00:02:48,960 -> 00:02:50,560] 好的白人老板和不好的白人老板
[00:02:51,080 -> 00:02:52,400] 然后我就觉得这个标签
[00:02:52,599 -> 00:02:54,879] 只会阻止你去真实的理解这个人
[00:02:54,879 -> 00:02:56,080] 对 所以我就
[00:02:56,479 -> 00:02:59,080] 不想用标签去了解这个可能讲一点
[00:02:59,080 -> 00:03:00,719] 就会被很多这个
[00:03:01,080 -> 00:03:03,120] 中国人群体骂的一些东西了
[00:03:03,120 -> 00:03:04,439] 所以我也觉得就是说
[00:03:05,080 -> 00:03:09,080] 嗯实际上就族群或者是人群這個概念啊
[00:03:09,080 -> 00:03:10,199] 他是一個虛擬的概念
[00:03:10,199 -> 00:03:11,000] 大家要認識到這一點
[00:03:11,000 -> 00:03:11,599] 就是說
[00:03:12,680 -> 00:03:14,280] 人都是一個一個個體
[00:03:14,280 -> 00:03:16,319] 每個人都是不會完完全全一樣
[00:03:16,319 -> 00:03:17,599] 我光這麼大
[00:03:17,599 -> 00:03:19,280] 我沒有見過兩個完完全全一樣的人
[00:03:19,479 -> 00:03:20,520] it won't exist
[00:03:20,520 -> 00:03:21,400] it doesn't exist
[00:03:21,400 -> 00:03:23,199] 所以說我看到很多
[00:03:23,199 -> 00:03:25,060] 比如說一母三分地上大家就會講啊
[00:03:25,060 -> 00:03:27,060] 我老闆是印度人
[00:03:27,060 -> 00:03:28,939] 印度人怎麼POA我怎麼樣啊
[00:03:28,939 -> 00:03:29,620] 我要換到中國人
[00:03:29,620 -> 00:03:32,060] 其實就是你可以說你這個老闆不好
[00:03:32,060 -> 00:03:33,139] which is possible
[00:03:33,139 -> 00:03:34,979] 這個老闆本身可能是有問題的
[00:03:34,979 -> 00:03:35,259] 對吧
[00:03:35,259 -> 00:03:36,300] 這就是我覺得同意
[00:03:36,300 -> 00:03:39,699] 但是就是說從這個族群本身來講
[00:03:39,699 -> 00:03:42,379] 對如果用用就我們學統計吧
[00:03:42,379 -> 00:03:44,180] 我們都是做DSR這種方面
[00:03:44,180 -> 00:03:45,840] 就是他不是一個非常強的
[00:03:46,840 -> 00:03:48,139] 對就這方面有很多
[00:03:48,139 -> 00:03:49,979] 不是一個很強的variable
[00:03:49,979 -> 00:03:52,139] 但是就除了這個事情本身
[00:03:52,599 -> 00:03:54,840] 我覺得大家沒有意識到的是你
[00:03:54,840 -> 00:03:58,080] 就第一就是人是很容易去進入一個
[00:03:58,080 -> 00:04:01,139] 我們VS他們的這樣的一個畫分的
[00:04:01,379 -> 00:04:03,599] 你是不斷的去在這裡邊畫個圈
[00:04:03,599 -> 00:04:06,599] 然後把一群人把我畫到這個圈子裡邊
[00:04:06,599 -> 00:04:08,300] 把其他人畫到圈子之外
[00:04:08,300 -> 00:04:10,199] 你當然可以去用
[00:04:10,199 -> 00:04:11,500] 就是都是這樣的
[00:04:11,500 -> 00:04:12,500] 網上交通都是這樣的
[00:04:12,500 -> 00:04:14,500] 就是中國人印度人
[00:04:14,500 -> 00:04:17,600] 然後這個剛上岸的
[00:04:17,600 -> 00:04:19,399] 美國人美國人有沒有綠卡
[00:04:19,399 -> 00:04:21,399] 對有沒有綠卡的人
[00:04:21,399 -> 00:04:23,300] 管理者和這個打工人
[00:04:23,300 -> 00:04:25,600] 然後這個剛上岸的和沒有上岸的
[00:04:25,600 -> 00:04:27,740] 然後賺到錢的和沒有賺到錢的
[00:04:27,740 -> 00:04:29,240] 你永遠可以這樣劃分 對吧
[00:04:29,240 -> 00:04:30,240] privilege的
[00:04:30,240 -> 00:04:32,480] 然後就是你永遠可以
[00:04:32,480 -> 00:04:35,279] 但是這個我覺得大家沒有意識到
[00:04:35,279 -> 00:04:37,620] 這樣的思維方式對自己其實是最有害的
[00:04:37,620 -> 00:04:39,279] 就是你其實害的是自己
[00:04:39,279 -> 00:04:40,579] 我也懶得解釋這些事情了
[00:04:40,579 -> 00:04:42,920] 就是如果大家還是抱著這個偏見就抱吧
[00:04:42,920 -> 00:04:46,199] 我也就隨便對 我覺得就是說如果大家还是抱着这个偏见就抱吧我就随便
[00:04:46,199 -> 00:04:47,399] 对 我觉得就是说
[00:04:47,399 -> 00:04:50,399] 首先我非常赞同你这个观点
[00:04:50,399 -> 00:04:54,199] 就是说这个个体的确是有好坏
[00:04:54,199 -> 00:04:55,000] 个体是有差
[00:04:55,000 -> 00:04:57,199] 但是你用这些族群啊
[00:04:57,199 -> 00:05:01,500] 这种大的概念去判断这个人个体应该是什么样的时候
[00:05:01,500 -> 00:05:05,839] 大部分时候你会miss the markby a thousand miles
[00:05:05,839 -> 00:05:06,800] 對 easily
[00:05:06,800 -> 00:05:08,839] 但是同樣的
[00:05:08,839 -> 00:05:10,680] 我覺得一方面是你怎麼去判斷別人
[00:05:10,680 -> 00:05:12,399] 一方面你是對自己的這個態度
[00:05:12,399 -> 00:05:14,199] 就是就算你認為這個人
[00:05:14,600 -> 00:05:16,000] 他可能是對你有偏見
[00:05:16,000 -> 00:05:17,120] 就你這樣認為
[00:05:17,120 -> 00:05:19,000] 我不是說他這個人對你真的有沒有偏見
[00:05:19,319 -> 00:05:20,319] 你的態度
[00:05:21,160 -> 00:05:24,120] 都還是可以有你去積極的對待這件事情
[00:05:24,120 -> 00:05:25,240] 就是洩密法則第一是從結果上有洩密法則�極的對待這件事情就是說 謝林法則
[00:05:25,240 -> 00:05:27,240] 第一是從結果上有謝林法則
[00:05:27,240 -> 00:05:30,040] 第二是從你面對這件事情你自己的心態
[00:05:30,040 -> 00:05:34,079] 當你對老闆產生了或者說你的同事
[00:05:34,079 -> 00:05:36,279] 甚至你的下屬產生了一個對抗心態的話
[00:05:36,279 -> 00:05:38,560] 你最後一定會收穫一個不好的結果
[00:05:38,560 -> 00:05:41,720] 對 很有可能他的那個表情是因為他今天
[00:05:41,720 -> 00:05:44,759] 心情不好 跟老婆吵了個架
[00:05:44,759 -> 00:05:45,000] 你去解讀成戀戀愛一個你跟他形成一個對抗的關係那個表情是因為他今天在家裡跟老婆吵了個架
[00:05:45,000 -> 00:05:46,500] 你去解讀成戀戀愛一個
[00:05:46,500 -> 00:05:48,000] 你跟他形成一個對抗的關係
[00:05:48,000 -> 00:05:50,000] 那最後倒霉的其實還是自己
[00:05:50,000 -> 00:05:52,000] 對對 因為大家要相信一件事
[00:05:52,000 -> 00:05:54,000] 就在職場上其實
[00:05:54,000 -> 00:05:57,000] 沒有人是真的說我來上班
[00:05:57,000 -> 00:05:58,000] 我的目的就是要搞死你
[00:05:58,000 -> 00:06:00,000] 沒有這樣的人
[00:06:00,000 -> 00:06:02,000] 就大家說白了
[00:06:02,000 -> 00:06:05,000] 最自私的講法就是說都是為了自己的利益嘛
[00:06:05,000 -> 00:06:09,000] 對吧你如果是同一個團隊尤其是如果作為你的老闆
[00:06:09,000 -> 00:06:15,000] 那你作為一個IC你做出來的成績其實他都是可以分一杯羹的
[00:06:15,000 -> 00:06:19,000] 他沒有任何理由任何動機去說我就要打壓你
[00:06:19,000 -> 00:06:20,000] 我就要讓你不成功
[00:06:20,000 -> 00:06:23,000] 這個是完全不成立的是一個illogical的東西
[00:06:23,000 -> 00:06:25,639] 那1.3分地會有argument是他把你搞掉
[00:06:25,639 -> 00:06:27,920] 然後把這個清新和機器給搞掉了
[00:06:28,519 -> 00:06:29,319] 嗯
[00:06:29,600 -> 00:06:31,560] 我覺得是有這樣的argument
[00:06:31,560 -> 00:06:32,639] 但是老實講
[00:06:32,839 -> 00:06:34,759] 你作為一個老闆
[00:06:34,759 -> 00:06:37,240] 你你招一個人
[00:06:37,519 -> 00:06:39,639] 包括你已經把這個人招進來
[00:06:39,639 -> 00:06:42,079] 你要跟你的同事同級去解釋啊
[00:06:42,079 -> 00:06:43,480] 我招你來說sorry
[00:06:43,480 -> 00:06:45,160] guys i made a stupid mistake
[00:06:45,160 -> 00:06:46,480] but this the other person
[00:06:46,480 -> 00:06:47,800] they will be like much stronger
[00:06:47,800 -> 00:06:49,959] 這本身就是一個很 ridiculous 的事情
[00:06:49,959 -> 00:06:51,680] 你去做這種解釋
[00:06:51,680 -> 00:06:55,439] 你真的不如好好培養你現在有了這個人
[00:06:55,439 -> 00:06:56,879] 因為招一個人啊
[00:06:56,879 -> 00:06:58,079] onboarding offboarding
[00:06:58,079 -> 00:06:59,000] 他就是一個很爛的事情
[00:06:59,000 -> 00:06:59,759] 就是大家真的
[00:06:59,759 -> 00:07:02,319] 其實你如果就是招了一個inferior的人
[00:07:02,319 -> 00:07:04,360] 你整個team的perk heavy受影響
[00:07:04,360 -> 00:07:05,639] 就大家真的這麼
[00:07:05,639 -> 00:07:06,439] 誰的錯啊
[00:07:06,439 -> 00:07:07,939] 就大家老是從一個
[00:07:07,939 -> 00:07:08,699] 唉算了
[00:07:08,699 -> 00:07:10,399] 我覺得這個話題不需要聊
[00:07:10,399 -> 00:07:13,439] 對我也不想去win the argument
[00:07:13,439 -> 00:07:14,540] 我覺得沒有意義
[00:07:14,540 -> 00:07:16,740] 那你剛剛問的問題是
[00:07:16,740 -> 00:07:19,500] 就是換工作的時候看中的是什麼
[00:07:19,500 -> 00:07:21,139] 和那個
[00:07:21,139 -> 00:07:22,839] 對你覺得呢
[00:07:22,839 -> 00:07:23,540] 嗯
[00:07:24,740 -> 00:07:29,519] 唉我覺得當然就是大家在不同的這個人生的stage
[00:07:29,519 -> 00:07:30,839] 對看重的東西不一樣
[00:07:30,839 -> 00:07:33,480] 有的人就會更看重work life balance
[00:07:33,759 -> 00:07:35,839] 有的人就會更看重
[00:07:35,839 -> 00:07:38,000] 還是扯到這個motivation上面
[00:07:38,000 -> 00:07:39,399] 對吧
[00:07:39,399 -> 00:07:43,079] 我其實比較相信Bezos一開始說的那些話的
[00:07:43,079 -> 00:07:46,000] 後來他因為股市大了
[00:07:46,000 -> 00:07:47,199] 他一開始說什麼話
[00:07:47,199 -> 00:07:48,800] 就是在Irving Stone裡面說
[00:07:48,800 -> 00:07:49,839] 他一開始他說
[00:07:49,839 -> 00:07:51,600] 他不相信work-life balance
[00:07:51,600 -> 00:07:53,240] 他相信的是work-life harmony
[00:07:54,040 -> 00:07:54,879] 我是覺得是啊
[00:07:54,879 -> 00:07:56,959] 就是你的work其實是在你的人生中
[00:07:56,959 -> 00:07:58,000] such an important
[00:07:58,199 -> 00:08:01,120] 就大家是把work之外的東西算成人生
[00:08:01,120 -> 00:08:03,600] 但是你很明顯你的work是你的人生的一部分
[00:08:03,839 -> 00:08:07,800] 如果你的work是你不開心的那你的人生大概率是不开心的
[00:08:07,800 -> 00:08:11,100] 所以说对我还是觉得两者应该统一起来
[00:08:11,100 -> 00:08:14,600] 嗯 统一 我可能稍微有一点不同的观点
[00:08:14,600 -> 00:08:18,800] 就是说我们的确是有 就工作中吧
[00:08:18,800 -> 00:08:20,699] 的确是有稍微demanding的工作
[00:08:20,699 -> 00:08:23,100] 那是稍微没有那么demanding
[00:08:23,100 -> 00:08:24,899] 我举个非常非常极端的例子啊
[00:08:24,899 -> 00:08:25,000] 我一直跟我
[00:08:25,879 -> 00:08:27,339] 跟我的團隊啊 跟我同事
[00:08:27,339 -> 00:08:28,300] 我開玩笑說
[00:08:28,300 -> 00:08:30,300] 我的dream job是什麼呢
[00:08:30,300 -> 00:08:32,299] 我是去costco畫receipt的那個人
[00:08:33,299 -> 00:08:33,799] 就是
[00:08:34,379 -> 00:08:35,039] 就很簡單
[00:08:35,039 -> 00:08:36,419] 可以看到大家買什麼東西
[00:08:36,419 -> 00:08:37,299] 很開心每天
[00:08:37,720 -> 00:08:38,379] 開心嗎
[00:08:38,379 -> 00:08:39,340] 我覺得我會
[00:08:39,340 -> 00:08:40,840] 我幹這工作我覺得還蠻開心的
[00:08:40,840 -> 00:08:42,299] 當然那是開玩笑吧
[00:08:42,299 -> 00:08:43,299] 就不是真的想做
[00:08:43,299 -> 00:08:46,080] 我是特別討�厌拍那些工作
[00:08:46,080 -> 00:08:47,480] 大概三小时就走了
[00:08:47,480 -> 00:08:49,799] 我觉得就是说不同的人有不同的追求
[00:08:49,799 -> 00:08:51,080] 然后我们也的确要证实到
[00:08:51,080 -> 00:08:53,879] 就是每个人对于工作之外的东西
[00:08:53,879 -> 00:08:55,080] 比如说你可能就是
[00:08:55,080 -> 00:08:55,879] I don't know
[00:08:55,879 -> 00:08:57,279] 我有两个小孩要照顾
[00:08:57,279 -> 00:08:58,879] 或者说我有家人要照顾
[00:08:58,879 -> 00:09:00,480] 我有各种各样其他obligation
[00:09:00,480 -> 00:09:02,879] 甚至说我除了本职工作以外
[00:09:02,879 -> 00:09:04,879] 我要做non profit
[00:09:04,879 -> 00:09:07,720] 我每周就是要花40小時做我的non profit
[00:09:07,720 -> 00:09:10,320] 所以我沒有辦法說我要做一個
[00:09:10,320 -> 00:09:12,080] 60 hours的工作
[00:09:12,080 -> 00:09:12,759] 本職工作
[00:09:12,759 -> 00:09:14,360] 這個是存在的
[00:09:14,360 -> 00:09:15,080] 對
[00:09:15,080 -> 00:09:16,039] 但這個就像你說的
[00:09:16,039 -> 00:09:18,600] 從某種角度上就是一個world life harmony
[00:09:18,600 -> 00:09:18,879] 對吧
[00:09:18,879 -> 00:09:19,480] 他就是說
[00:09:19,480 -> 00:09:21,600] 我怎麼樣可以讓我的本職工作
[00:09:21,600 -> 00:09:25,120] somehow fit in with my way of living
[00:09:25,720 -> 00:09:27,320] 那我覺得從這個角度來講就是
[00:09:27,559 -> 00:09:29,759] 你的個人的就工作的motivation
[00:09:29,759 -> 00:09:30,399] 你一定要
[00:09:30,600 -> 00:09:32,159] be very clear about
[00:09:33,659 -> 00:09:35,860] what's important to you
[00:09:36,600 -> 00:09:39,320] 有的人會認為我在工作中努力
[00:09:39,659 -> 00:09:41,320] 往上爬得到那種
[00:09:41,720 -> 00:09:43,600] I don't know higher title
[00:09:43,600 -> 00:09:45,000] bigger scope bigger team
[00:09:45,000 -> 00:09:47,000] 這就是我的人生的一個recognition
[00:09:47,000 -> 00:09:48,000] I'm happy for it
[00:09:48,000 -> 00:09:49,000] good for you
[00:09:49,000 -> 00:09:52,000] 你不是 我其實是這樣的人某種程度上啊
[00:09:52,000 -> 00:09:53,000] 我可以是這樣的人
[00:09:53,000 -> 00:09:54,000] 我是這樣的人
[00:09:54,000 -> 00:09:56,000] 然後還有一些人呢
[00:09:56,000 -> 00:09:57,000] 覺得就是說
[00:09:57,000 -> 00:09:59,000] 回到我們剛才那個話題
[00:09:59,000 -> 00:10:01,000] 就是我們覺得就是我想做的事情
[00:10:01,000 -> 00:10:02,000] 是我開心的
[00:10:02,000 -> 00:10:03,000] 然後並且在這個之外
[00:10:03,000 -> 00:10:07,519] 我有足夠的時間去照顧我除了本职工作以外的事情
[00:10:08,200 -> 00:10:11,679] 比如讲一下 我老婆现在有三份工作 除了她本职工作还有两份
[00:10:12,559 -> 00:10:16,840] 她是开心的 她做这事情 她也是觉得很fulfilling的一件事情 你可以说
[00:10:17,279 -> 00:10:20,480] 你说他有worldwide balance吗 他可能也没有 你说把这三件工作都做了work
[00:10:20,480 -> 00:10:23,000] 但是你说的本职工作是不是那么累 可能也没有那么累
[00:10:23,720 -> 00:10:26,000] 哦 我还蛮佩服他這一點挺厲害的
[00:10:26,000 -> 00:10:30,000] 所以我覺得大家就是不同的情況呢
[00:10:30,000 -> 00:10:33,000] 真的是沒有辦法說
[00:10:33,000 -> 00:10:35,000] 我覺得你在工作上就要用新工作啊怎麼樣
[00:10:35,000 -> 00:10:39,000] 就這個我覺得是doesn't work的一個advice
[00:10:39,000 -> 00:10:43,000] 那我覺得可能到最後就是你要考慮到
[00:10:43,000 -> 00:10:45,179] what's important for you
[00:10:45,179 -> 00:10:48,279] and try to optimize everything around it
[00:10:48,539 -> 00:10:51,980] 然後 be honest about maybe this job
[00:10:52,440 -> 00:10:53,480] is not for me
[00:10:53,480 -> 00:10:55,000] because it doesn't fit in with
[00:10:55,200 -> 00:10:57,039] everything else outside of the job
[00:10:57,039 -> 00:10:57,840] and it happens
[00:10:59,039 -> 00:10:59,440] 嗯
[00:11:00,279 -> 00:11:01,440] 我說有兩個問題
[00:11:01,440 -> 00:11:03,500] 我想問一個我更關心的一個問題
[00:11:03,840 -> 00:11:07,899] 就兩個問題第一個是know yourself 本身是很难的一件事情
[00:11:07,899 -> 00:11:09,399] 你是怎么做到know yourself的
[00:11:09,399 -> 00:11:12,000] 但这个可能不是我关心的事情
[00:11:12,000 -> 00:11:14,899] 我更关心的是作为一个parlator的人
[00:11:14,899 -> 00:11:16,500] 他的reward来自于什么
[00:11:16,500 -> 00:11:21,799] 我可能已经实话实说
[00:11:21,799 -> 00:11:24,200] 就是觉得这件事情慢慢从
[00:11:24,200 -> 00:11:25,440] 我不知道什么時候開始的
[00:11:25,440 -> 00:11:26,080] 然後我也想不起來
[00:11:26,080 -> 00:11:27,639] 當時為什麼會覺得爬來爬去有意義了
[00:11:27,639 -> 00:11:29,639] 但是我現在覺得爬來爬去是完全沒有意義的
[00:11:29,639 -> 00:11:31,240] 嗯嗯嗯
[00:11:31,240 -> 00:11:32,919] 就是管更多的人
[00:11:33,279 -> 00:11:35,159] 當更高的職位
[00:11:35,360 -> 00:11:38,440] 曾經我肯定一度是覺得這件事情很有意義
[00:11:38,440 -> 00:11:41,320] 但是我忘了是什麼時候開始
[00:11:41,320 -> 00:11:42,320] 我覺得沒意義
[00:11:42,519 -> 00:11:43,639] 然後想不起來了
[00:11:43,679 -> 00:11:45,120] 我想不起來它為什麼有意義了
[00:11:45,120 -> 00:11:46,399] 能提醒一下我嗎
[00:11:47,679 -> 00:11:48,960] 也不能說提醒一下你
[00:11:48,960 -> 00:11:50,240] 我只能說我自己的感受
[00:11:50,240 -> 00:11:51,519] 我自己的感受就是
[00:11:51,779 -> 00:11:54,840] 你說我真的看中那個title嗎
[00:11:54,840 -> 00:11:55,620] 也未必
[00:11:56,120 -> 00:11:58,419] 但是我知道的就是在一家
[00:11:58,419 -> 00:11:59,960] 任何一家公司裡吧
[00:11:59,960 -> 00:12:00,740] 當你被
[00:12:01,240 -> 00:12:02,519] 給予一定的
[00:12:02,779 -> 00:12:04,320] responsibility的時候
[00:12:04,320 -> 00:12:06,700] 一定是你得到了这个组织
[00:12:06,700 -> 00:12:08,000] 也不说创始人也好
[00:12:08,000 -> 00:12:09,399] 整个管理层对你的认可
[00:12:09,399 -> 00:12:12,100] 他们会认为你这个人是有信任的
[00:12:12,100 -> 00:12:13,700] 我可以给你足够的资源
[00:12:13,700 -> 00:12:16,100] 去实现一些大事
[00:12:16,100 -> 00:12:18,700] 然后这个其实是我理解中的最后一步
[00:12:18,700 -> 00:12:21,000] 就假设说我今天的主题还是一个
[00:12:21,000 -> 00:12:21,700] 我不知道
[00:12:21,700 -> 00:12:22,700] 大学毕业
[00:12:22,700 -> 00:12:24,700] 但是人们对我信任
[00:12:24,700 -> 00:12:28,000] 我愿意给我足够的资源去实现我认为有意义的事情現在的title還是一個 I don't know, senior DSBut somehow people trust me a lotAnd willing to give me enough resources to accomplish what I think is meaningful
[00:12:28,000 -> 00:12:30,000] 這個印象中對我來講就是
[00:12:30,000 -> 00:12:32,000] But it just happened to be
[00:12:32,000 -> 00:12:34,000] 就在這個真實的生活中呢
[00:12:34,000 -> 00:12:36,000] 這個東西跟你的等級
[00:12:36,000 -> 00:12:39,000] 跟你可能管的團隊
[00:12:39,000 -> 00:12:40,000] 甚至不說團隊吧
[00:12:40,000 -> 00:12:42,000] 因為會帶領的這個scope
[00:12:42,000 -> 00:12:44,000] 是一個非常成正相關的東西
[00:12:45,039 -> 00:12:49,139] 我覺得好像這裡邊我還是說吧
[00:12:49,139 -> 00:12:50,539] 直接說
[00:12:50,539 -> 00:12:54,039] 你覺得這個事情是一個重要
[00:12:54,039 -> 00:12:55,779] 和你覺得是有正反饋的事情
[00:12:55,779 -> 00:12:57,879] 是因為你覺得那些人那些
[00:12:58,879 -> 00:13:01,179] 職位比你高給你responsibility的人
[00:13:01,179 -> 00:13:02,220] 你還是認可他們的
[00:13:02,220 -> 00:13:04,179] 所以說你覺得他們的觀點matters
[00:13:04,679 -> 00:13:07,039] 不全是
[00:13:07,039 -> 00:13:10,039] 我並不覺得他們的觀點都那麼那麼重
[00:13:10,080 -> 00:13:11,519] 就是我不覺得應該是說
[00:13:11,519 -> 00:13:12,960] 我不覺得他們觀點一定正確
[00:13:13,000 -> 00:13:14,720] 嗯我認為他們觀點重要嗎
[00:13:14,720 -> 00:13:15,120] 肯定的
[00:13:15,120 -> 00:13:17,840] 因為他們就是有那個resource
[00:13:17,840 -> 00:13:20,039] 那就是說大家我個人
[00:13:20,039 -> 00:13:22,360] 我是覺得這個世界就是一個非常
[00:13:22,919 -> 00:13:23,320] 怎麼說呢
[00:13:23,320 -> 00:13:24,639] 就是you have to realize
[00:13:24,639 -> 00:13:26,000] 我自己會realize
[00:13:26,000 -> 00:13:28,000] 這個resource是
[00:13:28,000 -> 00:13:30,000] 並不是一個一人一票
[00:13:30,000 -> 00:13:31,000] 這樣的一個世界
[00:13:31,000 -> 00:13:33,000] 就是他會掌握在一部分人手中
[00:13:33,000 -> 00:13:38,000] 如果你想practically去做成一些事情
[00:13:38,000 -> 00:13:43,000] 那你就要win the trust of the people who have the resource
[00:13:43,000 -> 00:13:44,000] 然後這個the people who have the resource
[00:13:44,000 -> 00:13:46,240] 這個是一個很寬泛的定義
[00:13:47,000 -> 00:13:51,159] 對吧 他可以說是比如說公司高管 他可以說比如說在
[00:13:52,279 -> 00:13:58,799] 一個工會的領導 甚至就是說只是一個公司那個ERG的這個組織的怎麼樣的一幫人
[00:13:58,799 -> 00:14:01,360] 但是我覺得就是說對我來講我的motivation是
[00:14:02,759 -> 00:14:07,000] 我希望我可以真的做到一些impact
[00:14:07,000 -> 00:14:11,000] 做到一些就是here's the things I created
[00:14:11,000 -> 00:14:14,000] I can call it like because of me this thing happened
[00:14:14,000 -> 00:14:18,000] 然後因為這件事情我需要足夠的resource
[00:14:18,000 -> 00:14:22,000] 需要一個很多人或者很多的I don't know
[00:14:22,000 -> 00:14:25,100] 就是compute whatever to accomplish这些东西
[00:14:25,299 -> 00:14:29,539] 那我认为去得到这些这个resource和这些
[00:14:29,539 -> 00:14:31,940] 这个recognition的过程就是有意义的
[00:14:32,200 -> 00:14:34,039] 这这会不会有点太抽象
[00:14:34,440 -> 00:14:35,200] 不抽象啊
[00:14:35,240 -> 00:14:36,240] 我觉得很具体啊
