[00:00:00,000 -> 00:00:06,679] Hello,大家好啊,我叫孙玉珍
[00:00:06,679 -> 00:00:09,560] 现在是美国西海岸的晚上
[00:04:15,000 -> 00:04:19,000] 就是我突然发现我的product sense这方面
[00:04:19,000 -> 00:04:22,000] 就比如说我之前我可能觉得我自己有product sense
[00:04:22,000 -> 00:04:25,000] 但是我或者说我觉得
[00:04:26,000 -> 00:04:27,000] 举个例子吧
[00:04:27,000 -> 00:04:30,000] 就是这一年我跟我跟自己和解了很多
[00:04:30,000 -> 00:04:32,000] 在之前没有和解的原因呢
[00:04:32,000 -> 00:04:34,000] 是我会担心自己
[00:04:34,000 -> 00:04:36,000] 呃每天很拼是吧
[00:04:36,000 -> 00:04:37,000] 每天起来有动力
[00:04:37,000 -> 00:04:40,000] 但是我会担心这个动力有一天就没了
[00:04:40,000 -> 00:04:43,000] 可是我后来发现就是我不管怎么样
[00:04:43,000 -> 00:04:47,899] 我就是一个每天都不自觉的很有动力的人
[00:04:47,899 -> 00:04:49,699] 尤其比如说面对一个产品吧
[00:04:49,699 -> 00:04:53,000] 这个产品如果不好用的话我会特别难受
[00:04:53,000 -> 00:04:55,899] 然后我就会特别想办法去改造它
[00:04:55,899 -> 00:04:59,399] 如果我能改造它的话这件事情没有任何人去
[00:04:59,399 -> 00:05:03,300] 并不是因为任何的金钱的缘故或者说是其他的生殖路缘故
[00:05:03,300 -> 00:05:05,300] 我就想方设法来想去做好它
[00:05:05,300 -> 00:05:07,300] 所以说意识到了这件事情以后
[00:05:07,300 -> 00:05:10,100] 就意识到了我自己做很多事情的原动力
[00:05:10,100 -> 00:05:14,899] 那其实是让我更有自信的去做一些事情
[00:05:14,899 -> 00:05:18,100] 或者说更有自信的去take more responsibility
[00:05:18,100 -> 00:05:23,100] 所以以上三件事情都是2020年给我带来的一些
[00:05:23,100 -> 00:05:26,000] 比较好的机会也好
[00:05:26,000 -> 00:05:27,500] 比较好的变化也好
[00:05:27,500 -> 00:05:30,500] 我自己还是蛮感谢2020的
[00:05:30,500 -> 00:05:32,500] 那最后就是稍稍总结一下
[00:05:32,500 -> 00:05:34,800] 我为什么想申请前进4吧
[00:05:34,800 -> 00:05:37,100] 因为我其实在美国这边有一个全职工作
[00:05:37,100 -> 00:05:40,199] 可能不满足前进4的全职up主的要求
[00:05:40,199 -> 00:05:41,699] 如果只是一个要求的话
[00:05:41,699 -> 00:05:45,879] 也可能不能去上海去跟大家一起做视频
[00:05:45,879 -> 00:05:48,319] 但是我这儿一方面美国这边
[00:05:48,319 -> 00:05:50,759] Work-Life Balance确实不错
[00:05:50,759 -> 00:05:52,360] 就是如果我想的话
[00:05:52,360 -> 00:05:53,879] 下班的时间都是我自己的
[00:05:53,879 -> 00:05:55,560] 所以说我一天应该有每
[00:05:55,560 -> 00:05:57,759] 我一天大概能有六个小时的时间
[00:05:57,759 -> 00:05:59,399] 去认真做这件事情
[00:05:59,399 -> 00:06:03,600] 第二就是周末就更不用说
[00:06:03,600 -> 00:06:27,000] 周末也都是自己的时间第二就是我确实呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃呃然后就会去想拍成一期视频我的想法也非常多其实我这已经录了十几个视频了
[00:06:27,000 -> 00:06:29,000] 但是我不是很喜欢剪辑这件事
[00:06:29,000 -> 00:06:32,000] 所以说我没有把它全都剪出来传上去
[00:06:32,000 -> 00:06:35,000] 但是每个周其实我的想法产生的速度
[00:06:35,000 -> 00:06:37,000] 是比我拍视频的这种周更
[00:06:37,000 -> 00:06:40,000] 或者说两周三更的这种频率更快的
[00:06:40,000 -> 00:06:49,220] 我觉得我其实是有能力或者说有条件把它做得更好的第三个其实我对钱金斯最看好的一件事
[00:06:49,220 -> 00:06:51,519] 就是我最希望从钱金斯得到的事情
[00:06:51,519 -> 00:06:53,579] 就是一个商业化的不同的思路
[00:06:53,579 -> 00:06:58,439] 因为其实我自己对简单的商业化没有特别大的兴趣
[00:06:58,439 -> 00:06:59,959] 就是我根本不想去接商单
[00:06:59,959 -> 00:07:01,759] 我也不打算在我的视频内部广告
[00:07:01,759 -> 00:07:05,600] 我希望一个商业化是一个有意义的商业化
[00:07:05,600 -> 00:07:10,199] 因为对于我平时的比较比起我平时的工作收入来说吧
[00:07:10,199 -> 00:07:13,800] 就是我从这个视频上多赚一万块钱两万块钱
[00:07:13,800 -> 00:07:15,800] 其实对我的生活没有什么改变
[00:07:15,800 -> 00:07:19,600] 所以说我对多赚一万块钱两万块钱这种事情没有什么兴趣
[00:07:19,600 -> 00:07:23,000] 但是你赚更多的钱肯定也很也几乎是不可能的
[00:07:23,000 -> 00:07:27,199] 所以说我就完全没有想过自己的视频商业化这件事
[00:07:27,199 -> 00:07:32,399] 但是我觉得前进4可能就是有这样的头脑和这样的渠道在
[00:07:32,399 -> 00:07:34,600] 那我们可以一起探索这件事情
[00:07:34,600 -> 00:07:37,800] 就是我不觉得商业化一定是要妥协什么事
[00:07:37,800 -> 00:07:41,000] 说不定商业化是可以amplify我的影响力
[00:07:41,000 -> 00:07:44,600] 或者说商业化本身就是创造价值的一件事
[00:07:44,600 -> 00:07:48,000] 我希望找到一个可以更加创造价值的商业化的
[00:07:48,000 -> 00:07:49,000] 商业化的渠道
[00:07:49,000 -> 00:07:54,000] 以上就是我的2020和我对前进思的一些想法
[00:07:54,000 -> 00:07:58,000] 希望大家看到了以后不要嘲笑我的幼稚
[00:07:58,000 -> 00:08:00,000] 那我们有缘再见
[00:08:00,000 -> 00:08:01,000] 拜拜
