[00:00:00,000 -> 00:00:01,800] Hello 大家好 欢迎回到KWL正
[00:05:25,199 -> 00:05:28,600] 不再被我的时间和我的精力所限制了
[00:05:28,600 -> 00:05:30,160] 当时赛姆奥特曼去说
[00:05:30,160 -> 00:05:32,040] 就是the Moore's law of everything的时候
[00:05:32,040 -> 00:05:32,920] 就举了一个例子
[00:05:32,920 -> 00:05:33,920] 我们当时有一个图表
[00:05:33,920 -> 00:05:34,920] 我这也会放出来
[00:05:34,920 -> 00:05:36,680] 就是在过去的几十年
[00:05:36,680 -> 00:05:39,600] 所有的摩尔定律能影响的东西
[00:05:39,600 -> 00:05:40,920] 价格都大幅下降了
[00:05:40,920 -> 00:05:42,000] 我们今天买一个电视
[00:05:42,000 -> 00:05:43,560] 比我们之前买一个电视要便宜了
[00:05:43,560 -> 00:05:45,120] 但是摩尔定律没有影响的主要是需要人力资本的东西他们的价格都大幅下降了我们今天买一个电视比我们之前买一个电视要便宜了但是摩尔电力没有影响的
[00:05:45,120 -> 00:05:46,720] 主要是需要人力资本的东西
[00:05:46,720 -> 00:05:48,519] 他们的价格都大幅上升了
[00:05:48,519 -> 00:05:49,920] 比如说医生
[00:05:49,920 -> 00:05:51,120] 比如说教育
[00:05:51,120 -> 00:05:52,519] 价格都大幅上升了
[00:05:52,519 -> 00:05:54,439] 当我们能通过拆卸杯器
[00:05:54,439 -> 00:05:55,680] 去解放人力资本
[00:05:55,680 -> 00:05:57,560] 把人力资本的分发成本
[00:05:57,560 -> 00:05:59,240] 降为间歇为零的时候
[00:05:59,240 -> 00:06:01,759] 那我们就可以大概率的
[00:06:01,759 -> 00:06:04,000] 把上面这些东西的价格都给打下来
[00:06:04,000 -> 00:06:07,839] 从而让人们得到更好的人力资本提供的服务
[00:06:07,839 -> 00:06:10,079] 其实在我们的计算机历史上也发生过
[00:06:10,079 -> 00:06:13,800] 我们软件是把工具的分发成本降到了接近为零
[00:06:13,800 -> 00:06:17,360] 我们互联网是把信息和内容的分发成本降到接近为零
[00:06:17,360 -> 00:06:23,079] 现在ChaiGBT就可以把我们的智能和人力资本的分发成本降为接近为零
[00:06:23,079 -> 00:06:27,399] 希望刚才的两点就是把它类比成GUI和万无一无定律
[00:06:27,399 -> 00:06:29,000] 对你能正确理解
[00:06:29,000 -> 00:06:32,000] TryGBT它的意义有一些帮助
[00:06:32,000 -> 00:06:33,800] 当然了就是我们会看到
[00:06:33,800 -> 00:06:35,000] 现在很多人都很焦虑
[00:06:35,000 -> 00:06:36,399] 我觉得大家还是不用焦虑
[00:06:36,399 -> 00:06:37,800] 大家还是想方设法的去
[00:06:37,800 -> 00:06:40,199] 提高自身的批判性思维
[00:06:40,199 -> 00:06:42,000] 提高自身的认知能力
[00:06:42,000 -> 00:06:44,399] 到时候提高自身的人力资本
[00:06:44,399 -> 00:06:45,680] 每一次技术变革
[00:06:45,680 -> 00:06:47,639] 大家都会高估它的短期的影响
[00:06:47,639 -> 00:06:49,399] 而低估它的长期的影响
[00:06:49,399 -> 00:06:51,720] 我们如果去看三年五年十年的话
[00:06:51,720 -> 00:06:53,079] GPT所带来的机会
[00:06:53,079 -> 00:06:55,000] 应该是十倍于平息算
[00:06:55,000 -> 00:06:56,360] 是一个非常大的机会
[00:06:56,360 -> 00:06:58,720] 但是这个机会在对我们个人意味着什么
[00:06:58,720 -> 00:07:02,480] 就是我们去想方设法的提高自己的思辨
[00:07:02,480 -> 00:07:03,639] 提高自己的认知
[00:07:03,639 -> 00:07:05,259] 提高自己的人力资本
[00:07:05,379 -> 00:07:07,500] 这就是我们抓到这波机会的最好方式
[00:07:07,660 -> 00:07:10,420] 好的 这里是在东京的上野公园
[00:07:10,420 -> 00:07:12,339] 这里是一个樱花季的尾巴
[00:07:12,339 -> 00:07:14,660] 也希望大家能enjoy背后的vill
[00:07:14,740 -> 00:07:16,819] 我们这期视频就到这里 下期再见 拜拜
