[00:00:00,000 -> 00:00:01,240] 大家好
[00:01:35,680 -> 00:01:37,719] 通過打造一款極致單品
[00:01:37,719 -> 00:01:40,560] Alter看似輕鬆的就完成了很多
[00:01:40,560 -> 00:01:43,879] 中國品牌之前感覺不可能做到的事情
[00:01:43,879 -> 00:01:47,000] 讓我們知道原來中國品牌也可以做到這些
[00:01:47,000 -> 00:01:50,000] 比如說它在上面打的是中國製造
[00:01:50,000 -> 00:01:52,000] 但是賣出了特別高的品牌溢價
[00:01:52,000 -> 00:01:54,000] 比如說他們的產品美譽度非常高
[00:01:54,000 -> 00:01:56,000] 品牌認可率非常高
[00:01:56,000 -> 00:01:58,000] 消費者的歸屬感也特別特別強
[00:01:58,000 -> 00:02:00,000] 再比如說 Altair 是作為一個網絡產品
[00:02:00,000 -> 00:02:02,000] 然後客單價這麼高
[00:02:02,000 -> 00:02:05,400] 它可以通過讓自己的產品在網絡上有一個很好的呈現
[00:02:05,400 -> 00:02:08,039] 讓大家願意通過網絡去花這麼多錢
[00:02:08,039 -> 00:02:10,080] 去下一單去買一個戶外家具
[00:02:10,080 -> 00:02:11,280] 這個對美國的家具業
[00:02:11,280 -> 00:02:13,000] 其實也是一個很大的顛覆
[00:02:13,000 -> 00:02:14,280] 今天的採訪裡
[00:02:14,280 -> 00:02:17,919] 家科就和我非常無私的分享了他的經驗
[00:02:17,919 -> 00:02:20,719] 我和家科都希望有更多的中國品牌
[00:02:20,719 -> 00:02:21,879] 更多的中國創業者
[00:02:21,879 -> 00:02:23,319] 或者中國的製造商
[00:02:23,319 -> 00:02:26,439] 可以去通過這些經驗獲得到啟發
[00:02:26,439 -> 00:02:29,080] 我們都希望有更多優秀的中國企業
[00:02:29,080 -> 00:02:31,560] 可以把更多優質的產品賣到海外
[00:02:31,560 -> 00:02:34,240] 增加自己的產品力和講故事的能力
[00:02:34,240 -> 00:02:37,000] 最後呢在自己商業獲得成功的同時
[00:02:37,000 -> 00:02:41,400] 也可以讓更多發達國家的消費者去使用這些中國產品
[00:02:41,400 -> 00:02:44,400] 並且發自內心的認同他們的價值和質量
[00:02:44,400 -> 00:02:46,199] 這樣子的話我們一步一步
[00:02:46,199 -> 00:02:48,300] 就可以從消費者的角度
[00:02:48,300 -> 00:02:51,000] 去改變發達國家對中國製造的認知
[00:02:51,000 -> 00:02:53,900] 好的那接下來呢這個四維導圖
[00:02:53,900 -> 00:02:56,699] 就是我對加科採訪的一個總結
[00:02:56,699 -> 00:02:59,099] 視頻會稍稍有點長
[00:02:59,099 -> 00:03:00,699] 但是因為乾貨真的很豐富
[00:03:00,699 -> 00:03:03,300] 我就不忍心把它再進行進一步的剪輯了
[00:03:03,300 -> 00:03:04,900] 希望這個視頻雖然長
[00:03:04,900 -> 00:03:05,000] 但是大家看完這個視頻雖然長
[00:03:05,000 -> 00:03:07,439] 但是大家看完這個視頻的話會有收穫
[00:03:07,439 -> 00:03:10,520] 這裡邊的收穫不光是你如果是做出海電商的
[00:03:10,520 -> 00:03:13,120] 你會學會怎麼樣子做品牌做做產品
[00:03:13,120 -> 00:03:16,800] 更多的我覺得對我的啟發也是家科思考這些問題的方式
[00:03:16,800 -> 00:03:19,360] 就是在這裡邊我也會提供很多comments
[00:03:19,360 -> 00:03:22,759] 就是看大家可以看到家科是如何在很多問題上
[00:03:22,759 -> 00:03:25,319] 都是通過第一性原則去思考的
[00:03:25,319 -> 00:03:27,159] 然後他怎麼樣是抓到這個問題的重點
[00:03:27,159 -> 00:03:28,560] 和他關注的東西是什麼
[00:03:28,560 -> 00:03:30,159] 那話不多說
[00:03:30,159 -> 00:03:32,199] 我們就開始這個正式的視頻吧
[00:03:32,199 -> 00:03:35,960] 感謝加科來我們頻道做客
[00:03:35,960 -> 00:03:38,159] 我先跟大家介紹一下加科吧
[00:03:38,159 -> 00:03:42,560] 你是2016年的時候在亞馬遜上賣這個家具
[00:03:42,560 -> 00:03:44,400] 16年差不多
[00:03:44,400 -> 00:03:46,439] 然後是18年成立的
[00:03:46,439 -> 00:03:49,120] Alter專門做這個戶外沙發
[00:03:49,120 -> 00:03:50,520] 做了一個單品
[00:03:50,520 -> 00:03:52,960] 然後你這個戶外沙發是
[00:03:52,960 -> 00:03:56,000] 就是特斯拉以外的最貴的DTC品牌
[00:03:56,000 -> 00:03:58,800] 大概客單價是5000美元
[00:03:58,800 -> 00:03:59,319] 是吧
[00:03:59,319 -> 00:04:00,039] 差不多對
[00:04:00,039 -> 00:04:01,319] 現在好像更高了一點
[00:04:01,319 -> 00:04:02,199] 更高了
[00:04:02,199 -> 00:04:04,639] 因為是有那個加了其他東西是嗎
[00:04:04,639 -> 00:04:06,080] 對對對然後好像2020年的時候增高了因為是有那個加了其他東西是嗎對對對
[00:04:06,080 -> 00:04:09,840] 然後好像2020年的時候增長了10倍銷量
[00:04:09,840 -> 00:04:13,840] 我們2019年的5月上線
[00:04:13,840 -> 00:04:18,079] 然後2020年大概增長了十幾倍吧
[00:04:18,079 -> 00:04:19,959] 2021年增長了多少倍
[00:04:19,959 -> 00:04:22,600] 2021年應該會增長的更加高
[00:04:22,600 -> 00:04:23,000] 對
[00:04:23,000 -> 00:04:24,959] 今年我們的目標還是挺高的
[00:04:24,959 -> 00:04:25,000] 就絕對值還是倍數倍數哇21年應該會增長的更加高對今年我們的目標還是挺高的
[00:04:25,000 -> 00:04:27,000] 就絕對值還是倍數
[00:04:27,000 -> 00:04:27,720] 倍數
[00:04:27,720 -> 00:04:28,199] 哇
[00:04:28,199 -> 00:04:29,839] 然後21年的年初的時候
[00:04:29,839 -> 00:04:32,199] 小紅山中國和Shan領頭了你們是吧
[00:04:32,199 -> 00:04:33,319] 是這個A輪
[00:04:33,319 -> 00:04:35,199] 1050萬美元
[00:04:35,199 -> 00:04:35,800] 對
[00:04:35,800 -> 00:04:37,639] 今年我們應該是
[00:04:37,639 -> 00:04:39,199] 21年的1月份公佈的吧
[00:04:39,199 -> 00:04:39,800] 對
[00:04:39,800 -> 00:04:40,000] 嗯
[00:04:40,000 -> 00:04:41,920] 到21年的時候做的
[00:04:41,920 -> 00:04:44,120] 就我其實想特別想採訪你的原因呢
[00:04:44,120 -> 00:04:45,300] 是這樣子的我自己在特別想採訪你的原因是這樣子的
[00:04:45,300 -> 00:04:47,500] 我自己在亞馬遜做
[00:04:47,500 -> 00:04:50,079] 之前我30前在亞馬遜做
[00:04:50,079 -> 00:04:50,839] 做了兩年
[00:04:50,839 -> 00:04:54,240] 當時我是專門是反假貨
[00:04:54,240 -> 00:04:57,040] 然後專門反這種就是Fraud之類的
[00:04:57,040 -> 00:04:59,180] 所以說就我為了去反假貨
[00:04:59,180 -> 00:05:01,279] 就去追蹤了很多這種跨境電商群
[00:05:01,279 -> 00:05:02,279] 國內的跨境電商群
[00:05:02,279 -> 00:05:05,879] 去看他們是怎麼樣子搞這種刷單啊這些東西
[00:05:05,879 -> 00:05:07,800] 然後我就發現其實大家
[00:05:07,800 -> 00:05:08,879] 我覺得有兩種吧
[00:05:08,879 -> 00:05:09,879] 一個是做品牌的
[00:05:09,879 -> 00:05:11,959] 但是這種做品牌的反而做不起來
[00:05:11,959 -> 00:05:13,079] 另外一種就是
[00:05:13,079 -> 00:05:14,600] 比如說深圳那裡的賣家
[00:05:14,600 -> 00:05:16,120] 就是選品選很多很多
[00:05:16,120 -> 00:05:17,279] 然後做運營
[00:05:17,279 -> 00:05:19,000] 他們可以賣得還不錯
[00:05:19,000 -> 00:05:22,279] 可是就是大家這個單價都是
[00:05:22,279 -> 00:05:23,240] 就是比較低嘛
[00:05:23,240 -> 00:05:24,839] 比如說是這個
[00:05:24,839 -> 00:05:25,800] 100塊錢的東西如果你在RichHard裡面看到那在亞馬遜上嘛比如說是這個100塊錢的東西
[00:05:25,800 -> 00:05:27,399] 如果你在RichVal裡面看到
[00:05:27,399 -> 00:05:29,920] 你在亞馬遜上可能大家把它做到30塊錢
[00:05:29,920 -> 00:05:30,839] 然後開始賣
[00:05:30,839 -> 00:05:33,240] 就很少有人能把品牌做起來
[00:05:33,240 -> 00:05:34,800] 然後後來來了Facebook
[00:05:34,800 -> 00:05:37,319] 然後也發現就是這種品牌的溢價
[00:05:37,319 -> 00:05:40,720] 在中國的這個產品上是很難出現的
[00:05:40,720 -> 00:05:43,920] 尤其在這種跨境電商的這個產品上很難出現
[00:05:43,920 -> 00:05:44,839] 但是另外一方面
[00:05:44,839 -> 00:05:46,560] 我覺得國內的品牌
[00:05:46,560 -> 00:05:48,199] 其實很多做得都不錯
[00:05:48,199 -> 00:05:49,639] 就是反而你如果看中國
[00:05:49,639 -> 00:05:50,879] 中國的不是跨境電商
[00:05:50,879 -> 00:05:53,480] 而是中國的製造在中國賣的時候
[00:05:53,480 -> 00:05:55,800] 很多時候他們是能做出品牌來的
[00:05:55,800 -> 00:05:59,120] 我就很好奇這裡邊到底是什麼問題
[00:05:59,120 -> 00:06:02,160] 就是為什麼中國的跨境電商
[00:06:02,160 -> 00:06:03,680] 在美國沒有把品牌做起來
[00:06:03,680 -> 00:06:07,120] 是不是因為大家對美國消費者不理解
[00:06:07,639 -> 00:06:11,879] 然後你這個品牌就是不光是在跨境電商裡面
[00:06:11,879 -> 00:06:13,160] 品牌做得特別好
[00:06:13,160 -> 00:06:15,959] 你在放眼全美的所有DTC品牌
[00:06:15,959 -> 00:06:18,879] 你這個就是你這個branding都是做得特別好的
[00:06:18,879 -> 00:06:21,639] 你的這個單價就是除了Tesla最高
[00:06:21,639 -> 00:06:26,000] 就是很明顯消費者是非常認可你的品牌調性的
[00:06:26,000 -> 00:06:27,680] 所以我就想聊一聊
[00:06:27,680 -> 00:06:31,480] 到底是什麼東西讓你可以把品牌這件事情給做好
[00:06:31,480 -> 00:06:33,319] 這個是我最好奇的
[00:06:33,319 -> 00:06:35,519] 另外還有一些比如說
[00:06:35,519 -> 00:06:36,959] 跨境電商的挑戰
[00:06:36,959 -> 00:06:38,959] 或者說你在做電商的時候
[00:06:38,959 -> 00:06:40,800] 尤其做這種TTC的時候
[00:06:40,800 -> 00:06:43,079] 到底怎麼樣子去增長這些問題
[00:06:43,079 -> 00:06:43,680] 好啊好啊
[00:06:43,680 -> 00:06:46,199] 都是我最近在clubhouse上
[00:06:46,199 -> 00:06:48,759] 也是我們聊過的一些話題對不對
[00:06:48,759 -> 00:06:51,000] 也是我確實比較關心的一些話題
[00:06:51,000 -> 00:06:55,600] 白天上班晚上繼續上班
[00:06:55,600 -> 00:06:56,600] 就是這個感覺
[00:06:56,600 -> 00:06:58,000] 只是在clubhouse上上班
[00:06:58,000 -> 00:07:00,800] 希望這個聊完了以後
[00:07:00,800 -> 00:07:03,319] 很多東西就不需要在clubhouse上重複了
[00:07:03,319 -> 00:07:05,199] 讓大家看一下這個視頻就好了
[00:07:05,199 -> 00:07:07,199] 那我就開始問問題了
[00:07:07,199 -> 00:07:11,439] 就是我們說這個中國電商出海美國
[00:07:11,439 -> 00:07:14,639] 那我們首先是要針對的是美國的消費者
[00:07:14,639 -> 00:07:16,720] 然後是有中國的供應鏈
[00:07:16,720 -> 00:07:17,639] 最後呢
[00:07:17,639 -> 00:07:20,680] 你不光是有一個中美的這種搬運
[00:07:20,680 -> 00:07:22,920] 你還要在美國市場競爭完全
[00:07:22,920 -> 00:07:26,000] 我就想先聊我覺得最好奇的這件事情
[00:07:26,000 -> 00:07:28,639] 就是你是怎麼樣子理解美國消費者
[00:07:28,639 -> 00:07:30,839] 我覺得怎麼理解美國消費者
[00:07:30,839 -> 00:07:32,000] 這個問題還蠻廣的
[00:07:32,000 -> 00:07:34,079] 但是我覺得從DQC
[00:07:34,079 -> 00:07:38,519] 然後可能對出海跨境這個總體來說的話
[00:07:38,519 -> 00:07:40,519] 我覺得大家現在的新興品牌
[00:07:40,519 -> 00:07:43,079] 其實針對的都是美國的新興的消費者群體
[00:07:43,079 -> 00:07:44,360] 也就是所謂的Millennials
[00:07:44,360 -> 00:07:49,300] 那麼這一代人他其實是美國有史以來最大的一個消費群體
[00:07:49,300 -> 00:07:55,379] 然後他甚至幾年前已經超越了這個Baby Boomer
[00:07:55,379 -> 00:07:58,779] 就是60年代我們父輩那一代的人
[00:07:58,779 -> 00:08:00,420] 成為了最大的消費群體
[00:08:00,420 -> 00:08:02,779] 也是最大的買房主義軍等等等等
[00:08:02,779 -> 00:08:04,860] 如果有觀眾不是很了解的話
[00:08:04,860 -> 00:08:05,439] 可不可以稍微講一下
[00:08:05,439 -> 00:08:07,399] 這個你具體說的是哪一部分人
[00:08:07,399 -> 00:08:08,000] 他們是
[00:08:08,000 -> 00:08:11,079] Millennial應該在中國的定位是80後所謂的
[00:08:11,079 -> 00:08:11,879] 對
[00:08:11,879 -> 00:08:14,399] 然後包括自己在內也是一個
[00:08:14,399 -> 00:08:15,439] 我是89年出生的
[00:08:15,439 -> 00:08:16,639] 所以也算是一個Millennial
[00:08:16,639 -> 00:08:19,800] 那麼這一代的人他的一些消費習慣
[00:08:19,800 -> 00:08:21,279] 其實跟上一代的人很不一樣
[00:08:21,279 -> 00:08:23,600] 但是這裡面一個很重要的一點
[00:08:23,600 -> 00:08:26,600] 是他的這個size就是它的數量
[00:08:26,600 -> 00:08:28,199] 和它的消費能力的
[00:08:28,199 -> 00:08:30,639] 這樣一個慢慢的一個升級
[00:08:30,639 -> 00:08:31,279] 對不對
[00:08:31,279 -> 00:08:33,320] 所以雖然說它的消費能力
[00:08:33,320 -> 00:08:35,080] 還是比不上Baby Boomer
[00:08:35,080 -> 00:08:37,200] 當然他們最近確實
[00:08:37,200 -> 00:08:39,559] 林馬寧開始的經濟危機有關係
[00:08:39,559 -> 00:08:39,960] 對吧
[00:08:39,960 -> 00:08:42,080] 但是他們絕對數量
[00:08:42,080 -> 00:08:45,279] 還有隨他們的年齡增長
[00:08:45,279 -> 00:08:53,279] 那麼對消費能力的提升也是在每年都有這樣的很顯著的增長
[00:08:53,279 -> 00:08:55,279] 這一代人就是說
[00:08:55,279 -> 00:08:58,679] 你剛問我是怎麼理解美國消費者
[00:08:58,679 -> 00:09:02,399] 那麼其實這一代人他的一些消費習慣
[00:09:02,399 -> 00:09:04,799] 剛提到的不一樣的點是
[00:09:04,799 -> 00:09:05,000] 像上一輩的人他可能想的更多的是所謂的性價比它跟它的一些消費習慣剛提到的不一樣的點是
[00:09:05,000 -> 00:09:08,639] 像上一輩的人他可能想的更多的是所謂的性價比
[00:09:08,639 -> 00:09:11,679] Again,這個磁器性價比這個東西在美國這裡不存在
[00:09:11,679 -> 00:09:13,320] 這個英語沒有什麼
[00:09:13,320 -> 00:09:14,080] 沒有人會說
[00:09:14,080 -> 00:09:17,480] What is its price, just performance ratio
[00:09:17,480 -> 00:09:19,279] 沒有性價比吧
[00:09:19,279 -> 00:09:22,080] 但是我們Facebook其實最近在做這個
[00:09:22,080 -> 00:09:23,759] 在做commerce嘛
[00:09:23,759 -> 00:09:28,299] 我們就把它分成這個value commerce和inspirational commerce
[00:09:28,299 -> 00:09:29,720] 就是比如說你在這個
[00:09:29,720 -> 00:09:31,100] Instagram啊 抖音啊
[00:09:31,100 -> 00:09:32,600] 或者甚至有很多時候
[00:09:32,600 -> 00:09:34,480] live shopping都是inspirational
[00:09:34,480 -> 00:09:36,220] 我覺得其實DTC很多時候
[00:09:36,220 -> 00:09:37,440] 是在這兩個中間是吧
[00:09:37,440 -> 00:09:39,220] 很多時候你的這個購買意願
[00:09:39,220 -> 00:09:40,639] 是你的廣告或者說
[00:09:40,639 -> 00:09:43,019] 是你的這個傳播造成的
[00:09:43,019 -> 00:09:44,639] 但是你肯定要提供一個
[00:09:44,639 -> 00:09:46,080] 就是各方面都很好的產品
[00:09:46,080 -> 00:09:47,679] 才會讓大家去下單
[00:09:48,279 -> 00:09:49,919] 是我覺得你可以這樣去細分
[00:09:49,919 -> 00:09:51,519] 我的意思就是從文化層面的話
[00:09:51,519 -> 00:09:53,480] 像我們中國人從小到大
[00:09:53,480 -> 00:09:56,120] 就父母說的買所有的東西都是性價比
[00:09:56,120 -> 00:09:56,720] 對不對
[00:09:56,720 -> 00:09:57,519] 你沒有意思嗎
[00:09:57,519 -> 00:10:00,120] 就是但這一代在美國沒有說出生起來
[00:10:00,120 -> 00:10:01,559] 就是父母就說性價比
[00:10:01,559 -> 00:10:04,120] 雖然說就是上一代的美國人
[00:10:04,120 -> 00:10:07,279] 他們在沒有詞彈
[00:10:07,279 -> 00:10:08,720] 他確實是會去看重這些
[00:10:08,720 -> 00:10:09,879] 就是他的質量方面
[00:10:09,879 -> 00:10:12,159] 然後他的所謂的這個authority
[00:10:12,159 -> 00:10:14,279] 就是所謂的像明星代言
[00:10:14,279 -> 00:10:16,279] 或者是這個品牌存在多久了
[00:10:16,279 -> 00:10:17,919] 所以你會看到經常有些品牌說
[00:10:17,919 -> 00:10:21,120] 某某某就是established in幾幾年
[00:10:21,120 -> 00:10:21,440] 對不對
[00:10:21,440 -> 00:10:22,480] 然後年代越久
[00:10:22,480 -> 00:10:23,840] 他越多人相信
[00:10:23,840 -> 00:10:26,000] 有一個很common的特徵
[00:10:26,000 -> 00:10:29,000] 就是新興的DTC品牌在美國
[00:10:29,000 -> 00:10:31,000] 從最開始的可能Walby Parker
[00:10:31,000 -> 00:10:33,000] 到最近的像
[00:10:33,000 -> 00:10:34,000] I don't know
[00:10:34,000 -> 00:10:36,000] 像Auburn
[00:10:36,000 -> 00:10:37,000] Lululemon
[00:10:37,000 -> 00:10:39,000] Lululemon
[00:10:39,000 -> 00:10:42,000] 它不能算是DTC的品牌吧
[00:10:42,000 -> 00:10:43,000] 不能算是digital native brand
[00:10:43,000 -> 00:10:46,879] 因為它是從一個線下的一個起家的
[00:10:46,879 -> 00:10:47,480] 對不對
[00:10:47,480 -> 00:10:49,039] 其實DTC還有
[00:10:49,039 -> 00:10:49,799] 對對對
[00:10:49,799 -> 00:10:52,360] DTC的其實另外一個更恰當的名字
[00:10:52,360 -> 00:10:54,200] 其實大家講的都是這個東西
[00:10:54,200 -> 00:10:56,720] 就是所謂的Digital Native Vertical Brand
[00:10:56,720 -> 00:10:58,000] 就DNVB這個詞
[00:10:58,000 -> 00:10:59,399] 像你也聽說過
[00:10:59,399 -> 00:11:02,000] 就說它是起源於線上
[00:11:02,000 -> 00:11:04,440] 然後針對的是這個叫所謂的Digital Native
[00:11:04,440 -> 00:11:07,440] 就是數字原住民這樣翻譯對不對
[00:11:07,440 -> 00:11:09,440] 就是所謂的millennial這一代人
[00:11:09,440 -> 00:11:10,320] Gen Z這一代人
[00:11:10,320 -> 00:11:12,519] 就是他從小就是在互聯網上
[00:11:12,519 -> 00:11:13,960] 在他的smartphone上
[00:11:13,960 -> 00:11:16,120] 在電腦上去消費非常大的
[00:11:16,120 -> 00:11:18,360] 所以這些人這些品牌
[00:11:18,360 -> 00:11:21,879] 他看準了這一代的人的一些特質
[00:11:21,879 -> 00:11:22,679] 我講了很久
[00:11:22,679 -> 00:11:27,000] 但是就是這些人他為什麼不一樣他一是對這個工藝上面的一個關心
[00:11:27,000 -> 00:11:30,000] 就他的這個價值觀在這個Mass Low Triangle裡面
[00:11:30,000 -> 00:11:34,000] 他就是除了就是滿足就是說現在已經產品都琳瑯滿目的
[00:11:34,000 -> 00:11:37,000] 然後你要找什麼樣的價位,什麼樣的質量都能買得到
[00:11:37,000 -> 00:11:41,000] 但是唯一他這個區別點是在於就是說
[00:11:41,000 -> 00:11:47,200] 你這個品牌或者你這個公司是給我帶來什麼樣在
[00:11:47,200 -> 00:11:50,600] 怎麼說在精神上或者心靈上的一種滿足感
[00:11:50,600 -> 00:11:52,600] 這種滿足感它往往是要在一個
[00:11:52,600 -> 00:11:54,600] 價值觀的方面去體現的
[00:11:54,600 -> 00:11:55,600] 例如公益
[00:11:55,600 -> 00:11:57,919] 像沃比帕克他早期的是說
[00:11:57,919 -> 00:11:59,440] 你買一副眼鏡他會捐一副眼鏡
[00:11:59,440 -> 00:12:00,720] 有點像那個Tom Shoes
[00:12:00,720 -> 00:12:02,679] 那個就是你買一雙鞋子
[00:12:02,679 -> 00:12:08,000] 他會捐給這個災區的或者貧困山區的一些貧困地區的一些兒童的鞋子
[00:12:08,000 -> 00:12:15,000] 所以這個common thread在Auburn也是有體現到他們是做環保,我們也是做環保
[00:12:15,000 -> 00:12:19,000] 我覺得這個東西是一個很錦上添花的東西
[00:12:19,000 -> 00:12:24,000] 但是foundation是你這個產品做得好,和你的brand能resonate with你的buyer
[00:12:24,000 -> 00:12:25,559] 其實我帶�的就是
[00:12:25,559 -> 00:12:27,440] 沃爾比·帕克的眼鏡
[00:12:27,440 -> 00:12:28,879] 然後我喜歡他們
[00:12:28,879 -> 00:12:30,840] 首先是因為他們的質量很過硬
[00:12:30,840 -> 00:12:32,840] 然後性價比很高
[00:12:32,840 -> 00:12:34,559] 也不是性價比就是最高的
[00:12:34,559 -> 00:12:36,360] 就是它不是一個
[00:12:36,360 -> 00:12:37,600] 主打價
[00:12:37,600 -> 00:12:38,799] 它是主打性
[00:12:38,799 -> 00:12:41,039] 主打價值的東西
[00:12:41,039 -> 00:12:43,039] 我覺得我還是挺認可他們的質量的
[00:12:43,039 -> 00:12:46,399] 但我覺得其實剛才說到的消費群體
[00:12:46,399 -> 00:12:48,600] 然後和消費升級的Trend
[00:12:48,600 -> 00:12:51,080] 大家關注質量,關注品牌
[00:12:51,080 -> 00:12:54,080] 我覺得是非常對的
[00:12:54,080 -> 00:12:59,279] 但是問題是很多人可能都知道這件事情
[00:12:59,279 -> 00:13:02,960] 然後他們想去做一個高質量的東西
[00:13:02,960 -> 00:13:05,120] 然後大家認可的東西
[00:13:05,120 -> 00:13:06,519] 但是做不到
[00:13:06,519 -> 00:13:08,639] 所以我想在這個地方更深入一點
[00:13:08,639 -> 00:13:11,039] 就是你是怎麼樣子做到的
[00:13:11,039 -> 00:13:14,440] 所以說我覺得我們可以把它分成兩個部分來講
[00:13:14,440 -> 00:13:15,440] 一個是產品
[00:13:15,440 -> 00:13:16,639] 一個是這個品牌
[00:13:16,639 -> 00:13:18,600] 就是你怎麼樣子做好一個產品
[00:13:18,600 -> 00:13:20,480] 和你怎麼樣子把這個產品的質量
[00:13:20,480 -> 00:13:21,879] 去讓消費者理解到
[00:13:21,879 -> 00:13:24,080] 然後並且深入他們的
[00:13:24,080 -> 00:13:25,000] 就是叫什麼那個Striker Core就是讓他們一下被擊中的那種感覺去讓消費者理解到並且深入他們的strike
[00:13:25,000 -> 00:13:27,000] 叫什麼那個strike a chord
[00:13:27,000 -> 00:13:30,000] 讓他們一下被擊中的那種感覺
[00:13:30,000 -> 00:13:31,000] 有共鳴是吧
[00:13:31,000 -> 00:13:34,000] 我覺得我為什麼要先講這個品牌方面
[00:13:34,000 -> 00:13:35,000] 是因為作為一個新興品牌
[00:13:35,000 -> 00:13:38,000] 它其實無非是通過像Facebook
[00:13:38,000 -> 00:13:41,000] 通過Instagram這些地方給大家曝光
[00:13:41,000 -> 00:13:43,000] 然後去講它的一些理念和它的一些品牌
[00:13:43,000 -> 00:13:45,320] 其實在這之前沒有很多消費者
[00:13:45,320 -> 00:13:47,320] 他有這個機會去體驗這個實體的
[00:13:47,320 -> 00:13:49,440] 那當然你說的這個產品一定要做好
[00:13:49,440 -> 00:13:50,519] 那當然是這樣子的
[00:13:50,519 -> 00:13:52,120] 這個就是
[00:13:52,120 -> 00:13:57,159] 但這一點就是在出海的這一些中國團隊裡面
[00:13:57,159 -> 00:13:59,039] 其實是應該是不錯的
[00:13:59,039 -> 00:13:59,879] 反而相反
[00:13:59,879 -> 00:14:01,120] 很多美國的團隊
[00:14:01,120 -> 00:14:03,320] 他是品牌做得很好
[00:14:03,320 -> 00:14:06,159] 但產品做的不可攻為
[00:14:06,159 -> 00:14:06,559] 是吧
[00:14:06,559 -> 00:14:08,440] 因為它畢竟零供應鏈比較近
[00:14:08,440 -> 00:14:09,480] 這產品是可以過硬
[00:14:09,480 -> 00:14:11,320] 但是他在呈現它
[00:14:11,320 -> 00:14:12,720] 它的精神價值
[00:14:12,720 -> 00:14:16,200] 在一些剛剛所說的精神溢價上面
[00:14:16,200 -> 00:14:17,279] 他沒有做出來
[00:14:17,279 -> 00:14:18,759] 所以對
[00:14:18,759 -> 00:14:20,080] 但我們可以分兩部分講
[00:14:20,200 -> 00:14:21,000] 你說產品方面
[00:14:21,080 -> 00:14:22,080] 我先回答產品
[00:14:22,080 -> 00:14:23,840] 產品的話
[00:14:23,840 -> 00:14:28,500] 你有沒有發現美國很多的所謂的這種high flying的DTC company
[00:14:28,500 -> 00:14:34,000] 就是所謂像Casper,然後還有什麼例子,像Brandless
[00:14:34,000 -> 00:14:35,500] 一些可能負面的例子
[00:14:35,500 -> 00:14:38,000] 甚至一些可能Away,對吧
[00:14:38,000 -> 00:14:40,000] 還有一個叫什麼
[00:14:40,000 -> 00:14:42,000] 反正就這幾個牌子吧
[00:14:42,000 -> 00:14:44,000] 你看他們創始團隊啊,很有意思
