[00:00:00,000 -> 00:00:01,199] 推薦三款
[00:04:23,199 -> 00:04:27,100] 原来是不同的风格会更加的吸引我
[00:04:27,100 -> 00:04:30,800] 而且会能够帮助我去选购自己喜欢的威士忌
[00:04:30,800 -> 00:04:31,600] 为什么呢
[00:04:31,600 -> 00:04:36,000] 因为其实整个威士忌的一个制作过程里面
[00:04:36,000 -> 00:04:39,100] 对风味有最大的贡献的环节就是桶
[00:04:39,100 -> 00:04:42,500] 就是超过百分之七八十都是来自于桶的风味
[00:04:42,500 -> 00:04:46,600] 所以他在什么桶去酝酿他的风味
[00:04:46,600 -> 00:04:49,199] 就决定了他的一个最后的
[00:04:49,199 -> 00:04:50,000] 除了风味以外
[00:04:50,000 -> 00:04:52,600] 还有我喜欢的客人群体了
[00:04:52,600 -> 00:04:55,180] 就比如说我们经常听的雪地桶啊
[00:04:55,180 -> 00:04:56,379] 波本桶啊
[00:04:56,379 -> 00:04:56,939] 呃
[00:04:56,939 -> 00:04:57,779] 狼母酒桶啊
[00:04:57,779 -> 00:04:59,939] 我们看到这里边很多都是跟桶有关嘛
[00:04:59,939 -> 00:05:00,939] French Oak啊
[00:05:00,939 -> 00:05:01,939] Single Barrel啊
[00:05:01,939 -> 00:05:02,779] Caribbean啊
[00:05:02,779 -> 00:05:05,000] Single Barrel比如说像这个吧
[00:05:05,000 -> 00:05:07,000] 我拿出来给大家看一下哈
[00:05:07,000 -> 00:05:09,000] 比如说这个是单桶的威士忌哈
[00:05:09,000 -> 00:05:12,000] 就整瓶是来自一个橡木桶的
[00:05:12,000 -> 00:05:14,000] 而且他写的是水里桶
[00:05:14,000 -> 00:05:19,000] 就比如说我喜欢像蜜饯果干
[00:05:19,000 -> 00:05:21,000] 或者是他的老木头风味的
[00:05:21,000 -> 00:05:22,000] 我特别喜欢
[00:05:22,000 -> 00:05:24,000] 那我就会选水里桶
[00:05:24,000 -> 00:05:26,639] 那如果我喜欢热带水果的
[00:05:26,639 -> 00:05:28,399] 很热情奔放的
[00:05:28,399 -> 00:05:31,639] 酒体也不用那么的浓稠的
[00:05:31,639 -> 00:05:33,120] 那我就选一个朗姆桶
[00:05:34,240 -> 00:05:34,720] 好的
[00:05:34,720 -> 00:05:37,319] 感觉起码得到了一个装逼小知识
[00:05:37,319 -> 00:05:39,160] 就是我去跟别人说
[00:05:39,160 -> 00:05:39,399] 嗯
[00:05:39,399 -> 00:05:40,959] 我比较喜欢热带水果的
[00:05:40,959 -> 00:05:43,959] 所以给我来推荐一下你们的朗姆桶
[00:05:43,959 -> 00:05:44,639] 可以啊
[00:05:44,639 -> 00:05:45,199] 这可以啊但是朗姆桶也是比�一下你们的朗姆桶可以啊这个可以啊
[00:05:45,199 -> 00:05:47,199] 但是朗姆桶也是比较少嘛
[00:05:47,199 -> 00:05:48,000] 朗姆桶比较少
[00:05:48,000 -> 00:05:49,040] 真的
[00:05:49,040 -> 00:05:50,399] 是不是比较少
[00:05:50,399 -> 00:05:52,360] 你想想是不是
[00:05:52,360 -> 00:05:53,000] 对
[00:05:53,000 -> 00:05:54,879] 好像看到了都会觉得很稀奇
[00:05:54,879 -> 00:05:57,879] 这个跟朗姆酒本身它的生产有关系
[00:05:57,879 -> 00:05:59,120] 因为你想想啊
[00:05:59,120 -> 00:06:01,639] 这是全球我们用的朗姆酒在酒吧里面
[00:06:01,639 -> 00:06:03,439] 绝大部分是白色朗姆
[00:06:03,439 -> 00:06:04,120] 透明
[00:06:04,120 -> 00:06:06,519] 那些是基本上不需要经过陈年
[00:06:06,519 -> 00:06:11,519] 所以从桶里面有装过这个朗姆的这个比例
[00:06:11,519 -> 00:06:14,439] 就相对没有像波本酒那么的多了
[00:06:14,439 -> 00:06:15,279] 对
[00:06:15,279 -> 00:06:19,720] 所以这个是跟Production不同酒类的细分的赛道
[00:06:19,720 -> 00:06:21,199] 他们的产量
[00:06:21,199 -> 00:06:22,439] 产量之后
[00:06:22,439 -> 00:06:29,199] 这些桶卖到哪里都有关系的我还被推荐过一个那个IPA的桶賣到哪裡都有關係的我還被推薦過一個IPA的桶
[00:06:29,199 -> 00:06:30,800] 對 還有很多
[00:06:30,800 -> 00:06:33,399] 其實還有比如說中國有做黃酒桶
[00:06:33,399 -> 00:06:35,000] 中國黃酒桶
[00:06:35,000 -> 00:06:38,600] 還有中國的白蘭地桶都很不錯
[00:06:38,600 -> 00:06:40,600] 還有中國的赤霞珠桶
[00:06:40,600 -> 00:06:42,399] 還有中國的馬瑟蘭桶
[00:06:42,399 -> 00:06:44,199] 非常非常好玩
[00:06:44,199 -> 00:06:46,319] 那問到这里
[00:06:46,319 -> 00:06:47,319] 你觉得就是
[00:06:47,319 -> 00:06:49,319] 因为你肯定也接触过很多消费者
[00:06:49,319 -> 00:06:50,319] 包括来上课的人
[00:06:50,319 -> 00:06:51,319] 上课之前和之后
[00:06:51,319 -> 00:06:53,319] 他们可能观念也会有一些变化
[00:06:53,319 -> 00:06:55,819] 你看到普通消费者的比较大的误区是什么呢?
[00:06:55,819 -> 00:06:57,819] 误区啊
[00:06:57,819 -> 00:07:01,819] 觉得威士忌的年份越高越好
[00:07:01,819 -> 00:07:03,819] 越高越贵这道理
[00:07:03,819 -> 00:07:07,800] 因为咱们有一个概念
[00:07:07,800 -> 00:07:09,639] 贵的就是好的
[00:07:09,639 -> 00:07:10,720] 老的就是好的
[00:07:10,720 -> 00:07:11,720] 老年份就是好的
[00:07:11,720 -> 00:07:12,920] 贵的就是好的
[00:07:12,920 -> 00:07:15,319] 但是很多人没有想反过来
[00:07:15,319 -> 00:07:19,399] 请问你我他认为的好的标准是什么
[00:07:19,399 -> 00:07:20,920] 这次问题就没有标准
[00:07:20,920 -> 00:07:23,600] 因为我太不懂了
[00:07:23,600 -> 00:07:25,000] 就是刚刚说的我太不懂了
[00:07:25,000 -> 00:07:29,199] 所以说我只能去先暂时认为贵的是好的
[00:07:29,199 -> 00:07:31,399] 这样起码让我有品位
[00:07:31,399 -> 00:07:32,199] 有面子
[00:07:32,199 -> 00:07:33,399] 有品位
[00:07:33,399 -> 00:07:35,100] 要有品位的话
[00:07:35,100 -> 00:07:38,199] 我的一个装逼方式是什么呢
[00:07:38,199 -> 00:07:39,199] 我选桶
[00:07:39,199 -> 00:07:40,199] 选完桶之后
[00:07:40,199 -> 00:07:41,800] 我会选一个我喜欢的品牌
[00:07:41,800 -> 00:07:44,000] 我这个品牌有什么故事可以讲
[00:07:44,000 -> 00:07:45,680] 显得我很有档次
[00:07:45,680 -> 00:07:46,839] 显得我很有文化
[00:07:48,079 -> 00:07:49,560] 对不对
[00:07:49,560 -> 00:07:50,920] 泡妞也是这样子呀
[00:07:50,920 -> 00:07:52,079] 对不对呀
[00:07:52,079 -> 00:07:52,759] 是吗
[00:07:52,759 -> 00:07:53,519] 不是吗
[00:07:53,519 -> 00:07:55,839] 怎么怎么怎么怎么怎么解释一下
[00:07:57,720 -> 00:07:58,839] 比如说你要
[00:07:58,839 -> 00:08:00,199] 如果你喜欢一个女生
[00:08:00,199 -> 00:08:01,199] 你要请她吃饭
[00:08:01,199 -> 00:08:03,319] 你肯定会选一个你熟悉的餐厅
[00:08:03,319 -> 00:08:06,759] 或者是你了解这个菜单的一个环境
[00:08:06,759 -> 00:08:07,839] 从来都不是
[00:08:07,839 -> 00:08:09,279] 从来都是去新餐厅
[00:08:09,279 -> 00:08:11,279] 那你不会泡妞吗
[00:08:11,279 -> 00:08:13,560] 这个话可不能随便说
[00:08:13,560 -> 00:08:15,000] 应该是比你更会一些
[00:08:15,000 -> 00:08:16,600] 这样子你泡不了我
[00:08:16,600 -> 00:08:18,600] 这个可以说了吧
[00:08:19,279 -> 00:08:20,279] 不一定
[00:08:20,279 -> 00:08:22,079] 那你试试看
[00:08:22,079 -> 00:08:26,000] 美魂七在看着救命
[00:08:26,000 -> 00:08:28,000] 嗯
[00:08:28,000 -> 00:08:30,000] 明白
[00:08:30,000 -> 00:08:32,000] 这个确实是一个装逼的
[00:08:32,000 -> 00:08:34,000] 很好的方式
[00:08:34,000 -> 00:08:36,000] 但是本身也确实是跟你选这个酒的
[00:08:36,000 -> 00:08:38,000] 质量有关系
[00:08:38,000 -> 00:08:40,000] 嗯
[00:08:40,000 -> 00:08:42,000] 怎么说呢
[00:08:42,000 -> 00:08:44,000] 就是你对这个酒的喜好吧
[00:08:44,000 -> 00:08:46,000] 喜好但是这个喜好
[00:08:46,000 -> 00:08:48,000] 我怎么去判断我喜不喜欢这个味道
[00:08:48,000 -> 00:08:50,000] 还是要凭经验
[00:08:50,000 -> 00:08:52,000] 要喝的足够多的不同的品类
[00:08:52,000 -> 00:08:54,000] 我才知道我喜不喜欢
[00:08:54,000 -> 00:08:56,000] 这个风格或是这个酒厂的
[00:08:56,000 -> 00:08:58,000] 风格或是这种
[00:08:58,000 -> 00:09:00,000] 桶型的一个味道
[00:09:00,000 -> 00:09:02,000] 还是要多去尝试
[00:09:02,000 -> 00:09:04,000] 如果你这么喜欢喝
[00:09:04,000 -> 00:09:05,840] 就是你这么
[00:09:06,159 -> 00:09:08,240] 就是你对味道有很多的
[00:09:08,240 -> 00:09:09,240] 品鉴能力了
[00:09:09,240 -> 00:09:12,200] 那你会喝Blended Whiskey吗
[00:09:12,200 -> 00:09:13,399] 还是很少喝的
[00:09:13,399 -> 00:09:14,240] 喝Whiskey啊
[00:09:14,240 -> 00:09:15,440] Blended
[00:09:15,440 -> 00:09:17,840] 其实我都会
[00:09:17,840 -> 00:09:19,360] 其实我说实话
[00:09:19,360 -> 00:09:20,679] 真的说实话
[00:09:20,679 -> 00:09:21,879] 我很少喝酒
[00:09:21,879 -> 00:09:22,879] 哦 哇
[00:09:22,879 -> 00:09:24,000] 真的说实话
[00:09:24,000 -> 00:09:24,440] 为什么
[00:09:24,440 -> 00:09:26,000] 因为以前喝太多了不是哈哈哈我很少喝酒哦 哇为什么 因为
[00:09:26,000 -> 00:09:28,000] 以前喝太多了
[00:09:28,000 -> 00:09:30,000] 哈哈哈
[00:09:30,000 -> 00:09:32,000] 你不是让我说实话吗
[00:09:32,000 -> 00:09:34,000] 但这个威士忌也很好喝呀
[00:09:34,000 -> 00:09:36,000] 不是
[00:09:36,000 -> 00:09:38,000] 你很少喝酒和以前喝太多
[00:09:38,000 -> 00:09:40,000] 你这句话就相当于
[00:09:40,000 -> 00:09:42,000] 只告诉了一半的信息
[00:09:42,000 -> 00:09:44,000] 不是 这是以前刚刚
[00:09:44,000 -> 00:09:47,360] 就是进去这个威士忌的坑的时候
[00:09:47,360 -> 00:09:49,919] 经常喝就一个星期会喝四五次
[00:09:49,919 -> 00:09:52,759] 然后就快速找到自己喜欢的风格嘛
[00:09:52,759 -> 00:09:53,519] 找到之后呢
[00:09:53,519 -> 00:09:54,720] 觉得哎呀好像都
[00:09:54,720 -> 00:09:55,879] 这些的味道
[00:09:55,879 -> 00:09:57,279] 我大概知道了解之后
[00:09:57,279 -> 00:09:59,480] 我就很需要创新的东西
[00:09:59,480 -> 00:10:01,279] 后来有很长一段时间
[00:10:01,279 -> 00:10:04,039] 我在威士忌里面找不到很创新的东西
[00:10:04,039 -> 00:10:06,360] 那我就改喝其他的烈酒了
[00:10:06,360 -> 00:10:08,799] 所以目前我就很少很少喝酒
[00:10:08,799 -> 00:10:10,799] 对 而且我发现很
[00:10:10,799 -> 00:10:12,360] 就是我自己喝了酒之后呢
[00:10:12,360 -> 00:10:14,039] 我说过什么我不记得了
[00:10:14,039 -> 00:10:15,600] 我说了我爱你我不记得了
[00:10:15,600 -> 00:10:17,279] 我说我恨你我也不记得了
[00:10:17,279 -> 00:10:20,720] 后来我就减少喝酒的这个频率跟量
[00:10:20,720 -> 00:10:23,759] 你好像每次喝也不需要喝那么多了啦
[00:10:23,759 -> 00:10:26,799] 我是不知不觉就是一杯鸡尾酒就开始晕了
[00:10:26,799 -> 00:10:27,919] 而且是鸡尾酒哦
[00:10:27,919 -> 00:10:29,120] 这不是威士忌哦
[00:10:30,039 -> 00:10:30,399] 好吧
[00:10:30,399 -> 00:10:45,200] Too much information哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈�给我看一下录的那个不用不用应该是就是就是怎么说呢
[00:10:46,799 -> 00:10:48,100] 酒的类别吧相当于
[00:10:48,100 -> 00:10:53,299] 然后是风味和我作为一个普通消费者怎么喝
[00:10:53,299 -> 00:10:56,299] 我觉得这几个问题都已经回答了
[00:10:56,299 -> 00:11:01,700] 那你现在帮大家推荐三款
[00:11:01,700 -> 00:11:03,000] 平时都能点得到
[00:11:03,000 -> 00:11:04,600] 且又能装逼的
[00:11:04,600 -> 00:11:06,879] 就是你帮我们用你那个套路
[00:11:06,879 -> 00:11:09,720] 让我们看到节目的观众就可以拿来说
[00:11:09,720 -> 00:11:10,720] 你看这是这个桶
[00:11:10,720 -> 00:11:11,720] 然后他有这个品牌
[00:11:11,720 -> 00:11:12,519] 这个品牌味道
[00:11:12,519 -> 00:11:13,240] 我这么喜欢他
[00:11:13,240 -> 00:11:15,360] 要看他的目标是什么
[00:11:15,360 -> 00:11:17,240] 比如说是送长辈的
[00:11:17,240 -> 00:11:19,720] 还是给他一个是送长辈的
[00:11:19,720 -> 00:11:22,039] 一个是自己出去当口粮酒的
[00:11:22,039 -> 00:11:23,399] 就是我到了一家酒
[00:11:23,399 -> 00:11:25,799] 你刚刚说有两种风味
[00:11:25,799 -> 00:11:26,000] 对吧
[00:11:26,000 -> 00:11:26,799] 一个是
[00:11:26,799 -> 00:11:29,000] 我相信一个一个场景来
[00:11:29,000 -> 00:11:31,600] 如果是送给长辈的话
[00:11:31,600 -> 00:11:34,200] 那长辈认识的
[00:11:34,200 -> 00:11:37,000] 要不就是苏格兰跟日本的大牌
[00:11:37,000 -> 00:11:39,799] 那我觉得身后的这些应该没问题了
[00:11:39,799 -> 00:11:40,600] 因为它贵
[00:11:40,600 -> 00:11:42,600] 而且长辈会知道
[00:11:42,600 -> 00:11:43,799] 如果我不送山崎
[00:11:43,799 -> 00:11:44,799] 就是假设他
[00:11:44,799 -> 00:11:48,039] 我觉得这个长辈他也不太接触的话
[00:11:48,039 -> 00:11:51,279] 我送一个是三七十二十八的也喝不出来
[00:11:51,279 -> 00:11:52,399] 那我这个时候
[00:11:52,399 -> 00:11:53,720] 反正他都喝不出来
[00:11:53,720 -> 00:11:56,840] 用一半的价格达到
[00:11:56,840 -> 00:11:57,799] 我可以跟他讲
[00:11:57,799 -> 00:11:59,399] 我可以跟他讲这个东西
[00:11:59,399 -> 00:12:01,279] 为什么他是值得送的
[00:12:01,279 -> 00:12:02,799] 值得送啊
[00:12:02,799 -> 00:12:04,840] 那就是他故事要够多嘛
[00:12:04,840 -> 00:12:05,039] 对故事够多嘛对
[00:12:06,539 -> 00:12:08,659] 故事够多的话
[00:12:10,139 -> 00:12:10,340] 哎
[00:12:10,340 -> 00:12:12,460] 我觉得格兰结是可以的
[00:12:12,480 -> 00:12:12,980] 格兰结
[00:12:12,980 -> 00:12:14,779] 但是我不够高呢
[00:12:14,779 -> 00:12:14,980] 好
[00:12:17,259 -> 00:12:19,659] 你可以坐在这里面跟大家介绍
[00:12:19,679 -> 00:12:20,820] 然后我上去拿球
[00:12:20,820 -> 00:12:21,019] 哦
[00:12:21,019 -> 00:12:30,000] 也可以也可以
[00:12:31,000 -> 00:12:32,000] 你跟大家介绍是坐在这里吗
[00:12:32,000 -> 00:12:33,000] 是哪一个 这个吗
[00:12:33,000 -> 00:12:36,000] 最左手边金黄色的标 对
[00:12:36,000 -> 00:12:37,000] 可以
[00:12:39,000 -> 00:12:43,000] 好 为什么送长辈的话
[00:12:43,000 -> 00:12:46,559] 我会选这个呢
[00:12:50,559 -> 00:12:51,559] 啊等一下
[00:12:53,960 -> 00:12:57,159] 不是我要看他是不是我想要的那个桶
[00:12:57,840 -> 00:13:01,200] 那个不是我像我是想拿那个
[00:13:01,240 -> 00:13:02,720] 有一个是书袋桶的
[00:13:02,720 -> 00:13:04,600] 但是不是这个
[00:13:07,720 -> 00:13:08,960] ok ok 就拿那个书袋桶的但是不是这个我看OKOK就拿拿那个书袋桶
[00:13:10,320 -> 00:13:13,399] 那就不能喝了
[00:13:14,759 -> 00:13:15,559] Thank you没有广告啊
[00:13:15,559 -> 00:13:16,600] 没有说这些没有
[00:13:16,600 -> 00:13:17,919] 我都没广告
[00:13:17,919 -> 00:13:21,759] 为什么如果送长辈我会选择这个呢
[00:13:21,759 -> 00:13:23,080] 把它放到这个镜头前面
[00:13:23,080 -> 00:13:23,559] OK
[00:13:23,559 -> 00:13:24,360] 好
[00:13:29,000 -> 00:13:30,000] 因为第一个它的包装就是金碧辉煌很漂亮
[00:13:30,000 -> 00:13:33,000] 符合长辈的一些的审美
[00:13:33,000 -> 00:13:34,000] 这个是第一个
[00:13:34,000 -> 00:13:39,000] 第二个它从口感上面会有亚洲人比较喜欢的
[00:13:39,000 -> 00:13:42,000] 有一些像甜品的甜感
[00:13:42,000 -> 00:13:43,000] 对对对
[00:13:43,000 -> 00:13:44,000] 为什么呢
[00:13:44,000 -> 00:13:45,440] 又可以讲故事了
[00:13:45,440 -> 00:13:47,639] 对 因为我们都会知道
[00:13:47,639 -> 00:13:49,799] 就是我们的这个烈酒
[00:13:49,799 -> 00:13:51,600] 烈酒那也没有例外
[00:13:51,600 -> 00:13:54,200] 我们是要通过蒸馏两次或以上
[00:13:54,200 -> 00:13:56,159] 才能得到它的酒薪
[00:13:56,159 -> 00:13:58,000] 从酒薪再去成年
[00:13:58,000 -> 00:14:00,039] 若干年份才有这个产品出来
[00:14:00,039 -> 00:14:00,720] 对吧
[00:14:00,720 -> 00:14:03,559] 然后这个叫格兰杰的这个品牌呢
[00:14:03,559 -> 00:14:09,340] 它已经是属于这个LV的集团旗下的一个品牌
[00:14:09,340 -> 00:14:12,740] 所以从一个高端奢侈的一个讲故事的角度
[00:14:12,740 -> 00:14:13,740] 这个是可以讲
[00:14:13,740 -> 00:14:16,940] 第二个是它的一个蒸馏器的一个高度
[00:14:16,940 -> 00:14:19,740] 是整个苏格兰最长最高的
[00:14:19,740 -> 00:14:22,740] 所以它蒸馏出来的酒精是比较轻盈
[00:14:22,740 -> 00:14:23,740] 比较易饮的
[00:14:23,740 -> 00:14:29,799] 所以不管这个长辈他以前有没有喝过威士忌的一个习惯都能够接受
[00:14:29,799 -> 00:14:32,799] 然后第三个可以去讲的点就是
[00:14:32,799 -> 00:14:38,399] 我们刚才也说了去影响威士忌的口感很大部分是来自于成年的桶
[00:14:38,399 -> 00:14:47,120] 那这个桶是来自于法国波多南部的一个很很�真的一個區域叫蘇黛
