[00:00:00,000 -> 00:00:04,599] 因为如果大家的受众可能是在湾区或者在西雅图的话
[00:02:41,759 -> 00:02:44,800] 如果你看佛罗里达或者像叫Austin
[00:02:44,800 -> 00:02:47,759] 他们其实应该已经有不小的跌幅了
[00:02:47,759 -> 00:02:50,240] 可能甚至有地方超过20%
[00:02:50,240 -> 00:02:52,080] 在这再帮大家问一个问题
[00:02:52,080 -> 00:02:54,960] 就是有这样20%的跌幅在你看来是
[00:02:54,960 -> 00:02:56,000] 抄底的时间呢
[00:02:56,000 -> 00:02:58,719] 还是其实后面下面还在善意上
[00:02:58,719 -> 00:03:03,360] 我自己的话应该不会在短时间内投资房地产
[00:03:03,360 -> 00:03:03,840] 对
[00:03:03,840 -> 00:03:08,919] 我觉得可能如果现在的asset class
[00:03:08,919 -> 00:03:12,439] 我自己比较看好的其实是长期国债
[00:03:12,439 -> 00:03:13,639] 长期美债
[00:03:13,639 -> 00:03:16,159] 就是20年以上的美国国债
[00:03:16,159 -> 00:03:17,639] 甚至有一些ETF
[00:03:17,639 -> 00:03:24,319] 因为在如果大家的consensus是说我们会进入衰退
[00:03:24,319 -> 00:03:30,560] 有人说我看有文章说最快是年底之前有的是Q1
[00:03:30,560 -> 00:03:33,560] 如果大家这个是一个consensus
[00:03:33,560 -> 00:03:35,719] 所有人都不去花钱了
[00:03:35,719 -> 00:03:39,800] 那我觉得大概率这个事情还是可能会发生的
[00:03:39,800 -> 00:03:42,560] 如果这个事情发生了以后的话
[00:03:42,560 -> 00:03:46,960] 就是会导致很多的问题
[00:03:46,960 -> 00:03:48,800] 就是第一个就是
[00:03:48,800 -> 00:03:49,960] 我们会进入一个
[00:03:49,960 -> 00:03:52,240] 可能会开启一个降息周期吧
[00:03:52,240 -> 00:03:55,159] 如果在降息周期加衰退的环境里面的话
[00:03:56,159 -> 00:04:00,360] 国债应该会比这个投资房产要更稳妥一些
[00:04:00,360 -> 00:04:01,759] 我自己的个人观点
[00:04:01,759 -> 00:04:02,879] 都是个人观点
[00:04:02,879 -> 00:04:04,680] 就是大家一定要是仅供参考
[00:04:04,680 -> 00:04:07,479] 千万不要说因为我们说了什么而去做什么东西
[00:04:07,479 -> 00:04:09,960] 你如果说这样的话就很危险
[00:04:09,960 -> 00:04:12,719] 我来试图提一个反方观点
[00:04:12,719 -> 00:04:17,279] 长期美债的现在很多人都说它值得投
[00:04:17,279 -> 00:04:18,399] 我也觉得很有道理
[00:04:18,399 -> 00:04:21,480] 但是我们试图把正反方观点都说一下
[00:04:21,480 -> 00:04:26,399] 反方观点会觉得过去十年的低利率环境
[00:04:26,399 -> 00:04:29,000] 其实是个不正常的情况
[00:04:29,000 -> 00:04:31,600] 就是你如果再拉长30年的历史的话
[00:04:31,600 -> 00:04:34,720] 高利率是4%的利率是正常的
[00:04:34,720 -> 00:04:36,560] 7% 8%的利率都出现过
[00:04:36,560 -> 00:04:41,920] 所以说我们接下来未必会回到那种2%利率的时候
[00:04:41,920 -> 00:04:44,800] 而是可能持续就是利率这么高
[00:04:44,800 -> 00:04:46,160] 对这你怎么看
[00:04:46,160 -> 00:04:52,160] 我觉得是个非常好的一个观念 我之前也有一些思考
[00:04:52,160 -> 00:04:59,199] 但是我觉得可能很多经济的背后可能是很基础的一些concept
[00:04:59,199 -> 00:05:02,399] 这里可以推荐大家Redalio他出了一个视频
[00:05:02,399 -> 00:05:07,360] 然后非常浅显易懂 能够把周期说的很清楚
[00:05:07,360 -> 00:05:09,839] 上面从例子从北送开始举
[00:05:09,839 -> 00:05:13,040] 结果衰退的末期都会超发货币
[00:05:13,040 -> 00:05:17,279] 这个不是说量化宽松是一个非常新奇
[00:05:17,279 -> 00:05:20,720] 最近多少十几年才有的concept
[00:05:20,720 -> 00:05:23,040] 这里面它有一个观点就是说
[00:05:23,040 -> 00:05:26,399] 跟每个人的消费习惯也有关系
[00:05:26,399 -> 00:05:32,560] 当整个就是individual家庭都开始没有这个我要去有危机意识
[00:05:32,560 -> 00:05:35,680] 要去做有emergency fund
[00:05:35,680 -> 00:05:41,519] 然后而是说我无限制的去消费然后掉进伤感
[00:05:41,519 -> 00:05:45,199] 如果是这样的一个trend的话
[00:05:45,199 -> 00:05:47,680] 那整个经济大家也可以二将制
[00:05:47,680 -> 00:05:49,680] 所以说你的观点是
[00:05:49,680 -> 00:05:51,680] 就是这个宽松
[00:05:51,680 -> 00:05:53,680] 虽然可能你看过去30年的话
[00:05:53,680 -> 00:05:57,120] 高利率并不是一个少数的时候
[00:05:57,120 -> 00:05:59,120] 但是这个宽松一旦开启了
[00:05:59,120 -> 00:06:00,560] 其实大家习惯的是宽松
[00:06:00,560 -> 00:06:01,519] 包括消费习惯
[00:06:01,519 -> 00:06:04,079] 包括大家也会用选票去支持宽松的政策
[00:06:04,079 -> 00:06:07,379] 所以说它因为这些因素就更可能导致
[00:06:07,379 -> 00:06:10,620] 接下来是一个宽松而很难回到高利率的
[00:06:10,620 -> 00:06:14,980] 对就是俗话说有减入奢易有奢入简单
[00:06:14,980 -> 00:06:18,420] 我最后想说的就是说这个也是个概率问题
[00:06:18,420 -> 00:06:22,220] 就像在19年的时候也会一直在说倒挂以后
[00:06:22,220 -> 00:06:24,259] 就会发生经济衰退
[00:06:24,259 -> 00:06:31,279] 然后有一些观点是说这个宽松的就是COVID-19的这些政策
[00:06:31,279 -> 00:06:34,639] 然后极端的利率政策延缓了这个 这是一方观点
[00:06:34,639 -> 00:06:38,879] 但是也有现在也有观点说有可能会实现软着陆
[00:06:38,879 -> 00:06:40,480] 所以它其实就是一个概率
[00:06:40,480 -> 00:06:42,879] 但是至少在我的角度来说
[00:06:42,879 -> 00:06:47,360] 我可能会更相信说可能稍微大的比例
[00:06:47,360 -> 00:06:49,279] 我们可能会进入衰退
[00:06:49,279 -> 00:06:51,839] 希望大家可以能够有独立的判断
[00:06:51,839 -> 00:06:52,800] 对经济形势
[00:06:52,800 -> 00:06:53,920] 就是这个概率的事情
[00:06:53,920 -> 00:06:56,319] 我觉得没有办法完美预测
[00:06:56,319 -> 00:06:58,240] 自己预测就好了
[00:06:58,240 -> 00:07:00,720] 但是可不可以给我们推演一下
[00:07:00,720 -> 00:07:02,079] 如果发生了
[00:07:02,079 -> 00:07:03,279] 因为你想这个肯定想的比较多
[00:07:03,279 -> 00:07:05,920] 就是如果在你的这个概率成真的
[00:07:05,920 -> 00:07:07,439] 就是发生了衰退的时候
[00:07:07,439 -> 00:07:09,680] 你觉得历史上的lesson
[00:07:09,680 -> 00:07:12,879] 或者说你在工作中肯定也学到了这些东西
[00:07:12,879 -> 00:07:14,480] 你看到了很多人的default对吧
[00:07:14,480 -> 00:07:15,920] 然后他会发生什么
[00:07:15,920 -> 00:07:17,120] 对个人会发生什么
[00:07:17,120 -> 00:07:22,000] 其实不管是宏观还是微观的
[00:07:22,000 -> 00:07:23,759] 就是宏观就是整个经济体
[00:07:23,759 -> 00:07:27,699] 微观或者就是到每个人的家庭
[00:07:27,699 -> 00:07:29,220] 这些都适用的
[00:07:29,220 -> 00:07:31,519] 其实未必是一个坏事
[00:07:31,519 -> 00:07:34,720] 就像如果在一个极度宽松的政策里面
[00:07:34,720 -> 00:07:39,259] 你一个竞争非常激烈
[00:07:39,259 -> 00:07:40,459] 站在公司的角度说
[00:07:40,459 -> 00:07:42,459] 如果你是一个很好的startup
[00:07:42,459 -> 00:07:47,040] 你其实很难去拼得过这些established的company
[00:07:47,040 -> 00:07:50,319] 但是如果在这种有衰退周期的情况下
[00:07:50,319 -> 00:07:54,319] 其实对一些真的能够颠覆下一代
[00:07:54,319 -> 00:07:57,360] 就是颠覆性的一些行业的话
[00:07:57,360 -> 00:08:00,720] 其实是一个更好的机会
[00:08:00,720 -> 00:08:03,600] 对 就是在低成本的情况下
[00:08:03,600 -> 00:08:06,240] 低资金成本的情况下资本无需扩张是吧
[00:08:06,240 -> 00:08:08,000] 他们利率几乎零了
[00:08:08,000 -> 00:08:10,480] 那他们其实这些大厂就是有无限的杠杆
[00:08:10,480 -> 00:08:13,519] 然后可以去把资源到处去投
[00:08:13,519 -> 00:08:16,319] 但是只要你资金成本上去一段时间的话
[00:08:16,319 -> 00:08:17,600] 它就会收缩
[00:08:17,600 -> 00:08:20,959] 然后它就会很难去就是到处扩张
[00:08:20,959 -> 00:08:23,759] 那这个时候也给其他人留了更多机会
[00:08:23,759 -> 00:08:26,720] 其实甚至就是我记得那个all in里边
[00:08:26,720 -> 00:08:28,319] Chamels也是有观点就是说
[00:08:28,319 -> 00:08:31,199] 为什么美国其实无法支持第三场战争了
[00:08:31,199 -> 00:08:32,320] 还是代理人战争
[00:08:32,320 -> 00:08:34,480] 就是因为你真的去看那个美国的国债
[00:08:34,480 -> 00:08:36,799] 然后就是他的spending
[00:08:36,799 -> 00:08:38,799] 他很大一笔钱会花在利率上
[00:08:38,799 -> 00:08:40,320] 那在低利率的情况下
[00:08:40,320 -> 00:08:42,159] 他可以再多借钱然后多花钱
[00:08:42,159 -> 00:08:44,480] 现在他们就借不起钱花不起钱了
[00:08:44,480 -> 00:08:46,159] 那他没有办法再去支撑一场
[00:08:46,159 -> 00:08:48,639] 是 最近经济数据也很奇怪
[00:08:48,639 -> 00:08:50,879] 就是很多contradicting to each other
[00:08:50,879 -> 00:08:57,360] 也是由于我个人的观点就是财政部跟美联储对着干
[00:08:57,360 -> 00:09:02,159] 导致发了很多债 但是其实是想要收缩
[00:09:02,159 -> 00:09:05,519] 所以很有意思
[00:09:05,519 -> 00:09:07,919] 因为大家可能在一个理想的情况下
[00:09:07,919 -> 00:09:12,000] 觉得所有的事情都是linear发生的
[00:09:12,000 -> 00:09:14,559] 其实是一个线性的关系
[00:09:14,559 -> 00:09:16,879] 但是其实很多矛盾
[00:09:16,879 -> 00:09:21,759] 尤其是在 因为有就是如果大家相信周期的话
[00:09:21,759 -> 00:09:25,399] 周期如果大家都能够想到这些点
[00:09:25,399 -> 00:09:26,679] 那周期是可以避免的
[00:09:26,679 -> 00:09:31,120] 但是我们也看到了可能周期已经来来回回这么多
[00:09:31,120 -> 00:09:36,039] 这么几百年一直都会有这样的debt crisis的周期
[00:09:36,039 -> 00:09:40,240] 所以那可能是人性驱动的
[00:09:40,240 -> 00:09:41,440] 就没有办法避免
[00:09:41,440 -> 00:09:43,360] 那刚刚我觉得那个点很好
[00:09:43,360 -> 00:09:46,000] 再多问几下就是你刚刚说
[00:09:46,000 -> 00:09:47,000] 它不一定是个坏事
[00:09:47,000 -> 00:09:49,000] 因为它可能减少了一些
[00:09:49,000 -> 00:09:51,000] 莫名其妙的竞争
[00:09:51,000 -> 00:09:52,000] 对不对
[00:09:52,000 -> 00:09:53,000] 那对个人呢
[00:09:53,000 -> 00:09:54,000] 就是我应该在这个时候
[00:09:54,000 -> 00:09:57,000] 留一些钱然后去减
[00:09:57,000 -> 00:10:01,000] 对我觉得就是de-leverage吧
[00:10:01,000 -> 00:10:02,000] 我觉得个人的话
[00:10:02,000 -> 00:10:08,320] 至少我们的决策是可能会收缩一下个人的spending
[00:10:08,320 -> 00:10:10,799] 然后做一些财务的规划
[00:10:10,799 -> 00:10:13,559] 大家很多 包括我在内
[00:10:13,559 -> 00:10:17,480] 就是今年之前我们都是没有任何tracking
[00:10:17,480 -> 00:10:19,679] 就是每个月花多少钱也没有数
[00:10:19,679 -> 00:10:21,279] 然后花在什么上面也没有数
[00:10:21,279 -> 00:10:25,399] 所以我建议可能说大家能够把自己的财务情况看一下
[00:10:25,399 -> 00:10:28,700] 其实很简单就是你每个月的income有多少
[00:10:28,700 -> 00:10:30,500] 然后有多少income source
[00:10:30,500 -> 00:10:32,200] 然后你的expense有多少
[00:10:32,200 -> 00:10:33,200] 哪些是必须的
[00:10:33,200 -> 00:10:35,500] 哪些是非必须的
[00:10:35,500 -> 00:10:37,799] 然后看一下你的财务健康状况
[00:10:37,799 -> 00:10:40,000] 然后你有多长时间的runway
[00:10:40,000 -> 00:10:43,799] 我觉得大家可以通过用这个作为一个契机
[00:10:43,799 -> 00:10:46,080] 来仔细分析一下
[00:10:46,080 -> 00:10:49,480] 这些spending是不是真的能够被justify
[00:10:49,480 -> 00:10:52,919] 是 就是第一可以减少不必要的支出
[00:10:52,919 -> 00:10:57,879] 第二就是也搞清楚自己的这些支出里边哪些是能取舍的
[00:10:57,879 -> 00:10:59,919] 哪些是能cut哪些不能cut
[00:10:59,919 -> 00:11:03,600] 这样也对自己的生活有更多的priority的了解
[00:11:03,600 -> 00:11:06,919] 第三个就是你明白了这个runway以后你心里有底
[00:11:06,919 -> 00:11:09,720] 这样的时候你也不用天天陷入不必要的慌张
[00:11:09,720 -> 00:11:12,279] 因为我相信其实对屏幕前的很多观众来说
[00:11:12,279 -> 00:11:13,820] 他们是有这个runway的
[00:11:13,820 -> 00:11:17,659] 尤其包括如果再加上中国人们或者家庭的支持
[00:11:17,659 -> 00:11:18,940] 其实没那么可怕
[00:11:18,940 -> 00:11:23,799] 其实就像刚才我们预测有可能会发生经济衰退
[00:11:23,799 -> 00:11:27,440] 怎么让它能够不影响你的心态
[00:11:27,440 -> 00:11:30,559] 我觉得这个可能是一个需要思索的一个
[00:11:30,559 -> 00:11:36,320] 就是你的快乐你的开心是不是建立在宏观经济的基础上
[00:11:36,320 -> 00:11:39,519] 还是说是内部驱动的还是外部驱动
[00:11:39,519 -> 00:11:43,039] 我觉得可能也是一个契机让大家思考一下
[00:11:43,039 -> 00:11:46,139] 上个周末我跟Leon完全就是聊了这个话题
[00:11:46,139 -> 00:11:48,639] 聊了低桶金如何摆脱中产阶级的
[00:11:48,639 -> 00:11:51,779] 越中产阶级吧 很重要的就是你要向内去看
[00:11:51,779 -> 00:11:55,100] 不要被外界的消费主义去裹挟洗脑
[00:11:55,100 -> 00:11:58,179] 然后去灌了一些自己不需要的东西
[00:11:58,179 -> 00:11:59,720] 最后一个问题
[00:11:59,720 -> 00:12:02,519] 其实刚刚说了一些心态我觉得都是非常好的建议
[00:12:02,519 -> 00:12:06,080] 在衰退中人会有什么机会呢
[00:12:06,080 -> 00:12:09,279] 就是说等公司价格要涨然后买股票吗
[00:12:09,279 -> 00:12:11,879] 还是等房价跌了以后去买房呢
[00:12:11,879 -> 00:12:15,000] 对那些财务状况比较好的人来说
[00:12:15,000 -> 00:12:17,919] 对财务状况比较好的真不聊投资
[00:12:17,919 -> 00:12:19,320] 我们先说个人的发展
[00:12:19,320 -> 00:12:22,399] 我觉得可能大家可以想一下说
[00:12:22,399 -> 00:12:25,759] 我怎么能够达到下一个风口
[00:12:25,759 -> 00:12:30,320] 我想柯代表应该最近也有很多就是关于GenAI啊
[00:12:30,320 -> 00:12:31,480] 其他的访谈
[00:12:31,480 -> 00:12:34,840] 就是怎么能够去捕捉到下一个风口
[00:12:34,840 -> 00:12:38,039] 就是我觉得这个选择大于努力的
[00:12:38,039 -> 00:12:40,159] 你就可能在这个时候可以可以
[00:12:40,159 -> 00:12:42,440] 比如说学习一下新的技能
[00:12:42,440 -> 00:12:45,000] 然后上一些相关的课程
[00:12:45,000 -> 00:12:50,000] 然后多看一下课代表的视频 那你永远是在周期里面
[00:12:50,000 -> 00:12:54,000] 你怎么能够去有一个更好的money problem
[00:12:54,000 -> 00:12:57,000] 就是每个人都有money problem
[00:12:57,000 -> 00:13:01,000] 这个那你怎么能有更好的money problem
[00:13:01,000 -> 00:13:06,879] 能够去实现可能有的人大家去想所说的阶级的院签
[00:13:06,879 -> 00:13:09,519] 就是把你的认知水平提升一个档次
[00:13:09,519 -> 00:13:11,639] 我觉得这个可能是最重要的
[00:13:11,639 -> 00:13:17,919] 我个人的话可能会对我可能我不太会做一个active trading
[00:13:17,919 -> 00:13:21,519] 因为我觉得我可能没有那个水平去time the market
[00:13:21,519 -> 00:13:28,179] 所以可能如果我觉得可以他不一定是底部但是可能跌的足够低的时候
[00:13:28,179 -> 00:13:28,960] 可能开始会
[00:13:29,720 -> 00:13:31,779] 就是定头大盘然后
[00:13:32,539 -> 00:13:35,860] 就是capture这个新的boom run吧
[00:13:35,860 -> 00:13:38,419] 就是我觉得大家还是要乐观一点的
[00:13:38,419 -> 00:13:40,220] 就是就像Elon Musk
[00:13:40,220 -> 00:13:44,580] I'd rather be optimistic and wrong and prove to be wrong
[00:13:44,580 -> 00:14:06,200] than to be pessimistic and prove to be right我会更喜欢被证明是错误的,而不是被证明是对的。概率是多大 我们不知道所以说讨论这个我觉得意义不大但是我们要搞清楚的就是
[00:14:06,200 -> 00:14:09,200] 如果它发生了 它会发生什么样的
[00:14:09,200 -> 00:14:10,539] 它到底是个什么情况
[00:14:10,539 -> 00:14:12,799] 以及在这个时候我们可以提前做什么准备
[00:14:12,799 -> 00:14:15,200] 就是搞清楚自己的财务状况呀
[00:14:15,200 -> 00:14:16,940] 问自己的runway是多少啊
[00:14:16,940 -> 00:14:18,779] 看一下自己的开销哪些是必备的
[00:14:18,779 -> 00:14:19,779] 哪些是不必备的呀
[00:14:19,779 -> 00:14:21,940] 然后提升自己的认知
[00:14:21,940 -> 00:14:25,200] 包括就是了解自己有没有择时的能力
[00:14:25,200 -> 00:14:26,159] 其他都是没有的
[00:14:26,159 -> 00:14:27,120] 而错误的以为有
[00:14:27,120 -> 00:14:28,559] 或者去做一些择时的行动
[00:14:28,559 -> 00:14:30,559] 这就是一个非常不合适的行为
[00:14:30,559 -> 00:14:32,799] 知道自己没有择时的能力的情况下
[00:14:32,799 -> 00:14:36,159] 就不要被那些成功的故事给冲昏了头脑
[00:14:36,159 -> 00:14:38,960] 就是你总会听到有的人在perfect timing买了特斯拉
[00:14:38,960 -> 00:14:40,080] 然后一下子赚了多少钱
[00:14:40,080 -> 00:14:42,080] 这些东西都是人的behavioral bias
[00:14:42,080 -> 00:14:45,320] 我们要学会去overcome这些bias的情况下
[00:14:45,320 -> 00:14:47,320] 想清楚自己在这个时候应该做些什么
[00:14:47,320 -> 00:14:50,759] 是的 然后take calculated risk
[00:14:50,759 -> 00:14:54,000] 对 好啊好啊 谢谢 感觉非常有帮助
[00:14:54,000 -> 00:14:56,000] 谢谢 拜拜
