[00:00:00,000 -> 00:00:02,560] 大家好 这个应该是我回美国以后
[00:01:33,799 -> 00:01:35,400] 只要过去一秒钟
[00:01:35,400 -> 00:01:36,400] 你就适应了
[00:01:36,400 -> 00:01:37,200] 然后你就觉得很舒服
[00:01:37,200 -> 00:01:38,599] 你就会一直在水里面呆着
[00:01:38,599 -> 00:01:40,400] 这是一个观察
[00:01:40,400 -> 00:01:41,599] 第二个观察呢
[00:01:41,599 -> 00:01:43,400] 是我今天早上
[00:01:43,400 -> 00:01:47,000] 我要给在公司里边给公司录一些英文的视频
[00:01:47,000 -> 00:01:52,000] 我现在已经出了200期视频了,但是我可能英文视频聊的还不是太自信吧
[00:01:52,000 -> 00:01:56,000] 以及我觉得这是给公司做,那我就要求会高一些
[00:01:56,000 -> 00:02:00,000] 觉得想更多,我想了大概20分钟还没有开始录
[00:02:00,000 -> 00:02:06,000] 然后就发现其实不应该,我哪怕要求高,哪怕我英文不comfortable我应该去尽快地开始去做,而不应该我哪怕要求高哪怕我英文不comfortable
[00:02:06,000 -> 00:02:08,000] 我应该去尽快的开始去做
[00:02:08,000 -> 00:02:10,000] 而不应该去想一想去
[00:02:10,000 -> 00:02:12,000] 于是我就跑过来啥都没想就录了
[00:02:12,000 -> 00:02:14,000] 然后发现录了之后
[00:02:14,000 -> 00:02:16,000] 效果应该也还行
[00:02:16,000 -> 00:02:18,000] 然后第三件事情呢
[00:02:18,000 -> 00:02:20,000] 是我中午跟了一个同事去聊
[00:02:20,000 -> 00:02:22,000] 那个同事呢他就跟我说
[00:02:22,000 -> 00:02:24,000] 他也想去做一个
[00:02:24,000 -> 00:02:25,000] blog的服务
[00:02:25,000 -> 00:02:27,000] 然后我就问他为什么要写作
[00:02:27,000 -> 00:02:29,000] 明明视频看的人更多
[00:02:29,000 -> 00:02:31,000] 然后你还有这个平台的各种各样的分发
[00:02:31,000 -> 00:02:33,000] 你blog要自己去找的人都很难找到
[00:02:33,000 -> 00:02:34,000] 你去读
[00:02:34,000 -> 00:02:36,000] 然后他说他想做视频
[00:02:36,000 -> 00:02:39,000] 但是这个视频他可能觉得有点low怎么怎么样
[00:02:39,000 -> 00:02:41,000] 我就说这些想法都不对
[00:02:41,000 -> 00:02:43,000] 之所以为什么这些想法不对
[00:02:43,000 -> 00:02:45,439] 我们可以回头再找机会去聊
[00:02:45,439 -> 00:02:48,400] 总之就是不要去给自己设立一个虚假的人设
[00:02:48,400 -> 00:02:51,199] 而是应该去尽量的真实的展现自我
[00:02:51,199 -> 00:02:52,960] 如果你觉得low的话
[00:02:52,960 -> 00:02:55,199] 可能你已经背上了人设的包袱
[00:02:55,199 -> 00:02:57,439] 那其实是不利于你之后
[00:02:57,439 -> 00:03:01,759] 去把这个东西更自然的去produce的
[00:03:01,759 -> 00:03:05,000] 但是anyway就是他在说了这个以后
[00:03:05,000 -> 00:03:08,000] 我做的事情就是说我们半小时之内
[00:03:08,000 -> 00:03:09,000] 我们就去录一期视频
[00:03:09,000 -> 00:03:10,000] 然后我小时之内就跟你讲好了
[00:03:10,000 -> 00:03:11,000] 我们就给他发了吧
[00:03:11,000 -> 00:03:13,000] 他就同意了
[00:03:13,000 -> 00:03:14,000] 因为他之前也听到过
[00:03:14,000 -> 00:03:16,000] 类似的一些在写作上的concept
[00:03:16,000 -> 00:03:18,000] 就是我们早点开始做是有益的
[00:03:18,000 -> 00:03:19,000] 然后我们就果然录好了
[00:03:19,000 -> 00:03:20,000] 我们的第一期视频
[00:03:20,000 -> 00:03:23,000] 然后去发了这个第一期视频
[00:03:23,000 -> 00:03:25,000] 效果应该也是不错的
[00:03:25,000 -> 00:03:27,000] 就是从get him to start这件事情上
[00:03:27,000 -> 00:03:29,000] 效果是很不错的
[00:03:29,000 -> 00:03:32,000] 那我讲的这几个例子
[00:03:32,000 -> 00:03:34,000] 都是这一天发生的事情
[00:03:34,000 -> 00:03:36,000] 就是很短的时间内发生的事情
[00:03:36,000 -> 00:03:38,000] 就是想跟大家说
[00:03:38,000 -> 00:03:40,000] 其实类似的场景
[00:03:40,000 -> 00:03:43,000] 在我们的生活中是非常非常多的
[00:03:43,000 -> 00:03:44,000] 我总结一下呢
[00:03:44,000 -> 00:03:47,000] 就是说这件事我们的道理都懂
[00:03:47,000 -> 00:03:50,000] 但是我们的大脑哪怕在懂了这些道理之后
[00:03:50,000 -> 00:03:52,000] 仍然不会让我们去开始做这件事
[00:03:52,000 -> 00:03:55,000] 唯一让我们开始去做这件事的方法
[00:03:55,000 -> 00:03:57,000] 就是真的去开始做了这件事
[00:03:57,000 -> 00:03:59,000] 听起来好像有点矛盾是吧
[00:03:59,000 -> 00:04:01,000] 但是回到那个下水的例子
[00:04:01,000 -> 00:04:03,000] 大家应该都有类似的体会
[00:04:03,000 -> 00:04:07,080] 就是无论你看到有多少个人在水里边
[00:04:07,080 -> 00:04:08,599] 无论外面的天气有多热
[00:04:08,599 -> 00:04:11,080] 你都会大脑告诉你
[00:04:11,080 -> 00:04:12,840] 水是凉的 你不想下
[00:04:12,840 -> 00:04:15,240] 只有当你真的进入了水以后
[00:04:15,240 -> 00:04:18,040] 你的身体才会告诉大脑说没有问题
[00:04:18,040 -> 00:04:21,160] 然后大脑就说OK 那我就在水里边玩了
[00:04:21,160 -> 00:04:23,560] 你去蹦极可能是这样
[00:04:23,560 -> 00:04:25,399] 你有多少知识告诉你说
[00:04:25,399 -> 00:04:27,199] 蹦极是绝对安全的
[00:04:27,199 -> 00:04:27,920] 没有关系
[00:04:27,920 -> 00:04:30,720] 可是你就是很害怕去跳下去
[00:04:30,720 -> 00:04:33,000] 在工作中也是这个样子的
[00:04:33,000 -> 00:04:34,160] 别人告诉你说
[00:04:34,160 -> 00:04:35,680] 这个工作你是可以胜任的
[00:04:35,680 -> 00:04:36,800] 你是可以做的
[00:04:36,800 -> 00:04:38,759] 但是你如果不去真的做的话
[00:04:38,759 -> 00:04:40,199] 你心中就会一直觉得
[00:04:40,199 -> 00:04:42,600] 我现在不想开始
[00:04:42,600 -> 00:04:44,560] 开始了可能会有各种各样的后果
[00:04:44,560 -> 00:04:47,639] 可能你都说不出来有什么具体不让你开始的原因
[00:04:47,639 -> 00:04:50,839] 但是你的大脑其实就会阻止你去真的开始这件事
[00:04:50,839 -> 00:04:51,920] 那这个时候怎么做呢
[00:04:51,920 -> 00:04:54,199] 那这个时候就真的去开始上手去做这件事
[00:04:54,199 -> 00:04:58,199] 具体的做法或者说是一些怎么做的例子
[00:04:58,199 -> 00:05:00,399] 我在那些视频里面我觉得讲的还是蛮清楚的
[00:05:00,399 -> 00:05:02,519] 所以说这我就不再重述了
[00:05:02,519 -> 00:05:05,240] 所以这里边就回到那一个简单的道理
[00:05:05,240 -> 00:05:07,120] 就是说把它想清楚是没有用的
[00:05:07,120 -> 00:05:08,839] 只有开始做了以后
[00:05:08,839 -> 00:05:10,680] 你才能习惯去做这件事
[00:05:10,680 -> 00:05:12,199] 我就是再稍微深化一点点
[00:05:12,199 -> 00:05:15,600] 就是为什么早点开始做这件事是很有好处的
[00:05:15,600 -> 00:05:18,480] 因为第一你很难一上来就做到最好
[00:05:18,480 -> 00:05:21,360] 大家经常去想着不开始做
[00:05:21,360 -> 00:05:23,439] 完美主义也好或者whatever
[00:05:23,439 -> 00:05:27,800] 总之就是觉得需要把这件事情做好
[00:05:27,800 -> 00:05:32,399] 但是你只有在做的过程中才有可能收集到好的反馈
[00:05:32,399 -> 00:05:36,500] 才有可能知道你的坑出现在哪里才有可能真的把它做好
[00:05:36,500 -> 00:05:39,500] 所以说你今天开始做 做十次
[00:05:39,500 -> 00:05:41,600] 你的第十次会做得很好
[00:05:41,600 -> 00:05:43,100] 但是你哪怕想得再完美
[00:05:43,100 -> 00:05:45,879] 你真的开始去做第一次的时候还是很可能会出错
[00:05:45,879 -> 00:05:47,759] 所以说不如早点开始做
[00:05:47,759 -> 00:05:48,720] 去多做几次
[00:05:48,720 -> 00:05:50,240] 从而可以把它做得更好
[00:05:50,240 -> 00:05:52,240] 第二就是大家要认识到
[00:05:52,240 -> 00:05:54,000] 大家在自己的mental model里面要知道
[00:05:54,000 -> 00:05:56,839] 做很多事情都是有一个compounding effect
[00:05:56,839 -> 00:06:00,040] 就是哪怕你今天你出的第1个视频
[00:06:00,040 -> 00:06:00,879] 是完美的
[00:06:00,879 -> 00:06:02,079] 是超级牛逼的
[00:06:02,079 -> 00:06:04,079] 可是估计还是很少有人看到
[00:06:04,079 -> 00:06:06,000] 因为你没有follower对吧
[00:06:06,000 -> 00:06:08,000] 平台可能也看不到你
[00:06:08,000 -> 00:06:10,000] 假设今天平台的算法没有把你吹掉大火
[00:06:10,000 -> 00:06:12,000] 那你就完了
[00:06:12,000 -> 00:06:14,000] 可是大家去看那些很牛逼的up主
[00:06:14,000 -> 00:06:16,000] follow很多的up主
[00:06:16,000 -> 00:06:18,000] 那他随便出一个视频都很多人看
[00:06:18,000 -> 00:06:20,000] 哪怕这个视频的质量是很低的
[00:06:20,000 -> 00:06:22,000] 那不是因为你们视频的质量差别有这么高
[00:06:22,000 -> 00:06:24,000] 是因为他已经通过他之前的很多工作
[00:06:24,000 -> 00:06:25,319] 去积累了这些follower在工作中也是的那不是因为你们视频的质量差别有这么高是因为他已经通过他之前的很多工作
[00:06:25,319 -> 00:06:27,000] 去积累了这些follower
[00:06:27,000 -> 00:06:28,040] 在工作中也是的
[00:06:28,040 -> 00:06:29,439] 你开始做这件事情的时候
[00:06:29,439 -> 00:06:31,240] 你就会更了解这些工作
[00:06:31,240 -> 00:06:32,720] 让别人知道你是在做这件工作
[00:06:32,720 -> 00:06:34,360] 你有相应的资源
[00:06:34,360 -> 00:06:35,360] 你有相应的认知
[00:06:35,360 -> 00:06:37,399] 老板也知道了这是你的scope
[00:06:37,399 -> 00:06:39,639] 那你在做一件这样的事情的时候
[00:06:39,639 -> 00:06:41,439] 它就更容易做成
[00:06:41,439 -> 00:06:43,600] 而且更容易被更多人知道
[00:06:43,600 -> 00:06:46,199] 你是一个新人上来就把这件事情做到很完美
[00:06:46,199 -> 00:06:49,000] 其实很多时候是达不到你想要的效果的
[00:06:49,000 -> 00:06:51,800] 希望这两个补充的点
[00:06:51,800 -> 00:06:55,399] 就可以帮助我们认识到很多时候
[00:06:55,399 -> 00:06:57,800] 你想做的事情是越早做越好的
[00:06:57,800 -> 00:06:59,399] 你可以更熟练
[00:06:59,399 -> 00:07:02,199] 也可以通过不断的反馈做得更好
[00:07:02,199 -> 00:07:05,000] 以及你可以积累它的compounding effects
[00:07:05,000 -> 00:07:08,839] 从而在你在做这件事情的过程中做得越来越好
[00:07:08,839 -> 00:07:12,920] 以及认识到不去做就不会做
[00:07:12,920 -> 00:07:14,720] 好的 这期视频就到这儿
[00:07:14,720 -> 00:07:16,360] 希望有帮助到大家
[00:07:16,360 -> 00:07:17,720] 我们下期见 拜拜
