[00:00:00,000 -> 00:00:05,759] 就是你给他了一些data supported result
[00:03:38,400 -> 00:03:40,900] 客观的不认可在于我大概要想方设法
[00:03:40,900 -> 00:03:43,599] 来知道data在整个decision里边
[00:03:43,599 -> 00:03:45,199] 大概占了百分之多少
[00:03:45,199 -> 00:03:47,599] 因為你能觀測到的東西永遠是有限的
[00:03:47,599 -> 00:03:49,400] 但是一個decision是複雜的
[00:03:49,400 -> 00:03:52,800] 你能觀測的那些因素可能重要可能不重要
[00:03:52,800 -> 00:03:54,800] 就是你要首先
[00:03:54,800 -> 00:03:57,800] 就是我可能會更aware
[00:03:57,800 -> 00:04:01,599] 我應該什麼樣的決定用Data
[00:04:01,599 -> 00:04:02,599] 什麼樣的決定不用
[00:04:02,599 -> 00:04:07,000] 所以如果這個決定在没有data的情况下
[00:04:07,000 -> 00:04:09,000] 我们也需要有一个方式去
[00:04:09,000 -> 00:04:11,000] move forward
[00:04:11,000 -> 00:04:13,000] 这样吧我再说一下就是
[00:04:13,000 -> 00:04:17,000] 我觉得一个好的data driven culture和一个不好的data driven culture
[00:04:17,000 -> 00:04:21,000] 在绝大多数的产品上大概有30%上下的这个作用
[00:04:21,000 -> 00:04:24,000] 就是他做得好的话他可以多涨30%
[00:04:24,000 -> 00:04:25,279] 做得不好的话他会降30%
[00:04:25,279 -> 00:04:26,000] 所以上60%
[00:04:26,000 -> 00:04:29,600] 但是对有些产品可能更重要一些
[00:04:29,600 -> 00:04:30,720] 比如说你做推荐
[00:04:30,959 -> 00:04:33,040] 你如果不用data
[00:04:33,040 -> 00:04:34,160] 你不用算法的话
[00:04:34,160 -> 00:04:35,399] 那你啥都别做
[00:04:35,680 -> 00:04:41,360] 我觉得我经历的所有的这个职业生涯中
[00:04:41,480 -> 00:04:47,319] 很明显Facebook的数据是最好最全和对产品本身也是最相关的
[00:04:47,319 -> 00:04:51,439] 我在那里边能观察到消费者和卖家的很多很多的事情
[00:04:51,439 -> 00:04:52,720] 所以在这种情况下
[00:04:52,720 -> 00:04:56,000] 确实我知道贝塔在那里面是很重要的
[00:04:56,000 -> 00:04:58,959] 和就包括一些基础的认知
[00:04:58,959 -> 00:05:02,040] 就是这个产品用户到底感不感兴趣
[00:05:02,040 -> 00:05:05,399] 我们也可以用VPS的方式去验证一个非常非常核心的假设
[00:05:05,399 -> 00:05:07,920] 但是出来了以后我就会发现
[00:05:07,920 -> 00:05:09,920] 哦 捷拉多数据网没有这样的数据
[00:05:09,920 -> 00:05:10,839] 也不太可能有
[00:05:10,839 -> 00:05:12,439] 就是一开始可能我的想法是
[00:05:12,439 -> 00:05:14,600] 我怎么样能建立这个
[00:05:14,600 -> 00:05:17,040] 就是怎么说呢
[00:05:17,040 -> 00:05:19,079] Pipeline或者说是Foundation
[00:05:19,079 -> 00:05:21,519] 让我们能获得这样的数据
[00:05:21,519 -> 00:05:24,000] 但是我后来发现就是他没有也是有道理的
[00:05:24,000 -> 00:05:26,839] 就是他的成功和失败不依赖于这个数据
[00:05:26,839 -> 00:05:28,680] 他就是说不依赖于这个东西
[00:05:28,680 -> 00:05:33,160] 但是如果他对他的最终结果能有上下30%的影响
[00:05:33,160 -> 00:05:34,199] 那还是很大的
[00:05:34,199 -> 00:05:36,000] 是但是你需要很
[00:05:36,360 -> 00:05:37,560] 就是他不是free的
[00:05:37,560 -> 00:05:40,399] 他不是说你看了data就这30%
[00:05:40,399 -> 00:05:42,720] 你需要一些很聪明的人
[00:05:42,720 -> 00:05:45,399] 很好的这个就是infrastructure
[00:05:45,399 -> 00:05:47,199] 然后有很好的culture
[00:05:47,199 -> 00:05:50,199] 然后关键就是有好的数据科学家
[00:05:50,199 -> 00:05:52,199] 和懂数据的leadership
[00:05:52,199 -> 00:05:54,000] 才能发挥这30%
[00:05:54,000 -> 00:05:56,199] 但是这些因素全都凑齐
[00:05:56,199 -> 00:05:57,600] 还是挺难的
[00:05:57,600 -> 00:06:01,000] 但是知道怎么样子去setup的人太少了
[00:06:01,000 -> 00:06:03,600] 然后这些人就是
[00:06:03,600 -> 00:06:06,759] 他要能convince大家相信这件事就这样的人太少了然后这些人就是他能convince说大家相信这件事
[00:06:06,759 -> 00:06:08,560] 就这样的人太少了
[00:06:08,560 -> 00:06:11,120] 你觉得这样的人太少了
[00:06:11,120 -> 00:06:13,399] 是因为这个行业比较新
[00:06:13,399 -> 00:06:15,639] 还是因为什么原因
[00:06:15,639 -> 00:06:22,639] 是因为没有什么data背景的人做business做成功了
[00:06:22,639 -> 00:06:26,000] 就是data背景的人一般都是做學術了
[00:06:26,000 -> 00:06:28,000] 然後做分析了 做諮詢了
[00:06:28,000 -> 00:06:30,000] 所以說這些decision maker
[00:06:30,000 -> 00:06:33,000] 他就是做產品出身的 做設計出身的
[00:06:33,000 -> 00:06:35,000] 做營銷出身的 做商務出身的
[00:06:35,000 -> 00:06:38,000] 對吧 靠資源出身的等等等等
[00:06:38,000 -> 00:06:42,000] 他們天生在他們的成功的路徑上就沒有data
[00:06:42,000 -> 00:06:46,000] 那你在他們成功的時候跟他說data很重要
[00:06:46,000 -> 00:06:49,000] 他可能聽著哦哦哦是是是
[00:06:49,000 -> 00:06:53,000] 但是他本身底底是沒有那個conviction的
[00:06:56,000 -> 00:06:58,000] 你覺得這個事情
[00:07:00,000 -> 00:07:03,000] 但是事情的另一面就是
[00:07:03,000 -> 00:07:06,839] 我們不用太擔心這件事因為在大厂里边就像我说的
[00:07:06,839 -> 00:07:09,600] 大家为了就是去justify
[00:07:09,600 -> 00:07:11,139] 这些decision making
[00:07:11,139 -> 00:07:13,079] 你为了让就是在大厂里边协同
[00:07:13,079 -> 00:07:15,300] 和讨论其他人是一件很难的事情
[00:07:15,300 -> 00:07:16,600] 然后让大家都get on board
[00:07:16,600 -> 00:07:17,480] 也是很难的事情
[00:07:17,480 -> 00:07:19,680] collaboration都是很难的事情
[00:07:19,680 -> 00:07:21,879] 对所以说influence也是很难的事情
[00:07:21,879 -> 00:07:24,480] 这个时候反而data是大家最容易
[00:07:24,480 -> 00:07:26,000] agree upon的东西那这个时候一个而数据是大家最容易同意的东西
[00:07:26,000 -> 00:07:28,800] 那这个时候一个会讲故事
[00:07:28,800 -> 00:07:30,399] 有交流能力的数据专家
[00:07:30,399 -> 00:07:32,399] 我觉得是很有利的
[00:07:33,600 -> 00:07:34,199] 你觉得这个
[00:07:34,199 -> 00:07:36,600] 你觉得就是说你刚刚讲到
[00:07:37,100 -> 00:07:38,399] 我也感觉好像
[00:07:38,399 -> 00:07:42,600] 因为我们现在也在试图招更多的
[00:07:43,000 -> 00:07:46,720] 就是具有产品意识又有这种数据能力的人就发现确实是图招更多的就是具有产品但是又有这种data能力的人
[00:07:46,720 -> 00:07:49,680] 就发现确实是很难招到
[00:07:49,680 -> 00:07:53,240] 因为这两件事情都不是学校里能教你的
[00:07:53,240 -> 00:07:55,560] 学校里能教你统计对吧
[00:07:55,560 -> 00:07:57,199] 然后能教你怎么样子去用
[00:07:57,199 -> 00:07:59,519] Machine Learning去Zico打开口
[00:07:59,519 -> 00:08:01,600] 然后能教你怎么调包
[00:08:01,600 -> 00:08:04,120] 这是所谓的data science的这个教条
[00:08:04,120 -> 00:08:06,600] 但是他没有教你Business
[00:08:06,600 -> 00:08:09,699] 沒有教你數據和Business的關係是什麼
[00:08:09,699 -> 00:08:12,199] 也沒有教你數據和管理的關係是什麼
[00:08:12,199 -> 00:08:15,399] 那你會考慮去當一個MBA的老師嗎
[00:08:15,399 -> 00:08:18,800] 我要當我也不要去教MBA
[00:08:18,800 -> 00:08:19,800] 教MBA幹嘛
[00:08:19,800 -> 00:08:27,540] 我是覺得這個設置本身是一個落後於時代的產物
[00:08:27,540 -> 00:08:29,540] 就是這個課程設置本身
[00:08:29,540 -> 00:08:33,200] 這是我之前其實錄了一期可能會發的視頻
[00:08:33,200 -> 00:08:38,539] 就是商業這件事情在商科裡面是教不了的
[00:08:38,539 -> 00:08:42,340] 你在真的要學到那些商業的秘技
[00:08:42,340 -> 00:08:46,000] 你只能在商業本身中去學和提煉
[00:08:46,000 -> 00:08:50,200] 然後你作為一個做商業的人
[00:08:50,200 -> 00:08:51,919] 你想提煉出來這個東西
[00:08:51,919 -> 00:08:54,240] 只需要有一個自己的思維框架
[00:08:54,240 -> 00:08:56,960] 然後這個思維框架在其他的學科裡面可以建立
[00:08:56,960 -> 00:09:00,919] 所以我其實不太知道NBA這樣的設置
[00:09:00,919 -> 00:09:01,879] 它的意義何在
[00:09:01,879 -> 00:09:04,159] 就是我知道它有networking的意義
[00:09:04,159 -> 00:09:04,600] 對吧
[00:09:04,600 -> 00:09:07,679] 它有讓大家在工作的時候
[00:09:07,679 -> 00:09:10,480] 去花兩年時間想想今天要幹嘛的議題
[00:09:10,480 -> 00:09:12,639] 它有讓在你不想
[00:09:12,639 -> 00:09:15,000] 你沒有渠道去得到那些
[00:09:15,000 -> 00:09:16,840] 一線的商業知識的情況下
[00:09:16,840 -> 00:09:21,240] 有一個相對系統的地方去教你這些東西
[00:09:21,240 -> 00:09:24,080] 好的商學院會請那些很一線的人
[00:09:24,080 -> 00:09:26,600] 去教你一些真正的行業認知
[00:09:26,600 -> 00:09:27,480] 這些都有
[00:09:27,480 -> 00:09:28,960] 然後我覺得性價比不高
[00:09:28,960 -> 00:09:32,360] 不光是你的學費還是你這兩年的時間
[00:09:32,360 -> 00:09:34,399] 所以這兩年的時間你真的去創一個業
[00:09:34,399 -> 00:09:37,559] 你學到的我相信99%的情況下
[00:09:37,559 -> 00:09:40,600] 會比你在MBA裡面學到的東西多很有用
[00:09:40,600 -> 00:09:43,000] 這是MBA那件事
[00:09:43,000 -> 00:09:45,919] 我其實我之前有一個講我自己创业经历的
[00:09:45,919 -> 00:09:48,080] 我在读博士的时候有创过业吗
[00:09:48,080 -> 00:09:52,200] 然后我说就是如果你真的觉得你的数据分析能力是有用的
[00:09:52,200 -> 00:09:54,279] 你真的觉得你的数据分析能力是有用的
[00:09:54,279 -> 00:09:58,039] 那就去分析一下你楼下的奶茶店怎么样子提高30%的销量
[00:10:00,279 -> 00:10:03,320] 我相信一个好的数据分析师能得到这个东西
[00:10:03,320 -> 00:10:04,960] 就是他能去任何一个奶茶店
[00:10:04,960 -> 00:10:05,960] 然后得到这个答案
[00:10:05,960 -> 00:10:08,960] 除非那种就是国内已经整到天气
[00:10:08,960 -> 00:10:11,600] 就是所有东西已经优化到极致的奶茶店
[00:10:11,600 -> 00:10:13,480] 但是你在弯曲任何一个奶茶店
[00:10:13,480 -> 00:10:18,399] 我相信一个好的数据分析师能找到销量提升30%的方式的
[00:10:18,399 -> 00:10:20,600] 有道理
[00:10:20,600 -> 00:10:23,519] 我觉得做完这件事以后
[00:10:23,519 -> 00:10:27,700] 你可能你对工作也會更有這個信心一點
[00:10:27,700 -> 00:10:28,299] 嗯
[00:10:29,799 -> 00:10:30,799] 這個是一個很好的點
[00:10:30,799 -> 00:10:33,700] 我之前可能在更重大的問題上
[00:10:34,100 -> 00:10:36,299] 會告訴自己就是你不要去擔心一些
[00:10:36,299 -> 00:10:38,100] 你沒有能力做到的問題
[00:10:38,100 -> 00:10:41,000] 但是我覺得在這尤其是在這個工作上
[00:10:41,000 -> 00:10:42,700] 比如說老闆給了你一個目標說
[00:10:42,700 -> 00:10:45,240] 你去調研一下怎麼優化我們現在的數據庫
[00:10:45,240 -> 00:10:47,720] 那這個問題它就是
[00:10:47,720 -> 00:10:48,519] 這個問題就
[00:10:48,519 -> 00:10:50,559] 你現在你覺得應該怎麼做呢
[00:10:50,559 -> 00:10:51,759] 嗯
[00:10:51,759 -> 00:10:56,559] 好像一個面試問題
[00:10:56,559 -> 00:10:57,559] 你覺得我怎麼做呢
[00:10:57,559 -> 00:10:59,200] 你說我現在什麼
[00:10:59,200 -> 00:11:00,960] 我覺得
[00:11:00,960 -> 00:11:03,799] 我現在應該先會搞清楚
[00:11:03,799 -> 00:11:04,960] 就像你剛剛說的
[00:11:04,960 -> 00:11:06,460] 你們那個同事做的事情
[00:11:06,460 -> 00:11:09,379] 應該先搞清楚現在的數據庫是什麼樣的
[00:11:09,379 -> 00:11:10,059] 是怎麼用的
[00:11:10,059 -> 00:11:11,779] 出現了什麼樣的問題
[00:11:11,779 -> 00:11:15,580] 然後再把這些問題排個序說最重要的什麼
[00:11:15,580 -> 00:11:18,700] 就是我們可以按照一個什麼樣的順序來解決
[00:11:18,700 -> 00:11:22,299] 你說了一個就是搞清楚現在的數據庫
[00:11:22,299 -> 00:11:25,000] 但是你還沒有搞清楚大家想到的数据库是什么样子
[00:11:25,000 -> 00:11:29,000] 但是问题是我觉得我老板
[00:11:29,000 -> 00:11:32,000] 其实也不太清楚他想要的是什么样子
[00:11:32,000 -> 00:11:33,000] 你老板未必清楚
[00:11:33,000 -> 00:11:37,000] 但是这个你的就是这数据库的使用者肯定清楚
[00:11:37,000 -> 00:11:40,000] 数据的使用者就是我们呀
[00:11:40,000 -> 00:11:44,000] 我觉得他他想要的其实就是更好的
[00:11:44,000 -> 00:11:47,000] support decision making就是更好的support decision making
[00:11:47,000 -> 00:11:49,480] 就是更好的有一些data driven的insight
[00:11:49,480 -> 00:11:51,480] 我可以给你举几个可能的例子
[00:11:51,480 -> 00:11:56,000] 就是第一可能你们现在有的数据库是一些完全不懂数据的人写的
[00:11:56,000 -> 00:12:01,000] 所以里面存在巨大的浪费和巨大的这个efficiency
[00:12:01,000 -> 00:12:04,000] 所以说你要识别这些东西去解决它
[00:12:04,000 -> 00:12:06,720] 有可能你们的数据定义是没有定义好的
[00:12:06,720 -> 00:12:08,879] 所以说每个人对数据理解不一样
[00:12:08,879 -> 00:12:10,960] 所以说大家都对这个数据没有信心
[00:12:10,960 -> 00:12:14,200] 有可能你的这个数据没有建模好
[00:12:14,200 -> 00:12:17,440] 所以说它这个就是该有的数据没有
[00:12:17,440 -> 00:12:20,720] 没有的数据就是有的数据也没有用
[00:12:20,720 -> 00:12:24,240] 这可能都是在解决问题的情况下
[00:12:24,240 -> 00:12:26,659] 然后解决了决问题的情况下这些问题都是存在
[00:12:26,659 -> 00:12:28,200] 对 在解决这些问题的情况下
[00:12:28,200 -> 00:12:29,659] 还有一些各种样的tradeoff
[00:12:29,659 -> 00:12:32,419] 就比如说你是要更快更多的数据
[00:12:32,419 -> 00:12:35,000] 还是要这个相对便宜
[00:12:35,000 -> 00:12:36,500] 然后DP使用的数据
[00:12:36,500 -> 00:12:38,620] 然后你这个时候就要去看
[00:12:38,620 -> 00:12:40,659] 你们使用的频率是什么样子
[00:12:40,659 -> 00:12:44,500] 你们到底是在就是query什么样子东西
[00:12:44,500 -> 00:12:46,000] 然后这里面有没有什么加密的需求啊等等
[00:12:46,000 -> 00:12:48,000] 你们要不要用语言等等
[00:12:48,000 -> 00:12:50,000] 就是这不是现成的思路吗
[00:12:50,000 -> 00:12:52,000] 就是可以想
[00:12:52,000 -> 00:12:54,000] 就是数据库不就是那些问题吗
[00:12:54,000 -> 00:12:56,000] 然后那些问题
[00:12:56,000 -> 00:12:58,000] 我觉得这些不是我的经验给我带来的
[00:12:58,000 -> 00:13:00,000] 就是我去想一下一些数据库可能有什么问题
[00:13:00,000 -> 00:13:02,000] 我觉得好像答案就在那里了
[00:13:02,000 -> 00:13:04,000] 就是不准呗
[00:13:04,000 -> 00:13:05,840] 然后不efficient呗我觉得这个问题的难案就在那里了就是不准呗然后不efficient呗
[00:13:05,840 -> 00:13:08,159] 我觉得这个问题的难点就在于
[00:13:08,639 -> 00:13:11,240] 我就是这个数字库的使用者
[00:13:11,559 -> 00:13:13,559] 所以你要是问我说
[00:13:13,559 -> 00:13:14,679] 你要怎么样
[00:13:14,679 -> 00:13:15,639] 你未来要怎么样
[00:13:15,639 -> 00:13:16,759] 你是唯一的使用者吗
[00:13:18,639 -> 00:13:19,639] 只有几个使用者
[00:13:22,159 -> 00:13:22,879] 一个
[00:13:22,879 -> 00:13:24,039] 删了吧那个库
[00:13:24,039 -> 00:13:28,840] 不是那么多就是对我觉得我的这个问题很难的地方就在于
[00:13:28,840 -> 00:13:34,580] 他希望我来帮他一起建一套data analytics的high point
[00:13:34,580 -> 00:13:39,460] 或者是一个你未来想要用这些数字做什么样的inside的分析
[00:13:39,460 -> 00:13:41,960] 这个都是没有人在做的
[00:13:41,960 -> 00:13:45,320] 然后他说你未来要做这些分析
[00:13:45,320 -> 00:13:47,720] 那我们再回头看要做什么样的优化
[00:13:47,759 -> 00:13:49,799] 但我可能就会卡在我并不知道
[00:13:50,460 -> 00:13:52,820] 做做这个产品我们需要做什么样的
[00:13:52,820 -> 00:13:55,659] 那你那你要做什么样的分析你去问谁
[00:13:56,259 -> 00:13:57,519] 我不知道要去问谁
[00:13:58,000 -> 00:13:59,320] 谁会使用你们的分析
[00:13:59,919 -> 00:14:00,759] 就是哦
[00:14:01,320 -> 00:14:02,360] 我想一想啊
[00:14:04,860 -> 00:14:05,799] 我们自己吧
[00:14:06,460 -> 00:14:08,460] 就是你们总要影响一个人的 decision 吗
[00:14:08,460 -> 00:14:10,259] 你们难道影响你们自己的 decision 吗
[00:14:10,259 -> 00:14:12,759] 对你们自己的 decision 做了以后会影响谁
[00:14:14,799 -> 00:14:16,399] 会影响用户的购买
[00:14:18,600 -> 00:14:20,200] 谁是这个拍板人
[00:14:20,799 -> 00:14:22,899] 谁是这个 decision 的拍板人我老爸
[00:14:23,759 -> 00:14:26,960] 这才等于真的是做一个东西来支持自己的decision
[00:14:26,960 -> 00:14:28,639] 我的理解是这样
[00:14:28,639 -> 00:14:30,440] 我不知道他们实际是不是这样的
[00:14:30,440 -> 00:14:31,840] 我现在的感觉是这样
[00:14:31,840 -> 00:14:33,279] 那你就应该问一下你老板
[00:14:33,279 -> 00:14:36,320] 他现在觉得他decision有问题的地方在哪
[00:14:36,320 -> 00:14:38,799] 这是一个很好的点
[00:14:38,799 -> 00:14:41,960] 他给你了这个问题
[00:14:41,960 -> 00:14:44,000] 难道你不应该clearify这个问题吗
[00:14:44,000 -> 00:14:46,240] 就是我还以为他會涉及到很多人
[00:14:46,240 -> 00:14:48,440] 但是如果就是你老闆給你下了這個需求
[00:14:48,440 -> 00:14:49,360] 難道你不應該
[00:14:49,840 -> 00:14:50,759] 問一下你老闆
[00:14:50,960 -> 00:14:52,120] 他的需求到底是什麼
[00:14:52,120 -> 00:14:53,679] 因為我可能我一收到
[00:14:53,679 -> 00:14:55,679] 我來覆盤一下我是怎麼想的
[00:14:55,840 -> 00:14:59,240] 我一收到這個任務的時候我就假設了
[00:14:59,720 -> 00:15:00,679] 他想要
[00:15:01,440 -> 00:15:04,279] 他想要更insightful的東西
[00:15:04,279 -> 00:15:04,679] 他想
[00:15:04,679 -> 00:15:05,519] 廢話
[00:15:05,519 -> 00:15:08,080] 所有人都想要告訴我
[00:15:08,080 -> 00:15:10,159] 讓數據直接告訴我應該做什麼
[00:15:10,159 -> 00:15:12,440] 對 我覺得他其實
[00:15:12,440 -> 00:15:14,919] 然後這個decision就超級無比正確
[00:15:14,919 -> 00:15:17,120] 然後就是cover未來五年的所有的情況
[00:15:17,120 -> 00:15:18,720] 我覺得這就是他想要的東西
[00:15:18,720 -> 00:15:20,679] 但是這個東西不存在了
[00:15:20,679 -> 00:15:21,919] 哦 是嗎
[00:15:21,919 -> 00:15:22,960] 不存在 沒有
[00:15:22,960 -> 00:15:25,120] 就是decision是要人来做的
[00:15:25,120 -> 00:15:27,879] 你能做的只是把信息更好的
[00:15:27,879 -> 00:15:28,960] 就是我觉得好吧
[00:15:28,960 -> 00:15:30,639] 那这个时候就是一个decision making
[00:15:30,639 -> 00:15:33,240] 就是这个analytic system
[00:15:33,240 -> 00:15:34,799] 他要干的是什么
[00:15:34,799 -> 00:15:36,559] 他首先要把数据
[00:15:36,559 -> 00:15:39,559] 尽可能好的高质高量的给做好
[00:15:39,559 -> 00:15:42,200] 然后高效的给做好
[00:15:42,200 -> 00:15:44,120] 然后他的这个数据
[00:15:44,120 -> 00:15:46,399] 一定是要把有用的信息給收集起來
[00:15:46,399 -> 00:15:48,000] 並且summarize好
[00:15:48,000 -> 00:15:50,700] 然後再接下來看analytics的功力的
[00:15:50,700 -> 00:15:53,700] 就是如何找到正確的角度去看這些數據
[00:15:53,700 -> 00:15:56,899] 我有一個例子就是B站的後台就是
[00:15:56,899 -> 00:15:59,500] 給了我一般這種方法告訴我我根本不care的數據
[00:15:59,500 -> 00:16:01,899] 我看了完全就是
[00:16:01,899 -> 00:16:04,000] 他們告訴我你是這個分區的百分之幾
[00:16:04,000 -> 00:16:06,759] 你是那個分區的百分之幾你是那個分區百分之幾你的這個站完全沒有用
[00:16:06,759 -> 00:16:09,120] 但YouTube它就會告訴我一個事情
[00:16:09,120 -> 00:16:10,279] 就對我來說很有用
[00:16:10,279 -> 00:16:12,279] 它會按照我發布時間
[00:16:12,279 -> 00:16:15,360] 然後truncate我的所有的這個視頻
[00:16:15,360 -> 00:16:19,399] 說你的這個視頻現在已經發布了三個小時了
[00:16:19,399 -> 00:16:23,039] 它在你過去十個視頻裡面
[00:16:23,039 -> 00:16:27,480] 如果大家rank都是看他們發佈3小時
[00:16:27,480 -> 00:16:29,480] 以3小時的時候的數據的話
[00:16:29,480 -> 00:16:30,919] 你這個視頻是排第幾
[00:16:30,919 -> 00:16:32,360] 就會重開3小時
[00:16:32,360 -> 00:16:33,639] 然後這個視頻發佈4小時以後
[00:16:33,639 -> 00:16:34,840] 就重開到4小時
[00:16:34,840 -> 00:16:37,000] 發佈了24小時以後
[00:16:37,000 -> 00:16:39,600] 我就真的能知道這個24小時
[00:16:39,600 -> 00:16:42,440] 無論它是哪個時間點發的
[00:16:42,440 -> 00:16:46,200] 它在我過往的10個視頻�的相对排序是什么样子的
