[00:00:00,000 -> 00:00:04,480] 其实在GPT的大模型里面的知识是非常大的
[00:06:42,000 -> 00:06:46,000] 就是接下来一个技术很重要的点就是in context learning
[00:06:46,000 -> 00:06:48,240] 然后这一点其实是非常重要的
[00:06:48,240 -> 00:06:50,959] 就是fantuning和in context learning的区别是什么
[00:06:50,959 -> 00:06:53,319] 尤其是fantuning和few shot的区别是什么
[00:06:53,319 -> 00:06:56,079] 因为乍一看他们其实可能是差不多的
[00:06:57,720 -> 00:06:59,839] 这也是很多过去的machinery scientist
[00:06:59,839 -> 00:07:01,600] 在这方面会出现问题的地方
[00:07:01,600 -> 00:07:02,879] 在这个概念上会出现问题
[00:07:02,879 -> 00:07:05,560] 因为其实你说in context learning
[00:07:05,560 -> 00:07:06,600] 是不是fantuning
[00:07:06,600 -> 00:07:09,040] 从一定程度上也是可以这么说的
[00:07:09,040 -> 00:07:12,000] 因为fantuning这个词并不是特别的精确
[00:07:12,199 -> 00:07:14,519] 所以呢我们这儿就发现fantuning其实是
[00:07:14,519 -> 00:07:15,439] 一个过度
[00:07:15,639 -> 00:07:17,560] broad过度宽泛的一个词
[00:07:17,759 -> 00:07:19,639] 那我们怎么样子去区别呢
[00:07:19,639 -> 00:07:20,800] 我们就区别过去的
[00:07:20,800 -> 00:07:21,600] machinery model
[00:07:21,600 -> 00:07:23,879] 是需要change the weight of the base model
[00:07:24,040 -> 00:07:25,519] 但是in context learning呢他其实是activ是需要change the weight of the base model但是in context learning
[00:07:25,519 -> 00:07:28,720] 它其实是activate了different weights in the base model
[00:07:28,720 -> 00:07:30,199] 它不需要change the base
[00:07:30,199 -> 00:07:32,480] change the weight of the base model
[00:07:32,480 -> 00:07:35,360] 就是你用GPT出来的东西
[00:07:35,360 -> 00:07:37,319] 你其实是不改变的GPT的
[00:07:37,319 -> 00:07:38,600] 你是拿着GPT这个模型
[00:07:38,600 -> 00:07:40,560] 然后去提炼出来了一个不一样的东西
[00:07:40,560 -> 00:07:43,680] 是通过alignment这一层去提炼出来的不同的东西
[00:07:43,680 -> 00:07:45,319] activate了不同的weight但是你没有回去做的不同的东西activate不同的位置
[00:07:45,319 -> 00:07:47,639] 但是你没有回去做一个不同的任务
[00:07:47,639 -> 00:07:49,600] 就要去把GPT给改变一次
[00:07:49,600 -> 00:07:50,720] 这个是很重要的
[00:07:50,720 -> 00:07:51,759] 这就是区别了
[00:07:51,759 -> 00:07:52,439] 就traditional
[00:07:52,439 -> 00:07:53,920] 如果说一个high level的解释的话
[00:07:53,920 -> 00:07:56,839] traditional ML是new task需要new model
[00:07:56,839 -> 00:07:59,680] in context learning可以让你做到new task
[00:07:59,680 -> 00:08:02,000] same model different alignment
[00:08:02,000 -> 00:08:04,600] 然后第三个重要的点就是emergence
[00:08:04,600 -> 00:08:06,000] 就是涌现大模型的涌整然后第三个重要的点就是Emergence就是涌现
[00:08:06,000 -> 00:08:08,000] 大模型的涌现是一个非常重要的点
[00:08:08,000 -> 00:08:10,000] 就是它不是线性的一点一点变好的
[00:08:10,000 -> 00:08:12,000] 而是过了一个节点突然就变得很好了
[00:08:12,000 -> 00:08:14,000] 这个点是很重要的
[00:08:14,000 -> 00:08:18,000] 就是它会让你的工程变得不是那么可控
[00:08:18,000 -> 00:08:20,000] 我们不知道为什么我们也不能partake
[00:08:20,000 -> 00:08:23,000] 但是我们知道它好像你给它足够多的数据
[00:08:23,000 -> 00:08:25,120] 足够大的模型他就出现了
[00:08:25,759 -> 00:08:28,240] 这些我们就一个一个过我们就不多说了
[00:08:28,240 -> 00:08:29,720] 你如果想看的话可以了解
[00:08:29,720 -> 00:08:32,879] 所以这个时候你就是这个图虽然很可怕
[00:08:32,879 -> 00:08:34,720] 但是我觉得其实讲的还是有点道理的
[00:08:34,720 -> 00:08:38,159] 就是我们在背后是整个就是GPT的
[00:08:38,159 -> 00:08:40,080] 这个所谓的unsupervised learning
[00:08:40,080 -> 00:08:42,440] 当然这个词也不是完全准
[00:08:42,440 -> 00:08:46,840] 我觉得更准的是把unsupervised learning 变成 GPT
[00:08:46,840 -> 00:08:48,960] 就是它的 base model
[00:08:48,960 -> 00:08:52,799] 然后 supervised fine tuning 我们把它叫做 alignment
[00:08:52,799 -> 00:08:55,679] 然后 reinforcement learning with human feedback
[00:08:55,679 -> 00:08:57,879] 这个可以是 alignment 中间的一环
[00:08:57,879 -> 00:09:00,360] 是 alignment 的其中一种方法
[00:09:00,360 -> 00:09:03,519] 我就不太多去详细解释它了
[00:09:03,519 -> 00:09:09,360] 但是总之其实在 GPT 的大模型里面的知识是非常大的
[00:09:09,360 -> 00:09:12,559] 我们在现在只不过是activate了它的其中一点点
[00:09:12,559 -> 00:09:16,639] 然后是通过这种instruct或者说是chat的方式
[00:09:16,639 -> 00:09:21,120] 去让这个模型的输出变得更palatable to human
[00:09:21,120 -> 00:09:24,480] 就是我们更容易理解或者说我们更容易appreciate
[00:09:24,480 -> 00:09:28,399] 其实它的思维模式可能远远在我们所能理解之上
[00:09:28,399 -> 00:09:31,519] 只不过我们没有办法理解模型在想什么
[00:09:31,519 -> 00:09:34,799] 我们需要用chat的方式去理解模型在想什么
[00:09:34,799 -> 00:09:38,559] 最后就是reinforcement learning with human feedback
[00:09:38,559 -> 00:09:42,080] 其实如果大家去看extract gpt和chat gpt的paper的话
[00:09:42,080 -> 00:09:45,399] 你会发现他们的整个范式是非常接近的
[00:09:45,399 -> 00:09:47,639] 基本上就是蓝色和绿色的区别
[00:09:47,639 -> 00:09:51,240] 但是其他的就是你怎么样子去用reward function
[00:09:51,240 -> 00:09:52,440] 你怎么去用policy
[00:09:52,440 -> 00:09:55,720] 然后怎么样子去做reward model
[00:09:55,720 -> 00:09:58,480] 都是几乎是一样的方式
[00:09:58,480 -> 00:10:00,559] 就是其他的所有的点都是一样的
[00:10:00,559 -> 00:10:04,320] 只不过是他到底是用instruct去做align
[00:10:04,320 -> 00:10:05,759] 还是去用chat做align还是去用chart做align
[00:10:05,759 -> 00:10:08,000] 这就是未来其他很多模型
[00:10:08,000 -> 00:10:10,799] 就是openAI会出现很多模型的方法
[00:10:10,799 -> 00:10:12,600] 就是它不一定要用instruct或者chart
[00:10:12,600 -> 00:10:15,039] 它可以有别的方式去align模型
[00:10:15,039 -> 00:10:17,320] 然后去输出对应的效果
[00:10:17,320 -> 00:10:19,279] 来适配不同的任务种类
[00:10:19,279 -> 00:10:23,519] 最后一个就是我们把所有刚才说的东西给总结到一起
[00:10:23,519 -> 00:10:27,120] 我们在最底层会有一个pre-trained这个foundation model
[00:10:27,120 -> 00:10:30,159] 然后我们可以去funtune来change weight的话
[00:10:30,159 -> 00:10:32,879] 就是你拿到一个GPT你训练好了一个GPT
[00:10:32,879 -> 00:10:35,679] 然后你需要根据新的任务去funtune
[00:10:35,679 -> 00:10:38,639] 然后把整个GPT的foundation model都改了话
[00:10:38,639 -> 00:10:40,320] 那就是traditional ML的做法
[00:10:40,320 -> 00:10:42,080] 那不是我们现在的做法
[00:10:42,080 -> 00:10:43,840] 我们要在左边那条路径上画个X
[00:10:43,840 -> 00:10:47,799] 接下来我们是funtune to activate different weights
[00:10:47,799 -> 00:10:51,919] 其实我们就把这一层应该改成叫alignment
[00:10:51,919 -> 00:10:56,519] 因为GPT有了in-context learning的这样的一个涌现出来的能力
[00:10:56,519 -> 00:11:00,360] 导致我们可以通过alignment去activate不同的weight
[00:11:00,360 -> 00:11:03,320] 在这个之下我们再用不同的方式
[00:11:03,320 -> 00:11:06,519] 我们接下来会说就是我们现在所看到的
[00:11:06,519 -> 00:11:07,919] 不管是GPT Store也好
[00:11:07,919 -> 00:11:09,399] 还是这个agency也好
[00:11:09,399 -> 00:11:11,720] 都是在ChainGPT之下的一个方式
[00:11:11,720 -> 00:11:14,039] 我们回头再展开就好
[00:11:14,039 -> 00:11:15,720] 我打一个比方
[00:11:15,720 -> 00:11:16,919] 就是我们在了解了以后
[00:11:16,919 -> 00:11:18,200] 我们可以用一个比方再去理解
[00:11:18,200 -> 00:11:19,399] 我不喜欢用比方来开头
[00:11:19,399 -> 00:11:21,200] 因为那个时候会带来一些误解
[00:11:21,200 -> 00:11:24,399] 就是我们整个GPT的PrintTrend
[00:11:24,399 -> 00:11:26,000] 这个Base Foundation Model
[00:11:26,000 -> 00:11:29,080] 其实是钢铁侠的那个反应核心
[00:11:29,080 -> 00:11:30,879] 就是他那个Arc
[00:11:30,879 -> 00:11:33,000] 他中间这个反应核心有了以后
[00:11:33,000 -> 00:11:34,360] 你才有可能做出钢铁侠
[00:11:34,360 -> 00:11:37,159] 其实上面的一些武器人类都已经有了
[00:11:37,159 -> 00:11:38,480] 或者说Tony Stark
[00:11:38,480 -> 00:11:40,200] 就Stark Industry已经有了
[00:11:40,200 -> 00:11:41,639] 你没有中间的那个核心呢
[00:11:41,639 -> 00:11:43,360] 那就像下面这张图一样
[00:11:43,360 -> 00:11:45,120] 是那个什么Hemley Industries
[00:11:45,120 -> 00:11:47,279] 就是他试图做出来一堆
[00:11:47,279 -> 00:11:48,960] 长得像Ironman的东西
[00:11:48,960 -> 00:11:50,480] 可是他没有核心
[00:11:51,279 -> 00:11:52,320] 你有了核心以后
[00:11:52,320 -> 00:11:53,519] 你通过不同的Line问题
[00:11:53,519 -> 00:11:55,039] 能把它调教成不同的任务
[00:11:55,039 -> 00:11:57,039] 这里边我们看到钢铁侠3里边的
[00:11:57,039 -> 00:11:58,000] 不同的钢铁侠
[00:11:58,000 -> 00:11:59,360] 它可以适配不同的任务
[00:11:59,360 -> 00:12:01,600] 但是前提都是要有核心
[00:12:01,600 -> 00:12:03,759] 核心的质量是最重要的
[00:12:03,759 -> 00:12:08,360] 这个时候很多时候大家忽视的大家会用各种各样开源的模型去做出来一个
[00:12:08,840 -> 00:12:14,840] 看上去也不错的核心 但是其实它的核心的质量比钢铁侠差很远 其实就是钢铁侠2里边的
[00:12:15,679 -> 00:12:21,320] 那个鞭侠对吧 用鞭子的那个人 他也可以用 你可以把他理解成一个开源模型
[00:12:21,679 -> 00:12:24,159] 所以他也能做出来一个核心 然后他做的这个核心
[00:12:21,399 -> 00:12:23,000] 把它理解成一个太原模型它也能做出来一个核心
[00:12:23,000 -> 00:12:26,840] 然后它做的核心的效果也能似是而非
[00:12:26,840 -> 00:12:29,039] 但是它不是钢铁侠的核心
[00:12:29,039 -> 00:12:32,639] 它也不能像钢铁侠在接下来的漫威里边
[00:12:32,639 -> 00:12:35,200] 迭代出来那么多的tech
[00:12:35,200 -> 00:12:37,879] 因为它的核心是不够强的
[00:12:37,879 -> 00:12:40,039] 然后它的研发能力也是不够强的
[00:12:40,039 -> 00:12:42,120] 这个我在会员视频里边有讲过
[00:12:42,120 -> 00:12:46,100] 就是为什么OpenAI现在是站在一个指数增长的环节上
[00:12:46,100 -> 00:12:49,799] 这个LM的历史我就不多说了
[00:12:49,799 -> 00:12:52,100] 就是他到底是过去的发展
[00:12:52,100 -> 00:12:53,899] Transformers的他到底是什么
[00:12:53,899 -> 00:12:55,799] Transformers的这个发展
[00:12:55,799 -> 00:12:58,399] 我这之前都有兴趣的话
[00:12:58,399 -> 00:13:00,799] 其实应该去看俊林老师的那个文章
[00:13:00,799 -> 00:13:02,200] 就是我绝大多数的
[00:13:02,200 -> 00:13:05,500] 对这个知识是通过他的文章传起来的
[00:13:05,500 -> 00:13:08,000] 包括t5怎么样子把所有的task
[00:13:08,000 -> 00:13:09,500] line成generative task
[00:13:09,500 -> 00:13:11,500] 这是一个非常重要的点
[00:13:11,500 -> 00:13:14,500] 还有一些其他的quick takeover的东西
[00:13:14,500 -> 00:13:16,500] 比如说GPT是怎么开始的对吧
[00:13:16,500 -> 00:13:20,500] 然后这个就是GPT和Birds在
[00:13:20,500 -> 00:13:23,500] PKGPT完败的情况下
[00:13:23,500 -> 00:13:26,000] 大家是怎么样子去stick with GPT的
[00:13:26,000 -> 00:13:28,000] 然后ChunFuzi这边的作用
[00:13:28,000 -> 00:13:32,080] 和Gates在这里边扮演的关键角色
[00:13:32,080 -> 00:13:35,600] 就是在GPT3到3.5到拆GPT的时候
[00:13:35,600 -> 00:13:38,080] Bergeis在这里边其实扮演了非常重要的角色
[00:13:38,080 -> 00:13:39,279] 他在里边也有说
[00:13:39,279 -> 00:13:40,159] 我也不多说了
[00:13:41,600 -> 00:13:43,840] 接下来就进入我们的正式环节
[00:13:43,840 -> 00:13:45,039] 就是这五个问题
[00:13:45,039 -> 00:13:47,159] 第一个就是它是不是一个
[00:13:47,159 -> 00:13:48,759] 只是一个更好的代理模型
[00:13:48,759 -> 00:13:49,879] 这个其实是乐库的观点
[00:13:49,879 -> 00:13:51,679] 就是GPT其实没有什么不一样的
[00:13:51,679 -> 00:13:53,159] 它是一个更好的模型
[00:13:53,159 -> 00:13:54,200] 它没有凡事突破
[00:13:54,200 -> 00:13:56,159] 那我接下来要问的问题就是
[00:13:56,159 -> 00:13:58,440] 我们人类是不是只是一个更聪明的猴子
[00:13:58,840 -> 00:14:00,000] 答案肯定不是
[00:14:00,000 -> 00:14:02,320] 但我们就要抱着这个观点
[00:14:02,320 -> 00:14:05,360] 就是说你不能因为我们看不出来
[00:14:05,360 -> 00:14:07,080] 人类和猴子的大脑有什么不一样
[00:14:07,080 -> 00:14:09,159] 从而去否定人类和猴子不一样
[00:14:09,399 -> 00:14:12,360] Chai GPT似乎从原理上和其他大学模型不一样
[00:14:12,360 -> 00:14:15,919] 但是我们要接受Chai GPT有可能不一样的可能性
[00:14:16,279 -> 00:14:17,879] 过去的Models是什么
[00:14:17,879 -> 00:14:18,919] 就是我们要知道不一样的话
[00:14:18,919 -> 00:14:21,200] 我们就要知道过去的Models是什么
[00:14:21,200 -> 00:14:25,000] 过去的Models它其实就是Find Correspondence
[00:14:25,000 -> 00:14:28,000] 它是在数据里边寻找一些规律
[00:14:28,000 -> 00:14:31,000] 那你可以告诉它你这个规律寻找的对不对
[00:14:31,000 -> 00:14:34,000] 最简单的就是你给它一对X给它一对Y
[00:14:34,000 -> 00:14:35,000] 然后把X给map到Y
[00:14:35,000 -> 00:14:39,000] 那接下来它选好了这个X和Y之间的关系以后
[00:14:39,000 -> 00:14:42,000] 你再给它一对新的X和一对新的Y看看能不能map的好
[00:14:42,000 -> 00:14:45,000] 你可以在这里面有各种各样的方式
[00:14:45,000 -> 00:14:47,000] 设计各种各样的这个loss function
[00:14:47,000 -> 00:14:50,799] 去帮助他和你的机制去帮助他去
[00:14:50,799 -> 00:14:53,600] 把这个correspondence找的比较好
[00:14:53,600 -> 00:14:55,000] 找到你想要的correspondence
[00:14:55,000 -> 00:14:58,000] 而不要找那些over fitting或者说是under fitting的东西
[00:14:58,000 -> 00:15:03,100] 同时呢你再把他和其他的计算机的功能给结合起来
[00:15:03,100 -> 00:15:04,799] 你就可以让他做很多的事情
[00:15:04,799 -> 00:15:06,039] 这是过去的 machine learning
[00:15:06,480 -> 00:15:09,000] 但是 machine learning 它有一个问题
[00:15:09,000 -> 00:15:10,399] 就是它只会鹦鹉学舌
[00:15:10,399 -> 00:15:11,360] 它不能理解
[00:15:11,360 -> 00:15:13,440] 当然这两个词都非常的重
[00:15:13,440 -> 00:15:15,080] 所以说我们接下来就要去讲
[00:15:15,159 -> 00:15:16,559] 什么是理解
[00:15:16,559 -> 00:15:18,399] 在这里边有一个 window grade schema
[00:15:18,399 -> 00:15:21,600] 它非常好的去讲了这里边的理解
[00:15:21,879 -> 00:15:23,679] 我觉得最好的就是
[00:15:23,679 -> 00:15:27,799] 朱松成老师所说的乌鸦和鹦鹉的区别
[00:15:27,799 -> 00:15:30,399] 就是在一个城市里边呢
[00:15:30,399 -> 00:15:34,200] 乌鸦可以通过观察车观察人
[00:15:34,200 -> 00:15:38,000] 它想要达到一个打开一个坚果的这样的一个任务
[00:15:38,000 -> 00:15:42,000] 那它就发现车是可以在红绿灯前面停下来的
[00:15:42,000 -> 00:15:44,399] 车可以压碎它的坚果
[00:15:44,399 -> 00:15:46,200] 然后它就会把坚果drop到这个红绿灯前面停下来的车可以压碎他的坚果然后他就会把坚果
[00:15:46,200 -> 00:15:48,200] drop到红绿灯前面
[00:15:48,200 -> 00:15:49,799] 让车去把它压碎
[00:15:49,799 -> 00:15:50,799] 然后等到红灯的时候
[00:15:50,799 -> 00:15:52,799] 再去把坚果给pick up起来
[00:15:52,799 -> 00:15:55,200] 在这里边他只有一次任务
[00:15:55,200 -> 00:15:57,399] 就是他如果被车撞了就被撞死了
[00:15:57,399 -> 00:15:59,000] 所以说他所有这些东西
[00:15:59,000 -> 00:16:00,399] 都是通过他的inference
[00:16:00,399 -> 00:16:01,399] 都是通过他的理解
[00:16:01,399 -> 00:16:03,200] 都是通过他的comprehend
[00:16:03,200 -> 00:16:06,279] 然后他自己在脑子里边run了一个simulation
