[00:00:00,000 -> 00:00:01,600] 从业咖啡有这么一个好事
[00:01:53,439 -> 00:01:56,239] 然后就是冲煮就是手冲咖啡
[00:01:56,239 -> 00:01:57,959] 然后第三个就是拉花
[00:01:57,959 -> 00:02:00,879] 就是比你在用牛奶咖啡的技巧
[00:02:01,000 -> 00:02:02,920] 然后第四个就是说烘焙
[00:02:02,920 -> 00:02:04,280] 对咖啡烘焙
[00:02:04,359 -> 00:02:08,759] 然后还有一个就是咖啡与烈酒的结合
[00:02:08,759 -> 00:02:09,039] 对
[00:02:09,039 -> 00:02:11,039] 然后以及就是品控、杯测
[00:02:11,039 -> 00:02:11,240] 对
[00:02:11,240 -> 00:02:13,159] 他有六大主要的赛事
[00:02:13,159 -> 00:02:13,360] 对
[00:02:13,360 -> 00:02:17,000] 目前来说我已经拿了两个类别的美国冠军
[00:02:17,000 -> 00:02:17,719] 所以说明年呢
[00:02:17,719 -> 00:02:22,120] 我会去代表美国在瑞士去打世界赛
[00:02:22,120 -> 00:02:23,000] 对
[00:02:23,000 -> 00:02:25,400] 所以说你刚才这个咖啡的实力
[00:02:25,400 -> 00:02:27,120] 我们已经录了很多视频
[00:02:27,120 -> 00:02:28,520] 大概是录了 40 分钟
[00:02:28,520 -> 00:02:31,199] 你一上来一句话没说
[00:02:31,199 -> 00:02:32,360] 直接就开始做了咖啡
[00:02:32,360 -> 00:02:33,039] 然后做了
[00:02:33,039 -> 00:02:34,879] 因为咖啡这个东西呢
[00:02:34,879 -> 00:02:37,520] 哪怕我觉得是很专业的
[00:02:37,960 -> 00:02:39,960] 咖啡从业者的话
[00:02:39,960 -> 00:02:41,879] 因为来到一个陌生的吧台
[00:02:41,879 -> 00:02:45,000] 他其实都会要花一点点时间去适应一下
[00:02:45,000 -> 00:02:48,000] 因为不同的牛奶不同的豆子不同的设备
[00:02:48,000 -> 00:02:50,599] 你包括蒸汽的强度也是不一样的
[00:02:50,599 -> 00:02:52,479] 所以说这些都会影响到一些因素
[00:02:52,479 -> 00:02:54,680] 所以上来我就先赶紧试验
[00:02:54,680 -> 00:02:58,800] 就是 make sure 能够掌控这个吧台
[00:02:58,800 -> 00:02:59,840] 但是你试验了以后
[00:02:59,840 -> 00:03:03,080] 就是你试验的那个过程其实我觉得非常 impressive
[00:03:03,080 -> 00:03:05,879] 因为对我来说大家在家里做咖啡的时候
[00:03:05,879 -> 00:03:07,000] 它是一个业余的感觉
[00:03:07,000 -> 00:03:09,599] 从你做的那些动作里面就能很
[00:03:09,599 -> 00:03:12,599] 很能感觉到 pro 和业余爱好者的区别
[00:03:12,599 -> 00:03:15,120] 就是你的动作非常 straight to the point
[00:03:15,120 -> 00:03:15,479] 对
[00:03:15,479 -> 00:03:17,960] 就是你也不怕弄洒什么东西
[00:03:18,000 -> 00:03:20,520] 然后后面清理都很干净又很快
[00:03:20,560 -> 00:03:22,919] 然后所有的动作就是非常 efficient
[00:03:22,919 -> 00:03:24,000] 可能我做一个动作的时候
[00:03:24,000 -> 00:03:25,240] 你已经做完10个动作了
[00:03:25,240 -> 00:03:28,120] 对因为我们在专业的咖啡从业者来说
[00:03:28,120 -> 00:03:31,319] 其实最大的因就是在日常运营过程中
[00:03:31,319 -> 00:03:32,719] 我们需要的是什么是效率
[00:03:32,719 -> 00:03:36,319] 对因为我们客人因为咖啡店很忙的
[00:03:36,319 -> 00:03:37,439] 尤其是早上对吧
[00:03:37,439 -> 00:03:40,199] 你早上的时候可能有一二十个客人排着队
[00:03:40,199 -> 00:03:43,400] 他你没有办法是一步一步去做
[00:03:43,400 -> 00:03:48,599] 我们每次我们都会在不断的总结说哪几样事情可以同时做
[00:03:48,599 -> 00:03:52,719] 同时的过程中又能保持准确性
[00:03:52,719 -> 00:03:55,360] 所以我们一直在追求在效率的同时
[00:03:55,360 -> 00:04:00,159] 在足够的品控的情况下又能够不断的提升速度
[00:04:00,159 -> 00:04:02,639] 但是其实我后来
[00:04:02,639 -> 00:04:04,800] 因为我之前有一些视频讲手艺
[00:04:04,800 -> 00:04:06,360] 但是那些视频就不齐了
[00:04:06,360 -> 00:04:08,560] 我后来发现所有手艺这种东西就是
[00:04:08,560 -> 00:04:10,520] 你越是简单的东西
[00:04:10,520 -> 00:04:12,319] 你越有无限的进步的空间
[00:04:12,319 -> 00:04:14,800] 然后就是你刚刚所说的效率
[00:04:14,800 -> 00:04:15,360] 就其中一个很重要
[00:04:15,360 -> 00:04:16,959] 就不断打磨
[00:04:16,959 -> 00:04:18,879] 根据场景去不断打磨
[00:04:18,879 -> 00:04:22,079] 就有的场景需要慢一点
[00:04:22,079 -> 00:04:25,560] 因为像有的一些比较客制化的精品咖啡比较高端的精品咖啡店有的时候可以慢一点因为像有的一些比较客制化的精品咖啡
[00:04:25,560 -> 00:04:27,079] 比较高端的精品咖啡店
[00:04:27,680 -> 00:04:29,160] 有的时候可以慢一点
[00:04:29,360 -> 00:04:29,879] 对
[00:04:30,040 -> 00:04:33,199] 那个时候我们是希望更专注的是品质
[00:04:33,240 -> 00:04:36,279] 让他比如说客人点了一杯非常好的咖啡
[00:04:36,319 -> 00:04:36,680] 对吧
[00:04:36,680 -> 00:04:38,480] 那我们肯定希望这杯咖啡
[00:04:38,759 -> 00:04:40,480] 尽量不要出任何错误
[00:04:40,480 -> 00:04:40,879] 对
[00:04:40,879 -> 00:04:42,720] 因为客人花费了这么多的价值
[00:04:42,720 -> 00:04:45,000] 我们需要给到他一个最完美的一杯咖啡
[00:04:45,000 -> 00:04:46,319] 所以这个时候我们会慢
[00:04:46,319 -> 00:04:50,399] 对 但是对于有些商业咖啡馆或者有些
[00:04:50,399 -> 00:04:53,160] 相对来说你是可以节奏快一点
[00:04:53,160 -> 00:04:55,519] 因为尤其像牛奶咖啡
[00:04:55,519 -> 00:04:57,639] 牛奶咖啡因为有很多是牛奶嘛
[00:04:57,639 -> 00:04:58,879] 所以它可以去
[00:04:58,879 -> 00:05:01,800] 其实来说technically是可以允许你的
[00:05:01,800 -> 00:05:03,720] 整个过程中有一点瑕疵
[00:05:03,720 -> 00:05:06,120] 其实是没有那么大明显的
[00:05:06,120 -> 00:05:06,920] 是好
[00:05:06,920 -> 00:05:09,439] 对刚才我去调这个麦克风
[00:05:09,439 -> 00:05:10,959] 呃就是漏过了
[00:05:10,959 -> 00:05:13,519] 我们再了解一下你的从业经历吧
[00:05:13,560 -> 00:05:14,360] ok对
[00:05:14,480 -> 00:05:16,560] 就是你大概是从什么时候开始的
[00:05:16,560 -> 00:05:18,319] 和为什么你能成为冠军呢
[00:05:18,319 -> 00:05:20,639] 就是这个冠军只有一个吗
[00:05:20,639 -> 00:05:21,360] 美国就一个
[00:05:21,360 -> 00:05:21,879] 但是
[00:05:22,439 -> 00:05:24,959] 对但是其实冠军每年都有吗
[00:05:24,959 -> 00:05:25,000] 对吧但是只是说呃只有一个吗 美国就一个 但是对 但其实冠军每年都有嘛
[00:05:25,000 -> 00:05:27,000] 对吧 但是只是说
[00:05:27,000 -> 00:05:31,000] 我做咖啡本身也蛮久了嘛
[00:05:31,000 -> 00:05:33,000] 从10年开始做
[00:05:33,000 -> 00:05:35,000] 从刚开始也是从小白入行
[00:05:35,000 -> 00:05:37,000] 到后面开店
[00:05:37,000 -> 00:05:39,000] 开店以后然后又做
[00:05:39,000 -> 00:05:42,000] 咖啡设备相关的贸易
[00:05:42,000 -> 00:05:45,199] 因为这些都对我后面的成长
[00:05:45,199 -> 00:05:46,720] 其实都是一些铺垫
[00:05:46,720 -> 00:05:47,040] 对
[00:05:47,040 -> 00:05:48,759] 因为你会接触到不同的人
[00:05:48,759 -> 00:05:50,680] 你会接触到不同的
[00:05:50,680 -> 00:05:52,519] 呃咖啡的从业人士
[00:05:52,519 -> 00:05:55,759] 可以跟很多很多人去交流
[00:05:55,759 -> 00:05:57,800] 然后获得各种各样的经验
[00:05:57,800 -> 00:06:00,279] 然后再通过时间的积累
[00:06:00,279 -> 00:06:02,480] 才导致为什么是
[00:06:02,480 -> 00:06:03,720] 我认为可能才能导致
[00:06:03,720 -> 00:06:07,120] 为什么是十几年后的今天才拿到冠军
[00:06:07,120 -> 00:06:10,399] 因为毕竟2010年到我第一次拿冠军
[00:06:10,399 -> 00:06:13,519] 拿到这种全国冠军这种比较大的名次的
[00:06:13,519 -> 00:06:15,360] 也经历了十几年对吧
[00:06:15,360 -> 00:06:16,639] 所以说也是
[00:06:16,639 -> 00:06:17,920] 我觉得是
[00:06:18,959 -> 00:06:20,560] 肯定是一直的努力吧
[00:06:20,560 -> 00:06:22,720] 我觉得一直的努力就是
[00:06:22,720 -> 00:06:24,720] 让我能够
[00:06:24,959 -> 00:06:25,360] 有这样能够
[00:06:28,879 -> 00:06:29,079] 有这样能够参与这种高水准竞技的基础
[00:06:31,600 -> 00:06:31,800] 对 然后再加上一些运气
[00:06:32,720 -> 00:06:33,160] 对吧 所以说
[00:06:35,680 -> 00:06:36,560] 肯定所有人的成功都离不开运气运气我们就抛开
[00:06:36,560 -> 00:06:38,199] 因为反正我们聊说了也没有用
[00:06:38,199 -> 00:06:40,759] 对 但是你刚刚说的这个努力
[00:06:40,759 -> 00:06:41,920] 能不能具体一点
[00:06:41,920 -> 00:06:43,959] 你从10年开始入行了以后
[00:06:44,160 -> 00:06:46,000] 你是一直在练习
[00:06:46,000 -> 00:06:48,000] 就是手冲啊拉花
[00:06:48,000 -> 00:06:50,000] 因为你说你一开始是开店啊
[00:06:50,000 -> 00:06:52,000] 做贸易 但是
[00:06:52,000 -> 00:06:54,000] 开店很多人的精力就放在
[00:06:54,000 -> 00:06:56,000] 怎么样子让我的店运营
[00:06:56,000 -> 00:06:58,000] 就是这些基础
[00:06:58,000 -> 00:07:00,000] 都是 所以说
[00:07:00,000 -> 00:07:02,000] 如果对于一个从小白
[00:07:02,000 -> 00:07:04,000] 专门去训练打比赛
[00:07:04,000 -> 00:07:05,360] 我可能不需要这么长时间的铺垫
[00:07:05,360 -> 00:07:05,839] 对吧
[00:07:05,839 -> 00:07:10,079] 我可能训练个两年三年都有可能去开始去打比赛
[00:07:10,079 -> 00:07:12,800] 如果你从头的定义就是
[00:07:12,800 -> 00:07:14,399] 定位就是做一个职业选手
[00:07:14,399 -> 00:07:17,199] 那可能你起步两三年其实就可以了
[00:07:17,199 -> 00:07:18,720] 差不多有这个技术就够了
[00:07:18,720 -> 00:07:21,279] 那我因为是因为长时间的铺垫
[00:07:21,279 -> 00:07:26,399] 其实是更加奠定了我对咖啡这样一个行业的执着和爱好吧
[00:07:26,660 -> 00:07:27,680] 就是我可能
[00:07:27,939 -> 00:07:28,699] 前期
[00:07:29,220 -> 00:07:32,800] 我在从业咖啡的时候把咖啡作为我的职业的时候可能
[00:07:33,319 -> 00:07:34,839] 也是属于一个试探
[00:07:35,100 -> 00:07:36,639] 对吧我因为我是在
[00:07:36,899 -> 00:07:43,040] 新西兰留学的时候接触一些咖啡然后回国的时候也去认识了很多咖啡爱好咖啡的这个从业者
[00:07:43,300 -> 00:07:46,199] 然后觉得咖啡是一件很酷的事情
[00:07:46,199 -> 00:07:47,800] 在澳洲本身也是一个很流行
[00:07:47,800 -> 00:07:49,600] 也是一个很好的商业模式
[00:07:49,600 -> 00:07:51,800] 在澳洲的当时在澳洲110年
[00:07:51,800 -> 00:07:53,800] 那时候咖啡确实很火
[00:07:53,800 -> 00:07:55,399] 然后回到国以后我就想
[00:07:55,399 -> 00:07:59,199] 我也是想尝试着去开一家咖啡店
[00:07:59,199 -> 00:08:01,199] 所以我12年是开始开咖啡店
[00:08:01,199 -> 00:08:03,399] 开咖啡店以后呢就是
[00:08:03,399 -> 00:08:05,879] 开店的时候其实我还不会咖啡了我只是说想开一家咖啡店以后呢就是开店的时候其实我还不会咖啡了
[00:08:05,879 -> 00:08:07,920] 我只是说想开一家咖啡店
[00:08:07,920 -> 00:08:08,839] 我只知道怎么做
[00:08:08,839 -> 00:08:10,120] 但是我也并不会拉花
[00:08:10,120 -> 00:08:11,399] 并不会什么这些东西
[00:08:11,399 -> 00:08:12,839] 对就是先把店开起来
[00:08:12,839 -> 00:08:15,800] 就是也是一边学摸着石头过河
[00:08:15,800 -> 00:08:18,120] 对但是那个时候早期一二年
[00:08:18,120 -> 00:08:20,759] 国内的咖啡店属于
[00:08:20,759 -> 00:08:23,120] 大家对星巴克还不太接受
[00:08:23,120 -> 00:08:24,600] 还不是像现在一片红海
[00:08:24,600 -> 00:08:25,600] 一片蓝海这种感觉
[00:08:25,600 -> 00:08:26,399] 红海的这种感觉
[00:08:26,399 -> 00:08:27,399] 就是对吧
[00:08:27,399 -> 00:08:29,600] 那时候还是因为可能入的太早
[00:08:29,600 -> 00:08:31,000] 生意其实一般般吧
[00:08:31,000 -> 00:08:34,200] 是肯定就是能够break even能够平衡就不错了
[00:08:34,200 -> 00:08:36,200] 对但是后来慢慢的发现
[00:08:36,200 -> 00:08:40,799] 因为我是属于当在当地开咖啡店比较早的一批
[00:08:40,799 -> 00:08:42,200] 那在哪在安徽
[00:08:42,200 -> 00:08:44,200] 那肯定很早了
[00:08:44,200 -> 00:08:45,399] 那时候上海的咖啡店比较早的一批在哪?在安徽哦那好那肯定很早了那时候上海的
[00:08:45,399 -> 00:08:45,799] 对
[00:08:45,799 -> 00:08:47,080] 然后比较早的一批
[00:08:47,080 -> 00:08:50,200] 所以有很多人会来咨询我开店的
[00:08:50,200 -> 00:08:53,200] 因为那时候其实也很多人也会受到电视啊
[00:08:53,200 -> 00:08:54,440] 漫画小说的影响
[00:08:54,440 -> 00:08:56,519] 那时候会认为开一个咖啡店
[00:08:56,519 -> 00:08:57,799] 开个奶茶店
[00:08:57,799 -> 00:08:58,840] 书店
[00:08:58,840 -> 00:08:59,200] 对吧
[00:08:59,200 -> 00:09:00,919] 然后开个服装店或这种店
[00:09:00,919 -> 00:09:02,679] 这种小店就是比较小资
[00:09:02,679 -> 00:09:05,799] 所以说我收到了很多的咨询关于开咖啡店
[00:09:05,799 -> 00:09:07,600] 所以后来那时候我觉得嗯
[00:09:08,000 -> 00:09:09,000] 我就转行
[00:09:09,299 -> 00:09:11,600] 又开了一家咖啡贸易公司
[00:09:11,799 -> 00:09:14,399] 对然后发现这个比较赚钱
[00:09:14,399 -> 00:09:16,500] 对因为很多的客人因为那时候
[00:09:17,000 -> 00:09:17,600] 国内
[00:09:18,399 -> 00:09:20,799] 做这个行业做贸易的还是比较少的
[00:09:20,799 -> 00:09:22,899] 所以我算做的比较早的一批
[00:09:22,899 -> 00:09:25,559] 所以说我们那时候就疯狂的去做设备
[00:09:25,559 -> 00:09:30,440] 但是做设备的好处是你认识了很多很多的咖啡店业主
[00:09:30,440 -> 00:09:31,039] 是
[00:09:31,039 -> 00:09:32,720] 包括很多的从业人员
[00:09:32,720 -> 00:09:33,039] 对
[00:09:33,039 -> 00:09:38,919] 所以所以说我我那时候就基本上全国是13年到16年
[00:09:38,919 -> 00:09:40,519] 基本上全国跑遍了
[00:09:40,519 -> 00:09:41,919] 都是我们的客户
[00:09:41,919 -> 00:09:43,600] 所以认识了非常多的人
[00:09:43,600 -> 00:09:45,279] 也认识了很多有技术
[00:09:45,279 -> 00:09:47,720] 有这种理想 热心
[00:09:47,720 -> 00:09:48,200] 对
[00:09:48,200 -> 00:09:51,720] 然后也就是说我也收获了很多的一些干户
[00:09:51,720 -> 00:09:52,000] 对
[00:09:52,000 -> 00:09:54,879] 只不过那时候我的重心可能偏向于销售
[00:09:54,879 -> 00:09:58,519] 但是这些积累其实都是埋在了脑子里
[00:09:58,519 -> 00:09:59,320] 记忆里
[00:09:59,320 -> 00:10:01,759] 就是因为你在做销售的同时
[00:10:01,759 -> 00:10:03,639] 你一直对这个craft
[00:10:03,639 -> 00:10:05,559] 你一直对这个手艺非常感兴趣
[00:10:05,559 -> 00:10:07,600] 所以说你就一直去问
[00:10:07,600 -> 00:10:09,279] 因为你很多人打交道
[00:10:09,279 -> 00:10:11,120] 就是说你愿意下多少单完了对吧
[00:10:11,120 -> 00:10:13,360] 对咖啡行业可能跟其他不一样
[00:10:13,360 -> 00:10:16,759] 咖啡行业我们一般还是从先
[00:10:17,759 -> 00:10:21,200] 切磋手 共同话题是咖啡这个技
[00:10:21,200 -> 00:10:23,679] 咖啡的 所以我们一般会切磋
[00:10:23,679 -> 00:10:26,120] 会相互的去探讨
[00:10:26,120 -> 00:10:27,799] 因为那个时候在国内也是刚兴起
[00:10:27,799 -> 00:10:30,440] 13到15其实国内这些
[00:10:30,879 -> 00:10:33,360] MENA起步也就2015年
[00:10:33,360 -> 00:10:33,799] 我记得
[00:10:33,799 -> 00:10:35,919] 所以说你想想那时候还没有什么
[00:10:35,919 -> 00:10:37,080] 火爆的连锁店
[00:10:37,080 -> 00:10:39,480] 所以那时候我们在一起跟我们的客户聊天
[00:10:39,480 -> 00:10:40,919] 都是从聊咖啡
[00:10:40,919 -> 00:10:42,080] 哪怕我是销售
[00:10:42,080 -> 00:10:44,000] 但是我们都在聊咖啡的记忆
[00:10:44,000 -> 00:10:44,600] 对
[00:10:44,600 -> 00:10:46,960] 所以我也必须得会不同的咖啡的记忆
[00:10:46,960 -> 00:10:48,360] 所以我在同时
[00:10:48,360 -> 00:10:51,399] 我也会去学很多的咖啡的课
[00:10:51,399 -> 00:10:53,240] 所以那个时候开始天南海北
[00:10:53,240 -> 00:10:55,320] 每个地方有高手
[00:10:55,320 -> 00:10:56,440] 我都会去学
[00:10:56,440 -> 00:10:56,879] 对
[00:10:56,879 -> 00:10:59,519] 虽然说那个时候我的重心不是在技术
[00:10:59,519 -> 00:10:59,799] 对
[00:10:59,799 -> 00:11:01,600] 但是这些我认为这都是一个很好
[00:11:01,600 -> 00:11:02,840] 为我后面
[00:11:02,840 -> 00:11:05,799] 在来到美国以后把重心转向技术
[00:11:05,799 -> 00:11:08,600] 其实是一个非常有用的铺垫
[00:11:08,600 -> 00:11:09,200] 对
[00:11:09,200 -> 00:11:13,799] 你为什么来了美国和为什么来了美国以后重心转向技术了
[00:11:13,799 -> 00:11:14,200] 对
[00:11:14,200 -> 00:11:19,000] 因为来美国的一个因素就是因为我想要认真的开店
[00:11:19,000 -> 00:11:24,399] 因为在国内其实我们做贸易还是比较顺风顺水的
[00:11:24,399 -> 00:11:26,200] 包括我们贸易公司现在还在嘛在国内还算做贸易还是比较顺风顺水的包括我们贸易公司现在还在嘛
[00:11:26,200 -> 00:11:27,840] 在国内还算比较知名的
[00:11:27,840 -> 00:11:29,240] 但是呢
[00:11:29,240 -> 00:11:35,960] 开店那个时候我觉得我是16年正式到美国是16年3月份嘛
[00:11:35,960 -> 00:11:37,759] 在那之前
[00:11:37,759 -> 00:11:38,559] 我觉得在美
[00:11:38,559 -> 00:11:43,039] 所以那个时候我觉得在国内开店消费者不够那么的
[00:11:43,039 -> 00:11:44,240] appreciate这件事情
[00:11:44,240 -> 00:11:46,080] 对就是说你周围的消费者
[00:11:46,080 -> 00:11:47,519] 可能还是打卡的居多
[00:11:47,519 -> 00:11:49,720] 或者说你的regular客户并没有那么多
[00:11:49,720 -> 00:11:52,000] 就是你不是那么的
[00:11:52,000 -> 00:11:54,919] 当时我有机会能够来到美国
[00:11:54,919 -> 00:11:56,000] 所以我当时就觉得
[00:11:56,320 -> 00:11:58,600] 我要去到美国一个非常
[00:11:59,000 -> 00:12:01,000] 以咖啡闻名的城市
[00:12:01,000 -> 00:12:02,159] 在那里去开个店
[00:12:02,159 -> 00:12:04,159] 所以当时我做了很多的搜索以后
[00:12:04,159 -> 00:12:05,279] 就找到波特兰
[00:12:05,279 -> 00:12:06,200] 所以我先去的波特兰
[00:12:06,200 -> 00:12:07,159] 因为波特兰是
[00:12:07,200 -> 00:12:08,279] 因为西雅图很有名
[00:12:08,279 -> 00:12:10,279] 是因为星巴克大连锁很有名
[00:12:10,279 -> 00:12:11,759] 但波特兰有名是因为
[00:12:11,799 -> 00:12:14,840] 他那有上百个小的咖啡饮料
[00:12:14,840 -> 00:12:16,559] 这种小型的这种咖啡
[00:12:16,600 -> 00:12:17,399] 这种烘焙店
[00:12:17,399 -> 00:12:18,840] 是比较精品的店
[00:12:18,840 -> 00:12:20,240] 所以那里的氛围会更好
[00:12:20,240 -> 00:12:24,440] 更适合我对咖啡记忆的这种探索
[00:12:24,480 -> 00:12:24,759] 对
[00:12:24,759 -> 00:12:26,559] 所以我我就毫不犹豫的
[00:12:26,559 -> 00:12:28,360] 我当时在美国也没有任何朋友
[00:12:28,360 -> 00:12:30,360] 就直接去了波特兰
[00:12:30,360 -> 00:12:31,840] 然后去了波特兰以后
[00:12:32,000 -> 00:12:34,360] 先是上语言学校
[00:12:34,360 -> 00:12:36,480] 然后在同时就立马找工作
[00:12:36,519 -> 00:12:39,000] 因为你在美国开店跟在国内开店
[00:12:39,000 -> 00:12:40,720] 完全是不同的cultural
[00:12:40,720 -> 00:12:41,840] 你的background是不一样的
[00:12:41,840 -> 00:12:42,960] 背景是不同的
[00:12:43,000 -> 00:12:45,360] 所以我是办不同类型的咖啡店打工
[00:12:45,399 -> 00:12:49,200] 有这种非常传统的美国的那种 mom pop 店
[00:12:49,200 -> 00:12:52,279] 就那种店可能主要是以做卖吃的为主
[00:12:52,279 -> 00:12:53,559] 就在那种店打工
[00:12:53,559 -> 00:12:57,000] 我一天可能说要做100个sandwich和burrito
[00:12:57,000 -> 00:12:59,559] 咖啡可能只能做到五六十杯
[00:12:59,559 -> 00:13:00,039] 对吧
[00:13:00,039 -> 00:13:01,440] 这是一种style
[00:13:01,440 -> 00:13:02,840] 然后还有一种精品咖啡店
[00:13:02,840 -> 00:13:03,960] 我也在精品咖啡店打工
[00:13:03,960 -> 00:13:06,639] 那精品咖啡店就属于一天可能做两三百杯咖啡这是一种style然后还有一种精品咖啡店我也在精品咖啡店打工那精品咖啡店就属于一天可能做两三百杯咖啡
[00:13:06,799 -> 00:13:08,399] 这是一种风格的
[00:13:08,399 -> 00:13:11,399] 然后也去了那种Drives through那种店
[00:13:11,399 -> 00:13:15,440] 那种咖啡店也是对品质要求不是那么高
[00:13:15,440 -> 00:13:17,200] 但是它会对你的速度
[00:13:17,200 -> 00:13:19,000] 各方面其实要求会比较高
[00:13:19,000 -> 00:13:19,360] 对
[00:13:19,360 -> 00:13:21,919] 所以我就开始去不同的类型的咖啡店打工
[00:13:21,919 -> 00:13:25,679] 去学习在美国去从业咖啡有这么一个好事
[00:13:25,679 -> 00:13:27,200] 就是你很容易找到工作
[00:13:27,200 -> 00:13:30,240] 对咖啡式的只要你没有语言的问题的话
[00:13:30,240 -> 00:13:32,600] 我觉得走遍全球都不怕
[00:13:32,600 -> 00:13:34,200] 有道理
[00:13:34,200 -> 00:13:35,879] 然后打打打了工以后呢
[00:13:35,879 -> 00:13:37,679] 打工以后然后就是
[00:13:37,679 -> 00:13:41,279] 当我在一家店做的时间大概我一年多吧
[00:13:41,279 -> 00:13:43,399] 然后就开始准备筹备自己开店
[00:13:43,399 -> 00:13:46,480] 因为我觉得这个时间差不多了
[00:13:46,480 -> 00:13:49,720] 我也了解了美国运营的这一套
[00:13:49,720 -> 00:13:50,559] 如何招人
[00:13:50,559 -> 00:13:54,039] 如何跟咖啡这个行业圈子的人打交道
[00:13:54,039 -> 00:13:55,440] 所以就开始筹备开店
[00:13:55,600 -> 00:14:00,600] 同期也开始接触在美国打咖啡比赛
[00:14:00,799 -> 00:14:01,080] 对
[00:14:01,080 -> 00:14:02,639] 我是17年开始在打
[00:14:02,639 -> 00:14:04,399] 在美国开始打第一场比赛
[00:14:04,519 -> 00:14:08,240] 在那个17年也是开始去找门面找店铺
[00:14:08,240 -> 00:14:10,799] 对因为我第一家店开起来是2018年嘛
[00:14:10,799 -> 00:14:11,600] 对
[00:14:11,600 -> 00:14:15,600] 所以我第一场比赛也是在美国打比赛应该也是17年
[00:14:15,600 -> 00:14:18,080] 17年可能中旬吧左右
[00:14:18,080 -> 00:14:20,639] 那是你第一次打比赛呢还是第一次在美国打比赛
[00:14:20,639 -> 00:14:22,320] 第一次在美国打比赛
