[00:00:00,000 -> 00:00:01,500] Hello,大家好
[00:00:01,500 -> 00:00:03,500] 今天是2月14号
[00:07:15,279 -> 00:07:16,980] 有的時候你下意識的
[00:07:16,980 -> 00:07:19,319] 就很難去接受對方的觀點
[00:07:19,319 -> 00:07:20,519] 我這可以舉個例子
[00:07:20,519 -> 00:07:21,459] 就是兩個觀點
[00:07:21,459 -> 00:07:24,860] 大家看看你覺得哪個觀點講得夠道理
[00:07:24,860 -> 00:07:25,439] 觀點A居民區哪個觀點講得夠道理
[00:07:25,439 -> 00:07:26,879] 觀點A
[00:07:26,879 -> 00:07:29,180] 居民區不應該放通信基站
[00:07:29,180 -> 00:07:31,339] 因為通信基站會產生輻射
[00:07:31,339 -> 00:07:33,480] 輻射對身體是有害的
[00:07:33,480 -> 00:07:34,519] 觀點B
[00:07:34,519 -> 00:07:37,019] 是其實這個通信基站產生的
[00:07:37,019 -> 00:07:38,879] 它分橫波和豎波
[00:07:38,879 -> 00:07:40,519] 然後只有橫波對人體有害
[00:07:40,519 -> 00:07:42,220] 豎波對人體沒有害
[00:07:42,220 -> 00:07:44,699] 所以說你這個東西放到小區裡邊
[00:07:44,699 -> 00:07:46,839] 就完全没有问题
[00:07:46,839 -> 00:07:49,079] 大家想一下你同意哪个观点
[00:07:49,079 -> 00:07:51,000] 观点一听起来就很伪科学
[00:07:51,000 -> 00:07:52,920] 观点二听起来就挺科学的
[00:07:52,920 -> 00:07:55,160] 但是我要告诉大家这两个都是错的
[00:07:55,160 -> 00:07:57,480] 而且如果你相信观点二的话
[00:07:57,480 -> 00:08:00,279] 其实你和相信观点一的人没有什么区别
[00:08:00,279 -> 00:08:01,680] 我当时就是这样子的
[00:08:01,680 -> 00:08:05,939] 我自己的认知就是小区里面放一个通信基站對人體的健康沒什麼壞處
[00:08:05,939 -> 00:08:07,839] 我就選擇相信了觀點二
[00:08:07,839 -> 00:08:10,639] 其實觀點二的事實也是偽造出來的
[00:08:10,639 -> 00:08:12,139] 就是完全也是假的東西
[00:08:12,139 -> 00:08:13,980] 哪怕你選擇相信科學
[00:08:13,980 -> 00:08:15,740] 就是你有了一個科學的方法
[00:08:15,740 -> 00:08:18,480] 在這個時候你也可能被你的潛意識帶著走
[00:08:18,480 -> 00:08:20,579] 去選擇直接相信一個
[00:08:20,579 -> 00:08:22,519] 跟你的認知相符的事情
[00:08:22,519 -> 00:08:24,180] 而忽略了背後的事實
[00:08:24,180 -> 00:08:27,300] 更不用說這個結論本身或者說你的認知相符的事情而忽略了背後的事實那更不用說這個結論本身
[00:08:27,300 -> 00:08:29,040] 或者說這個認知本身
[00:08:29,040 -> 00:08:31,379] 跟你的喜怒哀樂是相關的
[00:08:31,379 -> 00:08:32,740] 那你就更難改變了
[00:08:32,740 -> 00:08:34,480] 所以說我就想跟大家講一下
[00:08:34,480 -> 00:08:40,080] 你要想真正的去了解自己的認知
[00:08:40,080 -> 00:08:41,519] 並且願意改變自己的認知
[00:08:41,519 -> 00:08:42,720] 是一件很難的事情
[00:08:42,720 -> 00:08:46,399] 好 假設我們認識到了這件事情我們願意去改變自己的認知是一件很難的事情好 假設我們認識到了這件事情
[00:08:46,399 -> 00:08:49,200] 我們願意去改變自己的認知
[00:08:49,200 -> 00:08:51,440] 那你跟別人提問的時候
[00:08:51,440 -> 00:08:52,840] 還會遇到一個危險
[00:08:52,840 -> 00:08:55,580] 就是你的認知跟別人差得太大了
[00:08:55,580 -> 00:08:56,840] 所以說你問的很多東西
[00:08:56,840 -> 00:08:58,580] 在別人看來就是
[00:08:58,580 -> 00:08:59,879] come on fundamental的東西
[00:08:59,879 -> 00:09:01,620] 就是你問我這個東西
[00:09:01,620 -> 00:09:02,679] 我的認知這麼高
[00:09:02,679 -> 00:09:05,700] 你去問我一個隨隨便便就知道的事情
[00:09:05,700 -> 00:09:08,000] 那我幹嘛我要花時間告訴你
[00:09:08,000 -> 00:09:12,299] 所以我覺得就是當你和你被提問的人
[00:09:12,299 -> 00:09:14,200] 你們認知差距小的時候
[00:09:14,200 -> 00:09:17,899] 你應該去把你們的認知差距給找出來
[00:09:17,899 -> 00:09:21,200] 然後去搞清楚到底為什麼會形成認知差距
[00:09:21,200 -> 00:09:22,500] 大家互相學習
[00:09:22,500 -> 00:09:24,299] 如果認知差距大的話
[00:09:24,299 -> 00:09:26,679] 你就直接学就行了
[00:09:26,679 -> 00:09:29,080] 就是我觉得你要首先上手
[00:09:29,080 -> 00:09:32,679] 你要首先的去穿进别人的鞋里边
[00:09:32,679 -> 00:09:34,679] 你能感受到别人感受到一些事情
[00:09:34,679 -> 00:09:36,679] 才不会问那些特别傻的问题
[00:09:36,679 -> 00:09:38,679] 这就是为什么很多这个实习生吧
[00:09:38,679 -> 00:09:41,179] 比如说或者说是初入职场的年轻人
[00:09:41,179 -> 00:09:44,179] 他会说这个公司的这个事情不make sense
[00:09:44,179 -> 00:09:46,299] 那个东西不make sense特别喜欢给領導 給大佬提建議
[00:09:46,299 -> 00:09:48,440] 然後有的時候這種建議都提得特別傻
[00:09:48,440 -> 00:09:51,340] 為什麼 因為他對這個事情還不夠了解
[00:09:51,340 -> 00:09:53,139] 大家的認知差距太大了
[00:09:53,139 -> 00:09:54,980] 他的所有很多的鮮豔認知
[00:09:54,980 -> 00:09:56,779] 就是這個人下面這個人的
[00:09:56,779 -> 00:09:58,580] 很多鮮豔認知都是錯的
[00:09:58,580 -> 00:10:00,419] 那你在這個沒有意識到自己
[00:10:00,419 -> 00:10:02,220] 你都不知道自己錯在哪了
[00:10:02,220 -> 00:10:04,220] 在這種情況下你提的這個建議
[00:10:04,220 -> 00:10:05,580] 在別人看起來就非常的rid這種情況下你提的這個建議
[00:10:05,580 -> 00:10:07,940] 在別人看起來就非常的 ridiculous 是吧
[00:10:07,940 -> 00:10:11,720] 所以說我建議如果說你的認知差距特別特別大的話
[00:10:11,720 -> 00:10:13,279] 你應該先學習
[00:10:13,279 -> 00:10:16,360] 比如說有一個人如果教給我怎麼樣子去做視頻
[00:10:16,360 -> 00:10:17,960] 怎麼樣子去做剪輯
[00:10:17,960 -> 00:10:20,720] 那我覺得我其實在這方面小白個
[00:10:20,720 -> 00:10:23,100] 那我就直接去學就好了 我直接聽就好了
[00:10:23,100 -> 00:10:24,960] 我按照他說的方法做幾次
[00:10:24,960 -> 00:10:25,000] 然後我再去進行評價和在基礎之上解決問題小白一个那我就直接去学就好了我直接听就好了我按照他说的方法做几次
[00:10:25,000 -> 00:10:26,759] 然后我再去进行评价
[00:10:26,759 -> 00:10:28,559] 和在基础之上再问问题
[00:10:28,559 -> 00:10:30,559] 所以这也算是给我们自己的一个提醒吧
[00:10:30,559 -> 00:10:32,200] 认知差距过大的情况下
[00:10:32,200 -> 00:10:35,100] 你的问题应该是请教我怎么做人
[00:10:35,100 -> 00:10:36,000] 而不是说
[00:10:36,000 -> 00:10:37,759] 为什么你跟我的结论不一样
[00:10:37,759 -> 00:10:39,059] 你来听听我的想法是什么
[00:10:39,059 -> 00:10:40,720] 因为很多时候你的想法
[00:10:40,720 -> 00:10:41,600] doesn't mean anything
[00:10:41,600 -> 00:10:42,919] 就是你的想法肯定是错的
[00:10:42,919 -> 00:10:43,759] 比起那个人来说
[00:10:43,759 -> 00:10:44,720] 那好
[00:10:44,720 -> 00:10:46,679] 这个说的是也稍稍有点抽象
[00:10:46,679 -> 00:10:48,320] 我们就再更具体一点
[00:10:48,320 -> 00:10:49,440] 就是我们说一下
[00:10:49,440 -> 00:10:50,799] 我说一下在Clubhouse上
[00:10:50,799 -> 00:10:53,440] 我遇到的几个不是特别好的问题
[00:10:53,440 -> 00:10:55,279] 和怎么样子把它问得更好一点
[00:10:55,279 -> 00:10:57,720] 其实这是一个我在Facebook同事
[00:10:57,720 -> 00:10:58,279] 一成同学
[00:10:58,279 -> 00:11:00,120] 我们当时在一个房间里边
[00:11:00,120 -> 00:11:02,120] 他听到了很多问题总结了东西
[00:11:02,120 -> 00:11:07,299] 就是当时问问题的那个人来说你好我现在是在東西就是當時問問題的那個人來說你好 我現在是在國內讀書的一個人
[00:11:07,299 -> 00:11:09,700] 然後我想這兒來美國讀Master
[00:11:09,700 -> 00:11:12,240] 然後之後想從事數據科學的工作
[00:11:12,240 -> 00:11:14,639] 你給我們這樣的那個現有什麼建議
[00:11:14,639 -> 00:11:16,840] 一純同學就說這個東西我們很難回答
[00:11:16,840 -> 00:11:18,279] 為什麼 兩個原因吧
[00:11:18,279 -> 00:11:20,279] 第一個我們對他的情況了解太少了
[00:11:20,279 -> 00:11:21,879] 就是比如說他家裡有礦
[00:11:21,879 -> 00:11:23,879] 那他可能去繼承那個礦更好 對吧
[00:11:23,879 -> 00:11:27,379] 這是一個極端的例子但是其他的就是他到底喜歡什麼
[00:11:27,379 -> 00:11:28,440] 擅長什麼
[00:11:28,440 -> 00:11:30,139] 他有多大的退路
[00:11:30,139 -> 00:11:32,379] 然後這件事情對他的回報是什麼
[00:11:32,379 -> 00:11:34,980] 他有沒有興趣在這裡邊走很遠等等等等
[00:11:34,980 -> 00:11:37,519] 沒有辦法給出一個很好的建議
[00:11:37,519 -> 00:11:39,320] 第二就是哪怕我們說了
[00:11:39,320 -> 00:11:41,019] 對他的意義也未必很大
[00:11:41,019 -> 00:11:43,919] 就是這件事情對他來說可能是很難去做的
[00:11:43,919 -> 00:11:49,000] 就是因為他自己有各種各樣的情況
[00:11:49,000 -> 00:11:50,879] 然後每個人的執行能力
[00:11:50,879 -> 00:11:52,879] 學習能力也會差很多
[00:11:52,879 -> 00:11:55,679] 大家聽了這個事情就覺得應該做一二三
[00:11:55,679 -> 00:11:57,480] 但是不會去真的做一二三
[00:11:57,480 -> 00:12:00,720] 這個東西講了幫助也不是特別大
[00:12:00,720 -> 00:12:04,419] 其實這就代表了一類非常典型的
[00:12:04,419 -> 00:12:05,399] 我覺得不好的问题
[00:12:05,399 -> 00:12:06,759] 回到我们刚才这个框架
[00:12:06,759 -> 00:12:09,600] 就是好的问题是要你能找出来两方面的
[00:12:09,600 -> 00:12:11,320] 认知差距并且弥补
[00:12:11,320 -> 00:12:12,879] 但是这个很personal的问题
[00:12:12,879 -> 00:12:14,399] 为什么我觉得不好呢
[00:12:14,399 -> 00:12:18,519] 因为你真正的认知差距是你自己本身
[00:12:18,519 -> 00:12:21,759] 但是我要想去了解你自己本身的话
[00:12:21,759 -> 00:12:23,559] 是一件非常非常难的事情
[00:12:23,559 -> 00:12:25,799] 你是最了解你自己本身的所以说你应该去获取知识然后根据你自己本身的話是一件非常非常難的事情你是最了解你自己本身的
[00:12:25,799 -> 00:12:27,399] 所以說你應該去獲取知識
[00:12:27,399 -> 00:12:29,440] 然後根據你自己本身的事情
[00:12:29,440 -> 00:12:32,200] 來做出一個personal的選擇
[00:12:32,200 -> 00:12:35,679] 而不是說讓別人給你一個很personal的選擇
[00:12:35,679 -> 00:12:38,039] 我聽到的好的問題是什麼樣子呢
[00:12:38,039 -> 00:12:40,879] 就是好的問題五花八門千奇百怪吧
[00:12:40,879 -> 00:12:43,679] 但是如果說一個比較有方法論
[00:12:43,679 -> 00:12:45,539] 可以循序漸進的這樣一個方式的話
[00:12:45,539 -> 00:12:48,779] 他們一般會去拋出一個結論
[00:12:48,779 -> 00:12:51,440] 就是說你對這件事情的認知是什麼
[00:12:51,440 -> 00:12:52,879] 我對這件事情的認知是什麼
[00:12:52,879 -> 00:12:54,179] 我們到底不一樣
[00:12:54,179 -> 00:12:55,480] 如果不一樣的話
[00:12:55,480 -> 00:12:56,419] 再對事實
[00:12:56,419 -> 00:13:00,019] 就是說我對這件事情的事實的了解是什麼
[00:13:00,019 -> 00:13:01,220] 然後我得到這個結論
[00:13:01,220 -> 00:13:04,120] 是基於以下的關鍵假設和關鍵認知
[00:13:04,120 -> 00:13:08,000] 我們想去看看這個認知到底你们同不同意
[00:13:08,000 -> 00:13:11,000] 如果说这其中有一个认知他们不同意的话
[00:13:11,000 -> 00:13:12,000] 我就会非常兴奋嘛
[00:13:12,000 -> 00:13:14,000] 就是我们终于找到了认知不一样
[00:13:14,000 -> 00:13:17,000] 然后我们再会去就这个认知本身去进行沟通
[00:13:17,000 -> 00:13:21,000] 我觉得这样的沟通起码对我来说就是很高效的
[00:13:21,000 -> 00:13:22,000] 讲了很长
[00:13:22,000 -> 00:13:25,159] 但是我觉得把它总结下来还是挺有意义的
[00:13:25,159 -> 00:13:26,879] 因为对我来说
[00:13:26,879 -> 00:13:30,919] 问问题是一个让我快速学习的一个很好的方式
[00:13:30,919 -> 00:13:34,200] 我希望这件事情也能给大家抛砖引玉
[00:13:34,200 -> 00:13:36,000] 欢迎大家也向我提问
[00:13:36,000 -> 00:13:39,159] 或者说你觉得有什么很好的提问籍的方式
[00:13:39,159 -> 00:13:41,120] 或者说你能提供一些例子
[00:13:41,120 -> 00:13:41,919] 什么是好的问题
[00:13:41,919 -> 00:13:42,559] 什么是不好的
[00:13:42,559 -> 00:13:44,200] 什么是你觉得好的问题
[00:13:44,200 -> 00:13:45,919] 什么是你觉得不好的问题
[00:13:45,960 -> 00:13:48,080] 欢迎在留言里边跟我讨论
[00:13:48,120 -> 00:13:49,279] 最后别忘了
[00:13:49,919 -> 00:13:51,440] 如果大家觉得
[00:13:51,480 -> 00:13:54,639] 克莱表小孙这个名字不尽人意
[00:13:54,679 -> 00:13:56,080] 尤其是可以帮我想一想
[00:13:56,080 -> 00:13:57,039] 克莱表叉叉
[00:13:57,039 -> 00:13:59,320] 这个叉叉应该说什么
[00:13:59,600 -> 00:14:00,679] 欢迎跟我提
