[00:00:00,000 -> 00:00:01,879] Hello大家好 欢迎回到课代表理正
[00:03:59,240 -> 00:04:00,599] 而不可能是一個現實
[00:04:00,599 -> 00:04:04,280] 就是這個世界不是這樣子去做的
[00:04:04,280 -> 00:04:09,120] 但是確實這是一個市場分配失效的一个很重要的原因
[00:04:09,120 -> 00:04:13,280] 就是如果你用绝对值而不是用比例的话
[00:04:13,280 -> 00:04:17,920] 你天生就会把每个人财富总额的这个不均衡
[00:04:17,920 -> 00:04:19,519] 给带入到这个系统里边
[00:04:19,519 -> 00:04:21,519] 所以说你的公平和效率就无法兼顾了
[00:04:21,519 -> 00:04:22,920] 如果你可以用比例的话
[00:04:22,920 -> 00:04:24,639] 那你公平和效率是可以兼顾的
[00:04:24,639 -> 00:04:25,680] 好 这是第一个问题
[00:04:25,680 -> 00:04:28,240] 第二个问题就是
[00:04:28,240 -> 00:04:31,120] 我们现在社会有很多的环保问题
[00:04:31,120 -> 00:04:33,399] 比如说我们的气候问题
[00:04:33,399 -> 00:04:33,759] 对吧
[00:04:33,759 -> 00:04:36,319] 就是我们消耗了大量的能源
[00:04:36,319 -> 00:04:38,639] 然后去排放了很多的温室气体
[00:04:38,639 -> 00:04:40,240] 最后导致我们全球变暖
[00:04:40,240 -> 00:04:41,959] 比如说我们的白色塑料
[00:04:41,959 -> 00:04:43,759] 塑料袋是非常难以分解的
[00:04:43,759 -> 00:04:45,120] 现在已经到了海洋里边
[00:04:45,120 -> 00:04:47,000] 甚至已经到了我们的食物链里边了
[00:04:47,000 -> 00:04:49,639] 它这个东西会一直存在在我们地球上
[00:04:49,639 -> 00:04:51,519] 而且它是一个纯粹人造的东西
[00:04:51,519 -> 00:04:54,600] 比如说我们现在会有各种各样的排放的污染
[00:04:54,600 -> 00:04:57,279] 包括这个能源会越来越少
[00:04:57,279 -> 00:04:59,199] 这里边的问题我觉得是什么呢
[00:04:59,199 -> 00:05:01,079] 就是能源定价的问题
[00:05:01,079 -> 00:05:03,480] 现在一升油应该是十几块钱吧
[00:05:03,480 -> 00:05:05,720] 但是我觉得这个价钱起起碼應該是100塊錢
[00:05:05,720 -> 00:05:06,759] 為什麼呢
[00:05:06,759 -> 00:05:11,800] 因為我們現在油價定的是開採成本
[00:05:11,800 -> 00:05:14,120] 就是如果你能花3塊錢把它開出來
[00:05:14,120 -> 00:05:15,480] 然後你能賣到4塊錢
[00:05:15,480 -> 00:05:16,839] 那你就賺30%
[00:05:16,839 -> 00:05:17,879] 如果你能賣到6塊錢
[00:05:17,879 -> 00:05:18,759] 那你就賺翻了
[00:05:18,759 -> 00:05:21,000] 所以說中東的那些國家
[00:05:21,000 -> 00:05:22,759] 他們有各種各樣的石油
[00:05:22,759 -> 00:05:23,879] 他們就會賺很多錢
[00:05:23,879 -> 00:05:25,720] 我們之前的山西很多煤老闆是吧
[00:05:25,720 -> 00:05:27,360] 他們可以開採煤礦
[00:05:27,360 -> 00:05:28,959] 他們就可以賺很多很多錢
[00:05:28,959 -> 00:05:33,879] 但是這個煤礦和石油都是這個世界幾十億年形成的
[00:05:33,879 -> 00:05:36,360] 就憑什麼你把它開採出來了
[00:05:36,360 -> 00:05:38,319] 然後你就能得到它的所有價值
[00:05:38,319 -> 00:05:42,240] 而且我們去定價的時候
[00:05:42,240 -> 00:05:45,519] 我們的需求是我們這一代人的需求來的
[00:05:45,519 -> 00:05:47,000] 就是我願意付多少錢買
[00:05:47,000 -> 00:05:48,199] 我只要比你的開採成本高
[00:05:48,199 -> 00:05:48,879] 我就可以買
[00:05:48,879 -> 00:05:51,120] 可是如果這個能源大家去想
[00:05:51,120 -> 00:05:53,399] 是為了我們接下來十幾代人
[00:05:53,399 -> 00:05:55,199] 幾百代人去使用的話
[00:05:55,199 -> 00:05:59,759] 那其實它的分配和它的需求量會是天量的
[00:05:59,759 -> 00:06:04,800] 然後它的供給量是遠遠跟不上這樣一個
[00:06:04,800 -> 00:06:06,399] 這麼長時間的需求的
[00:06:06,399 -> 00:06:09,839] 那在这种情况下它的定价机制就应该被重新考虑
[00:06:09,839 -> 00:06:12,639] 你起码不应该是谁能把它开采出来
[00:06:12,639 -> 00:06:14,000] 然后你就可以把它卖掉
[00:06:14,000 -> 00:06:15,519] 然后最后赚很多钱对吧
[00:06:15,519 -> 00:06:17,600] 你这里边收税可能也不是合适的
[00:06:17,600 -> 00:06:20,399] 就是你要有一个统筹的视角
[00:06:20,399 -> 00:06:21,680] 如果说你这样子的话
[00:06:21,680 -> 00:06:25,879] 就是当你的需求从一代人变成了十几代人
[00:06:25,879 -> 00:06:27,120] 上百代人的时候
[00:06:27,120 -> 00:06:28,519] 你的价格一定是
[00:06:28,519 -> 00:06:28,839] 对吧
[00:06:28,839 -> 00:06:32,240] 就是大家都知道市场的supply和demand curve
[00:06:32,240 -> 00:06:34,000] 你的价格一定是非常高的
[00:06:34,000 -> 00:06:36,720] 我觉得起码是现在的10倍 50倍 100倍
[00:06:36,720 -> 00:06:37,800] 在这种情况下
[00:06:37,800 -> 00:06:41,120] 其实我们会减少很多不必要的travel
[00:06:41,120 -> 00:06:42,360] 不必要的旅游
[00:06:42,360 -> 00:06:43,680] 就是我经常坐飞机
[00:06:43,680 -> 00:06:43,920] 是吧
[00:06:43,920 -> 00:06:44,720] 经常开车
[00:06:44,720 -> 00:06:47,300] 其实都是非常奢侈的行動
[00:06:47,300 -> 00:06:49,600] 我覺得很有可能三四代人以後
[00:06:49,600 -> 00:06:51,100] 在看我們現在的這個世界
[00:06:51,100 -> 00:06:52,300] 就會覺得非常ridiculous
[00:06:52,300 -> 00:06:55,000] 就是這些人在完全漫無目的地
[00:06:55,000 -> 00:06:57,800] 用我們幾十億年積累下來的這些汽油
[00:06:57,800 -> 00:06:59,600] 然後去開這麼遠
[00:06:59,600 -> 00:07:01,300] 每天去開一兩個小時的車
[00:07:01,300 -> 00:07:05,079] 就是為了 怎麼 就是为了怎么说
[00:07:05,079 -> 00:07:07,399] 得到一些一点点微不足道的好处
[00:07:07,519 -> 00:07:10,199] 我觉得就是因为这样子
[00:07:10,199 -> 00:07:12,680] 包括塑料袋为什么这么便宜
[00:07:12,680 -> 00:07:15,720] 为什么我们的这些可循环的这些东西
[00:07:15,759 -> 00:07:18,399] 它的性价比比塑料袋要高很多
[00:07:18,439 -> 00:07:19,800] 就是因为塑料袋太便宜了
[00:07:19,800 -> 00:07:20,920] 然后塑料袋太便宜的原因
[00:07:20,920 -> 00:07:23,000] 就是因为它是一个石油的副产品
[00:07:23,040 -> 00:07:24,480] 然后石油太便宜了
[00:07:24,480 -> 00:07:25,920] 所以导致塑料袋太便宜了如果塑料袋的便宜的原因就是因为它是一个石油的副产品然后石油太便宜了所以导致塑料袋太便宜了
[00:07:25,920 -> 00:07:28,240] 如果塑料袋的价格是100倍的话
[00:07:28,240 -> 00:07:30,879] 那其实我们大家也都在使用那些
[00:07:30,879 -> 00:07:33,240] 更可循环可再生的东西
[00:07:33,240 -> 00:07:36,920] 而不是用塑料袋这样一个一次性难分解的东西了
[00:07:36,920 -> 00:07:37,720] 好的
[00:07:37,720 -> 00:07:42,480] 以上的两点就是我觉得现在的市场有的很大很大的问题
[00:07:42,480 -> 00:07:45,040] 他们是一个非常基础的
[00:07:45,040 -> 00:07:47,279] 非常fundamental的难以解决的问题
[00:07:47,279 -> 00:07:49,160] 如果能解决到这个问题的话
[00:07:49,160 -> 00:07:53,480] 我觉得这个世界在市场分配的机制下会好很多
[00:07:53,480 -> 00:07:54,720] 很可惜做不到
[00:07:54,720 -> 00:07:55,879] 那也没什么办法
[00:07:55,879 -> 00:07:58,000] 我把这个两个问题抛出来
[00:07:58,000 -> 00:08:00,040] 如果说你有能力解决它的话
[00:08:00,040 -> 00:08:01,519] 那替人类谢谢你
[00:08:01,519 -> 00:08:03,439] 那这期视频就到这里
[00:08:03,439 -> 00:08:04,240] 我们下期再见
[00:08:04,240 -> 00:08:04,720] 拜拜
