[00:00:00,000 -> 00:00:03,000] Hello大家好,欢迎回到课代表地震,我是米诺课代表
[00:00:03,000 -> 00:00:07,000] 我们之前的视频吐槽过很多伪商业分析
[00:03:21,840 -> 00:03:23,960] 我们有一个词形容达到了一个好的推荐
[00:03:23,960 -> 00:03:25,159] 叫serendipity
[00:03:25,159 -> 00:03:27,159] 就是一个有缘分
[00:03:27,159 -> 00:03:29,759] 然后意料之外的惊喜的这样一个感觉
[00:03:29,759 -> 00:03:32,240] 尤其是当你的广告的inventory很好
[00:03:32,240 -> 00:03:34,680] 你的广告形式和内容形式很贴近的话
[00:03:34,680 -> 00:03:35,680] 点一个广告
[00:03:35,680 -> 00:03:37,280] 你的反感是不强的
[00:03:37,280 -> 00:03:39,120] 但是如果我们回过头来看
[00:03:39,120 -> 00:03:40,639] 比如说不管是Netflix
[00:03:40,639 -> 00:03:44,240] 还是Spotify这样的视频和音乐
[00:03:44,240 -> 00:03:46,360] 包括腾讯视频啊腾讯音乐啊等等
[00:03:46,360 -> 00:03:49,280] 这样的专业内容的这个场景
[00:03:49,280 -> 00:03:53,039] 用户在去看这个视频或者音乐的时候
[00:03:53,039 -> 00:03:54,919] 心中有一个明确的期待的
[00:03:54,919 -> 00:03:56,120] 我就是要看这个内容
[00:03:56,120 -> 00:03:58,199] 或者说我就是要看这种类型的内容
[00:03:58,199 -> 00:03:59,639] 我这个时候看一个广告
[00:03:59,639 -> 00:04:00,680] 这个广告做得再好
[00:04:00,680 -> 00:04:03,120] 我也知道你不是我想看的这种剧啊
[00:04:03,120 -> 00:04:05,080] 或者说是这种专业的音乐那你就没有办法在这个里边强行插入广告做得再好我也知道你不是我想看的这种剧啊或者说是这种专业的音乐
[00:04:05,080 -> 00:04:08,759] 那你就没有办法在这个里边强行插入广告
[00:04:08,759 -> 00:04:10,280] 且不影响用户体验
[00:04:10,280 -> 00:04:13,080] 你的视频内容其实大多数时候也不是极力推荐的
[00:04:13,080 -> 00:04:15,080] 就是Netflix推荐已经做得很好了
[00:04:15,080 -> 00:04:17,079] 大家在上面找句是一回事
[00:04:17,079 -> 00:04:21,000] 可是它discovery在这里面是很小的一部分
[00:04:21,000 -> 00:04:24,079] 绝大多数的时长还是在这个内容的consumption里面
[00:04:24,079 -> 00:04:28,000] 第二点就是你的广告和你的内容的调性完全不符
[00:04:28,000 -> 00:04:30,800] 质量完全不符和对用户的期待完全不符
[00:04:30,800 -> 00:04:34,720] 就让你的广告无论如何在这些地方都是一个负体验
[00:04:34,720 -> 00:04:38,079] 综合这两点吧,就是所有的这些PGC平台
[00:04:38,079 -> 00:04:41,600] 你想把它做成一个广告为主的模式,几乎是不可能的
[00:04:41,600 -> 00:04:46,079] 就是你必须是牺牲很大的代价�牺牲很大的用户体验代价
[00:04:46,079 -> 00:04:47,560] 那这个时候你的增长啊
[00:04:47,560 -> 00:04:49,600] 或者说你的竞争力又非常的存疑
[00:04:49,759 -> 00:04:51,600] 你很有可能做的事情呢
[00:04:51,600 -> 00:04:52,319] 就是这些大厂
[00:04:52,319 -> 00:04:53,959] 如果说看到了这样的一个机会
[00:04:54,040 -> 00:04:55,319] 他可能会烧很多钱
[00:04:55,519 -> 00:04:57,160] 去把这个东西业务做起来
[00:04:57,399 -> 00:04:59,360] 希望未来可以通过卖广告赚钱的
[00:04:59,360 -> 00:05:00,240] 我现在就告诉你
[00:05:00,319 -> 00:05:01,920] 你未来卖广告是赚不了钱的
[00:05:01,959 -> 00:05:03,040] 刚才说的这条理由
[00:05:03,040 -> 00:05:04,319] 不知道有没有说服大家
[00:05:04,399 -> 00:05:06,519] 但是我觉得可以肯定的是
[00:05:06,519 -> 00:05:09,519] 如果你想去做一个PCG内容
[00:05:09,519 -> 00:05:11,000] 卖广告的这样的一个业务
[00:05:11,000 -> 00:05:13,319] 没有把用户在你这个平台的期待
[00:05:13,319 -> 00:05:15,920] 和广告到底能不能满足用户的期待
[00:05:15,920 -> 00:05:17,720] 这件事情去认真考虑的话
[00:05:17,720 -> 00:05:19,519] 那这个东西是做不成的
[00:05:19,519 -> 00:05:22,600] 大家也看到了我在说刚才说的这些东西的时候
[00:05:22,600 -> 00:05:24,199] 没有做所谓的data-driven
[00:05:24,199 -> 00:05:26,839] 甚至没有做data informed的一个debate
[00:05:26,839 -> 00:05:28,680] 我觉得什么时候data是有用的呢
[00:05:28,680 -> 00:05:31,000] 当你能告诉我另外一个逻辑
[00:05:31,000 -> 00:05:33,399] 让我对我自己的这个逻辑产生怀疑
[00:05:33,399 -> 00:05:35,839] 然后我们觉得我们两个都不知道谁对谁错
[00:05:35,839 -> 00:05:37,240] 我再去找数据是有益的
[00:05:37,240 -> 00:05:40,360] 不然如果你没有办法拿出来一个对等的逻辑的情况下
[00:05:40,360 -> 00:05:42,079] 我觉得甚至数据都不需要找
[00:05:42,079 -> 00:05:43,879] 我觉得我们在座的很多数据科学家
[00:05:43,879 -> 00:05:47,000] 也应该多做一些这种基于用户理解
[00:05:47,000 -> 00:05:48,000] 业务理解 商业理解
[00:05:48,000 -> 00:05:50,000] 包括基于一些原理的思考
[00:05:50,000 -> 00:05:53,000] 然后再去在那些关键点去找数据
[00:05:53,000 -> 00:05:55,000] 这样可能会更加的有效率
[00:05:55,000 -> 00:05:58,000] 好的 希望这次的一个例子和探讨
[00:05:58,000 -> 00:05:59,000] 对大家是有用的
[00:05:59,000 -> 00:06:03,000] 也希望大家enjoy后面的这个view
[00:06:03,000 -> 00:06:05,000] 我们这期就到这里 下期再见 拜拜
