[00:00:00,000 -> 00:00:02,200] 利昂要退休了,退休两年
[00:00:02,200 -> 00:00:03,919] 是,为什么退休两年呢?
[00:00:03,919 -> 00:00:05,480] 收支加息本身是错的呢
[00:01:46,200 -> 00:01:47,200] 你有這個option
[00:01:47,200 -> 00:01:49,000] 我不覺得我有這個option
[00:01:49,000 -> 00:01:51,900] 其實你也可以有這個option
[00:01:51,900 -> 00:01:55,099] 就像很多你看歐美的學生們
[00:01:55,099 -> 00:01:57,700] 大學畢業一無所有
[00:01:57,700 -> 00:01:58,799] 沒有不重要
[00:01:58,799 -> 00:02:01,099] 依然可以有一兩年的gap year
[00:02:01,099 -> 00:02:03,700] 出去去背包去旅行歐洲
[00:02:03,700 -> 00:02:04,700] 去探索世界
[00:02:04,700 -> 00:02:06,040] 去學習不同的文化
[00:02:06,239 -> 00:02:08,639] 去跟不同的國家的人交朋友
[00:02:08,639 -> 00:02:11,439] 去知道這個世界真實本質的樣子是什麼
[00:02:11,680 -> 00:02:12,800] 其實都有這個選擇
[00:02:12,840 -> 00:02:16,000] 我覺得那可能我不是說我
[00:02:16,400 -> 00:02:17,639] 沒有辦法做這個選擇
[00:02:17,639 -> 00:02:20,120] 我當然可以今天就不工作
[00:02:20,120 -> 00:02:21,719] 然後開始去旅遊
[00:02:21,759 -> 00:02:23,039] 背著書包旅遊世界
[00:02:23,240 -> 00:02:24,360] 但是我沒有這麼做
[00:02:24,360 -> 00:02:25,900] 可能是我的心裡裡會告訴我
[00:02:25,900 -> 00:02:27,400] 這是一個不負責任的決定
[00:02:27,400 -> 00:02:31,000] 就是會對我未來造成很多不好影響的決定
[00:02:31,599 -> 00:02:34,599] 這是一個真的是很不容易的決定
[00:02:34,599 -> 00:02:35,400] 首先說
[00:02:35,400 -> 00:02:37,500] 那麼你說到兩個點
[00:02:37,500 -> 00:02:39,599] 就是這是一個不負責任的
[00:02:39,599 -> 00:02:45,900] 這是就是說是不是外部的環境給你帶來的一種壓力
[00:02:45,900 -> 00:02:48,300] 以及對未來的影響
[00:02:48,300 -> 00:02:53,900] 其實你會去想究竟你未來的人生的實踐的意義是什麼
[00:02:53,900 -> 00:02:56,599] 是為了有更多的職業上的發展
[00:02:56,599 -> 00:02:57,800] 賺更多的錢嗎
[00:02:57,800 -> 00:03:00,500] 難道這是你認為人生的最終目標嗎
[00:03:00,500 -> 00:03:01,400] 這倒不是嗎
[00:03:01,400 -> 00:03:02,900] 好呀
[00:03:02,900 -> 00:03:04,300] 聽起來不是哦
[00:03:04,300 -> 00:03:06,000] 但是好那不是嗎?好呀,聽起來不是喔但是,好
[00:03:06,000 -> 00:03:08,000] 我其實就是
[00:03:08,000 -> 00:03:10,000] 聽說你有這樣一個選擇的時候呢
[00:03:10,000 -> 00:03:12,000] 然後我也跟你交流過
[00:03:12,000 -> 00:03:14,000] 我其實是知道就是
[00:03:14,000 -> 00:03:17,000] 第一,這件事情我從來沒有想過
[00:03:17,000 -> 00:03:19,000] 然後你的這個決定
[00:03:19,000 -> 00:03:21,000] 是一個深思熟慮的決定
[00:03:21,000 -> 00:03:23,000] 然後這個深思熟慮的決定
[00:03:23,000 -> 00:03:26,919] 底下是有很多思考在支撐著的
[00:03:26,919 -> 00:03:28,599] 就在你視頻開始的時候
[00:03:28,599 -> 00:03:29,800] 跟我們介紹的是吧
[00:03:29,800 -> 00:03:33,680] 關於就光我想聽到的是教育
[00:03:33,680 -> 00:03:34,800] 旅行
[00:03:34,800 -> 00:03:36,080] 人生的意義
[00:03:36,080 -> 00:03:36,800] 職業
[00:03:36,800 -> 00:03:37,400] 財富
[00:03:37,400 -> 00:03:39,520] 就起碼有這麼五個點
[00:03:39,520 -> 00:03:41,960] 就是你要都想通想透了以後
[00:03:41,960 -> 00:03:43,479] 才有可能去認為
[00:03:43,479 -> 00:03:45,000] 你現在做的這樣一個決定
[00:03:45,000 -> 00:03:48,000] 可能是一個好的決定或者是一個make sense的決定
[00:03:48,000 -> 00:03:50,400] 就對我來說我只能去用思考
[00:03:50,400 -> 00:03:51,199] 是啊是啊
[00:03:51,199 -> 00:03:53,400] 其實你看咱們從最根本的
[00:03:53,400 -> 00:03:57,599] 我們究竟去用人生有限的時間去拿它來做些什麼事
[00:03:57,599 -> 00:04:00,599] 就像喬布斯說的對他來說最重要的一刻
[00:04:00,599 -> 00:04:04,500] 人生的一刻就是意識到我們自己會面臨死亡
[00:04:04,500 -> 00:04:05,740] 也沒有太多的时间
[00:04:05,740 -> 00:04:06,300] 其实呢
[00:04:06,300 -> 00:04:07,900] 我们也他就说到
[00:04:07,900 -> 00:04:09,099] you have nothing to lose
[00:04:09,099 -> 00:04:10,500] 我们没有什么值得输的
[00:04:10,500 -> 00:04:12,599] 也不会没有什么需要担心的
[00:04:12,599 -> 00:04:15,699] 那么那人生的时间究竟用来做哪些事
[00:04:15,699 -> 00:04:17,660] 做哪些有意义的事情
[00:04:17,660 -> 00:04:21,540] 而这个意义是一个我们每个人自己去赋予的
[00:04:21,540 -> 00:04:24,740] 而不是说等待着从小的时候
[00:04:24,740 -> 00:04:26,139] 学校给你赋予的父母赋予的社会赋予的 而不是说等待着从小的时候学校给你赋予的
[00:04:26,399 -> 00:04:30,240] 父母赋予的 社会赋予的 或者是公司赋予的
[00:04:30,500 -> 00:04:33,060] 所以这是一个值得思考的事情
[00:04:33,560 -> 00:04:36,379] 你经历过这个moment
[00:04:36,899 -> 00:04:37,399] 是
[00:04:38,180 -> 00:04:40,480] 我经历过这个moment 然后呢这也是
[00:04:40,740 -> 00:04:43,800] 当时读了几本书 其中呢就说我们
[00:04:44,060 -> 00:04:45,879] 从长大的过程中
[00:04:46,000 -> 00:04:47,279] 我们一直在玩游戏
[00:04:47,839 -> 00:04:48,839] 在学校的时候
[00:04:49,040 -> 00:04:51,079] 玩的就是一种学校的游戏
[00:04:51,079 -> 00:04:53,240] 比如说就在比谁的成绩好
[00:04:53,240 -> 00:04:55,680] 然后或者是有一些同学玩的
[00:04:55,680 -> 00:04:57,720] 就是谁更受欢迎
[00:04:57,759 -> 00:05:00,560] 玩的是谁更受欢迎的游戏
[00:05:00,560 -> 00:05:01,720] 随着学校毕业了
[00:05:02,000 -> 00:05:03,439] 大家往往从找工作
[00:05:03,439 -> 00:05:04,959] 开始不断的工作升职
[00:05:04,959 -> 00:05:06,439] 玩的就是金钱的游戏
[00:05:06,439 -> 00:05:08,439] 比的是谁赚的钱多
[00:05:08,439 -> 00:05:12,519] 然后从金钱游戏又会升级到社会地位的游戏
[00:05:12,519 -> 00:05:14,199] 看谁的社会地位高
[00:05:14,199 -> 00:05:15,759] 看谁买的房子多
[00:05:15,759 -> 00:05:16,920] 买的车好
[00:05:16,920 -> 00:05:23,519] 这一系列游戏其实也都是由社会或者是外部去赋予的一个规则
[00:05:23,519 -> 00:05:27,279] 其实往往这种游�遊戲也像是一種多人遊戲
[00:05:27,279 -> 00:05:29,240] 它比起單機遊戲來說
[00:05:29,240 -> 00:05:31,639] 它更像是一場多人遊戲
[00:05:31,639 -> 00:05:33,600] 你更你在意的不是你贏
[00:05:33,600 -> 00:05:35,079] 而是你贏過其他人
[00:05:35,079 -> 00:05:35,680] 對
[00:05:36,040 -> 00:05:36,399] 對
[00:05:36,399 -> 00:05:38,480] 就是如果說我是在一個小城市的話
[00:05:38,480 -> 00:05:39,839] 我可能身邊人就有錢
[00:05:39,839 -> 00:05:41,319] 然後當然就
[00:05:41,319 -> 00:05:43,399] 而且它好像是一個無止境的
[00:05:43,399 -> 00:05:46,399] 是它是一個無止境的遊戲也玩无止境的游戏也玩不完
[00:05:46,399 -> 00:05:49,800] 然后最终可能玩完了我们的人生的时间都耗尽了
[00:05:49,800 -> 00:05:52,480] 发现我为什么也一直玩这个游戏
[00:05:52,480 -> 00:05:54,360] 对
[00:05:54,360 -> 00:05:56,439] 所以这是从我们意识到
[00:05:56,439 -> 00:05:59,240] 其实我们人生的每个阶段都是在玩一些游戏
[00:05:59,240 -> 00:06:03,120] 那么我们怎么去选择我们究竟想该玩什么游戏
[00:06:03,120 -> 00:06:05,480] 能不能自己创造出一個遊戲來去玩
[00:06:05,920 -> 00:06:08,000] 這是找到那個人生的目的嗎
[00:06:08,480 -> 00:06:09,720] 是去思考
[00:06:09,720 -> 00:06:13,279] 其實人生的目的每一個這是一個很很深刻的話題
[00:06:13,279 -> 00:06:17,759] 咱們每一個人也都是在進行一些初期的思考
[00:06:17,879 -> 00:06:21,519] 這個目的其實在不同的階段也是會不一樣的
[00:06:21,519 -> 00:06:23,319] 隨著我們的年齡不同
[00:06:23,319 -> 00:06:24,639] 隨著我們的生活狀態
[00:06:24,639 -> 00:06:26,560] 家庭的结构不同
[00:06:26,560 -> 00:06:28,279] 也是会不断的变化的
[00:06:28,279 -> 00:06:29,040] 好
[00:06:29,040 -> 00:06:33,279] 我觉得我们这个视频可能没有办法一起聊这么深
[00:06:33,279 -> 00:06:34,759] 我们分成上下两期
[00:06:34,759 -> 00:06:37,040] 第一期我想听一下
[00:06:37,040 -> 00:06:41,000] 你对 multiple fire 的完整的规划
[00:06:41,000 -> 00:06:42,120] 打算做什么
[00:06:42,120 -> 00:06:44,399] 然后你是准备了什么
[00:06:44,399 -> 00:06:47,560] 为什么这个东西对你的 career或者 income 什么没有产生那么大的影响完整的規劃打算做什麼然後你是準備了什麼為什麼這個東西對你的career或者income
[00:06:47,560 -> 00:06:49,120] 什麼沒有產生那麼大的影響
[00:06:49,120 -> 00:06:51,079] 然後第二期呢
[00:06:51,079 -> 00:06:53,279] 我想聽一下你底層的這些思考
[00:06:53,279 -> 00:06:55,439] 我覺得這幾個話題都非常的重要
[00:06:55,439 -> 00:06:57,079] 然後我想聽一下
[00:06:57,079 -> 00:06:58,279] 哪怕很簡單
[00:06:58,279 -> 00:07:01,560] 因為我知道可能你也會準備給大家去
[00:07:01,560 -> 00:07:03,120] 就是分享一些類似的內容
[00:07:03,120 -> 00:07:03,519] 對吧
[00:07:03,519 -> 00:07:04,879] 就是你有一個公眾號
[00:07:04,879 -> 00:07:06,480] 那個愛旅行的自從政
[00:07:06,480 -> 00:07:07,600] 會打到屏幕上
[00:07:07,600 -> 00:07:09,360] 然後你們又有一個新的網站
[00:07:09,360 -> 00:07:09,680] 對吧
[00:07:09,680 -> 00:07:11,279] Multiple Fire的這個網站
[00:07:11,279 -> 00:07:13,680] 我覺得也都會打到網站上
[00:07:13,680 -> 00:07:16,000] 你應該是會分享你的旅程
[00:07:16,000 -> 00:07:17,439] 然後分享你的一些思考
[00:07:17,439 -> 00:07:19,920] 對這些東西大家都可以follow
[00:07:19,920 -> 00:07:21,920] 但是我今天起碼想
[00:07:21,920 -> 00:07:23,920] 第一聽聽你的這個Multiple Fire
[00:07:23,920 -> 00:07:26,079] 第二聽聽你背後的這些思考
[00:07:26,079 -> 00:07:28,279] 那就是看看大概是個什麼樣子
[00:07:28,279 -> 00:07:31,160] 其實說到為什麼叫multiple fire
[00:07:31,160 -> 00:07:33,800] 大家很多人都熟悉fire這個概念
[00:07:33,800 -> 00:07:34,079] 對吧
[00:07:34,079 -> 00:07:36,120] Financial independence and retire early
[00:07:36,120 -> 00:07:41,439] 然後有很多人很熱衷於計算我的財富要達到多少個數字
[00:07:41,439 -> 00:07:43,879] 然後在什麼樣的年齡達到這個數字
[00:07:43,879 -> 00:07:44,959] 我就可以retire
[00:07:44,959 -> 00:07:45,879] 我算過了
[00:07:45,879 -> 00:07:47,000] 就是多少歲
[00:07:47,000 -> 00:07:50,000] 就是蓋板的是200萬美元
[00:07:50,000 -> 00:07:55,279] 然後非蓋板的大概是1000萬到2000萬美元
[00:07:55,279 -> 00:07:58,040] 是然後在某一個年齡達到這個數字了
[00:07:58,040 -> 00:07:58,560] 對吧
[00:07:58,560 -> 00:07:59,360] 達到這個數字
[00:07:59,360 -> 00:08:02,720] 那未來的可能不管是45歲也好
[00:08:02,720 -> 00:08:04,120] 47歲也好
[00:08:04,120 -> 00:08:05,759] 達到這個数字以后
[00:08:05,759 -> 00:08:07,560] 那未来二三十年就是退休
[00:08:07,560 -> 00:08:12,439] 其实这种安排往往错过了一点
[00:08:12,439 -> 00:08:15,800] 就是说我们人生中很多可以做的事情
[00:08:15,800 -> 00:08:17,120] 其实是会过期的
[00:08:17,120 -> 00:08:18,759] 其实是有年龄限制的
[00:08:18,759 -> 00:08:21,319] 过了那个年龄
[00:08:21,319 -> 00:08:22,680] 再去有一些事情
[00:08:22,680 -> 00:08:24,639] 它也许就不再那么好玩了
[00:08:24,639 -> 00:08:26,259] 就像我那本书上读的
[00:08:26,259 -> 00:08:28,579] 你18岁去拉斯维加斯
[00:08:28,579 -> 00:08:31,019] 虽然可能住不起贵的酒店
[00:08:31,040 -> 00:08:32,779] 看不起很贵的表演
[00:08:32,779 -> 00:08:36,179] 但是一帮朋友们在那里也是非常的high
[00:08:36,200 -> 00:08:37,340] 非常的高兴
[00:08:37,340 -> 00:08:38,700] 等你到35岁
[00:08:38,720 -> 00:08:40,019] 你有更多的钱了
[00:08:40,039 -> 00:08:41,179] 住着高级的酒店
[00:08:41,179 -> 00:08:43,460] 看着看着这些高级的表演
[00:08:43,460 -> 00:08:47,600] 但其实那个快乐跟18岁并不比18岁的快乐更快乐
[00:08:47,600 -> 00:08:50,360] 那同样的55岁再去这些地方
[00:08:50,360 -> 00:08:53,279] 其实还是有一份不同的快乐
[00:08:53,279 -> 00:08:54,480] 但是不同的体验
[00:08:54,480 -> 00:08:55,240] 但是呢
[00:08:55,240 -> 00:08:58,480] 它跟那个年龄所能够体验的
[00:08:58,480 -> 00:08:59,759] 所能够经历的
[00:08:59,759 -> 00:09:00,840] 所能够感受的
[00:09:00,840 -> 00:09:03,159] 以及我们的身体从physically
[00:09:03,159 -> 00:09:06,080] 我们的身体能够做的事情也是不一样的
[00:09:06,080 -> 00:09:09,600] 所以呢 那与其去等这个fire的这个点
[00:09:09,600 -> 00:09:11,320] 我们另外一种思路就是
[00:09:11,320 -> 00:09:14,080] 我们可以人生啊fire很多次
[00:09:14,080 -> 00:09:16,799] 30到40岁可以退休两年
[00:09:16,799 -> 00:09:18,840] 40到50岁退休三年
[00:09:18,840 -> 00:09:20,720] 50到60岁退休五年
[00:09:20,720 -> 00:09:22,480] 可以是一个阶段性的
[00:09:22,480 -> 00:09:25,639] 这也是一种把人生的剩余的时间
[00:09:25,639 -> 00:09:30,320] 有策略有计划的去做一场整个整体规划
[00:09:30,960 -> 00:09:33,480] 你刚才说了那个以后我就变得非常sad
[00:09:33,480 -> 00:09:34,559] 因为我觉得对啊
[00:09:34,559 -> 00:09:37,039] 当50岁的时候在这体验很多东西的时候
[00:09:37,039 -> 00:09:38,159] 感觉很多都晚了
[00:09:38,159 -> 00:09:38,559] 是啊
[00:09:38,559 -> 00:09:39,919] 就是他可能有两个点吧
[00:09:39,919 -> 00:09:44,360] 第一个是我真的是想赚了200万美元能退休吗
[00:09:44,360 -> 00:09:45,559] 这个世界变化太快了
[00:09:45,559 -> 00:09:48,399] 對就說不定十年以後這兩百萬美元就不夠了
[00:09:48,399 -> 00:09:49,200] 對肯定不夠
[00:09:49,200 -> 00:09:51,600] 對然後我第二個就是
[00:09:52,000 -> 00:09:56,100] 就是錢的不光是不同的階段體驗不同
[00:09:56,100 -> 00:09:58,000] 他的marginal utility會降低
[00:09:58,000 -> 00:09:58,700] 真的是
[00:09:58,700 -> 00:10:00,799] 對18歲的時候給你一千塊錢
[00:10:00,799 -> 00:10:01,899] 你可以玩得很高興
[00:10:01,899 -> 00:10:04,299] 現在可能住個酒店吃個飯
[00:10:04,500 -> 00:10:05,320] 可能就沒有了
[00:10:06,120 -> 00:10:06,480] 對
[00:10:06,480 -> 00:10:11,799] 所以說可能那樣賺夠錢退休的想法
[00:10:11,799 -> 00:10:15,639] 就是一個不太優化的安排
[00:10:15,639 -> 00:10:16,399] 嗯
[00:10:16,399 -> 00:10:17,720] 那好
[00:10:17,720 -> 00:10:23,120] 我承認比起這個就是賺夠錢一次性退休
[00:10:23,120 -> 00:10:24,879] 可能我在年輕的時候退休
[00:10:24,879 -> 00:10:29,799] 這個賺夠錢一次性退休可能我在年輕的時候退休這個假設他LL是equal
[00:10:29,799 -> 00:10:30,279] 對吧
[00:10:30,279 -> 00:10:31,440] 這可能是個更好的安排
[00:10:31,440 -> 00:10:32,720] 但是不是LL是equal的
[00:10:32,720 -> 00:10:35,320] 就是我覺得橫在方總眼前的最大的問題
[00:10:35,320 -> 00:10:37,080] 就是我30歲的時候
[00:10:37,080 -> 00:10:38,120] 哪裡有這樣的freedom
[00:10:38,120 -> 00:10:41,480] 我能想走兩年就走兩年嗎
[00:10:41,480 -> 00:10:43,320] 我的income是不是支持我
[00:10:43,320 -> 00:10:44,840] 關鍵兩年之後
[00:10:44,960 -> 00:10:47,899] 就是他是在職業發展的很重要的時間
[00:10:47,899 -> 00:10:50,100] 如果說我缺了這兩年時間
[00:10:50,100 -> 00:10:51,899] 我的上限會受很大影響
[00:10:51,899 -> 00:10:53,700] 而且我很有可能是找不到工作了
[00:10:53,700 -> 00:10:55,700] 我回來以後我要解釋我這兩年幹嘛
[00:10:55,700 -> 00:10:57,200] 嗯是
[00:10:57,200 -> 00:11:00,399] 嗯其實呢這有兩層思考
[00:11:00,399 -> 00:11:03,200] 一層思考呢就是我們怎麼樣在比如說
[00:11:03,200 -> 00:11:05,399] 二十到三十歲去该做哪些事情
[00:11:05,399 -> 00:11:12,299] 使得我们的个人的这种财富的构成是一种更有效的更健康的构成
[00:11:12,299 -> 00:11:14,899] 也就是说并不是把所有的钱都放在银行账户
[00:11:14,899 -> 00:11:16,299] 也不是把所有钱都放在股票
[00:11:16,299 -> 00:11:17,799] 而是放在房子上
[00:11:17,799 -> 00:11:19,000] 或者都是在房子上
[00:11:19,000 -> 00:11:24,200] 对我们可能要有一个就是更优质的规划
[00:11:24,200 -> 00:11:25,519] 那这个时候规划的目的
[00:11:25,519 -> 00:11:30,080] 就是使得这些所谓的好的资产可以产生现金
[00:11:30,080 -> 00:11:31,960] 一旦资产产生了现金
[00:11:31,960 -> 00:11:34,759] 是不是你的时间就不用再卖成了现金流
[00:11:34,759 -> 00:11:38,559] 这也是如果说一个误区
[00:11:38,559 -> 00:11:42,600] 也是很多人可能在年轻的时候
[00:11:42,600 -> 00:11:44,039] 在比如说赚的钱
[00:11:44,039 -> 00:11:45,759] 就进来的钱
[00:11:45,759 -> 00:11:48,960] 就像一条小溪全部都是变成了支出
[00:11:48,960 -> 00:11:51,360] 支出到了各种各样的物质的消费上
[00:11:51,360 -> 00:11:53,320] 那这样呢由于钱都变成了支出了
[00:11:53,320 -> 00:11:55,120] 也就没有机会变成资产
[00:11:55,120 -> 00:11:58,879] 那不变成资产的区别可能就是10年15年之后
[00:11:58,879 -> 00:12:02,720] 那这个个人的能够产生现金流的资产就会少
[00:12:02,720 -> 00:12:04,799] 所以这是我觉得第一层思考
[00:12:04,799 -> 00:12:08,360] 就是我们怎么样可以去在20多岁的时候
[00:12:08,360 -> 00:12:11,200] 把有限的现金流变成优秀的资产
[00:12:11,200 -> 00:12:12,879] 有效的资产优质资产
[00:12:13,120 -> 00:12:14,600] 随着10年15年之后
[00:12:14,600 -> 00:12:16,799] 就可以反向的把现金流流回来
[00:12:16,799 -> 00:12:18,919] 这样也就把我们自己的手铐
[00:12:18,919 -> 00:12:21,039] 从不断要拿工资
[00:12:21,039 -> 00:12:23,200] 产生现金流的手铐就可以解除了
[00:12:23,200 -> 00:12:25,200] 因为我们的资�產替我們工作去
[00:12:25,200 -> 00:12:26,559] 這是一層思考
[00:12:26,559 -> 00:12:29,679] 第二層思考就是其實有一個等式
[00:12:29,679 -> 00:12:30,960] 這等式就是說
[00:12:30,960 -> 00:12:35,440] Happiness等於Reality minus Expectation
[00:12:35,440 -> 00:12:39,279] 我今天來的路上正在聽一個劉嘉老師
[00:12:39,279 -> 00:12:40,919] 他說那個就是大腦
[00:12:40,919 -> 00:12:42,879] 他說你的自尊
[00:12:42,879 -> 00:12:44,879] 就是你的成就
[00:12:44,879 -> 00:12:45,200] 除以你的野心大概是這樣就是大腦嘛他說你的自尊就是你的成就
[00:12:45,200 -> 00:12:47,559] 除以你的野心
[00:12:47,559 -> 00:12:48,600] 大概是這樣
[00:12:48,600 -> 00:12:49,360] 其實也就是說
[00:12:49,360 -> 00:12:52,799] 控制野心以及控制降低預期
[00:12:52,799 -> 00:12:55,519] 其實往往就會感受到更多的幸福
[00:12:55,519 -> 00:12:56,120] 這也是
[00:12:56,120 -> 00:12:58,919] 那你說到就是對於這些
[00:12:58,919 -> 00:13:02,000] 對於career的所謂的影響呀
[00:13:02,000 -> 00:13:04,720] 對於其實它也許是影響
[00:13:04,720 -> 00:13:06,000] 也許是契机
[00:13:06,000 -> 00:13:08,159] 也许是让你看到了新的机会
[00:13:08,159 -> 00:13:13,000] 也许是让你从原来玩的这个梯子上让你看到了更多的可能性
[00:13:13,000 -> 00:13:14,259] 原来除了这个梯子
[00:13:14,259 -> 00:13:16,740] 还有那么十几个梯子在那等着我
[00:13:16,740 -> 00:13:18,000] 我可以去考虑
[00:13:18,000 -> 00:13:19,799] 可以想爬的话可以去爬
[00:13:19,799 -> 00:13:22,259] 它可能也能带来更多的可能性
[00:13:22,259 -> 00:13:24,700] 但是不可否认的就是确实是一个风险
[00:13:24,700 -> 00:13:27,080] 那要不要承担风险
[00:13:27,080 -> 00:13:31,600] 这是一个每个人自己对于风险的承担能力
[00:13:31,600 -> 00:13:34,639] 但最终来说就像乔布斯说的那句话
[00:13:34,639 -> 00:13:38,840] 生活给他上的最重要的一课就是意识到自己将会面临死亡
[00:13:38,840 -> 00:13:42,200] 我们任何一个人都没有什么真的会失去的
[00:13:42,200 -> 00:13:44,759] 因为我们已经是一无所有了
[00:13:46,399 -> 00:13:48,759] 这句话我好像就是聽了好幾遍
[00:13:48,759 -> 00:13:51,399] 然後每次聽感悟都不太一樣
[00:13:51,399 -> 00:13:52,000] 嗯
[00:13:52,000 -> 00:13:54,360] 我現在感覺我好像最近才聽懂了
[00:13:54,360 -> 00:13:57,720] 但是能不能印到我腦子裡邊
[00:13:57,720 -> 00:13:59,879] 和改變我的行為可能還需要一段時間
[00:13:59,879 -> 00:14:00,360] 嗯
[00:14:00,360 -> 00:14:00,879] 對
[00:14:00,879 -> 00:14:01,519] 但是
[00:14:02,720 -> 00:14:04,960] 確實就是大家在糾結那些東西
[00:14:04,960 -> 00:14:05,000] 我覺得沒有那麼值大家在糾結那些東西
[00:14:05,000 -> 00:14:07,080] 我覺得沒有那麼值得被糾結
[00:14:07,080 -> 00:14:12,000] 然後這確實是一個個人需要take risk
[00:14:12,000 -> 00:14:14,320] 但是可能更重要的是
[00:14:14,639 -> 00:14:16,600] 就是你覺得它是一個risk
[00:14:16,600 -> 00:14:17,600] 它也是個opportunity
[00:14:17,600 -> 00:14:21,639] 是因為如果我們只看到升職加薪的這個東西的話
[00:14:21,639 -> 00:14:23,360] 它可能就是一個很大的risk
[00:14:23,399 -> 00:14:26,320] 但是你如果升職加�心本身是错的呢
[00:14:26,320 -> 00:14:27,000] 嗯对吧
[00:14:27,000 -> 00:14:29,080] 对对对如果这个是错的的话
[00:14:29,120 -> 00:14:30,200] 那那不是一个risk了
[00:14:30,200 -> 00:14:32,559] 是其实我们走的这条路呢
[00:14:32,720 -> 00:14:35,960] 呃很多很优秀的学生
[00:14:35,960 -> 00:14:38,080] 然后呢成绩非常好
[00:14:38,080 -> 00:14:39,200] 学习很努力
[00:14:39,200 -> 00:14:40,720] 然后也非常有能力
[00:14:40,720 -> 00:14:42,960] 非常呃能够在面试中
[00:14:42,960 -> 00:14:44,840] 非常成功的展现出自己
[00:14:44,960 -> 00:14:47,200] 做了进入了很好的公司
[00:14:47,200 -> 00:14:50,320] 在公司的几年里面不断地获得好多机会
[00:14:50,320 -> 00:14:52,879] 去成长了自己 也不断地升职加薪
[00:14:52,879 -> 00:14:56,000] 其实这很多的我们朋友们都是非常非常成功的
[00:14:56,000 -> 00:14:57,000] 包括你本人
[00:14:57,000 -> 00:14:59,000] 这也是我的一个思考
[00:14:59,000 -> 00:15:00,919] 其实我不敢说这方面是成功吧
[00:15:00,919 -> 00:15:04,399] 但是我产生的一个思考就是
[00:15:04,399 -> 00:15:07,200] 这个游戏的意义是什么
