[00:00:00,000 -> 00:00:02,680] 我突然明白了孙总见我的真正意义
[00:02:46,400 -> 00:02:47,680] 一个电视节目叫什么
[00:02:47,680 -> 00:02:49,759] Too hard to handle
[00:02:50,000 -> 00:02:51,400] 从来没看过对听节目
[00:02:51,400 -> 00:02:55,960] 有一帮特别好看男女的
[00:02:56,439 -> 00:02:57,120] 可以点了
[00:02:57,120 -> 00:02:57,680] 然后
[00:02:57,680 -> 00:02:58,879] 都是搞量力的
[00:02:59,680 -> 00:03:00,319] 我要这个
[00:03:00,319 -> 00:03:00,960] 这个没电
[00:03:00,960 -> 00:03:01,599] 哦
[00:03:01,599 -> 00:03:03,240] 那不是我们智商不够
[00:03:03,240 -> 00:03:03,800] 点了吗
[00:03:03,800 -> 00:03:04,400] 嗯
[00:03:04,400 -> 00:03:08,000] 我在路上如果有电的灯可以拿过来
[00:03:08,000 -> 00:03:08,800] OK 好的
[00:03:08,800 -> 00:03:09,800] 我要这个
[00:03:09,800 -> 00:03:11,000] 然后这个
[00:03:11,000 -> 00:03:12,400] 然后我要这个
[00:03:12,400 -> 00:03:13,599] 明年之旅
[00:03:13,599 -> 00:03:15,599] 然后一个Pandem Roman
[00:03:15,599 -> 00:03:17,199] 这是一款酒
[00:03:17,199 -> 00:03:18,000] 对
[00:03:18,000 -> 00:03:21,599] 它下面是这个酒里面的元素
[00:03:21,599 -> 00:03:22,400] OK
[00:03:22,400 -> 00:03:24,400] 就这个了
[00:03:24,400 -> 00:03:26,080] 就这个你点了个元素是吗我点了一个元素我只想面的元素我看我看就这个就这个你点了个元素是吗
[00:03:26,080 -> 00:03:27,280] 我点了一个元素
[00:03:27,280 -> 00:03:29,280] 我只想要那个元素
[00:03:29,280 -> 00:03:31,280] 那个元素确实好喝
[00:03:31,280 -> 00:03:32,800] 先放这吧
[00:03:32,800 -> 00:03:33,680] 就放一个在这
[00:03:33,680 -> 00:03:35,039] 酒单我就要先搜一下
[00:03:35,039 -> 00:03:35,840] 你放一个在这
[00:03:35,840 -> 00:03:36,639] 对对对 好
[00:03:37,840 -> 00:03:38,639] 好吃的吗
[00:03:38,639 -> 00:03:40,639] 就三杯子吧
[00:03:40,639 -> 00:03:41,439] 三杯子
[00:03:41,439 -> 00:03:41,919] OK
[00:03:43,520 -> 00:03:45,719] 这位女士不知道为什么要喝奶茶
[00:03:45,719 -> 00:03:47,120] 我有自己的安排
[00:03:47,120 -> 00:03:48,039] 就是奶茶
[00:03:49,560 -> 00:03:50,639] 就是讲你的故事
[00:03:50,639 -> 00:03:51,560] 不要停
[00:03:51,560 -> 00:03:52,000] 对
[00:03:52,000 -> 00:03:52,919] Don't stop
[00:03:52,919 -> 00:03:54,360] 你刚刚已经讲了很久了
[00:03:54,360 -> 00:03:56,080] 这个Too hot to handle
[00:03:56,080 -> 00:03:57,599] 别讲人家的Too hot to handle
[00:03:57,599 -> 00:03:59,280] 先讲你是Too hot to handle吗
[00:03:59,280 -> 00:04:00,280] 所以才单身吗
[00:04:00,280 -> 00:04:00,800] Too hot
[00:04:01,560 -> 00:04:02,639] 有一部没
[00:04:03,479 -> 00:04:04,719] 我Easy handle
[00:04:04,719 -> 00:04:05,560] Easy to handleeasy to handle
[00:04:05,560 -> 00:04:10,560] 所以你有谈过恋爱吗
[00:04:10,560 -> 00:04:12,680] 有没有一些其他的经历
[00:04:12,680 -> 00:04:14,000] 最大的100万在巴黎
[00:04:14,000 -> 00:04:16,399] 当然 经历还有很多
[00:04:16,399 -> 00:04:19,639] 见过的人还是很多的
[00:04:19,639 -> 00:04:21,439] 什么样的人都见过
[00:04:21,439 -> 00:04:24,040] 就是dating的对象
[00:04:24,040 -> 00:04:27,480] 等于dating的对象挺多的
[00:04:27,480 -> 00:04:31,000] 所以为什么后来就是太渣吗
[00:04:31,000 -> 00:04:31,720] 还是怎么的
[00:04:31,720 -> 00:04:33,160] 太渣 看一看
[00:04:33,160 -> 00:04:36,639] 我们骨子里面是很不渣的一个人
[00:04:36,639 -> 00:04:38,680] 很难做到真正的渣
[00:04:38,680 -> 00:04:40,639] 好像渣男都是这么说的
[00:04:40,639 -> 00:04:43,680] 所以最大的问题就是不够渣
[00:04:43,680 -> 00:04:44,920] 是不是
[00:04:44,920 -> 00:04:45,000] 你怎么知道的你怎么知道的是不是定义的标准不太一样都是这么说的所以这个最大的问题就是不够渣是不是
[00:04:45,000 -> 00:04:46,000] 你怎么知道的
[00:04:46,000 -> 00:04:47,000] 你怎么知道的
[00:04:48,000 -> 00:04:50,000] 是不是定义的标准不太一样
[00:04:50,000 -> 00:04:53,000] 渣就渣不渣还是很清楚
[00:04:54,000 -> 00:04:55,000] 就你怎么
[00:04:55,000 -> 00:04:57,000] 你为什么选择回国
[00:04:59,000 -> 00:05:00,000] 为什么选择回国
[00:05:01,000 -> 00:05:03,000] 在国内大好活下
[00:05:03,000 -> 00:05:07,000] 是不是觉得夏小托在美国的生活太单调
[00:05:07,000 -> 00:05:08,000] 有点无聊
[00:05:08,000 -> 00:05:10,000] 我其实我当时有说吧
[00:05:10,000 -> 00:05:11,000] 我忘了
[00:05:11,000 -> 00:05:13,000] 反正我是更喜欢美国的生活
[00:05:13,000 -> 00:05:15,000] 我知道国内生活什么样子
[00:05:15,000 -> 00:05:16,000] 不是出于好奇
[00:05:16,000 -> 00:05:19,000] 然后我知道美国的这种情况下
[00:05:19,000 -> 00:05:21,000] 我觉得我是更喜欢美国那种户外的生活
[00:05:21,000 -> 00:05:22,000] 我后来确实发现
[00:05:22,000 -> 00:05:25,360] 我其实一直每见到人就问
[00:05:25,360 -> 00:05:26,560] 国内可以干嘛
[00:05:26,560 -> 00:05:28,000] 然后别人跟我说基本上
[00:05:28,000 -> 00:05:28,959] 干嘛
[00:05:28,959 -> 00:05:30,000] 因为好像
[00:05:30,000 -> 00:05:31,519] 玩游戏
[00:05:31,519 -> 00:05:33,439] 游戏也没啥意思
[00:05:33,439 -> 00:05:34,959] 对啊 就不知道干嘛
[00:05:34,959 -> 00:05:35,839] 舆论
[00:05:35,839 -> 00:05:38,399] 所以你肯定有个moment
[00:05:38,399 -> 00:05:40,720] 就是这个工作
[00:05:40,720 -> 00:05:41,680] 很随意随性
[00:05:41,680 -> 00:05:43,040] 99%是这个工作
[00:05:43,040 -> 00:05:44,319] 99%是这个工作
[00:05:44,319 -> 00:05:47,000] 就是他给了我足够多的机会
[00:05:47,000 -> 00:05:49,000] - 和他做的事情足够有意思
[00:05:49,000 -> 00:05:51,000] - 然后游戏这个行业我又很感兴趣
[00:05:51,000 -> 00:05:54,000] - 老板们聊的过程中又觉得很crazy
[00:05:56,000 -> 00:05:57,000] - 所以几乎就是这个东西
[00:05:57,000 -> 00:06:00,000] - 来深圳有什么让你意外的
[00:06:00,000 -> 00:06:01,000] - 因为你之前没在
[00:06:01,000 -> 00:06:03,000] - 你从本条就辞去了
[00:06:03,000 -> 00:06:04,000] - 对啊
[00:06:06,279 -> 00:06:09,480] - 我就那个- 我是在毕业的时候实习了三个月
[00:06:09,480 -> 00:06:10,600] 在北京实习三个月
[00:06:10,600 -> 00:06:12,959] 加热时间基本上都要半个月
[00:06:12,959 -> 00:06:15,959] 有啥意外吗
[00:06:15,959 -> 00:06:17,720] 学生给你熊的感觉
[00:06:17,720 -> 00:06:18,360] 意外
[00:06:18,360 -> 00:06:19,879] 让你好奇了
[00:06:19,879 -> 00:06:20,879] 让你意外了
[00:06:20,879 -> 00:06:21,800] 我没啥期待
[00:06:21,800 -> 00:06:23,240] 所以说就没有什么意外
[00:06:23,240 -> 00:06:24,680] 您说有什么收获吗
[00:06:24,680 -> 00:06:25,199] 是吧收获嘛是吧
[00:06:25,199 -> 00:06:26,399] 收获当然有
[00:06:26,399 -> 00:06:27,160] 什么
[00:06:27,160 -> 00:06:28,079] 要具体一点
[00:06:28,079 -> 00:06:28,399] 嗯
[00:06:28,399 -> 00:06:29,439] 这个东西
[00:06:29,879 -> 00:06:30,439] 就没法
[00:06:30,439 -> 00:06:32,480] 就因为确实我回来的时候就没啥期待嘛
[00:06:32,480 -> 00:06:34,600] 就是一切东西都是从零学起
[00:06:34,600 -> 00:06:36,600] 那有啥期待和意外的
[00:06:39,439 -> 00:06:40,000] 我不知道
[00:06:40,000 -> 00:06:41,240] 我这几年反正就
[00:06:42,920 -> 00:06:44,160] 一般实验做
[00:06:44,160 -> 00:06:45,439] 非常做研究
[00:06:45,439 -> 00:06:48,279] 然后去年主要工作也是
[00:06:48,279 -> 00:06:49,920] 看着学日记
[00:06:49,920 -> 00:06:51,720] 最主要学日记
[00:06:51,720 -> 00:06:53,199] 然后再就是央行这些
[00:06:54,199 -> 00:06:55,600] 所以这些人现在是不是
[00:06:56,839 -> 00:06:58,720] 就比几年前更绝了
[00:06:59,759 -> 00:07:00,519] 但是不容易
[00:07:00,519 -> 00:07:01,160] 就是上天
[00:07:01,160 -> 00:07:03,600] 我都不知道最后什么人拿到了什么工作
[00:07:03,600 -> 00:07:04,040] 就是
[00:07:04,480 -> 00:07:05,199] 念试完然后到底是人拿到了什么样的工作就是面试完
[00:07:05,199 -> 00:07:08,399] 然后到底是谁拿到什么样的工作来诠释
[00:07:08,399 -> 00:07:10,199] 哇 奇迹的一切
[00:07:10,199 -> 00:07:11,199] 都是匹配吧
[00:07:11,199 -> 00:07:11,800] 就是
[00:07:14,300 -> 00:07:14,800] 但是
[00:07:15,600 -> 00:07:18,199] 就是你这也算是半个学术行业
[00:07:18,199 -> 00:07:18,600] 是
[00:07:18,600 -> 00:07:20,399] 它好像我不要参与这个工作
[00:07:20,399 -> 00:07:23,199] 就是因为去能继续大部分时间做研究
[00:07:24,000 -> 00:07:25,240] 你说的是什么方向
[00:07:25,240 -> 00:07:26,399] 做宏观的
[00:07:26,399 -> 00:07:27,480] 哦 你说具体的
[00:07:27,480 -> 00:07:30,959] 具体的算有点行为宏观的
[00:07:30,959 -> 00:07:35,360] 研究人们这个收入风险看法
[00:07:35,360 -> 00:07:37,279] 宏观经济预期
[00:07:37,279 -> 00:07:38,480] 通货膨胀预期
[00:07:38,480 -> 00:07:42,959] 可以问美国什么时候通胀结束
[00:07:42,959 -> 00:07:45,600] 这个问题刚才那个问题还没问完
[00:07:45,600 -> 00:07:46,800] 一般问这个问题
[00:07:46,800 -> 00:07:48,199] 不 这事要经济学家解释
[00:07:48,199 -> 00:07:48,800] 问我
[00:07:48,800 -> 00:07:50,000] 然后我就说我不是做宏观的
[00:07:50,000 -> 00:07:50,600] 别问我
[00:07:50,600 -> 00:07:52,000] 现在遇到一个做宏观的
[00:07:52,000 -> 00:07:53,600] 你自己说的呀
[00:07:53,600 -> 00:07:55,199] 经济预期啊什么通胀的
[00:07:55,199 -> 00:07:59,199] 来 给观众朋友们介绍一下
[00:08:00,000 -> 00:08:01,600] 来 把你耳朵拿近一点
[00:08:01,600 -> 00:08:05,519] 我觉得这个关键还是看
[00:08:08,240 -> 00:08:09,839] 我不知道
[00:08:10,079 -> 00:08:11,439] 答案就是不知道
[00:08:11,439 -> 00:08:13,519] 请问你的研究有什么用
[00:08:13,680 -> 00:08:14,720] 我的研究没啥用
[00:08:14,720 -> 00:08:16,319] 研究就是自我happy
[00:08:16,319 -> 00:08:17,439] 自己走一个路
[00:08:18,720 -> 00:08:21,199] 有宏观经济学家的研究有用吗
[00:08:22,639 -> 00:08:26,519] 要是非常坚信自己觉得自己的研究有用他会去特别信自己觉得自己的研究有用的话
[00:08:26,519 -> 00:08:27,800] 他会去特别push
[00:08:27,800 -> 00:08:30,000] 让自己的研究变得很有用
[00:08:30,000 -> 00:08:32,000] 但对我来讲我觉得我好像
[00:08:32,360 -> 00:08:33,840] 所以有没有一个宏观记忆平台
[00:08:33,840 -> 00:08:34,480] 我们可以follow
[00:08:34,480 -> 00:08:36,320] 然后知道通常什么时候结束
[00:08:37,840 -> 00:08:39,360] 如果你特别相信他
[00:08:39,360 -> 00:08:44,000] 他如果特别强硬的一个简单的观点
[00:08:44,000 -> 00:08:49,519] 我觉得是所以你说的就是所有的宏观体系都是来自于
[00:08:49,519 -> 00:08:55,919] 我这看怎么看吧
[00:08:55,919 -> 00:09:00,279] 这个他的自洽的观点
[00:09:00,279 -> 00:09:05,000] 就是一个事情是去预测未来发生什么
[00:09:05,000 -> 00:09:08,000] 一个事情是说如果这件事情发生了
[00:09:08,000 -> 00:09:10,000] 另外的事情怎么变
[00:09:10,000 -> 00:09:14,000] 也许我们学心理学做研究的人
[00:09:14,000 -> 00:09:16,000] 可能会擅长第二件事情
[00:09:16,000 -> 00:09:18,000] 但并不一定擅长第一件事情
[00:09:18,000 -> 00:09:22,000] 所以但是真实世界的复杂性
[00:09:22,000 -> 00:09:24,000] 就在于其实你很难知道第一件事情
[00:09:24,000 -> 00:09:25,679] 为什么你知道了第二件事情很难知道第一件事情为什么
[00:09:25,679 -> 00:09:26,679] 你知道了第二件事情
[00:09:26,679 -> 00:09:27,840] 为什么不会知道第一件事情
[00:09:27,840 -> 00:09:28,679] 因为你不知道
[00:09:28,679 -> 00:09:30,039] 第二件事情说
[00:09:30,039 -> 00:09:32,399] 如果这样一个事情发生
[00:09:32,399 -> 00:09:35,039] 那么其他事情会怎么样
[00:09:35,039 -> 00:09:36,360] 经济会怎么样
[00:09:36,360 -> 00:09:38,159] 第一件事情是说
[00:09:38,159 -> 00:09:39,799] 到底什么样的事情会发生
[00:09:39,799 -> 00:09:42,399] 很多事情是
[00:09:42,399 -> 00:09:44,519] 比如说疫情
[00:09:44,519 -> 00:09:45,000] 对吧
[00:09:45,000 -> 00:09:47,000] 我们几乎是完全不知道的
[00:09:47,000 -> 00:09:50,000] 为什么会发生
[00:09:54,000 -> 00:09:55,000] 深刻
[00:09:59,000 -> 00:10:02,000] 这就是我的几sense
[00:10:02,000 -> 00:10:04,000] as a macro economist
[00:10:04,000 -> 00:10:05,879] 哇我们都說2cents
[00:10:05,879 -> 00:10:06,840] 你說的是幾cents
[00:10:06,840 -> 00:10:07,799] 就超過2
[00:10:07,799 -> 00:10:10,519] 你已經比我們要牛逼50%以上了
[00:10:11,759 -> 00:10:12,960] 但我還是很humble
[00:10:12,960 -> 00:10:13,600] 所以
[00:10:14,879 -> 00:10:15,519] 我覺得
[00:10:15,519 -> 00:10:16,919] -我覺得最大的優點是...
[00:10:16,919 -> 00:10:19,519] 對 我最大的優點是...
[00:10:19,519 -> 00:10:20,759] 因為太humble了
[00:10:21,720 -> 00:10:23,519] 我這個人確實是很humble
[00:10:24,320 -> 00:10:27,720] humble我覺得我覺得做一个行业的时候
[00:10:27,720 -> 00:10:28,960] 你都不能这么Humble
[00:10:28,960 -> 00:10:30,639] 做任何行业的时候
[00:10:30,639 -> 00:10:31,960] 对感欲表达
[00:10:31,960 -> 00:10:34,200] 对 感欲发挥观念
[00:10:34,200 -> 00:10:35,200] You have to load confidence
[00:10:35,200 -> 00:10:36,799] You have to just load
[00:10:36,799 -> 00:10:38,559] Just strong opinion
[00:10:38,559 -> 00:10:39,639] Strong opinion
[00:10:39,639 -> 00:10:40,840] Strong opinion很重要
[00:10:40,840 -> 00:10:41,639] Just be convinced
[00:10:41,639 -> 00:10:42,759] 如果你没有strong opinion的话
[00:10:42,759 -> 00:10:43,720] 其实你就没有价值了
[00:10:43,720 -> 00:10:44,960] 对 就是这样
[00:10:44,960 -> 00:10:47,980] 所以I'm still on the way
[00:10:48,659 -> 00:10:50,059] as a medical economist
[00:10:50,059 -> 00:10:52,620] 但确实这个对我来说就是一个比较大的
[00:10:52,620 -> 00:10:54,860] 他好像想放在这
[00:10:54,860 -> 00:10:57,220] 能不能拿一个
[00:10:57,220 -> 00:10:57,419] 也就
[00:10:57,419 -> 00:11:05,000] 你这包啥时候买的
[00:11:05,000 -> 00:11:08,000] 这个包买了两年了吧
[00:11:08,000 -> 00:11:11,000] 这个包这个夹子啊
[00:11:11,000 -> 00:11:13,000] 然后那个三小架都是PIC提架
[00:11:13,000 -> 00:11:14,000] 你知道吗
[00:11:14,000 -> 00:11:15,000] 超级好用
[00:11:15,000 -> 00:11:17,000] PIC提架超级好用
[00:11:17,000 -> 00:11:19,000] 就是你相机配件买这一家就没有错了
[00:11:19,000 -> 00:11:21,000] 只要他出的东西
[00:11:21,000 -> 00:11:24,000] 你发现你需要背包买他
[00:11:24,000 -> 00:11:25,759] 三小架买它商家买它
[00:11:25,759 -> 00:11:27,159] 除了贵没有毛病
[00:11:27,159 -> 00:11:28,519] OK
[00:11:28,519 -> 00:11:30,759] 等我有钱了
[00:11:30,759 -> 00:11:34,000] 等我有钱了我就来问一问这些品牌
[00:11:34,000 -> 00:11:35,120] 如果要做APP主
[00:11:35,120 -> 00:11:36,720] 就先从手机开始做起
[00:11:36,720 -> 00:11:38,519] 啥手机推荐的
[00:11:38,519 -> 00:11:40,039] 任何手机
[00:11:40,039 -> 00:11:41,159] 你要干嘛
[00:11:41,159 -> 00:11:42,519] 你说你要干嘛
[00:11:42,519 -> 00:11:44,519] 就是如果你要做APP主
[00:11:44,519 -> 00:11:45,000] 就从手机开始做起先从手机录你要干嘛你说你要干嘛就是如果你要做APP主
[00:11:45,000 -> 00:11:47,000] 就从手机开始
[00:11:47,000 -> 00:11:48,000] 我先从手机录
[00:11:48,000 -> 00:11:51,000] 对 用手机录其实是最适合西部的
[00:11:51,000 -> 00:11:52,000] 你为啥一开始
[00:11:52,000 -> 00:11:54,000] 你为啥一开始想做这个
[00:11:54,000 -> 00:11:58,000] 我第一期视频是教餐馆怎么做网站
[00:11:58,000 -> 00:12:00,000] 因为当时疫情的时候
[00:12:00,000 -> 00:12:01,000] 然后就是有
[00:12:01,000 -> 00:12:03,000] 孙子当时在Conair的时候
[00:12:03,000 -> 00:12:05,500] 当经济权官司的时候就已经在搞电商了社区团购孫總當時在Conair的時候當經紀權國師的時候
[00:12:05,500 -> 00:12:07,000] 就已經在搞電商了
[00:12:07,000 -> 00:12:09,000] 社區團購
[00:12:09,000 -> 00:12:10,000] 社區團購
[00:12:10,000 -> 00:12:12,000] 那啥時候我們在那
[00:12:12,000 -> 00:12:14,000] 他是Wacom的創辦人
[00:12:14,000 -> 00:12:15,000] 他當時去Wacom
[00:12:15,000 -> 00:12:16,000] 去看我
[00:12:16,000 -> 00:12:18,000] 我一歲還去他那兒住過一輩子
[00:12:18,000 -> 00:12:21,000] 你有沒有給人家買我們Conair高水的美味食物
[00:12:21,000 -> 00:12:22,000] 當時你還小還沒有開始
[00:12:22,000 -> 00:12:23,000] 當時我還
[00:12:23,000 -> 00:12:24,000] 當時你可能媽媽
[00:12:24,000 -> 00:12:25,039] 沒有買他高水准 每个时候当时你火烧还没有开始当时我还14当时你可能慢慢等等
[00:12:25,039 -> 00:12:25,600] 14
[00:12:25,600 -> 00:12:26,399] 没有没
[00:12:26,399 -> 00:12:27,360] 没有没
[00:12:27,360 -> 00:12:29,279] 他当时在那个
[00:12:29,279 -> 00:12:30,320] 不好意思
[00:12:30,320 -> 00:12:32,080] 我们康村的那个
[00:12:32,080 -> 00:12:33,440] 虽然在纽约周边
[00:12:33,440 -> 00:12:35,039] 离纽约五个小时
[00:12:35,039 -> 00:12:36,879] 在中午
[00:12:36,879 -> 00:12:38,399] 哪里都离不了你
[00:12:38,399 -> 00:12:40,879] 那其实我是先坐大巴坐到那
[00:12:40,879 -> 00:12:42,000] 对 反正就
[00:12:42,000 -> 00:12:43,840] 我从那大巴坐好久
[00:12:43,840 -> 00:12:46,000] 从纽约到法国
[00:12:46,000 -> 00:12:47,000] 从纽约先到哪
[00:12:47,000 -> 00:12:48,000] 然后你就开了
[00:12:48,000 -> 00:12:50,000] 当时他是玩韩女如一制的那种
[00:12:50,000 -> 00:12:52,000] 我们那个时候在一起吗
[00:12:52,000 -> 00:12:54,000] 我跟他前两年认识
[00:12:54,000 -> 00:12:55,000] 结婚的
[00:12:55,000 -> 00:12:56,000] 前两年认识
[00:12:56,000 -> 00:12:58,000] 然后就瞬间结婚了
[00:12:58,000 -> 00:13:00,000] 他们动作很像
[00:13:00,000 -> 00:13:01,000] 到底什么
[00:13:02,000 -> 00:13:03,000] 秘技是吧
[00:13:03,000 -> 00:13:04,000] What happened
[00:13:04,000 -> 00:13:05,480] 我们要不要换一下位置
[00:13:05,480 -> 00:13:06,519] 你来采访一下他
[00:13:06,519 -> 00:13:07,320] 怎么样子做到的
[00:13:07,320 -> 00:13:08,200] 这就是采访的位置
[00:13:08,200 -> 00:13:09,159] 这是双主持
[00:13:09,159 -> 00:13:10,360] 或者所有人
[00:13:11,759 -> 00:13:12,919] 怎么搞定的这么快
[00:13:13,759 -> 00:13:16,720] 我刚才认识第一晚一见钟情
[00:13:17,240 -> 00:13:20,840] 然后第二天就赶紧发动攻击
[00:13:22,159 -> 00:13:23,720] 后来第三四天就
[00:13:23,720 -> 00:13:25,919] 认识的第一晚的几点钟
[00:13:25,919 -> 00:13:26,799] 几点钟请的
[00:13:26,799 -> 00:13:28,000] 两点半
[00:13:28,000 -> 00:13:28,799] 没有啊
[00:13:28,799 -> 00:13:29,840] 七八点吧
[00:13:29,840 -> 00:13:30,919] 七八点
[00:13:30,919 -> 00:13:33,120] KTV也是七八点
[00:13:33,120 -> 00:13:34,080] 是有朋友一起去吗
[00:13:34,080 -> 00:13:34,960] 有朋友一起去
[00:13:34,960 -> 00:13:36,039] 为什么还唱KTV呢
[00:13:36,039 -> 00:13:37,759] 我那天差点没去我跟你讲
[00:13:37,759 -> 00:13:38,960] 我知道
[00:13:38,960 -> 00:13:39,840] 挣扎了很久
[00:13:39,840 -> 00:13:41,279] 玩了十几分钟才到的
[00:13:41,279 -> 00:13:42,480] 那一晚很克制
[00:13:42,480 -> 00:13:44,639] 我觉得克制就是
[00:13:44,639 -> 00:13:45,919] 对 克制很重要
[00:13:45,919 -> 00:13:47,200] 就是最大的收获
