[00:00:00,000 -> 00:00:02,399] Hello 大家好 欢迎回到课袋了例正
[00:01:45,000 -> 00:01:48,000] 好的,那我们就来把这个东西给拉进去吧
[00:01:48,000 -> 00:01:50,000] 好的,谢谢
[00:01:50,000 -> 00:01:53,000] 那我们就从这个木头女的经历开始吧
[00:01:53,000 -> 00:01:56,000] 就是你可以给大家做一个简单的你的人生的自我介绍吗
[00:01:56,000 -> 00:01:59,000] 我是出生在喀什
[00:01:59,000 -> 00:02:03,000] 然后在这边到三年级的时候去上海读书
[00:02:03,000 -> 00:02:05,799] 就是当时有一年暑假
[00:02:05,799 -> 00:02:07,799] 爸妈带我去上海旅游
[00:02:07,799 -> 00:02:12,599] 然后在逛南京路步行街的时候觉得
[00:02:12,599 -> 00:02:15,000] 这里真好看真好啊
[00:02:15,000 -> 00:02:16,400] 不能再回去了
[00:02:16,400 -> 00:02:20,599] 然后我就强烈要求爸妈给我找一个寄宿学校
[00:02:20,599 -> 00:02:23,000] 然后他们就真的给我找了一个寄宿学校
[00:02:23,000 -> 00:02:26,000] 然后那年暑假过完我就开始在上海读书了
[00:02:26,000 -> 00:02:28,000] 开启了我的寄宿生涯
[00:02:28,000 -> 00:02:31,000] 然后一直到初中毕业
[00:02:31,000 -> 00:02:34,000] 申请了美国的高中
[00:02:34,000 -> 00:02:36,000] 然后之后在美国读了大学
[00:02:36,000 -> 00:02:38,000] 你在美国是两所高中
[00:02:38,000 -> 00:02:41,000] 对 我中间转过一次学
[00:02:41,000 -> 00:02:45,000] 好的 那我们就从你的第一次高中来讲吧
[00:02:45,000 -> 00:02:46,000] 可以
[00:02:46,000 -> 00:02:48,000] 你去了一个什么样的高中呢
[00:02:48,000 -> 00:02:50,000] 当时在做申请的时候
[00:02:50,000 -> 00:02:51,000] 呃
[00:02:51,000 -> 00:02:53,000] 就是刮了一股风吧
[00:02:53,000 -> 00:02:55,000] 就是跟周围的朋友
[00:02:55,000 -> 00:02:57,000] 还有他们的父母
[00:02:57,000 -> 00:03:00,000] 大家都觉得好像教会学校会更
[00:03:00,000 -> 00:03:02,000] 更好一些
[00:03:02,000 -> 00:03:05,000] 对我们中国的留学生来说更好的选择
[00:03:05,000 -> 00:03:06,000] 因为可能
[00:03:06,000 -> 00:03:07,000] 嗯
[00:03:07,000 -> 00:03:09,000] 大家觉得美国很乱
[00:03:09,000 -> 00:03:11,000] 然后小孩子出去不安全
[00:03:11,000 -> 00:03:13,000] 然后教会学校会管的比较严
[00:03:13,000 -> 00:03:14,000] 呃
[00:03:14,000 -> 00:03:16,000] 学习氛围会更严肃一些
[00:03:16,000 -> 00:03:19,000] 所以都会倾向于选择教会学校
[00:03:19,000 -> 00:03:22,000] 然后当时我就也选了一个在奥尔根的一个
[00:03:22,000 -> 00:03:24,000] Mennonite school
[00:03:24,000 -> 00:03:27,199] 就是他应该是基督教下面的一个分支吧
[00:03:27,199 -> 00:03:31,199] 嗯嗯对那之后呢就是你转学了很明显
[00:03:31,199 -> 00:03:35,599] 就这个学校不太容易对是因为当时去了以后发现
[00:03:35,599 -> 00:03:40,199] 我们是强制性的每天要上圣经课
[00:03:40,199 -> 00:03:47,000] 然后要背圣经要默写每天中午还有差不多半个小时时间要去教堂
[00:03:47,000 -> 00:03:51,000] 就是礼拜啊那样子 我觉得对我来说非常勉强
[00:03:51,000 -> 00:03:57,000] 然后很抵触吧 所以觉得想换一个环境
[00:03:57,000 -> 00:03:59,000] 那你换到了一个什么样的环境
[00:03:59,000 -> 00:04:01,000] 对 后面就换到了东海岸
[00:04:01,000 -> 00:04:04,000] 就是听说那边的学术氛围会更好一些
[00:04:04,000 -> 00:04:05,000] 然后我本身又很亲近大自然后来就换到了东海岸,听说那边的学术氛围会更好一些
[00:04:05,000 -> 00:04:13,000] 然后我本身又很亲近大自然,所以挑了一个在New Hampshire的高中
[00:04:13,000 -> 00:04:18,000] 在国家森林公园里面,在白山,然后在那边读完高中
[00:04:18,000 -> 00:04:21,000] 是你想象中的样子吗?
[00:04:21,000 -> 00:04:25,800] 好像是我想象中的样子就是学校很美
[00:04:25,800 -> 00:04:27,899] 然后很舒服
[00:04:27,899 -> 00:04:30,500] 但是我的状态好像去了以后
[00:04:31,100 -> 00:04:33,000] 并不是我想象中的状态
[00:04:33,100 -> 00:04:37,600] 所以我们直到现在可能大家都以为是一个
[00:04:37,600 -> 00:04:38,399] 励志故事
[00:04:38,399 -> 00:04:39,399] 鸡汤故事
[00:04:39,399 -> 00:04:40,199] 然后怎么样
[00:04:40,199 -> 00:04:41,699] 我们要寻找自己的生活
[00:04:41,699 -> 00:04:45,000] 其实对就是问题出来了
[00:04:45,000 -> 00:04:48,000] 对 就是你怎么 你为什么你的状态
[00:04:48,000 -> 00:04:53,000] 对 就是当时去了以后觉得
[00:04:53,000 -> 00:04:55,000] 也是因为刚去美国嘛
[00:04:55,000 -> 00:04:58,000] 我第一个学期上完就转学了
[00:04:58,000 -> 00:05:01,000] 所以也是刚到美国这个环境
[00:05:01,000 -> 00:05:03,000] 我觉得周围的同学
[00:05:03,000 -> 00:05:05,199] 总是会看他们不顺眼美国这个环境我觉得周围的同学
[00:05:07,000 -> 00:05:10,600] 总是会看他们不顺眼就觉得他们的状态好松弛啊
[00:05:10,600 -> 00:05:14,399] 就是每天对我来说是吊儿郎当
[00:05:15,199 -> 00:05:15,699] 嗯
[00:05:16,300 -> 00:05:19,699] 这就有一个有点奇怪的东西了
[00:05:20,100 -> 00:05:22,100] 就是以我们的经验来看
[00:05:22,100 -> 00:05:24,399] 就是美国人的默认状态
[00:05:24,500 -> 00:05:27,019] 打鸡血的那种状态很少见
[00:05:27,019 -> 00:05:30,180] 但是在国内的高中或者说初中的话
[00:05:30,180 -> 00:05:32,379] 大家奋斗是一个默认状态
[00:05:32,379 -> 00:05:35,420] 那种松弛的被认为是懒散不合理的
[00:05:35,420 -> 00:05:35,939] 对
[00:05:35,939 -> 00:05:36,540] 对
[00:05:36,540 -> 00:05:38,060] 所以说这是一个文化冲击
[00:05:38,060 -> 00:05:40,339] 然后你因为这个而去嫌弃他们
[00:05:40,339 -> 00:05:41,579] 对吧
[00:05:41,579 -> 00:05:43,540] 那你在这个过程中
[00:05:43,540 -> 00:05:47,000] 你除了嫌弃你的同学之外
[00:05:47,000 -> 00:05:49,000] 你对自己的心态有什么影响吗
[00:05:49,000 -> 00:05:51,000] 有啊
[00:05:51,000 -> 00:05:55,000] 就是我从小其实是一个特别要强
[00:05:55,000 -> 00:05:58,000] 特别有上进心的小朋友
[00:05:58,000 -> 00:05:59,000] 从小都是学霸
[00:05:59,000 -> 00:06:00,000] 对 从小都是学霸
[00:06:00,000 -> 00:06:03,000] 就是我从我上一年级的时候就当班长
[00:06:03,000 -> 00:06:05,259] 然后一直当到初三
[00:06:05,259 -> 00:06:06,300] 就是没有班长
[00:06:06,300 -> 00:06:08,100] 出国以后没有班长可以当
[00:06:08,100 -> 00:06:09,500] 然后那
[00:06:10,399 -> 00:06:13,399] 学习方面就是要考第一名啊
[00:06:13,600 -> 00:06:16,300] 要班级第一年级第一就是
[00:06:16,759 -> 00:06:19,800] 然后学生会干部要当学生会主席
[00:06:19,800 -> 00:06:20,860] 这样子就是
[00:06:21,259 -> 00:06:22,199] 事事要强
[00:06:22,199 -> 00:06:24,560] 对事事要做到最好对优秀
[00:06:24,759 -> 00:06:26,000] 对是优秀对 是优秀 而且
[00:06:26,000 -> 00:06:30,000] 是应该就是
[00:06:30,000 -> 00:06:33,000] 大家口中别人家的孩子吧
[00:06:33,000 -> 00:06:36,000] 尤其会经常听到父母的朋友说
[00:06:36,000 -> 00:06:40,000] 哎呀 你家小孩这么独立 这么优秀
[00:06:40,000 -> 00:06:42,000] 从小自己在外面生活
[00:06:42,000 -> 00:06:44,000] 然后成绩又这么好
[00:06:44,000 -> 00:06:45,199] 然后我其实每次听到这样的夸奖我都会特别开心从小自己在外面生活然后成绩又这么好
[00:06:45,199 -> 00:06:48,000] 然后我其实每次听到这样的夸奖
[00:06:48,000 -> 00:06:49,399] 我都会特别开心
[00:06:49,399 -> 00:06:54,399] 然后会更加为了这个状态这个标签去努力
[00:06:54,399 -> 00:06:57,000] 所以是一个很有驱动力的小朋友
[00:06:57,000 -> 00:06:59,000] 是外驱力
[00:06:59,000 -> 00:07:01,800] 外驱力和内驱力会有分别
[00:07:01,800 -> 00:07:03,800] 会有很大的分别
[00:07:03,800 -> 00:07:06,000] 这个也是后面去了高中
[00:07:06,000 -> 00:07:10,000] 受到了这样文化冲击以后意识到的事情
[00:07:10,000 -> 00:07:12,000] 那你在高中的时候这个外区离
[00:07:12,000 -> 00:07:15,000] 为什么就不好用了呢
[00:07:15,000 -> 00:07:19,000] 就发现大家其实并不在乎你
[00:07:19,000 -> 00:07:21,000] 就是像我
[00:07:21,000 -> 00:07:24,000] 我记得我有一个学期
[00:07:24,000 -> 00:07:32,500] 一整个学期我的数学数学作业,数学考试,就是没有错过一道题,就是全对的状态。
[00:07:32,500 -> 00:07:34,000] 嗯,非常值得。
[00:07:34,000 -> 00:07:47,040] 对,但是我觉得,我自己觉得很牛逼啊,但是我周围的同学没有人在意这件事情,他们也不知道这件事情然后,那我的教授知道这件事情,但是
[00:07:47,220 -> 00:07:50,959] 他也没有给我我期待的那种表扬和肯定
[00:07:50,959 -> 00:07:53,620] 他也觉得OK,很正常
[00:07:53,620 -> 00:07:55,839] 就行,所以
[00:07:55,839 -> 00:07:58,399] 会让我觉得非常失落,没有存在感
[00:08:01,480 -> 00:08:03,139] 这个事情其实
[00:08:03,139 -> 00:08:05,360] 我稍稍总结一下吧
[00:08:05,360 -> 00:08:10,560] 就是我觉得是我们中国学生经常遇到的一件事情
[00:08:10,560 -> 00:08:12,240] 就是我们在为老师的表扬
[00:08:12,240 -> 00:08:13,000] 同学的认可
[00:08:13,000 -> 00:08:15,360] 家长认可去做很多事情
[00:08:15,360 -> 00:08:17,560] 当我们到了一个社会里边
[00:08:17,560 -> 00:08:19,560] 我们会为老板晋升
[00:08:19,560 -> 00:08:23,000] 然后别人的羡慕的眼光去做很多事情
[00:08:23,000 -> 00:08:24,199] 就像你刚刚说的
[00:08:24,199 -> 00:08:25,759] 这个是一个外驱力
[00:08:25,759 -> 00:08:29,000] 但是当评价体系发生巨大变化
[00:08:29,000 -> 00:08:30,639] 比如说你从中国到了美国
[00:08:30,639 -> 00:08:34,519] 它这个你之前的外驱力的轴不见了
[00:08:34,519 -> 00:08:35,000] 对
[00:08:35,000 -> 00:08:38,559] 那你一下子就整个人就没有驱动力了
[00:08:38,559 -> 00:08:39,559] 对吧
[00:08:39,559 -> 00:08:42,919] 那与这个外驱力相对的是一个内驱力了
[00:08:42,919 -> 00:08:44,320] 对
[00:08:44,320 -> 00:08:47,720] 就是如果说我们到时候会聊更多啊
[00:08:47,720 -> 00:08:48,960] 但是如果说现在
[00:08:49,159 -> 00:08:52,120] 你给大家一个建议就是怎么样子
[00:08:52,120 -> 00:08:55,279] 不要让就是在培养小朋友的外驱力的同时吧
[00:08:55,279 -> 00:08:57,720] 也能培养他的内驱力应该怎么做呢
[00:08:57,799 -> 00:09:00,080] 就是我自己的经验来看
[00:09:00,600 -> 00:09:02,639] 我觉得就是比如说当你要
[00:09:02,960 -> 00:09:06,000] 表扬小朋友或者是肯定他的时候
[00:09:06,000 -> 00:09:08,000] 不要去关注那个结果
[00:09:08,000 -> 00:09:11,000] 就是说你考了第一名真棒
[00:09:11,000 -> 00:09:15,000] 哇塞你们班好像只有你做到了这件事情
[00:09:15,000 -> 00:09:17,000] 就不要去关注这个结果
[00:09:17,000 -> 00:09:22,000] 而是去看到肯定他在这个过程中付出的努力
[00:09:22,000 -> 00:09:25,600] 就是他本身的那个状态
[00:09:25,600 -> 00:09:27,399] 就比如说你争棒
[00:09:27,399 -> 00:09:29,799] 你这么多天一直在坚持
[00:09:29,799 -> 00:09:31,899] 或者说我看到了你非常认真
[00:09:31,899 -> 00:09:33,799] 每天都花时间在做这件事情
[00:09:34,399 -> 00:09:37,000] 这样会帮他建立一个更
[00:09:37,799 -> 00:09:39,799] solid的一个自我吧
[00:09:40,000 -> 00:09:42,100] 就是他会关注自己的感受
[00:09:42,100 -> 00:09:43,700] 而不是去跟外面的人评价
[00:09:43,700 -> 00:09:45,960] 从这个评价体系中找到自己的
[00:09:45,960 -> 00:09:49,440] 如果你总是在让他关注这个结果的话
[00:09:49,559 -> 00:09:52,720] 他可能会有一天当他自己的努力
[00:09:52,759 -> 00:09:56,399] 或者他自己的内缺力达不到这个状态的时候
[00:09:56,399 -> 00:10:01,120] 他会想别的办法去换取他要的那个结果
[00:10:01,159 -> 00:10:02,720] 这个可能会比较糟糕
[00:10:03,000 -> 00:10:05,399] 好的你说的刚才这个比较糟糕我觉得还是一个相对不太那么糟糕那个结果 这个可能会比较糟糕好的 你说的刚才这个比较糟糕
[00:10:05,399 -> 00:10:08,600] 我觉得还是一个相对不太那么糟糕的结果
[00:10:08,600 -> 00:10:11,799] 就是他只是在用其他的方式
[00:10:11,799 -> 00:10:14,399] 用不恰当的方式去追求那个结果
[00:10:14,399 -> 00:10:17,799] 但是你当时其实遇到了一个更加糟糕的环境
[00:10:17,799 -> 00:10:20,600] 就是说你的整个评价体系被打乱了
[00:10:21,000 -> 00:10:23,799] 对对那这件事情是在你的
[00:10:24,200 -> 00:10:25,000] 第一个高中
[00:10:25,000 -> 00:10:26,000] 它发生了
[00:10:26,000 -> 00:10:28,000] 但是你可能以为是环境的问题
[00:10:28,000 -> 00:10:29,000] 对
[00:10:29,000 -> 00:10:30,000] 在第二个高中
[00:10:30,000 -> 00:10:32,000] 你没有环境可以去blame了
[00:10:32,000 -> 00:10:35,000] 然后你觉得可能是你同学的问题
[00:10:35,000 -> 00:10:37,000] 就是一方面你开始迷失
[00:10:37,000 -> 00:10:39,000] 就是你做的东西没有被看到
[00:10:39,000 -> 00:10:40,000] 对
[00:10:40,000 -> 00:10:42,000] 然后对他们的状态也不也不满意
[00:10:42,000 -> 00:10:44,000] 就是觉得你们每天
[00:10:44,000 -> 00:10:46,620] 马上都要申请大学了你们每天这个状态也不满意就是觉得你们每天马上都要申请大学了
[00:10:46,620 -> 00:10:49,860] 你们每天这个状态好像也没有认真
[00:10:50,100 -> 00:10:50,659] 嗯
[00:10:51,379 -> 00:10:54,019] 做就是学校的research啊
[00:10:54,019 -> 00:10:56,419] 然后就是感觉你们都不在状态
[00:10:56,419 -> 00:10:58,179] 然后为什么每天还可以那么开心
[00:10:58,179 -> 00:10:58,980] 哈哈哈哈
[00:10:59,379 -> 00:11:00,940] 然后你就怎么都不开心对吧
[00:11:00,940 -> 00:11:02,899] 对就是你做了就是不开心
[00:11:02,899 -> 00:11:04,539] 你做了对的事情但是你不开心
[00:11:04,539 -> 00:11:05,000] 嗯然后这个时候他们在我眼里没有做对的事情但他们不开心对吧对就是你做了就是不开心你做了对的事情但是你不开心
[00:11:05,000 -> 00:11:07,000] 然后他们在我眼里没有做对的事情
[00:11:07,000 -> 00:11:08,000] 但他们很开心
[00:11:08,000 -> 00:11:08,500] 对
[00:11:08,500 -> 00:11:10,000] 那你觉得怎么样很开心起来了
[00:11:11,000 -> 00:11:12,000] 高中的时候
[00:11:12,000 -> 00:11:14,000] 我觉得那个是当时就是
[00:11:14,000 -> 00:11:17,000] 非常现实摆在眼前的就是申请大学啊
[00:11:17,000 -> 00:11:19,000] 我觉得如果我要进一个我满意的大学
[00:11:19,000 -> 00:11:21,000] 那就就可以了
[00:11:21,000 -> 00:11:23,000] 那你进了满意的大学吗
[00:11:23,000 -> 00:11:23,500] 嗯
[00:11:23,500 -> 00:11:24,500] 我觉得很满意
[00:11:24,500 -> 00:11:25,000] 你开心吗
[00:11:25,000 -> 00:11:27,000] 我不开心
[00:11:27,000 -> 00:11:29,000] 对反而更糟糕了
[00:11:29,000 -> 00:11:31,000] 发生了什么
[00:11:31,000 -> 00:11:34,000] 当时的状态可能就是
[00:11:34,000 -> 00:11:38,000] 是进了一个自己很满意的大学
[00:11:38,000 -> 00:11:41,000] 但是每天的状态其实跟高中差不多
[00:11:41,000 -> 00:11:45,200] 就是也是对周围的同学美国同学的那个学习状态不满中差不多就是也是对周围的同学
[00:11:45,519 -> 00:11:48,759] 美国同学的那个学习状态还不满意
[00:11:48,759 -> 00:11:49,559] 他们又在傻开心
[00:11:49,559 -> 00:11:51,039] 对他们又在傻开心
[00:11:51,039 -> 00:11:53,320] 然后你又聪明又不开心
[00:11:53,519 -> 00:11:55,399] 对就是又聪明又不开心
[00:11:55,679 -> 00:11:57,759] 这个时候你觉得你的那些
[00:11:58,039 -> 00:11:58,639] 就是
[00:11:59,320 -> 00:12:00,120] 听起来啊
[00:12:00,120 -> 00:12:02,919] 就是你的那个外区里的那个系统
[00:12:03,039 -> 00:12:05,399] 应该已经被彻底摧毁了的样子
[00:12:05,399 -> 00:12:08,799] 对对就真的到了上大一的时候吧
[00:12:08,799 -> 00:12:11,399] 就真的是彻底崩溃散架了
[00:12:11,799 -> 00:12:14,000] 完全迷失自我了
[00:12:14,000 -> 00:12:16,799] 你会用崩溃散架迷失自我这么种词
[00:12:16,799 -> 00:12:20,799] 对当时我觉得你想从我刚出
[00:12:21,000 -> 00:12:23,399] 出去留学美国高一的时候
[00:12:23,600 -> 00:12:25,440] 就开始有这种
[00:12:26,320 -> 00:12:29,320] 总是不开心 总是不满意的这个状态
[00:12:29,320 -> 00:12:30,320] 我觉得
[00:12:30,919 -> 00:12:34,000] 积累上几年也差不多了吧
[00:12:34,000 -> 00:12:37,399] 就是是一个非常不好 整个人都非常不好
[00:12:37,799 -> 00:12:40,440] 是怎么体现的
[00:12:40,440 -> 00:12:43,480] 当时我觉得到了大一的时候
[00:12:43,480 -> 00:12:44,480] 我已经
[00:12:44,639 -> 00:12:46,639] 像比如说会经常失眠
[00:12:46,639 -> 00:12:48,000] 晚上睡不着觉
[00:12:48,000 -> 00:12:50,000] 然后没有胃口不吃饭
[00:12:50,000 -> 00:12:52,000] 就一两天就是
[00:12:52,000 -> 00:12:54,000] 吃不下饭
[00:12:54,000 -> 00:12:56,000] 对一点都不吃
[00:12:56,000 -> 00:12:58,000] 然后会莫名其妙地哭
[00:12:58,000 -> 00:13:00,000] 就情绪的起伏很大
[00:13:00,000 -> 00:13:02,000] 非常不稳定
[00:13:02,000 -> 00:13:04,000] 然后严重的时候就下不了床
[00:13:05,159 -> 00:13:09,000] 那你会觉得这是一个矫情的反应吗?
[00:13:09,419 -> 00:13:12,419] 不是,当时我觉得
[00:13:12,559 -> 00:13:15,559] 会,因为我不知道怎么回事嘛
[00:13:15,559 -> 00:13:18,539] 会找朋友或者是家里面的人聊天
[00:13:18,539 -> 00:13:22,000] 会问,他们就会觉得非常不理解
[00:13:22,000 -> 00:13:24,000] 就是要啥有啥
[00:13:24,720 -> 00:13:25,700] 还这个样子
[00:13:25,700 -> 00:13:26,700] 就是娇气
[00:13:26,700 -> 00:13:28,700] 然后吃的苦不够多
[00:13:28,700 -> 00:13:32,100] 但其实我自己很清楚我不是这样子
[00:13:32,100 -> 00:13:33,200] 因为我从小到大
[00:13:33,200 -> 00:13:35,700] 我的性格都是对我自己要求非常高
[00:13:35,700 -> 00:13:36,700] 正常情况下
[00:13:36,700 -> 00:13:39,899] 我是不会允许我自己不按时上课
[00:13:39,899 -> 00:13:42,100] 或者是生活不规律
[00:13:42,100 -> 00:13:44,100] 甚至躺在床上
[00:13:44,100 -> 00:13:46,000] 就是浪费甚至躺在床上
[00:13:48,000 -> 00:13:50,000] 浪费时间吧 躺尸
[00:13:52,000 -> 00:13:54,000] 但是我当时是真的没有办法我自己也很困惑
[00:13:54,000 -> 00:13:56,000] 就是一方面
[00:13:56,000 -> 00:13:58,000] 你的意义失去了
[00:14:00,000 -> 00:14:02,000] 然后另外一方面
[00:14:02,000 -> 00:14:04,000] 你的身体又出现了问题
[00:14:04,000 -> 00:14:07,100] 就是你想身心都很不健康
[00:14:07,100 -> 00:14:09,399] 那就是一个非常可怕的恶性循环
[00:14:09,399 -> 00:14:09,899] 对
[00:14:09,899 -> 00:14:15,299] 然后嗯就大一结束的那一年暑假就回国嘛
[00:14:15,299 -> 00:14:17,600] 回国也是机缘巧合吧
[00:14:17,600 -> 00:14:22,600] 就了解到了一些心理上面的症状什么的
[00:14:22,600 -> 00:14:25,759] 然后哎说可能是不是抑郁症状什么的然后说可能是不是抑郁症
[00:14:25,759 -> 00:14:31,159] 然后就去医院做了比较专业的检查
[00:14:31,159 -> 00:14:33,759] 然后诊断出来是中毒抑郁
