[00:00:00,000 -> 00:00:01,600] Hello 大家好
[00:02:21,520 -> 00:02:28,000] 然後可能就海外的校招的一些情況情況可能跟我當時的情況會有些不一樣的
[00:02:28,000 -> 00:02:30,000] 我當時是怎麼呢
[00:02:30,000 -> 00:02:36,000] 是騰訊他們每年都會去到海外去進行校招
[00:02:36,000 -> 00:02:40,000] 然後比如說我們那一年騰訊他們就是騰訊做遊戲的
[00:02:40,000 -> 00:02:46,000] 這邊的HR們他們就會去到北美的洛杉磯去Chicago去紐約
[00:02:46,000 -> 00:02:47,800] 然後進行當地的小招
[00:02:47,800 -> 00:02:48,439] 異鄉電影
[00:02:48,439 -> 00:02:49,439] 對是的
[00:02:49,439 -> 00:02:55,879] 然後我的那一年他們就剛好去到我所讀的研究生學校Rochester
[00:02:55,879 -> 00:02:56,879] 然後去到那個地方
[00:02:56,879 -> 00:02:59,080] 然後我當時一看騰訊遊戲在招人
[00:02:59,080 -> 00:03:01,080] 然後我本來就對遊戲還蠻感興趣的
[00:03:01,080 -> 00:03:07,000] 自己也是一個打主機遊戲打PC遊戲的比較硬核心的玩家
[00:03:07,000 -> 00:03:10,000] 所以說我就最後覺得應該去試一試
[00:03:10,000 -> 00:03:13,000] 然後就當時就跟HR這邊聯繫上了
[00:03:13,000 -> 00:03:15,000] 然後就參加了一系列的面試
[00:03:15,000 -> 00:03:20,000] 那你的面試流程和國內的就是接近類似的還是不一樣
[00:03:20,000 -> 00:03:24,000] 會稍微有點區別吧
[00:03:24,000 -> 00:03:26,000] 我們當時的話
[00:03:26,000 -> 00:03:28,000] 第一次是比試
[00:03:28,000 -> 00:03:30,000] 我知道國內的同學們
[00:03:30,000 -> 00:03:35,000] 大家的比試可能是進到騰訊給的系統上面的一個網站
[00:03:35,000 -> 00:03:36,000] 然後上面去
[00:03:36,000 -> 00:03:39,000] 就騰訊會給你出一套很完整的一套題
[00:03:39,000 -> 00:03:40,000] 然後大家做完那個比試過後
[00:03:40,000 -> 00:03:41,000] 然後再進入群面
[00:03:41,000 -> 00:03:46,000] 然後再進入組長面總監面,HR面,什麼什麼的
[00:03:46,000 -> 00:03:52,000] 我們當時的話是騰訊就是去跟HR了解清楚過後
[00:03:52,000 -> 00:03:56,000] 參加了整個校招了之後,HR們會告訴我們說
[00:03:56,000 -> 00:04:01,000] 我們要先做一個像寫作文一樣的筆試
[00:04:01,000 -> 00:04:06,000] 就問你對於遊戲的感受是怎麼你之前的游戏经历是怎么样的
[00:04:06,000 -> 00:04:08,000] 然后你对于游戏
[00:04:08,000 -> 00:04:10,000] 对于你之前所喜欢的游戏
[00:04:10,000 -> 00:04:12,000] 任何挑一款
[00:04:12,000 -> 00:04:14,000] 然后来讲说它游戏里面
[00:04:14,000 -> 00:04:16,000] 好的一点不好一点是怎么样的
[00:04:16,000 -> 00:04:18,000] 要手写出来
[00:04:18,000 -> 00:04:20,000] 这个不是策划考是所有的岗位都考
[00:04:20,000 -> 00:04:22,000] 对对对
[00:04:22,000 -> 00:04:24,000] 那运营杆当时就申请了运营杆
[00:04:24,000 -> 00:04:26,000] 运营杆就写这个东西
[00:04:26,000 -> 00:04:27,000] 我觉得蛮有意思
[00:04:27,000 -> 00:04:28,000] 然后写完了之后
[00:04:28,000 -> 00:04:31,000] 我们就我们海外销售没有局面
[00:04:31,000 -> 00:04:34,000] 然后就直接进入到组长面总监面
[00:04:34,000 -> 00:04:35,000] 然后就到HR面试
[00:04:35,000 -> 00:04:36,000] 大概是这样
[00:04:36,000 -> 00:04:38,000] 所以从这里面能看出来
[00:04:38,000 -> 00:04:41,000] 起码还是很努力的去找出那些对游戏有热爱的人
[00:04:41,000 -> 00:04:42,000] 对是的
[00:04:42,000 -> 00:04:43,000] 是的
[00:04:43,000 -> 00:04:44,000] 好那讲讲运营工作
[00:04:44,000 -> 00:04:46,879] 这是大概是个什麼樣子的
[00:04:46,879 -> 00:04:48,160] 運營工作的話
[00:04:48,160 -> 00:04:50,000] 像剛才大家聽到我講的
[00:04:50,000 -> 00:04:52,879] 我之前是做學數據的嘛
[00:04:52,879 -> 00:04:55,519] 那其實來到騰訊了過後
[00:04:55,519 -> 00:04:58,360] 先開始也是做了跟數據相關的一些事情
[00:04:58,360 -> 00:05:02,839] 比如說做一些數據的前置工作是Data Engineering
[00:05:02,839 -> 00:05:05,439] 那就是把一些數據的通道啊
[00:05:05,439 -> 00:05:07,519] 數據的報表啊設計好啊什麼的
[00:05:07,519 -> 00:05:08,759] 這一系列的東西
[00:05:08,759 -> 00:05:11,560] 然後當產品上線了過後
[00:05:11,560 -> 00:05:13,920] 然後就是去看數據做數據分析
[00:05:13,920 -> 00:05:16,120] 知道為什麼這些
[00:05:16,120 -> 00:05:19,319] 知道數據上升下降的原因背後是什麼
[00:05:19,319 -> 00:05:22,800] 然後把這些整個信息進行一波梳理
[00:05:22,800 -> 00:05:24,759] 然後最後去告導需要知道的人
[00:05:24,759 -> 00:05:27,519] 然後再去推動一些產品上的一些動作吧
[00:05:27,519 -> 00:05:29,519] 我怎麼覺得和我做的工作是一模一樣的
[00:05:29,519 -> 00:05:30,319] 哈哈哈哈
[00:05:30,319 -> 00:05:32,319] 那好像是我的工作題有什麼區別
[00:05:32,319 -> 00:05:34,319] 但是我的那個可能就是比較底層
[00:05:34,319 -> 00:05:36,319] 不不不
[00:05:36,319 -> 00:05:38,319] 就是你覺得你的數據
[00:05:38,319 -> 00:05:41,519] 你的運營和一個數據分析數據科學同學有什麼區別呢
[00:05:41,519 -> 00:05:44,480] 嗯我覺得區別點會是在於
[00:05:44,480 -> 00:05:46,000] 對於運營崗的同學
[00:05:46,000 -> 00:05:50,000] 他的數據專業度要求其實並沒有那麼高
[00:05:50,000 -> 00:05:52,000] 因為我是學Data Science的
[00:05:52,000 -> 00:05:54,000] 我進來過後我本來以為是
[00:05:54,000 -> 00:05:56,000] 在項目組內做運營的同學
[00:05:56,000 -> 00:05:58,000] 大家都是會寫Python或寫SQL
[00:05:58,000 -> 00:06:04,000] 然後做各種各樣的Modeling或者Cursor什麼
[00:06:04,000 -> 00:06:06,360] 其實並沒有這邊在運營港上面的同學
[00:06:06,360 -> 00:06:08,360] 他們可能更多的是去
[00:06:08,360 -> 00:06:13,079] 解決就是把fact呈現
[00:06:13,079 -> 00:06:15,279] 呈現很清晰的呈現出來
[00:06:15,279 -> 00:06:16,720] 告訴大家這個是fact
[00:06:16,720 -> 00:06:19,279] 然後可能會有一丁丁點
[00:06:19,279 -> 00:06:21,639] 關於為什麼這個fact會happen
[00:06:21,639 -> 00:06:23,639] why的一些事情
[00:06:23,639 -> 00:06:25,899] 但是我覺得可能對于data science
[00:06:25,899 -> 00:06:28,100] 或者对于专业的data analyst
[00:06:28,100 -> 00:06:30,100] 他们可能是要更多的去了解
[00:06:30,100 -> 00:06:32,600] 这个fact背后发生的原因到底是怎么样子
[00:06:32,600 -> 00:06:33,899] 总结的好清楚啊
[00:06:33,899 -> 00:06:36,000] 我有一期视频讲什么柱状图
[00:06:36,000 -> 00:06:38,899] 为什么是数据科学的价值
[00:06:38,899 -> 00:06:40,199] 但是对就是你说的很对
[00:06:40,199 -> 00:06:41,800] 就是present fact是why
[00:06:41,800 -> 00:06:47,199] 其实很多时候是在搞清楚那个why哇,很感動,很開心
[00:06:47,199 -> 00:06:48,199] 很開心,OK
[00:06:48,199 -> 00:06:51,399] 好的,那你運營的這個工作的目標
[00:06:51,399 -> 00:06:54,600] 就是為了讓這個遊戲的一些關鍵的指數
[00:06:54,600 -> 00:06:56,600] KPI什麼的要
[00:06:56,600 -> 00:06:58,199] 對,很清晰的呈現出來
[00:06:58,199 -> 00:07:00,600] 就是比如說
[00:07:00,600 -> 00:07:02,000] 運營崗座的後面的話
[00:07:02,000 -> 00:07:06,839] 就會跟組內的同學或者跟自己的leader們去商量
[00:07:06,839 -> 00:07:09,279] 每個版本的KPI到底是怎麼樣的
[00:07:09,279 -> 00:07:11,279] 然後為什麼會去是怎麼樣
[00:07:11,279 -> 00:07:13,040] 就可能去看一些過往的數據啊
[00:07:13,040 -> 00:07:13,839] 然後總結出來
[00:07:13,839 -> 00:07:15,279] 當然也會就像剛才說的
[00:07:15,279 -> 00:07:16,759] 可能這裡面也會去問一下
[00:07:16,759 -> 00:07:18,199] data scientist的一些經驗
[00:07:18,199 -> 00:07:19,480] 就是讓他們來告訴我們
[00:07:19,480 -> 00:07:21,519] 這個指標怎麼來定會比較合理一點
[00:07:21,519 -> 00:07:26,399] 那運營港的這個職業發展路徑大概是什麼樣子呢
[00:07:26,399 -> 00:07:29,560] 職業發展路徑的話
[00:07:29,560 -> 00:07:34,040] 其實我做運營港的話會更偏向於數據分析一點
[00:07:34,040 -> 00:07:36,560] 就大家剛才聽到我也是這麼講的
[00:07:36,560 -> 00:07:39,000] 那你剛剛說的是你偏數據分析
[00:07:39,000 -> 00:07:41,199] 那要不我們先說一說大概有幾類
[00:07:41,199 -> 00:07:43,399] 幾個Archetype
[00:07:43,399 -> 00:07:46,120] 我在遊戲裡面的話
[00:07:46,120 -> 00:07:48,480] 如果大家是做運營港的話
[00:07:48,480 -> 00:07:49,720] 其實有兩
[00:07:49,720 -> 00:07:51,839] 運營港本來要做的事情是什麼
[00:07:51,839 -> 00:07:55,920] 是建立產品和玩家之間的聯繫
[00:07:55,920 -> 00:07:59,319] 所以他可能就有點像是就一個傳統的運營
[00:07:59,319 -> 00:08:00,560] 他會像是一個
[00:08:02,040 -> 00:08:04,480] 九局的串局人
[00:08:04,480 -> 00:08:05,360] 就那種感覺
[00:08:05,360 -> 00:08:07,120] 我有這樣一個比方
[00:08:07,120 -> 00:08:09,399] 就是如果一個餐館的話
[00:08:09,399 -> 00:08:11,399] 那設計菜單呢 是吧
[00:08:11,399 -> 00:08:13,879] 然後把這個東西怎麼做
[00:08:13,879 -> 00:08:15,560] 可能是產品 對吧
[00:08:15,560 -> 00:08:16,519] 然後運營呢
[00:08:16,519 -> 00:08:20,000] 在這裡就是做這個產品的這個Data Operation
[00:08:20,000 -> 00:08:22,480] 比如說海底撈的那個經理
[00:08:22,480 -> 00:08:24,000] 然後和這些服務員
[00:08:24,000 -> 00:08:26,000] 他們是要包括這個做電信啊
[00:08:26,000 -> 00:08:27,800] 這些人都是運營
[00:08:27,800 -> 00:08:29,500] 對差不多差不多就是這個意思
[00:08:29,500 -> 00:08:32,799] 就是他是去連接產品和和
[00:08:32,799 -> 00:08:33,700] 就按我們的話
[00:08:33,700 -> 00:08:34,899] 就是說連接產品和玩家
[00:08:34,899 -> 00:08:36,500] 把他們的關鍵拉得更近一點
[00:08:36,500 -> 00:08:39,399] 然後去建立一些產品
[00:08:39,399 -> 00:08:40,600] 我的產品應該給到玩家
[00:08:40,600 -> 00:08:42,399] 以什麼樣的expectation
[00:08:42,399 -> 00:08:43,500] 他是去做這一步的
[00:08:43,500 -> 00:08:46,000] 所以你看到像拿海底老鴨舉例子的話
[00:08:46,000 -> 00:08:49,600] 就是他們的經理他們的服務員就會很熱情洋溢的
[00:08:49,600 -> 00:08:53,799] 去跟自己的那個來吃飯的那些人們
[00:08:53,799 -> 00:08:55,299] 進行很生動的壹些互動
[00:08:55,299 -> 00:08:56,799] 然後有時候會搞壹些活動
[00:08:56,799 -> 00:08:58,500] 然後包括他們做的那種
[00:08:58,500 -> 00:09:02,200] 那種生日那樣的唱歌什麽的
[00:09:02,200 -> 00:09:04,700] 其實都是他們的壹系列的運營的壹些行為
[00:09:04,700 -> 00:09:05,159] 嗯嗯嗯遊戲裏也是這樣對也換到遊戲裏面也是這樣子的生日那样的唱歌什么的其实都是他们的一系列的运营的一些行为
[00:09:05,159 -> 00:09:05,720] 嗯
[00:09:05,720 -> 00:09:06,679] 游戏里也是这样
[00:09:06,679 -> 00:09:08,600] 对也换到游戏里面也是这样子的
[00:09:08,600 -> 00:09:10,759] 比如说我们游戏里面
[00:09:10,759 -> 00:09:14,080] 大家会经常看到一些多种多样的活动
[00:09:14,080 -> 00:09:16,440] 然后包括一些
[00:09:16,440 -> 00:09:18,840] 在一些时间点上面
[00:09:18,840 -> 00:09:20,679] 比如说今年春节啦
[00:09:20,679 -> 00:09:23,320] 然后我们可能会在微博上面看到各种各样的
[00:09:23,320 -> 00:09:25,279] 关于某个游戏的一些宣传呀
[00:09:25,279 -> 00:09:33,759] 然后包括还有一些很后面的,比如说很多游戏他们都会做一些什么与策划直接沟通
[00:09:33,759 -> 00:09:39,200] 与策划打比赛这样的一系列有趣味的活动,这些都是运营港的同学们在做
[00:09:39,200 -> 00:09:45,000] 明白,好的,这个我多聊了一些,因为北美公司就沒有運營港這個概念
[00:09:45,000 -> 00:09:48,500] 對 感覺很多這個職能是分散在了其他的
[00:09:48,500 -> 00:09:51,000] 比如說產品 比如說是這個marketing上
[00:09:51,000 -> 00:09:52,500] 有機會可以再多聊一聊
[00:09:52,500 -> 00:09:54,500] 好 但是運營大概搞清楚了
[00:09:54,500 -> 00:09:56,500] 那運營同學最後
[00:09:56,500 -> 00:09:59,000] 對 這個現在說幾種類型吧
[00:09:59,000 -> 00:10:00,500] 現在說上升路徑呢
[00:10:00,500 -> 00:10:02,500] 其實上升路徑的話我覺得
[00:10:02,500 -> 00:10:04,000] 就像我剛才說的
[00:10:04,000 -> 00:10:06,000] 就是運營港它是為了去連接產品和
[00:10:06,000 -> 00:10:08,000] 那個如果是我們說話的話
[00:10:08,000 -> 00:10:10,000] 產品和玩家之間的關係
[00:10:10,000 -> 00:10:12,000] 那如果一個做得很好
[00:10:12,000 -> 00:10:14,000] ideal情況下一個做得很好的運營
[00:10:14,000 -> 00:10:16,000] 他是既要懂產品又要懂玩家
[00:10:16,000 -> 00:10:18,000] 嗯 對吧
[00:10:18,000 -> 00:10:20,000] 所以說其實運營港在這上面的話
[00:10:20,000 -> 00:10:22,000] 需要的是一個很綜合很綜合的能力
[00:10:22,000 -> 00:10:24,000] 對
[00:10:24,000 -> 00:10:28,320] 它可能不像是策劃同學或者程序同學
[00:10:28,320 -> 00:10:31,840] 他是對於某件事情上面很專很專精
[00:10:31,840 -> 00:10:33,840] 運營同學的話他可能就是
[00:10:33,840 -> 00:10:36,879] 他最終的一個ideal情況可能就是一個六邊形戰士
[00:10:36,879 -> 00:10:38,080] 什麼都懂
[00:10:38,080 -> 00:10:41,759] 然後所以說其實他的職業發展的cap還蠻高的
[00:10:41,759 -> 00:10:42,259] 嗯
[00:10:42,259 -> 00:10:42,759] 嗯
[00:10:42,759 -> 00:10:46,000] 所以我覺得他後面可能就运营
[00:10:46,000 -> 00:10:47,500] 做了运营过后
[00:10:47,500 -> 00:10:49,000] 其实是可以去做呃
[00:10:49,000 -> 00:10:50,000] 产品经理
[00:10:50,000 -> 00:10:51,500] 做了产品经理过后
[00:10:51,500 -> 00:10:53,500] 然后如果再往上面升的话
[00:10:53,500 -> 00:10:57,000] 就是去负责一个整块的一个项目啊什么的
[00:10:57,000 -> 00:10:57,500] 嗯
[00:10:57,500 -> 00:11:00,000] 对整整块项目的运营啊什么的
[00:11:00,000 -> 00:11:01,000] 大概是这样
[00:11:01,000 -> 00:11:02,000] 就是制作人
[00:11:02,000 -> 00:11:03,000] 对对对
[00:11:03,000 -> 00:11:06,799] 好那那那我们就讲你为什么转吧
[00:11:06,799 -> 00:11:08,399] 就是项目经理很有意思
[00:11:08,399 -> 00:11:10,799] 我们先讲为什么转然后再讲项目经理是干啥
[00:11:10,799 -> 00:11:15,500] 好好我是做到了我想想哈嗯
[00:11:16,799 -> 00:11:20,299] 大概是在我20年的20年的时候吧
[00:11:20,799 -> 00:11:26,000] 呃我会发现呃这这其实也跟我们的我我自己在的项目有一些特殊性
[00:11:26,000 -> 00:11:32,000] 我在的项目里面是一个人非常非常多的一个项目里面
[00:11:32,000 -> 00:11:36,000] 就是我们项目差不多加起来就是所有的合作方
[00:11:36,000 -> 00:11:38,000] 合作方非常多人也非常多
[00:11:38,000 -> 00:11:41,000] 加起来大概有500到800人这样一个量级的
[00:11:41,000 -> 00:11:43,000] 原神好像就两千
[00:11:43,000 -> 00:11:46,000] 现在不知道了很多人不能跟原神比反正千现在不知道很多人
[00:11:46,000 -> 00:11:48,000] 不能跟原神比
[00:11:48,000 -> 00:11:50,000] 反正就人人特别多
[00:11:50,000 -> 00:11:52,000] 然后你就会发现
[00:11:52,000 -> 00:11:54,000] 整个项目里面就会有很多人
[00:11:54,000 -> 00:11:56,000] 很多的一些通病存在
[00:11:56,000 -> 00:11:58,000] 比如说大家的人多的话
[00:11:58,000 -> 00:12:00,000] 第一个显而易见的交流
[00:12:00,000 -> 00:12:02,000] 沟通成本会非常非常高
[00:12:02,000 -> 00:12:04,000] 然后大家的信息就会很容易出现
[00:12:04,000 -> 00:12:07,879] 不匹配不对對齊的情況發生
[00:12:07,879 -> 00:12:09,679] 然後這時候我會覺得
[00:12:09,679 -> 00:12:12,440] 然後第二點就像我最早的時候說的是
[00:12:12,440 -> 00:12:14,919] 我本身就對人與人之間的溝通
[00:12:14,919 -> 00:12:15,799] 怎麼把信息打通
[00:12:15,799 -> 00:12:17,840] 然後包括我之前學的本來就是信息學嘛
[00:12:17,840 -> 00:12:20,039] 我怎麼 我知道怎麼信息傳導
[00:12:20,039 -> 00:12:21,440] 就是在人與人之間的傳導
[00:12:21,440 -> 00:12:24,240] 或者怎麼建立整個信息體系啊什麼的
[00:12:24,240 -> 00:12:25,580] 會更感興趣一點
[00:12:25,580 -> 00:12:27,580] 所以我就在當時覺得
[00:12:27,580 -> 00:12:32,419] 運營港可能不太是我最終想做的東西
[00:12:32,419 -> 00:12:35,100] 然後我就轉成了那個項目管理
[00:12:35,100 -> 00:12:38,940] 哇聽起來好像是好多部門都很想需要的人
[00:12:38,940 -> 00:12:40,419] 竟然有這樣的熱愛
[00:12:40,419 -> 00:12:43,899] 因為這個在很多部門都是一個特別痛苦的事情
[00:12:43,899 -> 00:12:47,000] 就是第一方面可能是這個機制設計本身
[00:12:47,000 -> 00:12:50,000] 第二方面就是人多了自然而然的
[00:12:50,000 -> 00:12:53,000] 就是大家對其信息的成本就會很高
[00:12:53,000 -> 00:12:57,000] 再加上對其信息的過程中溝通能力和溝通機制
[00:12:57,000 -> 00:13:00,000] 都可能會是不夠足夠有效的話
[00:13:00,000 -> 00:13:02,000] 它的內耗是非常大的
[00:13:02,000 -> 00:13:06,600] 所以很多人會覺得管理一個十個人團隊很簡單�很简单但是管理到一百个人的时候
[00:13:06,600 -> 00:13:07,960] 他的难度不是上升了十倍
[00:13:07,960 -> 00:13:09,120] 上升了一百倍
[00:13:09,120 -> 00:13:09,559] 对啊
[00:13:09,559 -> 00:13:10,000] 好
[00:13:10,000 -> 00:13:13,200] 那讲讲你的这个现在你做的事情是什么呗
[00:13:13,200 -> 00:13:17,200] 说说我现在就转成了海外合作项目管理
[00:13:17,200 -> 00:13:18,600] 嗯
[00:13:18,600 -> 00:13:19,799] 我们项目在展望
[00:13:19,799 -> 00:13:21,000] 其实做的开心吗
[00:13:21,000 -> 00:13:22,000] 挺开心的
[00:13:22,000 -> 00:13:23,000] 挺开心的挺开心的
[00:13:23,000 -> 00:13:24,600] 会很痛苦加很开心
[00:13:24,600 -> 00:13:25,000] 开心的点是什么我觉得开心的挺开心的那会很痛苦加很开心开心的点是什么?
[00:13:25,000 -> 00:13:27,000] 我觉得开心的点是
[00:13:27,000 -> 00:13:29,000] 只有在这个岗位
[00:13:29,000 -> 00:13:31,000] 这个岗位是在
[00:13:31,000 -> 00:13:33,000] 比起其他的岗位的话
[00:13:33,000 -> 00:13:34,000] 比起其他的策划啊
[00:13:34,000 -> 00:13:35,000] 或者运营啊
[00:13:35,000 -> 00:13:37,000] 或者美术或者开发的东西啊
[00:13:37,000 -> 00:13:39,000] 它是唯一一个在游戏里面的岗位
[00:13:39,000 -> 00:13:42,000] 是能收集到这么多这么多信息的
[00:13:42,000 -> 00:13:45,000] 就因为所有的信息都會收集到PM
[00:13:45,000 -> 00:13:48,500] PM再去進行收口啊或者進行傳遞啊什麼的
[00:13:48,500 -> 00:13:51,000] Preset Manager不是Platform Manager
[00:13:51,000 -> 00:13:52,000] 對對對
[00:13:52,000 -> 00:13:56,000] 所有項目管理在這裡面就會收集到很多很多的信息
[00:13:56,000 -> 00:13:58,000] 那收集到很多信息的話其實
[00:13:58,000 -> 00:14:00,000] 你信息量越多
[00:14:00,000 -> 00:14:03,000] 你其實能做出來的花樣也就越多了
[00:14:03,000 -> 00:14:07,000] 能做出什麼花樣就是你可以
[00:14:07,000 -> 00:14:09,000] 就有時候會假設你看項目的話
[00:14:09,000 -> 00:14:10,200] 有時候在項目內的話
[00:14:10,200 -> 00:14:12,600] 就是有點那種當局者明 旁觀者清
[00:14:12,600 -> 00:14:14,600] 然後你有時候會以第三方的視角
[00:14:14,600 -> 00:14:19,000] 去看整個項目的合作與合作方的合作到底是怎麼樣的
[00:14:19,000 -> 00:14:23,600] 然後從中找出一些可能事半功倍的一些地方
[00:14:23,600 -> 00:14:24,600] 就能找到
[00:14:24,600 -> 00:14:28,559] 就是比如說你會發現兩個合作方在一個事情上面
[00:14:28,559 -> 00:14:33,120] 鑽牛角尖或者PK的debating的那種情況經常發生
[00:14:33,120 -> 00:14:36,159] 但是你這時候從第三方的視角去看待這個事情的話
[00:14:36,159 -> 00:14:39,840] Maybe從其他的方式去解決這個事情的話
[00:14:39,840 -> 00:14:41,120] 就是一個很事半功倍的
[00:14:41,120 -> 00:14:42,559] 提供了另外一個格局
[00:14:42,559 -> 00:14:46,639] 也要這麼说也行吧
[00:14:46,639 -> 00:14:49,720] 哇不容易
[00:14:49,720 -> 00:14:50,240] 好的
[00:14:50,240 -> 00:14:52,080] 就是你现在收集了很多信息
[00:14:52,080 -> 00:14:56,480] 然后你在这里边做出了很多可以怎么说呢
[00:14:56,480 -> 00:14:58,000] 就是让信息更好的流动
[00:14:58,000 -> 00:14:58,840] 更有效的流动
[00:14:58,840 -> 00:15:00,120] 然后减少大家沟通成本
[00:15:00,120 -> 00:15:02,519] 让这个东西整个运转的效率更高
[00:15:02,519 -> 00:15:04,240] 对那你的核心的
[00:15:04,679 -> 00:15:07,700] 你的goal的你的目標
[00:15:07,700 -> 00:15:08,899] 目標好像是objective
[00:15:08,899 -> 00:15:11,200] 但是你的核心的這個指標考核你
[00:15:11,200 -> 00:15:13,399] 或者說你的職業的價值
[00:15:13,399 -> 00:15:15,799] 你覺得最核心的東西是什麼
[00:15:15,799 -> 00:15:19,399] 我覺得這也是項目管理的一個
[00:15:19,399 -> 00:15:22,200] 就在職業發展上面一個比較大難題
[00:15:22,200 -> 00:15:26,960] 就是你很難定出一個很清晰很清晰的一個目標
[00:15:26,960 -> 00:15:28,480] 量化出來的目標出來
[00:15:28,480 -> 00:15:31,039] 你像運營港的同學他們可能就會
[00:15:31,039 -> 00:15:33,759] 對在這件事情上面會稍微直接或者簡單一點
[00:15:33,759 -> 00:15:36,639] 比如說一個做活動的運營同學他可能就直接說
[00:15:36,639 -> 00:15:40,000] 我的我這次的目標就是讓通過這個活動
