[00:00:00,000 -> 00:00:01,720] 哈喽,大家好
[00:00:01,720 -> 00:00:03,919] 今天我想跟大家聊一下
[00:02:37,360 -> 00:02:38,960] 一个是因果推断
[00:02:38,960 -> 00:02:40,439] 那我就分开讲一下
[00:02:40,439 -> 00:02:44,879] 定价就是你比如说经济学家大家知道supply demand是吧
[00:02:44,879 -> 00:02:51,039] 然后你如果把这个东西用我们是用industrial organization的这个学科
[00:02:51,039 -> 00:02:52,599] 就是专门研究这类问题的
[00:02:52,879 -> 00:02:56,120] 你可以把这个关系给大概描述出来
[00:02:56,120 -> 00:02:57,439] 然后你有一些参数
[00:02:57,560 -> 00:03:00,560] 你可以用数据去estimate你的这个function
[00:03:00,560 -> 00:03:03,719] 然后最后你把这个function用数据拟合好了之后
[00:03:03,719 -> 00:03:07,000] 你就可以用这些方程去寻找一个比较优的定价
[00:03:07,000 -> 00:03:09,800] 比如说你调到这儿可能可以最大化你的盈利
[00:03:09,800 -> 00:03:14,800] 你调到那儿可能可以最大化你的长期的customer retention
[00:03:14,800 -> 00:03:17,800] 就比如说kindle或者amazon basic的很多东西
[00:03:17,800 -> 00:03:21,800] 或者说我们retail的很多东西都是第一方的产品
[00:03:21,800 -> 00:03:24,199] 或者说是第一方的运营需要定价的
[00:03:24,199 -> 00:03:26,000] 这些不是那么多
[00:03:26,000 -> 00:03:28,000] 第二类呢就是forecasting
[00:03:28,000 -> 00:03:32,000] 像经济学家他是要预测这个GDP什么的是吧
[00:03:32,000 -> 00:03:35,000] 而且经济学家的预测和Machine Learning Scientist
[00:03:35,000 -> 00:03:38,000] 或者说是统计学家们的预测
[00:03:38,000 -> 00:03:40,000] 有一个比较大的区别就是
[00:03:40,000 -> 00:03:43,000] 经济学家一般面对的数据量很少
[00:03:43,000 -> 00:03:45,000] 比如说你要预测GDP
[00:03:45,000 -> 00:03:48,000] 你历史的GDP可能只有50年的数据对吧
[00:03:48,000 -> 00:03:50,000] 然后你可能每个quarter就都出一个
[00:03:50,000 -> 00:03:51,000] 那就200个数据点
[00:03:51,000 -> 00:03:53,000] 那不是很多
[00:03:53,000 -> 00:03:55,000] 像Machine Learning它动辄要求
[00:03:55,000 -> 00:03:58,000] 就是几万行几十万行几亿行的数据
[00:03:58,000 -> 00:03:59,000] 那你用几百行的数据怎么办
[00:03:59,000 -> 00:04:03,000] 你就要把很多现实工作
[00:04:03,000 -> 00:04:06,000] 或者说现实生活中的很多其他数据放进来
[00:04:06,000 -> 00:04:09,800] 比如说你要怎么样子去control for seasonality
[00:04:09,800 -> 00:04:13,599] 然后你可能有一些其他的什么叫我们叫panel data
[00:04:13,599 -> 00:04:16,500] 可以用来这个帮你进行预测
[00:04:16,500 -> 00:04:20,800] 你就要去有一些自己的这种模型放到里边去
[00:04:20,800 -> 00:04:22,899] 然后才可以进行更好的预测
[00:04:22,899 -> 00:04:27,000] 那放到亚马逊的话就比如说你的AWS server的usage
[00:04:27,000 -> 00:04:29,000] 比如说你Prime Day的sell
[00:04:29,000 -> 00:04:30,000] 对吧
[00:04:30,000 -> 00:04:31,000] Prime Day到底是卖多少钱
[00:04:31,000 -> 00:04:33,000] 你今年Prime Day会卖多少钱
[00:04:33,000 -> 00:04:34,000] 或者说你那个
[00:04:34,000 -> 00:04:36,000] 讲到Prime Day卖多少钱
[00:04:36,000 -> 00:04:38,000] 大家还记得阿里的双11的价格
[00:04:38,000 -> 00:04:41,000] 可以被一个这个三次方曲线
[00:04:41,000 -> 00:04:42,000] 非常完美的拟合
[00:04:42,000 -> 00:04:45,360] 我们今年双11不知道会是怎么样
[00:04:45,360 -> 00:04:47,800] 我这期视频录的时候是11月初
[00:04:47,800 -> 00:04:49,519] 发的时候可能双11已经过了
[00:04:49,519 -> 00:04:50,680] 但是我们可以看一下
[00:04:50,680 -> 00:04:53,000] 那个曲线拟合的怎么样
[00:04:53,000 -> 00:04:55,680] 如果曲线真的是符合三次方曲线的话
[00:04:55,680 -> 00:04:56,720] 那简直是dream
[00:04:56,720 -> 00:04:59,120] 就是我们的prime day预测还是挺难的
[00:04:59,120 -> 00:05:01,079] 这个内部数据就不说了
[00:05:01,240 -> 00:05:04,360] 但是总之预测需求是一件挺难的事情
[00:05:04,360 -> 00:05:08,879] 也需要经济学家们来帮助建立相关的模型
[00:05:08,879 -> 00:05:10,560] 和进行精准的预测
[00:05:11,160 -> 00:05:12,319] 那您也想到了吗
[00:05:12,319 -> 00:05:14,120] 就是你预测多了预测少了
[00:05:14,120 -> 00:05:16,680] 其实是都有很多real money behind it
[00:05:17,240 -> 00:05:18,759] 那最后最多的人
[00:05:18,759 -> 00:05:20,680] 就是亚马逊经济学家做的最多的人
[00:05:20,680 -> 00:05:22,279] 就是因果推断
[00:05:22,279 -> 00:05:25,439] 或者说叫我们叫reduce form causal inference
[00:05:25,439 -> 00:05:30,319] 就是用模型去进行去解读一个政策的因果关系
[00:05:30,319 -> 00:05:33,000] 我在前面那个AB testing里面讲了
[00:05:33,000 -> 00:05:35,160] 就是很多东西为什么要run AB testing
[00:05:35,160 -> 00:05:39,680] 因为你比较之前之后的数据是不能给你一个因果关系的
[00:05:39,680 -> 00:05:42,160] 很多时候因为有的时候有seasonality
[00:05:42,160 -> 00:05:44,480] 然后有的时候有其他的东西
[00:05:44,480 -> 00:05:46,000] call confounding factor然后你比较这个就是A和B因为有的时候有seasonality然后有的时候有其他的东西calling factor
[00:05:46,000 -> 00:05:48,000] 然后你比较这个就是A和B
[00:05:48,000 -> 00:05:50,000] 然后A用了B没用
[00:05:50,000 -> 00:05:52,000] 也是不行的因为会有一个selection bias
[00:05:52,000 -> 00:05:54,000] 但是在亚马逊
[00:05:54,000 -> 00:05:56,000] 很多的时候是不能做
[00:05:56,000 -> 00:05:58,000] A B testing的为什么呢
[00:05:58,000 -> 00:06:00,000] 因为我们是花钱的
[00:06:00,000 -> 00:06:02,000] 像Facebook这种或者Google
[00:06:02,000 -> 00:06:04,000] 它是一个免费的产品免费的产品你就可以
[00:06:04,000 -> 00:06:06,079] 给用户不同的experience对吧
[00:06:06,079 -> 00:06:08,879] 尤其他们很多A B testing是在UI的层面
[00:06:09,160 -> 00:06:12,240] 在亚马逊网站它也有一个叫web lab的地方
[00:06:12,240 -> 00:06:15,920] 是可以做这种网站的A B testing
[00:06:16,079 -> 00:06:18,000] 但是很多时候你面对消费者
[00:06:18,000 -> 00:06:19,600] 面对商家的政策的变化
[00:06:19,759 -> 00:06:21,000] 你不可以做A B testing
[00:06:21,000 -> 00:06:22,879] 因为这会涉及到一个歧视
[00:06:22,879 -> 00:06:25,680] 或者其他的就是法律方面的问题
[00:06:26,120 -> 00:06:29,800] 那就需要经济学家去用一些经济学的
[00:06:29,800 -> 00:06:33,279] 这种计量模型去进行因果推断
[00:06:33,560 -> 00:06:36,360] 像经济学的所有的这种empirical的paper
[00:06:36,360 -> 00:06:38,279] 不管是劳工教育
[00:06:38,279 -> 00:06:40,879] 甚至现在一些宏观的论文
[00:06:40,879 -> 00:06:43,360] 然后像我的公司金融这些
[00:06:43,360 -> 00:06:47,439] 很多时政论文都是研究你的一个政策变化了以后
[00:06:47,439 -> 00:06:50,319] 到底对大家的比如说失业率有什么影响
[00:06:50,319 -> 00:06:53,920] 很著名的就是最低工资的变化会对失业率有什么影响
[00:06:53,920 -> 00:06:56,800] 我们就是要找到这个causal impact
[00:06:56,800 -> 00:06:58,560] 我们会有很多这种模型
[00:06:58,560 -> 00:07:00,319] 太专业了我就不展开了
[00:07:00,319 -> 00:07:02,399] 就比如说什么这个instrument variable
[00:07:02,399 -> 00:07:03,360] 工具变量
[00:07:03,360 -> 00:07:05,000] definitive双重差分
[00:07:05,000 -> 00:07:08,000] 然后这个Regression Discontinuity
[00:07:08,000 -> 00:07:10,000] 然后现在还有什么Double ML啊
[00:07:10,000 -> 00:07:11,000] Matrix Completion啊
[00:07:11,000 -> 00:07:12,000] Synthetic Cohort
[00:07:12,000 -> 00:07:13,000] 这是一大堆模型
[00:07:13,000 -> 00:07:16,000] 我们可以加上我们自己的这些理解吧
[00:07:16,000 -> 00:07:18,000] 就是可以帮公司做这件事
[00:07:18,000 -> 00:07:21,000] 那这件事情毫无疑问
[00:07:21,000 -> 00:07:22,000] 在我看来是很重要的
[00:07:22,000 -> 00:07:25,360] 因为你的这个很多时候就是你决定
[00:07:25,360 -> 00:07:26,720] 如果拍脑袋去做的话
[00:07:26,720 -> 00:07:28,319] 那你最后也不知道结果对吧
[00:07:28,319 -> 00:07:32,160] 你只有真正的很好的理解了这个政策带来的影响
[00:07:32,160 -> 00:07:34,560] 才可能那个去做更好的政策
[00:07:34,560 -> 00:07:36,399] 尤其在亚马逊的这种体量
[00:07:36,399 -> 00:07:39,120] 你政策一点的差别就会影响很多人的生计
[00:07:39,120 -> 00:07:41,600] 所以说把这个东西做好是很重要的
[00:07:41,600 -> 00:07:46,000] 那就以上基本上就是亚马逊经济学家干的事情了
[00:07:46,000 -> 00:07:50,100] 稍稍还有一个人可能会参与到这个市场的市场设计
[00:07:50,100 -> 00:07:52,699] Market Design或者说是Market Mechanism
[00:07:52,699 -> 00:07:58,300] 我觉得亚马逊的经济学家在业界应用还是非常靠前的
[00:07:58,300 -> 00:08:03,500] 而且我觉得经济学的training在我看来对互联网企业也是非常有帮助
[00:08:03,500 -> 00:08:05,000] 最重要最重要的一点啊
[00:08:05,000 -> 00:08:07,500] 就是我们受到的所有的训练
[00:08:07,500 -> 00:08:10,000] 尤其是说empirical这些
[00:08:10,000 -> 00:08:14,000] 我们你比如说你写一篇这个实证研究的论文
[00:08:14,000 -> 00:08:15,500] empirical的论文
[00:08:15,500 -> 00:08:19,000] 你说到的第一个challenge就是你的identification是什么样子的
[00:08:19,000 -> 00:08:22,000] 所以说你就要对这个数据的因果性
[00:08:22,000 -> 00:08:23,500] 有一个特别好的理解
[00:08:23,500 -> 00:08:24,500] 你理解了这个以后
[00:08:24,500 -> 00:08:27,399] 不管你是去寻找它的因果性
[00:08:27,439 -> 00:08:30,040] 然后去还是去设计实验
[00:08:30,079 -> 00:08:32,360] 其实都是你就自然而然的知道了
[00:08:32,399 -> 00:08:34,440] 就知道这些东西
[00:08:34,720 -> 00:08:36,399] 到底什么是可以用的
[00:08:36,399 -> 00:08:37,559] 什么是不可以用的
[00:08:37,879 -> 00:08:40,960] 再就是你的经济学的training
[00:08:41,559 -> 00:08:44,559] 会帮助你去想到很多second order的东西
[00:08:44,960 -> 00:08:45,000] 我之前有一个视频说经济学对我在赖三�助你去想到很多second order的东西
[00:08:47,600 -> 00:08:47,960] 我之前有一个视频说经济学都有在赖三连起事
[00:08:49,399 -> 00:08:51,440] 就是你要去寻找均衡态而不是去看这个东西做了以后
[00:08:51,440 -> 00:08:53,000] 下一步会发生什么
[00:08:53,039 -> 00:08:55,919] 因为你可能你比如说提高了价格
[00:08:55,919 -> 00:08:58,559] 或者说你把一些brand保护起来了
[00:08:58,600 -> 00:09:00,360] 看似可能这些brand得到好处
[00:09:00,360 -> 00:09:03,759] 但是可能之后你的这个消费者就那个
[00:09:03,759 -> 00:09:04,759] 你的竞争降低
[00:09:04,759 -> 00:09:05,879] 然后你就会提高价格然后消费者就那个你的竞争降低然后你就会提高价格
[00:09:05,879 -> 00:09:07,480] 然后消费者反而不买账了
[00:09:07,480 -> 00:09:08,840] 就是类似的吧
[00:09:08,840 -> 00:09:10,320] 很多很多的这种事情
[00:09:10,320 -> 00:09:14,600] 经济学家我觉得他的这个思考模式和他对数据的理解
[00:09:14,600 -> 00:09:18,399] 还是对互联网企业挺有独特的帮助的
[00:09:18,399 -> 00:09:19,399] 好了
[00:09:19,399 -> 00:09:20,639] 今天就讲到这里
[00:09:20,639 -> 00:09:21,919] 大家有什么问题欢迎问我
[00:09:21,919 -> 00:09:22,639] 下期再见
