[00:00:00,000 -> 00:00:02,359] 我们认为在未来其实所有的企业
[00:01:25,480 -> 00:01:27,040] 那AI其實一樣道理
[00:01:27,040 -> 00:01:28,959] 那我們認為就是在未來
[00:01:28,959 -> 00:01:31,959] 其實所有的企業多多少少都會跟AI有關系
[00:01:31,959 -> 00:01:33,959] 我們那個活動上已經很明顯了
[00:01:33,959 -> 00:01:35,560] 所有的人都跟AI有關系
[00:01:35,560 -> 00:01:36,359] 所有人都是AI
[00:01:36,359 -> 00:01:39,359] 所以你說你是一看AI基金等於沒說
[00:01:39,359 -> 00:01:41,959] 所以你最後還是得回歸到你具體的場景
[00:01:41,959 -> 00:01:44,760] 你到時文娛還是說消費
[00:01:44,760 -> 00:01:46,099] 還是說是是硬件
[00:01:46,099 -> 00:01:48,000] 还是说是什么医疗
[00:01:48,000 -> 00:01:50,299] 你最后跟AI产生的关系
[00:01:50,299 -> 00:01:52,599] 这个AI只是你的一个工具
[00:01:52,599 -> 00:01:53,799] 或者是底层的一个技术
[00:01:53,799 -> 00:01:55,099] 这个我的感觉也是
[00:01:55,099 -> 00:01:57,700] 就是我现在听到一个人说自己是做AI的
[00:01:57,700 -> 00:02:01,000] 首先他是不是过去也是在做AI的
[00:02:01,000 -> 00:02:04,200] 然后那是不是在这里边真的有一些独特的技术
[00:02:04,200 -> 00:02:06,280] 如果不是的话
[00:02:06,280 -> 00:02:08,840] 张蹭就觉得最热点是一方面
[00:02:08,840 -> 00:02:10,039] 更重要的就是
[00:02:10,039 -> 00:02:12,759] 那我可能接下来会关注的是
[00:02:12,759 -> 00:02:15,439] 他在这个AI enable的基础之上
[00:02:15,439 -> 00:02:17,199] 他独特的优势是什么
[00:02:17,199 -> 00:02:19,680] 如果他没有后面这个独特的优势
[00:02:19,680 -> 00:02:21,680] 然后他只说自己是做AI的
[00:02:21,680 -> 00:02:23,639] 那我就觉得还轮不到你
[00:02:25,280 -> 00:02:27,379] 就是我觉得OKAI也好
[00:02:27,379 -> 00:02:29,000] 或者Google也好
[00:02:29,000 -> 00:02:29,639] 微软也好
[00:02:29,639 -> 00:02:33,379] 或者其他的有潜力的那些巨头们
[00:02:33,379 -> 00:02:35,340] 他们的生态还没有成熟
[00:02:35,340 -> 00:02:38,180] 然后我一直觉得机会都是在于
[00:02:38,180 -> 00:02:39,819] Human Capital的分发
[00:02:39,819 -> 00:02:42,379] 就是你是一个什么专家
[00:02:42,379 -> 00:02:43,340] 你有很多
[00:02:43,340 -> 00:02:44,819] Knowledge
[00:02:44,819 -> 00:02:45,080] 对但之前你只能服务一个人就是你是一个什么专家你有很多对
[00:02:45,080 -> 00:02:47,280] 但之前你只能服务一个人
[00:02:47,280 -> 00:02:50,199] 对现在你可以服务一万个人
[00:02:50,199 -> 00:02:51,680] 一百万个人一个人
[00:02:51,680 -> 00:02:53,840] 就是我一直希望出现的一个killer app
[00:02:53,840 -> 00:02:56,159] 就是协和医院也好
[00:02:56,159 -> 00:02:58,000] 哈佛医学院也好什么的
[00:02:58,000 -> 00:03:01,560] 他们去在alignment 组织上为了很多案例库
[00:03:01,560 -> 00:03:04,400] 然后调教出来一个医疗机器人
[00:03:04,400 -> 00:03:09,500] 然后这个这个医疗AI绝对可以到达市面上90%的医生的水平
[00:03:09,500 -> 00:03:13,000] 其实你现在看到的大部分的应用层的创业者
[00:03:13,000 -> 00:03:15,000] 尤其是很多年轻人的这种talent
[00:03:15,000 -> 00:03:17,000] 他做出来一个漂亮的APP
[00:03:17,000 -> 00:03:19,000] 好像技术含量也不是那么高
[00:03:19,000 -> 00:03:21,500] 我做的产品做的不错 那我就开始做
[00:03:21,500 -> 00:03:23,000] 那么你其实你回头去看
[00:03:23,000 -> 00:03:25,599] 移动互联网时代就是8到10年以前吧
[00:03:25,599 -> 00:03:28,000] 在这个出海圈是经历过这样的一个过程
[00:03:28,000 -> 00:03:31,000] 你看早期咱们这个出海圈的很多的这个
[00:03:31,000 -> 00:03:32,400] 包括现在都上市企业了
[00:03:32,400 -> 00:03:34,000] 猎豹 猎豹 克里马斯特
[00:03:34,000 -> 00:03:35,599] 然后iHandy一个手电筒
[00:03:35,599 -> 00:03:38,000] 对吧一个手电筒做出来一个工具
[00:03:38,000 -> 00:03:40,000] 他们这些应用其实也都很薄
[00:03:40,000 -> 00:03:43,199] 同意 但是你看当时他们在那样的一个历史时代
[00:03:43,199 -> 00:03:44,800] 他通过一个很薄的一个工具
[00:03:44,800 -> 00:03:45,240] 他逐渐逐渐的产生了矩阵他知道这个流量以后怎么去用但是你看当时他们在那样的一类时代 他通过一个很薄的一个工具
[00:03:45,240 -> 00:03:49,139] 他逐渐逐渐的产生了矩阵 他知道这个流量以后怎么去用
[00:03:49,139 -> 00:03:51,680] 然后整理出来了一套流量的打法
[00:03:51,680 -> 00:03:59,159] 然后后来不管是工具转内容 还是工具转SaaS 还是这个whatever其他的一些打法
[00:03:59,159 -> 00:04:03,860] 那么这套成熟的这个打法体系 这工具的矩阵的这个打法体系
[00:04:03,860 -> 00:04:09,099] 这个是上一个时代其实给我们留下的一个很值得现在这一批AI创业者他们去学习的
[00:04:09,099 -> 00:04:14,199] 所以我其实现在给我们遇到的这一些初创的很多的这种初创的朋友
[00:04:14,199 -> 00:04:21,500] 做AI方面的这种APP的朋友 我给他们建议都是说你回去研究研究早期中国的这几家企业
[00:04:21,500 -> 00:04:25,600] 猎豹啊 然后iHandy啊 你你看中國的這個移動貨量出海
[00:04:25,600 -> 00:04:27,560] 其實體系已經非常的健全了
[00:04:27,560 -> 00:04:30,000] 那出來了很多很多的這種巨頭企業
[00:04:31,000 -> 00:04:33,800] 那很多企業呢他們自己也在研究這個AI
[00:04:34,000 -> 00:04:36,399] 他們的生產的這個Pipeline
[00:04:36,399 -> 00:04:38,920] 很多的現在都是轉向了這個AI的這個方向
[00:04:39,360 -> 00:04:40,680] 包括像字節
[00:04:40,680 -> 00:04:42,319] 這些大公司
[00:04:42,319 -> 00:04:43,079] 他們的Pipeline上
[00:04:43,079 -> 00:04:44,240] 其實也都有很多的
[00:04:44,240 -> 00:04:46,079] 跟AI結合非常緊密的產品像簡映啊這些的其實他們的排序列上其实也都有很多的跟AI结合非常紧密的产品
[00:04:46,079 -> 00:04:47,040] 像剪影这些的
[00:04:47,040 -> 00:04:49,199] 其实他们的场景都是非常适合AI的
[00:04:49,199 -> 00:04:51,600] 剪影就是属于一个怎么说
[00:04:51,600 -> 00:04:53,360] 让我觉得它有特别大的潜力
[00:04:53,360 -> 00:04:55,439] 然后我觉得它的点也非常好
[00:04:55,439 -> 00:04:57,439] 就是我Final Cut Pro和剪影都在用
[00:04:57,439 -> 00:05:00,560] 我觉得Final Cut Pro是永远不可能追得上剪影的速度的
[00:05:00,560 -> 00:05:03,360] 也不可能有它的这个adoption的前景
[00:05:03,360 -> 00:05:07,000] 但是比如说我在跟他们反馈一些问题的时候
[00:05:07,000 -> 00:05:10,000] 然后他们工程师给我的这个回复
[00:05:10,000 -> 00:05:15,000] 就让我觉得他还是会很难打得过这些
[00:05:15,000 -> 00:05:17,000] 就是有接需求的程序的人
[00:05:17,000 -> 00:05:19,000] 然后去产品经理说一个需求
[00:05:19,000 -> 00:05:20,000] 然后你别做了
[00:05:20,000 -> 00:05:23,000] 然后有一些是engineer driven的这些人
[00:05:23,000 -> 00:05:26,500] 然后我觉得Opus Pro就是一个类似的例子
[00:05:26,500 -> 00:05:30,399] 前者再强也会被后者给打败
[00:05:30,399 -> 00:05:32,500] 有一家企业他们就说
[00:05:32,500 -> 00:05:38,500] 就说美国产品经理提出来的需求或者是设计
[00:05:38,500 -> 00:05:43,000] 国内的就是再不接受你都要执行
[00:05:43,000 -> 00:05:44,199] 为什么呢
[00:05:44,199 -> 00:05:46,699] 因为这就是我雇这个local team的理由
[00:05:46,699 -> 00:05:48,699] 就是看到了一些你没有看到的东西
[00:05:48,699 -> 00:05:49,699] 你不理解的东西
[00:05:49,699 -> 00:05:50,500] 你不理解就对了
[00:05:50,500 -> 00:05:53,300] 这个用户认知本身就很难很难了
[00:05:53,300 -> 00:05:54,899] 就是本地话用户认知
[00:05:54,899 -> 00:05:57,100] 然后谁真的知道用户
[00:05:57,100 -> 00:05:58,800] 这本身是一个特别大的问题
[00:05:58,800 -> 00:06:00,000] 这也是为什么做实验
[00:06:00,000 -> 00:06:01,899] 或者说数据到底是干什么的
[00:06:01,899 -> 00:06:04,600] 所以你们做AV test这个东西很有价值
[00:06:04,600 -> 00:06:07,439] 是但是想把它用好真的很难
[00:06:07,439 -> 00:06:09,600] 就是你没有这个工具是很难用好的
[00:06:09,600 -> 00:06:11,199] 但是有了这个工具想要用好
[00:06:11,199 -> 00:06:14,079] 其实也要经过起码5次的
[00:06:14,079 -> 00:06:16,079] 就是你做实验用5个不同的stage
[00:06:16,079 -> 00:06:18,279] 然后绝大多数人其实还在stage1
[00:06:18,279 -> 00:06:20,079] 就是你以为你想的是对的
[00:06:20,079 -> 00:06:22,560] 其实你一旦开始做实验了以后
[00:06:22,560 -> 00:06:24,879] 你会发现你百分之八九十都是不对的
[00:06:24,879 -> 00:06:26,439] 这个是一个普遍的
[00:06:26,439 -> 00:06:28,319] 我叫business physics
[00:06:28,319 -> 00:06:30,720] 就是一个商业物理学
[00:06:30,720 -> 00:06:33,160] 你只要开始做实验
[00:06:33,160 -> 00:06:35,480] 你就会发现你百分之八九十的想法都是错的
[00:06:35,480 -> 00:06:36,920] 但是你不做实验你不知道
[00:06:36,920 -> 00:06:37,319] 对
[00:06:37,319 -> 00:06:39,120] 这是一个很有意思的
[00:06:39,120 -> 00:06:40,439] 因为你做的东西难的
[00:06:40,439 -> 00:06:43,920] 就是那些你想就知道答案的东西早就被做掉了
[00:06:43,920 -> 00:06:46,800] 绝大多数人其实没有在心中接受这一点
[00:06:46,800 -> 00:06:50,199] 这是stage 1 后面还有好几个stage
[00:06:50,199 -> 00:06:52,920] 这个有的时候其实给我们投资有一些启示
[00:06:52,920 -> 00:06:55,439] 投资人有的时候非常依赖自己的直观感觉
[00:06:55,439 -> 00:06:56,920] 你知道有很多拍脑门投资人
[00:06:56,920 -> 00:06:59,160] 对 我觉得拍脑门其实很重要
[00:06:59,160 -> 00:07:01,879] 就是因为你要先接受自己很容易错
[00:07:01,879 -> 00:07:05,759] 然后在这个基础之上去拍脑门其实是好的
[00:07:05,759 -> 00:07:08,639] 因为反正你知道自己大多数时候是错的
[00:07:08,639 -> 00:07:11,839] 不能过于依赖理性的分析
[00:07:11,839 -> 00:07:14,000] 我这有一个mental model大概是这样子的
[00:07:14,000 -> 00:07:18,079] 就是我们把自己想象成在一个黑暗的房间里面
[00:07:18,079 -> 00:07:20,639] 然后黑暗的房间里面的游戏规则是
[00:07:20,639 -> 00:07:22,639] 你去过的地方可以被你点亮
[00:07:22,639 -> 00:07:25,000] 但是前提是你能正确归音和正确观察
[00:07:25,000 -> 00:07:28,500] 其他多数人是缺乏intellectual honesty去正确归音的
[00:07:28,500 -> 00:07:32,000] 然后也缺乏方法和真正的observation去正确归音
[00:07:32,000 -> 00:07:34,500] 就是你过去做对的事情都不知道为什么对
[00:07:34,500 -> 00:07:36,000] 错了错了错了你不知道怎么错
[00:07:36,000 -> 00:07:37,500] 房间里有各种各样的treasure
[00:07:37,500 -> 00:07:40,000] 这个时候你要做的是多去探索
[00:07:40,000 -> 00:07:42,500] 然后多去碰到那个treasure
[00:07:42,500 -> 00:07:44,500] 然后你知道了我碰到treasure了
[00:07:44,500 -> 00:07:46,160] 然后大概这个地形是这样子的
[00:07:46,160 -> 00:07:47,800] 总之你要做的就是多探索
[00:07:47,800 -> 00:07:49,560] 多归因
[00:07:49,560 -> 00:07:52,000] 但是绝大多数依赖直觉的人
[00:07:52,000 -> 00:07:54,160] 他就会在自己探索过的地方打转
[00:07:54,160 -> 00:07:55,680] 这个是一个值得思考的
[00:07:55,680 -> 00:07:57,439] 这个里面有很多的
[00:07:57,439 -> 00:08:01,439] 我觉得能指导我们创业者和投资人的
[00:08:01,439 -> 00:08:04,040] 这个是我做了这么久的实验以后
[00:08:04,040 -> 00:08:07,480] 总结出来的一个关于实验的哲学
[00:08:07,480 -> 00:08:08,680] 就是这个这点很棒
[00:08:08,680 -> 00:08:10,279] 如果带着这个哲学去看
[00:08:10,279 -> 00:08:12,579] 绝大多数公司早期的发展
[00:08:12,579 -> 00:08:14,079] 不管是字节啊
[00:08:14,079 -> 00:08:15,379] 然后Facebook啊这些
[00:08:15,379 -> 00:08:17,279] 你都能看到类似的故事
[00:08:17,279 -> 00:08:18,980] 感觉投资做久了
[00:08:18,980 -> 00:08:20,279] 会不会就开始
[00:08:20,579 -> 00:08:23,480] 有一些对更深层规律的一些体会
[00:08:23,680 -> 00:08:25,600] 几百个创业者是吧
[00:08:25,600 -> 00:08:28,399] 勤奋的投资人应该每一个都去积拉多聊一聊
[00:08:28,399 -> 00:08:29,399] 然后多介绍
[00:08:29,399 -> 00:08:31,399] 但是你不会去做这样的事情了
[00:08:31,399 -> 00:08:34,600] 就是这个变化是个什么样的变化
[00:08:34,600 -> 00:08:37,200] 我觉得我在刚入行的时候
[00:08:37,200 -> 00:08:39,799] 我们有一个同事是从一个媒体过来的
[00:08:39,799 -> 00:08:44,000] 然后他说他每年在这个媒体要看
[00:08:44,000 -> 00:08:45,600] 我记得当时他说130个项目
[00:08:45,600 -> 00:08:48,480] 然后当时我听到这个数据的时候 我当时惊呆了
[00:08:48,480 -> 00:08:55,039] 我说这个好多 一年看130个项目 对 我当时觉得是一个天文数字
[00:08:55,039 -> 00:09:00,240] 然后等到入行过了半年一年的时候 我发现这是一个行业标准
[00:09:00,240 -> 00:09:02,240] 就是你至少你得见个几百个项目
[00:09:02,240 -> 00:09:05,399] 你要把整个行业你所看的赛道
[00:09:06,399 -> 00:09:10,200] 几乎所有出来的优质项目你都要cover一遍
[00:09:10,200 -> 00:09:12,000] 对吧 因为我是一个天秤座
[00:09:12,000 -> 00:09:13,799] 然后我合伙人他是一个处女座
[00:09:13,799 -> 00:09:14,799] 我们都是选的昆南正
[00:09:14,799 -> 00:09:17,600] 我们说这个能不能做投资
[00:09:17,600 -> 00:09:24,000] 但是后来发现决策能力不是唯一决定你能不能投好项目的一个逻辑
[00:09:24,600 -> 00:09:26,919] 尤其是在中国市场当时非常明显就是轮不到你决定你能不能投好项目的一个逻辑尤其是在中国市场 当时非常明显
[00:09:27,159 -> 00:09:30,320] 就是轮不到你决策 好项目基本上都在那
[00:09:31,000 -> 00:09:35,240] 这个在中国其实考 考要的是你的信息设计能力和你的社交能力
[00:09:35,240 -> 00:09:38,960] 你能不能投进去 你能不能以合适的价格投进去
[00:09:38,960 -> 00:09:43,480] 同样都是好项目 你投是1000万的估值 我投是500万的估值
[00:09:43,480 -> 00:09:44,480] 那我就比你强
[00:09:44,320 -> 00:09:49,519] 你投是1000万的估值 我投是500万的估值 那我就比你强所以在很长的一段时间内 我们setup的目标就是说
[00:09:49,519 -> 00:09:53,120] 尽可能的把一条赛道上面的项目基本上都要cover到
[00:09:53,120 -> 00:09:59,519] 即便是在疫情最糟糕的时候 我们基本上还保持着每年6到10个这样子项目在做
[00:09:59,519 -> 00:10:01,279] 今天我们投了8个到现在
[00:10:01,279 -> 00:10:07,159] 你投了很久了 做了很多入行一段时间
[00:10:07,159 -> 00:10:08,519] 应该也算是经历周期
[00:10:08,519 -> 00:10:11,440] 你看到这个东西up and down
[00:10:11,440 -> 00:10:12,440] 有没有什么感想
[00:10:12,440 -> 00:10:14,960] 比如说你看到了那些投资者
[00:10:14,960 -> 00:10:16,960] 然后每个人都要热火朝天聊AI
[00:10:16,960 -> 00:10:19,759] 你是觉得 history itself
[00:10:19,759 -> 00:10:22,559] 还是看到了一个progression
[00:10:22,559 -> 00:10:23,159] 这种感觉
[00:10:23,159 -> 00:10:27,200] 像我不敢说我自己经历完整周期那么长
[00:10:27,600 -> 00:10:30,000] 但是确实是up and down我是见过很多了
[00:10:30,000 -> 00:10:34,000] 对 在16年刚开始我们成立大观资本
[00:10:34,000 -> 00:10:36,700] 就是说我们要all in出海赛道这个时候
[00:10:36,700 -> 00:10:39,899] 全中国当时只有三家基金是all in出海的
[00:10:40,200 -> 00:10:42,799] 大部分的基金就是说我顺带着看这个出海项目
[00:10:42,799 -> 00:10:46,000] 我一半年的时候当时我第一波感受到一波这个出海的小高潮
[00:10:46,600 -> 00:10:48,700] 就是我记得当时我们在上海办了一场酒会
[00:10:49,399 -> 00:10:52,600] 当时基本上中国主流基金来了大几十个这样的
[00:10:52,600 -> 00:10:55,500] 基本上每一个基金都有一两个人开始看出海
[00:10:56,000 -> 00:10:58,799] at least会有一个头经理来cover出海
[00:10:59,200 -> 00:11:01,799] 很多就是合伙人 专门合伙人 我就看出海了
[00:11:02,299 -> 00:11:03,899] 感觉这条路是一个高速公路
[00:11:04,200 -> 00:11:06,159] 然后我们是开了一个桑塔纳在上面
[00:11:06,159 -> 00:11:09,200] 结果突然在18年的时候上来了一堆法拉利
[00:11:09,200 -> 00:11:12,559] 大家就在这条路上往前跑
[00:11:12,559 -> 00:11:14,960] 然后有的时候开一开就发现这些车又开下去了
[00:11:14,960 -> 00:11:17,440] 然后我们就一直坚持在这条路上走
[00:11:17,440 -> 00:11:22,240] 然后你看17年到19年期间其实宽行电商行业
[00:11:22,240 -> 00:11:24,720] 像咱们早期认识是宽行电商 对吧
[00:11:24,720 -> 00:11:26,980] 宽行电商一直是我们很重要关注的一个赛道
[00:11:26,980 -> 00:11:30,679] 但是你看在早期的时候 其实就有很多的这种upside down
[00:11:30,679 -> 00:11:35,019] 那amazon有很多的关店 对吧 有很多的这种出海企业
[00:11:35,019 -> 00:11:38,720] 他这个做品牌受阻 所以有很多类似的情况发生
[00:11:38,720 -> 00:11:42,519] 包括到疫情中间 疫情中间大家很多出海人出不来了
[00:11:42,519 -> 00:11:47,919] 出不了小区 然后没法到海外了 然后又很多的出海受阻
[00:11:47,919 -> 00:11:51,000] 然后游戏 你像这个移动互联网出海
[00:11:51,000 -> 00:11:54,559] 很多的像这几年说这个流量越来越贵 对吧
[00:11:54,559 -> 00:11:56,600] 你肯定在腾讯知道
[00:11:56,600 -> 00:11:59,000] 所以大家的这个起起伏伏一直有
[00:11:59,000 -> 00:12:01,600] 那么到今年突然看到这个AI大家都开始抢
[00:12:01,600 -> 00:12:03,399] 那还是回到咱们聊天最开始的时候
[00:12:03,399 -> 00:12:04,899] 我们并没有觉得说AI
[00:12:04,899 -> 00:12:06,960] 我们专门要把它当成一个出海的赛道来说
[00:12:08,080 -> 00:12:09,279] 但是呢
[00:12:09,279 -> 00:12:11,559] 在我们关注的这几个大的方向
[00:12:11,559 -> 00:12:13,679] 关于那种消费
[00:12:13,679 -> 00:12:15,279] 在这个深科技这些方向
[00:12:15,279 -> 00:12:16,440] SaaS
[00:12:16,440 -> 00:12:19,279] 一定会有很多跟AI相关的企业在跑出来
[00:12:19,279 -> 00:12:21,080] 中国的出海创业者
[00:12:21,080 -> 00:12:22,679] 用AI作为工具
[00:12:22,679 -> 00:12:24,679] 然后做一些相关的东西都会出来
[00:12:24,679 -> 00:12:27,179] 所以我觉得这个趋势是一定会越来越多
[00:12:27,179 -> 00:12:29,840] 然后出海创业者出来的会越来越多
[00:12:29,840 -> 00:12:32,379] 也希望大家多去全球市场看一看
[00:12:32,379 -> 00:12:36,139] 所以说出海我觉得是一个就是必经之路
[00:12:36,139 -> 00:12:37,220] 或者说最promising的
[00:12:37,220 -> 00:12:40,559] 对 我们的企业还是有很多的优势和能打的地方
[00:12:40,559 -> 00:12:41,779] advantage还是很多的
[00:12:41,779 -> 00:12:44,720] 所以你做全球化这是一个必经之路
[00:12:44,720 -> 00:12:48,600] 就是因为很多可能屏幕前的就是我的观众们
[00:12:48,600 -> 00:12:50,799] 他们很多是在大厂工作的
[00:12:50,799 -> 00:12:52,399] 或者说前大厂
[00:12:52,399 -> 00:12:55,799] 或者说加入一些就是比较late stage的这种
[00:12:55,799 -> 00:12:57,600] Starlight或者说已经快上市的公司
[00:12:57,600 -> 00:12:58,799] 上市之后的公司
[00:12:58,799 -> 00:13:00,799] 他们也会想过要不要创业
[00:13:00,799 -> 00:13:04,000] 你给这些人从一个投资人的视角去讲讲
[00:13:04,000 -> 00:13:08,440] 你看到的创业者的画像或者说是他们的故事
[00:13:08,440 -> 00:13:09,960] 或者说对
[00:13:09,960 -> 00:13:12,440] 首先第一点就是我们不鼓吹大家去创业
[00:13:12,440 -> 00:13:15,399] 我们肯定不会去特定的鼓励
[00:13:15,399 -> 00:13:16,960] 就是大家想创业一定要想好
[00:13:16,960 -> 00:13:18,559] 这个我一定要先说完
[00:13:18,559 -> 00:13:19,840] 其次就是说
[00:13:19,840 -> 00:13:23,440] 经常有人问我们说在出海圈我们寻找什么样的创业者
[00:13:23,440 -> 00:13:25,080] 我觉得几个方面一个就是说创业者我觉得几个方面
[00:13:25,080 -> 00:13:29,159] 一个就是说创业者的一些基础的一些重要的素质
[00:13:29,159 -> 00:13:30,519] 我们希望肯定是有的
[00:13:30,519 -> 00:13:33,320] 比如说vision 比如说人品各个方面
[00:13:33,559 -> 00:13:37,399] 这种东西我们希望在一个优秀的创业者身上能看到
[00:13:37,720 -> 00:13:40,080] 那在出海圈我们特别强调几个
[00:13:40,519 -> 00:13:43,840] 有一个是对于海外的生态
[00:13:44,159 -> 00:13:45,639] 你海外能利用的工具
[00:13:45,639 -> 00:13:50,240] 比如像这个像你们企业这种这种
[00:13:50,240 -> 00:13:52,679] 哎呀错过了
[00:13:52,679 -> 00:13:57,279] 这些这些企业他们的产品他们的生态有了解
[00:13:57,279 -> 00:13:58,480] 会去应用的
[00:13:58,480 -> 00:14:01,480] 这种我们其实觉得特别重要
[00:14:01,480 -> 00:14:04,759] 海外的生态有一定的了解 你不要什么都自己做
[00:14:04,759 -> 00:14:06,720] 很重要的一点就是国外的软件生态和国内对海外的生态有一定的了解你不要什么都自己做很重要的一点就是
[00:14:06,720 -> 00:14:09,600] 国外的软件生态和国内的软件生态
[00:14:09,600 -> 00:14:11,039] 是完全两个逻辑
[00:14:11,039 -> 00:14:13,039] 这些在国内大厂出海的时候
[00:14:13,039 -> 00:14:14,240] 就反复跌跟头
[00:14:14,240 -> 00:14:15,679] 但是你跟他们说也没有用
[00:14:15,679 -> 00:14:17,960] 就是国内大厂比如说就拿云来说
[00:14:17,960 -> 00:14:20,440] 国内大厂把云看成了一个租服务器的地方
[00:14:20,440 -> 00:14:23,000] 剩下所有东西都是自己希望在上面搞一套
[00:14:23,000 -> 00:14:25,759] 在国外这种逻辑就会让你死得很惨
[00:14:25,759 -> 00:14:28,159] 它不光是因为贵和没效率
[00:14:28,159 -> 00:14:30,399] 更重要的是你没有办法融入这个生态
[00:14:30,399 -> 00:14:32,720] 当别人所有的东西跟所有东西是打通的
[00:14:32,720 -> 00:14:35,919] 你自己在这搞一个孤岛那肯定最后就不行
[00:14:35,919 -> 00:14:36,799] 没错没错
[00:14:36,799 -> 00:14:38,360] 然后另一个我们还是希望的
[00:14:38,360 -> 00:14:40,679] 毕竟是做一个全球化
[00:14:40,679 -> 00:14:45,840] 那还是最好能够在不同的文化能进得去出得来
[00:14:45,840 -> 00:14:50,039] 有中国的视角 有美国的视角 有东南亚的视角
[00:14:50,039 -> 00:14:52,240] 有不同国家的资源可以支持你
[00:14:52,240 -> 00:14:56,679] 这个时候我觉得大概率你成功率就相对高的多了
[00:14:56,679 -> 00:14:58,720] 其实我帮大家问一个问题
[00:14:58,720 -> 00:15:01,279] 就是大厂出来的创业者成功率高吗
[00:15:01,279 -> 00:15:04,720] 还是这其实是成功率反而偏低的一群人
[00:15:04,720 -> 00:15:05,000] 这个很难讲因为本身在不同的赛道上面这些创业者成功率高吗?还是这其实是成功率反而偏低的一群人?
[00:15:05,000 -> 00:15:11,000] 这个很难讲,因为本身在不同的赛道上面我们观察是不一样的
[00:15:11,000 -> 00:15:17,000] 你比如说像我们投过这个出海游戏,现在我们portfolio做最好的一家就是海笔
[00:15:17,000 -> 00:15:22,000] 海笔游戏做工建传说啊这些,你都知道,我们是他们首轮领头嘛
[00:15:22,000 -> 00:15:25,000] 那王思恩原来是在大厂的那他还没出来
[00:15:25,000 -> 00:15:27,399] 就旁边有多少人就盯着他了
[00:15:27,399 -> 00:15:29,600] 那这种他见过
[00:15:29,600 -> 00:15:32,299] 这种创始人他见过怎么把一个好作品做出来
[00:15:32,299 -> 00:15:33,500] 这个是大厂给予他的
[00:15:33,500 -> 00:15:35,600] 这个整个的流程他非常熟悉
[00:15:35,600 -> 00:15:36,799] 做的非常成功
[00:15:36,799 -> 00:15:39,200] 那这种宝贵的经验
[00:15:39,200 -> 00:15:41,299] 那大厂成功率一定会高很多很多
