[00:00:00,000 -> 00:00:03,080] 四年前在我刚到西雅图不久的时候
[00:01:30,799 -> 00:01:34,840] 他们卖的都是本地农场的这个有机的食物
[00:01:34,840 -> 00:01:37,840] 总之就是一个很proud
[00:01:37,840 -> 00:01:39,200] 非常有骄傲是吧
[00:01:39,200 -> 00:01:41,480] 然后又非常有质感
[00:01:41,480 -> 00:01:43,280] 非常有温度的这么一个市场
[00:01:43,280 -> 00:01:47,359] 我当时带着我的朋友一起去逛了那个市场
[00:01:47,359 -> 00:01:50,000] 逛完了以后我们就在旁边的一个
[00:01:50,000 -> 00:01:53,000] Seafood Chowder Place喝海鲜浓汤
[00:01:53,000 -> 00:01:56,120] 我坐在那喝的时候呢
[00:01:56,120 -> 00:02:00,000] 就逛了那个市场就也买了面包什么的
[00:02:00,000 -> 00:02:02,239] 就觉得哇好幸福啊
[00:02:02,239 -> 00:02:06,000] 离我家很近的地方就有一个这么有意思的市场
[00:02:06,000 -> 00:02:10,039] 那我下个周就会过来买一堆食材
[00:02:10,039 -> 00:02:11,960] 拿着一个那个棕色的纸包
[00:02:11,960 -> 00:02:13,960] 然后上面放着法棍啊
[00:02:13,960 -> 00:02:16,280] 然后挑着有风味的番茄啊
[00:02:16,280 -> 00:02:18,400] 什么长得奇形怪状的尖椒啊
[00:02:18,400 -> 00:02:20,439] 各五颜六色不是五颜六色吧
[00:02:20,439 -> 00:02:23,960] 就是红的黄的紫色的胡萝卜呀
[00:02:23,960 -> 00:02:26,159] 和这个本地的鱼啊什么东西
[00:02:26,159 -> 00:02:27,840] 回家去做一顿饭
[00:02:27,840 -> 00:02:32,360] 那就是我对美国小资精致生活的想象了
[00:02:32,360 -> 00:02:37,000] 那个也是我结束了20多年的学生生涯
[00:02:37,000 -> 00:02:39,280] 刚刚得到了一份稳定的工作
[00:02:39,280 -> 00:02:41,080] 那是我对生活的想象
[00:02:42,199 -> 00:02:46,879] 可是直到大概三周前吧
[00:02:46,879 -> 00:02:50,560] 我跟文庆在聊天的时候
[00:02:50,800 -> 00:02:54,439] 他跟我说他带着他的朋友去逛PacketBistMarket
[00:02:54,439 -> 00:02:56,080] 那里真是一个不错的地方
[00:02:56,080 -> 00:02:57,840] 有各种各样的好吃的
[00:02:57,840 -> 00:03:00,319] 然后他的面包也非常棒等等
[00:03:00,319 -> 00:03:01,800] 我就突然想起来
[00:03:01,960 -> 00:03:05,000] 啊 我其实在西雅图待了四年
[00:03:05,000 -> 00:03:07,000] 只去了那一次
[00:03:07,000 -> 00:03:10,000] 我去那一次的时候,我会觉得我下周就会去
[00:03:10,000 -> 00:03:12,000] 我会经常去
[00:03:12,000 -> 00:03:15,000] 而且我也路过那个packplace market
[00:03:15,000 -> 00:03:17,000] 可能几十遍,甚至上百遍了
[00:03:17,000 -> 00:03:19,000] 但是我在西雅图待了四年
[00:03:19,000 -> 00:03:21,000] 就真的只去了那么一次
[00:03:21,000 -> 00:03:24,000] 我想象中的那个西雅图小资金制生活
[00:03:24,000 -> 00:03:25,759] 确实发生了
[00:03:25,759 -> 00:03:27,800] 我有的时候也会拿着brown bag里面
[00:03:27,800 -> 00:03:29,599] 装着一些东西回家做饭
[00:03:29,599 -> 00:03:32,039] 但是不是从packplace market买来的
[00:03:32,039 -> 00:03:34,120] 是从别的grocery store买来的
[00:03:34,120 -> 00:03:38,560] 这件事还是当时给我造成了挺大的困扰的
[00:03:38,560 -> 00:03:42,919] 因为我一直在跟拖延症做战斗
[00:03:42,919 -> 00:03:44,800] 并且自封为胜者
[00:03:44,800 -> 00:03:45,199] 我能识别拖延症做战斗并且自封为胜者
[00:03:47,300 -> 00:03:49,599] 我能识别拖延症的各种面目不管它是完美主义
[00:03:49,699 -> 00:03:51,699] 还是因为大脑中的异想
[00:03:51,699 -> 00:03:53,900] 我能识别到他们并且战胜他们
[00:03:54,000 -> 00:03:56,599] 但是我拖延了去Pike Place Market
[00:03:56,800 -> 00:03:58,199] 而且我没有识别出来
[00:03:58,500 -> 00:04:01,099] 并且我知道这个拖延是给我带来一个后果的
[00:04:01,099 -> 00:04:03,500] 就是我确实很怀念这个地方
[00:04:03,699 -> 00:04:05,840] 我回国了以后去了田字坊
[00:04:05,840 -> 00:04:08,360] 然后去阳朔玩的时候去了新坪古镇
[00:04:08,719 -> 00:04:11,439] 我特别讨厌那里的所谓的网红市场
[00:04:11,599 -> 00:04:14,919] 就是那儿卖的东西全都是所谓爆款
[00:04:15,159 -> 00:04:16,279] 网红
[00:04:16,399 -> 00:04:19,120] 千篇一律的东西都是你淘宝上可以买到的
[00:04:19,279 -> 00:04:20,720] 为了吸引眼球
[00:04:20,720 -> 00:04:22,600] 为了骗你这一笔钱
[00:04:22,720 -> 00:04:23,879] 而摆在那里
[00:04:23,879 -> 00:04:26,319] 它跟这个地方已经没有任何关系了
[00:04:26,319 -> 00:04:28,920] 超级廉价 超级没有质感
[00:04:28,920 -> 00:04:32,360] 于是就让我加倍的怀念PackPlace这样一个
[00:04:32,360 -> 00:04:34,560] 非常独特 非常有质感的地方
[00:04:36,199 -> 00:04:39,480] 可是这个 这个拖延症和其他的拖延症
[00:04:39,480 -> 00:04:40,879] 不一样的在于
[00:04:40,879 -> 00:04:44,040] 我知道去了以后我是去寻找快乐的
[00:04:44,040 -> 00:04:46,000] 我去了以后会给我带来快乐
[00:04:46,000 -> 00:04:48,000] 但是我却拖延它
[00:04:48,000 -> 00:04:51,000] 可是拖延快乐其实比拖延痛苦
[00:04:51,000 -> 00:04:53,000] 有的时候危害更大
[00:04:53,000 -> 00:04:56,000] 因为快乐是一个出手可及
[00:04:56,000 -> 00:04:57,000] 你就能得到它
[00:04:57,000 -> 00:04:59,000] 然后你做了就会有好处的东西
[00:04:59,000 -> 00:05:01,000] 痛苦你不一定知道
[00:05:01,000 -> 00:05:03,000] 你不知道它到底是可以给你带来好处
[00:05:03,000 -> 00:05:04,000] 还是带来坏处
[00:05:04,000 -> 00:05:06,040] 我把它归结为隐形拖延症吧
[00:05:06,040 -> 00:05:10,000] 就是它比起一个我们都能意识到的拖延症来说
[00:05:10,000 -> 00:05:11,319] 不那么容易被发现
[00:05:11,720 -> 00:05:14,000] 我这次好像发现了它
[00:05:14,000 -> 00:05:16,000] 但是我不确定我有没有解决它
[00:05:16,160 -> 00:05:18,000] 给我带来了挺大的不安的
[00:05:18,600 -> 00:05:19,920] 那再接下来呢
[00:05:19,920 -> 00:05:22,360] 就是两周前的周六
[00:05:22,600 -> 00:05:26,240] 我跟一个朋友在微信聊天的过程中
[00:05:26,240 -> 00:05:31,240] 我提起来我要做一个如何跟大老板沟通的视频
[00:05:31,519 -> 00:05:33,839] 下个周差不多就会做出来了
[00:05:34,040 -> 00:05:35,879] 到时候敬请期待
[00:05:35,920 -> 00:05:37,519] 他说好啊好啊期待期待
[00:05:37,519 -> 00:05:39,040] 出了以后一定看
[00:05:39,319 -> 00:05:41,040] 但是当时说完了以后
[00:05:41,040 -> 00:05:43,959] 下个周这三个字一下子又trigger我了
[00:05:44,279 -> 00:05:46,500] 因为当时那个视频我知道我是六个月以前就想去做的當時說完了以後,下個週這三個字一下子又trigger我了因為當時那個視頻
[00:05:46,500 -> 00:05:49,500] 我知道我是六個月以前就想去做的
[00:05:49,500 -> 00:05:53,000] 因為我六個月之前還在Facebook工作的時候
[00:05:53,000 -> 00:05:57,500] 上了一個專門講怎麼跟senior leader溝通的課
[00:05:57,500 -> 00:05:59,500] 在上了那個課以後
[00:05:59,500 -> 00:06:03,000] 我就想做這期如何跟大老闆溝通的視頻
[00:06:03,000 -> 00:06:06,000] 這六個月的期間我每个周都会想
[00:06:06,000 -> 00:06:08,000] 我应该怎么做这期视频
[00:06:08,000 -> 00:06:10,000] 但是我六个月过去了
[00:06:10,000 -> 00:06:13,000] 就是每个月每个周我都会觉得
[00:06:13,000 -> 00:06:15,000] 下个周我就会把这个视频做出来
[00:06:15,000 -> 00:06:18,000] 但是每个周我都没有去做这期视频
[00:06:18,000 -> 00:06:20,000] 那意识到这件事情以后呢
[00:06:20,000 -> 00:06:21,000] 我就知道哦
[00:06:21,000 -> 00:06:23,000] 我这次真的抓住了这个隐形拓远症
[00:06:23,000 -> 00:06:25,000] 那我就试试我能不能解决它
[00:06:25,000 -> 00:06:28,000] 于是我就赶紧坐起来
[00:06:28,000 -> 00:06:31,000] 去把这个视频做掉了
[00:06:31,000 -> 00:06:33,000] 因为我知道如果我不马上去做它的话
[00:06:33,000 -> 00:06:37,000] 可能它又会拖六个月甚至拖四年
[00:06:37,000 -> 00:06:39,000] 我都不知道它到底会拖多久
[00:06:39,000 -> 00:06:41,000] 而且做的时候我发现
[00:06:41,000 -> 00:06:44,000] 真的像我想象的那么简单
[00:06:44,000 -> 00:06:46,600] 做那个视频大概花了我半个小时
[00:06:46,879 -> 00:06:50,800] 确实一开始稍稍有那么一点点不顺利
[00:06:50,959 -> 00:06:53,319] 我大概是录了七八遍吧
[00:06:53,319 -> 00:06:54,480] 然后开头
[00:06:54,519 -> 00:06:58,240] 但是第九遍的时候就很顺的一次性就录完了
[00:06:58,360 -> 00:07:01,519] 我会把前面的几遍都放到我这个视频的最后面
[00:07:01,519 -> 00:07:02,759] 大家如果感兴趣的话
[00:07:02,800 -> 00:07:05,600] 也可以看一下一个up主在做一个视频一开始
[00:07:05,600 -> 00:07:06,839] 如果没有找对感觉的话
[00:07:06,839 -> 00:07:08,800] 是有多刻板
[00:07:08,800 -> 00:07:11,399] 但是总之最后一遍就很顺
[00:07:11,399 -> 00:07:13,199] 做完了以后我又看了一遍
[00:07:13,199 -> 00:07:14,199] 确实也没问题
[00:07:14,199 -> 00:07:15,439] 我发给顶级的小伙伴
[00:07:15,439 -> 00:07:17,300] 这件事情就大功告成了
[00:07:17,639 -> 00:07:18,800] 把它做完了以后
[00:07:18,800 -> 00:07:21,740] 我就很如释重负
[00:07:21,740 -> 00:07:23,139] 心里一块大石落地
[00:07:23,139 -> 00:07:25,240] 因为我觉得我这次是
[00:07:25,240 -> 00:07:28,120] 完完全全抓住了这个隐性拓延症
[00:07:28,120 -> 00:07:29,600] 并且解决了它
[00:07:29,920 -> 00:07:31,519] 其实这就够了
[00:07:31,519 -> 00:07:34,759] 就是如果我们能识别出来它是什么
[00:07:34,759 -> 00:07:36,199] 然后找到它的解法
[00:07:36,199 -> 00:07:39,439] 以后我们在生活中能把它抓出来
[00:07:39,439 -> 00:07:42,199] 我觉得这就可以了
[00:07:43,480 -> 00:07:45,160] 不过我还是有一个解释吧
[00:07:45,160 -> 00:07:46,680] 就是为什么它会发生
[00:07:47,720 -> 00:07:50,519] 因为这件事可能太触手可及了
[00:07:51,279 -> 00:07:54,319] 就是当我在想那些视频的时候
[00:07:54,439 -> 00:07:56,439] 我其实已经完全知道这些视频
[00:07:56,480 -> 00:07:57,399] 我应该说什么
[00:07:57,439 -> 00:07:59,439] 所以说每次大脑在想
[00:07:59,439 -> 00:08:03,240] 我怎么样子去做这些视频的时候
[00:08:03,279 -> 00:08:05,000] 我大脑其实可能已经潜意识里边我觉得它已经完成了因为它在我大脑其实可能已经
[00:08:05,000 -> 00:08:07,000] 潜意识里边我觉得它已经完成了
[00:08:07,000 -> 00:08:09,000] 因为它在我大脑里边过了一遍
[00:08:09,000 -> 00:08:11,000] 我有体会到了一个我做它的过程
[00:08:11,000 -> 00:08:13,000] 于是我大脑就用
[00:08:13,000 -> 00:08:16,000] 想象它的做完的全过程
[00:08:16,000 -> 00:08:18,000] 去取代我真实的去完成它
[00:08:18,000 -> 00:08:20,000] 这个时候我没有让我的意识
[00:08:20,000 -> 00:08:21,000] 意识到说
[00:08:21,000 -> 00:08:23,000] 这个东西只是发生在你想象中的
[00:08:23,000 -> 00:08:25,399] 它真实还没有发生
[00:08:25,399 -> 00:08:30,319] 那可能就会导致我无意识的去把我真实完成这件事
[00:08:30,319 -> 00:08:32,200] 给拓延下去
[00:08:32,200 -> 00:08:33,919] 然后我觉得
[00:08:33,919 -> 00:08:36,240] 其实这个隐性拓延症
[00:08:36,240 -> 00:08:40,360] 比我们想象中的在日常生活中要常见的多
[00:08:40,360 -> 00:08:43,320] 这两个故事我后来就把它写下来了
[00:08:43,320 -> 00:08:46,000] 然后给我的那个一个同事
[00:08:46,000 -> 00:08:49,000] 他帮我剪辑了跟李森采访的那个视频
[00:08:49,000 -> 00:08:50,000] 给他看了一下
[00:08:50,000 -> 00:08:52,000] 他看完了以后就说
[00:08:52,000 -> 00:08:53,000] 你说的对
[00:08:53,000 -> 00:08:56,000] 我这个月其实一直想给我奶奶打电话
[00:08:56,000 -> 00:08:58,000] 但是我每天回到家都没有打
[00:08:58,000 -> 00:09:00,000] 看完你这个故事
[00:09:00,000 -> 00:09:02,000] 我今天晚上回家就会给我奶奶打电话的
[00:09:02,000 -> 00:09:06,519] 所以我觉得还是挺有意义的就跟大家分享一下
[00:09:07,440 -> 00:09:08,919] 这种隐形拓延症
[00:09:09,159 -> 00:09:12,399] 它可能是我们一直想跟爸妈说的话
[00:09:12,600 -> 00:09:13,919] 也可能是我们在微信上
[00:09:13,919 -> 00:09:16,279] 一直想给一个人发的一个信息
[00:09:16,960 -> 00:09:20,600] 或者说一些我们一直想报的课等等
[00:09:20,840 -> 00:09:23,799] 总之解决它的方式也非常简单
[00:09:23,799 -> 00:09:26,039] 因为它是一个很出手可及的事情
[00:09:26,039 -> 00:09:28,720] 那我们就伸出手抓到它
[00:09:28,720 -> 00:09:31,320] 然后把他们拿到手里就可以了
[00:09:31,320 -> 00:09:34,080] 那我希望看到这个视频的小伙伴
[00:09:34,080 -> 00:09:37,000] 哪怕有那么一两个你有这样的事情
[00:09:37,000 -> 00:09:38,240] 你真的去做了它
[00:09:38,240 -> 00:09:39,840] 然后得到你想要的结果
[00:09:39,840 -> 00:09:43,000] 让它从你大脑中的臆想变成了一个现实
[00:09:43,000 -> 00:09:45,240] 那我觉得这个视频就是非常有意义的
[00:09:45,240 -> 00:09:50,519] 这是我试图用自己发生在自己身上真实的故事
[00:09:50,519 -> 00:09:56,440] 来讲我一些觉得有意义的观察洞察或者说道理也好吧
[00:09:56,440 -> 00:09:59,120] 鸡汤也罢的一种尝试
[00:09:59,120 -> 00:10:00,840] 如果大家喜欢这种形式的话
[00:10:00,840 -> 00:10:02,360] 欢迎在留言里面告诉我
[00:10:02,360 -> 00:10:04,799] 我以后也可以多做一些这样的尝试
[00:10:04,799 -> 00:10:25,600] 那谢谢大家 我们下期再见大家好 歡迎回到課代表例證 我是你們的課代表這期視頻跟大家聊一下怎麼樣子跟大老闆們匯報當然大老闆的定義是不一樣的
[00:10:25,600 -> 00:10:26,559] 基本上就是你的家人家鄉吧
[00:10:26,559 -> 00:10:28,000] 你如果是一個鋼筋公司的可能是你的director
[00:10:28,000 -> 00:10:29,120] 如果你已經是個director
[00:10:29,120 -> 00:10:30,200] 可能是你們這個部門的老大是吧
[00:10:30,200 -> 00:10:30,960] 總之
[00:10:30,960 -> 00:10:34,799] 大家好 歡迎回到課代表例證 我是你們的課代表
[00:10:34,799 -> 00:10:35,840] 我的課
[00:10:35,840 -> 00:10:39,600] 大家好 歡迎回到課代表例證 我是你們的課代表
[00:10:39,600 -> 00:10:41,399] 我在我的頻道裡面講了很多關於職業發展有關的東西
[00:10:41,399 -> 00:10:43,279] 就不管是專業技術也好 還是溝通這方面的東西
[00:10:43,279 -> 00:10:46,120] 大家好 歡迎回到課代表例證 我是你們的課代表我在我的頻道講了很多關於職業發展有關的東西就不管是專業技術也好還是溝通這方面的東西
[00:10:46,600 -> 00:10:47,240] Hello大家好歡迎回到課代表力證
[00:10:47,240 -> 00:10:47,919] 我是你們的課代表
[00:10:47,919 -> 00:10:49,759] 我在我的頻道講了很多關於職業發展的事情
[00:10:49,759 -> 00:10:51,240] 不管是技術還是溝通
[00:10:51,240 -> 00:10:53,120] 還是這個全公司職業發展怎麼想這些東西
[00:10:53,120 -> 00:10:55,080] 但是我發現網上有一件事情很少有人講
[00:10:55,080 -> 00:10:56,440] 就是怎麼樣子去跟大老闆匯報
[00:10:56,440 -> 00:10:58,639] 就是網上有一些做PPT的
[00:10:58,639 -> 00:10:59,360] 教你怎麼做PPT
[00:10:59,360 -> 00:11:00,519] 有一些像我會教你怎麼溝通
[00:11:00,519 -> 00:11:01,919] 但是很少有人說怎麼跟大老闆匯報
[00:11:01,919 -> 00:11:03,080] 但是大家知道跟大老闆匯報在職業生涯中
[00:11:03,080 -> 00:11:03,919] 其實是一件很重要的事情
[00:11:03,919 -> 00:11:06,799] 那我自己是很有幸
[00:11:06,799 -> 00:11:10,960] 我自己其實我自己職業生涯經歷了很多階段
[00:11:10,960 -> 00:11:13,440] 從沒什麼機會跟大老闆匯報到每天都跟大老闆匯報導致
[00:11:13,440 -> 00:11:17,279] Hello大家好歡迎回到課代表例證
[00:11:17,279 -> 00:11:18,080] 我是你們的課代表
[00:11:18,080 -> 00:11:19,919] 我的視頻裡面講了很多關於職業發展的事情
[00:11:19,919 -> 00:11:21,600] 不管是從技術還是soft skill上都講了蠻多
[00:11:21,600 -> 00:11:22,720] 包括你的這個mindset
[00:11:22,720 -> 00:11:24,320] 但是我發現市面上少了一種內容
[00:11:24,320 -> 00:11:25,399] 就是如何跟大老闆匯報
[00:11:25,399 -> 00:11:26,639] 尤其是從一個道的角度
[00:11:26,639 -> 00:11:27,240] 很多是講的數碼
[00:11:27,240 -> 00:11:28,360] 就是你應該怎麼說話怎麼措辭
[00:11:28,360 -> 00:11:29,360] 怎麼跟人死逼怎麼不被剝
[00:11:29,360 -> 00:11:30,159] 但是從道的角度
[00:11:30,320 -> 00:11:31,120] 很少人去講這件事
[00:11:31,120 -> 00:11:32,320] 但是我覺得把它從道上講清楚
[00:11:32,320 -> 00:11:33,159] 是一個很重要的事情
[00:11:33,159 -> 00:11:33,919] 這就稍稍做一個小調查
[00:11:34,440 -> 00:11:36,360] 有多少人知道自己在匯報的時候
[00:11:36,360 -> 00:11:37,440] 不應該講太多技術細節的
[00:11:37,440 -> 00:11:38,559] 如果知道的話請在彈幕中擺一
[00:11:38,559 -> 00:11:39,039] 如果你是跟著的話
[00:11:39,039 -> 00:11:40,039] 就自己想想這個事或者留言區
[00:11:40,039 -> 00:11:41,519] 好那有多少人
[00:11:41,519 -> 00:11:42,279] 我相信絕大多數的人
[00:11:42,279 -> 00:11:43,720] 都是知道不應該講太多技術細節的
[00:11:43,720 -> 00:11:44,840] 那你看一下你上次的匯報
[00:11:44,840 -> 00:11:45,700] 回想一下你上次的匯報有多少人覺得你還是講講太多技術細節的那你看一下你上次的匯報 回想一下你上次的匯報
[00:11:45,700 -> 00:11:47,700] 有多少人覺得你還是講了太多技術細節的 也請白意
[00:11:47,700 -> 00:11:51,000] 總之我覺得就是我看了自己的匯報以後會發現我講了很多
[00:11:51,000 -> 00:11:52,299] 我知道不該講 但是我還是講了太多
[00:11:52,299 -> 00:11:54,000] 那為什麼呢 其實不是因為我們傻事了
[00:11:54,000 -> 00:11:55,000] 我們都知道不應該講那麼多技術細節
[00:11:55,000 -> 00:11:57,200] 我們也知道這些技術細節其實會影響我們溝通和匯報的效果的
[00:11:57,200 -> 00:12:04,000] 但是就是以下的這些也是會影響我們溝通的效果的
[00:12:04,000 -> 00:12:05,279] 直到我快離開Facebook之前
[00:12:05,279 -> 00:12:06,720] 我上了一個Senior DS Circle
[00:12:06,720 -> 00:12:08,000] 有一個Director他來跟我們講
[00:12:08,000 -> 00:12:08,480] 講了六節課
[00:12:08,480 -> 00:12:09,840] 就是講如何跟Senior Leaders彙報的
[00:12:09,840 -> 00:12:10,799] 他在裡面就告訴我們說
[00:12:10,799 -> 00:12:12,159] 你想想其實是因為你害怕
[00:12:12,159 -> 00:12:13,360] 你害怕你的這個彙報被拆了
[00:12:13,360 -> 00:12:14,159] 你害怕你下不來台
[00:12:14,159 -> 00:12:15,120] 你害怕別人質疑你的專業能力
[00:12:15,120 -> 00:12:16,159] 所以你放很多這些Details
[00:12:16,159 -> 00:12:17,360] 來Defend yourself 來做防守
[00:12:17,360 -> 00:12:19,039] 可是你絕大多數的工作是沒有用的
[00:12:19,039 -> 00:12:20,320] 所以說你防守了 你成功了 你安全了
[00:12:20,320 -> 00:12:21,679] 你的這個彙報其實是浪費了一個時間
[00:12:21,679 -> 00:12:22,799] 就是沒有產生任何Real Impact
[00:12:22,799 -> 00:12:23,679] 然後如果說你
