[00:00:00,000 -> 00:00:02,040] 这一个应该在300万左右
[00:02:08,199 -> 00:02:09,599] 就是都是貴的
[00:02:09,599 -> 00:02:11,000] 這都是幾十萬起碼
[00:02:11,000 -> 00:02:11,919] 對對對
[00:02:11,919 -> 00:02:13,800] 然後這裡邊就是
[00:02:13,800 -> 00:02:15,800] 我們行業內叫捅貨
[00:02:15,800 -> 00:02:18,120] 就是什麼半克拉以下是吧
[00:02:18,120 -> 00:02:19,120] 對
[00:02:19,120 -> 00:02:19,599] 然後呢
[00:02:19,599 -> 00:02:22,520] 主要他是沒有帶GIA證書的
[00:02:22,520 -> 00:02:24,199] 我拍不用我手
[00:02:24,199 -> 00:02:26,080] 看得清嗎
[00:02:27,080 -> 00:02:28,479] 它會對焦到我們臉上
[00:02:28,479 -> 00:02:29,080] 我們這樣
[00:02:29,080 -> 00:02:30,840] 就是我們一般是這樣要擋住眼
[00:02:30,840 -> 00:02:32,840] 就是你一隻手把它放在前面
[00:02:32,840 -> 00:02:33,840] 一隻手擋住眼
[00:02:33,840 -> 00:02:35,520] 就是把這個放在前面
[00:02:35,520 -> 00:02:36,719] 然後擋住自己的眼睛
[00:02:36,719 -> 00:02:38,599] 我本來想問你一個問題
[00:02:38,599 -> 00:02:41,039] 就是這些鑽石如果說一擺拽的話
[00:02:41,039 -> 00:02:42,639] 它們互相之間會滑傷嗎
[00:02:42,639 -> 00:02:46,680] 會 底尖会磨损掉
[00:02:46,680 -> 00:02:49,400] 就是我第一次来水杯的时候
[00:02:49,400 -> 00:02:50,400] 然后见到您
[00:02:50,400 -> 00:02:52,719] 然后我当时觉得特别震撼的
[00:02:52,719 -> 00:02:55,080] 就是钻石是这样子摆的
[00:02:55,080 -> 00:02:57,840] 而且我一开始以为很多都是人造钻石
[00:02:57,840 -> 00:03:00,560] 结果后来发现很多还是那种超级贵的天然钻石
[00:03:00,560 -> 00:03:06,000] 然后就让我对这件事情产生了一個很神奇的感覺
[00:03:06,000 -> 00:03:09,800] 因為我們平時見到鑽石都是在門店裡面一顆一顆很大的擺在那裡
[00:03:09,800 -> 00:03:10,800] 價格都很貴
[00:03:10,800 -> 00:03:14,500] 我們的整個文化也給鑽石賦予了很多意義對吧
[00:03:14,500 -> 00:03:17,500] 就是它是一個很重要的一個寶石
[00:03:17,500 -> 00:03:21,500] 但是在這放的就真的是一點沒有珍貴的感覺
[00:03:21,500 -> 00:03:23,800] 對因為批發環節就是這樣子
[00:03:23,800 -> 00:03:25,680] 這就是一個非常好的契机
[00:03:25,680 -> 00:03:29,439] 可以让我来帮大家还原一下
[00:03:29,439 -> 00:03:31,039] 最真实的情况是什么
[00:03:31,039 -> 00:03:35,000] 这个落差可能就是消费主义的一个营销
[00:03:35,000 -> 00:03:37,080] 给我们带来的所有的东西
[00:03:37,080 -> 00:03:38,400] 这些东西仍然是贵的
[00:03:38,400 -> 00:03:41,599] 只是你把他的所有的那些包装营销
[00:03:41,599 -> 00:03:42,800] 和那些消费主义
[00:03:42,800 -> 00:03:45,159] 给我们灌输的那些理念给去掉了
[00:03:45,159 -> 00:03:49,680] 所以我就想听听你这个对钻石的一些理解
[00:03:49,680 -> 00:03:51,159] 首先就这么大一颗钻石
[00:03:51,159 -> 00:03:51,879] 然后这么干净
[00:03:51,879 -> 00:03:53,159] 它是怎么长出来的
[00:03:53,159 -> 00:03:55,039] 它真的是开采出来的吗
[00:03:55,039 -> 00:03:57,919] 对这一些它这个钻石
[00:03:57,919 -> 00:04:00,280] 像这种20克拉的这种成品
[00:04:00,280 -> 00:04:02,719] 它挖出来的时候应该是这么大颗
[00:04:03,560 -> 00:04:04,879] 它才能切到这样子
[00:04:04,879 -> 00:04:08,280] 大概百分之三十几四十左右的切割力
[00:04:08,280 -> 00:04:09,599] 就是成品力
[00:04:09,599 -> 00:04:11,520] 就意味著它20的話
[00:04:11,520 -> 00:04:14,400] 如果是達到這個大概叫50多克拉
[00:04:14,400 -> 00:04:16,319] 60克拉左右才能切得出來
[00:04:16,319 -> 00:04:19,040] 那60克拉的話大概就是這個框那麼大了
[00:04:19,040 -> 00:04:21,000] 所以它才能切到這點
[00:04:21,000 -> 00:04:22,399] 因為它是不規則的
[00:04:22,399 -> 00:04:23,720] 就跟冰糖一樣
[00:04:23,720 -> 00:04:25,199] 然後它有裂
[00:04:25,199 -> 00:04:27,079] 它有各种的东西
[00:04:27,079 -> 00:04:29,040] 他要把它用机关给它切掉
[00:04:29,040 -> 00:04:30,480] 从毛胚里面挖出来的
[00:04:30,480 -> 00:04:32,720] 基本上是已经到了五六十颗了
[00:04:32,720 -> 00:04:35,319] 全世界一年能产几颗这么大的
[00:04:35,319 -> 00:04:36,120] 很少
[00:04:36,120 -> 00:04:37,319] 大的特别少
[00:04:37,319 -> 00:04:39,360] 应该几百颗是有的
[00:04:39,360 -> 00:04:40,480] 在中国的话
[00:04:40,480 -> 00:04:42,319] 像这种每卖一颗的话
[00:04:42,319 -> 00:04:45,240] 像我们批发端的大部分是知道的
[00:04:45,240 -> 00:04:48,360] 但是像你在鑽石行業裡面做了這麼久
[00:04:48,360 -> 00:04:50,800] 就是人工鑽石越來越多
[00:04:50,800 -> 00:04:52,199] 然後也很便宜
[00:04:52,199 -> 00:04:56,319] 第一個就是人工鑽和天然鑽有什麼區別
[00:04:56,319 -> 00:05:00,600] 第二個就是在你看起來鑽石的價值
[00:05:00,600 -> 00:05:02,360] 它到底是什麼東西帶來的
[00:05:02,360 -> 00:05:08,480] 我們先從第一個開始吧它到底是什么东西带来的我们先从第一个开始吧一亿钻石的话跟天然钻石从化学成分
[00:05:08,480 -> 00:05:10,160] 还有物理性质来说的话
[00:05:10,279 -> 00:05:11,879] 它们两个是一模一样的
[00:05:11,879 -> 00:05:12,439] 一模一样
[00:05:12,439 -> 00:05:13,920] 对就是没有任何的区别
[00:05:13,920 -> 00:05:14,800] 人也看不出来
[00:05:14,800 -> 00:05:15,920] 肉眼是看不出来的
[00:05:15,920 -> 00:05:17,199] 没有任何的区别
[00:05:17,199 -> 00:05:20,600] 它两个因为它是所谓的人工钻石
[00:05:20,600 -> 00:05:25,560] 其实就是实验室里面模擬大自然的這種生長方式
[00:05:25,560 -> 00:05:27,680] 讓這個模擬地球的生長方式
[00:05:27,680 -> 00:05:30,040] 讓它在實驗室裡面慢慢的生長起來
[00:05:30,040 -> 00:05:30,920] 所以叫培育
[00:05:30,920 -> 00:05:32,000] 而且是慢慢生長
[00:05:32,000 -> 00:05:33,480] 我以為它就是拿一塊炭
[00:05:33,480 -> 00:05:34,399] 然後高壓
[00:05:34,399 -> 00:05:37,279] 它也是用高溫高壓1000多度
[00:05:37,279 -> 00:05:39,040] 然後通過這個大氣壓的
[00:05:39,040 -> 00:05:40,560] 模擬地球的這個內部的
[00:05:40,560 -> 00:05:42,240] 經常的這種狀態慢慢的生長
[00:05:42,240 -> 00:05:43,759] 所以它就從一丁點
[00:05:43,759 -> 00:05:44,639] 然後開始慢慢長
[00:05:44,639 -> 00:05:45,040] 慢慢長慢慢长
[00:05:45,040 -> 00:05:45,680] 慢慢长的
[00:05:45,680 -> 00:05:46,160] 哦
[00:05:46,160 -> 00:05:48,399] 需要不断的增加这个
[00:05:48,399 -> 00:05:49,519] 点数啊等等之类的
[00:05:49,519 -> 00:05:51,800] 就是它需要花很长的时间
[00:05:51,800 -> 00:05:54,240] 大概20几天到一个月左右的时间
[00:05:54,240 -> 00:05:55,120] 慢慢生长起来
[00:05:55,120 -> 00:05:59,279] 公站做一个1克拉3克拉5克拉和20克拉的钻石
[00:05:59,279 -> 00:06:01,439] 就是批发价是什么样子
[00:06:01,439 -> 00:06:04,959] 培议的几年前都说是1 3分之一
[00:06:04,959 -> 00:06:06,279] 可能现在是1 4分之一可能现在是十分之一
[00:06:06,279 -> 00:06:07,279] 但是呢
[00:06:07,279 -> 00:06:09,439] 这个不能笼统的讲
[00:06:09,439 -> 00:06:10,759] 它是它的多少
[00:06:10,759 -> 00:06:11,560] 哲力钻石的话
[00:06:11,560 -> 00:06:12,360] 因为零售价
[00:06:12,360 -> 00:06:14,160] 每个品牌的溢价能力不一样
[00:06:14,160 -> 00:06:17,680] 在这个批发价里面大概是在八百万左右
[00:06:17,680 -> 00:06:19,040] 就这个批发的价格
[00:06:19,040 -> 00:06:19,199] 哇
[00:06:19,199 -> 00:06:21,199] 你都可以直接告诉我们批发价吗
[00:06:21,199 -> 00:06:21,920] 这个没有关系
[00:06:21,920 -> 00:06:23,839] 因为这种能买的人也特别少
[00:06:23,839 -> 00:06:25,439] 就是会有一些比较高端的客戶
[00:06:25,439 -> 00:06:26,800] 才會去買這些東西
[00:06:27,360 -> 00:06:28,680] 然後他們也很懂鑽石的
[00:06:28,680 -> 00:06:30,160] 他們也很了解行情的
[00:06:30,160 -> 00:06:32,360] 能培育出這個鑽石的公司
[00:06:32,360 -> 00:06:34,439] 應該全世界極少數
[00:06:34,439 -> 00:06:35,839] 所以它還是有技術含量
[00:06:35,839 -> 00:06:37,800] 它技術含量非常高
[00:06:37,800 -> 00:06:39,639] 其實中國十幾年前就開始培育了
[00:06:39,639 -> 00:06:42,240] 那是主要是做這個工業用途
[00:06:42,240 -> 00:06:43,560] 那珠寶級別的呢
[00:06:43,560 -> 00:06:46,600] 是這幾年才開始做要培育出這一種鑽石的
[00:06:46,600 -> 00:06:48,439] 全世界沒有幾家公司能做得出來
[00:06:48,439 -> 00:06:49,100] 這麼大的
[00:06:49,100 -> 00:06:50,339] 幾乎沒有
[00:06:50,339 -> 00:06:52,100] 可能就氣質可恕
[00:06:52,100 -> 00:06:53,399] 應該不會超過上將
[00:06:53,399 -> 00:06:55,740] 所以它價值還是非常高的
[00:06:55,740 -> 00:06:57,199] 但是這個比如說是800萬
[00:06:57,199 -> 00:06:58,339] 這種級別的
[00:06:58,339 -> 00:06:59,439] 因為這個我沒有可比性
[00:06:59,439 -> 00:07:01,199] 因為我沒見過培育這麼大的
[00:07:01,199 -> 00:07:03,139] 然後一個大家更常見的
[00:07:03,139 -> 00:07:04,639] 伊克拉和山克拉
[00:07:04,639 -> 00:07:06,839] 因為很多人買婚戒也會買到賺
[00:07:06,839 -> 00:07:09,399] 伊克拉和三克拉的鑽石的批發價是多少
[00:07:09,399 -> 00:07:11,399] 然後天然和人工的
[00:07:11,399 -> 00:07:13,639] 它主要的價值是由它的市集決定的
[00:07:13,639 -> 00:07:15,879] 也不是說籠統的說伊克拉值多少錢
[00:07:15,879 -> 00:07:18,560] 伊克拉是從幾千塊錢到最頂級的伊克拉
[00:07:18,560 -> 00:07:19,240] 批發的價格
[00:07:19,240 -> 00:07:21,199] 對最頂級的就是在8萬多
[00:07:21,199 -> 00:07:24,439] 就是第四IFFL的這種最頂級的
[00:07:24,439 -> 00:07:26,199] 是它的進度切割等等
[00:07:26,199 -> 00:07:27,399] 就像品牌溢價的
[00:07:27,399 -> 00:07:29,500] 就是當場裡面去買的話
[00:07:29,500 -> 00:07:31,500] 應該是在二十幾萬
[00:07:31,500 -> 00:07:33,399] 差不多是比較正常的價格
[00:07:33,399 -> 00:07:34,699] 如果是培易的一克拉
[00:07:34,699 -> 00:07:35,600] 最頂級的呢
[00:07:35,600 -> 00:07:37,800] 大概在五千塊錢左右
[00:07:37,800 -> 00:07:39,899] 就我講的所有的都是P8的價格
[00:07:39,899 -> 00:07:40,899] 那麼最頂級的
[00:07:40,899 -> 00:07:43,000] 那這樣子你看十分之一都不到
[00:07:43,000 -> 00:07:44,199] 那三克拉呢
[00:07:44,199 -> 00:07:49,680] 這個最頂級的第這樣子你看1%都不到那三克拉呢這個最頂級的第四FLO的三克拉應該是大概在100萬左右
[00:07:49,680 -> 00:07:52,439] 培義的最頂級的3萬塊錢左右
[00:07:52,439 -> 00:07:54,759] 3萬也是不到1%
[00:07:54,759 -> 00:07:56,000] 對1%
[00:07:56,000 -> 00:07:57,839] 它越大的話它的差距越大
[00:07:57,839 -> 00:08:02,680] 比如說五克拉的天然的最頂級的大概在200多萬300萬左右
[00:08:02,680 -> 00:08:06,600] 培義的話最頂級的大概在5多萬300萬左右啊培育的話最頂級的大概在5萬塊錢左右
[00:08:06,600 -> 00:08:07,800] 那就1%了
[00:08:07,800 -> 00:08:08,319] 對
[00:08:08,319 -> 00:08:10,079] 就是越大它的差距會越大
[00:08:10,079 -> 00:08:12,360] 三克拉的這個頂級的鑽戒
[00:08:12,360 -> 00:08:15,800] 你在零售端看到的價格一般是什麼樣子的
[00:08:16,160 -> 00:08:17,480] 肯定是有個區間
[00:08:17,839 -> 00:08:19,800] 三克拉最頂級的
[00:08:19,800 -> 00:08:25,079] 因為我們批凡就是現在整體的這個零售市場品牌的話
[00:08:25,079 -> 00:08:26,120] 因為它有一定的溢價
[00:08:26,120 -> 00:08:28,439] 大概是乘以2到3之間
[00:08:28,439 -> 00:08:30,000] 有一些比如說比較大牌的
[00:08:30,000 -> 00:08:31,480] 像這個
[00:08:31,480 -> 00:08:32,799] Coty、Coty、Horovitz
[00:08:32,799 -> 00:08:33,840] 那些就更高了
[00:08:33,840 -> 00:08:36,360] 那些就基本上是乘以5到10倍之間的
[00:08:36,360 -> 00:08:38,360] 比如說你說的這個DR也好
[00:08:38,360 -> 00:08:39,960] 這個謝瑞林也好
[00:08:39,960 -> 00:08:40,840] 周大輔也好
[00:08:40,840 -> 00:08:42,440] 他們大概是在3倍左右
[00:08:42,440 -> 00:08:44,559] 批發價然後就賣3萬
[00:08:44,559 -> 00:08:45,279] 賣4百萬
[00:08:45,279 -> 00:08:45,679] 對對對
[00:08:45,679 -> 00:08:47,840] 然後那個Tiffany可能1000萬
[00:08:47,840 -> 00:08:49,759] Tiffany其實還是比較良心的一個品牌
[00:08:49,759 -> 00:08:52,679] 是因為我們也在收很多Tiffany的貨
[00:08:52,679 -> 00:08:55,519] 他其實他的溢價還算是比較良心的
[00:08:55,519 -> 00:08:57,679] 因為他顯品的時候還是顯得很好的
[00:08:57,679 -> 00:09:00,200] 所以他的整體溢價的話
[00:09:00,200 -> 00:09:03,320] 本身他的價值是比較高的
[00:09:03,320 -> 00:09:05,600] 所以他大概會在5到8倍左右
[00:09:05,600 -> 00:09:07,519] 那卡迪亚和哈瑞华斯呢
[00:09:07,519 -> 00:09:09,639] 那像HW这些就更高了
[00:09:09,639 -> 00:09:11,240] 基本上是8到10倍的
[00:09:11,240 -> 00:09:11,799] 8到10倍
[00:09:11,799 -> 00:09:13,159] 但是它的那个价值
[00:09:13,159 -> 00:09:15,480] 就是他们钻石的品质和Tiffany比
[00:09:15,480 -> 00:09:16,720] 是更好还是差不多
[00:09:16,720 -> 00:09:21,519] 其实这几个品牌都是对盐材料的要求还是挺高的
[00:09:21,519 -> 00:09:23,480] 都是反正都是顶级要求的
[00:09:23,480 -> 00:09:26,200] 也不是说顶级就是严重显延
[00:09:26,200 -> 00:09:28,200] 就是可以说他们是严显的
[00:09:28,200 -> 00:09:30,399] 但是国内的品牌他就比较乱了
[00:09:30,399 -> 00:09:33,600] 我们就从我们批发端里面见到的
[00:09:33,600 -> 00:09:36,200] 就是对品质要求最高的是六福
[00:09:36,200 -> 00:09:37,399] 可以说这样
[00:09:37,399 -> 00:09:38,399] 肯亚没有关系
[00:09:38,399 -> 00:09:40,799] 因为我们卖货给很多的品牌商
[00:09:40,799 -> 00:09:43,600] 然后六福他对品质要求是最高的
[00:09:43,600 -> 00:09:45,700] 确实是到了Tiffany的要程度了嗎
[00:09:45,700 -> 00:09:46,500] 還是差一點
[00:09:46,500 -> 00:09:49,200] 因為Tiffany他是有自己的一套評價體系
[00:09:49,200 -> 00:09:52,799] 跟這個很多的時候他不帶這本證書
[00:09:52,799 -> 00:09:56,200] 他有帶他自己的一版藍色的這種Tiffany藍的那種證書
[00:09:56,200 -> 00:09:57,799] 他自己給自己評級的
[00:09:57,799 -> 00:10:01,000] 但是整體來說他評級還是比較客觀標準的
[00:10:01,000 -> 00:10:01,700] 對對對
[00:10:01,700 -> 00:10:04,600] 還有一個就是彩鑽和這個那個白鑽
[00:10:04,600 -> 00:10:05,799] 彩鑽會更貴嗎彩鑽會更貴嗎
[00:10:05,799 -> 00:10:06,720] 彩鑽貴
[00:10:07,159 -> 00:10:08,919] 它人工培育難嗎
[00:10:08,919 -> 00:10:10,279] 還是人工也可以培育
[00:10:10,279 -> 00:10:13,639] 目前整個技術剛剛棄儀成熟
[00:10:13,639 -> 00:10:15,320] 就是培育的這一塊的彩鑽
[00:10:15,320 -> 00:10:16,919] 以前培育是很不成熟的
[00:10:16,919 -> 00:10:17,240] 對
[00:10:17,240 -> 00:10:18,960] 就是培育它主要是通過什麼
[00:10:18,960 -> 00:10:19,200] 加了
[00:10:19,200 -> 00:10:19,960] 通俗易懂的理解
[00:10:19,960 -> 00:10:20,799] 就加一些色素
[00:10:20,799 -> 00:10:22,360] 它通過高溫高壓
[00:10:22,360 -> 00:10:25,120] 然後把它着色
[00:10:25,120 -> 00:10:27,480] 但是以前技术不成熟会掉色
[00:10:28,759 -> 00:10:30,600] 但是现在已经是轻易成熟了
[00:10:30,600 -> 00:10:32,480] 它应该就是矿物的微量元素
[00:10:32,480 -> 00:10:32,720] 对吧
[00:10:32,720 -> 00:10:33,559] 对
[00:10:33,559 -> 00:10:34,559] 从你的角度来说
[00:10:34,559 -> 00:10:37,240] 如果说肉眼无法分辨区别的话
[00:10:37,240 -> 00:10:39,120] 在你的培育上和天然上
[00:10:39,120 -> 00:10:41,080] 在你的认知里面
[00:10:41,080 -> 00:10:42,480] 你会怎么理解它们
[00:10:42,480 -> 00:10:44,519] 我理解天然跟培育
[00:10:44,519 -> 00:10:46,000] 其实就是跟冰一样的就是大自然的�然跟培蔭其實就是跟冰一樣的
[00:10:46,000 -> 00:10:48,000] 就是大自然的冰跟冰箱裡面的冰
[00:10:48,000 -> 00:10:52,000] 其實它都是同樣的一杯水
[00:10:52,000 -> 00:10:54,000] 一個是放到冰箱裡面結冰
[00:10:54,000 -> 00:10:56,000] 一個是放到大自然裡面結冰
[00:10:56,000 -> 00:10:58,000] 但它兩個都結好冰以後拿出來
[00:10:58,000 -> 00:11:00,000] 其實區分不出來
[00:11:00,000 -> 00:11:02,000] 哪一個是大自然哪一個是冰
[00:11:02,000 -> 00:11:03,000] 我可以作證
[00:11:03,000 -> 00:11:06,000] 我在南極吃過一塊冰川上敲起來的冰
[00:11:06,000 -> 00:11:08,000] 號稱幾千年幾億年
[00:11:08,000 -> 00:11:09,000] 我不知道
[00:11:09,000 -> 00:11:12,000] 但是總之那塊冰是一塊很老的大自然的冰
[00:11:12,000 -> 00:11:14,000] 確實沒什麼區別
[00:11:14,000 -> 00:11:17,000] 但是可能它通過某些設備機器去檢測
[00:11:17,000 -> 00:11:20,000] 它的整個形成可能比如說萬年冰
[00:11:20,000 -> 00:11:23,000] 跟這個冰箱裡面的冰可能有通過設備
[00:11:23,000 -> 00:11:24,000] 它是可以去監測
[00:11:24,000 -> 00:11:27,679] 所以說天然鑽和人工鑽設備是能看出來的
[00:11:27,679 -> 00:11:30,720] 設備是能夠通過專業的設備它能檢測的出來
[00:11:30,720 -> 00:11:31,639] 明白
[00:11:31,639 -> 00:11:32,000] OK
[00:11:32,000 -> 00:11:34,039] 那就是有分別有差價
[00:11:34,039 -> 00:11:36,600] 然後這個看起來沒什麼區別
[00:11:36,600 -> 00:11:40,519] 那就看大家到底想要的是一個天然冰還是人工冰了
[00:11:40,519 -> 00:11:42,000] 但是我來了以後
[00:11:42,000 -> 00:11:43,159] 我就會覺得很
[00:11:43,159 -> 00:11:46,279] 我覺得很多人他對鑽石的認知
[00:11:46,279 -> 00:11:47,399] 他當然很漂亮
[00:11:47,399 -> 00:11:47,679] 對吧
[00:11:47,679 -> 00:11:49,080] 然後他形成也很難
[00:11:49,080 -> 00:11:49,759] 他產業很難
[00:11:49,759 -> 00:11:51,720] 他有很大的價值
[00:11:51,720 -> 00:11:54,559] 但是很多人喜歡他會為他付出高價
[00:11:54,559 -> 00:11:56,000] 是因為覺得他很稀缺
[00:11:56,000 -> 00:11:58,120] 看了這樣一盒東西以後
[00:11:58,120 -> 00:11:59,600] 你可能就不覺得他那麼稀缺了
[00:11:59,600 -> 00:12:00,440] 那這種情況下
[00:12:00,440 -> 00:12:02,840] 你覺得就是在你看來
[00:12:02,840 -> 00:12:05,759] 這個鑽石拋去那些营销
[00:12:05,759 -> 00:12:09,360] 抛去那些大家给他赋予的各种各样意义以外
[00:12:09,360 -> 00:12:10,320] 在你看来
[00:12:10,320 -> 00:12:14,159] 你一个作为钻石批发商人眼中的钻石的价值
[00:12:14,159 -> 00:12:16,240] 你会觉得怎么怎么衡量它
[00:12:16,240 -> 00:12:19,279] 如果抛开这一些所谓的这些营销
[00:12:19,279 -> 00:12:20,559] 在大家都清楚
[00:12:20,559 -> 00:12:22,320] 这个钻石在大自然里面
[00:12:22,320 -> 00:12:23,919] 物理性质里面是最硬的
[00:12:23,919 -> 00:12:25,279] 切割是特别难的
[00:12:25,279 -> 00:12:27,879] 目前整个中国的切割技术都还没有
[00:12:27,879 -> 00:12:29,440] 这个老外的好
[00:12:29,440 -> 00:12:30,720] 所以很多都是在老外
[00:12:30,720 -> 00:12:33,200] 全世界的很多钻石都是在印度切割的
[00:12:33,200 -> 00:12:34,519] 他们的切割技术特别好
[00:12:34,519 -> 00:12:35,320] 在印度
[00:12:35,320 -> 00:12:36,440] 那为什么印度
[00:12:36,440 -> 00:12:38,240] 印度感觉工程能力不如我们中国呀
