[00:00:00,000 -> 00:00:01,560] 大家好欢迎回到课代表立正
[00:05:40,399 -> 00:05:41,879] 你去看现实的摩托车
[00:05:41,879 -> 00:05:43,560] 是不是像你脑子中那样子
[00:05:43,560 -> 00:05:44,800] 如果说不是的话
[00:05:44,800 -> 00:05:47,639] 可能说明你的mental model 是有问题的
[00:05:47,639 -> 00:05:48,800] 但是如果说是的话
[00:05:48,800 -> 00:05:52,000] 那你就把这个摩托车给现实中的摩托车给修好了
[00:05:52,000 -> 00:05:54,680] 其实我们在生活中的工作也是这样的
[00:05:54,680 -> 00:05:56,399] 你对你的顾客
[00:05:56,399 -> 00:05:58,079] 你对你负责的业务
[00:05:58,079 -> 00:05:59,740] 你对你的产品
[00:05:59,740 -> 00:06:01,879] 你都会抽象出来一个 mental model
[00:06:01,879 -> 00:06:03,879] 你这个 mental model 越正确
[00:06:03,879 -> 00:06:07,480] 那你就能做出越正确的决定
[00:06:07,480 -> 00:06:10,120] 你这个产品到底应该怎么去改
[00:06:10,120 -> 00:06:12,839] 如果说你的用户出了问题
[00:06:12,839 -> 00:06:14,839] 比如说你的销售额下降等等
[00:06:14,839 -> 00:06:18,879] 你会觉得这里更likely是哪里出了问题
[00:06:18,879 -> 00:06:20,800] 这就是数学科学家要干的事情
[00:06:20,800 -> 00:06:22,600] 我们不光要通过数据
[00:06:22,600 -> 00:06:24,560] 数据是一个非常有利的武器
[00:06:24,560 -> 00:06:27,279] 能告诉我们这个系统到底是什么样子的
[00:06:27,279 -> 00:06:29,040] 它很客观 它也很全面
[00:06:29,040 -> 00:06:31,839] 但是我们也要综合很多对业务的理解
[00:06:31,839 -> 00:06:34,600] 然后我们在脑子中要抽象出来
[00:06:34,600 -> 00:06:37,720] 这个对产品系统和顾客的mental model
[00:06:37,720 -> 00:06:39,720] 你的mental model越正确
[00:06:39,720 -> 00:06:41,360] 你做的决定就越正确
[00:06:41,360 -> 00:06:43,040] 你给的建议也就越正确
[00:06:43,040 -> 00:06:46,000] 这个时候你到底是用一个复杂的数学
[00:06:46,000 -> 00:06:47,199] model还是用一些什么
[00:06:47,199 -> 00:06:49,199] 其实我不care的都是一些工具
[00:06:49,360 -> 00:06:52,120] 我之前在Facebook做的一件事情
[00:06:52,160 -> 00:06:54,240] 我感觉到我那个时候已经感觉到了
[00:06:54,240 -> 00:06:56,199] 我对我们的业务已经熟悉到
[00:06:56,199 -> 00:06:58,879] 会有一个差不多的mental model
[00:06:59,439 -> 00:07:02,000] 当发生了一些产品的变化
[00:07:02,000 -> 00:07:04,240] 或者发生了一些业务的变化以后
[00:07:04,240 -> 00:07:09,439] 我大概能感觉到这些变化对于我们那些metrics的costal impact是什么样子
[00:07:09,439 -> 00:07:14,720] 然后后来做A B实验一般也都能发现和我心中的这些mental model
[00:07:14,720 -> 00:07:17,480] 是得到的预测是吻合的
[00:07:17,480 -> 00:07:19,079] 所以现在当我建立
[00:07:19,079 -> 00:07:21,680] 所以现在当我接触一个业务的时候
[00:07:21,680 -> 00:07:23,399] 我会尽快的去干两件事
[00:07:23,399 -> 00:07:28,240] 第一个是尽快的去找一线执行的经验
[00:07:28,279 -> 00:07:31,319] 就是当一些人他在一线做了很久的时候
[00:07:31,319 -> 00:07:33,600] 他的体感其实是非常重要的
[00:07:33,600 -> 00:07:36,639] 它是你整个mental model中帮你calibrate
[00:07:36,680 -> 00:07:38,240] 你这个model对不对
[00:07:38,279 -> 00:07:39,759] 一些关键参数对不对的
[00:07:39,759 -> 00:07:41,160] 一些非常重要的inputs
[00:07:41,319 -> 00:07:44,800] 第二个就是把整个业务的逻辑
[00:07:44,800 -> 00:07:45,959] 上下游和整个系统
[00:07:45,959 -> 00:07:46,519] 理清
[00:07:46,519 -> 00:07:50,040] 这样子的话你才能找到到底哪里边是关键点
[00:07:50,040 -> 00:07:52,319] 你也能看到很多别人看不见的机会
[00:07:52,519 -> 00:07:53,120] 好的
[00:07:53,120 -> 00:07:56,319] 我把刚才的一大堆话总结起来的话
[00:07:56,319 -> 00:07:59,680] 我觉得我们数据科学家要干的事情就是
[00:07:59,680 -> 00:08:02,199] 当然我们的长处是数据
[00:08:02,199 -> 00:08:03,720] 我们的技能是数据
[00:08:03,720 -> 00:08:08,399] 可是我们要做的最本质的事情是用科学的方法
[00:08:08,399 -> 00:08:11,199] 用这个scientific framework去
[00:08:11,199 -> 00:08:16,160] 去构建关于你业务产品和顾客的模型
[00:08:16,160 -> 00:08:19,000] 最后从中得到正确的结论
[00:08:19,000 -> 00:08:21,399] 当业务发生了不管什么样的变化也好
[00:08:21,399 -> 00:08:23,560] 或者说你自己从中的思考
[00:08:23,560 -> 00:08:26,600] 会derive出来很多值得做的事情
[00:08:26,600 -> 00:08:31,199] 从而帮助你们的公司和组织做出更好的决定
[00:08:31,199 -> 00:08:31,600] 好的
[00:08:31,600 -> 00:08:33,000] 这是我最近的一些感悟
[00:08:33,000 -> 00:08:34,399] 可能有很多不对的地方
[00:08:34,399 -> 00:08:36,799] 我也希望跟大家一起讨论
[00:08:36,799 -> 00:08:38,399] 我们这期视频就到这里
[00:08:38,399 -> 00:08:39,000] 下期再见
[00:08:39,000 -> 00:08:39,600] 拜拜
