[00:00:00,000 -> 00:00:01,500] 大家好
[00:03:59,560 -> 00:04:02,240] 总之大家在工作或者生活中
[00:04:02,240 -> 00:04:04,639] 会发现一些南辕北辙的政策
[00:04:04,639 -> 00:04:06,020] 他们初衷是好的
[00:04:06,400 -> 00:04:08,259] 但是带来的结果会非常不好
[00:04:08,280 -> 00:04:10,099] 反而破坏了整个机制
[00:04:10,340 -> 00:04:13,900] 这就是在制定这些政策的过程中
[00:04:13,919 -> 00:04:16,060] 只去思考了一层
[00:04:16,060 -> 00:04:17,899] 只去看了它的直接影响
[00:04:17,899 -> 00:04:19,899] 而没有看它的间接影响
[00:04:19,920 -> 00:04:22,899] 没有去看它的最终均衡态
[00:04:22,899 -> 00:04:25,240] 所以大家可以引以为鉴也多从最后的均衡态所以这个大家可以引以为鉴
[00:04:25,240 -> 00:04:29,240] 也多从这个最后的均衡态的角度去进行思考
[00:04:30,240 -> 00:04:34,639] 第二条是关注边际关注marginal
[00:04:34,839 -> 00:04:37,639] 他可以帮助就是你了解了这件事情以后
[00:04:37,639 -> 00:04:40,639] 可以帮助你节约很多不必要的时间和精力
[00:04:40,639 -> 00:04:44,040] 因为事情你要面面俱到的去考虑
[00:04:44,040 -> 00:04:48,000] 你可能需要花很长的时间才能把它想清楚
[00:04:48,000 -> 00:04:52,000] 但是你要知道事情现在已经达到了现在的情况
[00:04:52,000 -> 00:04:53,000] 对吧
[00:04:53,000 -> 00:04:56,000] 那接下来它的发展是由它的变化而带来的
[00:04:56,000 -> 00:04:59,000] 回到这个股票做比方吧
[00:04:59,000 -> 00:05:02,000] 你股票有很多人是买了股票
[00:05:02,000 -> 00:05:04,000] 有很多人有可能去买股票
[00:05:04,000 -> 00:05:07,000] 是不是我们要把所有的人全都考虑到才知道这股票的价是买了股票有很多人有可能去买股票是不是我们要把所有的人全都考虑到
[00:05:07,000 -> 00:05:09,000] 才知道这股票的价格应该是什么的
[00:05:09,000 -> 00:05:09,800] 不是
[00:05:10,079 -> 00:05:13,920] 其实是最后股票的价格是被marginal这些人决定的
[00:05:13,920 -> 00:05:16,319] 就是这个股票再高一块钱
[00:05:16,439 -> 00:05:17,879] 他们就要卖
[00:05:17,920 -> 00:05:20,120] 再低一块钱就有一堆人来买
[00:05:20,240 -> 00:05:23,040] 这些人最后去决定了这股票的价格
[00:05:23,079 -> 00:05:25,079] 而不是这个更多多不知道多少倍的所有人来决定了股票的价格而不是这个更多
[00:05:25,079 -> 00:05:29,120] 多不知道多少倍的所有人来决定股票价格
[00:05:29,120 -> 00:05:30,120] 我们再举个例子
[00:05:30,120 -> 00:05:31,480] 就是美国的大选
[00:05:31,480 -> 00:05:34,319] 2016年希拉里输在哪里
[00:05:34,319 -> 00:05:36,399] 她拿了更多的选票
[00:05:36,399 -> 00:05:39,839] 但是她拿了更少的选举人票
[00:05:40,240 -> 00:05:41,560] 那就是一个很典型的例子
[00:05:41,560 -> 00:05:45,079] 她去关注了很多平均值
[00:05:45,079 -> 00:05:49,920] 但是他没有在最关键的几个摇摆州去拿到足够多的摇摆票
[00:05:49,920 -> 00:05:51,279] 最后在几个摇摆州
[00:05:51,279 -> 00:05:53,800] 川普也是用一个非常小的优势
[00:05:53,800 -> 00:05:58,079] 去拿到了这些摇摆州的关键的选举人票
[00:05:58,079 -> 00:06:00,000] 最后把希拉里给打败了
[00:06:00,000 -> 00:06:03,040] 那回到2020年的大选
[00:06:03,040 -> 00:06:07,199] 如果我们再去看川普到底能不能赢2020年的大选
[00:06:07,199 -> 00:06:10,500] 我们不应该去看他的铁杆是怎么想的
[00:06:10,500 -> 00:06:13,199] 也不应该去看民主党的铁杆是怎么想的
[00:06:13,199 -> 00:06:16,600] 而是去关注那些摇摆州的摇摆选民
[00:06:16,600 -> 00:06:18,000] 他们关注的是什么
[00:06:18,000 -> 00:06:21,399] 他们到底他们的想法和四年前有什么变化
[00:06:21,399 -> 00:06:25,040] 才能帮助我们更好的更快的更准确的去理解
[00:06:25,040 -> 00:06:27,319] 川普这次2020年当选的几率
[00:06:27,319 -> 00:06:29,160] 大家在想问题的时候
[00:06:29,199 -> 00:06:33,600] 千万不要被自己对事物的理解去带偏
[00:06:33,639 -> 00:06:37,040] 而去更应该想一想什么样的人
[00:06:37,040 -> 00:06:39,120] 什么样的这一部分群体
[00:06:39,160 -> 00:06:41,199] 是会给这个事情带来变化的
[00:06:41,240 -> 00:06:44,079] 然后你关注的是应该是这个变化和未来的
[00:06:44,079 -> 00:06:44,720] 趋势
[00:06:44,759 -> 00:06:46,920] 这样你做的事情才是有效的
[00:06:46,920 -> 00:06:48,000] 这是第二点
[00:06:48,000 -> 00:06:51,879] 第三条启发呢就是尊重别人的自由和选择
[00:06:51,879 -> 00:06:52,680] 不要judge
[00:06:52,680 -> 00:06:55,920] 这个为什么是经济学的给我带来的启发
[00:06:55,920 -> 00:06:59,560] 因为经济学是一个分配有限资源
[00:06:59,560 -> 00:07:02,120] 去最大化utility的学科
[00:07:02,120 -> 00:07:04,199] 我们中文会把utility翻译成效用
[00:07:04,199 -> 00:07:06,000] 其实这个翻译不是特别准确
[00:07:06,000 -> 00:07:08,000] 因为效用就是有效有用
[00:07:08,000 -> 00:07:10,000] effective, useful
[00:07:10,000 -> 00:07:12,000] 但是不是utility
[00:07:12,000 -> 00:07:14,000] utility它是一个非常中性的词
[00:07:14,000 -> 00:07:16,000] 如果你就是通过
[00:07:16,000 -> 00:07:17,000] 就是喜欢懒
[00:07:17,000 -> 00:07:19,000] 或者说如果你就是喜欢帮助其他人
[00:07:19,000 -> 00:07:21,000] 那你通过懒和帮助其他人
[00:07:21,000 -> 00:07:23,000] 可以增加你的utility
[00:07:23,000 -> 00:07:25,240] 经济学也是如何分配有限资源
[00:07:25,399 -> 00:07:28,500] 去让你更好的去做你想做的这些事情
[00:07:28,740 -> 00:07:31,139] 我们是不会进行一个价值判断的
[00:07:31,139 -> 00:07:34,500] 经济学最最内核的这个公理
[00:07:34,740 -> 00:07:36,500] 一个学科学最内核的就是公理了吧
[00:07:36,500 -> 00:07:37,560] 比如说你学几何
[00:07:37,560 -> 00:07:40,040] 一上来就会去学几何的公理是什么
[00:07:40,459 -> 00:07:42,360] 这个公理其实是
[00:07:42,759 -> 00:07:44,560] 在读博士的时候才学的
[00:07:44,560 -> 00:07:47,600] 我在读本课的时候完全没有接触到这些东西
[00:07:47,600 -> 00:07:53,519] 而且它最后如何去最大化每个人的效用
[00:07:53,519 -> 00:07:56,160] 它有一个pretty efficient的概念
[00:07:56,160 -> 00:07:58,000] 所谓的pretty efficient
[00:07:58,000 -> 00:08:04,040] 就是我最后的目标不是为了把所有人的utility加起来最大化
[00:08:04,040 -> 00:08:07,519] 而是当我做一个improvement的时候
[00:08:07,759 -> 00:08:12,160] 我必须要保证这个improvement不会减少任何一个人utility
[00:08:12,439 -> 00:08:15,439] 注意这个不是说为了增加所有人的utility
[00:08:15,800 -> 00:08:20,920] 而是在不减少任何一个人的utility的情况下去对其他人
[00:08:21,079 -> 00:08:23,519] 某些人的utility进行增加
[00:08:23,519 -> 00:08:27,800] 这样才是proto efficient经济学的微观经济学的原理
[00:08:27,800 -> 00:08:32,399] 从根本上来说就是极端的尊重每个人的选择
[00:08:32,399 -> 00:08:34,500] 然后极端尊重每个人的自由
[00:08:34,500 -> 00:08:36,200] 在这基础上在做优化
[00:08:36,200 -> 00:08:39,399] 所以这是经济学一个很内核的东西
[00:08:39,399 -> 00:08:41,500] 当然了这还要再强调一点
[00:08:41,500 -> 00:08:43,700] 我并没有在这推崇绝对自由
[00:08:43,700 -> 00:08:45,759] 因为还有一个外部性的概念
[00:08:45,759 -> 00:08:47,799] 就是当你在做一个选择的时候
[00:08:47,799 -> 00:08:49,559] 你对其他人可能也是有影响的
[00:08:49,559 -> 00:08:52,159] 最近的COVID-19就是一个很明显的例子
[00:08:52,159 -> 00:08:53,960] 很多美国人说我要自由
[00:08:53,960 -> 00:08:55,639] 我要出去
[00:08:55,639 -> 00:08:56,840] 然后我自己有risk
[00:08:56,840 -> 00:08:58,559] 然后我自己得了的病
[00:08:58,559 -> 00:09:00,240] 关我是我自己的选择
[00:09:00,240 -> 00:09:03,399] 但是他得了病就会增加病毒传播的几率
[00:09:03,399 -> 00:09:07,399] 甚至不得病也会增加这种活动也会增加病毒传播的几率
[00:09:07,399 -> 00:09:09,700] 然后也会对医疗系统有负担
[00:09:09,700 -> 00:09:13,299] 这是影响到了其他人给别人带来负的外部性的
[00:09:13,299 -> 00:09:15,299] 所以说经济学也会研究这方面
[00:09:15,299 -> 00:09:21,600] 所以归能解体就是经济学告诉我是没有权利去教育别人
[00:09:21,600 -> 00:09:24,600] 或者说去定义别人他应该去做什么的
[00:09:24,600 -> 00:09:26,000] 我能做的呢
[00:09:26,000 -> 00:09:29,000] 就是我去理解他 我去尊重他
[00:09:29,000 -> 00:09:32,000] 最后我能想方设法的让这个世界变得更好 就行了
[00:09:32,000 -> 00:09:33,000] 那谢谢大家
