[00:00:00,000 -> 00:00:01,679] 說句敏感的話題
[00:02:50,840 -> 00:02:52,479] 我被称之为荣誉南方民主党
[00:02:52,479 -> 00:02:55,319] 那你的观点我们先放一边啊
[00:02:55,319 -> 00:02:56,919] 我们先回到这个客观的东西来
[00:02:56,919 -> 00:02:58,520] 还有吗就是戴琪新人
[00:02:58,520 -> 00:03:01,240] 这个身份政治这个东西其实涉及到一个很核心的问题
[00:03:01,240 -> 00:03:04,120] 就是中国对美国的观察很多基于是这个所谓的
[00:03:04,120 -> 00:03:05,759] 美国对华外交政策
[00:03:05,759 -> 00:03:07,759] 和安全政策的佈局
[00:03:07,759 -> 00:03:09,360] 所以說很多時候大家就理解
[00:03:09,360 -> 00:03:12,479] 美國政治的動機來自於對外政治
[00:03:12,479 -> 00:03:14,479] 但實際上這是一個非常錯誤的理解
[00:03:14,479 -> 00:03:17,039] 當然我們學界也有這個傾向
[00:03:17,039 -> 00:03:18,560] 就是說其實美國的所有的
[00:03:18,560 -> 00:03:20,560] 包括很多大部分國家的政治需求
[00:03:20,560 -> 00:03:22,159] 都是由內向外的
[00:03:22,159 -> 00:03:24,960] 而內政是他們最核心的需求
[00:03:24,960 -> 00:03:26,000] 我覺得這就很奇怪比如說一段時間好像都是由內向外的而內政是他們最核心的需求外交政策
[00:03:26,000 -> 00:03:28,000] 我覺得這就很奇怪
[00:03:28,000 -> 00:03:30,000] 比如說一段時間好像美國對中國有一點點小事
[00:03:30,000 -> 00:03:32,000] 但是美國那個時候在搞大法官
[00:03:32,000 -> 00:03:34,000] 然後六比三
[00:03:34,000 -> 00:03:36,000] 這些事情
[00:03:36,000 -> 00:03:38,000] 然後美國人就吵翻天了
[00:03:38,000 -> 00:03:40,000] 美國人覺得這個世界末日要來了
[00:03:40,000 -> 00:03:42,000] 然後中國人毫不關心
[00:03:42,000 -> 00:03:44,000] 但是對中國有一點小事
[00:03:44,000 -> 00:03:48,520] 然後就驚濤駭浪對因為對外政策是中國人民比較能夠感受到的
[00:03:48,520 -> 00:03:49,599] 這麼一個東西
[00:03:49,599 -> 00:03:51,960] 所以就是他這個要吸引這個點擊量
[00:03:51,960 -> 00:03:53,919] 或者說吸引這個人來看
[00:03:53,919 -> 00:03:55,840] 肯定還是這個涉及到這些事情
[00:03:55,840 -> 00:03:56,759] 但是這個最核心的
[00:03:56,759 -> 00:03:59,879] 但是你對美國這個政治的核心邏輯理解就有問題
[00:03:59,879 -> 00:04:04,800] 就因為他其實外交政策在美國選舉政治中是最微最最後一環
[00:04:04,800 -> 00:04:06,520] 最後一環都有幾環內政是第一環對吧是因为他其实外交政策在美国选举政治中是最后一环最后一环 都有几环
[00:04:06,520 -> 00:04:08,520] 内政是第一环
[00:04:08,520 -> 00:04:11,520] 这个内政第一环就是可能是五环的长度
[00:04:11,520 -> 00:04:13,520] 比如说各种各样的层面
[00:04:13,520 -> 00:04:15,520] 经济啊 社会 经济
[00:04:15,520 -> 00:04:17,519] 贫瘠啊 堕胎啊
[00:04:17,519 -> 00:04:19,519] 等等等等 社会议题吧
[00:04:19,519 -> 00:04:21,519] 这属于包括在社会议题里当中
[00:04:21,519 -> 00:04:23,519] 经济议题是最基础 民生问题嘛
[00:04:23,519 -> 00:04:25,439] 然后这个大环境问题当然了比如说有战争的情况下这个�题是最基础的民生问题然后大环境问题然后当然了
[00:04:25,439 -> 00:04:26,879] 比如说有战争的情况下
[00:04:27,079 -> 00:04:28,399] 外交是比较重要的
[00:04:28,399 -> 00:04:30,480] 但是你在歌舞成评的情况下
[00:04:30,480 -> 00:04:31,560] 就是基本和平
[00:04:31,560 -> 00:04:33,279] 当然美国也不能叫歌舞成评的
[00:04:33,279 -> 00:04:35,319] 美国对外战争也那么多的
[00:04:35,519 -> 00:04:36,319] 但是就是比如说
[00:04:36,319 -> 00:04:37,680] 这种大规模战争的情况下
[00:04:37,800 -> 00:04:40,160] 战争和和平是比较靠后的
[00:04:40,160 -> 00:04:43,360] 所以外交政策往往就是在总统最后一环
[00:04:43,639 -> 00:04:45,540] 总统辩论里面可能会有这么一环但是美国选民其实没有多少人是因为外交政策往往就是在总统最后一环总统辩论里面可能会有这么一环
[00:04:45,540 -> 00:04:48,839] 但是美国选民其实没有多少人是因为外交政策去投票的
[00:04:48,839 -> 00:04:52,959] 当然最终其实这个因为投票其实这个政策都是最很
[00:04:52,959 -> 00:04:55,000] 政策都未必是一个重要的一环
[00:04:55,000 -> 00:04:57,000] 党派属性才是最重要的一环
[00:04:57,000 -> 00:04:59,000] 党派属性政策对
[00:04:59,000 -> 00:05:04,439] 但是那这样子为什么就是还会有的时候民主党上台
[00:05:04,439 -> 00:05:05,600] 有的时候共和產黨上台呢
[00:05:05,600 -> 00:05:07,199] 就是還是有人是
[00:05:07,199 -> 00:05:08,699] 有中間選民嘛
[00:05:08,699 -> 00:05:11,300] 這個中間選民就是所謂的搖擺選民
[00:05:11,300 -> 00:05:13,800] 搖擺選民並不是真的一定站在中間
[00:05:13,800 -> 00:05:15,199] 這個其實也是一個誤取
[00:05:15,199 -> 00:05:16,899] 就是之所以大家稱他們為中間選民
[00:05:16,899 -> 00:05:18,800] 就是所謂他們政治立場就是在中間
[00:05:18,800 -> 00:05:21,100] 但其實他們的立場可能是比較獨特的
[00:05:21,100 -> 00:05:24,000] 比如說2016年這個中央搖擺選民
[00:05:24,000 -> 00:05:25,519] 就是這個或者说2012年
[00:05:25,519 -> 00:05:27,240] 就是这个新世纪的大几个选举
[00:05:27,240 -> 00:05:29,199] 都是这个所谓的白人蓝领阶层
[00:05:29,199 -> 00:05:31,319] 那白人蓝领阶层就是一个比较典型的
[00:05:31,319 -> 00:05:33,120] 经济政策上是左派的
[00:05:33,120 -> 00:05:34,279] 是比较左翼的
[00:05:34,279 -> 00:05:35,720] 叫什么反全球化
[00:05:35,720 -> 00:05:37,160] 这个其实和我的想法不一样
[00:05:37,160 -> 00:05:41,160] 我刚刚想蓝领工人听起来经济政策是右派保守
[00:05:41,160 -> 00:05:41,839] 但是不是哦
[00:05:41,839 -> 00:05:42,399] 对啊
[00:05:42,399 -> 00:05:45,000] 他们是他们是这个传這個傳統勞工一黨
[00:05:45,000 -> 00:05:48,240] 所以你在看這個比如說傳統的這些自由貿易這些事情
[00:05:48,240 -> 00:05:52,079] 比如說1990年的時候克林頓在談判
[00:05:52,079 -> 00:05:54,480] 一是這個兩大談判嘛
[00:05:54,480 -> 00:05:58,199] 一個當時就是這個北美自貿條例 NAFTA
[00:05:58,199 -> 00:06:00,480] 國會裡面半數民主黨人是反對的
[00:06:00,480 -> 00:06:01,959] 主要是以共和黨人為支持
[00:06:01,959 -> 00:06:04,600] 因為右翼商會這些力量支持自由貿易
[00:06:04,600 -> 00:06:06,399] 但是這個傳統工會是堅決反對的
[00:06:06,399 -> 00:06:07,759] 商會和工會是
[00:06:07,759 -> 00:06:12,319] 包括對華給中國貿易最惠國
[00:06:12,319 -> 00:06:16,800] 入世的事情都是共和黨這些領導人在國會中推動的
[00:06:16,800 -> 00:06:22,000] 所以說中國人民後來稱之為當時眾議院的籌款委員會
[00:06:22,000 -> 00:06:24,480] 就是管貿易的委員會的主席比爾·阿奇
[00:06:24,480 -> 00:06:26,399] 共和黨人德州的为中国人民的老朋友
[00:06:26,399 -> 00:06:27,000] 哦真的吗
[00:06:27,000 -> 00:06:29,000] 对对对他那个你看那个
[00:06:29,000 -> 00:06:31,800] 非受理的老朋友来中国的时候都是亲切接待
[00:06:31,800 -> 00:06:35,399] 因为他在这个入世和这个最后一国上面做了很多工作
[00:06:35,399 -> 00:06:37,399] 就是传统商会的盟友
[00:06:37,399 -> 00:06:39,000] 2016年这批选民
[00:06:39,000 -> 00:06:41,300] 那他们在这个经济意义上其实比较左翼的
[00:06:41,300 -> 00:06:43,500] 但是在社会意义上是比较保守
[00:06:43,500 -> 00:06:46,000] 就是他们是这个传统工人
[00:06:46,000 -> 00:06:48,000] 有很多传统价值
[00:06:48,000 -> 00:06:50,000] 有很多蓝领的选民
[00:06:50,000 -> 00:06:52,000] 还有天主教素材
[00:06:52,000 -> 00:06:54,000] 反堕胎
[00:06:54,000 -> 00:06:56,000] 反多元化的需求
[00:06:56,000 -> 00:06:58,000] 尤其是外来移民劳工来抢他们的工作
[00:06:58,000 -> 00:07:02,000] 所以特朗普在2016年吸引了这么多选民
[00:07:02,000 -> 00:07:05,240] 从民主党阵营转投到共和党方面所以这是为什么特朗普在一年吸引了這麼多選民從民主黨陣營轉投到共和黨方面
[00:07:05,240 -> 00:07:08,199] 所以這是為什麼特朗普在一眾共和黨人
[00:07:08,199 -> 00:07:10,439] 可能說是2016年最強的候選人
[00:07:10,439 -> 00:07:13,680] 因為他能夠捕捉到這一批關鍵選民的素質
[00:07:13,680 -> 00:07:17,480] 所以說確實他在初選的時候就很一般
[00:07:17,480 -> 00:07:19,279] 因為是在共和黨那裡爭
[00:07:19,279 -> 00:07:22,160] 但是到了能吸引搖擺選民的時候
[00:07:22,160 -> 00:07:23,040] 他就很有優勢了
[00:07:23,040 -> 00:07:25,000] 但是特朗普上任之后就疏远了
[00:07:25,000 -> 00:07:26,680] 共和党的那一个关键选民组合
[00:07:26,680 -> 00:07:28,160] 就是这个成交富裕选民
[00:07:28,160 -> 00:07:30,560] 高教育程度的这个高精英白领
[00:07:30,560 -> 00:07:32,000] 他们对于特朗普的意见
[00:07:32,000 -> 00:07:33,959] 可能主要是一些个人风格
[00:07:33,959 -> 00:07:36,879] 和一些这个大家还有各种各样的政策的问题
[00:07:36,879 -> 00:07:39,000] 这些人本来跟共和党比较离心离德
[00:07:39,000 -> 00:07:40,920] 在特朗普年间就开始了这个逐渐脱离
[00:07:40,920 -> 00:07:43,680] 那这些人呢 就是经济意义上比较温和
[00:07:43,680 -> 00:07:46,040] 就是可能也是不太喜欢这种什么
[00:07:46,279 -> 00:07:47,759] 高税高大政府开支
[00:07:47,759 -> 00:07:48,959] 那肯定 但是可以接受
[00:07:48,959 -> 00:07:51,079] 并不是特别反弹
[00:07:51,079 -> 00:07:52,680] 但是在文化意义上比较左
[00:07:52,680 -> 00:07:54,000] 拥抱资源化
[00:07:54,000 -> 00:07:56,439] 拥抱新的所谓的成交富裕阶层
[00:07:56,759 -> 00:07:58,279] 受教育程度比较高
[00:07:58,560 -> 00:08:01,040] 所以这些人在2020年成为了关键摇摆选民
[00:08:01,040 -> 00:08:03,240] 拜登就很好的捕捉了他们的诉求
[00:08:03,240 -> 00:08:04,319] 赢得了选票
[00:08:04,319 -> 00:08:06,759] 从这个角度其实真的解释力很强
[00:08:06,759 -> 00:08:09,639] 就是他是一个真正的能解释美国政治pattern的
[00:08:09,639 -> 00:08:11,519] 你去搞那些各种各样的阴谋论
[00:08:11,519 -> 00:08:12,120] 我觉得就
[00:08:12,120 -> 00:08:14,879] 对他其实就是明明每一届的摇摆选民都不太一样
[00:08:14,879 -> 00:08:17,120] 但是因为他美国政治现在高度激化
[00:08:17,120 -> 00:08:19,160] 两党的基本盘非常的稳固
[00:08:19,160 -> 00:08:20,240] 就你就可以仔细观察
[00:08:20,240 -> 00:08:21,439] 像这个新世纪以来
[00:08:21,439 -> 00:08:23,439] 上世纪末最后一次选举到现在
[00:08:24,279 -> 00:08:26,000] 这么多年选举民主党的得票率
[00:08:26,000 -> 00:08:29,000] 就在普选中是没有下过48%
[00:08:29,000 -> 00:08:33,000] 就是即使是最低是下一个46.几%
[00:08:33,000 -> 00:08:35,000] 就是平均值是48%左右
[00:08:35,000 -> 00:08:38,000] 就最低就是48%
[00:08:38,000 -> 00:08:40,000] 正常51%左右摇摆
[00:08:40,000 -> 00:08:42,000] 共和党是从来没有超过46%
[00:08:42,000 -> 00:08:43,000] 除了一次小布什
[00:08:43,000 -> 00:08:46,720] 赢了50%点几
[00:08:48,120 -> 00:08:50,840] 所以基本盘是非常稳固
[00:08:50,840 -> 00:08:54,039] 所以有那么大概3%到45%的摇摆选民
[00:08:54,039 -> 00:08:56,080] 他们能够决定选举选权
[00:08:56,080 -> 00:08:58,399] 当然这个东西其实就是因为每次选举联盟里面
[00:08:58,399 -> 00:09:00,120] 可能会有一小部分人分裂出来
[00:09:00,120 -> 00:09:00,840] 对吧
[00:09:00,840 -> 00:09:02,440] 这个东西就是所谓的新的摇摆选
[00:09:02,440 -> 00:09:04,720] 但是它真的是一个很平衡
[00:09:04,720 -> 00:09:05,879] 或者但是非常这感觉这个平衇但是他真的是一個很平衡或者但是非常
[00:09:05,879 -> 00:09:08,080] 就感覺這個平衡很奇怪
[00:09:08,080 -> 00:09:09,120] 為什麼會這麼平衡
[00:09:09,120 -> 00:09:12,120] 這個就涉及到另一個超級大的話題
[00:09:12,120 -> 00:09:13,559] 就是美國政治計劃的問題
[00:09:13,559 -> 00:09:17,240] 但是就是不是就是是湊巧這麼平衡嗎
[00:09:17,240 -> 00:09:17,759] 還是
[00:09:17,759 -> 00:09:21,399] 那這個可能反映了很多這個政治體制設計的一個生態
[00:09:21,399 -> 00:09:24,840] 和這個美國政治現象這個僵局的一個狀況
[00:09:24,840 -> 00:09:26,960] 好我覺得這個東西我們話題就不深聊了
[00:09:26,960 -> 00:09:29,919] 想深入聊天的就去看你的公眾號就好了
[00:09:29,919 -> 00:09:31,399] 因為這個東西比不見得了解
[00:09:31,399 -> 00:09:32,120] 這個東西非常非常的專業
[00:09:32,120 -> 00:09:34,360] 一聊可能只能聊這個十二傑克
[00:09:34,360 -> 00:09:36,200] 對 好 我們回過頭來
[00:09:36,200 -> 00:09:39,279] 就是美國的內政其實是遠遠大於外交的
[00:09:39,279 -> 00:09:41,000] 我們在理解美國的這個的時候
[00:09:41,000 -> 00:09:42,519] 可能是巴爾開這樣的一些比例
[00:09:42,519 -> 00:09:45,519] 對 就是我們習慣性的是去看它的外交
[00:09:45,519 -> 00:09:47,919] 然后我们习惯性的去把这个政府连人化
[00:09:47,919 -> 00:09:50,720] 但是其实它的内部充满了各种各样的斗争
[00:09:50,720 -> 00:09:51,919] 充满了各种各样的想法
[00:09:51,919 -> 00:09:52,639] 外交在这里面
[00:09:52,639 -> 00:09:54,919] 对 当然这个东西外交是一个很复杂的话题
[00:09:55,679 -> 00:09:57,720] 我们国家在很多时候处理外交问题是吧
[00:09:57,720 -> 00:10:01,519] 就是现在比如说随着联邦政府这个级别的预论
[00:10:01,519 -> 00:10:03,720] 那很多就会通过州政府一边的外交
[00:10:03,720 -> 00:10:05,559] 就是州省政级政府里面的外交
[00:10:05,559 -> 00:10:07,559] 或者地市级外交来通过
[00:10:07,559 -> 00:10:09,200] 州政府也是有外交权的
[00:10:09,200 -> 00:10:10,320] 地市级也可以外交
[00:10:10,320 -> 00:10:12,799] 他们就是可以派出代表团来访问
[00:10:12,799 -> 00:10:15,120] 比如说签单也可以跟州政府签
[00:10:15,120 -> 00:10:17,080] 这是一个新的途径
[00:10:17,080 -> 00:10:18,559] 还有一些民间外交
[00:10:18,559 -> 00:10:19,919] 比如说找我们的老朋友们
[00:10:19,919 -> 00:10:23,440] 我们一般是用中国的方式去理解美国
[00:10:23,440 -> 00:10:25,759] 然后可能中国它就是外交很重要
[00:10:25,759 -> 00:10:27,840] 或者說民族大旗這件事情很重要
[00:10:27,840 -> 00:10:29,720] 我們的領土完整啊什麼東西的
[00:10:29,720 -> 00:10:31,200] 每個人都息息相關
[00:10:31,200 -> 00:10:32,600] 我們對對吧
[00:10:32,600 -> 00:10:35,039] 這個支持是跟外交和這個是
[00:10:35,039 -> 00:10:36,080] 啊
[00:10:36,080 -> 00:10:36,879] 要這麼說的話
[00:10:36,879 -> 00:10:40,320] 你要外交要是在中國政治裡面非常重要的話
[00:10:40,320 -> 00:10:42,600] 那外交部也就不能只是個部門
[00:10:42,600 -> 00:10:43,679] 只是個國務院部門
[00:10:44,159 -> 00:10:45,600] 你覺得也沒有那麼重要
[00:10:45,600 -> 00:10:47,039] 但是他在老百姓
[00:10:47,039 -> 00:10:48,639] 出境率
[00:10:48,639 -> 00:10:49,840] 出境率很高
[00:10:49,840 -> 00:10:54,559] 所以說我們就會覺得美國外交部出境率也會那麼高
[00:10:54,559 -> 00:10:56,639] 一個國家出境率最高肯定是外交部
[00:10:56,639 -> 00:10:59,200] 在美國政治裡邊出境率很高嗎
[00:10:59,200 -> 00:11:00,720] 在美國政治當然不是
[00:11:00,720 -> 00:11:01,759] 就是在國際舞臺上
[00:11:01,759 -> 00:11:02,720] 對啊對啊
[00:11:02,720 -> 00:11:05,480] 所以說這個中美的区别
[00:11:05,480 -> 00:11:06,279] 你觉得大吗
[00:11:06,279 -> 00:11:11,279] 我们中国人是去会真的关心我们中国的战略地位啊
[00:11:11,279 -> 00:11:13,840] 对中国人民对国际事务是比较了解
[00:11:13,840 -> 00:11:16,279] 而美国人民作为一个世界孤岛啊
[00:11:16,279 -> 00:11:19,440] 这个长期长年对外界外部世界是不了解
[00:11:19,440 -> 00:11:20,600] 比如说对他们的盟友
[00:11:20,600 -> 00:11:23,480] 这个对亚洲或者中国
[00:11:23,480 -> 00:11:26,000] 就是每一个所谓的中国制造的印象
[00:11:26,000 -> 00:11:27,120] 零几年的时候
[00:11:27,120 -> 00:11:29,840] 现在可能会制造一些比较负面的印象
[00:11:29,840 -> 00:11:32,919] 但是他们对欧洲的了解也非常有限
[00:11:32,919 -> 00:11:34,200] 这个国家在哪里
[00:11:34,200 -> 00:11:38,399] 他就是因为他两大洋封闭的这么一个
[00:11:38,399 -> 00:11:40,240] 如果不是他是一个比较受教育的
[00:11:40,240 -> 00:11:41,480] 就是说普通美国老百姓
[00:11:41,480 -> 00:11:42,639] 就是美国的出租车司机
[00:11:42,639 -> 00:11:44,639] 但是美国出租车司机成分比较复杂
[00:11:44,639 -> 00:11:46,200] 可能是各国这种有些什么牵制是前外美国的出租车司机当然美国出租车司机成分比较复杂可能是各国这种
[00:11:46,200 -> 00:11:48,639] 有些什么牵制着前外要官当出租车司机
[00:11:48,639 -> 00:11:51,440] 但是就因为只有大城市有出租车司机
[00:11:51,440 -> 00:11:54,039] 但是就是美国这些比如说农村的老百姓
[00:11:54,039 -> 00:11:56,039] 可能对外界是一无所知
[00:11:56,039 -> 00:11:58,600] 对这是伊利诺伊的首都是哪里
[00:11:58,600 -> 00:12:00,039] 经典问单
[00:12:00,039 -> 00:12:02,360] 就是二战的一个老梗
[00:12:02,360 -> 00:12:05,840] 德国人抓美国的德國間諜
[00:12:05,840 -> 00:12:07,840] 就問他們伊利諾伊的首府是哪里
[00:12:07,840 -> 00:12:09,519] 達春田的人
[00:12:09,519 -> 00:12:10,320] 就是Springfield的人
[00:12:10,320 -> 00:12:11,039] 一個就是間諜
[00:12:11,039 -> 00:12:12,080] 都是德國人
[00:12:12,080 -> 00:12:13,919] 伊利諾伊或者美國大頭兵都知道
[00:12:13,919 -> 00:12:15,519] 都是芝加哥
[00:12:15,519 -> 00:12:16,080] 對
[00:12:16,080 -> 00:12:17,000] 回過來說
[00:12:17,000 -> 00:12:20,159] 就是美國人不像中國人這麼關心國際政治
[00:12:20,159 -> 00:12:21,360] 這個是
[00:12:21,360 -> 00:12:23,200] 我覺得其實就是這是美國的特性
[00:12:23,200 -> 00:12:25,700] 歐洲人應該也也比较关心
[00:12:25,700 -> 00:12:27,480] 因为他处于这个旧大陆
[00:12:27,480 -> 00:12:28,480] 但是回过来啊
[00:12:28,480 -> 00:12:31,779] 我们在这个就是回到我们自己对美国政治了解
[00:12:31,779 -> 00:12:33,899] 我们是要知道我们自己的很多行为的
[00:12:33,899 -> 00:12:35,620] 我们的很多行为呢就是
[00:12:35,620 -> 00:12:37,419] 世界大势不可扭转
[00:12:37,419 -> 00:12:39,220] 世界大势就是中国在崛起
[00:12:39,220 -> 00:12:41,419] 美国要想方设法的去抑制中国
[00:12:41,419 -> 00:12:44,220] 美国和中国就是会有直接的战略对抗
[00:12:44,220 -> 00:12:45,759] 然后我们在这个过程中我们就是要想方设法怎么去对抗怎么样子国和中国就是会有直接的战略对抗然后我们在这个过程中
[00:12:45,759 -> 00:12:47,679] 我们就是要想方设法怎么去对抗
[00:12:47,679 -> 00:12:49,320] 怎么样子提高我们战略自主权
[00:12:49,320 -> 00:12:50,919] 怎么样去搞我们自己的盟友
[00:12:50,919 -> 00:12:52,480] 而不要融入美国的体系了
[00:12:52,480 -> 00:12:54,080] 因为这个东西是徒劳无功的
[00:12:54,080 -> 00:12:55,080] 你怎么看
[00:12:56,200 -> 00:12:57,960] 这是目前最鲜锐的问题
[00:12:57,960 -> 00:13:03,320] 我觉得这个当然两个国家之间的关系
[00:13:03,600 -> 00:13:04,960] 两方面的问题
[00:13:04,960 -> 00:13:05,000] 一个是战略现实的变化这个确实是客观存在我觉得当然两个国家之间的关系有两方面的问题
[00:13:05,000 -> 00:13:07,480] 一个是战略现实的变化
[00:13:07,480 -> 00:13:09,480] 这个确实是客观存在
[00:13:09,480 -> 00:13:10,759] 这个东西是相对的
[00:13:10,759 -> 00:13:11,840] 当然它不是绝对的
[00:13:11,840 -> 00:13:13,559] 中国崛起是相对的崛起
[00:13:13,559 -> 00:13:15,159] 和美国的衰落是相对衰的
[00:13:15,159 -> 00:13:17,240] 因为随着中国的快速崛起
[00:13:17,240 -> 00:13:20,039] 美国的衰落就会相对的明显
[00:13:20,039 -> 00:13:22,720] 但美国的绝对实力依然是很强的
[00:13:22,720 -> 00:13:24,639] 美国现在面临的最大问题是内部问题
[00:13:24,639 -> 00:13:25,960] 内部纠纷问题
[00:13:25,960 -> 00:13:27,879] 可能会获取消强
[00:13:27,879 -> 00:13:31,279] 中美其实在其他全球霸权上没有矛盾点
[00:13:31,279 -> 00:13:34,799] 主要是围绕着亚太地区主导权的争霸
[00:13:34,799 -> 00:13:36,559] 这是未来的一个趋势
[00:13:36,559 -> 00:13:41,039] 美国可能无法接受未来在亚太地区退居第二位的现实
