[00:00:00,000 -> 00:00:01,760] Hello 大家好 欢迎回到凯特贝尔正
[00:01:16,280 -> 00:01:17,480] 同时我们在工作中
[00:01:17,480 -> 00:01:18,519] 也有很多人会告诉我们
[00:01:18,519 -> 00:01:19,599] 你要打造你的人设
[00:01:19,599 -> 00:01:21,840] 比如说要打造一些靠谱的人设
[00:01:21,840 -> 00:01:22,560] 这个都没有问题
[00:01:22,760 -> 00:01:23,760] 然后努力的人设
[00:01:23,879 -> 00:01:24,560] 聪明的人设
[00:01:24,959 -> 00:01:25,000] 有远见的人设等等听起问题吧然后努力的人设啊聪明的人设啊
[00:01:25,000 -> 00:01:26,040] 有远见的人设啊
[00:01:26,040 -> 00:01:26,560] 等等
[00:01:26,560 -> 00:01:29,840] 听起来也都是一些理所应当的事情
[00:01:29,840 -> 00:01:32,840] 那人设到底有什么不好的地方呢
[00:01:32,840 -> 00:01:35,239] 这里也邀请大家想一下
[00:01:35,239 -> 00:01:36,840] 可以把自己的想法打到弹幕上
[00:01:36,840 -> 00:01:39,040] 回头可以看一下和我说的这些东西
[00:01:39,040 -> 00:01:41,000] 是不是一致或者一个方向
[00:01:41,000 -> 00:01:42,519] 我意识到人设的问题
[00:01:42,519 -> 00:01:46,079] 是我在跟一个朋友聊做自媒体的事儿
[00:01:46,079 -> 00:01:49,799] 然后他就说他想去写blog
[00:01:49,799 -> 00:01:51,480] 而不想做视频
[00:01:51,480 -> 00:01:52,200] 我问他
[00:01:52,200 -> 00:01:55,120] 那你知道视频其实大家花时间
[00:01:55,120 -> 00:01:56,920] 大家在上面花的时间更多
[00:01:56,920 -> 00:01:58,799] 视频你的制作时间更短
[00:01:58,799 -> 00:02:02,640] 以及视频你可能接触到的观众数更多吧
[00:02:02,640 -> 00:02:06,400] 那同样的时间为什么不去做视频而去写blog呢
[00:02:06,400 -> 00:02:08,639] 他说他知道大概这三件事
[00:02:08,639 -> 00:02:13,199] 但是他想写blog是因为他想给自己打造一个
[00:02:13,199 -> 00:02:16,159] 很懂得职场专业的人设
[00:02:16,159 -> 00:02:19,280] 他觉得视频对这个人设是有冲突的
[00:02:19,280 -> 00:02:21,960] 我当时的第一反应就是哪里不对
[00:02:21,960 -> 00:02:24,560] 然后我就跟他继续探讨一下说
[00:02:24,560 -> 00:02:27,759] 如果说你想去打造一个专业形象
[00:02:27,759 -> 00:02:31,919] 那你心中足够配得上这个专业形象的内容
[00:02:31,919 -> 00:02:33,199] 大概有多少个呢
[00:02:33,199 -> 00:02:36,639] 他说大概有三五个把他想的比较成熟的想法
[00:02:36,639 -> 00:02:38,960] 然后他其实也收集了一些材料
[00:02:38,960 -> 00:02:40,159] 做了很多研究
[00:02:40,159 -> 00:02:42,000] 他要把这些东西写出来的话
[00:02:42,000 -> 00:02:45,599] 他认为是配得上他的心中的这个专业的人设的
[00:02:45,599 -> 00:02:47,319] 我然后又问他说
[00:02:47,319 -> 00:02:49,800] 那这三五个东西发出来之后
[00:02:49,800 -> 00:02:51,199] 三五个内容发出来之后
[00:02:51,199 -> 00:02:53,800] 你能持续产出这样高质量的内容吗
[00:02:53,800 -> 00:02:56,400] 他说他觉得很有可能不能
[00:02:56,400 -> 00:03:01,000] 这就是为什么他迟迟没有开始去写这些文章的原因
[00:03:01,000 -> 00:03:02,800] 他担心自己虎头蛇尾
[00:03:02,800 -> 00:03:05,000] 让大家看起来这个人设也非常的不好
[00:03:05,000 -> 00:03:06,000] 就让我想起来了
[00:03:06,000 -> 00:03:09,000] 其实我看到很多其他的想做自媒体的小伙伴
[00:03:09,000 -> 00:03:11,000] 他们去尝试了几个之后
[00:03:11,000 -> 00:03:13,000] 发现做不下去了
[00:03:13,000 -> 00:03:15,000] 因为没有内容可以生产了
[00:03:15,000 -> 00:03:17,000] 让我现在总结的话
[00:03:17,000 -> 00:03:19,000] 我觉得就是让我现在总结的话
[00:03:19,000 -> 00:03:21,000] 我觉得其中的人设这些词
[00:03:21,000 -> 00:03:24,000] 确实是产生了不少的副作用的
[00:03:24,000 -> 00:03:26,560] 也跟大家演示一下
[00:03:26,560 -> 00:03:29,240] 我是怎么样子抓住这样的直觉
[00:03:29,240 -> 00:03:30,639] 然后用理性去分析的
[00:03:30,639 -> 00:03:34,439] 可能对大家平时分析其他东西上也会有所借鉴
[00:03:34,439 -> 00:03:37,520] 好的 刚才的两部就是我第一产生了不好的直觉
[00:03:37,520 -> 00:03:40,719] 然后跟他进行了对应的探索
[00:03:40,719 -> 00:03:45,400] 第二就是在其他的一些别的事例上又去验证了直觉
[00:03:45,400 -> 00:03:48,599] 那接下来我就想去分析一下这个直觉产生的原因
[00:03:48,599 -> 00:03:53,000] 就是为什么人设有的时候会给我带来一些负面的问题
[00:03:53,000 -> 00:03:58,599] 其中的线索就是为什么我在听到他想打造一个专业的人设的时候
[00:03:58,599 -> 00:04:00,400] 会觉得这件事不可持续
[00:04:00,400 -> 00:04:09,199] 和为什么其他的小伙伴在做自媒体的时候打造了一个人设会让他们比较难继续的去持续的做下去
[00:04:09,199 -> 00:04:12,199] 先从原理出发人设是一个什么意思
[00:04:12,199 -> 00:04:16,600] 人设其实是一个标签或者说是一个面具
[00:04:16,600 -> 00:04:19,199] 而且这个既然是一个设定
[00:04:19,199 -> 00:04:21,399] 它就和你本身是不符的
[00:04:21,399 -> 00:04:23,500] 就是你本身是一个情况
[00:04:23,500 -> 00:04:25,879] 它可能抽象出来了一点去进行放大可能抽象出来了一点去进行抬高首先它是不服的就是你本身是一个情况它可能抽象出来了一点去进行放大
[00:04:26,160 -> 00:04:28,439] 可能抽象出来了一点去进行抬高
[00:04:28,720 -> 00:04:29,800] 首先它是片面的
[00:04:29,800 -> 00:04:31,639] 其次它和你的本体
[00:04:32,040 -> 00:04:34,120] 本身是有一定的偏差的
[00:04:34,399 -> 00:04:35,839] 所以你才要去打造人设
[00:04:35,839 -> 00:04:38,639] 而不是去展示一个更丰富全面的自我
[00:04:39,319 -> 00:04:41,240] 你既然去打造这样的一个
[00:04:41,519 -> 00:04:42,759] 和本体有偏差
[00:04:42,759 -> 00:04:44,839] 或者说是甚至有高下的
[00:04:44,839 -> 00:04:46,319] 这么样一个人设的话你就要一直去努力去打造这样的一个和本体有偏差或者说是甚至有高下的这么样一个人设的话
[00:04:46,319 -> 00:04:48,879] 你就要一直去努力去打造它
[00:04:48,879 -> 00:04:51,000] 努力去维护它
[00:04:51,000 -> 00:04:53,480] 当这个人设在你的日常生活中
[00:04:53,480 -> 00:04:55,279] 所占的比例很小的时候
[00:04:55,279 -> 00:04:57,720] 你需要维护它的精力还比较低
[00:04:57,720 -> 00:05:00,279] 但是当这个人设在你的日常生活中
[00:05:00,279 -> 00:05:01,399] 所占的比例比较大
[00:05:01,399 -> 00:05:03,279] 比如说你的频道有更多的粉丝
[00:05:03,279 -> 00:05:04,399] 有更多人看
[00:05:04,399 -> 00:05:06,519] 尤其是被你的熟人看到了以後
[00:05:06,519 -> 00:05:09,319] 那你就要在日常生活中也要去維持這個人設
[00:05:09,319 -> 00:05:11,439] 不然大家就會產生人設的撕裂
[00:05:11,439 -> 00:05:13,759] 你的人設和你的本身不符的話
[00:05:13,759 -> 00:05:15,360] 大家就會指責你的虛偽
[00:05:15,360 -> 00:05:15,759] 對吧
[00:05:15,759 -> 00:05:17,560] 要麼是你日常生活中
[00:05:17,560 -> 00:05:19,839] 大家就會覺得你裝什麼裝
[00:05:19,839 -> 00:05:21,959] 你平時不過是一個這樣的人
[00:05:21,959 -> 00:05:23,759] 你在頻道中卻展現出來的
[00:05:23,759 -> 00:05:25,120] 你是一個另那样的人
[00:05:25,120 -> 00:05:26,879] 你是一个坚硬的人设
[00:05:26,879 -> 00:05:28,079] 你是一个努力的人设
[00:05:28,079 -> 00:05:30,560] 但是你平常生活中一点也不坚硬一点也不努力
[00:05:30,560 -> 00:05:31,839] 那你就会越来越累
[00:05:31,839 -> 00:05:33,680] 越来越花更多的时间和精力
[00:05:33,680 -> 00:05:35,600] 需要去维持你日常生活
[00:05:36,160 -> 00:05:37,600] 全职up主没有这样的问题
[00:05:37,600 -> 00:05:38,000] 为什么
[00:05:38,000 -> 00:05:40,240] 因为全职up主他的人设是一个生意
[00:05:40,560 -> 00:05:44,639] 他只要在镜头前维持好他的人设
[00:05:44,639 -> 00:05:47,399] 他可以把自己的生活保护得很好
[00:05:47,399 -> 00:05:50,680] 他自己的生活比起人设来说已经太小了
[00:05:50,680 -> 00:05:53,639] 而且他又能通过这个人设来给他带来收益
[00:05:53,639 -> 00:05:56,879] 那他就值得花时间和精力去维持这个人设
[00:05:56,879 -> 00:05:59,720] 并且让他的日常生活去符合这个人设
[00:05:59,720 -> 00:06:02,240] 可是对于我们来 绝大多数人来说的话
[00:06:02,240 -> 00:06:04,759] 那个人设就是要么和你日常生活差不多大
[00:06:04,759 -> 00:06:05,680] 甚至小一些这个时候要么和你日常生活差不多大甚至小一些
[00:06:05,680 -> 00:06:09,399] 这个时候你要去把你的日常生活去维持到
[00:06:09,399 -> 00:06:11,800] 那个人设它又不能给你带来一些显而易见的
[00:06:11,800 -> 00:06:13,000] 特别高的收益的时候
[00:06:13,000 -> 00:06:14,399] 那你就会很痛苦
[00:06:14,399 -> 00:06:16,800] 然后你也会觉得不值得
[00:06:16,800 -> 00:06:18,800] 那这个时候你要么就选择停更
[00:06:18,800 -> 00:06:20,600] 不去再打造这个人设了
[00:06:20,600 -> 00:06:24,399] 要么你在日常生活中就要活得越来越装
[00:06:24,399 -> 00:06:25,000] 越来越虚伪越来越端着那你就要活得越来越装越来越虚伪
[00:06:25,000 -> 00:06:28,000] 越来越端着那你也就活得越来越累
[00:06:28,000 -> 00:06:31,000] 这就是人设在这件事情上的不好
[00:06:31,000 -> 00:06:34,000] 到这里我就用我的理性把刚才的那个直觉
[00:06:34,000 -> 00:06:37,000] 我觉得比较好的表输出来了
[00:06:37,000 -> 00:06:41,000] 但是我还想再进一步就是带着这个分析的结论
[00:06:41,000 -> 00:06:44,000] 去看一下我们工作中应不应该打造人设
[00:06:44,000 -> 00:06:49,279] 因为我的直觉告诉我工作和自媒体好像又不是完全一样的事情
[00:06:49,279 -> 00:06:52,399] 在自媒体那里不应该打造人设 在工作中未必
[00:06:52,399 -> 00:06:54,639] 那我去想它有什么不一样的
[00:06:54,639 -> 00:06:57,759] 第一可能是这个人设和你本身的远近
[00:06:57,759 -> 00:07:02,000] 就是你在工作中想给自己打造一个靠谱的人设
[00:07:02,000 -> 00:07:04,720] 那这个靠谱的人设不会离你太远
[00:07:04,720 -> 00:07:06,800] 因为你本身就是一个特别不靠谱的人你去打造一个靠谱的人设那这个靠谱的人设不会离你太远因为你本身就是一个特别不靠谱的人
[00:07:06,800 -> 00:07:09,000] 你去打造一个靠谱的人设是打造不成功的
[00:07:09,000 -> 00:07:11,199] 你如果能成功打造一个靠谱的人设
[00:07:11,199 -> 00:07:15,399] 那说明你之前肯定是一个相对还比较靠谱的人
[00:07:15,399 -> 00:07:17,720] 那如果你想打造一个聪明的人设
[00:07:17,720 -> 00:07:21,000] 那你之前肯定是一个相对还比较聪明的人
[00:07:21,000 -> 00:07:24,199] 不然的话在工作中很多这种直接反馈的机会
[00:07:24,199 -> 00:07:27,000] 和直接被tested和evaluated的机会
[00:07:27,000 -> 00:07:30,000] 你是没有办法打造一个离自己很远的人设的
[00:07:30,000 -> 00:07:33,399] 同时呢他又给你提供了一定的指引
[00:07:33,399 -> 00:07:37,600] 就是他会指引你去往这个方向去努力
[00:07:37,600 -> 00:07:39,199] 有的人说嘛
[00:07:39,199 -> 00:07:41,000] 就fake it until you make it
[00:07:41,000 -> 00:07:45,000] 就是说你先装作自己是一个很靠谱的人
[00:07:45,000 -> 00:07:47,399] 那你就要想方设法的去做靠谱的事情
[00:07:47,399 -> 00:07:50,199] 你在维持自己靠谱的人设的过程中
[00:07:50,199 -> 00:07:52,399] 你在维持自己靠谱的人设的过程中
[00:07:52,399 -> 00:07:54,199] 你就变成了一个越来越靠谱的员工
[00:07:54,199 -> 00:07:55,399] 越来越靠谱的合作伙伴
[00:07:55,399 -> 00:07:56,800] 越来越靠谱的老板
[00:07:56,800 -> 00:07:58,800] 那这其实是件好事对吧
[00:07:58,800 -> 00:08:00,800] 所以说在工作中适当的人设
[00:08:00,800 -> 00:08:03,399] 也许是可以引领你进步的
[00:08:03,399 -> 00:08:05,800] 变成一个更好的打工人
[00:08:05,800 -> 00:08:09,639] 所以从这个角度来说似乎也没有问题
[00:08:09,639 -> 00:08:11,480] 那什么时候会有问题
[00:08:11,480 -> 00:08:13,879] 就是你去装的太远了
[00:08:13,879 -> 00:08:16,680] 明明是一个喜欢有work-life balance
[00:08:16,680 -> 00:08:17,600] 想早点下班的人
[00:08:17,600 -> 00:08:19,720] 你非要打造出来一个努力的人设
[00:08:19,720 -> 00:08:21,560] 那就会给你带来巨大的痛苦
[00:08:21,560 -> 00:08:24,839] 你明明是一个不喜欢去拍老板马屁的人
[00:08:24,839 -> 00:08:26,360] 不喜欢社交的人
[00:08:26,360 -> 00:08:28,040] 不喜欢跟同事打成一片的人
[00:08:28,040 -> 00:08:29,759] 你非要去做这些事情
[00:08:29,759 -> 00:08:31,160] 那就会给你带来痛苦
[00:08:31,160 -> 00:08:34,080] 所以说最后的结论也很简单
[00:08:34,080 -> 00:08:35,519] 就是适当的人设
[00:08:35,519 -> 00:08:39,759] 尤其是和你的喜好相符的人设是有好处的
[00:08:39,759 -> 00:08:42,879] 没有好处的就是打造一个自己完全不喜欢
[00:08:42,879 -> 00:08:43,600] 完全不适应
[00:08:43,600 -> 00:08:45,600] 也不想去的目的地的人设
[00:08:45,600 -> 00:08:46,559] 好的分析到这里
[00:08:46,559 -> 00:08:49,120] 我觉得就把两个问题都分析清楚了
[00:08:49,320 -> 00:08:52,039] 人设是有一定负面效果的
[00:08:52,080 -> 00:08:55,960] 大家在做自媒体或者在表达自己的时候
[00:08:56,000 -> 00:08:58,600] 发自内心可能是一个一上来
[00:08:58,600 -> 00:09:00,080] 不会有那么多人喜欢你的事
[00:09:00,080 -> 00:09:02,679] 但是它是一个更长久和可以让你更舒服
[00:09:02,679 -> 00:09:03,759] 做自我的事情
[00:09:03,960 -> 00:09:06,879] 在工作中的时候如果去做一个人设的话
[00:09:07,120 -> 00:09:11,399] 如果适当的多走半步是可以引领你的成长
[00:09:11,399 -> 00:09:13,240] 但是多走了太多的话
[00:09:13,360 -> 00:09:15,559] 也会给你造成痛苦和脱节
[00:09:15,799 -> 00:09:17,720] 这就是这期视频的结论
[00:09:17,960 -> 00:09:19,360] 但是与此同时
[00:09:19,480 -> 00:09:22,799] 我也希望我的这些视频帮大家展示了一下
[00:09:22,960 -> 00:09:25,759] 我是怎么样子用直觉去引领我的分析
[00:09:25,759 -> 00:09:30,240] 然后又怎么用分析去把我的这个直觉给分析清楚的
[00:09:30,240 -> 00:09:32,399] 希望这些视频对大家有所帮助
[00:09:32,419 -> 00:09:33,360] 我们下期再见
[00:09:33,360 -> 00:09:33,639] 拜拜
