[00:00:00,000 -> 00:00:02,879] 大家好 今天我想跟大家聊一聊PM
[00:05:40,319 -> 00:05:45,199] 他就会进一步的说这个项目我发现了他的button X在哪
[00:05:45,199 -> 00:05:46,199] 他的blocker在哪
[00:05:46,199 -> 00:05:48,199] 我会主动的identify出来
[00:05:48,199 -> 00:05:49,800] 然后帮他unblock出来
[00:05:49,800 -> 00:05:51,600] 不管他是这个
[00:05:51,600 -> 00:06:00,800] 就是不管是你是需要其他team的合作
[00:06:00,800 -> 00:06:06,399] 还是你需要你的leadership去给你调动更多的资源去unblock
[00:06:06,399 -> 00:06:08,800] 他们都可以比如说通过数据啊
[00:06:08,800 -> 00:06:12,800] 或者说对这个engineer的理解去把它找出来
[00:06:12,800 -> 00:06:14,800] 然后去保证这个项目进行出去
[00:06:14,800 -> 00:06:16,800] 所以一个好的tpm是
[00:06:16,800 -> 00:06:21,800] 一个好的tpm可以非常好的保证你的这个东西的下限
[00:06:21,800 -> 00:06:24,800] 然后就说到product manager吧
[00:06:24,800 -> 00:06:26,600] 我们的主题Product Manager
[00:06:26,600 -> 00:06:27,800] 它是干什么的呢
[00:06:28,000 -> 00:06:31,199] 就是如果我从一个稍稍宽泛的
[00:06:31,199 -> 00:06:32,199] 个人的角度来说
[00:06:32,199 -> 00:06:35,399] 就是他首先要定下这个产品的方向
[00:06:35,800 -> 00:06:37,600] 他最重要的就是他要知道
[00:06:37,600 -> 00:06:39,000] 他要解决什么问题
[00:06:42,399 -> 00:06:44,300] 他最重要的就是他要知道
[00:06:44,300 -> 00:06:45,439] 他要解决什么问题
[00:06:45,439 -> 00:06:47,839] 他要定义他的human problem是什么
[00:06:47,839 -> 00:06:50,759] 然后他要定义出来这个东西应该怎么被解决
[00:06:50,759 -> 00:06:52,560] 在这里面当然
[00:06:52,560 -> 00:06:57,000] 在这里面当然就是engineer
[00:06:57,000 -> 00:07:01,439] 他要定义这个问题是什么
[00:07:01,439 -> 00:07:04,680] 他为什么需要被解决和怎么被解决
[00:07:04,680 -> 00:07:06,240] 然后这里边
[00:07:06,240 -> 00:07:09,680] 然后当这个产品开始出来的时候
[00:07:09,680 -> 00:07:13,439] 它也会在这中间有一个非常强的point of view
[00:07:13,439 -> 00:07:15,680] 不管它是从这个数据来的
[00:07:15,680 -> 00:07:17,920] 还是从一个anecdotes来的
[00:07:17,920 -> 00:07:20,480] 它应该就是这个产品的growth
[00:07:20,480 -> 00:07:22,879] 它知道这个产品的inside out
[00:07:22,879 -> 00:07:24,959] 就是每一个feature是怎么用的
[00:07:24,959 -> 00:07:25,040] 每一个feature是怎么用的
[00:07:25,040 -> 00:07:26,639] 每一个feature被大家怎么用
[00:07:26,639 -> 00:07:28,079] 是怎么build出来的
[00:07:28,079 -> 00:07:29,680] 他们之间的关系是什么
[00:07:29,680 -> 00:07:33,079] 和我最后怎么样子去把这个产品不断的迭代
[00:07:33,079 -> 00:07:33,920] 找出来问题
[00:07:33,920 -> 00:07:35,160] 然后把它做得更好
[00:07:35,160 -> 00:07:40,160] 去更好的服务顾客和解决所谓的human problem的
[00:07:41,240 -> 00:07:41,959] 当然了
[00:07:41,959 -> 00:07:46,519] 我觉得这件事情不是PM的职责
[00:07:46,519 -> 00:07:48,360] 就是不是PM一个人的职责
[00:07:48,360 -> 00:07:51,720] 所有好的工程师和所有好的数据科学家
[00:07:51,720 -> 00:07:54,920] 好的designer都应该一起去做这件事情
[00:07:54,920 -> 00:07:59,199] 而且我看到的就是确实好的这些所有的人
[00:07:59,199 -> 00:08:01,480] 都会去立足于这些问题
[00:08:01,480 -> 00:08:03,120] 然后去解决这些问题
[00:08:03,120 -> 00:08:05,240] 这也就是一个话题
[00:08:05,240 -> 00:08:07,519] 就是有些程序员就过来问我
[00:08:07,519 -> 00:08:08,839] 因为我身边有好多PM朋友
[00:08:09,240 -> 00:08:11,480] 就来问我说他们想转PM怎么转
[00:08:11,759 -> 00:08:13,120] 在我看来就是不应该
[00:08:13,279 -> 00:08:18,000] 就是你PM能做的所有的事情你都可以做
[00:08:18,240 -> 00:08:19,959] 而且你还有一些专长
[00:08:19,959 -> 00:08:21,680] 就是你可以真的去code
[00:08:21,680 -> 00:08:22,079] 对吧
[00:08:22,199 -> 00:08:23,480] 你是做一个DS的话
[00:08:23,480 -> 00:08:27,040] 你可以从数据中去发现一些更多的东西
[00:08:27,040 -> 00:08:31,439] 但是没有什么东西可以阻止你去做PM们做的事情
[00:08:31,439 -> 00:08:34,399] 如果你觉得PM做的东西很重要
[00:08:34,399 -> 00:08:35,840] 那恭喜你对的
[00:08:35,840 -> 00:08:37,840] 确实PM做的东西很重要
[00:08:37,840 -> 00:08:41,679] 但是不代表你不是PM就不应该去做这些事情
[00:08:41,679 -> 00:08:43,679] 而是每个人都应该去做这件事情
[00:08:43,679 -> 00:08:45,360] 但是PM他首先呢
[00:08:45,360 -> 00:08:46,799] 他有一些special training
[00:08:46,799 -> 00:08:49,600] 很多PM都是有很多这个business background
[00:08:49,600 -> 00:08:51,840] 就是我认识的比较好的PM
[00:08:54,240 -> 00:08:56,000] 我打交道的比较好的PM
[00:08:56,000 -> 00:08:59,279] 几乎无一例外都有一些这个startup
[00:08:59,279 -> 00:09:00,559] 或者说是medium
[00:09:00,559 -> 00:09:03,200] 就是反正都是有一些一线的
[00:09:03,200 -> 00:09:05,759] 基本上我打交道的比较好的PM都是有一些一线的基本上我打交道的比较好的PM
[00:09:05,759 -> 00:09:07,919] 都是有一些一线的经验在
[00:09:07,919 -> 00:09:09,519] 就是他们不管是startup
[00:09:09,519 -> 00:09:12,639] 还是一个大公司的比较frontline的function
[00:09:12,639 -> 00:09:15,279] 就是他一定是要跟他的用户打过交道
[00:09:15,279 -> 00:09:16,799] 他对用户的心智
[00:09:16,799 -> 00:09:21,120] 他对用户的喜好有一个特别强的感觉
[00:09:21,120 -> 00:09:23,279] 他才有可能把这个产品做好
[00:09:23,279 -> 00:09:27,440] 就是我觉得如果你想做PM的事情的话
[00:09:27,440 -> 00:09:31,519] 你应该去做 这是PM的优势之一
[00:09:31,519 -> 00:09:34,240] 就是他们的特殊的背景和他们特殊的training
[00:09:34,240 -> 00:09:35,840] 比如说大家都去business school
[00:09:35,840 -> 00:09:37,759] 一般都是MBA毕业
[00:09:37,759 -> 00:09:41,120] 就是受过一些系统的关于business的训练
[00:09:41,120 -> 00:09:42,559] 或者说有类似的方法论
[00:09:42,559 -> 00:09:47,679] 那他就那个他可以这是他的比较优势是比较擅长的东西
[00:09:47,679 -> 00:09:50,240] 他的存在可以让大家把这个东西做的最好
[00:09:50,240 -> 00:09:54,240] 或者说他的job description有一个人去make sure把这个事情做好
[00:09:54,240 -> 00:09:56,159] 但是大家都应该去做这件事
[00:09:56,159 -> 00:09:58,559] 所以说这个观点就是人人都是pm
[00:09:58,559 -> 00:10:00,240] 人人都应该是pm
[00:10:00,240 -> 00:10:03,200] 但是当时pm当然应该是应该是一个更好的pm
[00:10:03,200 -> 00:10:05,279] 那说到这里就可以扯一下
[00:10:05,279 -> 00:10:07,679] 我个人的经历不一定有代表性
[00:10:07,679 -> 00:10:09,120] 就是我打交道
[00:10:09,120 -> 00:10:11,679] 我认为好的PM和不好的PM是什么
[00:10:11,679 -> 00:10:13,519] 先从好的说起
[00:10:13,519 -> 00:10:16,000] 好的PM首先他是一个product leader
[00:10:16,000 -> 00:10:20,320] 就是他一定是从define这个product
[00:10:20,320 -> 00:10:22,159] define这个problem开始的
[00:10:22,159 -> 00:10:26,600] 他是能知道这个产品最后怎么往前走的
[00:10:26,600 -> 00:10:28,200] 他有一个非常好的vision
[00:10:28,200 -> 00:10:29,600] 他有非常好的strategy
[00:10:29,600 -> 00:10:33,399] 这个其实我是引用了Clare同学一句话
[00:10:33,399 -> 00:10:34,200] 她有她的channel
[00:10:34,200 -> 00:10:37,799] 我们接下来会专门做一期节目
[00:10:37,799 -> 00:10:41,200] 是PM和程序员 PM PK程序员
[00:10:41,200 -> 00:10:43,399] 然后大家互相吐槽一下
[00:10:43,399 -> 00:10:45,240] 和互相学习一下
[00:10:45,240 -> 00:10:46,559] 尽情期待
[00:10:46,559 -> 00:10:48,639] 但是就是我们在排练这个节目的时候
[00:10:48,639 -> 00:10:49,360] 他说了这句话
[00:10:49,360 -> 00:10:51,000] 其实我觉得总结的非常对
[00:10:51,000 -> 00:10:55,120] 就是你好的 PM 一定是要先 drive 你这个 product 对吧
[00:10:55,120 -> 00:10:57,480] 就是他一定是一个 leader
[00:10:57,480 -> 00:10:59,399] 而不是说大家开始做了
[00:10:59,399 -> 00:11:01,480] 然后你不断的 unblock unblock unblock
[00:11:01,480 -> 00:11:02,279] 那这个东西
[00:11:02,279 -> 00:11:04,240] 不可能是大家看到了 PM 的工作
[00:11:04,240 -> 00:11:08,179] 但是不应该是一个好的 PM的最重要的价值所在
[00:11:08,179 -> 00:11:10,419] 但是第二个就是他很懂
[00:11:10,419 -> 00:11:13,539] 他有很强的抽象思维
[00:11:13,539 -> 00:11:17,779] 他一定是就是大家会吐槽一个不好的PM
[00:11:17,779 -> 00:11:21,860] 就是你说你那个你给他讲了半天他也不懂
[00:11:21,860 -> 00:11:23,620] 好的PM他第一很懂技术
[00:11:23,620 -> 00:11:25,379] 第二他很懂数据
[00:11:25,379 -> 00:11:31,080] 一个好的PM就是他不一定需要能自己去把东西做了
[00:11:31,080 -> 00:11:34,080] 但是他一定要能懂得东西是怎么做出来的
[00:11:34,080 -> 00:11:36,179] 他不一定自己能去拿data
[00:11:36,179 -> 00:11:37,919] 但是他肯定能看出来
[00:11:37,919 -> 00:11:39,919] 肯定知道他应该看什么data
[00:11:39,919 -> 00:11:41,919] 这个data告诉他的到底是什么
[00:11:41,919 -> 00:11:44,620] 这个data是怎么样子验证他的hypothesis
[00:11:44,620 -> 00:11:46,639] 或者说是disproved hypothesis的
[00:11:46,639 -> 00:11:48,080] 就是他一定要懂
[00:11:48,080 -> 00:11:50,559] 然后懂的基础之上
[00:11:50,559 -> 00:11:53,360] 就是好的pm一定要有一个非常好的抽象思维
[00:11:53,360 -> 00:11:57,679] 所以说他才能把一个产品的方方面面给拼凑起来
[00:11:57,679 -> 00:11:59,759] 然后知道整个流程是什么的
[00:11:59,759 -> 00:12:00,960] 和重点在哪里
[00:12:00,960 -> 00:12:03,039] 我们接下来最重要做的东西是什么
[00:12:03,039 -> 00:12:06,000] 这就回到头来就说不好的pm是什么
[00:12:06,000 -> 00:12:09,600] 不好的pm首先他对一个产品没有好的point of view
[00:12:09,600 -> 00:12:10,960] 他最后就变成一个tpm了
[00:12:10,960 -> 00:12:13,840] 就是组织大家开个会然后组织大家汇报一下
[00:12:13,840 -> 00:12:15,679] 这种工作很重要 但是不是
[00:12:15,679 -> 00:12:18,240] 我们需要一个好的pm去做另外那些事情
[00:12:18,240 -> 00:12:21,120] 第二个就是他不懂
[00:12:21,120 -> 00:12:23,919] 他很多时候不知道这个产品是什么
[00:12:23,919 -> 00:12:25,519] 或者说不知道这个model是什么或者说不知道这个数�品是什么或者说不知道这个model是什么
[00:12:25,519 -> 00:12:26,960] 或者说不知道这个数据是什么
[00:12:26,960 -> 00:12:32,320] 所以说他抓不到重点 他就会去抓一些他懂的东西
[00:12:32,320 -> 00:12:34,480] 然后这些懂的东西可能根本就不重要
[00:12:34,480 -> 00:12:36,639] 然后他就试图怎么把他懂的东西做好
[00:12:36,639 -> 00:12:39,360] 而不是去把这个产品需要做什么东西做好
[00:12:39,360 -> 00:12:43,039] 另外一方面就是他抓不到重点的时候
[00:12:43,039 -> 00:12:44,799] 他就会说我什么都要
[00:12:44,799 -> 00:12:47,000] 这就会比如说一个不好的PM
[00:12:47,000 -> 00:12:50,200] 他在程序员面前他排不出来P0 P1 P2是什么
[00:12:50,200 -> 00:12:51,799] P0就是priority是吧
[00:12:51,799 -> 00:12:53,000] 就马上需要做的
[00:12:53,000 -> 00:12:55,399] 他根本不知道就是他说我什么都需要做
[00:12:55,399 -> 00:12:58,000] 那你问什么先做什么后做我什么都昨天要
[00:12:58,000 -> 00:12:59,600] 这等于什么都没有说
[00:12:59,600 -> 00:13:01,799] 因为一个公司的资源永远是有限的
[00:13:01,799 -> 00:13:03,799] 你要好的产品永远是要往前走的
[00:13:03,799 -> 00:13:08,000] 所以说你这个排序能知道什么东西最先需要做
[00:13:08,000 -> 00:13:13,000] 怎么样最快的把这个东西用一个合适的质量做出来
[00:13:13,000 -> 00:13:16,000] 是PM非常重要的功力的体现
[00:13:16,000 -> 00:13:18,000] 你一定有一个好的抽象思维
[00:13:18,000 -> 00:13:21,000] 对整个系统有一个comprehensive的了解
[00:13:21,000 -> 00:13:24,000] 才可以把这件事情做好
[00:13:23,600 -> 00:13:29,200] 才可以把这件事情做好那这基本上就讲我们具体的细节
[00:13:29,200 -> 00:13:32,000] 就是好的PM和不好的PM
[00:13:32,000 -> 00:13:33,200] 尤其从程序员的视角
[00:13:33,200 -> 00:13:35,919] 我们接下来就会讲
[00:13:35,919 -> 00:13:37,200] 敬请期待
[00:13:37,200 -> 00:13:40,559] 我们也请了当当和柳哥作为程序员来吐槽PM
[00:13:40,559 -> 00:13:44,799] 然后请了Clare去吐槽回去
[00:13:44,799 -> 00:13:46,799] 或者大家一起讨论一下
[00:13:46,799 -> 00:13:48,799] 应该还蛮有趣的 敬请大家期待
[00:13:48,799 -> 00:13:51,600] 最后我就再讲一下
[00:13:51,600 -> 00:13:58,000] 在我看来data scientist和pm之间应该互相学习的东西
[00:13:58,000 -> 00:14:00,399] 一个好的data scientist
[00:14:00,399 -> 00:14:03,600] 首先我觉得他本身就应该是一个好的pm
[00:14:03,600 -> 00:14:07,600] 如果你现在把我放到一个大厂去做PM的话
[00:14:07,600 -> 00:14:08,799] 我相信我能做得很好的
[00:14:08,799 -> 00:14:12,000] 就是我不用我任何的data scientist的skill
[00:14:12,000 -> 00:14:13,600] 我专门去做PM的工作的话
[00:14:13,600 -> 00:14:16,000] 我相信我能是一个蛮胜任的人
[00:14:16,000 -> 00:14:18,000] 毕竟也在咨询混过对吧
[00:14:18,000 -> 00:14:23,600] 但是那PM和data scientist的专长都是什么呢
[00:14:23,600 -> 00:14:26,460] 就在我看来PM的专长就是Products
[00:14:26,460 -> 00:14:27,460] Productions
[00:14:27,460 -> 00:14:29,460] 你对Product的执着
[00:14:29,460 -> 00:14:32,960] 你对UX的感受
[00:14:32,960 -> 00:14:35,960] 就是很多时候一个产品它的好坏
[00:14:35,960 -> 00:14:37,960] 你技术是一方面
[00:14:37,960 -> 00:14:42,460] 你UX你有没有真正的很好的抓住了用户的心智
[00:14:42,460 -> 00:14:44,960] 你有没有真正的得到了用户的注意力
[00:14:44,960 -> 00:14:45,200] 你有没有真的让你的�到了用户的注意力
[00:14:45,200 -> 00:14:48,159] 你有没有真的让你的产品resonate with user
[00:14:48,159 -> 00:14:50,240] 到底解没解决用户的痛点
[00:14:50,240 -> 00:14:52,960] 这些东西都是一些很settle
[00:14:52,960 -> 00:14:56,480] 很nuance但是又很体现功力的事情
[00:14:56,480 -> 00:14:59,600] 我认识的好的pm在这点就真的很佩服他们
[00:14:59,600 -> 00:15:02,159] 就是比如说我们出了一个产品
[00:15:02,159 -> 00:15:03,519] 他有一些这个message
[00:15:03,519 -> 00:15:05,759] 一个pm就说这个message让我感觉不好
[00:15:05,759 -> 00:15:08,559] 然后他又能非常清楚的告诉大家
[00:15:08,559 -> 00:15:09,919] 为什么让他感觉不好
[00:15:09,919 -> 00:15:11,519] 他觉得用户可能是怎么想的
[00:15:11,519 -> 00:15:13,120] 然后大家一听是很有道理的
[00:15:13,120 -> 00:15:15,360] 而且他不是限于自己的bias
[00:15:15,360 -> 00:15:18,399] 而是他能真的从用户的角度去思考这个问题
[00:15:18,399 -> 00:15:21,919] 我们就觉得这样的价值是非常大
[00:15:21,919 -> 00:15:24,960] 回过头来他对这个business解决的问题
[00:15:24,960 -> 00:15:25,000] 就是我到底是不是就是用户用了我这个头来对这个business解决的问题
[00:15:25,000 -> 00:15:28,000] 就是我到底是不是就是用户用了我这个产品
[00:15:28,000 -> 00:15:30,000] 到底有没有解决问题痛点呢
[00:15:30,000 -> 00:15:32,000] 他也有一个非常好的sense
[00:15:32,000 -> 00:15:35,000] 这是我觉得PM做的很好
[00:15:35,000 -> 00:15:37,000] 然后希望你们做的更好的地方
[00:15:37,000 -> 00:15:39,000] 那DS的相对优势呢
[00:15:39,000 -> 00:15:42,000] 就是我们可以从数据里边去
[00:15:42,000 -> 00:15:45,879] 我们可以用一个科学的态度去看待数据和分析数据
[00:15:45,879 -> 00:15:48,960] 因为毕竟一个人的精力是有限的
[00:15:48,960 -> 00:15:51,759] 人肯定是会被自己的精力所bias的
[00:15:51,759 -> 00:15:54,879] 这个时候好的PM和好的数据科学家
[00:15:54,879 -> 00:15:58,480] 他就是能知道什么东西是我的hypothesis
[00:15:58,480 -> 00:16:00,960] 什么东西是我知道的事实
[00:16:00,960 -> 00:16:05,000] 这个hypothesis到底怎么样子从数据里面被验证
[00:16:05,000 -> 00:16:08,559] 比如说我会感觉这个东西什么样的用户
[00:16:08,559 -> 00:16:10,720] 什么样的用户targeting是更好的
[00:16:10,720 -> 00:16:13,840] 但是那一个好的data scientist就会首先承认
[00:16:13,840 -> 00:16:15,360] OK这是一个hypothesis
[00:16:15,360 -> 00:16:17,759] 然后我应该怎么样子去design我的marketing
[00:16:17,759 -> 00:16:20,080] 怎么样子去design我的产品
[00:16:20,080 -> 00:16:21,840] 让数据能告诉我
[00:16:21,840 -> 00:16:23,919] 我的targeting到底是不是有效的
[00:16:23,919 -> 00:16:25,120] 如果有效有多有效或者说我的产品feature我�能告诉我我的targeting到底是不是有效的如果有效有多有效
[00:16:25,120 -> 00:16:27,679] 或者说我的这个产品这个feature
[00:16:27,679 -> 00:16:30,240] 我怎么样子告诉我用户到底喜欢A还是喜欢B
[00:16:30,240 -> 00:16:31,039] 哪个更有效
[00:16:31,039 -> 00:16:33,840] 这是稍稍总结一下
[00:16:33,840 -> 00:16:35,679] 就是非常笼统的总结一下
