[00:00:00,000 -> 00:00:02,319] 所以说中心化是一个更有效率的选择
[00:02:15,000 -> 00:02:17,000] 第一就是Web3的本质是什么
[00:02:17,000 -> 00:02:18,000] 其实我在跟COPPER的视频里面
[00:02:18,000 -> 00:02:20,000] 已经讲得很清楚了
[00:02:20,000 -> 00:02:21,000] Web3的本质是区块链
[00:02:21,000 -> 00:02:23,000] 然后区块链的本质是一个
[00:02:23,000 -> 00:02:25,560] Open Access不可篡改的数据库其实哪怕是Open Access不可篡改也不是区块链然后区块链的本质是一个Open Access不可篡改的数据库
[00:02:25,560 -> 00:02:27,800] 其实哪怕是Open Access不可篡改
[00:02:27,800 -> 00:02:29,280] 也不是区块链独有的
[00:02:29,280 -> 00:02:32,800] 但是区块链确实是在技术上天然而然的
[00:02:32,800 -> 00:02:34,639] 除非你有这个51%的工期
[00:02:34,639 -> 00:02:37,000] 不然就是一个无法篡改的数据库
[00:02:37,000 -> 00:02:39,439] 那它在技术上实现了这一点之后
[00:02:39,439 -> 00:02:41,000] 它能带来很多很多的应用
[00:02:41,000 -> 00:02:43,280] 包括Cooper在那个视频里面说的应用
[00:02:43,280 -> 00:02:45,800] 和包括Richard在这个视频里说的应用以及在这个技术之上生长出来的各的应用包括Cooper在那个视频里面说的应用和包括Richard在这个视频里说的应用
[00:02:45,800 -> 00:02:48,120] 以及在这个技术之上
[00:02:48,120 -> 00:02:49,439] 生长出来的各个应用
[00:02:49,439 -> 00:02:50,520] 比如说
[00:02:50,520 -> 00:02:52,240] 尤其是Cryptocurrency
[00:02:52,240 -> 00:02:53,599] 就是加密货币
[00:02:53,599 -> 00:02:56,360] 它所带来的Instant Settlement
[00:02:56,360 -> 00:02:57,759] 都是有很多价值的
[00:02:57,759 -> 00:02:58,719] 如果感兴趣的话
[00:02:58,719 -> 00:03:00,360] 可以去看我之前的几期视频
[00:03:00,360 -> 00:03:02,039] 我们这就不展开了
[00:03:02,039 -> 00:03:03,759] 总之这里面想说的是
[00:03:03,759 -> 00:03:06,400] Web3真正的本质就是区块链
[00:03:06,400 -> 00:03:08,599] 然后区块链真正的本质就是一个
[00:03:08,599 -> 00:03:10,400] Open Access不可枪改的数据库
[00:03:10,400 -> 00:03:12,000] 它其实是一个不大的概念
[00:03:12,000 -> 00:03:14,400] 然后我们就到了第二个了
[00:03:14,400 -> 00:03:16,800] 就是Web3的那些鼓吹者
[00:03:16,800 -> 00:03:18,400] 或者说是割韭菜的人
[00:03:18,400 -> 00:03:20,000] 他们会强调的东西是什么
[00:03:20,000 -> 00:03:21,599] 和这里面的问题所在
[00:03:21,599 -> 00:03:24,000] 他们会强调Web1是可读
[00:03:24,000 -> 00:03:25,439] Web2是可读可写�Web2是可读可写
[00:03:25,439 -> 00:03:27,639] 然后Web3是可读可写可拥有
[00:03:27,639 -> 00:03:30,560] 但是大家真的去探讨这个概念的时候
[00:03:30,560 -> 00:03:31,840] 其实会发现
[00:03:31,840 -> 00:03:33,439] 在互联网刚一开始的时候
[00:03:33,439 -> 00:03:34,840] 就是可读可写的
[00:03:34,840 -> 00:03:37,280] 我们在一开始很多服务器
[00:03:37,280 -> 00:03:38,800] 甚至你必须可读可写
[00:03:38,800 -> 00:03:41,240] 我们的邮件不是那种中心化的方式
[00:03:41,240 -> 00:03:43,840] 而是用一种去中心化的方式来提供的
[00:03:43,840 -> 00:03:46,719] 我们那个时候没有一个Google来给我们提供Gmail
[00:03:46,719 -> 00:03:48,560] 很多时候这个email service
[00:03:48,560 -> 00:03:50,719] 反而是要大家自己去搭
[00:03:50,719 -> 00:03:53,759] 我们的存储也是FTP这种本地存储的方式
[00:03:53,759 -> 00:03:56,240] 很少有这种中心化存储的方式
[00:03:56,240 -> 00:03:58,960] 只不过随着商业模式的演进
[00:03:58,960 -> 00:04:03,439] 整个互联网慢慢的去从去中心化变成了中心化
[00:04:03,439 -> 00:04:04,240] 为什么呢
[00:04:04,240 -> 00:04:06,639] 因为中心化它能给我们更便宜
[00:04:06,639 -> 00:04:09,479] 更快更有规模效应的去提供这些服务
[00:04:09,479 -> 00:04:12,520] 而且它能在规模化提供这些服务的过程中
[00:04:12,520 -> 00:04:13,879] 形成一定的商业模式
[00:04:13,879 -> 00:04:15,680] 从而免费提供这种服务
[00:04:15,680 -> 00:04:18,079] 所以说中心化是一个更有效率的选择
[00:04:18,079 -> 00:04:21,399] 而不是Web2这个技术本身天然的选择
[00:04:21,399 -> 00:04:22,879] 所以简而言之
[00:04:22,879 -> 00:04:26,600] 去中心化并不是Web3的特有的东西
[00:04:26,600 -> 00:04:30,920] 而是Web3它确实带了一些去中心化的特征
[00:04:30,920 -> 00:04:34,160] 可是这个去中心化用多种方式也可以实现
[00:04:34,160 -> 00:04:35,600] Web3实现去中心化
[00:04:35,600 -> 00:04:38,680] 也未必是诸多方式之中那个有效率的方式
[00:04:38,680 -> 00:04:40,680] 只不过是方式之一
[00:04:40,680 -> 00:04:42,399] 它也是有各种各样的取舍的
[00:04:42,399 -> 00:04:44,519] 那Web3所说的这个可拥有
[00:04:44,519 -> 00:04:48,000] 其实就是一个更有点偷换的概念了
[00:04:48,000 -> 00:04:49,000] 我们如果说可拥有啊
[00:04:49,000 -> 00:04:51,000] 就比如说我做一个NFT
[00:04:51,000 -> 00:04:53,000] 我说我拥有了后面的这些所有的东西
[00:04:53,000 -> 00:04:55,000] 或者我拥有原神
[00:04:55,000 -> 00:04:56,000] 没有人会认对吧
[00:04:56,000 -> 00:04:57,000] 或者说我做一个NFT
[00:04:57,000 -> 00:04:58,000] 说我拥有你家的房子
[00:04:58,000 -> 00:05:00,000] 也不可能有人认
[00:05:00,000 -> 00:05:01,000] 那为什么呢
[00:05:01,000 -> 00:05:03,000] 是因为我们现实世界的拥有权
[00:05:03,000 -> 00:05:04,000] 是一个复杂的东西
[00:05:04,000 -> 00:05:07,439] 它实现拥有实现确权
[00:05:07,439 -> 00:05:10,360] 主要的是背后的那个商业模式和各种各样的
[00:05:10,360 -> 00:05:12,120] 区约和法律是来实现的
[00:05:12,120 -> 00:05:14,360] 你真正的去一张纸也好
[00:05:14,360 -> 00:05:15,279] 一个二维码也好
[00:05:15,279 -> 00:05:18,079] 一个NFT去claim ownership的话
[00:05:18,079 -> 00:05:19,199] 本身是没有用的
[00:05:19,199 -> 00:05:20,079] 那OK
[00:05:20,079 -> 00:05:22,439] 很多这个原教旨主义者
[00:05:22,439 -> 00:05:24,399] NFT的原教旨主义者就会说
[00:05:24,399 -> 00:05:27,279] 我们如果去做一个链上的NFT
[00:05:27,279 -> 00:05:30,199] 它从一开始就是链原生的NFT
[00:05:30,199 -> 00:05:32,680] 那我这个NFT就能实现可拥有了
[00:05:32,680 -> 00:05:34,000] 我同意这个说法
[00:05:34,000 -> 00:05:36,839] 可是它的应用范围又是非常非常窄的
[00:05:36,839 -> 00:05:38,639] 如果你认真去看的话
[00:05:38,639 -> 00:05:43,360] 如果我们真的去对那些需要确权的东西来进行确权
[00:05:43,360 -> 00:05:45,360] 我们现在的这个文档啊我们现在的各种各样的二维码啊或者网上的确权的东西来进行确权我们现在的这个文档啊
[00:05:45,360 -> 00:05:47,800] 我们现在的各种各样的二维码啊
[00:05:47,800 -> 00:05:49,360] 或者网上的确权平台
[00:05:49,360 -> 00:05:52,439] 已经很好的提供了各种各样的解决方案
[00:05:52,439 -> 00:05:57,920] 很多时候NFT的人去说的那一个确权的解决方案
[00:05:57,920 -> 00:06:03,720] 在我看来是一个他们用概念套概念而创造出来的伪需求
[00:06:03,720 -> 00:06:05,680] 如果想了解到底是怎么做的
[00:06:05,680 -> 00:06:08,279] 可以去看我之前偷换概念的那期视频
[00:06:08,279 -> 00:06:09,600] 这里也不多展开了
[00:06:09,879 -> 00:06:13,600] 总之要说的东西就是去中心化
[00:06:13,680 -> 00:06:14,480] 可确询
[00:06:14,680 -> 00:06:18,079] 以及就是可确询所带来的这个可拥有吧
[00:06:18,079 -> 00:06:20,439] 其实都不是web3的特质
[00:06:20,680 -> 00:06:23,439] 在我们现有的互联网和我们现有的商业社会
[00:06:23,480 -> 00:06:24,839] 有无数的方式
[00:06:24,879 -> 00:06:27,000] 更高效率的去实现上述的这些东西
[00:06:27,000 -> 00:06:29,000] 为什么没有实现呢
[00:06:29,000 -> 00:06:33,000] 是因为他们其实在商业上是说不通的
[00:06:33,000 -> 00:06:37,000] 就是说我们大家当然觉得可确诊去中心化可能是个好东西
[00:06:37,000 -> 00:06:39,000] 但是大家愿意为此而付出多少钱呢
[00:06:39,000 -> 00:06:43,000] 如果让你每个月付50块钱去给你一个去中心化的邮件服务
[00:06:43,000 -> 00:06:45,519] 你到底还愿不愿意去使用它呢
[00:06:45,519 -> 00:06:47,199] 他们可能不可不愿意
[00:06:47,199 -> 00:06:49,839] 那就是这件事情的商业价值了
[00:06:49,839 -> 00:06:51,879] 它不是一个真正很有商业价值的事情
[00:06:51,879 -> 00:06:54,240] 这也许是一个小众的需求
[00:06:54,240 -> 00:06:59,399] 但是我不觉得Web3它能真正的很好解决这个商业价值的事情
[00:06:59,399 -> 00:07:01,839] 包括我之前在采访COOPER的时候
[00:07:01,839 -> 00:07:03,000] 他也提出来了
[00:07:03,000 -> 00:07:05,480] 我们想去看一个Web3的项目
[00:07:05,480 -> 00:07:06,680] 是不是真的有价值
[00:07:06,680 -> 00:07:07,879] 只要问一个问题就行了
[00:07:07,879 -> 00:07:09,519] 就是Who pays for the gas fee
[00:07:09,519 -> 00:07:11,560] 也就是说我们做的这些东西
[00:07:11,560 -> 00:07:13,480] 到底谁来为他买单
[00:07:13,480 -> 00:07:14,800] 其实我们会发现
[00:07:14,800 -> 00:07:16,120] Web3做的这些东西
[00:07:16,120 -> 00:07:18,160] 是没有人为他愿意买单的
[00:07:18,160 -> 00:07:19,959] 哪怕那些很关注去中心化
[00:07:19,959 -> 00:07:20,759] 很关注确诊
[00:07:20,759 -> 00:07:22,279] 很关注可能有的人
[00:07:22,279 -> 00:07:24,560] 可能也未必愿意为他买单
[00:07:24,560 -> 00:07:26,040] 那说了这些以后
[00:07:26,040 -> 00:07:28,319] 不是想说Web3就没有价值
[00:07:28,319 -> 00:07:29,680] 或者说没有希望了
[00:07:29,680 -> 00:07:32,560] 而是在Web3里边真正的Builder
[00:07:32,560 -> 00:07:34,839] 大家是要清楚地认识到这些问题的
[00:07:34,839 -> 00:07:37,120] 不是说Web3天然就能给你带来
[00:07:37,120 -> 00:07:38,639] Magical的解决方案
[00:07:38,639 -> 00:07:40,399] 你还是要从头到尾去解决
[00:07:40,399 -> 00:07:41,480] 什么是真实的需求
[00:07:41,480 -> 00:07:44,199] 大家愿意为此而付多少费
[00:07:44,199 -> 00:07:45,319] 怎么样子付费
[00:07:45,399 -> 00:07:47,399] 你的钱到底从何而产生
[00:07:47,560 -> 00:07:50,120] 如果说你去回归价值本质
[00:07:50,120 -> 00:07:51,439] 去思考这些事情的话
[00:07:51,439 -> 00:07:53,120] 我相信还是有很多 solution 的
[00:07:53,160 -> 00:07:54,160] 我觉得 web3 的技术
[00:07:54,160 -> 00:07:55,680] 也确实是一些很好的技术
[00:07:55,839 -> 00:07:58,360] 可是如果你只是说啊 web3
[00:07:58,360 -> 00:07:59,759] 所以说所有的东西
[00:07:59,759 -> 00:08:01,600] 一挥魔法棒全都解决了
[00:08:01,680 -> 00:08:02,879] 那我觉得是不成立的
[00:08:03,279 -> 00:08:05,560] 好的那这期视频就到这儿
[00:08:05,560 -> 00:08:06,600] 不知道大家有没有看到
[00:08:06,600 -> 00:08:08,000] 刚才有没有路过什么
[00:08:08,000 -> 00:08:10,800] 快漂亮的二线人小姐姐或者小哥哥
[00:08:10,879 -> 00:08:12,560] 那我们这期视频就到这里
[00:08:12,600 -> 00:08:13,680] 下期再见 拜拜
