[00:00:00,000 -> 00:00:03,799] 致富這個東西永遠不是靠積累的
[00:03:16,280 -> 00:03:17,960] 2020年的时候
[00:03:17,960 -> 00:03:20,199] 我当时应该是创业的第三年
[00:03:20,199 -> 00:03:24,199] 我跟我的合伙人我们在做跨境支付
[00:03:24,199 -> 00:03:26,840] 帮助罗业生做教学费这个事情
[00:03:27,599 -> 00:03:32,120] 我们当时遇到最大的竞争对手 那年出现支付宝做同样的业务
[00:03:33,080 -> 00:03:40,759] 这就是很多人问你的问题 说如果你创的这个业 腾讯或者阿里干了同样的事 你怎么办 我们遇到一模一样的事情
[00:03:41,400 -> 00:03:47,159] 我们做跨境支付最难的一点呢 就是做一个创业�公司别人把三四十万的学费托付给你
[00:03:47,159 -> 00:03:48,599] 这是一个非常难的事
[00:03:48,599 -> 00:03:51,319] 然后我跟我合伙人就飞到了杭州
[00:03:51,319 -> 00:03:54,400] 去见这个部门的产品经理
[00:03:54,400 -> 00:03:57,039] 大家一起尴尬的喝了半个小时咖啡
[00:03:57,039 -> 00:03:57,639] 人家就走了
[00:03:57,639 -> 00:03:58,800] 都没有邀请我们进办公室
[00:03:58,800 -> 00:04:00,039] 我们专门飞到杭州的
[00:04:00,039 -> 00:04:01,560] 没办法在这种情况下
[00:04:01,560 -> 00:04:04,639] 被逼到我们去找到了腾讯
[00:04:04,639 -> 00:04:07,039] 建立联系以后就聊了几句
[00:04:07,039 -> 00:04:09,080] 腾讯可能觉得说干支付宝这个事儿
[00:04:09,080 -> 00:04:10,879] 甭管什么都挺有意思的
[00:04:10,879 -> 00:04:12,080] 我记得是8月底
[00:04:12,080 -> 00:04:15,680] 当时是北京开的第一家Shake Shack
[00:04:15,680 -> 00:04:18,279] 然后我就朋友排队帮我代理
[00:04:18,279 -> 00:04:19,759] 我就发了个朋友圈
[00:04:19,759 -> 00:04:24,959] 马上腾讯的负责跨境支付的合规的产品经理
[00:04:24,959 -> 00:04:25,000] 就给我留了个言说太羡慕你们北京人了然后我后来和老高高一通马上腾讯的负责跨境支付的合规的产品经理
[00:04:25,000 -> 00:04:27,240] 就给我留了个言说太羡慕你们北京人了
[00:04:27,240 -> 00:04:29,279] 然后我和我老高高一同
[00:04:29,279 -> 00:04:31,279] 我俩去排了两个小时队
[00:04:31,279 -> 00:04:33,160] 买了一千多块钱的汉堡
[00:04:33,160 -> 00:04:35,319] 然后直奔机场到腾讯总部
[00:04:35,319 -> 00:04:37,399] 然后给人发微信说给你送汉堡
[00:04:37,399 -> 00:04:38,600] 他们特别开心
[00:04:38,600 -> 00:04:40,319] 全组边吃汉堡
[00:04:40,319 -> 00:04:41,680] 边听我们讲合作方案
[00:04:41,680 -> 00:04:43,639] 他这个关系一下就变得特别的放松
[00:04:43,639 -> 00:04:45,680] 用汉堡打开了我们之间的合作
[00:04:45,680 -> 00:04:49,639] 现在我们已经是他们独家的这方面的供应商
[00:04:49,639 -> 00:04:52,120] 也拿了腾讯站头的钱
[00:04:52,120 -> 00:04:54,639] 我们的C一轮也是腾讯站头投的
[00:04:54,639 -> 00:04:58,560] 有的时候大家老想着郑贵君的路线去解决方案
[00:04:58,560 -> 00:05:02,120] 反而有的时候拉到一个更Playful的一个层面
[00:05:02,120 -> 00:05:03,639] 我觉得会能解决问题
[00:05:03,639 -> 00:05:07,279] 很多成功学就是在这里边试图总结出来他怎么一二三是吧
[00:05:07,279 -> 00:05:09,680] 但是其实我觉得第一灵感
[00:05:09,680 -> 00:05:12,439] 这个灵感是来自于你对这件事情的念头
[00:05:12,439 -> 00:05:15,959] 但是那个念头一定是要跟你擅长的事情是吻合的
[00:05:15,959 -> 00:05:18,120] 年轻人就只有两个奋斗方向了
[00:05:18,120 -> 00:05:19,639] 要么做技术创新
[00:05:19,639 -> 00:05:20,959] 要么就去跟人打交道
[00:05:20,959 -> 00:05:22,920] 其实自己也在慢慢转型
[00:05:22,920 -> 00:05:24,399] 想做投资人
[00:05:24,399 -> 00:05:25,240] 想做投资人想做投资
[00:05:25,240 -> 00:05:27,759] 这个投资的方法论我都觉得非常的重要
[00:05:27,759 -> 00:05:31,519] 但是我觉得这些全部是可以通过团队来解决的
[00:05:31,519 -> 00:05:34,519] 没有哪个合伙人我觉得会是各行各业
[00:05:34,519 -> 00:05:37,079] 最顶尖的投资判断者和专家
[00:05:37,079 -> 00:05:38,279] 那一支基金的合伙人
[00:05:38,279 -> 00:05:40,959] 他最重要的是他存局的能力
[00:05:40,959 -> 00:05:42,160] 存LP的能力
[00:05:42,160 -> 00:05:43,800] 存项目的能力
[00:05:43,800 -> 00:05:46,000] 帮项目存新的融资的能力
[00:05:46,000 -> 00:05:48,000] 这三件事情是最重要的
[00:05:48,000 -> 00:05:53,000] 这可能是未来能把我自己的能力值发挥的比较好的一个职业
[00:05:53,000 -> 00:05:56,000] 就是你说的一件事情可以产生多个效率
[00:05:56,000 -> 00:05:58,000] 在帮我参与的各种各样的事情
[00:05:58,000 -> 00:05:59,000] 在赋能吧我觉得
[00:05:59,000 -> 00:06:03,000] 别人可能会好奇你怎么能既把学生邀请来
[00:06:03,000 -> 00:06:04,000] 又把网红邀请来
[00:06:04,000 -> 00:06:05,319] 又把政府邀请来又把企丢邀请来又把政府邀请来
[00:06:05,319 -> 00:06:06,720] 又把企业邀请来
[00:06:06,720 -> 00:06:08,120] 又把专家邀请来
[00:06:08,120 -> 00:06:10,319] 我们本来也都想交一些
[00:06:10,319 -> 00:06:13,120] 可能跟以前自己不是
[00:06:13,120 -> 00:06:15,399] exactly一个圈子的朋友
[00:06:15,399 -> 00:06:16,920] 大家都有这样的社交需求
[00:06:16,920 -> 00:06:20,399] 这几类人也是互相其实在吸引
[00:06:20,399 -> 00:06:21,800] 而且大家会抱着一个
[00:06:21,800 -> 00:06:23,720] 比较纯粹的目的交朋友
[00:06:23,720 -> 00:06:27,720] 在普思我觉得大家能找到一個真的還是挺學生感
[00:06:27,720 -> 00:06:28,800] 挺校養感的
[00:06:28,800 -> 00:06:31,240] 就是人和人之間更回到人的那個屬性
[00:06:31,240 -> 00:06:33,439] 而不是你的其他的標籤的一些屬性
[00:06:33,439 -> 00:06:36,360] 遊戲界有一個GDC Game Developer Conference
[00:06:36,360 -> 00:06:37,480] 然後在三藩
[00:06:37,480 -> 00:06:39,879] 中國的這次疫情之後也去了好多人
[00:06:39,879 -> 00:06:41,959] 那邊本身是一個超大的聚會
[00:06:41,959 -> 00:06:44,319] 然後我當時就隨便拉了一個群
[00:06:44,319 -> 00:06:46,639] 然後跟大家組織一场火锅
[00:06:46,639 -> 00:06:48,160] 最后那场火锅来了90个人
[00:06:48,160 -> 00:06:51,120] 网易 腾讯 暴雪 米哈游什么的
[00:06:51,120 -> 00:06:52,759] 全都是坐在一张桌子上
[00:06:52,759 -> 00:06:54,160] 然后暴雪的那个
[00:06:54,160 -> 00:06:56,600] 就是暴雪负责魔兽的pm
[00:06:56,600 -> 00:06:57,800] 桌上旁边的那个人
[00:06:57,800 -> 00:07:00,199] 就是给魔兽充了100万的一个人
[00:07:00,199 -> 00:07:01,079] 就互相吐槽
[00:07:01,079 -> 00:07:02,800] 大家氛围非常友好
[00:07:02,800 -> 00:07:04,920] 然后老板回去以后老板说
[00:07:04,920 -> 00:07:07,040] 中国能把这些游這些遊戲公司拉到一起的人
[00:07:07,040 -> 00:07:08,480] 除了我就只有中宣部了
[00:07:08,480 -> 00:07:10,160] 沒有這麼強目的性的局
[00:07:10,160 -> 00:07:11,600] 我稍稍總結一下的話
[00:07:11,600 -> 00:07:14,680] 就是你做事到現在為止
[00:07:14,680 -> 00:07:17,079] 比較有效的方式都是回歸到人
[00:07:17,079 -> 00:07:18,800] 然後在人的這個層面上去
[00:07:18,800 -> 00:07:19,600] 都是回歸到人
[00:07:19,600 -> 00:07:23,560] 平等的neutral的去跟人來做交往打交道吧
[00:07:23,560 -> 00:07:24,079] 我覺得
[00:07:24,079 -> 00:07:25,519] 好的學到了
[00:07:25,519 -> 00:07:26,759] 人性大師
[00:07:26,759 -> 00:07:27,759] 感謝楊帆
