[00:00:00,000 -> 00:00:03,600] 刚才你讲过了natural wine和普通的wine的区别
[00:02:37,199 -> 00:02:39,199] 很多納稅人不是說我不加硫
[00:02:39,199 -> 00:02:41,199] 他氧化就氧化了
[00:02:41,199 -> 00:02:43,199] 就是他自然的過程
[00:02:43,199 -> 00:02:45,000] 去掉更多人工的添加
[00:02:45,000 -> 00:02:46,360] 这就是孜然酒的一个过程
[00:02:46,360 -> 00:02:47,680] 但你说到底什么
[00:02:47,680 -> 00:02:49,680] 做到多少程度是孜然酒
[00:02:49,680 -> 00:02:50,680] 做到多少不是孜然酒
[00:02:50,680 -> 00:02:52,120] 这没有一个统一的界定
[00:02:52,120 -> 00:02:54,599] 继续再问一个问题
[00:02:54,599 -> 00:02:57,599] Natural Wine是不是产量比较低
[00:02:57,599 -> 00:02:58,599] 并且比较贵呢
[00:02:58,599 -> 00:03:01,120] 总的来说它的产量会更低一点
[00:03:01,120 -> 00:03:05,400] 因为它很多时候没有大规模的机械化生产
[00:03:05,639 -> 00:03:07,840] 然后它的质量是不可控制的很多时候
[00:03:08,300 -> 00:03:10,099] 然后所以它确实产量比较低
[00:03:10,099 -> 00:03:11,599] 然后它人工化程度比较多
[00:03:11,900 -> 00:03:12,840] 因为很多时候
[00:03:12,900 -> 00:03:14,639] 比如说像这种杀菌啊之类的
[00:03:14,639 -> 00:03:15,740] 或者说除草这种东西
[00:03:15,740 -> 00:03:17,539] 很多时候你喷喷东西都可以了
[00:03:18,099 -> 00:03:19,199] 大型机械去喷一喷
[00:03:19,199 -> 00:03:21,199] 但很多时候那时候我们不是就选择说
[00:03:21,199 -> 00:03:22,740] 我要更贴近我的
[00:03:23,139 -> 00:03:23,400] 田
[00:03:23,400 -> 00:03:26,080] 所以我可能要去人工除草或者人工去除虫
[00:03:26,319 -> 00:03:27,680] 它的成本会变得更高
[00:03:27,680 -> 00:03:28,800] 然后它的产量会更少
[00:03:29,039 -> 00:03:31,439] 其次就是它在市场上的需求也更少一点
[00:03:31,840 -> 00:03:33,439] 就是大家很多人不知道奶水丸
[00:03:33,439 -> 00:03:34,840] 或者很多人不会都听过奶水丸
[00:03:34,840 -> 00:03:35,800] 其实你喝到奶水丸
[00:03:35,800 -> 00:03:37,120] 你觉得这个味道好奇怪
[00:03:37,120 -> 00:03:38,960] 因为是奇怪的发酵味道我不喜欢
[00:03:39,560 -> 00:03:41,039] 这也是它产量比较小一点
[00:03:41,039 -> 00:03:42,400] 因为市场没有这么多的需求
[00:03:43,759 -> 00:03:44,800] 好的 谢谢
