[00:00:00,000 -> 00:00:01,879] 你稍微聊一下这种颜色进度什么的
[00:02:21,719 -> 00:02:23,439] 你真要找他的時候
[00:02:23,439 -> 00:02:27,439] 你要知道這個人他本身他到底懂不懂
[00:02:27,439 -> 00:02:28,240] 如果他不懂
[00:02:28,240 -> 00:02:29,680] 有種很可能性就是
[00:02:29,680 -> 00:02:31,240] 雖然他很真誠的給你賣了
[00:02:31,240 -> 00:02:33,360] 你不知道他有沒有這個判斷能力
[00:02:33,360 -> 00:02:34,560] 他自己如果
[00:02:34,560 -> 00:02:36,280] 這肯定我沒辦法判斷
[00:02:36,280 -> 00:02:38,120] 因為你能判斷他懂不懂
[00:02:38,120 -> 00:02:39,000] 我怎麼判斷呢
[00:02:39,000 -> 00:02:40,360] 我肯定是更不懂的那個
[00:02:40,360 -> 00:02:42,520] 就是永遠是買的沒有賣的錢
[00:02:42,520 -> 00:02:43,319] 我跟他買
[00:02:43,319 -> 00:02:45,180] 他肯定有各種辦法騙我
[00:02:45,199 -> 00:02:45,900] 就他騙不了我
[00:02:45,919 -> 00:02:46,900] 他也做不了我的生意
[00:02:46,919 -> 00:02:48,939] 從他那買的人肯定是不如他懂的人
[00:02:49,120 -> 00:02:50,259] 其實有一個很簡單的道理
[00:02:50,280 -> 00:02:52,939] 比方說當我遇到生活中一個問題的時候
[00:02:52,960 -> 00:02:55,780] 我在翻我的手機想找朋友去問的時候
[00:02:55,800 -> 00:02:58,780] 你首先會不會考慮他做這個行業做了多久
[00:02:59,080 -> 00:03:00,300] 比如說我問IT問題
[00:03:00,319 -> 00:03:01,580] 這個互聯網的問題
[00:03:01,599 -> 00:03:02,580] 我可能會問你
[00:03:02,599 -> 00:03:03,900] 但是你相信我
[00:03:03,919 -> 00:03:05,400] 我想買一條旗袍的時候
[00:03:05,400 -> 00:03:06,400] 我一定不會問你的
[00:03:06,400 -> 00:03:08,000] 是這個意思
[00:03:08,000 -> 00:03:08,800] 是這個意思
[00:03:08,800 -> 00:03:09,599] 而不是說
[00:03:09,599 -> 00:03:11,300] 但是那些人他會打造一些東西
[00:03:11,300 -> 00:03:13,099] 他肯定會說自己已經做了很久了
[00:03:13,099 -> 00:03:15,400] 其實你稍微聊一下
[00:03:15,400 -> 00:03:16,199] 就像我剛才的
[00:03:16,199 -> 00:03:17,300] 你如果把這視頻看了
[00:03:17,300 -> 00:03:19,199] 你稍微聊一下這種顏色進度什麼的
[00:03:19,199 -> 00:03:20,300] 你大概問一下
[00:03:20,300 -> 00:03:21,099] 你多問幾嘴
[00:03:21,099 -> 00:03:22,300] 其實他一定會漏的
[00:03:22,300 -> 00:03:23,599] 因為你知道正確答案
[00:03:23,599 -> 00:03:25,319] 我問就不知道正确答案
[00:03:25,319 -> 00:03:26,680] 提的这个点很对
[00:03:26,680 -> 00:03:28,000] 大家要注意包装
[00:03:28,000 -> 00:03:30,319] 不要被那些单独的概念
[00:03:30,319 -> 00:03:32,840] 不要被他包装出来的人设那些东西给骗了
[00:03:32,840 -> 00:03:35,240] 很多时候卖家就是给你营造一个
[00:03:35,240 -> 00:03:39,000] 我这能让你占到便宜的一个这种氛围
[00:03:39,000 -> 00:03:39,599] 你陷进去了
[00:03:39,599 -> 00:03:40,840] 那你就很容易上当受骗
[00:03:40,840 -> 00:03:42,719] 然后回归这个东西的价值本身
[00:03:42,719 -> 00:03:46,719] 本身一个就是你想方�設法找到最好的源頭
[00:03:46,719 -> 00:03:49,479] 相信的人更重要的可能就是增加自己的知識
[00:03:49,479 -> 00:03:51,759] 那個時候大家是賺人之內的錢
[00:03:51,759 -> 00:03:53,360] 就是你剛剛說的這些東西
[00:03:53,360 -> 00:03:55,080] 我相信網上應該有類似的資料
[00:03:55,080 -> 00:03:57,520] 可能我自己翻小紅書就是參差不齊
[00:03:57,520 -> 00:03:58,479] 兩有不一吧
[00:03:58,479 -> 00:03:59,000] 都有
[00:03:59,000 -> 00:04:02,000] 因為理論的東西跟實際的東西其實差別很大了
[00:04:02,000 -> 00:04:05,319] 而且有很多是存在他有意的去誤導
[00:04:05,319 -> 00:04:06,560] 比方說鑽石的證書
[00:04:06,560 -> 00:04:09,319] 現在小紅書都引導大家看那個證書號
[00:04:09,319 -> 00:04:11,039] 看到半年以內了
[00:04:11,039 -> 00:04:12,639] 我就想問一問
[00:04:12,639 -> 00:04:15,759] 你知道一顆鑽石在土地裡面
[00:04:15,759 -> 00:04:17,480] 它多久才能孕育出來嗎
[00:04:17,480 -> 00:04:19,319] 它那個時間段
[00:04:19,319 -> 00:04:22,040] 完全可以忽略掉你做證書的時間
[00:04:22,040 -> 00:04:26,399] 而現在人他會去在意這個證書是不是新的
[00:04:26,399 -> 00:04:27,899] 我們做專業證書我們根本不會在意
[00:04:27,899 -> 00:04:29,800] 我只會在意它最本質的東西
[00:04:29,800 -> 00:04:32,300] 比方說這顆它真的很有那個什麼
[00:04:32,300 -> 00:04:33,699] OK你要新的證書嗎
[00:04:33,699 -> 00:04:35,199] 我給你送出去再做唄
[00:04:35,199 -> 00:04:37,500] 但是沒有其實真的沒有任何意義
[00:04:37,500 -> 00:04:39,199] 他會為這個東西多掏錢
[00:04:39,199 -> 00:04:42,000] 證書只不過是一個底線
[00:04:42,000 -> 00:04:43,600] 它很重要
[00:04:43,600 -> 00:04:45,319] 但是像你說的它是一個基本線
[00:04:45,319 -> 00:04:47,079] 像我們的裁判它一樣有證書的
[00:04:47,079 -> 00:04:48,120] 但很重要
[00:04:48,120 -> 00:04:48,600] 看一眼
[00:04:48,600 -> 00:04:51,480] 但是你不能1000%的依賴它
[00:04:51,480 -> 00:04:53,000] 給大家這樣看一下
[00:04:53,000 -> 00:04:53,639] 就是說
[00:04:53,639 -> 00:04:57,279] 就是證書加上你學習的一些知識
[00:04:57,279 -> 00:04:58,439] 其實是最好的
[00:04:58,439 -> 00:05:00,439] 這是莫桑比克
[00:05:00,439 -> 00:05:02,199] GIS證書
[00:05:02,199 -> 00:05:03,480] 這是Viviret
[00:05:03,480 -> 00:05:05,300] 復證科學的意思
[00:05:05,300 -> 00:05:06,500] 無燒
[00:05:06,500 -> 00:05:08,699] 顏色尺寸都在這裡
[00:05:08,699 -> 00:05:09,500] 所以它是基本的
[00:05:09,500 -> 00:05:11,600] 肯定是這個是非常非常非常重要
[00:05:11,600 -> 00:05:14,300] 那我覺得今天聊的這兩點都很有意思
[00:05:14,300 -> 00:05:17,199] 一個是把我們打開眼睛看了這麼多寶石
[00:05:17,199 -> 00:05:19,399] 稍稍說了一下寶石的價值的
[00:05:19,399 -> 00:05:20,300] 這個真是
[00:05:20,300 -> 00:05:22,000] 就是它的本質是什麼
[00:05:22,000 -> 00:05:24,100] 給我們介紹了一些這個銷售快速
[00:05:24,100 -> 00:05:29,000] 最後你如果扮演一個無良銷售人員
[00:05:29,000 -> 00:05:32,000] 想把這塊寶石高價格賣給我
[00:05:32,000 -> 00:05:33,000] 你會怎麼賣
[00:05:33,000 -> 00:05:35,000] 這個可以表演嗎
[00:05:35,000 -> 00:05:36,000] 不知道該怎麼
[00:05:36,000 -> 00:05:37,000] 我沒幹過這個事
[00:05:37,000 -> 00:05:42,000] 就是首先能會在歷史上做點文章
[00:05:42,000 -> 00:05:44,000] 亂七八糟的鑒定證書
[00:05:44,000 -> 00:05:45,519] 它是什麼清代有歷史上做點文章亂七八糟的鑑定證書它是什麼清代
[00:05:45,519 -> 00:05:47,519] 是是是有歷史的有故事的
[00:05:47,519 -> 00:05:49,519] 清代鑽石
[00:05:49,519 -> 00:05:51,519] 慈禧太后使用過
[00:05:51,519 -> 00:05:53,519] 慈禧太后當時摸過
[00:05:53,519 -> 00:05:55,519] 這個方面很多
[00:05:55,519 -> 00:05:57,519] 價值很多它可以從十塊
[00:05:57,519 -> 00:05:59,519] 可以一下變到一千塊就在這個歷史上
[00:05:59,519 -> 00:06:01,519] 第二個很重要就是
[00:06:01,519 -> 00:06:03,519] 紅寶石是婚姻原石
[00:06:03,519 -> 00:06:06,000] 開了光之後
[00:06:06,000 -> 00:06:10,000] 可以改變你的婚姻狀態
[00:06:10,000 -> 00:06:12,000] 你看你現在已經
[00:06:12,000 -> 00:06:14,000] 我都能看到你頭上已經冒發色了
[00:06:14,000 -> 00:06:16,000] 已經冒黑了你印堂發黑
[00:06:16,000 -> 00:06:18,000] 有一個客人哇他怎樣怎樣
[00:06:18,000 -> 00:06:20,000] 就是我聽說的
[00:06:20,000 -> 00:06:22,000] 水晶很多都是這個
[00:06:22,000 -> 00:06:24,000] 但是我不知道那個是真是假的
[00:06:24,000 -> 00:06:25,319] 水晶很多大家不是說我不知道那個是真是假的就是水晶很多大家不是說
[00:06:25,319 -> 00:06:26,040] 是有這個什麼的
[00:06:26,040 -> 00:06:27,160] 能量
[00:06:27,160 -> 00:06:29,720] 它珠寶其實本身它都有能量
[00:06:29,720 -> 00:06:30,839] 包括水晶有的
[00:06:30,839 -> 00:06:31,600] 它有
[00:06:31,600 -> 00:06:33,199] 但是我個人建議是
[00:06:33,199 -> 00:06:34,639] 不要把它無限放大
[00:06:34,639 -> 00:06:36,160] 石頭的價值是石頭的價值
[00:06:36,160 -> 00:06:36,800] 能量是能量
[00:06:36,800 -> 00:06:38,199] 能量你感受到的當然很好
[00:06:38,199 -> 00:06:39,480] 對我很喜歡它
[00:06:39,480 -> 00:06:41,519] 它其實會讓我們心情很好的
[00:06:41,519 -> 00:06:42,959] 你看我拿來拿去就拿這一顆
[00:06:42,959 -> 00:06:44,920] 我個人特別喜歡這一顆
[00:06:44,920 -> 00:06:47,199] 我這幾年再買再挑不到它的話
[00:06:47,199 -> 00:06:49,360] 我可能我自己都考慮我就不賣了
[00:06:49,360 -> 00:06:51,240] 因為我每天看到它都會很開心
[00:06:51,240 -> 00:06:53,120] 但你要想從這個角度
[00:06:53,120 -> 00:06:55,319] 哇你就看到一個你很喜歡的東西
[00:06:55,319 -> 00:06:58,120] 它首先會讓你很會很喜悅啊
[00:06:58,120 -> 00:06:59,399] 竹母綠
[00:06:59,399 -> 00:07:01,040] 我每次一帶出去的時候
[00:07:01,040 -> 00:07:01,879] 人家會說
[00:07:01,879 -> 00:07:03,160] 哇這個好好看哦
[00:07:03,160 -> 00:07:04,959] 哇因為中國人對綠色是
[00:07:04,959 -> 00:07:06,199] 對對翡翠這些的翡翠这些东西
[00:07:06,199 -> 00:07:07,079] 翡翠就是绿色的嘛
[00:07:07,079 -> 00:07:08,160] 就很贵气的感觉
[00:07:08,160 -> 00:07:10,040] 其实吉障满足我的虚荣心
[00:07:10,040 -> 00:07:10,920] 这是实话
[00:07:10,920 -> 00:07:11,319] 我觉得
[00:07:11,319 -> 00:07:13,360] 嗯我好像真的是个小红王了
[00:07:13,360 -> 00:07:15,160] 那其实他带给我的这种东西
[00:07:15,160 -> 00:07:17,000] 我觉得很正能量啊
[00:07:17,000 -> 00:07:18,040] 让我们开心点
[00:07:18,040 -> 00:07:18,839] 让我们漂亮点
[00:07:18,839 -> 00:07:20,360] 我觉得是绝对没有错的嘛
[00:07:20,360 -> 00:07:22,680] 然后第三个这个就是想方设法
[00:07:22,680 -> 00:07:23,879] 卖高价怎么卖
[00:07:24,480 -> 00:07:28,839] 那一个溢价就是能让我更愿意掏钱
[00:07:28,839 -> 00:07:30,120] 价格是正常的价格
[00:07:30,120 -> 00:07:33,600] 但是你会极大的增加我掏钱的意愿
[00:07:33,600 -> 00:07:34,920] 就是我本来可能看看
[00:07:34,920 -> 00:07:35,639] 然后
[00:07:35,639 -> 00:07:38,439] 我们天天教大家要做A做A
[00:07:38,439 -> 00:07:40,399] 你现在让我们做B这类人
[00:07:40,399 -> 00:07:41,800] 我都教不出来了
[00:07:41,800 -> 00:07:43,839] 比方说第一个
[00:07:44,360 -> 00:07:47,079] 可能我的身份上我再去拔高一点
[00:07:47,079 -> 00:07:49,360] 可能我的气场要更强一点
[00:07:49,360 -> 00:07:53,040] 我下个星期就要去送展了送剪了
[00:07:53,040 -> 00:07:55,439] 你不买的话可能这个就没有了
[00:07:55,439 -> 00:07:57,360] 打个比方就是这种像结合营销
[00:07:57,360 -> 00:07:58,360] 这其实都常规的了
[00:07:58,360 -> 00:08:00,199] 大部分可能也是打这种组合牌的
[00:08:00,199 -> 00:08:01,959] 其实在一个普通珠宝店里
[00:08:01,959 -> 00:08:02,839] 一个普通店员
[00:08:02,839 -> 00:08:04,759] 他就非常一争
[00:08:04,759 -> 00:08:06,240] 就是他一个普通紅寶石嘛
[00:08:06,240 -> 00:08:07,279] 我說這是什麼證書啊
[00:08:07,279 -> 00:08:08,480] 他說是國標證書
[00:08:08,480 -> 00:08:11,279] 我說哦不是那個我聽說過的其他證書
[00:08:11,279 -> 00:08:13,560] 他說國標證書是最厲害的
[00:08:13,560 -> 00:08:16,000] 就是別的證書這個鑑定不出來的
[00:08:16,000 -> 00:08:18,800] 他就是給給郭雪紅國標都不給郭雪紅
[00:08:18,800 -> 00:08:20,480] 我覺得哇厲害厲害
[00:08:20,480 -> 00:08:22,240] 就是可以一本正經的證書
[00:08:22,240 -> 00:08:24,600] 反正你換兩家再問一問
[00:08:24,600 -> 00:08:28,040] 因為每一家品牌它的銷售的渠道方式都不同
[00:08:28,040 -> 00:08:30,519] 它其实一定会配合它自己现有的产品
[00:08:30,519 -> 00:08:32,080] 然后去把它的优势最大化
[00:08:32,080 -> 00:08:32,440] 对
[00:08:32,440 -> 00:08:33,600] 那他跟你说这个话
[00:08:33,600 -> 00:08:35,759] 一定是他的所有产品是配国标的
[00:08:35,759 -> 00:08:36,840] 那你又换一家
[00:08:36,840 -> 00:08:38,480] 他的所有产品配的是国际的
[00:08:38,480 -> 00:08:40,720] 那他可能又会告诉你国际优点和缺点
[00:08:40,720 -> 00:08:42,919] 其实这两个你说哪个真的很差吗
[00:08:42,919 -> 00:08:43,440] 没有
[00:08:43,440 -> 00:08:44,279] 嗯
[00:08:44,279 -> 00:08:46,840] 都没有说特别好特别差優點和缺點其實這兩個你說哪個真的很差嗎沒有嗯嗯嗯嗯都沒有說特別好特別差
[00:08:46,840 -> 00:08:50,200] 希望我們今天聊了這些不會讓大家不敢買了
[00:08:50,200 -> 00:08:53,039] 我覺得買到自己喜歡的還是最重要
[00:08:53,039 -> 00:08:54,320] 就是你認知之內的錢
[00:08:54,320 -> 00:08:55,360] 第一個你喜歡什麼
[00:08:55,360 -> 00:08:57,279] 第二個是你有一個合理的預算
[00:08:57,279 -> 00:08:58,759] 這個好超級關鍵的
[00:08:58,759 -> 00:09:00,480] 像你們男生買東西可能比較理性
[00:09:00,480 -> 00:09:02,559] 女生買東西就是我揣的兩萬塊錢
[00:09:02,559 -> 00:09:04,679] 哇說到說到運動官的我花了5萬出去的
[00:09:04,679 -> 00:09:06,240] 回頭看天� 買貴了
[00:09:06,240 -> 00:09:07,679] 其實不一定那個東西貴
[00:09:07,679 -> 00:09:08,879] 可能只是超了他預算
[00:09:08,879 -> 00:09:10,159] 我的預算就兩萬塊
[00:09:10,159 -> 00:09:13,919] 那這個時候除非真的超級讓我覺得
[00:09:13,919 -> 00:09:15,679] 超出我的漂亮
[00:09:15,679 -> 00:09:17,120] 我只選擇在我預算內
[00:09:17,120 -> 00:09:17,840] 預算很重要
[00:09:17,840 -> 00:09:19,919] 預算管理買所有東西都是這樣的
[00:09:19,919 -> 00:09:20,320] 是吧
[00:09:20,320 -> 00:09:21,720] 你對紅寶石和藍寶
[00:09:21,720 -> 00:09:24,440] 就是你對財寶這個市場的走勢怎麼看
[00:09:24,440 -> 00:09:26,399] 就是因為你剛跟我說
[00:09:26,399 -> 00:09:27,799] 就是也許可以做投資
[00:09:27,799 -> 00:09:29,899] 因為我可以找你把它賣了
[00:09:29,899 -> 00:09:33,399] 但普通人應該是不太能就買了以後
[00:09:33,399 -> 00:09:34,100] 他能收藏
[00:09:34,100 -> 00:09:36,600] 但是想賣掉不太容易吧
[00:09:36,600 -> 00:09:39,399] 不會 首先有個很關鍵的點是
[00:09:39,399 -> 00:09:41,299] 你如果有投資和收藏的想法的話
[00:09:41,299 -> 00:09:43,100] 一定要買好貨
[00:09:43,100 -> 00:09:44,700] 你一堆收藏的鞋子
[00:09:44,700 -> 00:09:45,440] 如果你要變現的
[00:09:45,440 -> 00:09:46,759] 你會先拿哪些出來賣
[00:09:46,759 -> 00:09:47,919] 哪些能賣掉
[00:09:47,919 -> 00:09:49,120] 都不要說先拿哪些了
[00:09:49,120 -> 00:09:49,919] 你先拿哪些
[00:09:49,919 -> 00:09:51,039] 都是你的心頭好
[00:09:51,039 -> 00:09:52,320] 你會先拿哪些
[00:09:52,600 -> 00:09:53,840] 就看我如果很缺錢
[00:09:53,840 -> 00:09:54,919] 我會拿最貴的那個
[00:09:54,919 -> 00:09:56,000] 如果我不缺錢的話
[00:09:56,000 -> 00:09:58,159] 我會拿那個最我不想要的那個
[00:09:58,159 -> 00:10:00,919] 首先會拿
[00:10:01,200 -> 00:10:03,000] 你可能不是那麼喜歡的
[00:10:03,000 -> 00:10:04,840] 在他的漲幅沒有那麼高
[00:10:04,840 -> 00:10:06,200] 或者往下是走的時候
[00:10:06,480 -> 00:10:09,600] 先掉價或者先不漲的肯定是比較差的貨
[00:10:09,600 -> 00:10:12,399] 對所以買東西首先就是稀缺
[00:10:12,399 -> 00:10:13,679] 缺反而更保值
[00:10:13,679 -> 00:10:15,600] 預算高你就買又大又好
[00:10:15,600 -> 00:10:18,080] 預算低你就買又小又好
[00:10:18,080 -> 00:10:19,679] 小而美的精品
[00:10:19,679 -> 00:10:21,480] 這個是小而美和大而差
[00:10:21,480 -> 00:10:23,480] 如果讓我選我會選小而美
[00:10:23,480 -> 00:10:26,139] 如果你要考慮那個未來的這個當然是大而美和大而差如果讓我選 我會選小而美如果你要考慮未來的
[00:10:26,139 -> 00:10:29,460] 當然是大而美是最好的
[00:10:29,460 -> 00:10:32,059] 大而美 因為它的溢價會更高
[00:10:32,059 -> 00:10:33,860] 你做財寶做很多年了
[00:10:33,860 -> 00:10:36,659] 就是財寶這個產量
[00:10:36,659 -> 00:10:38,659] 包括它的稀缺程度
[00:10:38,659 -> 00:10:39,940] 人造的難度
[00:10:39,940 -> 00:10:43,139] 它和其他的寶石比起來是個什麼樣子呢
[00:10:43,139 -> 00:10:45,919] 就是聽說這個比鑽石還要稀缺
[00:10:45,919 -> 00:10:47,039] 事實就是這樣的
[00:10:47,039 -> 00:10:48,960] 那你肯定也你有做功課
[00:10:48,960 -> 00:10:52,159] 你肯定知道就是全全球公認的貴寶
[00:10:52,159 -> 00:10:53,919] 叫貴重寶石就是五類嘛
[00:10:53,919 -> 00:10:55,279] 鑽石是智王
[00:10:55,279 -> 00:10:56,519] 然後就是紅寶石藍寶石
[00:10:56,519 -> 00:10:58,720] 棕木綠金綠貓眼金綠寶石
[00:10:58,720 -> 00:11:00,399] 你看你有聽過金綠寶石嗎
[00:11:00,399 -> 00:11:00,960] 沒有
[00:11:00,960 -> 00:11:02,720] 目前國內還沒開始的
[00:11:02,720 -> 00:11:04,639] 哦金綠寶石
[00:11:04,639 -> 00:11:06,580] 對啊金綠貓石國內可能還沒開始
[00:11:06,580 -> 00:11:08,179] 不知道就沒人買
[00:11:08,179 -> 00:11:09,580] 如果我買很多回來
[00:11:09,580 -> 00:11:11,379] 我的資金壓力會非常大
[00:11:11,379 -> 00:11:12,580] 對沒有市場認知
[00:11:12,580 -> 00:11:13,179] 對
[00:11:13,179 -> 00:11:14,879] 但是你剛說鑽石是黃
[00:11:14,879 -> 00:11:17,379] 那紅藍綠好像又比鑽石要稀缺
[00:11:17,379 -> 00:11:19,679] 也是因為它稀缺產量少
[00:11:19,679 -> 00:11:23,179] 就是很難很成規模的進市場
[00:11:23,179 -> 00:11:24,779] 但是反而是有這個優點
[00:11:24,779 -> 00:11:26,159] 它能夠規模的進市場超進度更有這個優點它能夠規模的進市場
[00:11:26,159 -> 00:11:27,279] 信心度更高
[00:11:27,279 -> 00:11:27,840] 嗯
[00:11:27,840 -> 00:11:28,480] 打個比方
[00:11:28,480 -> 00:11:30,000] 你今天選要一個一克拉的
[00:11:30,000 -> 00:11:32,000] H色的VS的
[00:11:32,000 -> 00:11:34,279] 嗯這顆我覺得很喜歡
[00:11:34,279 -> 00:11:34,960] 買了是戒指
[00:11:34,960 -> 00:11:36,320] 我現在想改來做耳釘了
[00:11:36,320 -> 00:11:39,279] 我想再找一顆跟他那個參數一樣的
[00:11:39,279 -> 00:11:40,080] 可以找得到
[00:11:40,080 -> 00:11:40,440] 對
[00:11:40,440 -> 00:11:41,080] 但是這
[00:11:41,080 -> 00:11:41,840] 規則
[00:11:41,840 -> 00:11:43,360] 對於整個行業來說
[00:11:43,360 -> 00:11:45,000] 他就有個很大的考虑
[00:11:45,000 -> 00:11:47,320] 这颗我摆在我的店面里面
[00:11:47,320 -> 00:11:51,519] 老百姓对财宝的认知是远远低于钻石的
[00:11:51,519 -> 00:11:53,000] 那我可能花很大心思
[00:11:53,000 -> 00:11:54,480] 确实是个很好的东西
[00:11:54,480 -> 00:11:55,799] 我把它卖出去了
[00:11:55,799 -> 00:11:58,440] 或者下一个你再想要找个配对的时候
[00:11:58,440 -> 00:12:00,039] 其实我根本找不到了
[00:12:00,039 -> 00:12:02,440] 就珠宝的整个行业来说
[00:12:02,440 -> 00:12:05,679] 它的其实销售成本就无形当中比钻石要高
[00:12:05,679 -> 00:12:07,679] 对 就大家更愿意做钻石的生意
[00:12:07,679 -> 00:12:09,600] 很多人我已经买有钻石了
[00:12:09,600 -> 00:12:10,679] 那对于我们女性来说
[00:12:10,679 -> 00:12:13,679] 我们女性对珠宝的喜好就跟包包一样的
[00:12:13,879 -> 00:12:16,360] 我是不能说我一辈子就这一个包的
[00:12:16,360 -> 00:12:17,879] 我可能明年我的收入好了
[00:12:17,879 -> 00:12:19,399] 我又再想买一个包
[00:12:19,399 -> 00:12:20,799] 那珠宝是一个意思的
[00:12:20,799 -> 00:12:24,320] 我已经买了一颗一克拉的钻石戒指
[00:12:24,320 -> 00:12:26,559] 那我可能过了三年五年
[00:12:26,559 -> 00:12:27,559] 我的收入要高了
[00:12:27,559 -> 00:12:30,000] 可能在社會地位上又有一點變化了
[00:12:30,000 -> 00:12:33,519] 那這個時候你可能再把其他的卡換成三卡
[00:12:33,519 -> 00:12:34,559] 三卡換成五卡
[00:12:34,559 -> 00:12:36,440] 那五卡我一套都配齊了之後
[00:12:36,440 -> 00:12:37,919] 可能我今年也接近50了
[00:12:37,919 -> 00:12:40,519] 我可能要帶點綠色的翡翠啊
