[00:00:00,000 -> 00:00:02,540] hello大家好 欢迎回到克里斯本·贝利镇
[00:03:41,520 -> 00:03:43,759] 流感的死亡率其实是比Omicron要高
[00:03:43,759 -> 00:03:45,280] 那在這種情況下
[00:03:45,280 -> 00:03:49,039] 我們也去有事實的各種各樣的開放經驗做所證
[00:03:49,039 -> 00:03:50,240] 就是它並沒有產生
[00:03:50,240 -> 00:03:52,639] 而且也不會產生醫療資源擠兌
[00:03:52,639 -> 00:03:56,960] 在中國我們也有人算過這個ICU的情況
[00:03:56,960 -> 00:03:59,919] 就是幾乎只會在1%到2%的城市
[00:03:59,919 -> 00:04:03,039] 有那麼一丟丟的可能會產生這個ICU的擠兌
[00:04:03,039 -> 00:04:04,560] 但是你他媽的就是
[00:04:04,560 -> 00:04:06,639] 把這麼多錢花在了健方舱上
[00:04:06,639 -> 00:04:09,360] 你早就可以建立相应的这个医疗资源
[00:04:09,360 -> 00:04:12,000] 然后去解决这个医疗资源的问题了
[00:04:12,000 -> 00:04:15,840] 所以说但是防疫造成了各种各样的问题是什么呢
[00:04:15,840 -> 00:04:18,240] 就是你看病难 你看病需要绿码
[00:04:18,240 -> 00:04:20,560] 你会把医院隔离 你会把医院关掉
[00:04:20,560 -> 00:04:22,000] 你会把医生隔离在家
[00:04:22,000 -> 00:04:25,759] 然后你让这个看病的流程非常非常增加了很多friction
[00:04:25,759 -> 00:04:27,759] 你想去异地就诊啊
[00:04:27,759 -> 00:04:30,079] 或者说甚至你想去做手术都很难约
[00:04:30,079 -> 00:04:36,240] 手术率 手术量应该是就是有的数据统计是少了50%
[00:04:36,240 -> 00:04:39,040] 有的数据统计就是20年比之前少了20%
[00:04:39,040 -> 00:04:41,439] 21年比20年少了20%
[00:04:41,439 -> 00:04:42,639] 22年就更少
[00:04:42,639 -> 00:04:45,759] 这些东西就是因为我们得不到很多相应的数据
[00:04:45,759 -> 00:04:50,240] 但是我们看任何的体感就是看病难了很多
[00:04:50,240 -> 00:04:55,040] 在这个过程中其他的各种各样的疾病得不到及时救治
[00:04:55,040 -> 00:04:58,959] 它造成的这个后果是几十倍几百倍
[00:04:58,959 -> 00:05:00,160] 我不能说具体的数字
[00:05:00,160 -> 00:05:01,199] 因为我没有具体的数字
[00:05:01,199 -> 00:05:02,399] 我也看不到具体的数字
[00:05:02,399 -> 00:05:04,319] 但是从一个简单的体感来说
[00:05:04,319 -> 00:05:05,839] 就是它是几十倍几百倍
[00:05:05,839 -> 00:05:08,480] Omicron可能带来的任何超额死亡的
[00:05:08,480 -> 00:05:11,439] 就更不用说这里边的另外的伤害
[00:05:11,439 -> 00:05:14,160] 就是你隔离和这个各种各样的管控
[00:05:14,160 -> 00:05:15,279] 给人们带来的抑郁
[00:05:15,279 -> 00:05:16,959] 这其实是一个非常非常大的问题
[00:05:16,959 -> 00:05:20,399] 就是抑郁症其实是一个很严重很严重的疾病
[00:05:20,399 -> 00:05:22,720] 这个就因为你更就更没法
[00:05:22,720 -> 00:05:24,240] 就更不是那种
[00:05:24,240 -> 00:05:26,480] 就更稍稍可以被argue一點
[00:05:26,480 -> 00:05:27,680] 那就不用拿出來說了
[00:05:27,680 -> 00:05:31,279] 以及經濟問題造成了人民的生理健康問題
[00:05:31,279 -> 00:05:33,920] 因為我們知道人的健康其實和這個收入
[00:05:33,920 -> 00:05:37,279] 和他的經濟健康是息息相關的
[00:05:37,279 -> 00:05:41,040] 你這麼多人因為防疫而破產而找不到工作
[00:05:41,040 -> 00:05:44,879] 就是你去身邊你去問一個滴滴司機他的收入
[00:05:44,879 -> 00:05:47,759] 他很多時候他每天早上起来就要欠很多钱
[00:05:47,759 -> 00:05:49,839] 就是出的是公司也好
[00:05:49,839 -> 00:05:51,120] 或者说个体户老板
[00:05:51,120 -> 00:05:52,160] 他就要欠很多钱
[00:05:52,160 -> 00:05:54,720] 就是他跑一天他最后还是欠钱
[00:05:54,720 -> 00:05:58,240] 因为他的这个revenue已经下降到这么多了
[00:05:58,240 -> 00:06:02,959] 我第一个文章就是疫情下的这个餐馆的
[00:06:02,959 -> 00:06:04,879] 收入的结构分析
[00:06:04,879 -> 00:06:08,639] 就是疫情期间餐馆为什么會賠很多錢的這樣一個分析
[00:06:08,639 -> 00:06:12,000] 大家也可以看相同的邏輯是可以
[00:06:12,000 -> 00:06:14,560] apply到很多個體戶老闆的
[00:06:14,560 -> 00:06:16,240] 就是他們還要交房租
[00:06:16,240 -> 00:06:18,480] 他們還要人工很多這個fixed cost
[00:06:18,480 -> 00:06:20,480] 沒有這個revenue是沒有辦法cover的
[00:06:20,480 -> 00:06:21,920] 然後就只能破產
[00:06:21,920 -> 00:06:26,000] 然後他們是這些人承受了各种各样的防疫后果
[00:06:26,000 -> 00:06:28,000] 不是国家 国家当然了
[00:06:28,000 -> 00:06:30,000] 但是国家的钱也是来自于人民
[00:06:30,000 -> 00:06:34,000] 对吧 就是他其实那些官员们是没有承受这个防疫后果的
[00:06:34,000 -> 00:06:38,000] 是真正的这些底层民众们在承受这些防疫后果
[00:06:38,000 -> 00:06:41,000] 那这些人造成了危害就不用说了
[00:06:41,000 -> 00:06:43,000] 好 这是健康问题吧
[00:06:43,000 -> 00:06:44,000] 就说到这儿为止吧
[00:06:44,000 -> 00:06:45,120] 我不能再说下去了就是你防疫造成的各害就不用說了好 這是健康問題吧就說到這兒為止吧我不能再說下去了
[00:06:45,120 -> 00:06:47,920] 就是你防疫造成的各種各樣的問題
[00:06:47,920 -> 00:06:50,160] 其實是幾百倍於
[00:06:50,160 -> 00:06:53,279] 這個疫情可能帶來的健康問題的
[00:06:53,279 -> 00:06:55,839] 簡單來說就是疫情
[00:06:55,839 -> 00:06:57,600] 防疫所造成的醫療
[00:06:57,600 -> 00:07:00,240] 事實上的醫療資源擠兌
[00:07:00,240 -> 00:07:03,199] 遠遠超過疫情可能帶來的醫療資源擠兌
[00:07:03,199 -> 00:07:05,500] 而且我們為了這個疫情為了防疫醫療資源而且我們為了這個疫情
[00:07:05,500 -> 00:07:08,699] 為了防疫而去把資源放在這些東西
[00:07:08,699 -> 00:07:11,000] 明明就是可以用來增加我們的醫療資源的
[00:07:11,000 -> 00:07:14,339] 結果卻被用來防那些無症狀
[00:07:14,339 -> 00:07:16,000] 是吧 用來轉運次密接
[00:07:16,000 -> 00:07:17,660] 這些東西這種浪費
[00:07:17,660 -> 00:07:19,720] 浪費的全都是醫療資源
[00:07:19,720 -> 00:07:22,519] 可以用來真正對抗疫情的醫療資源
[00:07:22,519 -> 00:07:24,839] 說到醫療資源再說一個
[00:07:24,839 -> 00:07:28,480] 我有朋友也是那個BioNTech的中國代表
[00:07:28,480 -> 00:07:31,519] 就是最有效的疫苗是吧
[00:07:31,519 -> 00:07:34,000] mRNA早就已經成熟了
[00:07:34,000 -> 00:07:35,519] 早就已經想進中國了
[00:07:35,519 -> 00:07:36,800] 但是中國不給批
[00:07:36,800 -> 00:07:38,720] 這又是一堆政治原因去考慮
[00:07:38,720 -> 00:07:40,480] 大於這個健康原因
[00:07:40,480 -> 00:07:41,920] 總之就是不給批
[00:07:41,920 -> 00:07:43,040] 對吧 然後你也
[00:07:43,040 -> 00:07:45,439] 總之就是不給批那你然後你也這個總之就是不給批
[00:07:45,439 -> 00:07:47,920] 那你自己號稱如果是在防疫的話
[00:07:47,920 -> 00:07:51,199] 那這個你不批疫苗的原因是什麼呢
[00:07:51,199 -> 00:07:55,360] 就是完全沒有把健康放在一個claim的那種高度上
[00:07:55,360 -> 00:07:58,399] 那說到這的話就再多說一下
[00:07:58,399 -> 00:08:00,879] 我們2022年被浪費的這些東西吧
[00:08:00,879 -> 00:08:02,800] 就是另外也是一個不來看外的東西
[00:08:02,800 -> 00:08:04,480] 就是好 大家是覺得
[00:08:04,480 -> 00:08:08,160] 大家都說保護生命健康是最重要的
[00:08:08,160 -> 00:08:10,000] 那你2022年的时候应该干什么
[00:08:10,000 -> 00:08:13,519] 你2022年的时候应该想方设法的扩大疫苗接种率
[00:08:13,519 -> 00:08:16,959] 如果就是应该就是你科兴疫苗
[00:08:16,959 -> 00:08:18,079] 如果真的是可以的话
[00:08:18,079 -> 00:08:20,639] 那我可以仔细审视这里边到底有什么问题
[00:08:21,120 -> 00:08:24,240] 然后去给它足够的科学的实验
[00:08:24,240 -> 00:08:28,000] 然后应该去尽可能多的开放这个mRNA的疫苗
[00:08:28,000 -> 00:08:30,000] 然后提高大家的疫苗普及率
[00:08:30,000 -> 00:08:32,000] 提高你的医疗资源
[00:08:32,000 -> 00:08:34,000] 然后为这个可能到来的开放做准备
[00:08:34,000 -> 00:08:36,000] 但是22年被浪费了
[00:08:36,000 -> 00:08:38,000] 所有的资源被用来管控人民
[00:08:38,000 -> 00:08:40,000] 然后去转移私民街
[00:08:40,000 -> 00:08:42,000] 然后各种封城
[00:08:42,000 -> 00:08:46,080] 你并没有把这个精力去放在如何開放這件事情上
[00:08:46,080 -> 00:08:47,440] 那最後導致的是什麼呢
[00:08:47,440 -> 00:08:49,279] 導致你二三年在開放的時候
[00:08:49,279 -> 00:08:50,960] 所有人仍然要得一次病
[00:08:50,960 -> 00:08:52,720] 就是所有人仍然要
[00:08:52,720 -> 00:08:54,320] 而且很多老人仍然是要在
[00:08:54,320 -> 00:08:56,799] 沒有疫苗保護的情況下去得一次病
[00:08:56,799 -> 00:08:58,320] 我不是說就是開放了
[00:08:58,320 -> 00:08:59,440] 大家就無所謂了
[00:08:59,440 -> 00:09:01,519] 我自己得了一次COVID對吧
[00:09:01,519 -> 00:09:04,559] 我知道它在我身上的症狀不明顯
[00:09:04,559 -> 00:09:07,039] 但是在老年人那裡仍然可能是有症狀的
[00:09:07,039 -> 00:09:09,039] 他雖然是一個小號流感
[00:09:09,039 -> 00:09:11,679] 但是流感這個東西也是一個很大的疾病
[00:09:11,679 -> 00:09:16,720] 就是我仍然覺得我們應該對危險人群有足夠的保護
[00:09:16,720 -> 00:09:19,519] 我不是說就是我覺得就是一下子放開
[00:09:19,519 -> 00:09:20,559] 然後大家全都不戴口罩
[00:09:20,559 -> 00:09:22,879] 然後就讓所有人得一病就無所謂了
[00:09:22,879 -> 00:09:25,759] 沒關係 我覺得仍然是從保護生命健康的情況下
[00:09:25,759 -> 00:09:30,240] 是需要去想好這件事情
[00:09:30,240 -> 00:09:31,200] 做好這件事情
[00:09:31,200 -> 00:09:33,120] 然後保護那些該保護的人群的
[00:09:33,120 -> 00:09:34,320] 情況下去開放的
[00:09:34,320 -> 00:09:36,639] 但是這些事情沒有人在做
[00:09:36,639 -> 00:09:38,879] 而是把寶貴的資源
[00:09:38,879 -> 00:09:40,000] 沒有去做這件事情
[00:09:40,000 -> 00:09:41,120] 去做其他的資源
[00:09:41,120 -> 00:09:42,720] 反而讓這個開放變得更難
[00:09:42,720 -> 00:09:43,679] 和更沒有保護
[00:09:43,679 -> 00:09:46,960] 然後不管他什麼时候会开放
[00:09:46,960 -> 00:09:48,559] 肯定是不可能封下去的
[00:09:48,559 -> 00:09:49,600] 你什么时候会开放
[00:09:49,600 -> 00:09:51,759] 你开放的时候所有人还要得一遍遍
[00:09:51,759 -> 00:09:54,080] 到底这个里边这些时间
[00:09:54,080 -> 00:09:56,960] 凭什么大家受这么多苦
[00:09:56,960 -> 00:10:01,360] 然后最后还是要去没有得到任何的该有的结果
[00:10:01,360 -> 00:10:04,960] 你自己号称什么争取了时间什么的
[00:10:04,960 -> 00:10:05,279] 这我看来都是屁话你没有在干这件事情你干的都是这件事情任何的该有的结果呢就是你自己号称什么争取了时间啊什么的
[00:10:05,279 -> 00:10:06,159] 这我看来都是屁话
[00:10:06,159 -> 00:10:08,480] 就是你没有在干这件事情
[00:10:08,480 -> 00:10:09,440] 你干的都是这件事情
[00:10:09,440 -> 00:10:10,720] 如果真的想干这个
[00:10:10,720 -> 00:10:12,240] 保护大家的这件事情的话
[00:10:12,240 -> 00:10:13,360] 你有无数的事情可以做
[00:10:13,360 -> 00:10:14,480] 我没有看到他们在做
[00:10:14,480 -> 00:10:16,559] 好了这是另外一个Black and White的事情
[00:10:16,559 -> 00:10:18,720] 第三个Black and White的事情就是
[00:10:18,720 -> 00:10:21,440] 他把这个人民的权利
[00:10:21,440 -> 00:10:26,000] 给无限制的的侵犯了
[00:10:26,000 -> 00:10:28,320] 但是侵犯的又没有任何的法律依据
[00:10:28,320 -> 00:10:30,960] 就是之前我们对国内的法治
[00:10:30,960 -> 00:10:32,320] 还有一点点的信心
[00:10:32,320 -> 00:10:34,000] 就是如果说我们发生了什么事情
[00:10:34,000 -> 00:10:35,200] 我们可以诉诸于法律
[00:10:35,200 -> 00:10:36,960] 我们的基本权益得到侵害
[00:10:36,960 -> 00:10:38,159] 我们可以诉诸于法律
[00:10:38,159 -> 00:10:39,440] 有法律来保护我们
[00:10:39,440 -> 00:10:40,960] 现在完全没有这个信心了
[00:10:40,960 -> 00:10:43,360] 我随时想要限制你的人身自由
[00:10:43,360 -> 00:10:45,279] 只要不需要任何的人去說
[00:10:45,279 -> 00:10:47,679] 就我小區的保安我覺得都可以做這件事情
[00:10:47,679 -> 00:10:50,000] 那社區的網格員更可以做這件事情了
[00:10:50,000 -> 00:10:51,840] 隨便有什麽人想要搞我是吧
[00:10:51,840 -> 00:10:54,399] 就是給我壹個黃碼紅碼
[00:10:54,399 -> 00:10:59,200] 然後或者說是就是給我發壹份這個社區的公文
[00:10:59,200 -> 00:11:01,759] 然後我就可以被隔離在家
[00:11:01,759 -> 00:11:03,679] 或者說是去轉運起來了
[00:11:03,679 -> 00:11:07,440] 就是這讓人的安全感降低了很多的情況下
[00:11:07,440 -> 00:11:10,399] 你就完全不知道個人的邊界到底有什麼了
[00:11:10,399 -> 00:11:13,120] 就是在這個裏邊人還有什麼權利
[00:11:13,120 -> 00:11:15,679] 回到我開頭說的那個
[00:11:15,679 -> 00:11:17,279] 就是在之前啊
[00:11:17,279 -> 00:11:19,200] 就是在動態清零
[00:11:19,200 -> 00:11:20,879] 在之前在隔離的情況下
[00:11:20,879 -> 00:11:22,879] 人們讓渡了很多權利
[00:11:22,879 -> 00:11:25,600] 在那之前我們國家為了經濟發展大家為了效率这件事情也让渡了很多权利
[00:11:25,600 -> 00:11:28,600] 你可以随便进我的言 OK 行
[00:11:28,600 -> 00:11:31,279] 但是在这种情况下他们说
[00:11:31,279 -> 00:11:35,799] 我们的社会主义核心价值观是富强是吧
[00:11:35,799 -> 00:11:38,639] 就是我们认可这个政党
[00:11:38,639 -> 00:11:40,879] 它最后是为了经济而服务的
[00:11:40,879 -> 00:11:43,799] 所有的这些东西包括对我们言论的限制
[00:11:43,799 -> 00:11:46,720] 包括对一些法律的漠视包括你对于这个社会主义的我們認可這個政黨它最後是為了經濟而服務的所有的這些東西包括對我們言論的限制
[00:11:46,720 -> 00:11:49,200] 包括對一些這個法律的漠視
[00:11:49,200 -> 00:11:51,919] 包括你所有的媒體沒有採編權
[00:11:51,919 -> 00:11:53,759] 是吧 這個大概是2017年發生的事情
[00:11:53,759 -> 00:11:55,600] 就是中國早就沒有媒體了
[00:11:55,600 -> 00:11:57,200] 中國的媒體是沒有採編權的
[00:11:57,200 -> 00:11:59,039] 中國的媒體只能被宣傳部管
[00:11:59,039 -> 00:12:01,279] 所以說在中國是沒有媒體的
[00:12:01,279 -> 00:12:02,559] 自媒體也不叫媒體
[00:12:02,559 -> 00:12:04,399] 就中國是沒有記者和沒有媒體的
[00:12:04,399 -> 00:12:06,080] 因為官方已經禁止了這件事情
[00:12:06,080 -> 00:12:07,840] 在很早以前就禁止了這件事情
[00:12:07,840 -> 00:12:08,879] 然後你修憲
[00:12:08,879 -> 00:12:11,360] OK所有這些事情你做
[00:12:11,360 -> 00:12:13,360] 大家都覺得OK這是一個means to an end
[00:12:13,360 -> 00:12:15,759] 你這個end讓我們富強是經濟發展
[00:12:15,759 -> 00:12:16,639] 那可以忍
[00:12:16,639 -> 00:12:18,960] 現在大家發現了這個end並不存在
[00:12:18,960 -> 00:12:22,799] 就是你並不是在發展經濟
[00:12:22,799 -> 00:12:24,000] 你是在搞你的政治
[00:12:24,000 -> 00:12:27,679] 那你對人們的這些權利侵犯
[00:12:27,679 -> 00:12:29,080] 又可以肆無忌憚的
[00:12:29,080 -> 00:12:30,919] 然後下放到你的所有基層
[00:12:30,919 -> 00:12:34,320] 那為了一個完全就是
[00:12:34,320 -> 00:12:37,159] 大家都是在一本正經的裝模作樣
[00:12:37,159 -> 00:12:38,559] 對吧 就是你這個防疫
[00:12:38,559 -> 00:12:40,159] 大家都知道這不make sense
[00:12:40,159 -> 00:12:41,519] 這種方式也不make sense
[00:12:41,519 -> 00:12:43,120] 你給我的隔離也不make sense
[00:12:43,120 -> 00:12:46,000] 但是我還要承担这些事情
[00:12:46,000 -> 00:12:47,919] 我还要去同意这件事情
[00:12:47,919 -> 00:12:49,039] 我还要去配合这件事情
[00:12:49,039 -> 00:12:50,240] 还要理解你的这些事情
[00:12:50,240 -> 00:12:53,279] 那就在这个过程中
[00:12:53,279 -> 00:12:58,080] 人活着就完全没有权利了
[00:12:58,080 -> 00:12:59,519] 然后也没有任何安全感了
[00:12:59,519 -> 00:13:01,759] 那怎么受得了呢
[00:13:01,759 -> 00:13:03,679] 好这是另外一件事情
[00:13:03,679 -> 00:13:07,039] 我觉得这是三个非常black and white的错误
[00:13:07,039 -> 00:13:08,960] 那它的错误是来自于哪里
[00:13:08,960 -> 00:13:13,039] 就是错误当然就是来自于顶层
[00:13:13,039 -> 00:13:14,480] 来自于这个体制
[00:13:14,480 -> 00:13:16,399] 而不是任何的基层人员
[00:13:16,399 -> 00:13:18,480] 就基层人员当然是错误的
[00:13:18,480 -> 00:13:21,200] 但是它是这个体制造就了这个基层人员
[00:13:21,200 -> 00:13:22,320] 就很简单
[00:13:22,320 -> 00:13:25,879] 因为这个体制它在要求的
[00:13:25,879 -> 00:13:28,240] 只是那一個數字就是動態清零
[00:13:28,240 -> 00:13:29,799] 我們看的就是我們要把這個
[00:13:29,799 -> 00:13:31,039] 所有的COVID給查出來
[00:13:31,039 -> 00:13:32,080] 我們其他的不管
[00:13:32,080 -> 00:13:35,240] COVID造成的這個各種刺傷傷害
[00:13:35,240 -> 00:13:37,480] 因為防疫而死了多少人
[00:13:37,480 -> 00:13:40,759] 因為防疫而造成多少生命健康問題
[00:13:40,759 -> 00:13:42,399] 因為防疫而受了多少苦
[00:13:42,399 -> 00:13:43,519] 造成多少經濟損失
[00:13:43,519 -> 00:13:44,159] 多少人破產
[00:13:44,159 -> 00:13:44,919] 它通通不看
[00:13:44,919 -> 00:13:47,440] 它只看我要清零這一件事情
[00:13:47,440 -> 00:13:49,600] 而且他要壓實基層責任
[00:13:49,600 -> 00:13:52,000] 我一會兒就是把那個3月份的
[00:13:52,000 -> 00:13:54,320] 他當時的這樣的第一份文件
[00:13:54,320 -> 00:13:56,320] 可以跟大家稍稍詳細解讀一下
[00:13:56,320 -> 00:13:57,919] 就是他在壓實基層責任
[00:13:57,919 -> 00:13:59,200] 他要告訴大家就是說
[00:13:59,200 -> 00:14:00,720] 我只關心你的考核
[00:14:00,720 -> 00:14:03,679] 我對你的考核只關心這件事情
[00:14:03,679 -> 00:14:06,799] 權力是對權力的來源負責的
[00:14:06,799 -> 00:14:08,799] 權力不是天生要為人民
[00:14:08,799 -> 00:14:10,799] 或者正確的事情而負責的
[00:14:10,799 -> 00:14:12,799] 你的這個政權的設置
[00:14:12,799 -> 00:14:14,000] 就是這些人的權力
[00:14:14,000 -> 00:14:15,840] 跟人民沒有半毛錢關係
[00:14:15,840 -> 00:14:18,240] 你的權力只是來自於你的這個體制
[00:14:18,240 -> 00:14:20,240] 然後你這個體制只要求大家
[00:14:20,240 -> 00:14:21,759] 這一個核心KPI
[00:14:21,759 -> 00:14:23,440] 那你就是大家會去做
[00:14:23,440 -> 00:14:25,600] 所有的事情去滿足这个核心的KPI
[00:14:25,600 -> 00:14:27,679] 而且你又不给大家一个正确的方向
[00:14:27,679 -> 00:14:29,600] 你不给大家一个正确的strategy
[00:14:29,600 -> 00:14:31,360] 你只要求一个结果
[00:14:31,360 -> 00:14:34,000] 那大家就是会去干各种各样的事情
[00:14:34,000 -> 00:14:34,960] 就放到公司里
[00:14:34,960 -> 00:14:38,159] 假如你的公司说你只对老板负责
[00:14:38,159 -> 00:14:40,159] 然后老板只看你的这个KPI
[00:14:40,159 -> 00:14:41,679] 只看你的利润率是多高
[00:14:41,679 -> 00:14:43,039] 我不看其他的任何东西
[00:14:43,039 -> 00:14:45,519] 那你就会去做很多伤害消费者的事情去满足你的利润率是多高我不看其他的任何东西那你就会去做很多伤害消费者的事情
[00:14:45,519 -> 00:14:48,320] 去满足你的利润率是吧
[00:14:48,320 -> 00:14:49,360] 在这也是一样的
[00:14:49,360 -> 00:14:50,399] 我觉得就不用多说了
[00:14:50,399 -> 00:14:53,200] 好 接下来我就给大家看一下
[00:14:53,200 -> 00:14:56,320] 我这段时间的各种各样的朋友圈吧
[00:14:56,320 -> 00:15:01,279] 然后去说一下这件事情
[00:15:01,279 -> 00:15:03,039] 我觉得Evolution是什么样子的
