[00:00:00,000 -> 00:00:02,720] 到我们这一代没有什么特别好的行业
[00:02:18,000 -> 00:02:20,000] 十万真实活跃粉丝
[00:02:20,000 -> 00:02:22,000] 年入百万是没有任何问题的
[00:02:22,000 -> 00:02:24,000] 要女生吗
[00:02:24,000 -> 00:02:27,639] 女生 或者这个观众
[00:02:28,000 -> 00:02:29,919] 女生向的男生也可以啊
[00:02:29,919 -> 00:02:30,319] 嗯
[00:02:30,319 -> 00:02:32,639] 呃这个十万粉丝在翔叔
[00:02:32,639 -> 00:02:34,360] 其实并不是说特别难的一个事情
[00:02:34,360 -> 00:02:35,240] 啊很容易
[00:02:35,240 -> 00:02:36,159] 呃不是很容易
[00:02:36,159 -> 00:02:39,919] 但是是很固一个一个月一万五左右的商务
[00:02:40,400 -> 00:02:42,319] 啊让他来帮你接单
[00:02:42,919 -> 00:02:46,000] 帮你这个对接广告商
[00:02:46,000 -> 00:02:51,000] 全部都从这个叫薯条上面来接单
[00:02:51,000 -> 00:02:54,000] 小红书12粉丝的年入百万没有任何问题好好走
[00:02:54,000 -> 00:02:57,000] 这种的我接触太多了其实
[00:02:57,000 -> 00:03:01,000] 那最大的问题是
[00:03:01,000 -> 00:03:04,000] 网红的寿命太短了
[00:03:04,000 -> 00:03:05,520] 你能红几年
[00:03:05,520 -> 00:03:09,240] 这个事情是很难持续的
[00:03:09,240 -> 00:03:11,840] 首先你不知道这个平台能红几年
[00:03:11,840 -> 00:03:13,599] 首先你不知道这个平台能红几年
[00:03:13,599 -> 00:03:14,639] 其次就是
[00:03:14,639 -> 00:03:18,759] 你自己一定会流量枯竭的
[00:03:18,759 -> 00:03:21,039] 但是真正够卷的网红
[00:03:21,039 -> 00:03:26,080] 就是他自己的数据看板只要出现下降
[00:03:26,080 -> 00:03:28,840] 他就要找新的模式演
[00:03:28,840 -> 00:03:29,800] 什么叫模式演呢
[00:03:29,800 -> 00:03:34,400] 网红最科学的最讲数据的一个操作方式呢
[00:03:34,400 -> 00:03:37,120] 就是快速试错试错试错试错
[00:03:37,120 -> 00:03:39,479] 找到最好的一个一个数据
[00:03:39,479 -> 00:03:44,879] 然后把这样一个模式去不停的拍
[00:03:44,879 -> 00:03:46,400] 拍到流量下降的时候马上再试错试错试错再找一个模式去不停的拍拍到流量下降的时候
[00:03:46,400 -> 00:03:48,000] 马上再试错试错试错
[00:03:48,000 -> 00:03:49,120] 再找一个模式
[00:03:49,120 -> 00:03:50,319] 再不停的去拍
[00:03:50,319 -> 00:03:54,240] 我觉得很多网红之所以找MCN公司
[00:03:54,240 -> 00:03:57,039] 就是因为MCN公司会帮他做这一系列的东西
[00:03:57,039 -> 00:03:58,479] 带着他做这一系列的东西
[00:03:58,479 -> 00:04:00,400] 但其实如果你个人想做一个网红
[00:04:00,400 -> 00:04:01,759] 以这样的一个方法论
[00:04:01,759 -> 00:04:02,800] 一定会火的
[00:04:02,800 -> 00:04:04,000] 一定会火起来的
[00:04:04,000 -> 00:04:04,479] 对
[00:04:04,479 -> 00:04:04,960] 对
[00:04:04,960 -> 00:04:06,199] 就是首先你要有
[00:04:06,900 -> 00:04:09,599] 那一点点天赋表达能力等等的
[00:04:09,599 -> 00:04:10,599] 对
[00:04:10,599 -> 00:04:11,800] 镜头感观众感
[00:04:11,800 -> 00:04:13,500] 有了这个以后你的方法论
[00:04:13,500 -> 00:04:15,599] 对我能感觉到和我们
[00:04:15,599 -> 00:04:17,300] 我们接触的网红最多的呢
[00:04:17,300 -> 00:04:18,899] 其实是那些
[00:04:18,899 -> 00:04:20,300] 收入还不错
[00:04:20,300 -> 00:04:21,800] 但是呢
[00:04:21,800 -> 00:04:25,000] 还是希望能够成为创业者
[00:04:25,000 -> 00:04:28,000] 或者能够把这件事情能够长久的做下去的
[00:04:28,000 -> 00:04:31,000] 所以我们会引导他们往知识类的来走
[00:04:31,000 -> 00:04:33,000] 把自己打造成一个产品
[00:04:33,000 -> 00:04:35,000] 把自己打造成一个产品 对
[00:04:37,000 -> 00:04:41,000] OK 这是流量和刚刚的传统行业
[00:04:41,000 -> 00:04:43,000] 其实还是有很多的
[00:04:43,000 -> 00:04:44,000] 可以结合的地方的吧
[00:04:44,000 -> 00:04:46,000] 我其实就是在帮一个朋友问
[00:04:46,000 -> 00:04:47,800] 然后回头给你介绍一下
[00:04:47,800 -> 00:04:49,800] 就是刚说的那个人
[00:04:49,800 -> 00:04:51,800] 他真的很需要这个
