[00:00:00,000 -> 00:00:03,560] 百度百科跟维基百科是研究各国政治的重要的选择
[00:01:08,000 -> 00:01:10,400] 这个爆发过一次大规模的债务危机
[00:01:10,400 -> 00:01:13,200] 当时就美国的信用评级还被下调了
[00:01:14,400 -> 00:01:17,799] 因为共和党现在这个样子
[00:01:17,799 -> 00:01:20,920] 所以美国能够想要平稳地度过这次债务危机
[00:01:20,920 -> 00:01:22,200] 可能有一定难度
[00:01:22,200 -> 00:01:24,400] 也许我们可能会在今年七八月份
[00:01:24,400 -> 00:01:25,560] 面临一次大规模的
[00:01:25,560 -> 00:01:27,680] 这么一个有关债务上限的难关
[00:01:27,680 -> 00:01:29,439] 当然这个东西最后肯定会解决
[00:01:29,439 -> 00:01:31,319] 不可能让美国不继续借债
[00:01:31,319 -> 00:01:35,480] 但是金融市场和全球市场带来的动荡可能会比较大
[00:01:35,480 -> 00:01:36,400] 所以要卖股票
[00:01:38,359 -> 00:01:39,079] 到时候再说吧
[00:01:39,079 -> 00:01:40,159] 这个东西看五六月份
[00:01:41,599 -> 00:01:42,439] 看怎么说
[00:01:42,439 -> 00:01:46,200] 然后美国今年十月份又到预算了
[00:01:46,200 -> 00:01:50,000] 美国的新的财年是在10月份开始
[00:01:50,000 -> 00:01:51,640] 说如果在10月份没有通过预算
[00:01:51,640 -> 00:01:52,680] 政府就要关门
[00:01:52,680 -> 00:01:54,640] 所以由于共和党现在这个态度
[00:01:54,640 -> 00:01:57,159] 我觉得今年政府关门的大概率是
[00:01:57,159 -> 00:01:59,000] 能接近99%的这种概率
[00:01:59,000 -> 00:02:00,400] 当然这个多久
[00:02:00,400 -> 00:02:01,560] 失去时间有多久
[00:02:01,560 -> 00:02:02,760] 多大规模
[00:02:02,760 -> 00:02:03,879] 稍稍给大家解释一下
[00:02:03,879 -> 00:02:06,079] 这个众议院的现在dialogue
[00:02:06,079 -> 00:02:08,000] 就是共和党是多数党
[00:02:08,000 -> 00:02:10,639] 但是他的这个议长在上位的期间
[00:02:10,639 -> 00:02:12,560] 给这个集化的这个
[00:02:12,560 -> 00:02:14,639] 极端抛手派让做出了非常多的让步
[00:02:14,639 -> 00:02:15,360] 很多承诺
[00:02:15,360 -> 00:02:17,199] 但这个承诺是无法实现的
[00:02:17,199 -> 00:02:18,719] 也由于这个共和党在众议院
[00:02:18,719 -> 00:02:20,719] 现在这个席位优势非常非常少
[00:02:20,719 -> 00:02:23,120] 只有这个实际上只有这个近四席
[00:02:23,120 -> 00:02:23,919] 你有九席
[00:02:23,919 -> 00:02:25,000] 但实际上你只有這個四票這個區間
[00:02:25,000 -> 00:02:27,000] 相當於拜登剛上台的時候
[00:02:27,000 -> 00:02:28,000] 對參議院的控制
[00:02:28,000 -> 00:02:30,000] 參議院沒有沒有控制權
[00:02:30,000 -> 00:02:32,000] 就是他跟他跟上一屆國會
[00:02:32,000 -> 00:02:34,000] 這個民主黨控制權是競相
[00:02:34,000 -> 00:02:35,000] 就完全反過來
[00:02:35,000 -> 00:02:36,000] 但是民主黨那個內部
[00:02:36,000 -> 00:02:38,000] 他這個領導人鐵腕治黨
[00:02:38,000 -> 00:02:40,000] 中國人民都比較熟悉的一些人
[00:02:40,000 -> 00:02:45,120] 這個篡訪的人他这个能力不容置疑
[00:02:45,120 -> 00:02:46,479] 对党的控制是很好
[00:02:46,479 -> 00:02:48,240] 但是佩洛西走之后
[00:02:48,240 -> 00:02:50,439] 麦卡锡共和党的领导人
[00:02:50,439 -> 00:02:52,439] 他对党的掌控力非常弱
[00:02:52,439 -> 00:02:54,879] 无法控制尤其是一些极端保守派
[00:02:54,879 -> 00:02:56,319] 因为他们二三十个人抱在一起
[00:02:56,319 -> 00:02:58,479] 肯定就是可以要挟整个众议院
[00:02:59,240 -> 00:03:01,680] 所以未来两年众议院会长期处于这么一个
[00:03:01,680 -> 00:03:02,759] 内怒的状态
[00:03:02,759 -> 00:03:04,719] 然后就会导致7 8月份的债务危机
[00:03:04,719 -> 00:03:06,360] 和10月份的政府關門危機
[00:03:06,360 -> 00:03:08,000] 還有可能奇奇怪怪的其他的危機
[00:03:08,000 -> 00:03:12,280] 比如說像烏克蘭這種援助可能會引發這些危機
[00:03:12,280 -> 00:03:15,159] 共和黨這個可以切掉
[00:03:15,159 -> 00:03:16,000] 沒有關係啊
[00:03:16,000 -> 00:03:19,319] 就可以就是你覺得就是不太就是會出現問題
[00:03:19,319 -> 00:03:20,919] 就共和黨不想做援助
[00:03:20,919 -> 00:03:22,360] 共和黨更想isolation
[00:03:22,360 -> 00:03:24,120] 因為共和黨有些人反對這個事
[00:03:24,120 -> 00:03:26,000] 哦好的這是這個政壇一共產黨更想isolation因為共產黨有些人反對這個事哦 好的
[00:03:26,000 -> 00:03:28,000] 這是這個政壇一
[00:03:28,000 -> 00:03:31,000] 政壇二 拜登將宣布競選連任
[00:03:31,000 -> 00:03:33,000] 這個應該大家已經聽說了
[00:03:33,000 -> 00:03:34,000] 就已經即將日程了
[00:03:34,000 -> 00:03:36,000] 二三月份應該會有一個正式的宣布
[00:03:36,000 -> 00:03:38,000] 這個可能大家也沒什麼奇怪
[00:03:38,000 -> 00:03:40,000] 現任總統不選連任才是奇怪的事情
[00:03:40,000 -> 00:03:43,000] 拜登身體還是挺好的
[00:03:43,000 -> 00:03:46,000] 沒有像有些傳聞中
[00:03:46,000 -> 00:03:47,000] 副總統會換嗎
[00:03:47,000 -> 00:03:48,000] 不會換副總統
[00:03:48,000 -> 00:03:49,000] 好吧
[00:03:49,000 -> 00:03:52,000] 因為換副總統是一種所謂的示弱性
[00:03:52,000 -> 00:03:57,000] 其實也因為大家沒有人真的看副總統是誰
[00:03:57,000 -> 00:03:58,000] 但是他會
[00:03:58,000 -> 00:04:00,000] 對就是你換他就可能會
[00:04:00,000 -> 00:04:02,000] 就是說只有壞處沒有好
[00:04:02,000 -> 00:04:03,000] 是
[00:04:03,000 -> 00:04:04,000] 你得罪了一批人
[00:04:04,000 -> 00:04:05,479] 然後沒有換出什麼好處除非他自己高風亮節宣佈自己退休只有坏处没有好你得罪了一批人然后没有换成什么好处
[00:04:05,479 -> 00:04:08,199] 除非他自己高风亮节宣布自己退休
[00:04:08,199 -> 00:04:08,840] 那不可能
[00:04:08,840 -> 00:04:09,800] 他50多岁
[00:04:09,800 -> 00:04:11,000] 还等着指望接班呢
[00:04:11,000 -> 00:04:13,919] 还有什么
[00:04:13,919 -> 00:04:15,599] 特朗普2024年
[00:04:15,599 -> 00:04:18,959] 现在来看仍然是共和党初选的领跑者
[00:04:18,959 -> 00:04:21,439] 当然他面临着佛罗里达州长
[00:04:21,439 -> 00:04:23,399] 德桑蒂辛的强力挑战
[00:04:23,399 -> 00:04:24,519] 但是现在来看
[00:04:24,519 -> 00:04:28,680] 我觉得老皇帝还是比较中间的
[00:04:28,680 -> 00:04:31,040] 但是现在由于他最近没有怎么实际上
[00:04:31,040 -> 00:04:32,480] 做任何竞选工作
[00:04:32,480 -> 00:04:34,519] 所以大家觉得他到底是真选还是假选
[00:04:34,519 -> 00:04:35,639] 还存在一个问题
[00:04:35,639 -> 00:04:37,319] 可能是不是为了逃避司法审查
[00:04:37,319 -> 00:04:38,319] 这个假选
[00:04:39,600 -> 00:04:41,879] 但我觉得2023年整个一年
[00:04:41,879 -> 00:04:44,279] 就会决定明年的共和党初选
[00:04:44,279 -> 00:04:45,759] 是什么样的情况
[00:04:45,759 -> 00:04:48,240] 2024年选举距离现在还比较远
[00:04:48,240 -> 00:04:49,600] 我们就不多多的意见
[00:04:49,600 -> 00:04:54,639] 当然了在基础上就是现任总统连任是有比较大的优势的
[00:04:54,639 -> 00:04:59,199] 所以我们可能在没有别的变化之前先看好现任总统
[00:04:59,199 -> 00:05:02,399] 可能现在拜登的连任概率可能会是比较高的
[00:05:02,399 -> 00:05:04,160] 当然了18个月吧
[00:05:04,160 -> 00:05:06,000] 不止18个月
[00:05:06,000 -> 00:05:07,240] 19个月
[00:05:07,240 -> 00:05:08,639] 还有很多的变化
[00:05:08,639 -> 00:05:11,000] 我们就等到2024年再说
[00:05:11,000 -> 00:05:13,360] 选举前一个月都还有那么多变数
[00:05:13,360 -> 00:05:14,600] 还有19个月
[00:05:14,600 -> 00:05:16,800] 那继续候选是谁都还不知道
[00:05:16,800 -> 00:05:18,240] 还有什么其他的
[00:05:18,240 -> 00:05:22,319] 年终其实今年应该没有什么别的事情
[00:05:22,319 -> 00:05:23,759] 太多的事情
[00:05:24,040 -> 00:05:26,720] 因为今年相对来说是一个政治平淡期
[00:05:28,480 -> 00:05:31,399] 你会因为研究政治而对经济有所看法吗
[00:05:31,839 -> 00:05:33,199] 就比如说美国的经济
[00:05:33,639 -> 00:05:36,439] 加息这些东西你会去关注吗
[00:05:36,439 -> 00:05:37,399] 有一定关注
[00:05:37,399 -> 00:05:38,160] 但我不是专家
[00:05:38,160 -> 00:05:41,199] 所以我一般也不太做这个过多的评论
[00:05:41,720 -> 00:05:42,040] 好的
[00:05:42,040 -> 00:05:42,959] 就有一些理由
[00:05:42,959 -> 00:05:43,720] 反正就是
[00:05:47,000 -> 00:05:49,519] 现在这个经济在美国是一个非常诡异的状况因为我在美国也是自己生活有所体验
[00:05:49,519 -> 00:05:51,040] 这个物价上涨是非常严重的
[00:05:51,040 -> 00:05:52,040] 大家应该都知道
[00:05:52,040 -> 00:05:53,680] 就是包括这个中餐馆上架
[00:05:53,680 -> 00:05:55,000] 涨价是非常严重
[00:05:55,000 -> 00:05:56,959] 给这个无良中餐馆投一下
[00:05:56,959 -> 00:05:58,600] 涨价比西餐馆贵多
[00:05:59,560 -> 00:06:01,399] 但是这个劳动市场
[00:06:01,399 -> 00:06:02,079] 对吧
[00:06:02,079 -> 00:06:03,800] 是非常饱和的一个状态
[00:06:03,800 -> 00:06:04,560] 饱和
[00:06:04,560 -> 00:06:07,019] 对就业率非常高对�和對就業率非常高
[00:06:07,019 -> 00:06:11,779] 但是當然我們也知道有很多互聯網大廠現在面臨的裁員
[00:06:11,779 -> 00:06:13,620] 但是就是到處都缺人
[00:06:13,620 -> 00:06:16,779] 到處都帶著缺麥當勞工人這樣
[00:06:16,779 -> 00:06:18,819] 基礎服務也比較欠缺
[00:06:18,819 -> 00:06:22,180] 當然就是因為這個疫情帶來經濟帶來的影響
[00:06:22,180 -> 00:06:25,000] 就是很多人對一些基礎的工作不太想做
[00:06:25,000 -> 00:06:29,360] 更加去重視這個所謂的人生追求等等等等等等
[00:06:29,360 -> 00:06:30,399] 這個工作的排位
[00:06:30,399 -> 00:06:33,000] 是因為這個而不是因為什麼人口結構的變化之類的嗎
[00:06:33,000 -> 00:06:34,199] 這也有很多吧
[00:06:34,199 -> 00:06:37,399] 因為我老是覺得就是這個解釋我一直不太在意
[00:06:37,399 -> 00:06:39,639] 就是這是你注重對人生的追求
[00:06:39,639 -> 00:06:41,800] 但是美國我們也知道很多這種基礎工人
[00:06:41,800 -> 00:06:43,720] 尤其是Paycheck Paycheck
[00:06:43,720 -> 00:06:45,680] 在那幾波錢搬完了以後
[00:06:45,680 -> 00:06:47,279] 他還是得回歸工作呀
[00:06:47,279 -> 00:06:50,399] 這個東西我覺得其實也只是一個所謂的解釋
[00:06:50,399 -> 00:06:53,199] 雖然現在這個經濟的異常情況就很難解釋
[00:06:53,199 -> 00:06:55,839] 大家也在探索
[00:06:55,839 -> 00:06:58,639] 然後美聯儲這個加息這個東西是為了抗通脹
[00:06:58,639 -> 00:06:59,519] 大家可以理解
[00:06:59,519 -> 00:07:03,199] 所以這個如果能會進入所謂的技術性衰退
[00:07:03,199 -> 00:07:04,160] 就今年
[00:07:04,160 -> 00:07:06,879] 但是現在來看又稍微上调一些预期
[00:07:06,879 -> 00:07:09,199] 可能就是什么维持零增长
[00:07:09,199 -> 00:07:10,879] 那不是负增长
[00:07:10,879 -> 00:07:11,759] 那整体来看
[00:07:11,759 -> 00:07:14,079] 就是美国经济现在从大体上方向来看
[00:07:14,079 -> 00:07:15,519] 没有结构性问题
[00:07:15,519 -> 00:07:17,439] 应该没有一些系统性金融风险
[00:07:17,439 -> 00:07:18,959] 当然据我所知
[00:07:18,959 -> 00:07:20,319] 可能谁知道
[00:07:20,319 -> 00:07:24,160] 所以如果我们能够比较平稳的度过后疫情
[00:07:24,160 -> 00:07:26,800] 或者说后这些外部性事件
[00:07:26,800 -> 00:07:29,199] 局部冲突这样的事情
[00:07:29,199 -> 00:07:31,199] 也许会进入一个新的平稳期
[00:07:31,199 -> 00:07:33,600] 这个平稳期就可能会利好执政的
[00:07:33,600 -> 00:07:39,800] 嗯 那好 最后就是那些比如说之前堕胎这种事情
[00:07:39,800 -> 00:07:42,000] 会感觉是个有点突然的事情
[00:07:42,000 -> 00:07:44,000] 你觉得还会有这样的大事件发生吗
[00:07:44,000 -> 00:07:48,000] 因为制高法院现在是进入了一個比較右派的階段
[00:07:48,000 -> 00:07:51,000] 所以他們首先對其他這些事情不太在意
[00:07:51,000 -> 00:07:53,000] 就這個原來所謂的先例
[00:07:53,000 -> 00:07:55,000] 所以他們可能會做出很多新的判決
[00:07:55,000 -> 00:07:58,000] 你覺得會有下一個目標是什麼
[00:07:58,000 -> 00:08:02,000] 大家覺得最多的是投票權法案
[00:08:02,000 -> 00:08:03,000] Voting Rights Act
[00:08:03,000 -> 00:08:06,000] 關於少數裔選區保護的問題還有一個選區重劃的事情投票选法案Voting Rights Act关于少数议选区保护的问题
[00:08:06,000 -> 00:08:10,000] 还有选区重划的事情
[00:08:10,000 -> 00:08:12,000] 华人关注的affirmative action
[00:08:12,000 -> 00:08:14,000] 对对对还有这个事
[00:08:14,000 -> 00:08:16,000] 今年哈佛那个案子
[00:08:16,000 -> 00:08:18,000] 应该是今年可能会有
[00:08:18,000 -> 00:08:20,000] 我觉得很有可能
[00:08:20,000 -> 00:08:22,000] 把华人深不突然的affirmative action
[00:08:22,000 -> 00:08:24,000] 给去掉
[00:08:24,000 -> 00:08:26,199] 好的因为原来的判决都是5比4有可能把这个巴尔赛斯生物突厥的affirmative action给去掉好的就是嗯嗯行ok
[00:08:26,199 -> 00:08:27,800] 因为原来这种判决都是5比4嘛
[00:08:27,800 -> 00:08:31,000] 现在共和党不是共和党保尔派占领的这个6比3的优势
[00:08:31,000 -> 00:08:32,399] 嗯对即使跑一票
[00:08:32,399 -> 00:08:33,399] 嗯也够
[00:08:33,399 -> 00:08:34,000] 嗯
[00:08:34,000 -> 00:08:37,000] 而且从那个他是一个on agenda的事情是吧
[00:08:37,000 -> 00:08:39,799] 就是会top of the agenda
[00:08:39,799 -> 00:08:40,600] 哈哈哈哈
[00:08:40,600 -> 00:08:41,600] 好的懂了
[00:08:41,600 -> 00:08:43,600] 然后还有一些奇奇怪怪的事情
[00:08:43,600 -> 00:08:45,600] 就当然这个东西�隨時都有可能發生
[00:08:45,600 -> 00:08:46,600] 嗯
[00:08:46,600 -> 00:08:48,000] 忘了還有什麼
[00:08:48,000 -> 00:08:49,600] 你看他們看一眼Docket才知道
[00:08:49,600 -> 00:08:51,600] 沒問題或者大家關注你關注公眾號
[00:08:51,600 -> 00:08:52,600] 想起來就跟大家說就好
[00:08:52,600 -> 00:08:54,600] 好的 那我們今天就到這裡
[00:08:54,600 -> 00:08:55,600] 感謝浩南
[00:08:55,600 -> 00:08:56,600] 非常好的一個
[00:08:56,600 -> 00:08:57,600] 謝謝您來到我們節目
[00:08:57,600 -> 00:08:58,600] 非常感謝
[00:08:58,600 -> 00:09:00,600] 謝謝大家 我們下期再見
[00:09:00,600 -> 00:09:02,600] 拜拜
