[00:00:00,000 -> 00:00:01,800] 发出去以后直接一晚上我发现
[00:02:19,479 -> 00:02:21,199] 可以说是我成功的一个因素
[00:02:21,199 -> 00:02:22,919] 提出问题解决问题
[00:02:22,919 -> 00:02:25,599] 然后用这个问题先吸引住观众的一个好奇心
[00:02:25,599 -> 00:02:29,800] 其实是我做自媒体的一个流量密码模式
[00:02:29,800 -> 00:02:32,479] 你在这里就把你的流量密码这样子说出来了
[00:02:32,479 -> 00:02:34,080] 你不会担心
[00:02:34,080 -> 00:02:36,479] 我觉得有的时候可能idea更重要
[00:02:36,479 -> 00:02:40,719] 我把公式拿出来并不代表着大家就能把这个公式全部都用回来
[00:02:40,719 -> 00:02:43,840] 对这个公式其实是最适合你的一个公式
[00:02:43,840 -> 00:02:45,120] 这就说到流量感了
[00:02:45,120 -> 00:02:47,479] 这种东西其实是很多人不具备的
[00:02:47,479 -> 00:02:53,080] code和媒体是个人最可以掌控的东西
[00:02:53,080 -> 00:02:54,319] 然后也最 scalable
[00:02:54,319 -> 00:02:56,360] 所以说很多人就去做自媒体这条路
[00:02:56,360 -> 00:02:57,439] 可是都做不好
[00:02:57,439 -> 00:02:59,439] 因为找不到流量感
[00:02:59,599 -> 00:03:00,840] 你是怎么找到的
[00:03:00,840 -> 00:03:02,360] 你对流量感的理解是什么
[00:03:02,360 -> 00:03:04,759] 就是可能一个是要找到自己的一个独特性
[00:03:04,879 -> 00:03:06,919] 有的人可能不一样的点在于
[00:03:06,919 -> 00:03:07,840] 他长得很丑
[00:03:08,599 -> 00:03:09,800] 或者他长得很漂亮
[00:03:09,800 -> 00:03:11,360] 这是非常显而易见的点
[00:03:11,360 -> 00:03:14,919] 还有一些就是他的性格上有一些什么样的特点
[00:03:14,919 -> 00:03:18,000] 我频繁中带有一些乍打糊糊的那种感觉
[00:03:18,000 -> 00:03:19,319] 他们都是尽可能的
[00:03:19,319 -> 00:03:21,360] 故意去打造一些自己的缺陷感
[00:03:21,360 -> 00:03:22,639] 这种人设比较亲近
[00:03:22,639 -> 00:03:24,719] 我打造是一个类似一个拳的人设
[00:03:24,719 -> 00:03:26,639] 他很难让大家记住你
[00:03:26,639 -> 00:03:28,120] 那你怎么出拳的呢
[00:03:28,120 -> 00:03:29,000] 就是我的学历
[00:03:29,000 -> 00:03:29,919] 我的工作背景
[00:03:29,919 -> 00:03:32,800] 我在美国的这些事情
[00:03:32,800 -> 00:03:34,400] 首先这是一个比较特别的地方
[00:03:34,400 -> 00:03:36,360] 这肯定是有很大的帮助的
[00:03:36,360 -> 00:03:37,520] 还有一个点就是
[00:03:37,520 -> 00:03:39,479] 我的动手能力非常的强
[00:03:39,479 -> 00:03:41,000] 可能是我学习能力比较强
[00:03:41,000 -> 00:03:42,159] 就是说什么东西
[00:03:42,159 -> 00:03:43,639] 大家教个一两遍
[00:03:43,639 -> 00:03:44,719] 我真的就会了
[00:03:44,719 -> 00:03:47,759] 可就可以做得比一般人90%的人都要更好
[00:03:47,759 -> 00:03:49,439] 可能是我一个比较独特的特质
[00:03:49,439 -> 00:03:50,879] 保罗的三个特质
[00:03:50,879 -> 00:03:51,280] 对
[00:03:51,280 -> 00:03:51,960] 甜品大师
[00:03:51,960 -> 00:03:52,919] 哈哈哈哈
[00:03:52,919 -> 00:03:53,759] 甜品大师
[00:03:53,759 -> 00:03:55,919] 那就是第三个有甜品大师的辅助
[00:03:55,919 -> 00:04:01,439] 可以去做一些能卖给这边美国市场的一些甜品的
[00:04:01,439 -> 00:04:02,479] 中华传统美食
[00:04:02,479 -> 00:04:05,599] 我觉得这个也是我出圈的另外一个很重要的原因
[00:04:05,599 -> 00:04:06,719] MBTI是什么
[00:04:06,719 -> 00:04:07,759] 我的是什么
[00:04:09,039 -> 00:04:10,080] 好像是 ENFP
[00:04:10,080 -> 00:04:12,960] 但是我除了E以外其他都骑在50%左右
[00:04:12,960 -> 00:04:14,120] 就是变化多端
[00:04:14,120 -> 00:04:17,199] 就是你在美国找一个类似背景的
[00:04:17,199 -> 00:04:18,800] 然后有动手能力的工程师
[00:04:18,800 -> 00:04:20,800] 他拍不出来类似的效果
[00:04:20,800 -> 00:04:23,600] 你觉得你和这个人或者这群人
[00:04:23,600 -> 00:04:25,439] 你觉得不一样的东西是什么一个是坚持
[00:04:25,439 -> 00:04:27,920] 你的前17视频的流量
[00:04:27,920 -> 00:04:28,759] 大概是什么样子
[00:04:28,759 -> 00:04:29,920] 和前170视频
[00:04:29,920 -> 00:04:32,040] 前17基本上就是没有人看
[00:04:32,040 -> 00:04:32,839] 两三百吧
[00:04:32,839 -> 00:04:35,480] 可能是大概实际期的时候开始
[00:04:35,480 -> 00:04:36,439] 有一条是爆了的
[00:04:36,439 -> 00:04:37,480] 带来的粉丝多少
[00:04:37,480 -> 00:04:38,079] 8万
[00:04:38,079 -> 00:04:39,959] 就是有了这样的第一次之后
[00:04:39,959 -> 00:04:41,959] 你就有一个动力
[00:04:41,959 -> 00:04:43,879] 所以说你才会坚持一直这么做下去
[00:04:43,879 -> 00:04:47,839] 你之后的风格也和你第一次报的那个不一样
[00:04:47,839 -> 00:04:49,680] 这个内容就一直是评评评
[00:04:49,680 -> 00:04:52,079] 时间久了我就发现可能是这个内容本身
[00:04:52,079 -> 00:04:53,319] 这个内容形式的问题
[00:04:53,319 -> 00:04:54,639] 只是用炫酷的手法
[00:04:54,639 -> 00:04:57,480] 叙述了我今天去干了一件两件事情
[00:04:57,480 -> 00:04:59,600] 因为这种内容当时在平台上很泛了
[00:04:59,600 -> 00:05:01,439] 看多了他们也就觉得没意思了
[00:05:01,439 -> 00:05:05,560] 反而当时出圈的内容就是带有口播的这种
[00:05:05,560 -> 00:05:07,560] Vlog比较轻松的形式
[00:05:07,560 -> 00:05:08,839] 然后跟大家聊聊天
[00:05:08,839 -> 00:05:10,519] 所以说我就尝试了一两期
[00:05:10,519 -> 00:05:14,560] 我发现好像确实是要比原来的内容效果更好一些
[00:05:14,560 -> 00:05:15,720] 所以说我就转了
[00:05:15,720 -> 00:05:18,519] 这和你动手能力学习能力强很有关系
[00:05:18,519 -> 00:05:20,480] 你的动手能力是怎么积累起来的
[00:05:20,480 -> 00:05:22,199] 就是我觉得我学习能力强
[00:05:22,199 -> 00:05:25,000] 这点我是可能在我大学的时候发现
[00:05:25,000 -> 00:05:29,000] 但是我会把一件事情做到比99%的人做得好
[00:05:29,000 -> 00:05:33,000] 但是我没有办法做到那顶顶顶顶上到0.01%
[00:05:33,000 -> 00:05:36,000] 可能就是我还没有对这件事情有那么的热爱
[00:05:36,000 -> 00:05:38,000] 这个心态有没有带到你的自媒体上
[00:05:38,000 -> 00:05:39,000] 从我们的角度来看的话
[00:05:39,000 -> 00:05:43,000] 你的1200万粉丝就是打败了99.9999%的人
[00:05:43,000 -> 00:05:45,439] 你觉得他还有很大的空间吗
[00:05:45,439 -> 00:05:48,560] 还是这个其实是能力的鲜花板
[00:05:48,560 -> 00:05:50,319] 我觉得在网上做其实要看机遇
[00:05:50,319 -> 00:05:52,079] 本来能做到1200万粉丝
[00:05:52,079 -> 00:05:53,360] 这就是一个时代的红利
[00:05:53,360 -> 00:05:56,439] 如果我现在开始用我一样的内容去做
[00:05:56,439 -> 00:05:58,519] 可能是一两百万粉丝就很不错了
[00:05:58,519 -> 00:06:00,959] 这就很靠你的机遇
[00:06:00,959 -> 00:06:04,879] 你成为了某一个新开创的一个旅游派的OG
[00:06:04,879 -> 00:06:07,000] 我觉得两者都是必要条件
[00:06:07,000 -> 00:06:08,720] 很多时候运气是更重要的
[00:06:08,720 -> 00:06:11,680] 我觉得他们能从你这学到最多的东西
[00:06:11,680 -> 00:06:12,839] 就是你的视角
[00:06:12,839 -> 00:06:16,000] 你可能就比别人多看到了一些的东西
[00:06:16,000 -> 00:06:18,839] 比如说一个视频所带来的情绪
[00:06:18,839 -> 00:06:21,519] 就是有的人他可能在自己的思维里面
[00:06:21,519 -> 00:06:22,519] 他看到那样一个情绪
[00:06:22,519 -> 00:06:24,800] 就是说我这个技术门槛高
[00:06:24,800 -> 00:06:26,079] 我这个做的东西多
[00:06:26,079 -> 00:06:27,199] 那个多low
[00:06:27,839 -> 00:06:29,360] 但是你可能就看到了
[00:06:29,360 -> 00:06:31,680] 他的在别的方向的可取之处
[00:06:31,680 -> 00:06:33,040] 我的产品经理的思维
[00:06:33,040 -> 00:06:33,759] 还有一个思维
[00:06:33,759 -> 00:06:37,000] 我觉得是做用户体验设计的一个思维
[00:06:37,000 -> 00:06:38,120] 我为什么会做产品经理
[00:06:38,120 -> 00:06:40,439] 是因为我非常喜欢用户体验设计
[00:06:40,439 -> 00:06:42,279] 我觉得其实做短视频的时候
[00:06:42,279 -> 00:06:44,319] 你其实在做的是一个观众的体验
[00:06:44,319 -> 00:06:45,319] 就我说了一句话
[00:06:45,319 -> 00:06:46,560] 观众当时的感受是什么
[00:06:46,560 -> 00:06:48,600] 这句话会让观众有什么样的感受
[00:06:48,600 -> 00:06:49,639] 这就是网感啊
[00:06:49,639 -> 00:06:50,399] 内容感啊
[00:06:50,399 -> 00:06:50,959] 观众感
[00:06:50,959 -> 00:06:52,720] 你是怎么培养起来网感的
[00:06:52,720 -> 00:06:55,120] 肯定你首先你是要做出海量的内容
[00:06:55,120 -> 00:06:57,399] 其中你才知道你什么样的内容是好的
[00:06:57,399 -> 00:06:58,759] 比如说我拍阳台之前
[00:06:58,759 -> 00:07:00,079] 我根本不知道阳台会红
[00:07:00,079 -> 00:07:02,279] 对于大家来说有点脱离他们的生活
[00:07:02,279 -> 00:07:04,079] 发出去以后直接一晚上我发现
[00:07:04,079 -> 00:07:05,519] 哇 200万赞
[00:07:05,519 -> 00:07:06,040] 我就惊了
[00:07:06,040 -> 00:07:08,120] 就是说这个东西原来是这个样子
[00:07:08,120 -> 00:07:09,800] 就大家原来喜欢这个东西
[00:07:09,800 -> 00:07:12,399] 然后就有了一套自己的思路
[00:07:12,399 -> 00:07:14,879] 你想要事后总结到正确的方法论
[00:07:14,879 -> 00:07:18,120] 你是需要有一个客观的归音的能力
[00:07:18,120 -> 00:07:20,120] 有的人可能看到这个火了
[00:07:20,120 -> 00:07:21,720] 他就会归到错误的音
[00:07:21,720 -> 00:07:23,839] 这是正确归音其实非常难的
[00:07:23,839 -> 00:07:26,040] 这些推荐平台的流量算法
[00:07:26,040 -> 00:07:30,600] 基本上你没有办法做太多的实验
[00:07:30,600 -> 00:07:31,759] 你作为一个创作者
[00:07:31,759 -> 00:07:33,240] 你做实验的空间是很小的
[00:07:33,240 -> 00:07:35,800] 你永远不可能用控制变量法
[00:07:35,800 -> 00:07:38,199] 去测试出什么东西是更好的
[00:07:38,199 -> 00:07:41,040] 你只能归纳总结一些感受
[00:07:41,040 -> 00:07:42,279] 因为有的人他归纳总结
[00:07:42,279 -> 00:07:43,720] 我先说错误可能错误在哪
[00:07:43,720 -> 00:07:45,920] 就是他是抱着自己的思路去
[00:07:45,920 -> 00:07:47,680] 他可能看到一个火了
[00:07:47,839 -> 00:07:49,279] 他和他的认知不符
[00:07:49,279 -> 00:07:51,519] 然后他反而就不去注意到这件事情
[00:07:51,519 -> 00:07:53,439] 但是你看到他和你的认知不符
[00:07:53,439 -> 00:07:55,199] 可能你就特别注意这件事
[00:07:55,199 -> 00:07:57,199] 因为你发现这个时候是你
[00:07:57,680 -> 00:08:00,319] 补充自己认知的一个好的机会
[00:08:00,319 -> 00:08:01,279] 当你看到一个东西
[00:08:01,279 -> 00:08:02,959] 和你的认知非常不符的时候
[00:08:02,959 -> 00:08:03,759] 你会做什么
[00:08:03,759 -> 00:08:05,600] 有的时候我可能会提前就知道
[00:08:05,600 -> 00:08:06,959] 有的时候我可能不知道
[00:08:06,959 -> 00:08:08,399] 是事后才总结出来
[00:08:08,399 -> 00:08:10,160] 就是可能做的时候是个直觉
[00:08:10,160 -> 00:08:12,199] 然后事后的时候去
[00:08:12,199 -> 00:08:14,360] 对我其实是会有一个预感
[00:08:14,360 -> 00:08:15,360] 什么样的播放量
[00:08:15,360 -> 00:08:16,360] 什么样赞的水平
[00:08:16,360 -> 00:08:17,879] 基本上它就大差不差
[00:08:17,879 -> 00:08:18,439] 是这样的
[00:08:18,439 -> 00:08:22,160] 能不能总结一下你的当时对观众的感受
[00:08:22,160 -> 00:08:24,399] 估的准一定是你的网感特别好
[00:08:24,399 -> 00:08:26,399] 你那个网感可以帮大家总结一下
[00:08:26,399 -> 00:08:28,199] 每个博主都有自己擅长的内容
[00:08:28,600 -> 00:08:31,000] 比如说他有几个自己擅长的主题或者系列
[00:08:31,000 -> 00:08:32,799] 估的最准的时候其实就是我有
[00:08:33,600 -> 00:08:34,399] 几个系列
[00:08:34,399 -> 00:08:35,600] 比如乐高城系列
[00:08:35,600 -> 00:08:36,799] 抓小龙虾系列
[00:08:36,799 -> 00:08:38,000] 卖月饼系列
[00:08:38,000 -> 00:08:39,799] 基本上这三大系列的流量
[00:08:39,799 -> 00:08:42,600] 就我大概知道这个视频的流量会是多少
[00:08:42,600 -> 00:08:43,100] 几千万
[00:08:43,100 -> 00:08:43,799] 这个是几千万
[00:08:43,799 -> 00:08:44,500] 这个是几千万
[00:08:44,500 -> 00:08:47,519] 卖月饼基本上2-3千万播放
[00:08:47,519 -> 00:08:50,559] 但是可能这条麦月饼的视频我加了个广告
[00:08:50,559 -> 00:08:52,120] 它可能就会变成1500万
[00:08:52,120 -> 00:08:55,559] 那你在制作的过程听起来就是选题
[00:08:55,559 -> 00:08:56,440] 选题第一位
[00:08:56,440 -> 00:08:58,240] 然后接下来是内容的创意
[00:08:58,240 -> 00:08:59,720] 但是你都没有提
[00:08:59,720 -> 00:09:00,919] 比如说你剪辑
[00:09:00,919 -> 00:09:03,200] 剪辑对我来说其实是一个很小的部分
[00:09:03,440 -> 00:09:06,080] 我拍完了基本上这故事就已经出来了
[00:09:06,240 -> 00:09:08,559] 就我所有的视频都是现场
[00:09:08,679 -> 00:09:09,840] 我都是提前想好
[00:09:09,840 -> 00:09:11,480] 然后拍的时候就直接拍
[00:09:11,480 -> 00:09:13,840] 后期补的很少很少
[00:09:13,840 -> 00:09:16,279] 我的素材拿出来做一个剪辑
[00:09:16,279 -> 00:09:18,039] 其实对故事本身
[00:09:18,039 -> 00:09:21,240] 就是它的二次创作的空间很小
[00:09:21,480 -> 00:09:23,240] 所以在你那段时间的时候
[00:09:23,240 -> 00:09:27,240] 你已经就是吃透了这样的一个主题
[00:09:27,240 -> 00:09:30,440] 然后你已经披亮地产出短剧或者说是
[00:09:30,440 -> 00:09:33,279] 对大家那个时候看的内容可能就像追剧一样
[00:09:33,279 -> 00:09:36,840] 现在平台的政策还有它的流量下
[00:09:36,840 -> 00:09:38,279] 有些内容其实很难做
[00:09:38,279 -> 00:09:39,639] 乐高辰这个内容
[00:09:39,639 -> 00:09:42,240] 就是它其实我不是不想做
[00:09:42,240 -> 00:09:44,519] 第一乐高辰内容本来成本也就很高
[00:09:44,519 -> 00:09:47,399] 它其实数据并没有像以前那么好
[00:09:47,399 -> 00:09:49,360] 我知道有很多大牛都做了乐高层
[00:09:49,360 -> 00:09:52,759] 但是没有人能把这件事情做的流量那么大
[00:09:52,759 -> 00:09:54,759] 对于很多国内的消费者来说
[00:09:54,759 -> 00:09:57,720] 这个东西其实还是算是有点奢侈
[00:09:57,720 -> 00:09:59,559] 受众面其实还是很小众
[00:09:59,559 -> 00:10:01,080] 你可以给大家分享一下
[00:10:01,080 -> 00:10:04,320] 你做自媒体这几年的大概的收入情况
[00:10:04,320 -> 00:10:05,879] 或者说是上单情况吧
[00:10:05,879 -> 00:10:06,919] 鄙人不才
[00:10:06,919 -> 00:10:11,399] 我相对于大部分同级别的博主收入算比较低的
[00:10:11,399 -> 00:10:13,120] 其实一方面因为我们在海外
[00:10:13,120 -> 00:10:15,559] 就是在海外的资源本来就是比较匮乏的
[00:10:15,559 -> 00:10:17,559] 毕竟我们做的是国内的自媒体
[00:10:17,559 -> 00:10:20,159] 现在呢上单大家其实都挺难接的
[00:10:20,159 -> 00:10:22,039] 而且从流量的角度来说
[00:10:22,039 -> 00:10:25,600] 你可能需要很大的投入去维持自己
[00:10:25,600 -> 00:10:28,639] 平台现在也到了可能要到收割的时候
[00:10:28,639 -> 00:10:29,840] 你懂吗?
[00:10:29,840 -> 00:10:31,360] 没有一条路是好走的
[00:10:31,360 -> 00:10:33,200] 每条路都充满了挑战
[00:10:33,200 -> 00:10:35,919] 辞职了之后你也试了很多方向
[00:10:35,919 -> 00:10:39,320] 你愿意去给自己比如说留一个这段时候的思考吗?
[00:10:39,320 -> 00:10:40,759] 可能你两三年之后回来再看
[00:10:40,759 -> 00:10:42,480] 就是你过去半年吧
[00:10:42,480 -> 00:10:44,879] 尤其你辞职之后到现在的一个思考
[00:10:44,879 -> 00:10:47,279] 和你对未来的一些想法
[00:10:47,279 -> 00:10:50,720] 我并不知道三年以后我会是什么样子
[00:10:50,720 -> 00:10:55,279] 我的想法当然是希望我可以通过我自媒体累积到的资源
[00:10:55,279 -> 00:11:00,159] 去能助力我的其他的方向的business
[00:11:00,159 -> 00:11:01,000] 我的事业
[00:11:01,000 -> 00:11:03,200] 但是我以前没有完全的去利用它
[00:11:03,200 -> 00:11:05,120] 其实说一个很现实的点
[00:11:05,120 -> 00:11:08,000] 就是我不可能一辈子靠着自媒体活
[00:11:08,000 -> 00:11:11,000] 因为做自媒体可能你的花期就这么长
[00:11:11,000 -> 00:11:13,080] 你能活个七八年
[00:11:13,080 -> 00:11:14,480] 那就是凤毛麟角
[00:11:14,480 -> 00:11:16,240] 是不是可以就是说
[00:11:16,240 -> 00:11:19,399] 借助我自己的原本的这些能力
[00:11:19,399 -> 00:11:20,320] 一些背景
[00:11:20,320 -> 00:11:22,679] 加上我在自媒体上
[00:11:23,440 -> 00:11:24,679] 获得的资源
[00:11:24,679 -> 00:11:29,399] 来整合一些我可以有所突破的其他的方向
[00:11:29,399 -> 00:11:30,799] 对我来说比较有利
[00:11:30,799 -> 00:11:37,000] 你之所以没有在自媒体最好的年纪抓住它最多的回报
[00:11:37,000 -> 00:11:39,000] 就是因为第一你有主业
[00:11:39,000 -> 00:11:43,399] 你的成长不是在于说我怎么样子去把我的流量变现各种菜
[00:11:43,399 -> 00:11:45,580] 看似在这里边少赚了钱
[00:11:45,580 -> 00:11:46,659] 但是你也有另外一个
[00:11:46,659 -> 00:11:48,460] 我希望做更多有意义的
[00:11:48,460 -> 00:11:51,039] 可能对社会有用的事情
[00:11:51,039 -> 00:11:52,340] 比如说我去创业
[00:11:52,340 -> 00:11:54,379] 做出一些比较有用的工具
[00:11:54,379 -> 00:11:56,159] 比如说帮助品牌可以出海
[00:11:56,159 -> 00:11:59,200] 或者说帮助一些现有的自媒体或者公司
[00:11:59,200 -> 00:12:01,580] 可以更高效地去工作生产
[00:12:01,580 -> 00:12:04,299] 这个其实是一个正向的滚雪球的行为
[00:12:04,299 -> 00:12:05,200] 这个时代里边网感真的是一个非常重要的事情我觉得真的能�这个其实是一个正向的滚雪球的行为这个时代里边
[00:12:05,200 -> 00:12:07,519] 网感真的是一个非常非常重要的事情
[00:12:07,519 -> 00:12:09,919] 我觉得真的能发挥的地方还是很多的
[00:12:09,919 -> 00:12:11,799] 谢谢发行总
[00:12:11,799 -> 00:12:13,440] 谢谢你今天采访我
