[00:00:00,000 -> 00:00:01,360] 直接给你补400万
[00:01:28,760 -> 00:01:30,480] 别的这个经营成本
[00:01:30,480 -> 00:01:30,959] 对吧
[00:01:30,959 -> 00:01:32,280] 他一共只有两次
[00:01:32,280 -> 00:01:34,439] 而且第二次的话是专门针对餐饮的
[00:01:34,439 -> 00:01:37,599] 就是因为当时餐饮业是这种就是minimum wage worker
[00:01:37,599 -> 00:01:39,879] 就是这些最大的这种就业的渠道嘛
[00:01:39,879 -> 00:01:42,079] 所以说就是保证餐饮业的这个
[00:01:42,079 -> 00:01:48,159] 呃这个stability是解决那些低收入者就业的一个很大的渠道
[00:01:48,159 -> 00:01:50,760] 所以当时就是说这个政府方面的扶植也很大
[00:01:50,760 -> 00:01:53,439] 还有一个很大的帮助
[00:01:53,480 -> 00:01:56,200] 就是叫我记得在21年的时候
[00:01:56,239 -> 00:02:01,280] 有一个美国政府有一个叫做Restaurant Revitalization Fund
[00:02:01,319 -> 00:02:03,879] 就是给这些餐饮的补贴的
[00:02:03,920 -> 00:02:05,640] 然后他补贴非常之慷慨
[00:02:05,640 -> 00:02:09,560] 他給你補貼你當時疫情2019年
[00:02:10,080 -> 00:02:12,759] 和2020年這兩年的這個你的這個
[00:02:12,919 -> 00:02:14,080] revenue的差
[00:02:14,360 -> 00:02:15,520] 是把這部分錢補給你
[00:02:15,520 -> 00:02:16,800] 並且這個錢是免稅的
[00:02:16,960 -> 00:02:20,960] 這就是簡直就是你想這就是非常非常大的
[00:02:20,960 -> 00:02:22,159] 一部分比以前更大
[00:02:22,159 -> 00:02:22,800] 聽懂了嗎
[00:02:22,960 -> 00:02:25,599] 就是你2019年營业额500万
[00:02:25,639 -> 00:02:28,159] 2020年疫情一下子打成100万了
[00:02:28,159 -> 00:02:29,360] 他直接给你补400万
[00:02:29,360 -> 00:02:31,960] 对就是非常非常慷慨
[00:02:31,960 -> 00:02:34,439] 然后当时我都我其实都挺震惊的
[00:02:34,439 -> 00:02:36,840] 因为我觉得我当时申请了这个
[00:02:36,840 -> 00:02:39,199] 我都觉得可能批准概率
[00:02:39,199 -> 00:02:40,919] 我觉得可能应该不是很大吧
[00:02:40,919 -> 00:02:43,680] 我想这个也有点太多了
[00:02:43,680 -> 00:02:44,639] 他真的就批了
[00:02:44,639 -> 00:02:47,719] 而且他这个政策最開始還是
[00:02:47,719 -> 00:02:49,439] 他還有一個那個
[00:02:49,439 -> 00:02:52,159] 就是所謂的就是保護少數族裔
[00:02:52,159 -> 00:02:55,000] 他說如果你的餐廳的owner是
[00:02:55,000 -> 00:02:56,080] 這個minority的話
[00:02:56,080 -> 00:02:57,400] 你可以優先拿這個錢
[00:02:57,400 -> 00:02:58,560] 因為我們是Asian market
[00:02:58,560 -> 00:02:59,560] 所以說minority
[00:02:59,560 -> 00:03:01,120] 所以是優先拿這個錢
[00:03:01,120 -> 00:03:04,960] 但後來這個條例被那個
[00:03:04,960 -> 00:03:06,680] 德州那邊的人告了
[00:03:06,680 -> 00:03:08,280] 就是有可能有就是
[00:03:08,639 -> 00:03:09,159] 嗯
[00:03:09,680 -> 00:03:12,120] 說這個不公平了
[00:03:12,120 -> 00:03:12,360] 對的
[00:03:12,360 -> 00:03:12,960] 確實
[00:03:13,159 -> 00:03:16,000] 但是我覺得中國中餐館老闆很多申請
[00:03:16,000 -> 00:03:16,680] 是確實拿到
[00:03:16,680 -> 00:03:18,000] 如果你申請的早的話
[00:03:18,039 -> 00:03:19,400] 確實因為他剛開始有這個
[00:03:19,560 -> 00:03:23,439] 相當於對 minority的這個 preference
[00:03:23,639 -> 00:03:25,360] 能大概說一下
[00:03:25,360 -> 00:03:30,000] 你疫情期間從美國政府拿到的補助是多少嗎?
[00:03:30,000 -> 00:03:34,280] 應該接近去年的一億多吧
[00:03:34,280 -> 00:03:35,039] 沒有去年一億多
[00:03:35,039 -> 00:03:37,120] 但是其實接近就是說應該其實
[00:03:37,120 -> 00:03:37,599] 對
[00:03:37,599 -> 00:03:39,439] 其實你想想還是蠻多的
[00:03:39,439 -> 00:03:39,919] 對
[00:03:39,919 -> 00:03:42,479] 這個確實美國政府還是撒幣
[00:03:42,479 -> 00:03:44,319] 這個還是很給力的
[00:03:44,319 -> 00:03:44,800] 對
[00:03:44,800 -> 00:03:46,759] 就是當你在美國做business的時候
[00:03:46,759 -> 00:03:48,479] 你會發現這個國家對business
[00:03:48,479 -> 00:03:49,680] 其實是極度重視的
[00:03:49,680 -> 00:03:53,800] 包括這個之後其實還有就是到這個時候
[00:03:53,800 -> 00:03:55,039] 我不知道你有沒有聽說過
[00:03:55,039 -> 00:03:58,360] 叫那個叫做Employment Retention Credit
[00:03:58,360 -> 00:03:59,159] ERC
[00:03:59,159 -> 00:04:00,800] 然後那個其實也是一筆
[00:04:01,280 -> 00:04:02,280] 很大的一筆股市
[00:04:02,280 -> 00:04:03,759] 他始終就是對這個
[00:04:04,439 -> 00:04:08,560] 對這個business有這個實實在在的这个这个金钱就直接散钱
[00:04:08,560 -> 00:04:09,800] 直接就是就是散钱
[00:04:09,800 -> 00:04:10,520] 其实对对对
[00:04:10,520 -> 00:04:12,120] 其实这是唯一有效的physical policy
[00:04:12,120 -> 00:04:14,120] 就是他在消费者的也是吗
[00:04:14,120 -> 00:04:15,719] 就直接给钱对你说你说
[00:04:15,719 -> 00:04:16,560] 所以什么都没有
[00:04:16,560 -> 00:04:18,199] 因为你你本来会钱
[00:04:18,199 -> 00:04:19,959] 你没有税税可以减的
[00:04:19,959 -> 00:04:22,240] 那你就是就是我现在就是经营不下去了
[00:04:22,240 -> 00:04:23,240] 就是要需要钱的
[00:04:23,240 -> 00:04:25,839] 就就就这只是就是federal层面的
[00:04:25,839 -> 00:04:28,040] 其实state层面还有city层面
[00:04:28,040 -> 00:04:29,160] 他还有很多
[00:04:29,160 -> 00:04:30,439] 机上都有大大小小的补贴
[00:04:30,439 -> 00:04:31,600] 可能数量没那么多
[00:04:31,600 -> 00:04:33,800] 但是你是不是也有几千一万多
[00:04:33,800 -> 00:04:35,680] 你可能看到我那个店的那个玻璃上
[00:04:35,680 -> 00:04:38,720] 不是有那种一些裂开的那些吗
[00:04:38,720 -> 00:04:41,800] 就是因为这个Chinatown这边确实是
[00:04:41,800 -> 00:04:44,199] 他们机上会有人来砸你这个玻璃
[00:04:44,199 -> 00:04:48,920] 然后我们店是之前就是中国城这个社区
[00:04:48,920 -> 00:04:54,000] 它是组织了就是有免费给我们贴那个防爆膜的玻璃上
[00:04:54,000 -> 00:04:55,519] 所以就是贴了那膜
[00:04:55,519 -> 00:04:57,279] 但贴了膜当然他们砸不坏
[00:04:57,279 -> 00:04:58,920] 但是还是会砸出那个裂痕
[00:04:58,920 -> 00:05:07,279] 就像包括我们那边有个玻璃是之前有天晚上被一个Homeless然后他就是拼命砸
[00:05:07,279 -> 00:05:08,079] 砸了很长时间
[00:05:08,079 -> 00:05:09,920] 然后砸再把那个防暴
[00:05:09,920 -> 00:05:11,959] 贴了防暴膜的玻璃都砸碎了一点
[00:05:11,959 -> 00:05:15,800] 然后现在是就是说就是已经申请了City funding
[00:05:15,800 -> 00:05:18,000] 然后帮我们就是再重新换掉
[00:05:18,000 -> 00:05:18,519] 怎么说呢
[00:05:18,519 -> 00:05:20,319] 这个政府有很多做的不好的地方
[00:05:20,319 -> 00:05:22,519] 就是不好的地方肯定就是对这个
[00:05:23,360 -> 00:05:26,399] 这种治安的维护
[00:05:26,399 -> 00:05:28,920] 然后警力的支持
[00:05:28,920 -> 00:05:32,279] 我们店被入室抢劫三次
[00:05:32,279 -> 00:05:34,000] 警察那边都没有什么作为
[00:05:34,000 -> 00:05:34,720] 他应该说
[00:05:35,000 -> 00:05:36,920] 然后但是他有做的好地方就是说
[00:05:36,920 -> 00:05:38,000] 他给你钱
[00:05:38,000 -> 00:05:39,439] 然后让你一些有的
[00:05:39,439 -> 00:05:40,199] 对就是
[00:05:40,680 -> 00:05:41,560] 讲一下
[00:05:41,560 -> 00:05:42,920] 因为你的店
[00:05:43,240 -> 00:05:47,120] 别的人不知道在长安�圖的中國城
[00:05:47,120 -> 00:05:47,920] 然後前面也說了
[00:05:47,920 -> 00:05:50,519] 他在疫情前是個很繁榮的地方
[00:05:50,519 -> 00:05:52,279] 然後相對比較安全
[00:05:52,279 -> 00:05:53,439] 就是越來越高檔的
[00:05:53,439 -> 00:05:55,199] Gentrification的社區
[00:05:55,199 -> 00:05:56,800] 然後疫情之後呢
[00:05:56,800 -> 00:05:57,879] 就是治安啊
[00:05:57,879 -> 00:06:00,480] 衛生啊等等都有很大的問題
[00:06:00,480 -> 00:06:03,199] 那你在這裡面作為一個開店的店主
[00:06:03,199 -> 00:06:04,759] 應該有很多安全的concern
[00:06:04,759 -> 00:06:05,000] 是是我們其實有自己的那個我們有一個community那你在这里面作为一个开店的店主应该有很多安全的concern
[00:06:05,000 -> 00:06:07,000] 我们其实有自己的那个
[00:06:07,000 -> 00:06:09,000] 我们有一个community
[00:06:09,000 -> 00:06:12,000] 就是大家就是说把自己遇到这种质量问题
[00:06:12,000 -> 00:06:14,000] 去跟city反映嘛
[00:06:14,000 -> 00:06:16,000] 就是说给就是他中国社区
[00:06:16,000 -> 00:06:18,000] 他还想帮我们想办法
[00:06:18,000 -> 00:06:21,000] 可能之前说帮我们约一个跟市长
[00:06:21,000 -> 00:06:23,000] 那个Bruce Howard
[00:06:23,000 -> 00:06:26,399] 那个Seattle的市长的一个可能一个meeting
[00:06:26,399 -> 00:06:27,939] 然后跟他反映一下这个问题
[00:06:27,939 -> 00:06:29,740] 虽然这个东西还没有实际落实下来
[00:06:29,740 -> 00:06:32,279] 但是我们确实也有给他们去反映
[00:06:32,279 -> 00:06:35,420] 就是经常比如说拍到那些治安隐患的那些东西
[00:06:35,420 -> 00:06:39,939] 然后有一些在街上有些那些drug use
[00:06:39,939 -> 00:06:42,100] illegal drug use这种东西
[00:06:42,100 -> 00:06:44,180] 就是也会去去反映了
[00:06:44,180 -> 00:06:49,000] 对但是这个确实确实比较头疼的也是
[00:06:49,000 -> 00:06:52,000] 就是说这些年来它这个治安状况
[00:06:52,000 -> 00:06:54,000] 确实是每况愈下
[00:06:54,000 -> 00:06:56,000] 然后对于我们这个营商环境
[00:06:56,000 -> 00:06:58,000] 也是非常挺大的影响
[00:06:59,000 -> 00:07:00,000] 那你还在这开店
[00:07:00,000 -> 00:07:02,000] 没有关这家店
[00:07:02,000 -> 00:07:05,699] 我觉得是也是就说
[00:07:05,699 -> 00:07:07,620] 就是有困难
[00:07:07,620 -> 00:07:12,180] 但是也也还是就说在在有去想也有想办法解决吧
[00:07:12,180 -> 00:07:15,379] 就是只是但是就是这种对外外部环境来讲
[00:07:15,379 -> 00:07:18,060] 有的时候你可能真是没有太多好的办法
[00:07:18,060 -> 00:07:23,620] 也就是说你可能只有尽量的就是在这边就是你尽量的去
[00:07:23,620 -> 00:07:25,839] 让你的这个声音被这个这个管理人
[00:07:25,839 -> 00:07:27,639] 管理的这个市政管理人听到嘛
[00:07:27,639 -> 00:07:28,839] 然后让就是说
[00:07:28,839 -> 00:07:32,079] 但他们就是说我就是有点像
[00:07:32,519 -> 00:07:34,759] 感觉有点像国内就是说比如说
[00:07:35,120 -> 00:07:37,600] 突然一下他们会来一波什么专项整治
[00:07:37,600 -> 00:07:39,639] 然后把这个这波这个刘亚汉
[00:07:39,639 -> 00:07:41,839] 比如说Taylor Swift要开招呼的时候
[00:07:41,839 -> 00:07:43,839] 把这个把这个清除走
[00:07:43,839 -> 00:07:46,560] 然后有我看今天网友还开玩笑
[00:07:46,560 -> 00:07:48,199] 说这个就像美国的这个
[00:07:48,680 -> 00:07:50,000] 像那个电影那个
[00:07:50,000 -> 00:07:50,680] Annual Purge
[00:07:50,680 -> 00:07:54,720] 说他们会固定时间会突然出来
[00:07:54,720 -> 00:07:55,680] 把那些人给清掉
[00:07:55,680 -> 00:07:56,800] 但是清掉之后
[00:07:56,800 -> 00:07:59,720] 他也没有说一个保护保持的措施
[00:07:59,720 -> 00:08:01,360] 过一会儿那些就是说
[00:08:01,360 -> 00:08:02,680] 是一个很大的机制问题
[00:08:02,680 -> 00:08:03,800] 对对对
[00:08:04,879 -> 00:08:06,199] 嗯 是蛮难的
