[00:00:00,000 -> 00:00:01,560] 这还是一个很惊人的数字
[00:02:50,199 -> 00:02:51,419] 利润很高的中厂
[00:02:51,580 -> 00:02:53,120] 做得还是非常出色的
[00:02:53,340 -> 00:02:54,659] 大致的情况是
[00:02:54,840 -> 00:02:58,419] 有40亿美元的一个收入
[00:02:58,580 -> 00:03:00,379] 但是有60%的净利润
[00:03:00,580 -> 00:03:02,500] 这还是一个很惊人的数字
[00:03:02,659 -> 00:03:03,699] 我听到了也都吓一跳
[00:03:03,879 -> 00:03:04,539] 因为为什么呢
[00:03:04,699 -> 00:03:06,659] 因为你把硅�谷幾乎所有的
[00:03:06,780 -> 00:03:08,039] 所有的中廠
[00:03:08,159 -> 00:03:11,539] AMB、AMB、Uber、Pinterest、Lyft
[00:03:11,659 -> 00:03:13,500] 這些中廠的淨利潤加起來
[00:03:13,620 -> 00:03:15,240] 還沒有這一家公司多
[00:03:15,379 -> 00:03:16,919] 這還是比較有趣的
[00:03:17,039 -> 00:03:19,199] 說起做高管或者怎麼樣
[00:03:19,340 -> 00:03:20,919] 你也知道我過去20幾年
[00:03:21,039 -> 00:03:23,659] 從公司的高管跟startup
[00:03:23,780 -> 00:03:26,159] 來來回回也做了很多次了
[00:03:26,360 -> 00:03:28,960] 我个人还是不管做什么
[00:03:29,159 -> 00:03:31,039] 我对我个人最高的兴趣
[00:03:31,240 -> 00:03:32,719] 还是做一些新的产品
[00:03:32,919 -> 00:03:34,719] 这是比较主要的
[00:03:34,919 -> 00:03:36,719] 大家可能听说过的
[00:03:36,919 -> 00:03:39,120] 关于这家公司的Norton LifeLock
[00:03:39,319 -> 00:03:41,080] 但其实我在做一些新的产品
[00:03:41,280 -> 00:03:43,520] 也谢谢你前几天给我推荐了
[00:03:43,719 -> 00:03:45,879] 几个很好的candidate
[00:03:45,879 -> 00:03:47,319] 包括VP的candidate
[00:03:47,319 -> 00:03:49,120] 都非常的谢谢你
[00:03:49,120 -> 00:03:50,639] 我们其实做一些
[00:03:50,639 -> 00:03:53,919] 比如说我现在正在带的一个产品
[00:03:53,919 -> 00:03:55,319] 是做浏览器
[00:03:55,319 -> 00:03:57,680] 这是一个非常有趣的
[00:03:57,680 -> 00:04:00,240] 很多人会说为什么做浏览器
[00:04:00,240 -> 00:04:01,879] 其实今天我们用的浏览器
[00:04:01,879 -> 00:04:04,560] 是为上一代互联网时代设计的
[00:04:04,560 -> 00:04:07,479] 互联网时代都是�计的互联网时代虽然说有搜索
[00:04:07,479 -> 00:04:10,240] 但是你还是一个页一个页去消化
[00:04:10,240 -> 00:04:12,479] 但其实在今天的AI
[00:04:12,479 -> 00:04:13,759] 你那么大的信息量
[00:04:13,759 -> 00:04:15,240] 你不应该你一个人去预度
[00:04:15,240 -> 00:04:16,720] 你不应该一个人去消化
[00:04:16,720 -> 00:04:17,879] 你不应该一个人去
[00:04:17,879 -> 00:04:20,279] 你应该有50个人帮着你一起
[00:04:20,279 -> 00:04:23,959] 在同时去消化去理解整个那么多的信息
[00:04:23,959 -> 00:04:28,480] 所以说我觉得这是有一个很大的做头
[00:04:28,480 -> 00:04:32,000] 所以说也谢谢你推荐那个好的人
[00:04:32,000 -> 00:04:34,240] 对如果大家感兴趣的话
[00:04:34,240 -> 00:04:37,360] 我一会儿把你的那个job listing给post出来
[00:04:37,360 -> 00:04:41,120] 你在做的这个内部服务化的这个startup的工作
[00:04:41,120 -> 00:04:44,399] 其实也很除了就是像那种VP的人选之外
[00:04:44,399 -> 00:04:46,680] 也需要很多senior IC
[00:04:46,680 -> 00:04:48,319] 然后去非常有
[00:04:48,319 -> 00:04:51,399] 就是既有盈利保障
[00:04:51,399 -> 00:04:52,680] 既有job security
[00:04:52,680 -> 00:04:54,120] 然后又well founded
[00:04:54,120 -> 00:04:55,240] 又想做StarLab
[00:04:55,240 -> 00:04:56,920] 我觉得是一个非常好的机会
[00:04:57,600 -> 00:04:59,879] 对 然后说起你刚才
[00:04:59,879 -> 00:05:01,639] 回答你刚才那个问题
[00:05:01,639 -> 00:05:04,000] 我觉得这个问题在各种节目
[00:05:04,000 -> 00:05:06,180] 包括尤其是你的很多節目裡面
[00:05:06,180 -> 00:05:09,420] 都提到了華人、印度裔
[00:05:09,420 -> 00:05:14,000] 我覺得很多時候其實這件事情確實是
[00:05:14,000 -> 00:05:17,199] 這是一個現象 而且這個現象是非常普遍的
[00:05:17,199 -> 00:05:19,319] 然後這個contrast是
[00:05:19,319 -> 00:05:22,959] 我們之所以談論這個話題是因為華人的能力
[00:05:22,959 -> 00:05:28,439] 尤其是智力 尤其是平時工作的效率
[00:05:28,439 -> 00:05:32,680] 都是很高的 那為什麼做高管的不多
[00:05:32,680 -> 00:05:35,319] 我個人覺得還是很多還是一個理念
[00:05:35,319 -> 00:05:38,680] 觀念、文化上的突破的問題
[00:05:38,680 -> 00:05:41,420] 就是需要有些觀念、文化上的突破
[00:05:41,420 -> 00:05:42,920] 因為做管理很多人覺得
[00:05:42,920 -> 00:05:45,379] 比如說做管理就是一個很虛的一件事
[00:05:45,379 -> 00:05:47,379] 不幹實事或者怎麼樣
[00:05:47,379 -> 00:05:51,139] 這是一個 我不知道這是中國幾千年來
[00:05:51,139 -> 00:05:53,139] 科舉制度下面造成的
[00:05:53,139 -> 00:05:58,560] 就是大家覺得一些語文 數學這些才是
[00:05:58,560 -> 00:06:02,079] 還是說還是怎麼樣
[00:06:02,079 -> 00:06:03,079] 但我覺得這不是
[00:06:03,079 -> 00:06:07,399] 有一個嘉賓的觀點是中國其實沒有職場的概念
[00:06:07,399 -> 00:06:08,920] 就是這幾年才有的
[00:06:08,920 -> 00:06:10,639] 都不是這十幾年才有的
[00:06:10,639 -> 00:06:11,879] 但是我們從小到大
[00:06:11,879 -> 00:06:14,199] 這一代人受到的教育就是做題
[00:06:14,199 -> 00:06:16,399] 所以說我們用解題的思路去做
[00:06:16,399 -> 00:06:18,560] 只能看到那些技術上的東西
[00:06:18,560 -> 00:06:20,399] 就很難看到那些軟實力
[00:06:20,399 -> 00:06:22,319] 或者說是那些看不見摸不著
[00:06:22,319 -> 00:06:23,639] 充滿不確定性的
[00:06:23,639 -> 00:06:26,079] 比如說影響力啊network这样的东西
[00:06:26,079 -> 00:06:28,399] 对对对 尤其是你的很多节目
[00:06:28,399 -> 00:06:30,959] 其实我觉得 这是为什么我很喜欢
[00:06:30,959 -> 00:06:32,120] 柯代表的节目
[00:06:32,120 -> 00:06:36,199] 一个原因就是在跟他介绍一个软实力
[00:06:36,199 -> 00:06:37,519] 或者说影响力
[00:06:37,519 -> 00:06:40,279] 最终你能不能做成一件事情
[00:06:40,279 -> 00:06:42,720] 多数还不是靠自己
[00:06:42,720 -> 00:06:44,160] 还是靠别人
[00:06:44,160 -> 00:06:48,000] 比如说我有一个老同学
[00:06:48,000 -> 00:06:50,000] 以前也在科技长知道
[00:06:50,000 -> 00:06:52,000] 做过好几次节目
[00:06:52,000 -> 00:06:57,000] 特斯拉的一个副总裁
[00:06:57,000 -> 00:07:00,000] 然后每次我们聊到特斯拉的时候
[00:07:00,000 -> 00:07:02,000] 他聊到的一个观点就是
[00:07:02,000 -> 00:07:07,680] 并不是最好的学生以后就是你的老板 往往是一个
[00:07:07,939 -> 00:07:12,540] 往往是那个 一个一个学习不一定是顶尖的 但是他的
[00:07:12,800 -> 00:07:17,399] 他能够让别人给你干活 因为他用自己的影响力 他用自己的感召力
[00:07:17,660 -> 00:07:19,720] 去让你干活 而不是说是
[00:07:19,959 -> 00:07:21,240] 因为我是你的老板
[00:07:21,500 -> 00:07:23,040] 你一定要给我 当然了
[00:07:23,300 -> 00:07:25,040] 马斯克今天是已经是老板了
[00:07:25,040 -> 00:07:27,480] 但是他当年一路走来并不是说
[00:07:27,480 -> 00:07:30,319] 只是因为他是首富人你才给他干活
[00:07:30,319 -> 00:07:33,680] 而是因为他自己的一些感召力
[00:07:33,680 -> 00:07:37,279] 我觉得这些方面其实都是我们应该要去
[00:07:37,279 -> 00:07:39,120] 至少是要有这么一个理念
[00:07:39,120 -> 00:07:41,160] 一个觉悟去思考
[00:07:41,680 -> 00:07:44,920] 我觉得network influence
[00:07:44,920 -> 00:07:47,360] 包括这里边对身边人的influence
[00:07:47,360 -> 00:07:49,680] 和对整个在行业里边的影响力
[00:07:49,680 -> 00:07:52,319] 然后包括你的leadership
[00:07:52,319 -> 00:07:53,720] 都是很大的话题
[00:07:53,720 -> 00:07:55,560] 我知道你今天时间是很有限的
[00:07:55,560 -> 00:07:57,000] 所以说我们这个话题
[00:07:57,000 -> 00:07:58,480] 我想邀请你回来以后
[00:07:58,480 -> 00:07:59,839] 再来deep dive一下
[00:07:59,839 -> 00:08:01,839] 但是我今天有一个点
[00:08:01,839 -> 00:08:03,160] 我觉得很想了解
[00:08:03,160 -> 00:08:08,579] 就是前段时间也邀請我一起上SXSW
[00:08:08,579 -> 00:08:12,160] 就是Southwest這樣的一個conference
[00:08:12,160 -> 00:08:16,500] 而且我們其實是花了很多的時間精力去拉票
[00:08:16,500 -> 00:08:19,819] 這件事情我覺得它其實 就為什麼呢?
[00:08:19,819 -> 00:08:22,720] 為什麼你如此看重這件事情呢?
[00:08:22,720 -> 00:08:26,000] 對 這其實也是一個
[00:08:26,000 -> 00:08:28,000] 當然這不是一個絕對的
[00:08:28,000 -> 00:08:31,000] 但這也是一個眾多影響力的一部分
[00:08:31,000 -> 00:08:35,000] 這是一個也是一個全國非常有名的一個conference
[00:08:35,000 -> 00:08:38,000] 我待會可以說一個花絮
[00:08:38,000 -> 00:08:40,000] 但是我也想問問你
[00:08:40,000 -> 00:08:42,000] 你為什麼那麼就就欣然答應了
[00:08:42,000 -> 00:08:44,000] 你覺得這個conference
[00:08:44,000 -> 00:08:46,200] 作為一個我的一個panelist對你的attractiveness是什麼你为什么就欣然答应了你觉得这个会议作为我的一个评论者
[00:08:46,200 -> 00:08:49,000] 对你的吸引力是什么
[00:08:49,000 -> 00:08:52,799] 首先徐老师你说任何事情我肯定就是无脑答应
[00:08:52,799 -> 00:08:55,799] 因为我自己在这个就意识到了
[00:08:55,799 -> 00:09:00,399] 有一个负责人或者说是有一个前辈能愿意带你
[00:09:00,399 -> 00:09:03,000] 这件事情是一个非常非常值得
[00:09:03,000 -> 00:09:04,399] 就是这非常难得
[00:09:04,399 -> 00:09:06,240] 然后你应该非常珍惜的事情。
[00:09:06,240 -> 00:09:09,080] 所以我对你说的东西都是先say yes,
[00:09:09,080 -> 00:09:10,480] 然后再去figure out怎么做。
[00:09:10,480 -> 00:09:14,720] 但是我之后也去了解了这个就是这个conference,
[00:09:14,720 -> 00:09:18,399] 我发现它真的是美国一个很主流的conference,
[00:09:18,399 -> 00:09:20,759] 和其实华人很难有机会参与到的。
[00:09:20,759 -> 00:09:23,480] 比如说我们华人经常有机会去参与到各种,
[00:09:23,480 -> 00:09:27,480] 比如学术的顶会,會 對吧 我們可以去submit很多paper
[00:09:27,480 -> 00:09:32,440] 但是這種就是它是一個幾十萬人參加 維持好多天
[00:09:32,440 -> 00:09:35,840] 嘉賓可能是Michelle Obama這樣的這種真正的
[00:09:35,840 -> 00:09:40,240] man street美國人 然後他參與的這個
[00:09:40,240 -> 00:09:44,159] 就是在上面討論的話題又是美國人特別感興趣的話題
[00:09:44,159 -> 00:09:47,639] 我覺得華人能上到這樣的一个panel是很不容易的
[00:09:47,639 -> 00:09:52,759] 那我也真的很希望无论我有多少能拉来多少票
[00:09:52,759 -> 00:09:56,720] 我也希望能帮助我们一起上到这样一个conference上去
[00:09:56,720 -> 00:10:00,000] 对这个conference有一个很好玩的一个环节
[00:10:00,000 -> 00:10:04,039] 就是不会因为你的知名度怎么样就让你去
[00:10:04,039 -> 00:10:07,620] 任何一个人都需要大家公眾的投票
[00:10:07,620 -> 00:10:09,320] 這還不說
[00:10:09,320 -> 00:10:11,159] 他不告訴你有多少人投票
[00:10:11,159 -> 00:10:13,299] 就比如說我們這個投票馬上就結束了
[00:10:13,299 -> 00:10:15,360] 這個週末就快結束了
[00:10:15,360 -> 00:10:17,620] 然後他不告訴你
[00:10:17,620 -> 00:10:18,659] 你是第一名
[00:10:18,659 -> 00:10:19,620] 第一千名
[00:10:19,620 -> 00:10:21,220] 第五十名
[00:10:21,220 -> 00:10:23,820] 所以說他是要大家持續給拉票
[00:10:23,820 -> 00:10:27,679] 所以說我們也是在這邊非常希望大家给我们拉票
[00:10:28,179 -> 00:10:32,799] 说起这个我给大家讲一个花絮 这是一个蛮有趣的 就像这个
[00:10:33,059 -> 00:10:37,399] Southwest为什么有影响力很大 我给大家讲一个小的故事
[00:10:37,919 -> 00:10:42,019] 大概一年多前 对吧 就是那个硅谷银行 大约是
[00:10:42,259 -> 00:10:45,120] 去年的三月份的时候
[00:10:46,399 -> 00:10:46,659] 3 4月份的时候
[00:10:47,679 -> 00:10:47,940] 我记得是春天的时候
[00:10:48,700 -> 00:10:48,960] 就一下子
[00:10:50,500 -> 00:10:50,759] almost要倒闭掉了
[00:10:52,799 -> 00:10:53,320] 那场风波就几天时间
[00:10:54,600 -> 00:10:54,840] 那几天时间
[00:10:56,899 -> 00:10:57,159] 正好就是Southwest这个一个
[00:10:59,960 -> 00:11:00,220] 一个conference的一个时间点
[00:11:02,779 -> 00:11:03,299] 为什么这个时间点我记得特别清楚呢
[00:11:05,480 -> 00:11:07,080] 因为有无数个CEO给我打电话说我是不是要把钱取出来
[00:11:07,080 -> 00:11:08,639] 那跟他讲要取不取
[00:11:08,639 -> 00:11:12,000] 但我人不在硅谷
[00:11:12,000 -> 00:11:14,399] 这边又没有一个硅谷银行的
[00:11:14,399 -> 00:11:16,480] 一个分隔离办公室
[00:11:16,480 -> 00:11:17,440] 大家都傻眼了
[00:11:17,440 -> 00:11:19,240] 我是要飞回来还是不飞回来
[00:11:19,240 -> 00:11:21,919] 因为这就其实硅谷银行这几件事情
[00:11:21,919 -> 00:11:24,200] 就几个小时就一下子起来了
[00:11:24,200 -> 00:11:28,559] 你好像就是甚至于你如果接下去6個小時不取錢
[00:11:28,559 -> 00:11:31,440] 就錢拿不到 但我飛過來又要6個小時
[00:11:31,440 -> 00:11:35,879] 所以說這件事情背後其實有很多很多的
[00:11:35,879 -> 00:11:39,559] 矽谷的那個創業者CEO都仍在那邊
[00:11:39,559 -> 00:11:42,200] 所以說我印象特別的深刻
[00:11:42,200 -> 00:11:46,039] 對 就是它不光是一個音樂電影
[00:11:46,039 -> 00:11:49,340] 也是科技 然後矽谷的人也是很看重
[00:11:49,340 -> 00:11:50,539] 從這裡就能看出來
[00:11:50,539 -> 00:11:53,139] 就是我們華人真的是很注重
[00:11:53,139 -> 00:11:54,679] 比如說有沒有發AI頂會
[00:11:54,679 -> 00:11:57,080] 但是我相信很多人可能是沒有聽說過
[00:11:57,080 -> 00:11:59,179] 這個Southwest的
[00:11:59,179 -> 00:12:02,080] 所以說但是矽谷的圈子
[00:12:02,080 -> 00:12:05,000] 大家很明顯知道这是一个非常重要的事情
[00:12:05,000 -> 00:12:07,000] 大家会继续参与它
[00:12:07,000 -> 00:12:09,000] 对 我这一次邀请了你
[00:12:09,000 -> 00:12:13,000] 再邀请了一个安全界的另外一个
[00:12:13,000 -> 00:12:15,000] Founder CEO Ben Coleman
[00:12:15,000 -> 00:12:19,000] 他做的一个公司是Deepfake Detection
[00:12:19,000 -> 00:12:23,000] 就是用AI来仿制
[00:12:23,000 -> 00:12:27,039] 不管是视频啊 图片的那些假的圖片
[00:12:27,039 -> 00:12:29,759] 去年有過一次一張假的圖片
[00:12:29,759 -> 00:12:33,799] 使得華爾街一下子就幾秒鐘之內
[00:12:33,799 -> 00:12:36,159] 就一千億市值的掉下來
[00:12:36,159 -> 00:12:39,279] 就是因為一個有人說是不是五角大樓
[00:12:39,279 -> 00:12:40,679] 被炸了一張假的照片
[00:12:40,679 -> 00:12:43,679] 當然了再過了可能幾秒鐘也就恢復了
[00:12:43,679 -> 00:12:47,940] 但是這種事情其實是需要有一個安全的一個公司
[00:12:47,940 -> 00:12:50,240] 或者說技術去detect
[00:12:50,240 -> 00:12:52,539] 他是這家公司的founder CEO
[00:12:52,539 -> 00:12:55,100] 然後今年也在美國最大的
[00:12:55,100 -> 00:12:58,940] 全球最大的安全會議的一個創新得了第一名
[00:12:58,940 -> 00:13:02,779] 所以現在是一個當轟炸之機
[00:13:02,779 -> 00:13:08,320] 希望我們的客代表給我們那個都是那個讓我們這個session
[00:13:08,320 -> 00:13:10,899] 能夠衝出去
[00:13:10,899 -> 00:13:12,580] 能夠得到大家的投票
[00:13:12,580 -> 00:13:14,899] 也能夠真正的在這個大會上
[00:13:14,899 -> 00:13:20,419] 跟幾十萬的聽眾觀眾們跟大家去交流
[00:13:20,419 -> 00:13:23,139] 好 我在這最後想offer
[00:13:23,139 -> 00:13:25,399] 幫助我們投票的同学一个回馈
[00:13:25,399 -> 00:13:28,600] 大家投票其实是一个需要花时间精力的事情
[00:13:28,600 -> 00:13:32,600] 我最近不是开了一个社区吗?那个社区是有门槛的社区
[00:13:32,600 -> 00:13:37,200] 我想给所有投票的同学你都可以填一个你的截图
[00:13:37,200 -> 00:13:40,600] 然后我们会送社区的三个月的会员
[00:13:40,600 -> 00:13:50,759] 然后我也想请徐老师你来这社区里边有机会跟大家互动一下,然后大家向你直接提出问题,跟大家建立一下这样的联系。
[00:13:51,240 -> 00:13:57,360] 不知道可不可以,可以啊,一定一定啊,不但要过来互动,而且我也要给大家一定的promotion。
[00:13:57,360 -> 00:14:08,440] 我们公司其中有一个产品是life lock,就是保护你的身份,我前提到了这是非常非常重要的我们有各种各样的产品其中有一个产品就是给你身份的保护保险
[00:14:08,440 -> 00:14:09,200] 各方面的
[00:14:09,200 -> 00:14:12,039] 大约一年的价值是339块钱
[00:14:12,039 -> 00:14:17,399] 我这边可以给你五个抽奖的名额
[00:14:17,399 -> 00:14:19,960] 相当于是1500多块钱
[00:14:19,960 -> 00:14:23,039] 1600多块钱的一个价值的一个lottery
[00:14:23,039 -> 00:14:24,759] 在你的社区里面
[00:14:24,759 -> 00:14:28,700] 就是给投票的同學一個回饋
[00:14:28,700 -> 00:14:29,700] 謝謝你們
[00:14:29,700 -> 00:14:31,000] 好的 謝謝徐老師
[00:14:31,000 -> 00:14:33,299] 然後具體投票的方式和抽獎的方式
[00:14:33,299 -> 00:14:35,100] 我都會放在視頻後面
[00:14:35,100 -> 00:14:36,700] 那今天謝謝徐老師你的時間
[00:14:36,700 -> 00:14:38,500] 對 謝謝柯代表
[00:14:38,500 -> 00:14:41,200] 不但幫我那個給我推薦人
[00:14:41,200 -> 00:14:42,399] 推薦Rockstar
[00:14:42,399 -> 00:14:44,299] 然後拉票 一起拉票
[00:14:44,299 -> 00:14:47,299] 但其實更重要的是給整個這個社區
[00:14:47,299 -> 00:14:50,440] 華人社區這個職場的一個貢獻
[00:14:50,440 -> 00:14:51,600] 非常謝謝你
[00:14:51,600 -> 00:14:52,960] 是的 我們做這個社區
[00:14:52,960 -> 00:14:55,519] 也是希望我們把我們做出來的一些東西
[00:14:55,519 -> 00:14:56,840] 闖出來的一些東西
[00:14:56,840 -> 00:14:59,200] 然後能更多的回饋和分享給大家
[00:14:59,200 -> 00:15:01,320] 不管是經驗還是機會
[00:15:01,320 -> 00:15:03,200] 最後再謝謝大家投票
[00:15:03,200 -> 00:15:04,320] 謝謝大家投票
[00:15:04,320 -> 00:15:06,320] 拜拜
