[00:00:00,000 -> 00:00:03,680] 独立董事来你也要给他一定的就是说报酬嘛
[00:01:07,680 -> 00:01:09,799] 他们很多的这种奋斗史啊
[00:01:09,799 -> 00:01:13,400] 对最近就是OpenEye这件事情
[00:01:13,400 -> 00:01:14,480] 出来了以后
[00:01:14,480 -> 00:01:15,840] 也让很多人知道了
[00:01:15,840 -> 00:01:17,400] 其实资本和创意者之间
[00:01:17,400 -> 00:01:18,799] 是有很多狗血故事的
[00:01:18,799 -> 00:01:20,799] 但是我们在讨论的时候就发现
[00:01:20,799 -> 00:01:21,719] 我们在一个群里面
[00:01:21,719 -> 00:01:23,120] 然后大家讨论的时候就发现
[00:01:23,120 -> 00:01:27,239] 很多人会觉得这个事很新鲜或者说很少发生
[00:01:27,239 -> 00:01:31,480] 其实投资人或者说是对这个公司治理比较了解的人
[00:01:31,480 -> 00:01:33,680] 就知道这种事情就是太常见不过了
[00:01:33,680 -> 00:01:34,519] 天天发生
[00:01:34,519 -> 00:01:36,599] 怎么说呢
[00:01:36,599 -> 00:01:39,680] 就是资本和创业者之间
[00:01:39,680 -> 00:01:41,680] 它是一种相辅相成
[00:01:41,680 -> 00:01:43,319] 然后又互相监督
[00:01:43,319 -> 00:01:45,920] 有的时候也会有一些不同的意见和
[00:01:45,920 -> 00:01:47,719] conflict的这种一个
[00:01:47,719 -> 00:01:49,519] 我怎么说一个ecosystem
[00:01:49,519 -> 00:01:51,400] 那他们之间的这种关系
[00:01:51,400 -> 00:01:53,400] 它是需要有一定的法律法规
[00:01:53,400 -> 00:01:54,519] 就是corporate governance
[00:01:54,519 -> 00:01:56,319] 来去监督和保护的
[00:01:56,319 -> 00:01:57,640] 这样的话呢
[00:01:57,640 -> 00:02:00,200] 才能够让这个公司能够去
[00:02:00,200 -> 00:02:02,640] 沿着一个比较正确的方向
[00:02:02,640 -> 00:02:04,040] 不脱轨的去成长
[00:02:04,040 -> 00:02:06,359] 我觉得这是一个资本创业者之间
[00:02:06,359 -> 00:02:08,639] 再加上董事会架构这么一个初心吧
[00:02:08,639 -> 00:02:11,240] 好多高情商的说法呀
[00:02:11,240 -> 00:02:13,080] 我在下面给你加一堆解读
[00:02:13,080 -> 00:02:16,280] 你知道昨天加一堆地形上解读
[00:02:16,280 -> 00:02:17,599] 我的地形上解读
[00:02:17,599 -> 00:02:19,439] 但是昨天你知道我跟徐老师聊的时候
[00:02:19,439 -> 00:02:21,199] 他其实给你prompt很好
[00:02:21,199 -> 00:02:24,000] 他说就是公司治理非常的重要对创业者
[00:02:24,000 -> 00:02:27,000] 然后他说他相信他说好的lawyer非常重要
[00:02:27,000 -> 00:02:30,000] 然后他说所有的这个条款就是你的term sheet
[00:02:30,000 -> 00:02:33,000] 和公司的battle里面全都有定时炸弹
[00:02:33,000 -> 00:02:36,000] 只不过是多少和这个影响对吧很同意
[00:02:36,000 -> 00:02:37,000] 是的
[00:02:37,000 -> 00:02:38,000] 好嘞
[00:02:38,000 -> 00:02:40,000] 那我们今天就从
[00:02:40,000 -> 00:02:42,000] 先介绍几个故事吧
[00:02:42,000 -> 00:02:45,000] 讲几个故事来帮大家更具象的理解一下
[00:02:45,000 -> 00:02:50,000] 资本和创业者之间到底有什么样的爱恨情仇
[00:02:50,000 -> 00:02:53,000] 我们先不要从小的一个故事开始讲起
[00:02:53,000 -> 00:02:56,000] 我觉得先从一个大的逻辑框架讲起
[00:02:56,000 -> 00:03:00,000] 其实我们硅谷这些创业者的初心
[00:03:00,000 -> 00:03:02,000] 硅谷这么有魅力
[00:03:02,000 -> 00:03:06,400] 就是因为创业者有梦想就可以来去实现他的梦想
[00:03:06,400 -> 00:03:11,800] 凭他的真才实学本事凭他的技术能力等等去架构一个公司对吧
[00:03:11,800 -> 00:03:15,800] 但是你去做这件事情你是需要钱的
[00:03:15,800 -> 00:03:19,400] 那么谁给你钱呢就是这些VC投资人来给你钱对不对
[00:03:19,400 -> 00:03:22,000] 可是这些钱他不可能是白给你的对吧
[00:03:22,000 -> 00:03:25,280] 因为你创办一个公司你需要有监督
[00:03:25,280 -> 00:03:28,199] 要不然的话这个创始人如果他没有什么经验
[00:03:28,199 -> 00:03:29,000] 他很green
[00:03:29,000 -> 00:03:30,520] 他把公司做砸了怎么办
[00:03:30,520 -> 00:03:32,280] 他在他在成长的过程中
[00:03:32,280 -> 00:03:33,800] 他会遇到很多的困难
[00:03:33,800 -> 00:03:34,639] 他也需要
[00:03:34,639 -> 00:03:37,400] 嗯这些有经验的投资人来帮助他
[00:03:37,400 -> 00:03:39,159] 他们互相帮助互相成就
[00:03:39,159 -> 00:03:41,960] 其实你从一个积极的层面来看
[00:03:41,960 -> 00:03:46,000] 就是一个好的case就是很有才华
[00:03:46,000 -> 00:03:48,000] 技术能力很强
[00:03:48,000 -> 00:03:50,000] 然后就是很有正能量
[00:03:50,000 -> 00:03:52,000] 非常能干 hard working的一个创业者
[00:03:52,000 -> 00:03:54,000] 他需要钱
[00:03:54,000 -> 00:03:56,000] 然后投资人给他钱
[00:03:56,000 -> 00:03:58,000] 然后这个投资人呢也刚好就是非常懂得公司的运作规则
[00:03:58,000 -> 00:04:00,000] 知道怎么把公司从零到一的往上涨
[00:04:00,000 -> 00:04:02,000] 从一到无穷大的去给他扩展
[00:04:02,000 -> 00:04:04,000] 这是一个比较理想的情况
[00:04:04,000 -> 00:04:06,280] 这就是为什么就是说从0到1的往上涨 从1到无穷大的去给它扩展这是一个比较理想的情况
[00:04:06,280 -> 00:04:10,879] 这就是为什么就是说 如果一个成长型的创业者
[00:04:10,879 -> 00:04:12,879] 加上它如果是culturable
[00:04:12,879 -> 00:04:17,360] 再加上一个匹配一个就是非常有经验的
[00:04:17,360 -> 00:04:21,480] 能够理解这个投资人的创业者的投资人加上董事会
[00:04:21,480 -> 00:04:24,480] 那么这个公司它就会是一个正向的发展
[00:04:24,480 -> 00:04:26,000] 因为一个公司成长过程中
[00:04:26,000 -> 00:04:28,600] 它会遇到太多的困难挫折和坑
[00:04:28,600 -> 00:04:32,000] 所以它需要一个很好的董事会去扶持加持
[00:04:32,000 -> 00:04:33,399] 一路陪伴它成长
[00:04:33,399 -> 00:04:36,100] 我们经常会听说就是财务投资人
[00:04:36,100 -> 00:04:37,300] 或者战略投资人区别
[00:04:37,300 -> 00:04:39,500] 然后像你刚刚说的就是这个董事会
[00:04:39,500 -> 00:04:41,199] 除了在提供钱以外
[00:04:41,199 -> 00:04:44,899] 其实你更强调的是对它的帮它避各种坑
[00:04:44,899 -> 00:04:46,199] 加持它的成长帮助它成长其实我现在在我现在所在的创�以外,其实你更强调的是帮他避各种坑,加持他的成长
[00:04:46,199 -> 00:04:47,040] 帮助他成长
[00:04:47,040 -> 00:04:50,319] 其实我现在在我现在所在的创业公司也看到就是董事会的meeting
[00:04:50,319 -> 00:04:52,519] 董事会其实给了很多的建议
[00:04:52,519 -> 00:04:53,800] 给了很多很多建议
[00:04:53,800 -> 00:04:58,040] 对,所以说一个好的董事会绝对不是只是给钱这么简单
[00:04:58,040 -> 00:04:59,240] 绝对不是给钱这么简单
[00:04:59,240 -> 00:05:00,879] 也不是去炒创始人这么
[00:05:00,879 -> 00:05:05,100] 绝对不是,我觉得这绝对不是投资人和董事会的初心
[00:05:05,100 -> 00:05:07,860] 他一定是想说我给创始人一些
[00:05:08,199 -> 00:05:09,259] 呃帮助
[00:05:09,399 -> 00:05:10,800] 然后给他一些指点
[00:05:11,060 -> 00:05:12,600] 如果这个创始人犯错误的时候
[00:05:12,600 -> 00:05:13,899] 或方向不一致的时候
[00:05:14,100 -> 00:05:15,959] 我去及时的把他拨乱反正
[00:05:15,959 -> 00:05:17,259] 应该给纠正回来
[00:05:17,339 -> 00:05:19,300] 然后让这个公司更好的成长
[00:05:19,360 -> 00:05:21,860] 因为董事会他肩负的责任是
[00:05:22,060 -> 00:05:23,899] 就是 fiduciary responsibility
[00:05:23,899 -> 00:05:25,759] 在英语中是Fiduciary
[00:05:25,759 -> 00:05:26,959] 在中文怎么翻译我想想
[00:05:26,959 -> 00:05:28,000] 就是监督权
[00:05:28,000 -> 00:05:31,199] 监督 并且对所有的投资人负责
[00:05:31,199 -> 00:05:34,399] 因为你想你这个公司可能有二三十个投资人
[00:05:34,399 -> 00:05:37,759] 对吧 你从种子轮到A轮到B轮到最后成长壮大
[00:05:37,759 -> 00:05:39,680] 你这中间不可能就几个投资人
[00:05:39,680 -> 00:05:43,199] 你可能最后有的融资规模比较大的
[00:05:43,199 -> 00:05:46,000] 你看他的cap table上都会有几十个投资人
[00:05:46,000 -> 00:05:49,000] 但是董事会他一般就只有大概
[00:05:49,000 -> 00:05:52,000] 一般是常见是四到五个人
[00:05:52,000 -> 00:05:54,000] 大连可能是五到七个人
[00:05:54,000 -> 00:05:57,000] 就这么几个人的董事会他要去负担起
[00:05:57,000 -> 00:05:59,000] 监督整个公司的职责
[00:05:59,000 -> 00:06:01,000] 他是代表了整个投资人的利益
[00:06:01,000 -> 00:06:03,000] 所以他身上的任务是很重的
[00:06:03,000 -> 00:06:26,399] 就是说我既要去指导这个创业者去好好把公司做好,又要去代表整个投资人的利益,不然的话很多投资人的利益可能在这个中间就,你知道因为人性他不是说完全是善的嘛,可能比如有的公司,这个财务总监,没有好的财务总监,那可能创始人就把钱就是钱花光啦撕穿啦 也不知道怎么回事儿啦
[00:06:26,399 -> 00:06:28,000] 所以这个董事会一定要起到一个
[00:06:28,000 -> 00:06:29,120] 好好的监督公司
[00:06:29,120 -> 00:06:31,279] 这样才能对得起这些投资人的钱嘛
[00:06:31,279 -> 00:06:33,839] 才能够给他们带来正向的return
[00:06:33,839 -> 00:06:35,680] 对 就是首先大家都是
[00:06:35,680 -> 00:06:36,879] 奔着一个好的方向去
[00:06:36,879 -> 00:06:39,040] 中间既然有利益肯定会有博弈
[00:06:39,040 -> 00:06:40,160] 会一定会有博弈
[00:06:40,160 -> 00:06:41,199] 都是很正常的事儿
[00:06:41,199 -> 00:06:42,399] 就是大家不要用一个
[00:06:42,399 -> 00:06:43,759] 片面的角度去解读
[00:06:43,759 -> 00:06:47,480] 或者说就带着一个马上切上了好人壞人的標籤
[00:06:47,480 -> 00:06:49,680] 去帶入這個故事
[00:06:49,680 -> 00:06:51,560] 就是要理解這件事情的複雜
[00:06:51,560 -> 00:06:53,560] 但是我這有一個問題
[00:06:53,560 -> 00:06:55,560] 就是現在有越來越多的公司
[00:06:55,560 -> 00:06:57,560] 它是這個創始人有controlling rights
[00:06:57,560 -> 00:07:03,240] 然後在你看來現在在矽谷這幾年是一個常見現象
[00:07:03,240 -> 00:07:05,000] 還是一個不常见现象
[00:07:05,000 -> 00:07:09,199] 就是董事会对创始人的监管权利到底是一些
[00:07:09,199 -> 00:07:11,079] 比如说你是不是在偷税漏税啊
[00:07:11,079 -> 00:07:13,000] 你是不是在这个做假账啊
[00:07:13,000 -> 00:07:16,800] 还是他们能决定这个公司发展的方向
[00:07:16,800 -> 00:07:20,399] 我觉得取决于创始人的博弈能力和他的融资能力
[00:07:20,399 -> 00:07:23,079] 还有他对整个公司的把控能力
[00:07:23,079 -> 00:07:25,800] 那比如说如果这个创始人他在创业的一开始
[00:07:25,800 -> 00:07:27,399] 他就是一个连续创业者
[00:07:27,399 -> 00:07:29,199] 他已经有成功的记录
[00:07:29,199 -> 00:07:32,600] 或者说他自带资本进来
[00:07:32,600 -> 00:07:33,699] 就是实力雄厚
[00:07:33,699 -> 00:07:35,000] 有很多的这个自己
[00:07:35,000 -> 00:07:37,800] 比如说自己本身就很有钱
[00:07:37,800 -> 00:07:40,000] 他的亲朋好友有一个强大的朋友
[00:07:40,000 -> 00:07:41,399] 居然给他很多钱
[00:07:41,399 -> 00:07:43,199] 那可能他在一开始创业的时候
[00:07:43,199 -> 00:07:44,600] 他没有被过度的稀释
[00:07:44,600 -> 00:07:46,000] 他融资的时候就他就不需要去对他成立了朋友圈给他很多钱那可能他在一开始创业的时候他没有被过度的稀释
[00:07:46,000 -> 00:07:48,000] 他融资的时候就
[00:07:48,000 -> 00:07:50,000] 他就不需要去求着资本
[00:07:50,000 -> 00:07:52,000] 就等于说他的掌控权
[00:07:52,000 -> 00:07:54,000] 资金掌控权一直在自己手上
[00:07:54,000 -> 00:07:56,000] 这种情况下这种创始人可能就不会把权力
[00:07:56,000 -> 00:07:58,000] 过多的让渡给董事会
[00:07:58,000 -> 00:08:00,000] 他也可以在融资的时候说
[00:08:00,000 -> 00:08:02,000] 我不让渡给
[00:08:02,000 -> 00:08:04,000] 我就是我的董事会
[00:08:04,000 -> 00:08:06,600] 一直都是比如说common shareholder就是创始人
[00:08:06,600 -> 00:08:08,600] 你有席位但是你没有voting rights
[00:08:08,600 -> 00:08:10,600] 一定的voting rights还是要给的
[00:08:10,600 -> 00:08:15,600] 但是可能是创始人这边就是管理团队占据董事会绝大多数的席位
[00:08:15,600 -> 00:08:18,000] 然后投资人占据少的席位
[00:08:18,000 -> 00:08:21,600] 这个是在早期的时候,公司成长早期的时候
[00:08:21,600 -> 00:08:24,600] 尽量还是把这个控制权给创始人
[00:08:24,600 -> 00:08:25,279] 那make sense对,但是到了比如说成长到期的时候尽量还是把这个控制权给创始人那make sense
[00:08:25,279 -> 00:08:28,639] 对 但是到了比如说成长到B轮以后
[00:08:28,639 -> 00:08:30,800] 那这个时候你需要更多的钱了
[00:08:30,800 -> 00:08:34,720] 你需要去融去就是说更多的投资人上你的cap table
[00:08:34,720 -> 00:08:37,919] 一般我们看到的现象就是到了B轮以后
[00:08:37,919 -> 00:08:43,919] 公司会相对的把这个董事会的这个控制权
[00:08:43,919 -> 00:08:45,940] 会逐渐的过渡到投资人的身上去所以可能你会发现你的董事会的这个控制权会逐渐的过渡到投资人的身上去
[00:08:45,940 -> 00:08:49,120] 所以可能你会发现你的董事会的table上面
[00:08:49,120 -> 00:08:52,080] common shareholder大概是两票左右
[00:08:52,080 -> 00:08:54,080] 然后包括创始人
[00:08:54,080 -> 00:08:58,620] 然后可能两票以上两票三票之间是给了这个投资人
[00:08:58,620 -> 00:09:00,000] 这个是很正常的
[00:09:00,000 -> 00:09:02,559] 那么你要去控制好这个平衡呢
[00:09:02,559 -> 00:09:05,799] 那可能就是你会加一个独立董事的席位
[00:09:05,799 -> 00:09:09,200] 那这个独立董事一般就是跟公司没有什么利益关系
[00:09:09,200 -> 00:09:10,200] 他不是投资人
[00:09:10,200 -> 00:09:11,159] 他也不是创始人
[00:09:11,159 -> 00:09:12,320] 他也不是管理层
[00:09:12,320 -> 00:09:15,120] 他是从一个业界请来的一个比较有经验的人
[00:09:15,120 -> 00:09:18,000] 就取决于你公司做的是什么方向
[00:09:18,000 -> 00:09:19,559] 做的什么样的创业类型
[00:09:19,559 -> 00:09:23,960] 那你会从去业界找一个大佬来做你的这个独立董事
[00:09:23,960 -> 00:09:26,200] 那这个独立董事他就可能会不偏不倚
[00:09:26,200 -> 00:09:28,879] 我既不偏向呃创始人这边
[00:09:28,879 -> 00:09:31,639] 也不会偏向过度对偏向投资人这边
[00:09:31,639 -> 00:09:34,080] 所以当一旦公司出现矛盾的时候
[00:09:34,080 -> 00:09:38,320] 那这个独立董事他就会起到一个比较关关键性的这个
[00:09:38,320 -> 00:09:40,759] judge 就是这个选票权的作用
[00:09:40,759 -> 00:09:43,279] 因为就是说当你要voting一件事情
[00:09:43,279 -> 00:09:44,879] 有游戏两边出现分歧的时候
[00:09:44,879 -> 00:09:47,279] 有的时候这个独立董事这一票就会决定说
[00:09:47,279 -> 00:09:49,080] 有点像那种部落长老的感觉
[00:09:49,080 -> 00:09:51,279] 对对对 我的这一票往哪走
[00:09:51,279 -> 00:09:54,919] 然后通常这个独立董事都会尽量的公正客观的
[00:09:54,919 -> 00:09:57,200] 我希望就是为什么设立这个独立董事
[00:09:57,200 -> 00:10:00,840] 就是希望他能够在出现分歧的时候公正客观的做出一个决断
[00:10:00,840 -> 00:10:05,840] 嗯 因为他能这么做是因为他有这样的reputation和业界地位
[00:10:05,840 -> 00:10:07,320] 对他有经验和业界地位
[00:10:07,320 -> 00:10:10,000] 你会发现就是公司请独立董事
[00:10:10,000 -> 00:10:12,360] 这个独立董事一般都是有一定的track record的
[00:10:12,360 -> 00:10:14,519] 他可能在很多公司做过独立董事
[00:10:14,519 -> 00:10:15,360] 做过董事
[00:10:15,399 -> 00:10:16,919] 那么他的reference check
[00:10:16,919 -> 00:10:18,039] 就是他的这个
[00:10:18,080 -> 00:10:19,080] 呃就是
[00:10:19,639 -> 00:10:20,960] reference check中文怎么说
[00:10:20,960 -> 00:10:21,480] 哈哈哈
[00:10:21,480 -> 00:10:22,759] 就是大家的推荐吧
[00:10:22,759 -> 00:10:23,799] 推荐这些对的
[00:10:23,799 -> 00:10:24,759] 引荐都非常好
[00:10:24,759 -> 00:10:26,080] 口碑非常非常好
[00:10:26,080 -> 00:10:26,960] 然后这样的人
[00:10:26,960 -> 00:10:29,039] 我觉得你请这样的人上公司做独立
[00:10:29,039 -> 00:10:30,639] 董事是相对比较安全的
[00:10:30,639 -> 00:10:31,320] 嗯
[00:10:31,320 -> 00:10:31,799] 嗯
[00:10:31,799 -> 00:10:34,879] 那其实独立董事一般不会在公司上股票
[00:10:34,879 -> 00:10:35,720] 取呃
[00:10:35,720 -> 00:10:37,320] 这可要看就看你公司
[00:10:37,320 -> 00:10:38,600] 不是一个必要条件
[00:10:38,600 -> 00:10:39,559] 呃不是个必要条
[00:10:39,559 -> 00:10:40,240] 但是
[00:10:40,240 -> 00:10:42,519] 独立董事来你也要给他一定的
[00:10:42,519 -> 00:10:44,120] 就是说报酬嘛
[00:10:44,120 -> 00:10:46,500] 要不就给他钱要不就给他股票
[00:10:46,500 -> 00:10:50,100] 我觉得给股票可能是一个比较好的激励机制
[00:10:50,100 -> 00:10:52,100] 这样这个独立董事的心就是说
[00:10:52,100 -> 00:10:53,100] interest aligned
[00:10:53,100 -> 00:10:55,899] 对就aligned的就是说我公司这个公司好好发展
[00:10:55,899 -> 00:10:57,299] 一般会比多少啊好奇一下
[00:10:57,299 -> 00:11:00,100] 这个取决于独立董事在什么阶段进来
[00:11:00,100 -> 00:11:01,299] 一轮以后吧
[00:11:01,299 -> 00:11:04,899] 一轮以后的话一般肯定不到0.5个点
[00:11:04,899 -> 00:11:06,200] 比如说0.0几个点
[00:11:06,200 -> 00:11:06,879] 0.2
[00:11:06,879 -> 00:11:08,320] 对对对差不多这个点
[00:11:08,320 -> 00:11:09,000] 嗯
[00:11:09,000 -> 00:11:10,960] 基本上就是一个senior员工
[00:11:10,960 -> 00:11:12,480] 就是关键员工
[00:11:12,480 -> 00:11:14,960] 而且肯定也是分好几年investing的嘛
[00:11:14,960 -> 00:11:15,440] 对
[00:11:15,440 -> 00:11:18,559] 然后也取决于说这个独立董事有多帮忙
[00:11:18,559 -> 00:11:20,600] 有的独立董事能给你带来大客户呀
[00:11:20,600 -> 00:11:23,240] 或者是能给你带来下一轮的融资一些钱呢
[00:11:23,240 -> 00:11:23,559] 对
[00:11:23,559 -> 00:11:24,159] 这种情况
[00:11:24,159 -> 00:11:26,000] 这个独立董事就是帮忙很大的话
[00:11:26,000 -> 00:11:27,000] 你可能占股就比较大
[00:11:27,000 -> 00:11:28,000] 有点FA的感觉
[00:11:28,000 -> 00:11:31,000] 就是那种compensation
[00:11:31,000 -> 00:11:33,000] 那要看他有多active
[00:11:33,000 -> 00:11:36,000] 有的独立董事各自身上的就是宝藏不一样嘛
[00:11:36,000 -> 00:11:39,000] 可能有的就是特别的会管公司
[00:11:39,000 -> 00:11:41,000] 有公司管理的套方法论
[00:11:41,000 -> 00:11:43,000] 比如说什么管理咨询出身
[00:11:43,000 -> 00:11:46,000] 能够给创始人很多很多好好建议
[00:11:46,000 -> 00:11:47,399] 可以作为创始人的mentor
[00:11:47,399 -> 00:11:49,639] 那这种独立董事可能会更倾向于
[00:11:49,639 -> 00:11:50,879] 就更亲创始人一点
[00:11:50,879 -> 00:11:53,480] 如果这独立董事是投资人推荐的
[00:11:53,480 -> 00:11:54,799] 可能他就更亲投资人一点
[00:11:54,799 -> 00:11:56,200] 这也是取决于这个
[00:11:56,200 -> 00:11:57,799] 投资人跟创始人
[00:11:57,799 -> 00:12:00,159] 投资人和创始人之间的一种微妙关系
[00:12:00,159 -> 00:12:03,200] 对 这个就是美国的怎么说呢
[00:12:03,200 -> 00:12:06,399] 到了公司高层大家在博弈或者说是
[00:12:06,399 -> 00:12:09,600] connection这个时候的connection其实就变得尤其重要
[00:12:09,600 -> 00:12:11,279] 就是最后其实所有business都是人
[00:12:11,279 -> 00:12:14,840] 我们在打工初级的时候会发现很多事情都是对视的
[00:12:14,840 -> 00:12:17,240] 我们promotion不可能跟人有关
[00:12:17,240 -> 00:12:18,440] 只是跟做的事有关
[00:12:18,440 -> 00:12:20,039] 对但是越往上connection
[00:12:20,039 -> 00:12:21,759] networking的作用就越妙
[00:12:21,759 -> 00:12:23,039] 是的是的
[00:12:23,039 -> 00:12:24,320] 你会不会上一个board
[00:12:24,320 -> 00:12:26,039] 我之前采访也不是采访
[00:12:26,039 -> 00:12:27,639] 就是参加W的
[00:12:27,899 -> 00:12:29,539] 就是现在是ancestryCEO
[00:12:29,539 -> 00:12:30,639] 在这间是Facebook
[00:12:30,639 -> 00:12:33,139] 他就说其实他能进董事会
[00:12:33,139 -> 00:12:34,639] 就是Sandberg有一个机会
[00:12:34,639 -> 00:12:35,539] 然后就想到了他
[00:12:35,539 -> 00:12:38,139] 然后就说你去跟Intuit的CEO聊一下
[00:12:38,399 -> 00:12:39,279] 然后就聊了一下
[00:12:39,279 -> 00:12:40,940] 然后就那个时候他也是一个director
[00:12:40,940 -> 00:12:42,779] 就是有Sandberg管几百个director
[00:12:42,779 -> 00:12:43,639] 就是说是的
[00:12:43,700 -> 00:12:45,639] 就是那一个sponsorship
[00:12:45,639 -> 00:12:47,840] 然后最后在又过了若干年之后
[00:12:47,840 -> 00:12:50,200] 就成为了Intuit的board
[00:12:50,200 -> 00:12:50,799] 对
[00:12:50,799 -> 00:12:53,279] 就是这种东西真的是需要时机
[00:12:53,279 -> 00:12:55,200] 需要其实最重要的是人
[00:12:55,200 -> 00:12:56,679] 对需要人给他引荐
[00:12:56,679 -> 00:12:58,279] 因为他的经验在积累嘛
[00:12:58,279 -> 00:12:59,799] 他在Facebook管团队
[00:12:59,799 -> 00:13:01,519] 做产品的经验在积累
[00:13:01,519 -> 00:13:03,840] 他的这个经验对Intuit有很多的帮助
[00:13:03,840 -> 00:13:05,440] 他跟Intuit CEO
[00:13:05,440 -> 00:13:06,679] 对之间的这种Trust
[00:13:06,679 -> 00:13:07,879] 因为你认识了很多
[00:13:07,879 -> 00:13:11,559] 你在这些年里你就是建立起了一种信任感
[00:13:11,559 -> 00:13:12,799] 还有三本给他的背书
[00:13:12,799 -> 00:13:13,440] 是是是
[00:13:13,440 -> 00:13:14,720] 是这是一系列
[00:13:14,720 -> 00:13:16,600] 对这就是最后天时地利人和
[00:13:16,600 -> 00:13:17,399] 他就成为了一个
[00:13:17,399 -> 00:13:18,840] 这个东西他努力是努力不来的
[00:13:18,840 -> 00:13:19,600] 只能靠人
[00:13:19,600 -> 00:13:20,720] 是的
[00:13:20,720 -> 00:13:21,480] 这很微妙的
[00:13:21,480 -> 00:13:24,159] 然后他可能在Intuit这个case上
[00:13:24,159 -> 00:13:45,360] 他做得很成功然后几年下来他说他现在每个周都会打电话,就是说要邀请他去别的部署了,因为他就是积累了这样的一种信任资本,就像滚雪球一样,就越滚越大,他的profile在很多的独立董事的这个candidate pool里面就会stand out,就别人就会觉得这就是我理想中的一个独立董事我就想去找他对好的
[00:13:45,360 -> 00:13:50,639] 我们聊的就是大家这样的一个生态是什么样子
[00:13:50,639 -> 00:13:54,519] 然后有没有什么其他的想跟大家分享的这种principle
[00:13:54,519 -> 00:13:56,679] before我们开始讲故事
[00:13:56,679 -> 00:14:00,039] 你说的生态是指董事会的生态
[00:14:00,039 -> 00:14:00,840] 就是dynamic
[00:14:00,840 -> 00:14:02,279] 大家怎么去正确理解
[00:14:02,279 -> 00:14:07,440] 因为我其实就是我自己在博士的时候是学了copper finance
[00:14:07,440 -> 00:14:10,279] 那就读了很多copper governance这方面的literature
[00:14:10,279 -> 00:14:12,279] 所以说当时也有很多书嘛
[00:14:12,279 -> 00:14:13,279] 我记得我当时还在
[00:14:13,279 -> 00:14:14,519] 你在哪边的博士啊好奇一下
[00:14:14,519 -> 00:14:15,120] O'Connell
[00:14:15,120 -> 00:14:15,840] 哦Connell
[00:14:15,840 -> 00:14:16,559] 对对对
[00:14:16,559 -> 00:14:19,679] 然后我当时本科的时候读了一本书叫
[00:14:19,679 -> 00:14:20,919] Barbarians at the Gate
[00:14:20,919 -> 00:14:22,639] 那个是我对这个的启蒙书籍
[00:14:22,639 -> 00:14:24,000] 大风口野蛮人对吧
[00:14:24,000 -> 00:14:24,279] 对
[00:14:24,279 -> 00:14:27,720] 就PE就是就是这个公司怎么被PE给他控制了
[00:14:27,720 -> 00:14:29,759] 然后以及这里面的商战吧
[00:14:29,759 -> 00:14:33,799] 就是其实我觉得这个商战对这个这个就是这比OpenAI
[00:14:33,799 -> 00:14:35,360] 我觉得狗血的多
[00:14:35,360 -> 00:14:38,720] 而且以当时烟草公司的那个量级来说的话
[00:14:38,720 -> 00:14:40,120] 我当时还在群里说
[00:14:40,120 -> 00:14:42,799] 就是这个可能是微软加英伟达
[00:14:42,799 -> 00:14:43,679] 然后绑在一起
[00:14:43,679 -> 00:14:46,080] 然后就是什么巴菲特也进来了
[00:14:46,200 -> 00:14:48,320] 怎么样那种级别的博弈
[00:14:48,320 -> 00:14:50,240] 然后是个写得非常精彩
