[00:00:00,000 -> 00:00:03,000] 今天跟大家聊一个非常没有用非常有毒
[00:02:51,000 -> 00:02:54,000] 當時如果你做一件什麼樣的事情的話
[00:02:54,000 -> 00:02:55,000] 你今天就會不一樣
[00:02:55,000 -> 00:02:57,000] 它就會扭曲你的預期
[00:02:57,000 -> 00:03:00,000] 讓你對現在產生了更大的不滿意
[00:03:00,000 -> 00:03:03,000] 本來自洽已經是一個非常難找的狀態了
[00:03:03,000 -> 00:03:05,000] 然後人在自洽的情况下
[00:03:05,000 -> 00:03:06,000] 充分的接受现实
[00:03:06,000 -> 00:03:07,000] 认知了自己的能力
[00:03:07,000 -> 00:03:08,000] know yourself
[00:03:08,000 -> 00:03:09,000] 然后知道你要去干什么
[00:03:09,000 -> 00:03:10,000] 已经很难了
[00:03:10,000 -> 00:03:12,000] 这个时候你再去叠加一个预期
[00:03:12,000 -> 00:03:13,000] 就是说
[00:03:13,000 -> 00:03:15,000] 我当时怎么怎么样的话
[00:03:15,000 -> 00:03:16,000] 现在就好了
[00:03:16,000 -> 00:03:18,000] 你老是觉得你自己deserve
[00:03:18,000 -> 00:03:19,000] 比你现在更多
[00:03:19,000 -> 00:03:21,000] 那你就更难认识到自己
[00:03:21,000 -> 00:03:22,000] 你更难自洽
[00:03:22,000 -> 00:03:26,000] 你更难基于现實去做出一些改變
[00:03:26,000 -> 00:03:28,000] 然後讓你的境遇變得更好了
[00:03:28,000 -> 00:03:30,000] 所以說後悔這個情緒不光是沒有用的
[00:03:30,000 -> 00:03:32,000] 還是有毒的
[00:03:32,000 -> 00:03:34,000] 它最大的毒就是搞壞你的心態
[00:03:34,000 -> 00:03:36,000] 影響你對當下的判斷
[00:03:36,000 -> 00:03:39,000] 然後去讓你無法做出一個很優的行為
[00:03:39,000 -> 00:03:40,000] 那說了這些
[00:03:40,000 -> 00:03:43,000] 如果說你也覺得後悔不是一個我們應該有的情緒
[00:03:43,000 -> 00:03:44,000] 應該怎麼辦呢
[00:03:44,000 -> 00:03:48,199] 我覺得其實面對後悔的話就像面对一个噩梦就好了
[00:03:48,199 -> 00:03:52,199] 你早上醒过来的时候,如果说你前一天晚上做了一个噩梦
[00:03:52,199 -> 00:03:56,400] 不管是受到了惊吓呀还是生气呀,你在梦里受到了不公正的待遇以后
[00:03:56,400 -> 00:03:59,800] 你早上有的时候会被这个噩梦给缠绕很久
[00:03:59,800 -> 00:04:02,000] 那这个时候怎么样才能放下那个噩梦呢?
[00:04:02,000 -> 00:04:04,599] 就是告诉自己,这是一个虚幻的东西
[00:04:04,599 -> 00:04:05,400] 它是我的梦
[00:04:05,400 -> 00:04:07,000] 它跟我的现实没有任何关系
[00:04:07,000 -> 00:04:08,400] 我回到了现实
[00:04:08,400 -> 00:04:10,080] 我在现实里面是被挨着的
[00:04:10,080 -> 00:04:11,960] 我在现实里面有很多事情要做
[00:04:11,960 -> 00:04:14,800] 我在现实里面不是像噩梦的那样子
[00:04:14,800 -> 00:04:16,360] 那是一个假的东西
[00:04:16,360 -> 00:04:18,720] 然后尽快的去把这个噩梦忘掉
[00:04:18,720 -> 00:04:23,000] 那就是你去get rid of这个噩梦影响的最好的方式
[00:04:23,000 -> 00:04:24,519] 那再后悔一个情绪也是的
[00:04:24,519 -> 00:04:26,560] 就是无论过去发生了什么
[00:04:26,560 -> 00:04:28,560] 它其实跟你的当下都是没有关的
[00:04:28,560 -> 00:04:31,060] 过去的事情是不可能改变的
[00:04:31,060 -> 00:04:31,759] 再说一遍
[00:04:31,759 -> 00:04:34,399] 过去的事情是不可能改变的
[00:04:34,399 -> 00:04:35,259] 忘掉它
[00:04:35,259 -> 00:04:36,959] 然后就专注在你的当下
[00:04:36,959 -> 00:04:39,560] 专注在你怎么样子去为你
[00:04:39,560 -> 00:04:41,959] 找到一个更好的未来就好了
[00:04:41,959 -> 00:04:43,699] 就像忘掉一个噩梦一样
[00:04:43,699 -> 00:04:46,519] 知道它是一个只存在于虚幻中的事情
[00:04:46,519 -> 00:04:48,680] 虽然它真切的发生在你身上过
[00:04:48,680 -> 00:04:50,279] 它跟你当下已经没有关系了
[00:04:50,279 -> 00:04:51,720] 忘掉它,move on
[00:04:51,720 -> 00:04:54,920] 这就是你现在能做的对自己最好的事情
[00:04:54,920 -> 00:04:56,439] 好的,虽然是一个简单的道理
[00:04:56,439 -> 00:04:59,319] 但是我觉得还是有很多小伙伴会纠结在其中
[00:04:59,319 -> 00:05:01,519] 那希望这期视频对大家有帮助
[00:05:01,519 -> 00:05:02,839] 我们下期再见,拜拜
