[00:00:00,000 -> 00:00:01,800] Hello 大家好 欢迎回到课代表立正
[00:06:32,079 -> 00:06:33,879] 你一般會看到很多小廣告
[00:06:33,879 -> 00:06:36,279] 這裡面小廣告會有那麼一些
[00:06:36,279 -> 00:06:39,519] 英語系 哲學系 歷史系的文科博士
[00:06:39,519 -> 00:06:40,399] 美國人
[00:06:40,399 -> 00:06:43,680] 去說他們願意去做copy editor
[00:06:43,680 -> 00:06:46,600] 一般是可能50到100美元一小时吧
[00:06:46,600 -> 00:06:47,600] 非常便宜
[00:06:47,600 -> 00:06:50,199] 因为你想你去找一个中国人帮你改文书
[00:06:50,199 -> 00:06:51,800] 可能价格都比这个高很多
[00:06:51,800 -> 00:06:54,199] 那些人水平也都很次大多数的人
[00:06:54,199 -> 00:06:59,600] 但是这是一个美国的文学的博士帮你改东西
[00:06:59,600 -> 00:07:01,399] 只要收100美元一小时
[00:07:01,399 -> 00:07:03,199] 他们改出来的东西真的很有用
[00:07:03,199 -> 00:07:06,920] 我觉得这就是对我写作帮助最大的一些方法了
[00:07:06,920 -> 00:07:08,279] 就是我写一个东西
[00:07:08,279 -> 00:07:09,079] 然后他们改了
[00:07:09,079 -> 00:07:11,040] 我去研究他们怎么改的
[00:07:11,040 -> 00:07:15,000] 我自己的写作水平在这里得到了一个非常飞速的提高
[00:07:15,000 -> 00:07:18,639] 所以说如果你有这个资源的话可以去用一下
[00:07:20,480 -> 00:07:22,160] 我觉得深度思考这件事情
[00:07:22,160 -> 00:07:24,160] 其实大家都能有一个感觉吧
[00:07:24,160 -> 00:07:25,240] 就是有的人很聪明
[00:07:25,240 -> 00:07:26,360] 或者是想得很深
[00:07:26,360 -> 00:07:28,279] 可是我觉得我有一个更形象的
[00:07:28,279 -> 00:07:29,439] 直观的感受
[00:07:29,439 -> 00:07:30,600] 就是我的大脑里面
[00:07:30,600 -> 00:07:32,240] 我觉得有两个声音
[00:07:32,240 -> 00:07:34,199] 一个是一个深层次的声音
[00:07:34,199 -> 00:07:36,199] 一个是一个浅层次的声音
[00:07:36,199 -> 00:07:37,000] 最直观的感受
[00:07:37,000 -> 00:07:38,160] 就是我当时
[00:07:38,160 -> 00:07:40,519] 在听很多seminar的时候问问题
[00:07:40,519 -> 00:07:42,160] 我一开始会想好了
[00:07:42,160 -> 00:07:43,920] 这个问题应该怎么问才举手
[00:07:43,920 -> 00:07:44,759] 但是很多时候
[00:07:44,759 -> 00:07:46,319] 最好的时间已经过去了但是我后来发现如果我觉得应该怎么问才举手但是很多时候最好的时间已经过去了
[00:07:46,319 -> 00:07:48,519] 但是我后来发现如果我觉得这里有问题
[00:07:48,519 -> 00:07:49,399] 我就直接举手
[00:07:49,399 -> 00:07:53,839] 然后我发现我问的这个问题就是英语的修辞
[00:07:53,839 -> 00:07:56,040] 或者说是这个问题的描述的程度
[00:07:56,040 -> 00:07:57,480] 我都讲的还挺清楚的
[00:07:57,480 -> 00:07:59,399] 那我后来想想是怎么回事
[00:07:59,399 -> 00:08:02,399] 是想我其实内心深处有一个声音
[00:08:02,399 -> 00:08:04,600] 那个声音的反应速度快很多
[00:08:04,600 -> 00:08:06,759] 我的所谓的这个浅层的声音
[00:08:06,759 -> 00:08:08,439] 只不过是把那个深层声音
[00:08:08,439 -> 00:08:11,759] 想的东西给重新的表述出来
[00:08:11,800 -> 00:08:15,040] 但是你这个表述的过程是很花时间的
[00:08:15,079 -> 00:08:17,680] 可是这就是你在面对一些
[00:08:17,680 -> 00:08:19,800] 这个真正的思考的时候
[00:08:19,800 -> 00:08:20,959] 你的那个思考的过程
[00:08:20,959 -> 00:08:22,399] 其实是可以很快很快的
[00:08:22,439 -> 00:08:26,560] 也就是具象到这个日常生活中的话
[00:08:26,560 -> 00:08:29,160] 就是一个人的什么business acumen
[00:08:29,160 -> 00:08:31,120] 然后比如说product sense
[00:08:31,120 -> 00:08:33,039] 就是他面对一个东西的反应
[00:08:33,039 -> 00:08:34,000] 他的直觉对不对
[00:08:34,000 -> 00:08:35,200] 他的第一反应对不对
[00:08:35,200 -> 00:08:37,360] 包括他为什么可以跟你说话的时候
[00:08:37,360 -> 00:08:39,240] 你听他听起来这么有框架
[00:08:39,240 -> 00:08:41,120] 因为他内心深处的那个声音
[00:08:41,120 -> 00:08:44,159] 早就已经把这个事情很框架性的想好了
[00:08:44,159 -> 00:08:46,840] 他只不过是在用浅层次的那个声音去把他内心深处的那个声音早就已经把这个事情很框架性的想好了他只不过是在用浅层次的声音
[00:08:46,840 -> 00:08:48,320] 去把他内心深处的
[00:08:48,559 -> 00:08:49,519] 早就想好的东西
[00:08:49,519 -> 00:08:51,480] 给重新表达出来而已
[00:08:52,039 -> 00:08:53,039] 在读博士的时候
[00:08:53,039 -> 00:08:55,240] 我也觉得在读各种各样的论文
[00:08:55,440 -> 00:08:56,919] 尤其在推各种各样的公式
[00:08:57,039 -> 00:08:58,840] 和别人进行深度的探讨
[00:08:58,840 -> 00:08:59,720] 深入的讨论
[00:08:59,759 -> 00:09:00,840] 反复的修改文章
[00:09:00,840 -> 00:09:02,440] 仿佛的读别人文章的时候
[00:09:02,440 -> 00:09:06,320] 其实都是在为深层次的声音做建的時候其實都是在為這個深層次的聲音做健身
[00:09:06,320 -> 00:09:10,320] 在這個過程中那個深層次的聲音確實得到了很大的發展
[00:09:10,320 -> 00:09:15,679] 它幫助我面對一個事情可以想得很深或者說想得很快
[00:09:15,679 -> 00:09:19,519] 好的 以上就是我讀博士的五點收穫
[00:09:19,519 -> 00:09:22,559] 不知道大家有沒有什麼類似的反饋
[00:09:22,559 -> 00:09:24,480] 或者說大家有沒有什麼就是
[00:09:24,480 -> 00:09:26,559] 剛剛說的這些五种收获
[00:09:26,559 -> 00:09:28,000] 你在不读博士的时候
[00:09:28,000 -> 00:09:29,840] 也从什么地方可以得到呢
[00:09:29,840 -> 00:09:32,320] 欢迎在留言区跟小伙伴们分享
[00:09:32,320 -> 00:09:33,279] 这期视频就到这里
[00:09:33,279 -> 00:09:34,639] 我们下期再见 拜拜
