[00:00:00,000 -> 00:00:01,159] Hello大家好
[00:03:14,360 -> 00:03:16,080] 哎呀团队内部能管
[00:03:16,080 -> 00:03:18,639] 那可能他忽略了横向和对上
[00:03:18,639 -> 00:03:20,479] 或者是战略的管理
[00:03:20,479 -> 00:03:22,080] 我觉得那个其实也同样重要
[00:03:22,080 -> 00:03:24,120] 甚至有的时候它会更复杂
[00:03:24,120 -> 00:03:26,759] 因为我们沟通的那些人
[00:03:26,759 -> 00:03:29,960] 他不属于我们可以直接掌控的人
[00:03:29,960 -> 00:03:31,800] influence without authority
[00:03:31,800 -> 00:03:32,719] 对对对对
[00:03:32,719 -> 00:03:34,800] 所以他是更需要技巧
[00:03:34,800 -> 00:03:37,199] 更需要这个心力的
[00:03:37,199 -> 00:03:38,000] 有的时候
[00:03:38,000 -> 00:03:38,319] 好呀
[00:03:38,319 -> 00:03:40,960] OK那么今天我们可能就
[00:03:40,960 -> 00:03:42,520] 我想简单分享一下
[00:03:42,520 -> 00:03:45,400] 团队的内部管理的情况
[00:03:45,400 -> 00:03:45,560] 哦
[00:03:45,560 -> 00:03:47,400] 就是刚才三个都不说是吗
[00:03:47,400 -> 00:03:48,240] 对对对对行
[00:03:48,240 -> 00:03:49,639] 我们以后再说没有问题
[00:03:49,639 -> 00:03:50,919] 是是是
[00:03:50,919 -> 00:03:51,240] 然后
[00:03:51,240 -> 00:03:52,240] 哈哈哈哈
[00:03:52,240 -> 00:03:53,280] 好来吧
[00:03:53,280 -> 00:03:54,560] 是然后
[00:03:54,560 -> 00:03:58,599] 我觉得做团队的内部管理的时候
[00:03:58,599 -> 00:04:00,759] 我我我自己犯过一些错
[00:04:00,759 -> 00:04:03,240] 就是比如说太
[00:04:04,199 -> 00:04:04,719] 太
[00:04:06,599 -> 00:04:07,800] 应该怎么说太严格
[00:04:07,800 -> 00:04:09,199] 太不近人情
[00:04:09,199 -> 00:04:12,400] 然后另外一个极端叫做太
[00:04:12,400 -> 00:04:15,599] 这个case by case的讨论
[00:04:15,599 -> 00:04:16,899] 太近人情
[00:04:16,899 -> 00:04:19,199] 或者是太soft等等
[00:04:19,199 -> 00:04:24,399] 我觉得在一个团队管理者的一个表现出来的
[00:04:24,399 -> 00:04:26,699] 我们可以称之為叫做人設
[00:04:26,699 -> 00:04:30,600] 這個人設它是需要有一個特定的人設的
[00:04:30,600 -> 00:04:32,899] 而在這個特定的人設下
[00:04:32,899 -> 00:04:37,699] 我相信他的所有的行為表現
[00:04:37,699 -> 00:04:43,100] 它是要依據一個跟那個人設對應的規則體系
[00:04:43,100 -> 00:04:44,100] 明白
[00:04:44,100 -> 00:04:46,000] 其實你可能更
[00:04:46,000 -> 00:04:48,439] 比起你的self和harsh来说
[00:04:48,439 -> 00:04:50,920] 你更重要的是你这个人设对应的principle
[00:04:50,920 -> 00:04:52,439] 和一个consistence的行为
[00:04:52,439 -> 00:04:52,800] 对
[00:04:52,800 -> 00:04:54,360] 让你变得predictable
[00:04:54,360 -> 00:04:55,720] 对
[00:04:55,720 -> 00:04:57,920] 每个人都希望自己的
[00:04:57,920 -> 00:05:00,720] 这个上级或者上级的上级是一个
[00:05:00,720 -> 00:05:02,920] 讲道理的有人情味的
[00:05:02,920 -> 00:05:06,319] 然后不是说今天一个样
[00:05:06,319 -> 00:05:07,319] 明天一个样的人
[00:05:07,319 -> 00:05:11,000] 所以我们很多时候是要需要克制自己
[00:05:11,000 -> 00:05:14,000] 训练自己成为一个那样的人
[00:05:14,000 -> 00:05:16,560] 而成为那样的一个人又分成两部分
[00:05:16,560 -> 00:05:21,040] 第一个叫做形成生成一定的规则
[00:05:21,040 -> 00:05:23,639] 并且不断的调优这个规则
[00:05:23,639 -> 00:05:27,000] 这个规则的优化目标应该是你自己又舒服
[00:05:27,000 -> 00:05:28,000] 且团队也舒服
[00:05:28,000 -> 00:05:35,000] 且你能让自己和团队一起在这个规则下最大化团队的综合输出能力
[00:05:35,000 -> 00:05:36,000] OK
[00:05:36,000 -> 00:05:41,000] 所以那个规则需要制定并且需要这个去优化
[00:05:41,000 -> 00:05:45,839] 对那么包括这个团队里面的一些赏罚分明的原则
[00:05:45,839 -> 00:05:47,439] 或者是一些哪怕使民怨
[00:05:47,439 -> 00:05:49,240] 仅仅价值观那些口号一些东西
[00:05:49,240 -> 00:05:51,040] 它可能都属于这个规则的一部分
[00:05:51,040 -> 00:05:52,600] 包括你自己的一些
[00:05:52,600 -> 00:05:54,959] 哪怕系到一些会议
[00:05:55,160 -> 00:05:57,160] 开会的这个日常逻辑
[00:05:57,160 -> 00:06:00,839] 那大到一些对于不确定事情的这个
[00:06:00,839 -> 00:06:03,199] 或者是需要决议事情的讨论原则
[00:06:03,199 -> 00:06:05,000] 等等等等都都都得在这个规则里面OK他可能不需要决议事情的讨论原则等等等等都得在这个规则里面
[00:06:05,000 -> 00:06:07,000] 他可能不需要写下来
[00:06:07,000 -> 00:06:14,000] 但是你和你的团队的同学都需要对这个规则有一个大概的感性的认知
[00:06:14,000 -> 00:06:15,000] 这是一个
[00:06:15,000 -> 00:06:19,000] 那第二个呢是尽量克制自己的
[00:06:19,000 -> 00:06:21,000] 不管是好奇心也好
[00:06:21,000 -> 00:06:24,000] 还是这个情绪也好
[00:06:24,000 -> 00:06:28,600] 通常一般说的是一些负面的情绪 愤怒的情绪
[00:06:28,600 -> 00:06:31,399] 这个失望的情绪 克制自己的情绪
[00:06:31,399 -> 00:06:34,600] 使得自己不要逾越那样的规则
[00:06:34,600 -> 00:06:39,199] OK 我举一个最明确的例子是
[00:06:39,199 -> 00:06:41,800] 比如说开会拖堂
[00:06:41,800 -> 00:06:46,000] 那其实比如说我开了一个会脱堂了
[00:06:46,000 -> 00:06:48,000] 对我来说我可以
[00:06:48,000 -> 00:06:50,000] 好像轻易的简单的
[00:06:50,000 -> 00:06:52,000] 把我后面的会
[00:06:52,000 -> 00:06:54,000] 再接在后面就行了
[00:06:54,000 -> 00:06:56,000] 但是实际上
[00:06:56,000 -> 00:06:58,000] 对我来说好像挺简单
[00:06:58,000 -> 00:07:00,000] 但是它可能会影响后面的同学
[00:07:00,000 -> 00:07:02,000] 他们自己的很多的工作的节奏
[00:07:02,000 -> 00:07:04,000] 包括他们跟其他团队
[00:07:04,000 -> 00:07:06,920] 已经规定好的一些会议的时间
[00:07:06,920 -> 00:07:10,560] 所以我自己是哪怕一件事情没讨论完
[00:07:10,560 -> 00:07:11,800] 一个会议该结束
[00:07:11,800 -> 00:07:12,959] 我一定会让它结束
[00:07:12,959 -> 00:07:14,160] 只要这个会是我自己的
[00:07:14,160 -> 00:07:17,240] 那当然如果我跟我们的上级去开会
[00:07:17,240 -> 00:07:19,199] 那我得要迁就他的时间
[00:07:19,199 -> 00:07:20,079] 那确实没办法
[00:07:20,079 -> 00:07:21,319] 但只要是我自己的会
[00:07:21,319 -> 00:07:23,720] 我一定会让它准时开始准时结束
[00:07:23,720 -> 00:07:28,800] 然后这个会议它就会有会议自己内部的流程
[00:07:28,800 -> 00:07:33,160] 然后包括他的这个这个期程转合和一个结论性的东西
[00:07:33,160 -> 00:07:35,480] 那会议的一些细节我们就先不展开了
[00:07:35,480 -> 00:07:36,000] OK
[00:07:36,000 -> 00:07:38,079] 以会议的这样的一个逻辑来说
[00:07:38,079 -> 00:07:40,480] 我虽然知道比如说一个会没开完
[00:07:40,480 -> 00:07:41,680] 我还有很多想讨论的
[00:07:41,680 -> 00:07:44,240] 但是大家后面确实有事情
[00:07:44,240 -> 00:07:46,839] 那我会说我尝试约一个
[00:07:47,160 -> 00:07:49,600] 这个时间之后的会
[00:07:49,600 -> 00:07:50,720] 如果大家OK的话
[00:07:50,720 -> 00:07:51,480] 那我们接着开
[00:07:51,480 -> 00:07:52,639] 那如果确实有人的话
[00:07:52,639 -> 00:07:55,680] 那我们会比较顺利的去结束掉它
[00:07:55,680 -> 00:07:58,279] 但有的时候就是捍卫这样的规则
[00:07:58,279 -> 00:07:59,759] 你会觉得说有的时候
[00:07:59,759 -> 00:08:04,600] 其实捍卫一个所谓的会议结束的时间规则
[00:08:04,600 -> 00:08:06,399] 它不是特别的必要
[00:08:06,399 -> 00:08:08,319] 甚至会议内容本身重要
[00:08:08,319 -> 00:08:09,000] 对对
[00:08:09,000 -> 00:08:12,879] 但是在这个规则上做了妥协
[00:08:12,879 -> 00:08:15,439] 就意味着我们会在一万件其他的事情上
[00:08:15,439 -> 00:08:16,720] 规则上都做妥协
[00:08:16,720 -> 00:08:18,560] 到时候大家就很多时候
[00:08:18,560 -> 00:08:21,120] 你不知道该妥协的边界是什么
[00:08:21,120 -> 00:08:22,800] 团队也不知道妥协的边界是什么
[00:08:22,800 -> 00:08:23,600] 所以对我来说
[00:08:23,600 -> 00:08:24,800] 它可能就是个tradeoff
[00:08:24,800 -> 00:08:30,800] 我宁可让所有人都在一个特定的规则下去做事情
[00:08:30,800 -> 00:08:34,080] 也不要每个人都有一个规则的拓宽的边界
[00:08:34,080 -> 00:08:37,200] 那就像法律没有边界一样的这件事情就没办法搞了
[00:08:37,200 -> 00:08:41,080] 之前他们说诸葛亮其实不是那种势必攻亲
[00:08:41,080 -> 00:08:43,200] 他真正势必攻亲的事情是两个
[00:08:43,200 -> 00:08:44,159] 一个是定规则
[00:08:44,159 -> 00:08:45,840] 一个是定惩罚
[00:08:45,840 -> 00:08:46,759] 对对对
[00:08:46,759 -> 00:08:47,080] 对
[00:08:47,080 -> 00:08:49,360] 因为定规则就是因为这个规则很重要
[00:08:49,360 -> 00:08:51,919] 定惩罚是因为只有他有这样的人格和
[00:08:51,919 -> 00:08:54,919] 这个就是人设去做这个惩罚
[00:08:54,919 -> 00:08:56,039] 然后所有人都会认
[00:08:56,039 -> 00:08:57,919] 是是是是
[00:08:57,919 -> 00:09:01,960] 我觉得这个规则制定好一定的规则和边界
[00:09:01,960 -> 00:09:07,440] 然后并且我们以身作则去守在那个规则的边界上是挺重要的
[00:09:07,440 -> 00:09:10,200] 当然规则本身是可调节可优化的
[00:09:10,200 -> 00:09:11,039] 对对对
[00:09:11,039 -> 00:09:12,799] 这点我觉得挺重要
[00:09:12,799 -> 00:09:13,320] 我自己也觉得
[00:09:13,320 -> 00:09:16,240] 还有一个就是情绪就是负面情绪
[00:09:16,240 -> 00:09:18,080] 能不能举个稍稍具体的例子
[00:09:18,080 -> 00:09:19,320] 是是是
[00:09:19,320 -> 00:09:21,759] 就比如说
[00:09:22,759 -> 00:09:23,039] 哎
[00:09:23,039 -> 00:09:27,120] 就很多项目它会不达预期
[00:09:27,120 -> 00:09:29,519] 或者是远远不达预期
[00:09:29,919 -> 00:09:30,840] 而且呢
[00:09:30,840 -> 00:09:33,080] 你并不会提前知道它不达预期
[00:09:33,080 -> 00:09:35,159] 而是在你要
[00:09:35,279 -> 00:09:36,159] 承受后果的时候
[00:09:36,159 -> 00:09:36,639] 哎
[00:09:36,639 -> 00:09:36,879] 对
[00:09:36,879 -> 00:09:37,639] 承受后果的时候
[00:09:37,639 -> 00:09:39,360] 你突然发现它是不达预期的
[00:09:39,360 -> 00:09:42,200] 那其实以这样的一个事情为例
[00:09:42,200 -> 00:09:44,519] 那这个时候我们是有问题的
[00:09:44,559 -> 00:09:47,240] 执行那个项目的同学也是有问题的
[00:09:47,240 -> 00:09:47,480] 对
[00:09:47,480 -> 00:09:47,919] 但是
[00:09:47,919 -> 00:09:48,519] 嗯
[00:09:48,519 -> 00:09:54,720] 比如说我的问题可能是没有提前很早去问这个项目进度是否符合预期
[00:09:54,720 -> 00:09:55,639] 如果它不符合
[00:09:55,639 -> 00:09:56,799] 我们看出来
[00:09:56,799 -> 00:09:59,639] 我们尝试去挖掘人的问题
[00:09:59,639 -> 00:10:00,960] 还是项目本身的问题
[00:10:00,960 -> 00:10:01,799] 如果是人的问题
[00:10:01,799 -> 00:10:02,600] 是能力的问题
[00:10:02,600 -> 00:10:03,559] 还是态度的问题
[00:10:03,559 -> 00:10:04,480] 还是意愿的问题
[00:10:04,480 -> 00:10:06,000] 还是其他人配合上的问题等等等等
[00:10:06,000 -> 00:10:09,000] 那找到这些问题之后我们作为leadership
[00:10:09,000 -> 00:10:11,000] 再帮他去解决相关的问题
[00:10:11,000 -> 00:10:13,000] 使得这个项目做得更好
[00:10:13,000 -> 00:10:17,000] 或者说另一个沟通的告诉大家这个及时沟通的必要
[00:10:17,000 -> 00:10:19,000] 以及有一个promote沟通的氛围
[00:10:19,000 -> 00:10:22,000] 没错所以你看出现了一个项目
[00:10:22,000 -> 00:10:24,000] 鲤鸟鲤鸟发现不达预期的时候
[00:10:24,000 -> 00:10:26,080] 其实我应该反思
[00:10:26,120 -> 00:10:26,720] 对
[00:10:26,720 -> 00:10:27,879] 我哪里做的不好
[00:10:27,919 -> 00:10:30,759] 但是所有的人之常情
[00:10:30,960 -> 00:10:33,919] 就是第一时间你知道了可怕的消息之后
[00:10:33,919 -> 00:10:35,480] 那你肯定会生气
[00:10:35,480 -> 00:10:35,840] 对吧
[00:10:35,840 -> 00:10:37,000] 那你习惯性的会说
[00:10:37,000 -> 00:10:39,240] 哎同学你这个怎么没做好
[00:10:39,279 -> 00:10:39,600] 对吧
[00:10:39,600 -> 00:10:41,639] 你怎么不早点跟我说
[00:10:41,639 -> 00:10:42,639] 哎等等
[00:10:42,639 -> 00:10:44,519] 那就开始去喷别人
[00:10:44,519 -> 00:10:46,899] 那这个我觉得人之常情我觉得合理
[00:10:46,899 -> 00:10:53,299] 但是我倾向于尽量克制自己这方面的负面情绪
[00:10:54,299 -> 00:10:58,600] 并且相对来说以一个客观的角度来看这件事情
[00:10:58,600 -> 00:11:02,600] 然后那这件事情到底怎么做到
[00:11:02,600 -> 00:11:08,200] 它可能会接近于就是一些其他的讨论
[00:11:08,200 -> 00:11:15,679] 或者是一些书里面会说把所谓的把自己的负面情绪装到一个小的盒子里面
[00:11:15,679 -> 00:11:17,759] 然后让他在盒子里面撞来撞去
[00:11:17,759 -> 00:11:19,879] 而把自己的这个本体什么把它抽出来
[00:11:19,879 -> 00:11:21,039] 就类似于这种方法
[00:11:21,039 -> 00:11:23,039] 我可能不太能
[00:11:23,039 -> 00:11:23,480] 好神奇
[00:11:23,480 -> 00:11:24,159] 我没听过
[00:11:24,159 -> 00:11:25,240] 但是听起来好厉害
[00:11:25,240 -> 00:11:27,399] 是我听说就是比较少情绪
[00:11:27,399 -> 00:11:28,759] 所以说没有什么问题
[00:11:28,759 -> 00:11:29,360] OK
[00:11:29,360 -> 00:11:29,879] OK
[00:11:29,879 -> 00:11:29,960] OK
[00:11:29,960 -> 00:11:34,240] 嗯就是我觉得这种事情也是挺重要的
[00:11:34,240 -> 00:11:38,759] 嗯嗯嗯嗯好定规则和不要让自己太影响这个规则
[00:11:38,759 -> 00:11:40,360] 是是接下来呢
[00:11:40,360 -> 00:11:51,360] 然后呃就刚才其实提到的很多部分是我们自己在一个团队里面怎么发挥我们的作用
[00:11:51,360 -> 00:11:51,799] 对吧
[00:11:51,799 -> 00:12:01,120] 其实还有一个很大的议题叫做如何减少我们自己在团队中不得不发挥作用的那种场景
[00:12:01,480 -> 00:12:03,440] which is like
[00:12:03,440 -> 00:12:03,919] 没错
[00:12:03,919 -> 00:12:05,000] 肯定知道的
[00:12:05,000 -> 00:12:07,000] 对对尽量让这个团队能autopilot
[00:12:07,000 -> 00:12:08,000] 对
[00:12:08,000 -> 00:12:10,000] 那么这一点当然
[00:12:10,000 -> 00:12:12,000] 我记得之前
[00:12:12,000 -> 00:12:15,000] 那个那个周星好像也有提过
[00:12:15,000 -> 00:12:16,000] 好像是对
[00:12:16,000 -> 00:12:17,000] 这里面有很多的做法
[00:12:17,000 -> 00:12:21,000] 比如说一些绩效管理的工具啦
[00:12:21,000 -> 00:12:25,679] OKR的这种项目的协同工具啦
[00:12:25,679 -> 00:12:29,080] 然后也包括这个团队内部的一些
[00:12:30,679 -> 00:12:34,559] 偏流程上面的会议或者是总结性的一些会议啦
[00:12:34,559 -> 00:12:35,080] 等等等等
[00:12:35,080 -> 00:12:40,480] 尽量可以让这个团队在没有你在的时候也能尽量的跑起来
[00:12:41,799 -> 00:12:43,559] 我觉得这里面我
[00:12:43,559 -> 00:12:46,000] 我可以大概分享一下我的我每周的一个schedule
[00:12:46,000 -> 00:12:49,000] 对 我觉得这一点是可能相对比较实操
[00:12:49,000 -> 00:12:50,000] 可能会是实际一点
[00:12:50,000 -> 00:12:52,000] 就是我的
[00:12:52,000 -> 00:12:55,000] 比如说我的周一周二一般会比较忙
[00:12:55,000 -> 00:12:58,000] 因为他更多的是在
[00:12:58,000 -> 00:13:00,000] 在一个周的维度上
[00:13:00,000 -> 00:13:04,000] 跟团队看一下上周我们做了什么
[00:13:04,000 -> 00:13:05,480] 和这周的维度上
[00:13:05,480 -> 00:13:09,480] 跟团队看一下上周我们做了什么
[00:13:09,480 -> 00:13:11,000] 和这周我们要做什么
[00:13:11,000 -> 00:13:15,799] 它一般会分成一些粗颗粒度的会议和细颗粒度的
[00:13:15,799 -> 00:13:19,320] 粗颗粒度可能是去review一下上个月
[00:13:19,320 -> 00:13:21,879] 或者是整个大的项目整体的进展
[00:13:21,879 -> 00:13:24,399] 或者整个大的维度上的数据
[00:13:24,399 -> 00:13:25,879] 综合的一些数据的结果
[00:13:25,879 -> 00:13:28,879] 那么细的颗粒度可能是那些
[00:13:28,879 -> 00:13:31,000] 重点的具体的几个项目
[00:13:31,000 -> 00:13:33,559] 专项目我们去讨论一下
[00:13:33,559 -> 00:13:36,440] 所以我每周一周二会特别忙
[00:13:36,440 -> 00:13:39,879] 几乎是所有的会议是要开满的
[00:13:39,879 -> 00:13:45,200] 所以我得保障比如说我自己在呃周日呃的睡眠
[00:13:45,200 -> 00:13:47,559] 周日晚上是能呃早点呃休息的
[00:13:47,559 -> 00:13:50,639] 然后呃周日和周一的睡眠是比较充足的
[00:13:50,639 -> 00:13:53,559] 因为这两天的会议的呃强度特别大
[00:13:53,559 -> 00:13:55,720] 那么强度大是多少个小时
[00:13:55,720 -> 00:13:56,399] 多少点时间
[00:13:56,399 -> 00:13:58,919] 呃多的可能十大几个小时
[00:13:58,919 -> 00:14:00,600] 那这可能是大几个小时
[00:14:00,600 -> 00:14:01,720] 对可能是会有的
[00:14:01,720 -> 00:14:02,480] 可能是会有的
[00:14:02,480 -> 00:14:02,960] ok
[00:14:02,960 -> 00:14:05,759] 呃那么在这个里面
[00:14:05,759 -> 00:14:08,480] 这两天的这个日程里面
[00:14:08,480 -> 00:14:11,320] 我发现我做的角色
[00:14:11,320 -> 00:14:14,879] 以前更多会是决策者
[00:14:14,919 -> 00:14:18,360] 但是后来我希望我的角色
[00:14:18,360 -> 00:14:22,320] 更多的变成一个叫做行业信息
[00:14:22,320 -> 00:14:24,679] 或者叫隐藏剧情
[00:14:24,720 -> 00:14:26,399] 隐藏信息的提供者
[00:14:26,399 -> 00:14:28,799] 毕竟我level会更高一些
[00:14:28,799 -> 00:14:30,500] 然后掌握的其他的
[00:14:30,500 -> 00:14:32,200] 他们不知道的信息会更多一些
[00:14:32,200 -> 00:14:35,100] 所以我会变成一个信息的提供者
[00:14:35,100 -> 00:14:38,000] 以及是一个决策的支持者
[00:14:38,000 -> 00:14:39,899] 或者是一个决策的建议者
[00:14:39,899 -> 00:14:43,799] 让真正的own那些项目的同学能够站出来
[00:14:43,799 -> 00:14:49,200] 让他们在这些大的会上或者小的会上有这个表达决策等等
[00:14:49,200 -> 00:14:55,679] 这些部分我觉得这个是逐渐的让我自己在一个heavy decision的那个role上抽出来
[00:14:55,679 -> 00:14:57,200] 这是我周一周二的流程
[00:14:57,200 -> 00:15:10,000] OK 那么呃周三周四呃两天呢它相对来说会变得有一些从具体的执行到开放式的讨论的一个转变
[00:15:10,840 -> 00:15:14,039] 那周三周四我们一般讨论的是那些就是
[00:15:14,399 -> 00:15:14,799] 呃
[00:15:15,159 -> 00:15:16,879] 不是只要执行就好了
[00:15:16,879 -> 00:15:18,679] 而是有一定探索性的
[00:15:18,679 -> 00:15:20,320] 有一定不确定性的东西
[00:15:20,320 -> 00:15:25,000] 它是需要留足充足的时间来讨论脑爆
[00:15:25,000 -> 00:15:28,200] 甚至是找很多不同团队的同学
[00:15:28,200 -> 00:15:31,200] 甚至找行业里的同学请教请教的事情
[00:15:31,200 -> 00:15:34,200] 那周三周四我们会留足时间做这样的讨论
[00:15:34,200 -> 00:15:37,799] 那周三周四呢也会穿插一些跟同学们的
[00:15:37,799 -> 00:15:40,200] weekly的弯弯或者是bi-weekly的弯弯
[00:15:40,200 -> 00:15:43,200] 以后更多人会有weekly bi-weekly弯弯
[00:15:43,200 -> 00:15:47,279] 基本上每周反正是排满的
[00:15:47,279 -> 00:15:51,440] 可能有每周可能会聊个大几个
[00:15:51,440 -> 00:15:52,200] 大几个同学
[00:15:52,200 -> 00:15:53,720] 大几个同学
[00:15:53,720 -> 00:15:55,440] 对应该没到十个
[00:15:55,440 -> 00:15:57,039] 不然的话排不下来
[00:15:57,039 -> 00:15:57,840] 一小时
[00:15:57,840 -> 00:15:59,799] 半小时到一小时
[00:15:59,799 -> 00:16:00,039] 对
[00:16:00,039 -> 00:16:01,080] 我会留一小时
[00:16:01,080 -> 00:16:04,240] 因为聊完它是一个相对来说
[00:16:04,240 -> 00:16:06,600] 它比正常开会要更累的事情
[00:16:06,600 -> 00:16:07,480] 对
[00:16:07,480 -> 00:16:10,519] 所以如果一个小时的玩玩
[00:16:10,519 -> 00:16:11,360] 我45分钟聊完
[00:16:11,360 -> 00:16:12,840] 我剩下15分钟会赶紧休息一下
[00:16:12,840 -> 00:16:13,759] 对
[00:16:13,759 -> 00:16:14,799] 是是是
[00:16:14,799 -> 00:16:15,320] OK
[00:16:15,320 -> 00:16:16,960] 然后周五的话
[00:16:16,960 -> 00:16:18,600] 这一天的schedule会
[00:16:18,600 -> 00:16:22,519] 我会尽量的提前空出一个周五的schedule出来
[00:16:22,519 -> 00:16:26,799] 因为有的时候会出现一些临时的讨论
