[00:00:00,000 -> 00:00:01,919] 大家想互相說服
[00:02:01,519 -> 00:02:02,560] 我咨询了很多人
[00:02:02,560 -> 00:02:03,680] 包括这位
[00:02:03,680 -> 00:02:05,640] 我们很早就认识了
[00:02:05,640 -> 00:02:08,560] 然后当时的话觉得总体下来
[00:02:08,560 -> 00:02:11,599] 如果去选择一个计算机相关的专业会比较合适
[00:02:11,599 -> 00:02:14,840] 所以我是本科是一个计算机的专业毕业
[00:02:14,840 -> 00:02:16,400] 当时我还辅修数学
[00:02:16,400 -> 00:02:19,439] 但是在本科的时候其实是拿了两个学位
[00:02:19,439 -> 00:02:23,680] 这就挺 typical 的一个中国同学的学位是吧
[00:02:23,680 -> 00:02:26,159] 然后什么时候选择决定加入游戏的
[00:02:26,199 -> 00:02:28,919] 其实是本科毕业的时候
[00:02:28,919 -> 00:02:30,759] 我去做了一段实习
[00:02:30,800 -> 00:02:31,560] 同一个场吗
[00:02:31,599 -> 00:02:31,960] 对
[00:02:31,960 -> 00:02:32,879] 是同一个场面
[00:02:32,919 -> 00:02:33,199] 对
[00:02:33,199 -> 00:02:37,080] 然后我在我司做了一个实习
[00:02:37,080 -> 00:02:39,439] 然后这个实习是前段工程师
[00:02:39,719 -> 00:02:43,360] 然后其实就非常的geek
[00:02:43,400 -> 00:02:47,280] 他做了很多那种像是代码相关的编程
[00:02:47,280 -> 00:02:49,520] 以及这种图形逻辑的处理
[00:02:49,520 -> 00:02:50,960] 就各个页面的处理
[00:02:50,960 -> 00:02:53,280] 就对我来说是一份能胜任的工作
[00:02:53,280 -> 00:02:55,759] 但是我觉得并没有很大的意义
[00:02:55,759 -> 00:02:57,919] 就是对我来说怎么说呢
[00:02:57,919 -> 00:02:59,360] 我不喜欢这个工作
[00:02:59,360 -> 00:03:03,039] 所以说我开始去想就是研究生的时候是不是要去换
[00:03:03,039 -> 00:03:06,400] 但是换的时候其实我也是充满了迷茫的
[00:03:06,400 -> 00:03:08,960] 我跟我爸妈聊了很多
[00:03:08,960 -> 00:03:12,560] 他们说你都已经是一个计算机相关专业的学生了
[00:03:12,560 -> 00:03:14,400] 为什么要去换到一个这么奇怪的专业
[00:03:14,400 -> 00:03:16,000] 这专业在国内甚至都没有
[00:03:16,000 -> 00:03:17,919] 很可能之后你找不到工作
[00:03:17,919 -> 00:03:20,719] 你又没想过你的家人应该怎么办
[00:03:20,719 -> 00:03:24,960] 然后我没有办法就是在我写文书的时候
[00:03:24,960 -> 00:03:25,000] 非常有私心的填了一个有些相关专业的学校应该怎么办然后我没有办法就是在我写文书的时候
[00:03:25,000 -> 00:03:29,000] 非常有私心的填了一个游戏相关专业的学校
[00:03:29,000 -> 00:03:32,000] 然后最后虽然顺利的拿到了offer
[00:03:32,000 -> 00:03:34,000] 然后经过层层的说服
[00:03:34,000 -> 00:03:37,000] 最后让我爸妈同意了我去选择这样一个专业
[00:03:37,000 -> 00:03:39,000] 他们觉得如果能做自己喜欢的事情
[00:03:39,000 -> 00:03:41,000] 也是相对来说比较好的一个结果
[00:03:41,000 -> 00:03:42,000] 后悔吗
[00:03:42,000 -> 00:03:43,000] 不后悔啊
[00:03:43,000 -> 00:03:44,000] 我觉得挺好的
[00:03:44,000 -> 00:03:45,400] 开心吗嗯
[00:03:45,840 -> 00:03:46,879] 现在的工作
[00:03:47,120 -> 00:03:50,960] 我觉得这个工作确实是一个会让人感觉内心很愉悦的工作
[00:03:50,960 -> 00:03:53,680] 它会让你会有很多的成就感
[00:03:53,680 -> 00:03:56,680] 你会可以实际的去参与到一个制作的过程中
[00:03:56,680 -> 00:03:58,360] 哇这里边想聊的东西太多了
[00:03:58,360 -> 00:04:00,479] 就是自我认知这个很重要
[00:04:00,479 -> 00:04:02,199] 但是我们先放后边先说
[00:04:02,199 -> 00:04:05,800] 喜欢游戏要进入游戏行业这个想法对不对
[00:04:05,800 -> 00:04:09,599] 喜欢游戏肯定是进入这个行业的一个前提
[00:04:09,599 -> 00:04:11,879] 我觉得如果你都不喜欢这个东西的话
[00:04:11,879 -> 00:04:13,479] 其实对很多行业都是这样的
[00:04:13,479 -> 00:04:14,400] 如果你不喜欢
[00:04:14,400 -> 00:04:18,000] 那你就压根不会有激情或者去钻研一个东西
[00:04:18,000 -> 00:04:19,240] 这其实还挺必要的
[00:04:19,240 -> 00:04:22,480] 但是喜欢游戏可能进入游戏行业是不太够的
[00:04:22,480 -> 00:04:25,120] 它只是一个你最开始的原始的一个冲动
[00:04:25,120 -> 00:04:28,240] 你进来的时候其实应该也是有相关的一些
[00:04:28,240 -> 00:04:32,000] 至少是在心态上或者是说你的能力上
[00:04:32,000 -> 00:04:33,360] 也要有一定匹配的维度
[00:04:33,360 -> 00:04:35,199] 就对我来说我是策划嘛
[00:04:35,199 -> 00:04:38,120] 对策划这份工作或者说游戏程序员
[00:04:38,120 -> 00:04:39,319] 或者说游戏美术来说
[00:04:39,319 -> 00:04:41,399] 他们都有一定的能力的要求
[00:04:41,399 -> 00:04:43,199] 这个大概就是这样
[00:04:43,199 -> 00:04:45,319] 除了热爱加能力以外
[00:04:45,319 -> 00:04:46,680] 还有没有什么其他的东西
[00:04:46,680 -> 00:04:49,439] 就是会不会是因为我很喜欢玩游戏
[00:04:49,439 -> 00:04:51,439] 然后加入游戏天天都在做
[00:04:51,439 -> 00:04:52,720] 结果发现很枯燥
[00:04:52,720 -> 00:04:54,519] 而导致我连这个爱好都没了
[00:04:54,519 -> 00:04:57,600] 会有就是其实很多人进来了之后
[00:04:57,600 -> 00:04:59,839] 或者说我听到身边的人也会说
[00:04:59,839 -> 00:05:01,759] 他们加入了游戏行业
[00:05:01,759 -> 00:05:04,480] 然后每天面对的都是游戏背后的开发过程
[00:05:04,480 -> 00:05:07,279] 感觉就是撕开了神秘的面纱
[00:05:07,279 -> 00:05:09,319] 可能游戏在你眼里也不再神秘了
[00:05:09,319 -> 00:05:12,000] 有很多人玩游戏也会觉得失去了乐趣
[00:05:12,000 -> 00:05:15,079] 但我觉得这是一个需要调整的心态
[00:05:15,079 -> 00:05:17,439] 就是你做的时候是你去做
[00:05:17,439 -> 00:05:19,000] 你去再提升一个
[00:05:19,000 -> 00:05:20,800] 你是在逐步的优化一个东西
[00:05:20,800 -> 00:05:21,680] 然后让它变更好
[00:05:21,680 -> 00:05:23,319] 你在展示自己的思维
[00:05:23,319 -> 00:05:24,639] 这是完全不同的乐趣
[00:05:24,639 -> 00:05:26,000] 那么你在玩的时候
[00:05:26,000 -> 00:05:30,040] 你就应该完完全全的放松去用心的感受这个东西的魅力
[00:05:30,040 -> 00:05:33,680] 很多时候我们会完全不带脑子的去思考去玩一个游戏
[00:05:33,680 -> 00:05:36,120] 这其实和大家玩游戏其实也没有什么区别
[00:05:36,120 -> 00:05:37,600] 这还挺难的
[00:05:37,600 -> 00:05:40,959] 我发现就是我做一个东西以后就很难跳出这个思考
[00:05:40,959 -> 00:05:42,040] 其实我类比一下
[00:05:42,040 -> 00:05:45,600] 你也跟我说过就是爱玩游戏和爱做游戏是两回事
[00:05:45,600 -> 00:05:45,959] 嗯
[00:05:45,959 -> 00:05:47,639] 就是可能就是做饭吧
[00:05:47,639 -> 00:05:48,120] 对吧
[00:05:48,120 -> 00:05:50,959] 你爱吃不代表你那个能做一个好大厨
[00:05:50,959 -> 00:05:52,160] 或者说你爱做饭
[00:05:52,160 -> 00:05:55,000] 但是你爱吃应该是一个好大厨的前提
[00:05:55,000 -> 00:05:55,360] 嗯
[00:05:55,360 -> 00:05:56,279] 这个是肯定的
[00:05:56,279 -> 00:05:58,560] 就是我觉得一个比较重要的标准
[00:05:58,560 -> 00:06:01,319] 就是其实大家都可以自己测试一下
[00:06:01,319 -> 00:06:03,000] 就是你在玩游戏的时候
[00:06:03,000 -> 00:06:03,879] 会不会觉得啊
[00:06:03,879 -> 00:06:06,800] 这个游戏有很多做的很不合理的地方
[00:06:06,800 -> 00:06:07,600] 然后这是第一步
[00:06:07,600 -> 00:06:10,000] 你要提出有建设性的批判的观点
[00:06:10,000 -> 00:06:12,500] 比如说某个地方做的太恶心了
[00:06:12,500 -> 00:06:15,199] 那么这个恶心会导致什么样的结果
[00:06:15,199 -> 00:06:17,800] 他可能会觉得玩家可能到这就不玩了
[00:06:17,800 -> 00:06:19,699] 然后这是第一步
[00:06:19,699 -> 00:06:22,000] 就是你提出这种批判性的现象之后
[00:06:22,000 -> 00:06:25,279] 其实对于策划或者说对设计能力来说
[00:06:25,279 -> 00:06:30,879] 你需要去从这样的现象推到它背后的一个相对来说比较
[00:06:30,879 -> 00:06:34,480] 正洁的地方然后找出可以去解决的一个办法
[00:06:34,480 -> 00:06:37,199] 比如说有一些游戏我们做的太难了
[00:06:37,199 -> 00:06:38,720] 所以玩家不玩了
[00:06:38,720 -> 00:06:41,360] 那其实市面上难的游戏会比较多
[00:06:41,360 -> 00:06:45,600] 然后我们也看到像黑魂这种比较成功或者老头还也很多人去玩
[00:06:45,600 -> 00:06:48,000] 所以如果这个游戏只是因为男
[00:06:48,000 -> 00:06:48,899] 就让玩家不玩的话
[00:06:48,899 -> 00:06:49,800] 其实是不成立的
[00:06:49,800 -> 00:06:51,600] 因为有一些例子已经跟我们说明了
[00:06:51,600 -> 00:06:54,500] 那他男可能是因为他男的没意思
[00:06:54,500 -> 00:06:55,899] 那男的没意思
[00:06:55,899 -> 00:06:57,800] 这个没意思是为什么而造成的
[00:06:57,800 -> 00:06:59,500] 可能是因为你过程中没有
[00:06:59,500 -> 00:07:01,399] 就比如说击杀这个怪物
[00:07:01,399 -> 00:07:02,500] 玩家没有兴奋感
[00:07:02,500 -> 00:07:05,240] 那我们其实要解决是玩家没有兴奋感的问题
[00:07:05,240 -> 00:07:07,959] 很多人玩游戏他会反映出
[00:07:07,959 -> 00:07:10,680] 这个就是说某个地方做的不合理
[00:07:10,680 -> 00:07:11,879] 其实这个很重要
[00:07:11,879 -> 00:07:12,759] 就是对策划来说
[00:07:12,759 -> 00:07:15,240] 你要首先可以提出自己的批判性的意见
[00:07:15,240 -> 00:07:17,160] 大概就是我在做一个吃货的时候
[00:07:17,160 -> 00:07:18,879] 要知道这道菜为什么做的不好吃
[00:07:18,879 -> 00:07:20,959] 是咸了还是火候不好还是怎样
[00:07:20,959 -> 00:07:21,199] 对
[00:07:21,199 -> 00:07:23,079] 就是你首先你要知道他做的不好吃
[00:07:23,079 -> 00:07:25,240] 然后你要知道他是盐放多了还是怎么
[00:07:25,240 -> 00:07:27,079] 对然后如果你下次再去做的时候
[00:07:27,079 -> 00:07:28,720] 应该是少放一点盐还是怎么样
[00:07:28,720 -> 00:07:30,079] 对对对对对好
[00:07:30,120 -> 00:07:31,920] 这个就是我们不展开的
[00:07:31,920 -> 00:07:34,519] 但是从这里面能感受到对游戏的热爱
[00:07:34,519 -> 00:07:36,399] 和对这中间的思考是很重要的
[00:07:36,399 -> 00:07:38,160] 我们用这个做饭的类比
[00:07:38,160 -> 00:07:41,519] 嗯采访应届生总是感觉自己在采访大佬
[00:07:41,519 -> 00:07:42,759] 其实应届生们都是大佬
[00:07:42,759 -> 00:07:44,759] 哈哈哈哈
[00:07:44,759 -> 00:07:46,360] 所以我刚才就很就在笑就是一个完全是大佬其实音乐社门都是大佬没错所以我刚才就在笑
[00:07:46,360 -> 00:07:47,920] 就是一个完全是大佬的口吻
[00:07:47,920 -> 00:07:48,959] 但是说的都是对的
[00:07:48,959 -> 00:07:50,720] 就是这不是因为身份
[00:07:50,720 -> 00:07:51,279] 对吧
[00:07:51,279 -> 00:07:52,040] 说的都是对的
[00:07:52,040 -> 00:07:53,800] 那我们再问一个
[00:07:53,800 -> 00:07:55,600] 就是你刚说了策划
[00:07:55,600 -> 00:07:58,360] 你也说了你当时学的这个专业是
[00:07:58,360 -> 00:07:59,399] 比如说引擎
[00:07:59,399 -> 00:08:00,639] 后台这些东西
[00:08:00,639 -> 00:08:03,399] 那游戏里还有一些什么样的职位呢
[00:08:03,399 -> 00:08:05,759] 就是或者说你日常打架到比较多的吧
[00:08:05,759 -> 00:08:07,639] 其实策划有很多种
[00:08:07,639 -> 00:08:09,120] 但是大家可以
[00:08:09,120 -> 00:08:10,920] 关卡策划数值策划什么的
[00:08:10,920 -> 00:08:13,160] 关卡策划系统策划
[00:08:13,160 -> 00:08:15,439] 数值策划还有战斗策划
[00:08:15,439 -> 00:08:17,040] 国内的话大概是这么几个分类
[00:08:17,040 -> 00:08:20,040] 在国外的话可能会有更细的分类
[00:08:20,040 -> 00:08:21,959] 国外没有策划这个
[00:08:21,959 -> 00:08:24,360] 国外叫designer
[00:08:24,360 -> 00:08:28,000] 但是他们会有那个比如说像是环境designer
[00:08:28,000 -> 00:08:32,000] environment designer 这种东西就是他们会是纯去造景的
[00:08:32,000 -> 00:08:36,000] 但是他们会和那个关卡策划合作的特别的紧密
[00:08:36,000 -> 00:08:40,000] 所以会有这样很多不同的职位的要求
[00:08:40,000 -> 00:08:43,000] 因为怎么说呢 游戏是一个非常混沌的行业
[00:08:43,000 -> 00:08:45,879] 所以很多我们当时学的理论知识
[00:08:45,879 -> 00:08:50,799] 其实现在来看可能也是需要及时去调整的
[00:08:50,799 -> 00:08:53,120] 这是一个百家争鸣的时代
[00:08:53,120 -> 00:08:54,799] 就很多理论其实并不是
[00:08:54,799 -> 00:08:56,720] 是因为最近发展的太快了呢
[00:08:56,720 -> 00:08:59,080] 还是因为教材太老了
[00:08:59,080 -> 00:09:01,799] 教课的人不是真正在一线做游戏的人
[00:09:03,519 -> 00:09:07,299] 我觉得游戏相对于其他媒体来说更加的复杂
[00:09:07,299 -> 00:09:09,899] 因为它需要一个玩家的输入
[00:09:09,899 -> 00:09:12,899] 其实它和电影或者是说小说
[00:09:12,899 -> 00:09:14,600] 其实对比起来的话
[00:09:14,600 -> 00:09:18,600] 其实游戏它会更在意玩家是否要去做一些事情
[00:09:18,600 -> 00:09:20,100] 和这个世界产生交互
[00:09:20,100 -> 00:09:22,500] 那么会不会产生什么样的影响
[00:09:22,500 -> 00:09:25,399] 其实玩家是一个非常不可控的群体
[00:09:25,399 -> 00:09:26,600] 我们不知道玩家是怎么想的
[00:09:26,600 -> 00:09:29,700] 可能上一代玩家他喜欢这个东西
[00:09:29,700 -> 00:09:31,799] 比如说喜欢一个难一点的游戏
[00:09:31,799 -> 00:09:33,600] 那么可能下一代玩家会觉得
[00:09:33,600 -> 00:09:35,299] 难一点的游戏太消耗时间了
[00:09:35,299 -> 00:09:38,299] 我们希望用更少的时间去玩
[00:09:38,299 -> 00:09:40,799] 那么他可能会喜欢一些更轻松的
[00:09:40,799 -> 00:09:42,200] 可以在手机上玩的游戏
[00:09:42,200 -> 00:09:44,600] 所以说每一代玩家的口味和需求都不一样的
[00:09:44,600 -> 00:09:49,200] 那么游戏的理论其实会受到这些东西或多或少的影响
[00:09:49,200 -> 00:09:51,480] 他没有办法很准确的定义下来
[00:09:51,480 -> 00:09:58,399] 或者说因为游戏理论这个东西本身就是从industry返回来了
[00:09:58,399 -> 00:09:59,159] 明白了
[00:09:59,159 -> 00:09:59,919] 好的
[00:09:59,919 -> 00:10:03,720] 所以大概意思就是说它其实是一个变化很快又很复杂的东西
[00:10:03,720 -> 00:10:06,279] 你想把它通过教科書教明白的話比較難
[00:10:06,279 -> 00:10:09,000] 如果你看了一些遊戲相關的書
[00:10:09,000 -> 00:10:12,519] 你就會發現大家聊的東西都有一點的或多或少的出入
[00:10:12,519 -> 00:10:13,480] 好的
[00:10:13,480 -> 00:10:15,279] 就是要自己去過濾一下
[00:10:15,279 -> 00:10:17,879] 明白沒有人知道那個真實情況
[00:10:17,879 -> 00:10:19,879] 或者說是一個全面的真實情況
[00:10:19,879 -> 00:10:24,879] 那這個行業就是有幾種類型我們就先不說了吧
[00:10:24,879 -> 00:10:27,320] 這也不是為了說鼓勱大家来游戏行业
[00:10:27,320 -> 00:10:30,000] 而是把这个情况跟大家讲一下
[00:10:30,000 -> 00:10:32,600] 那就从你熟悉的这个策划来说吧
[00:10:32,600 -> 00:10:34,519] 我们起码讲清楚一小块
[00:10:34,519 -> 00:10:36,559] 就是你的职业发展路径是什么样子的
[00:10:36,559 -> 00:10:38,320] 这可能是大家比较关心的话题
[00:10:38,320 -> 00:10:40,759] 其实如果是策划的职业发展路径的话
[00:10:40,759 -> 00:10:41,639] 就最开始的话
[00:10:41,639 -> 00:10:44,600] 你会是一个Junior level的一个策划
[00:10:44,600 -> 00:10:47,039] 他就是入门的策劃入門的策劃
[00:10:47,039 -> 00:10:49,860] 他一般做的工作會更偏執行一些
[00:10:49,860 -> 00:10:54,940] 就是整個遊戲的框架是由更加資深的人去定的
[00:10:54,940 -> 00:10:56,379] 然後你可以決定的是
[00:10:56,379 -> 00:10:57,740] 根據他這個框架之下
[00:10:57,740 -> 00:11:00,019] 你的負責的一個小模塊
[00:11:00,019 -> 00:11:01,899] 或者是說一小個系統的話
[00:11:01,899 -> 00:11:04,139] 他應該有怎麼樣的一些特性
[00:11:04,139 -> 00:11:06,320] 或者說有一些什麼樣的显示功能
[00:11:06,320 -> 00:11:08,559] 那么这些可能是比较
[00:11:08,559 -> 00:11:11,080] 就是你一进这个游戏行业
[00:11:11,080 -> 00:11:13,120] 你第一个会去做的这样一个
[00:11:13,120 -> 00:11:14,399] 你也有机会写案子
[00:11:14,399 -> 00:11:17,879] 但是你会有更多的时间去做这些制作级的内容
[00:11:17,879 -> 00:11:21,080] 然后稍微资深一点的话
[00:11:21,080 -> 00:11:26,220] 你会升到应该是带有一点点管理色彩的高级策划
[00:11:26,220 -> 00:11:28,220] 就是他可能会同意一个组
[00:11:28,220 -> 00:11:29,500] 他会定更大
[00:11:29,500 -> 00:11:32,220] 他会从原来的小系统跳到一个更大的系统
[00:11:32,220 -> 00:11:35,500] 比如最开始你是做一个小关卡
[00:11:35,500 -> 00:11:38,700] 那么你可能之后你是做一整套关卡
[00:11:38,700 -> 00:11:40,500] 这套关卡应该有怎么样的共性
[00:11:40,500 -> 00:11:43,299] 那么可能这个就是更高级的策划去思考的问题
[00:11:43,299 -> 00:11:45,000] 到了高级策划之后
[00:11:45,000 -> 00:11:48,000] 会再跳到更高一级
[00:11:48,000 -> 00:11:50,000] 就应该是主策划
[00:11:50,000 -> 00:11:52,000] 主策划去思考的问题就是
[00:11:52,000 -> 00:11:54,000] 如果还是用刚刚关卡的例子的话
[00:11:54,000 -> 00:11:55,000] 你思考的是一整批关卡
[00:11:55,000 -> 00:11:57,000] 他现在就考虑的不是关卡了
[00:11:57,000 -> 00:11:58,000] 他现在考虑的就是
[00:11:58,000 -> 00:12:00,000] 整个游戏应该是什么样的面貌
[00:12:00,000 -> 00:12:02,000] 这批关卡
[00:12:02,000 -> 00:12:06,299] 他会给一个最初最开始的定义
[00:12:06,600 -> 00:12:09,000] 然后这个定义会慢慢分发下来
[00:12:09,000 -> 00:12:11,799] 一层一层的最后到达执行的策划
[00:12:11,799 -> 00:12:12,899] 然后慢慢去填充
[00:12:12,899 -> 00:12:14,700] 宫崎云高是主策划吗
[00:12:15,000 -> 00:12:15,899] 他是制作人
[00:12:15,899 -> 00:12:17,200] 制作人更牛逼一点
[00:12:17,600 -> 00:12:19,200] 制作人会更牛逼一点
[00:12:19,200 -> 00:12:19,700] 对
[00:12:20,100 -> 00:12:21,600] 但是主策划就是策划的头了
[00:12:21,600 -> 00:12:22,899] 对
[00:12:22,899 -> 00:12:25,679] 但这主策划上面还有制作人
[00:12:25,679 -> 00:12:28,200] 就制作人一般会负责整个项目组
[00:12:28,200 -> 00:12:29,799] 就因为加上程序和美术
[00:12:29,799 -> 00:12:31,519] 对 他会
[00:12:31,519 -> 00:12:34,600] 那他会更在意怎么说呢
[00:12:34,600 -> 00:12:36,519] 他会更在意这个游戏的
[00:12:36,519 -> 00:12:37,480] 就整体的调性
[00:12:37,480 -> 00:12:38,600] 比如说目标群众
[00:12:38,600 -> 00:12:39,519] Market niche
[00:12:39,519 -> 00:12:41,000] 这些东西他是不是准确的
[00:12:41,000 -> 00:12:41,840] 那像我们这种
[00:12:41,840 -> 00:12:43,519] 比如说打击感是策划出来的
[00:12:43,519 -> 00:12:44,879] 还是设计还是美术
[00:12:45,679 -> 00:12:49,080] 打击感这个东西因为它是一个比较偏玄学的东西
[00:12:49,080 -> 00:12:51,159] 对一是比较玄学
[00:12:51,159 -> 00:12:52,440] 就美术没办法定义
[00:12:52,440 -> 00:12:55,240] 二是这个东西其实是体验的一部分
[00:12:55,240 -> 00:12:56,799] 就其实对策划来说
[00:12:56,799 -> 00:12:58,279] 只要这东西就是体验的一部分
[00:12:58,279 -> 00:12:59,840] 那就是应该是策划负责
[00:13:00,399 -> 00:13:02,600] 只要是体验的一部分就是策划负责
[00:13:02,799 -> 00:13:05,799] 对所以说你去做的时候
[00:13:05,799 -> 00:13:08,299] 你会经常和美术有很多的交集
[00:13:08,299 -> 00:13:11,100] 因为美术他们觉得这个东西不是体验的一部分
[00:13:11,100 -> 00:13:12,600] 它只是视觉的一种感受
[00:13:12,600 -> 00:13:15,299] 但是很多时候眼睛里边和心里边是两件事
[00:13:15,299 -> 00:13:17,500] 可能策划管的是到心里边的感觉
[00:13:17,500 -> 00:13:18,100] 对
[00:13:18,100 -> 00:13:18,899] 哦
[00:13:18,899 -> 00:13:19,500] 哦
[00:13:19,500 -> 00:13:21,000] 哈哈哈
[00:13:21,000 -> 00:13:24,500] 到时候感觉不好就说是策划的问题
[00:13:24,500 -> 00:13:26,679] 这个确实可以说是策划的问题
[00:13:26,679 -> 00:13:29,600] 好 所以是开发美术策划一般是这样对吧
[00:13:29,600 -> 00:13:32,600] 对 就刚刚之前那个问题没有补全
[00:13:32,600 -> 00:13:36,919] 我说一下其实大概其他的分工的话
[00:13:36,919 -> 00:13:40,399] 有美术有场景美术有原画美术有动画美术
[00:13:40,399 -> 00:13:41,720] 还有做那个物件
[00:13:41,720 -> 00:13:43,519] 就比如说3D美术的话它会分很多
[00:13:43,519 -> 00:13:45,559] 比如说如果你游戏有很多场景的话
[00:13:45,559 -> 00:13:46,879] 它会做场景美术
[00:13:46,879 -> 00:13:50,399] 就是给你的关卡做包装啊
[00:13:50,399 -> 00:13:51,919] 做各种各样的物件啊
[00:13:51,919 -> 00:13:54,080] 还有一些做人物的
[00:13:54,080 -> 00:13:55,279] 就是它会去做角色
[00:13:55,279 -> 00:13:56,320] 比如说做一个英雄
[00:13:56,320 -> 00:13:58,360] 做一个做一个怪物
[00:13:58,360 -> 00:13:59,799] 那么这些可能是美术的
[00:13:59,799 -> 00:14:02,320] 就美术的我会聊得比较快一点
[00:14:02,320 -> 00:14:03,559] 因为就是我
[00:14:03,559 -> 00:14:04,440] 讲小板啊
[00:14:04,440 -> 00:14:07,879] 我只说大概就和我就是接触比较多的
[00:14:07,879 -> 00:14:09,879] 然后程序的话会分为前端和后端
[00:14:09,879 -> 00:14:10,759] 就比较简单
[00:14:10,759 -> 00:14:14,519] 就是前端就是你在服务器上看到的各种表现的内容
[00:14:14,519 -> 00:14:18,080] 然后后端的话就是一些服务器的数据的交互
[00:14:18,080 -> 00:14:19,759] 就比如说如果你是一个多人游戏的话
[00:14:19,759 -> 00:14:21,519] 有一些东西是不能在本地的
[00:14:21,519 -> 00:14:24,960] 就是如果你在本地给他写了一个加一千金币的话
[00:14:24,960 -> 00:14:25,000] 他可以自己通过作为软件把它改掉所以这个东西是不能在本地的就是如果你在本地给他写了一个加一千金币的话
[00:14:25,000 -> 00:14:27,279] 他可以自己通过作业软件把它改掉
[00:14:27,279 -> 00:14:29,279] 所以这个东西是需要走后台的
[00:14:29,279 -> 00:14:32,080] 那么后台主要是负责这些数据的处理
[00:14:32,080 -> 00:14:35,480] 基本上是策划美术程序
[00:14:35,480 -> 00:14:36,779] 对
[00:14:36,779 -> 00:14:39,679] 然后就是制作人啊什么pm啊
[00:14:39,679 -> 00:14:40,980] 对对好
