[00:00:00,000 -> 00:00:01,600] 跟一个你不是完全认可的人
[00:01:19,319 -> 00:01:21,840] 但是你要给我非常清晰的instruction
[00:01:21,840 -> 00:01:23,359] 我什么都可以去做
[00:01:23,519 -> 00:01:25,799] 但是你如果让我自己去想要做什么
[00:01:25,799 -> 00:01:27,799] 这对我来说是一件很陌生的事情
[00:01:27,799 -> 00:01:29,799] 包括比如说假设
[00:01:29,799 -> 00:01:31,599] 假设我提出来一个主动
[00:01:31,599 -> 00:01:34,200] 一旦有外力来质疑这个事情
[00:01:34,200 -> 00:01:35,799] 我肯定就会很容易就让步了
[00:01:35,799 -> 00:01:39,000] 因为我就是很不习惯这件事情
[00:01:41,799 -> 00:01:43,599] 你讨厌争吵吗
[00:01:43,599 -> 00:01:44,599] 嗯
[00:01:44,599 -> 00:01:48,480] 你有没有很讨厌我之前会很讨厌这flict吗你有没有很讨厌人和人之间的纷争
[00:01:48,480 -> 00:01:49,079] 我之前会很讨厌
[00:01:49,079 -> 00:01:49,799] 这一两年会好很多
[00:01:49,799 -> 00:01:51,400] 哪怕牺牲很多东西
[00:01:51,400 -> 00:01:54,200] 也想避免conflict的出现
[00:01:54,200 -> 00:01:55,879] 我觉得我以前会
[00:01:55,879 -> 00:01:57,599] 这一两年会好很多
[00:01:57,599 -> 00:02:00,000] 就包括以前我跟爸妈的沟通
[00:02:00,000 -> 00:02:01,599] 都是很有问题的
[00:02:01,599 -> 00:02:04,079] 就是好像你不开心了也不会说
[00:02:04,079 -> 00:02:06,319] 你可能就开始就甩脸色
[00:02:06,319 -> 00:02:11,439] 就好像没有这个语言去表达自己不开心的点
[00:02:11,439 -> 00:02:13,879] 但是后来也是跟therapist讲到
[00:02:13,879 -> 00:02:15,120] 比如说我又跟我妈吵架
[00:02:15,120 -> 00:02:16,400] 我又跟我爸吵架
[00:02:16,400 -> 00:02:19,039] 然后therapist就会帮你一点一点的分析
[00:02:19,039 -> 00:02:22,159] 你们吵架的这个场景是什么样的
[00:02:22,159 -> 00:02:23,639] 它也会慢慢的让我意识到
[00:02:23,639 -> 00:02:26,560] 就是我需要去学习一种沟通conflict的语言
[00:02:26,560 -> 00:02:28,960] 所以现在其实会好很多
[00:02:28,960 -> 00:02:30,319] 你在沟通conflict
[00:02:30,319 -> 00:02:32,479] 但是你还是希望避免conflict的出现
[00:02:32,479 -> 00:02:33,520] 是的
[00:02:33,520 -> 00:02:35,759] 你很认人吗
[00:02:35,759 -> 00:02:38,960] 就是你觉得你的老板本身值不值得信任
[00:02:38,960 -> 00:02:40,560] 是一个特别特别重要的事情
[00:02:40,560 -> 00:02:43,280] 就是做的事情比跟的人
[00:02:43,280 -> 00:02:45,479] 比起做的事情比跟的人
[00:02:45,699 -> 00:02:48,819] 比起做的事情跟的人更重要
[00:02:49,039 -> 00:02:53,000] 我觉得是一样重要的
[00:02:53,219 -> 00:02:55,580] 好像没有说
[00:02:55,819 -> 00:02:57,560] 跟一个你不是完全认可的人
[00:02:57,780 -> 00:02:59,099] 做一件你觉得很有意思的事
[00:02:59,340 -> 00:03:00,819] 跟一个你很认可的人
[00:03:01,039 -> 00:03:04,000] 做一件好像看似没什么意义的事
[00:03:04,219 -> 00:03:04,960] 你选择哪一个
[00:03:05,400 -> 00:03:06,800] 我应该会跟一个不是很认可的人去一件好像看似没什么意义的事你选择哪一个我应该会跟一个
[00:03:06,800 -> 00:03:08,000] 不是很认可的人
[00:03:08,000 -> 00:03:09,800] 去做有意义的事
[00:03:09,800 -> 00:03:11,800] 因为我蛮容易认可别人的
[00:03:11,800 -> 00:03:13,000] 就认可别人对我来说
[00:03:13,000 -> 00:03:15,000] 不是一个问题
[00:03:15,000 -> 00:03:15,400] 就是
[00:03:15,400 -> 00:03:16,599] 沈题沈题
[00:03:16,599 -> 00:03:19,199] 你已经不认可他了
[00:03:19,199 -> 00:03:20,400] 对 但是这个怎么说呢
[00:03:20,400 -> 00:03:22,000] 就是如果我真的很不认可他
[00:03:22,000 -> 00:03:23,599] 那其实是一个非常严重的问题
[00:03:23,599 -> 00:03:25,719] 就是他已经非常非常的糟糕了
[00:03:25,719 -> 00:03:26,680] 对
[00:03:26,680 -> 00:03:28,919] 但是我就像你说的人都是平均的
[00:03:28,919 -> 00:03:32,759] 我其实目前还没有见到说这个事情很有意义
[00:03:32,759 -> 00:03:34,120] 但是我不认可这个人
[00:03:34,120 -> 00:03:35,199] 我总是可以找到
[00:03:35,199 -> 00:03:37,120] 一个平均认可的人
[00:03:37,120 -> 00:03:38,560] 做一件比较有意义的事
[00:03:38,560 -> 00:03:40,479] versus一个你超级认可的人
[00:03:40,479 -> 00:03:42,000] 但是为什么我超级认可的人
[00:03:42,000 -> 00:03:43,680] 会做一个没有意义的事
[00:03:43,680 -> 00:03:45,400] 就可能觉得对你没有意义吧
[00:03:45,400 -> 00:03:47,840] 比如说那个人的梦想是征服世界
[00:03:47,840 -> 00:03:51,000] 或者说就是让世界一般的人下岗之类的
[00:03:51,000 -> 00:03:52,400] 哦
[00:03:52,400 -> 00:03:56,800] 但是你这个人就是超级认可
[00:03:56,800 -> 00:03:58,400] 他就在干什么
[00:03:58,400 -> 00:03:58,800] 对
[00:03:58,800 -> 00:04:00,400] 那我觉得如果我认可他
[00:04:00,400 -> 00:04:01,199] 我大概率
[00:04:01,199 -> 00:04:03,000] 就是你说这两个在我这里
[00:04:03,000 -> 00:04:06,800] 其实我觉得我主观上会让它变得就是更一致
[00:04:06,800 -> 00:04:08,000] 比如说我认可它
[00:04:08,000 -> 00:04:11,000] 我可能就会更加认可它要做的事情
[00:04:11,000 -> 00:04:13,199] 那么比如说我认可这件事情
[00:04:13,199 -> 00:04:14,800] 我也会因为我想要做这件事情
[00:04:14,800 -> 00:04:18,000] 从这个人身上找到更多值得认可的点
[00:04:18,000 -> 00:04:19,000] 就是我会尽
[00:04:19,000 -> 00:04:20,800] 其实更好的回答应该是
[00:04:20,800 -> 00:04:22,000] 我有哪个就做哪个呗
[00:04:22,000 -> 00:04:23,399] 因为大部分的情况可能是
[00:04:23,399 -> 00:04:25,959] 你既不认可这个人也不认可这件事情
[00:04:26,199 -> 00:04:28,519] 所以我但凡能找到一个我应该就会
[00:04:28,600 -> 00:04:29,439] 就会去做
[00:04:29,800 -> 00:04:31,920] 啊之所以刚才问那两个问题是因为
[00:04:31,920 -> 00:04:32,519] 就是
[00:04:33,160 -> 00:04:34,480] 之前我看过一个文章
[00:04:34,519 -> 00:04:36,279] 他把人分的类型
[00:04:36,279 -> 00:04:38,839] 我觉得其实比那个 MBTI 分的要更准
[00:04:39,560 -> 00:04:41,279] 但是那个文章就是需要很多的
[00:04:41,279 -> 00:04:42,639] context 才可以讲
[00:04:42,639 -> 00:04:44,360] 所以说我就不在视频里讲了
[00:04:44,600 -> 00:04:46,720] 但是你很符合其中一种类型
[00:04:46,720 -> 00:04:47,920] 哈哈哈哈
[00:04:47,920 -> 00:04:49,120] 就很有意思
[00:04:49,120 -> 00:04:51,199] 我觉得她那个角度还是挺好的
[00:04:51,199 -> 00:04:52,560] 对然后我们刚刚不是也说到
[00:04:52,560 -> 00:04:53,920] 就是学生思维
[00:04:53,920 -> 00:04:56,319] 对于这种工作的影响吗
[00:04:56,319 -> 00:04:58,240] 就是一个方面是我刚刚讲的
[00:04:58,240 -> 00:05:00,480] 在没有很清晰的路径的时候
[00:05:00,480 -> 00:05:01,920] 其实就会陷入一种
[00:05:01,920 -> 00:05:04,160] 就是很迷茫的状态
[00:05:04,160 -> 00:05:07,120] 这个状态不只是说你很不确定
[00:05:07,120 -> 00:05:10,000] 就是你连最基本的工作状态其实都很难找到
[00:05:10,000 -> 00:05:13,839] 我觉得就是因为我一直跟你说的是应该
[00:05:13,839 -> 00:05:16,079] 或者说我在频道里边一直跟大家说的是
[00:05:16,079 -> 00:05:17,600] 你要take initiative to buy up
[00:05:17,600 -> 00:05:19,519] 就是Virtual内心视频
[00:05:19,519 -> 00:05:21,439] 我一直这个词记得非常
[00:05:21,439 -> 00:05:23,199] 就是你要take initiative
[00:05:23,199 -> 00:05:26,000] 然后你要去主动去找一些事干
[00:05:26,000 -> 00:05:28,000] 不要内卷
[00:05:28,000 -> 00:05:30,000] 要想方设法的去创造增量的价值
[00:05:30,000 -> 00:05:32,000] 是吧 等等等等
[00:05:32,000 -> 00:05:34,000] 但我后来觉得这也未必是适合所有人
[00:05:34,000 -> 00:05:37,000] 或者说甚至我在日常工作中也会
[00:05:37,000 -> 00:05:39,000] 鼓励大家 要求大家去
[00:05:39,000 -> 00:05:41,000] 想那些新的东西
[00:05:41,000 -> 00:05:43,000] 但我也认识到了
[00:05:43,000 -> 00:05:46,120] 就是这件事会给很多人带来很大的不确定的感觉
[00:05:46,120 -> 00:05:47,639] 可能会让大家觉得很不爽
[00:05:48,839 -> 00:05:49,199] 对
[00:05:49,199 -> 00:05:50,800] 但是根据我的经历
[00:05:51,279 -> 00:05:55,199] 就是我觉得这个事情是会随着你的
[00:05:55,560 -> 00:05:57,680] 经验的增加而变得更好的
[00:05:57,680 -> 00:05:58,839] 对就是不确定性的
[00:05:58,839 -> 00:05:59,720] 当懂得越多
[00:05:59,720 -> 00:06:01,720] 不确定的东西的确定性就越高
[00:06:02,000 -> 00:06:03,079] 刚聊到哪里了
[00:06:06,160 -> 00:06:07,279] 刚刚聊到哪里了刚刚聊到
[00:06:08,519 -> 00:06:09,600] 你说
[00:06:10,920 -> 00:06:12,360] 你说我说了alternative
[00:06:12,360 -> 00:06:14,000] 你说你也没有想要这个
[00:06:14,000 -> 00:06:14,920] 对对对
[00:06:14,920 -> 00:06:18,600] 就是我经常会讲
[00:06:18,600 -> 00:06:20,680] strong opinion weakly held
[00:06:20,920 -> 00:06:22,879] 就是我的opinion非常的strong
[00:06:22,879 -> 00:06:24,680] 但是我期待有人告诉我一个
[00:06:24,680 -> 00:06:25,720] bystander alternative然后我会识别出来这个bystander alternative然后使用它就是我的opinion非常的strong但是我期待有人告诉我一个battle of the interest
[00:06:25,720 -> 00:06:28,480] 然后我会识别出来这个battle of the interest
[00:06:28,480 -> 00:06:29,680] 然后使用它
[00:06:29,680 -> 00:06:34,319] 我觉得这个balance也是我很希望能够掌握好的
[00:06:34,319 -> 00:06:38,480] 就很多时候就是你很strong opinion的时候
[00:06:38,480 -> 00:06:41,680] 其实是比较难再承认
[00:06:41,680 -> 00:06:43,680] 就是再更open一点了
[00:06:43,680 -> 00:06:44,279] 啊
[00:06:44,279 -> 00:06:46,240] 我觉得这两个关系不冲突是不冲突但是就会比较难再承认就是再更open一点了啊我觉得这两个完全不冲突
[00:06:46,240 -> 00:06:48,160] 是不冲突但是就会比较难
[00:06:48,160 -> 00:06:49,680] 因为对我来说我的opinion
[00:06:49,680 -> 00:06:51,040] 一开始就很不strong
[00:06:51,360 -> 00:06:53,759] 然后我我先花了时间
[00:06:53,759 -> 00:06:56,600] 就是花了精力去把它变得更strong之后
[00:06:56,839 -> 00:06:58,639] 我又要再去变得更open
[00:06:58,639 -> 00:07:00,240] 就是我这个这个这个东西
[00:07:00,240 -> 00:07:01,360] 会不会是你觉得
[00:07:01,360 -> 00:07:03,199] 就是你对这个opinion
[00:07:03,199 -> 00:07:06,120] 你自己的opinion是对是错这件事太在意了
[00:07:06,680 -> 00:07:09,279] 我完全不在意被打脸这件事情
[00:07:09,279 -> 00:07:11,279] 就是我对自己的opinion是对是错
[00:07:11,279 -> 00:07:12,199] 一点都不在意
[00:07:12,639 -> 00:07:14,639] 我之所以会那样strong opinion
[00:07:14,639 -> 00:07:16,759] 就是因为我不怕错
[00:07:17,319 -> 00:07:20,360] 然后我就是希望通过我的strong opinion
[00:07:20,360 -> 00:07:23,040] 来激发大家对他的反驳
[00:07:23,040 -> 00:07:24,480] 从而证明我是错的
[00:07:24,879 -> 00:07:26,360] 我觉得如果我不这么说的话
[00:07:26,360 -> 00:07:28,480] 很多时候大家觉得我错也不说了
[00:07:28,480 -> 00:07:31,319] 我希望大家告诉我我是错的
[00:07:31,319 -> 00:07:33,839] 而你这么讲的话
[00:07:33,839 -> 00:07:38,480] 我觉得我在很多其他的事情上是可以做到的
[00:07:38,480 -> 00:07:42,040] 比如说我们在讨论一些文学作品或者一些影视作品
[00:07:42,040 -> 00:07:43,720] 或者讨论诗歌的时候
[00:07:43,720 -> 00:07:45,720] 我会說一些就是
[00:07:45,720 -> 00:07:47,519] 就是我很直接的想法
[00:07:47,519 -> 00:07:48,800] 語不驚人死不消
[00:07:48,800 -> 00:07:50,639] 但是其實是為了
[00:07:50,639 -> 00:07:51,079] 不是
[00:07:51,079 -> 00:07:52,160] 就是我還是會說一些
[00:07:52,160 -> 00:07:52,920] 我很直接的想法
[00:07:52,920 -> 00:07:53,959] 比如說我看不懂
[00:07:53,959 -> 00:07:56,519] 或者說我就是不太喜歡這個東西
[00:07:56,519 -> 00:07:58,120] 我也會不介意讓別人
[00:07:58,120 -> 00:07:59,959] 我也會很想要學習更多的東西
[00:07:59,959 -> 00:08:03,000] 但是如果是在工作的環境裡面
[00:08:03,000 -> 00:08:05,439] 我其實就會非常的担心
[00:08:05,439 -> 00:08:08,439] 比如说我的打脸会不会
[00:08:08,439 -> 00:08:10,680] 造成一些不好的后果
[00:08:10,680 -> 00:08:13,199] 会不会从此失去了老板的信任
[00:08:13,199 -> 00:08:14,480] 和同事的信任
[00:08:14,480 -> 00:08:16,439] 会不会所有人都再也不相信我
[00:08:16,439 -> 00:08:19,519] 好像是我在职业生涯的很早期
[00:08:19,519 -> 00:08:22,480] 就是刚才在马逊一年以内的时候
[00:08:22,480 -> 00:08:24,800] 有一次做一件事情
[00:08:24,800 -> 00:08:26,720] 然后我觉得是有风险的
[00:08:26,720 -> 00:08:29,720] 这个时候一个有点资深的同事
[00:08:29,720 -> 00:08:31,319] 非常nice一个人
[00:08:31,319 -> 00:08:33,559] 他跟我说你可能应该去试一下
[00:08:33,559 -> 00:08:34,879] 然后尤其是试一下
[00:08:34,879 -> 00:08:37,120] 如果这件事做砸了以后会怎么样
[00:08:37,120 -> 00:08:39,320] 你可能会发现这件事做砸了以后
[00:08:39,320 -> 00:08:40,440] 也没什么问题
[00:08:40,440 -> 00:08:42,519] 然后之后你做事情会大展一点
[00:08:42,519 -> 00:08:45,679] 然后我就按照他的这个建议做了
[00:08:45,679 -> 00:08:47,799] 我忘了一件事最后结果是什么了
[00:08:47,799 -> 00:08:49,960] 但是我一直记得这个建议
[00:08:49,960 -> 00:08:51,480] 就是你会
[00:08:51,480 -> 00:08:54,120] 你scrap一下你会发现其实也没事
[00:08:54,120 -> 00:08:57,200] 确实是的
[00:08:57,200 -> 00:08:59,919] 但是很多时候它就是一个
[00:08:59,919 -> 00:09:03,960] 就是当你很能够把这个问题说出来的时候
[00:09:03,960 -> 00:09:05,799] 其实是有很多方法的
[00:09:05,799 -> 00:09:06,799] 但是很多時候
[00:09:06,799 -> 00:09:07,799] 沒有意識到問題的存在
[00:09:07,799 -> 00:09:09,200] 對 它是一個很隱隱約約的
[00:09:09,200 -> 00:09:12,200] 比如說那我就是不想take這個initiative
[00:09:12,200 -> 00:09:13,600] 那我就是不想嘛
[00:09:13,600 -> 00:09:14,799] 你這樣子說我也沒有用
[00:09:14,799 -> 00:09:16,799] 我就是不敢 我就是很害怕
[00:09:16,799 -> 00:09:18,600] 但是你如果不去問清楚
[00:09:18,600 -> 00:09:19,600] 你到底在害怕什麼
[00:09:19,600 -> 00:09:22,000] 你到底在擔心什麼的時候
[00:09:22,000 -> 00:09:24,000] 就比較難走到這一步
[00:09:24,000 -> 00:09:26,000] 但是如果你能夠想得很清楚
[00:09:26,000 -> 00:09:28,000] 你不敢提是什麼原因的時候
[00:09:28,000 -> 00:09:30,000] 其實就會比較好克服
[00:09:30,000 -> 00:09:31,000] 好像是什麼
[00:09:31,000 -> 00:09:33,000] Understand the sickness is half the cure
[00:09:33,000 -> 00:09:35,000] 就是這種感覺
[00:09:35,000 -> 00:09:36,000] 對
[00:09:36,000 -> 00:09:40,000] 我覺得就是我在經歷了很多輪這樣的問題之後
[00:09:40,000 -> 00:09:42,000] 就是到最後還是
[00:09:42,000 -> 00:09:46,960] 我過去的經驗更加侷于这个获得别人的认可
[00:09:46,960 -> 00:09:50,000] 然后按照一些已经有的道路走
[00:09:50,000 -> 00:09:51,879] 然后就是
[00:09:51,879 -> 00:09:57,440] 就是有点叫做水到渠成岸不救般的这样的行动
[00:09:57,440 -> 00:10:01,320] 那么一旦我的这个行为模式比较陌生的话
[00:10:01,320 -> 00:10:03,960] 那它带来的不确定性就会让我
[00:10:03,960 -> 00:10:06,399] 就是很难去做出一些尝试
[00:10:06,399 -> 00:10:07,399] 但是
[00:10:07,399 -> 00:10:09,000] 可能过了这一两年
[00:10:09,000 -> 00:10:10,799] 就会好很多吧
[00:10:10,799 -> 00:10:12,200] 你期待的它会怎么
[00:10:12,200 -> 00:10:15,000] 以什么方式好很多呢
[00:10:15,000 -> 00:10:17,200] 我觉得就像你这样就蛮好的
[00:10:17,200 -> 00:10:18,200] 就是
[00:10:18,200 -> 00:10:19,600] 你可以有强硬的意见
[00:10:19,600 -> 00:10:20,799] 然后你也非常开放
[00:10:20,799 -> 00:10:22,200] 对于选择
[00:10:22,200 -> 00:10:23,399] 然后在面对
[00:10:23,399 -> 00:10:25,120] 很不确定的事情的时候
[00:10:25,120 -> 00:10:27,679] 你对自己能做什么是很确定的
[00:10:27,679 -> 00:10:30,399] 然后你可以一步一步的去推进
[00:10:30,399 -> 00:10:33,039] 至少你不要有这么多精神内耗就蛮好
[00:10:35,519 -> 00:10:36,720] 然后你
[00:10:36,720 -> 00:10:39,519] 就比如说还有一个很简单的点啊
[00:10:39,519 -> 00:10:42,720] 就是在面对一些很不确定的事情的时候
[00:10:42,720 -> 00:10:43,519] 谢谢
[00:10:43,519 -> 00:10:44,799] 呃就是
[00:10:48,000 -> 00:10:51,200] 就是你可能会觉得就是我现在去找各种各样的人
[00:10:51,200 -> 00:10:52,799] 要各种各样的信息
[00:10:52,799 -> 00:10:54,200] 我找老板要guidance
[00:10:54,200 -> 00:10:55,600] 是非常自然的
[00:10:55,600 -> 00:10:57,799] 也是比较确定应该做的事情
[00:10:57,799 -> 00:10:59,200] 但对我来说
[00:10:59,200 -> 00:11:01,799] 你只要没有写在这个说明书里了
[00:11:01,799 -> 00:11:04,600] 它就是一个很不确定的事情
[00:11:04,600 -> 00:11:07,200] 我就会对我来说做一些
[00:11:07,840 -> 00:11:09,879] 不是clearly define的事情
[00:11:09,879 -> 00:11:11,200] 是需要很大的
[00:11:11,720 -> 00:11:13,759] effort才能做到的
[00:11:14,000 -> 00:11:14,679] 那我可能
[00:11:15,080 -> 00:11:17,320] 我鼓足了很大的勇气去找一个人
[00:11:17,320 -> 00:11:18,720] 啊问了一个信息以后
[00:11:18,799 -> 00:11:21,399] 你再让我鼓勇气去找下一个人
[00:11:21,399 -> 00:11:24,399] 我就要需要一段时间的恢复的时间
[00:11:24,679 -> 00:11:25,600] 才能够这么做
[00:11:25,600 -> 00:11:27,480] 但如果老板给我一个list说
[00:11:27,480 -> 00:11:28,840] 你去联系这些人
[00:11:28,840 -> 00:11:30,600] 那我可能就会做的很带劲
[00:11:30,600 -> 00:11:32,480] 就很自然的就可以做了
[00:11:33,320 -> 00:11:35,679] 就是我本来对你的这个
[00:11:35,679 -> 00:11:37,080] 我觉得是一个很大的问题
[00:11:37,080 -> 00:11:39,480] 但是现在看起来这个问题可能更简单
