[00:00:00,000 -> 00:00:01,720] 背后的前台词就是
[00:00:53,200 -> 00:00:56,799] 另外一种人他一直不断的在重复自己的过往
[00:00:56,799 -> 00:00:59,700] 其实我们在很多长辈身上能看得很明显
[00:00:59,700 -> 00:01:03,799] 他们会一直用自己的逻辑去理解各种各样的新鲜事物
[00:01:03,799 -> 00:01:05,920] 比如说你可能让他们吃一个日料
[00:01:05,920 -> 00:01:07,239] 你觉得日料很好吃
[00:01:07,239 -> 00:01:09,439] 你觉得西餐的某种菜很好吃
[00:01:09,439 -> 00:01:12,000] 他们就觉得这比我们中餐差远了
[00:01:12,000 -> 00:01:14,439] 这比我们不就是什么什么嘛
[00:01:14,439 -> 00:01:17,040] 最后就是他们不接受新生事物
[00:01:17,040 -> 00:01:19,439] 他们自己也不愿意去成长
[00:01:19,439 -> 00:01:22,719] 可能这样说有点武断或者显得很精英主义
[00:01:22,719 -> 00:01:23,439] 我先声明一下
[00:01:23,439 -> 00:01:25,719] 这是一个光谱
[00:01:25,719 -> 00:01:27,040] 我们每一个人都是这样的
[00:01:27,040 -> 00:01:30,000] 我肯定也在很多方面上就是那种
[00:01:30,000 -> 00:01:31,760] 执迷不悟、武断
[00:01:31,760 -> 00:01:33,239] 然后不成长的那个人
[00:01:33,239 -> 00:01:37,680] 可是我们还是想去多追求自己成为可以成长的人
[00:01:37,680 -> 00:01:41,599] 我发现有很多开关决定了我在具体事情上
[00:01:41,599 -> 00:01:44,599] 到底是前一种心态还是后一种心态
[00:01:44,599 -> 00:01:46,540] 我在之前的一个视频里边
[00:01:46,540 -> 00:01:48,900] Growth Mindset里边总结了一个开关
[00:01:48,900 -> 00:01:51,340] 就是成长型思维和固定型思维
[00:01:51,340 -> 00:01:52,640] 那期视频真的很重要
[00:01:52,640 -> 00:01:54,000] 如果你没有看的话
[00:01:54,000 -> 00:01:56,340] 我觉得那可能是我的所有视频里边
[00:01:56,340 -> 00:01:58,299] 最有价值的视频之一了
[00:01:58,299 -> 00:01:59,840] 我其实之前还总结了一个开关
[00:01:59,840 -> 00:02:01,239] 就是无非是的人为害
[00:02:01,239 -> 00:02:04,239] 无非是的心态就是当我面对一个复杂问题
[00:02:04,239 -> 00:02:06,299] 新事物我不了解的事物的时候
[00:02:06,299 -> 00:02:09,000] 我是想方设法的去了解这件事情
[00:02:09,000 -> 00:02:12,500] 还是我抱着我的认知心态
[00:02:12,500 -> 00:02:15,000] 用我的价值体系去衡量它
[00:02:15,000 -> 00:02:17,300] 如果我是后门这种心态的话
[00:02:17,300 -> 00:02:19,699] 我肯定就很难理解心生事物
[00:02:19,699 -> 00:02:21,300] 或者我不了解的事物
[00:02:21,300 -> 00:02:23,500] 而顾不自封
[00:02:23,500 -> 00:02:26,000] 和陷入在我自己的思维之中了
[00:02:26,000 -> 00:02:28,039] 今天我再说第三个开关
[00:02:28,039 -> 00:02:29,639] 谁对你的人生负责
[00:02:29,639 -> 00:02:31,520] 到底是你自己对你的人生负责
[00:02:31,520 -> 00:02:33,120] 还是别人对你的人生负责
[00:02:33,120 -> 00:02:34,840] 听起来好像很简单
[00:02:34,840 -> 00:02:35,120] 对吧
[00:02:35,120 -> 00:02:37,560] 当然是自己对自己的人生负责了
[00:02:37,560 -> 00:02:38,800] 但是其实不是的
[00:02:38,800 -> 00:02:39,479] 哪怕是我
[00:02:39,479 -> 00:02:40,960] 我觉得我在疯疯病病的时候
[00:02:40,960 -> 00:02:42,840] 也会觉得别人应该为我的人生负责
[00:02:42,840 -> 00:02:44,479] 而不是我自己为我的人生负责
[00:02:44,479 -> 00:02:45,599] 举个具体的例子
[00:02:45,599 -> 00:02:48,240] 比如说我之前刚工作的时候
[00:02:48,240 -> 00:02:51,599] 去亚马逊和我第二份工作在Facebook
[00:02:51,599 -> 00:02:52,879] 尤其当时我在Facebook
[00:02:52,879 -> 00:02:54,159] 我当时想从5升6
[00:02:54,159 -> 00:02:57,919] 我那时候知道对于DS来说5升6还是一个挺难的事情
[00:02:57,919 -> 00:02:58,960] 作为IC的话
[00:02:58,960 -> 00:03:03,360] 我们那个时候整个Marketplace就一个6没有7的DS
[00:03:03,360 -> 00:03:06,000] 但是我那个时候我确实做的工作
[00:03:06,000 -> 00:03:08,159] 我觉得 impact 还是非常大
[00:03:08,159 -> 00:03:09,159] 我那时候就在想
[00:03:09,280 -> 00:03:11,000] 就是老板什么时候来跟我提
[00:03:11,000 -> 00:03:12,439] 他觉得我可以升职了
[00:03:12,520 -> 00:03:14,599] 但是想着想着突然觉得不对
[00:03:14,599 -> 00:03:16,080] 那这个是我自己的 career
[00:03:16,080 -> 00:03:18,039] 就是我如果不去主动提的话
[00:03:18,039 -> 00:03:19,400] 老板怎么知道我想升职呢
[00:03:19,400 -> 00:03:21,800] 或者老板哪怕觉得我不应该升职
[00:03:21,840 -> 00:03:24,240] 那我也自己也应该早点知道这件事
[00:03:24,240 -> 00:03:26,919] 于是我就去找老板在玩玩的时候提这件事情
[00:03:26,919 -> 00:03:28,680] 才发现老板其实很意外
[00:03:28,680 -> 00:03:31,960] 就是老板没有觉得我有想生六的想法
[00:03:31,960 -> 00:03:35,759] 然后老板也觉得生六是一个很困难的事情
[00:03:35,759 -> 00:03:37,479] 他就说回去想一想
[00:03:37,479 -> 00:03:39,759] 第二次在跟我玩玩的时候他说
[00:03:39,759 -> 00:03:41,879] 虽然生六是一个很困难的事情
[00:03:41,879 -> 00:03:45,240] 但是我作为老板的职责就是去帮助你做到这件事
[00:03:45,400 -> 00:03:48,719] 然后我们一起去看一下有什么地方是可以提高的
[00:03:48,719 -> 00:03:50,319] 有什么东西是可以做的
[00:03:50,319 -> 00:03:52,560] 帮助你更好的去升溜
[00:03:52,560 -> 00:03:54,199] 当然了我后来没有升溜就走了
[00:03:54,199 -> 00:03:55,080] 这是另外一件事
[00:03:55,080 -> 00:03:57,879] 但是我就想用这个经历告诉大家
[00:03:57,879 -> 00:04:00,599] 其实我们每天都会在犯类似的错误
[00:04:00,599 -> 00:04:02,400] 我们如果不是去看我们已经做了什么
[00:04:02,400 -> 00:04:04,360] 而是看我们还没有做的是什么的话
[00:04:04,360 -> 00:04:08,699] 我们会发现很多时候我们是期待这件事情发生在我们身上的
[00:04:08,699 -> 00:04:13,900] 比如说我们期待一个定义明确的工作交给我们
[00:04:13,900 -> 00:04:17,199] 就是hunt your promotion opportunity on our silver plate
[00:04:17,199 -> 00:04:19,399] 这个是大家很经常发生的事情
[00:04:19,399 -> 00:04:22,500] 因为我们觉得就是公司有责任培养我们
[00:04:22,500 -> 00:04:23,899] 老板有责任培养我们
[00:04:23,899 -> 00:04:27,439] 公司有责任把自己的业务想清楚了以后拆解好
[00:04:27,439 -> 00:04:29,720] 给一个正好是我能力范围之内
[00:04:29,720 -> 00:04:32,600] 又稍稍有点挑战的这样的一个工作给我做
[00:04:32,600 -> 00:04:34,839] 其实绝大多数的时候是没有的
[00:04:34,839 -> 00:04:37,000] 我们也期待我们的合作方式靠谱的
[00:04:37,000 -> 00:04:38,560] 老板是为我们着想的
[00:04:38,560 -> 00:04:42,199] 我们也期待我们的下属是认真工作的
[00:04:42,199 -> 00:04:43,959] 当大家不满足这个期待的时候
[00:04:43,959 -> 00:04:45,160] 我们就会很不爽
[00:04:45,160 -> 00:04:46,879] 因为他们影响到了我们
[00:04:46,879 -> 00:04:49,079] 我们为什么会有这样的期待呢
[00:04:49,079 -> 00:04:52,480] 我觉得其实是跟我们从小到大的成长经历都是有关的
[00:04:52,480 -> 00:04:54,800] 尤其作为一个中国学生来说的话
[00:04:54,800 -> 00:04:57,000] 因为从小到大我们受到的教育就是
[00:04:57,000 -> 00:04:58,879] 只要你管好自己的学习
[00:04:58,879 -> 00:05:01,040] 其他的事情都是我们的责任
[00:05:01,040 -> 00:05:02,240] 我们会帮你搞定
[00:05:02,240 -> 00:05:04,000] 背后的前台词就是
[00:05:04,000 -> 00:05:05,480] 只要你学习学得好
[00:05:05,480 -> 00:05:06,759] 你就能上好大学
[00:05:06,759 -> 00:05:07,600] 你上了好大学
[00:05:07,600 -> 00:05:09,279] 你就能有好工作
[00:05:09,279 -> 00:05:11,600] 这是这个社会规则的一部分
[00:05:11,600 -> 00:05:13,639] 所以说做好你自己的事情
[00:05:13,639 -> 00:05:15,439] 其他的东西别人帮你搞定
[00:05:15,439 -> 00:05:16,279] 但是告诉大家
[00:05:16,279 -> 00:05:17,680] 这可能是一个幻想
[00:05:17,680 -> 00:05:19,319] 我们的教育体系
[00:05:19,319 -> 00:05:20,759] 给了我们这么一个幻想
[00:05:20,759 -> 00:05:22,959] 但是世界不是这个样子的
[00:05:22,959 -> 00:05:25,399] 不是你做了A就一定有B
[00:05:25,399 -> 00:05:27,500] 这个我在跟赵勇的那期视频里边
[00:05:27,500 -> 00:05:29,139] 我也把它专登录剪出来了
[00:05:29,139 -> 00:05:33,839] 我们在工作和学校中总以为是一个充分条件社会
[00:05:33,839 -> 00:05:35,300] 我们做了A就会有B
[00:05:35,300 -> 00:05:37,899] 但是其实大多数时候是个必要条件社会
[00:05:37,899 -> 00:05:39,240] 做了A不一定有B
[00:05:39,240 -> 00:05:40,740] 不做A就一定没有B
[00:05:40,740 -> 00:05:45,040] 同时只有你是为你自己的人生负责的
[00:05:45,279 -> 00:05:47,079] 无论别人怎么给了你一个假象
[00:05:47,079 -> 00:05:49,079] 给了你一个不切实际的期许
[00:05:49,279 -> 00:05:51,480] 别人有什么该做的事情没有做到
[00:05:51,639 -> 00:05:53,279] 到最后如果影响的是你
[00:05:54,399 -> 00:05:56,600] 其他人的责任在这里边只有一个追责
[00:05:56,600 -> 00:05:58,120] 或者说给你赔偿的这样的一个功能
[00:05:58,600 -> 00:06:01,360] 所以说想要不被别人这样的影响
[00:06:01,519 -> 00:06:03,879] 或者说想要自己掌控自己的人生
[00:06:03,879 -> 00:06:05,500] 自己知道自己要干什么
[00:06:05,500 -> 00:06:08,000] 自己知道自己的人生要过成什么样子
[00:06:08,000 -> 00:06:10,600] 然后活成自己想要的那个样子
[00:06:10,600 -> 00:06:12,600] 你就要从今天开始
[00:06:12,600 -> 00:06:15,899] 把自己身上发生的所有的一切
[00:06:15,899 -> 00:06:17,399] 归结到自己身上来
[00:06:17,399 -> 00:06:19,399] 而不是要归结到别人身上去
[00:06:19,399 -> 00:06:21,100] 这里的归结就是说
[00:06:21,100 -> 00:06:23,000] 你要知道所有东西
[00:06:23,000 -> 00:06:25,000] 哪怕是别人错付了你
[00:06:25,000 -> 00:06:29,800] 它的归根结底还是因为你错误的去相信了它
[00:06:29,800 -> 00:06:31,199] 错误的产生了期待
[00:06:31,199 -> 00:06:34,000] 你归结到别人身上可以用来复盘
[00:06:34,000 -> 00:06:35,600] 作为一个方法的复盘
[00:06:35,600 -> 00:06:38,800] 但是不要把它作为所有东西根源的复盘
[00:06:38,800 -> 00:06:40,600] 我不知道这段话讲不讲清楚
[00:06:40,600 -> 00:06:41,399] 可能有点抽象
[00:06:41,399 -> 00:06:42,600] 总之就是这么一个心态
[00:06:42,600 -> 00:06:44,800] 就是我为我的人生负责
[00:06:44,800 -> 00:06:46,699] 希望你就记住这句话
[00:06:46,699 -> 00:06:49,899] 然后在发生各种各样的事情的时候
[00:06:49,899 -> 00:06:50,800] 就想一下
[00:06:50,800 -> 00:06:53,899] 这个东西归根结底是我在为我自己负责
[00:06:53,899 -> 00:06:57,199] 可能当你真正的想通这件事
[00:06:57,199 -> 00:06:59,100] 和拥有了这么一个态度的话
[00:06:59,100 -> 00:07:02,100] 你的第三个开关就打开了
[00:07:02,100 -> 00:07:03,699] 不知道这期视频讲明白没有
[00:07:03,699 -> 00:07:04,300] 如果没有的话
[00:07:04,300 -> 00:07:06,199] 可能以后再多举几个例子也希望大家尽快的打开这三个开关就打开了不知道这期视频讲明白没有如果没有的话可能以后再多举几个例子
[00:07:06,199 -> 00:07:09,899] 也希望大家尽快的打开这三个开关
[00:07:09,899 -> 00:07:11,199] 就是 Growth Mindset
[00:07:11,199 -> 00:07:14,899] 尽可能全面的去了解你不了解的东西
[00:07:14,899 -> 00:07:16,800] 而不是尽可能快的下结论
[00:07:16,800 -> 00:07:19,100] 和自己为自己的人生负责
[00:07:19,100 -> 00:07:20,199] 打开这三个开关
[00:07:20,199 -> 00:07:22,699] 我们尽早的去走向成长之路
[00:07:22,699 -> 00:07:23,699] 这期视频就到这
[00:07:23,699 -> 00:07:24,300] 我们下期再见
[00:07:24,300 -> 00:07:24,899] 拜拜
