[00:00:00,000 -> 00:00:12,000] 你从Facebook跳去了这家Star
[00:03:02,759 -> 00:03:03,719] 你是怎么学的
[00:03:03,719 -> 00:03:05,400] 应该有很多startup可以选
[00:03:05,400 -> 00:03:06,159] 对
[00:03:06,159 -> 00:03:10,080] startup一开始我也是就没有一个头绪的
[00:03:10,080 -> 00:03:11,120] 对
[00:03:11,120 -> 00:03:14,280] 但是后来我发现很多大牛都有一个认知
[00:03:14,280 -> 00:03:18,560] 就是你去选一个已经找到product market fit
[00:03:18,560 -> 00:03:21,479] 然后并且在高速成长的一个startup
[00:03:21,479 -> 00:03:22,400] 对你来说
[00:03:22,400 -> 00:03:25,039] 对大多数人来讲风险是最小回报最高的
[00:03:25,280 -> 00:03:25,800] 有道理
[00:03:25,800 -> 00:03:29,159] 就是我觉得primarkfit之前那都是founder的事
[00:03:29,159 -> 00:03:29,560] 是吧
[00:03:29,560 -> 00:03:31,520] 你除非自己去做一个startup
[00:03:31,520 -> 00:03:31,960] 对
[00:03:31,960 -> 00:03:35,319] 不然的话作为打工人你就选风险小的就应该这样
[00:03:35,319 -> 00:03:36,000] 对
[00:03:36,000 -> 00:03:40,400] 然后你这种大厂的portfolio也是那种比较适合
[00:03:40,400 -> 00:03:43,960] 因为他在找到primarkfit之前就是想方设法的
[00:03:43,960 -> 00:03:45,439] 不管用什么方式把这东西做出来
[00:03:45,439 -> 00:03:47,360] 然后测试测出来
[00:03:47,360 -> 00:03:49,439] 然后真正你的很多skillset
[00:03:49,439 -> 00:03:53,039] 可能是在一个需要增长的这种企业用得上的
[00:03:53,039 -> 00:03:55,240] 对 然后还有说到看startup的话
[00:03:55,240 -> 00:03:59,120] 有一个数字其实大家可以稍微套一下
[00:03:59,120 -> 00:04:03,639] 对 就是你要看的什么是hyper growth阶段的startup
[00:04:03,639 -> 00:04:06,840] 就是大概估值在5亿美金到10亿美金之间
[00:04:06,840 -> 00:04:10,280] 因为10亿美金大概你就已经是unicorn的markup
[00:04:10,280 -> 00:04:15,000] 对然后不过最近unicorn的定义水涨船高
[00:04:15,000 -> 00:04:18,519] 对所以大家好像还有一些其他的hyper unicorn之类的
[00:04:18,519 -> 00:04:19,839] 就是会更多一点
[00:04:19,839 -> 00:04:22,639] 但是确实5到10亿是一个高速成长
[00:04:22,639 -> 00:04:26,040] 然后你没有paramarket fit这些很难做到对的是这样的
[00:04:26,040 -> 00:04:28,959] 然后我当时看我就先看这些公司
[00:04:29,319 -> 00:04:32,439] 然后其次我就看他们是在哪个行业赛道怎么样
[00:04:32,439 -> 00:04:32,759] 对吧
[00:04:32,759 -> 00:04:34,879] 然后到底是不是感兴趣
[00:04:34,879 -> 00:04:37,839] 在这个之后我会开始看他们的investor
[00:04:38,240 -> 00:04:39,920] 他们的investor是不是真的很好
[00:04:39,920 -> 00:04:42,279] 有没有很知名的VC反复的在投他们
[00:04:42,279 -> 00:04:43,079] 对
[00:04:43,079 -> 00:04:44,800] 然后我觉得这些是比较好的signal
[00:04:44,800 -> 00:04:46,360] 因为其实说实在
[00:04:46,360 -> 00:04:48,439] 我作为韭菜
[00:04:48,439 -> 00:04:51,560] 你让我买public的公司我都买不好
[00:04:51,560 -> 00:04:52,920] 你让我去看一个private company
[00:04:52,920 -> 00:04:53,680] 我能看出什么呢
[00:04:53,680 -> 00:04:55,759] 但是你的framework非常好
[00:04:55,759 -> 00:04:58,120] 就是你先找准阶段
[00:04:58,120 -> 00:05:02,480] 然后你看一个你觉得你感兴趣看好的赛道
[00:05:02,480 -> 00:05:03,759] 然后你去看投资人
[00:05:03,759 -> 00:05:06,480] 因为很多时候你确实没有办法
[00:05:06,480 -> 00:05:09,360] 就start不管在哪个阶段都是有这个
[00:05:09,360 -> 00:05:09,879] 看得清楚的
[00:05:09,879 -> 00:05:11,439] 对而且有风险
[00:05:11,439 -> 00:05:14,319] 但是起码有那些聪明人看一看
[00:05:14,319 -> 00:05:14,600] 对
[00:05:14,600 -> 00:05:15,199] 就会
[00:05:15,480 -> 00:05:16,160] 这个我同意
[00:05:16,160 -> 00:05:18,680] 然后这些全部都check了以后
[00:05:18,800 -> 00:05:21,920] 我觉得基本上很多人就只剩下一个非常短的一个list
[00:05:21,920 -> 00:05:23,839] 然后在那个list里面
[00:05:24,000 -> 00:05:25,279] 我会继续在做filtering
[00:05:25,279 -> 00:05:26,839] 其实我最后选了也就4家
[00:05:27,160 -> 00:05:28,920] 然后这4家公司
[00:05:29,040 -> 00:05:31,319] 我会一个个去linkedin上我去找
[00:05:31,480 -> 00:05:33,279] 有没有现在在职的
[00:05:33,279 -> 00:05:34,879] 从大厂跳过去的员工
[00:05:34,920 -> 00:05:36,160] 我可以跟他们聊一下
[00:05:36,199 -> 00:05:37,399] 我一般直接发message
[00:05:37,399 -> 00:05:38,720] 我说我很感兴趣
[00:05:38,759 -> 00:05:40,879] 看到你也在Facebook或者Google工作过
[00:05:40,879 -> 00:05:41,600] 我们聊一聊
[00:05:41,759 -> 00:05:43,879] 一般大部分人会很乐意去跟你聊的
[00:05:43,879 -> 00:05:44,800] 对因为他们也缺人
[00:05:44,959 -> 00:05:45,879] 对他们也在hiring
[00:05:46,279 -> 00:05:50,120] 然后除了这个我还会聊最近刚离职的那些人
[00:05:50,120 -> 00:05:51,720] 就刚从startup离职的人
[00:05:51,720 -> 00:05:55,680] 对我会专门去找passcompany有公司的
[00:05:55,680 -> 00:05:56,959] 然后去问你为什么走
[00:05:57,480 -> 00:05:58,959] 对是最近有什么变化吗
[00:05:58,959 -> 00:06:01,920] 然后他们一般就那个的回复率会低一些
[00:06:01,920 -> 00:06:03,439] 但他们还是有人愿意讲的
[00:06:04,560 -> 00:06:07,519] 程序员做事就非常有方法論
[00:06:07,519 -> 00:06:10,319] 對要窮盡所有能找到的信息
[00:06:10,680 -> 00:06:14,600] 是我覺得很多時候大家在做這種重大決定的時候
[00:06:14,600 -> 00:06:17,279] 我其實之前聽到一個大概的說法
[00:06:17,279 -> 00:06:20,879] 就是我們人在做大決定的時候
[00:06:20,879 -> 00:06:22,839] 其實思考是少的
[00:06:22,839 -> 00:06:24,839] 對很多時候比如說我會在Facebook
[00:06:24,839 -> 00:06:26,160] Airbnb offer裡面選一個但是說實会在FacebookAirbnb offer里面选一个
[00:06:26,160 -> 00:06:27,120] 然后说实话
[00:06:27,120 -> 00:06:28,639] 你Facebook Airbnb选一个去
[00:06:28,639 -> 00:06:30,759] 对你的就不会有特别大的区别
[00:06:30,759 -> 00:06:32,720] 对但是像这种就是
[00:06:32,759 -> 00:06:34,839] 你比如说你在Zoom一开始的时候
[00:06:34,839 -> 00:06:37,600] 你有没有接创始人给你那个email是吧
[00:06:37,600 -> 00:06:39,600] 对其他多数人就忽略过去了
[00:06:39,600 -> 00:06:40,639] 所以你根本不会考虑
[00:06:40,639 -> 00:06:43,360] 我现在依然在忽略那些A轮的style的
[00:06:43,360 -> 00:06:44,839] 那个衣装
[00:06:44,839 -> 00:06:49,720] 但是总之就是你的人生大决定就是在这种不起眼的时候发生的
[00:06:49,720 -> 00:06:52,879] 我觉得但是你起码看到了这个方向
[00:06:52,879 -> 00:06:55,879] 且你用了一个自己的方法去做了这个事情
[00:06:55,879 -> 00:06:57,800] 不管最后结果怎么样
[00:06:57,920 -> 00:07:00,079] 但是我觉得这个思路大家可以借鉴一下
[00:07:00,079 -> 00:07:00,480] 对
[00:07:00,480 -> 00:07:02,720] 然后我个人感觉是
[00:07:03,079 -> 00:07:04,079] 因为其实还有很多了
[00:07:04,079 -> 00:07:05,759] 就我和公司里的人联系的时候
[00:07:05,879 -> 00:07:07,759] 我也是和公司里面相对
[00:07:07,759 -> 00:07:09,360] senior一些的那些leadership
[00:07:09,360 -> 00:07:10,199] 有connection
[00:07:10,480 -> 00:07:13,920] 然后所以更加的拿到了比较有效的信息
[00:07:13,959 -> 00:07:17,000] 我觉得这些做的怎么说
[00:07:17,120 -> 00:07:20,560] 这些开始进入hyper growth阶段的公司的leadership
[00:07:20,560 -> 00:07:22,439] 很多都是人中龙凤
[00:07:22,439 -> 00:07:23,920] 就是他们说话非常清楚
[00:07:23,920 -> 00:07:26,439] 他们鼓励非常强其实说话非常清楚他们看得很准
[00:07:26,439 -> 00:07:28,480] 而且他会跟你说一些行业大趋势
[00:07:28,480 -> 00:07:30,199] 就是他不会跟你说
[00:07:30,399 -> 00:07:32,480] 我们这个产品解决了什么痛点这种话
[00:07:32,480 -> 00:07:35,160] 他会说这个东西的需求在哪里
[00:07:35,160 -> 00:07:38,319] 然后为什么我们能解决这件事情
[00:07:38,319 -> 00:07:39,839] 为什么是我们来解决这件事情
[00:07:39,839 -> 00:07:41,319] 为什么在这个时候解决这个事情
[00:07:41,319 -> 00:07:41,959] 是对
[00:07:41,959 -> 00:07:43,120] 就是你听完了以后就觉得
[00:07:43,120 -> 00:07:45,639] of course如果你不贏誰贏
[00:07:45,639 -> 00:07:47,000] 對對對就這種感覺
[00:07:47,000 -> 00:07:47,800] 對
[00:07:47,800 -> 00:07:50,040] 畢竟忽悠投資人都這麼忽悠過來
[00:07:50,040 -> 00:07:51,720] 能忽悠我們這些小韭菜沒有問題
[00:07:51,720 -> 00:07:54,560] 對我感覺如果你跟他們的senior leadership聊
[00:07:54,560 -> 00:07:56,279] 他們連你都忽悠不了說服不了
[00:07:56,279 -> 00:07:57,439] 那真的就不要去了
[00:07:57,439 -> 00:07:58,639] 幹嘛呢真是的
[00:07:58,639 -> 00:07:59,439] 是的
[00:08:00,120 -> 00:08:02,680] 然後我在這一些事情做完以後
[00:08:02,800 -> 00:08:06,120] 其實我基本上心裡面就已經有一個底了
[00:08:06,120 -> 00:08:08,439] 然後我接下來再做的一件事情
[00:08:08,439 -> 00:08:10,519] 就是我有一張excel的表格
[00:08:10,519 -> 00:08:12,680] 然後我在excel裡面我會計算
[00:08:12,680 -> 00:08:15,560] 我接下來如果待Facebook4年我會拿多少錢
[00:08:15,920 -> 00:08:19,800] 然後我按照一個很moderate的一個Facebook的stock growth
[00:08:19,800 -> 00:08:20,959] 我去做一個計算
[00:08:20,959 -> 00:08:22,000] 這是他的upside
[00:08:22,000 -> 00:08:23,319] 這是他的lower bound
[00:08:23,600 -> 00:08:25,639] 然後我大概算了一下那笔钱
[00:08:25,639 -> 00:08:26,279] 多少钱
[00:08:27,279 -> 00:08:28,000] 就别说了
[00:08:28,000 -> 00:08:30,720] 就挺多的挺心疼的
[00:08:30,720 -> 00:08:31,839] 我现在想起来
[00:08:31,839 -> 00:08:34,080] 然后还有一个就是对于
[00:08:34,080 -> 00:08:35,799] 能不能买belville的房子
[00:08:36,240 -> 00:08:36,639] 可以
[00:08:36,639 -> 00:08:38,200] 能不能买medina的房子
[00:08:38,200 -> 00:08:39,200] 肯定买不到
[00:08:39,200 -> 00:08:40,600] OK
[00:08:40,600 -> 00:08:42,360] 你大概找一个range
[00:08:42,360 -> 00:08:43,000] 对
[00:08:43,000 -> 00:08:43,720] 然后
[00:08:44,159 -> 00:08:45,559] 所以我把那些考虑进来了
[00:08:45,559 -> 00:08:47,799] 然后我用这个数字
[00:08:47,799 -> 00:08:50,200] 其实我是用这个数字去和公司你勾share的
[00:08:50,559 -> 00:08:53,440] 然后那star其实也愿意给你加很多纸钱了
[00:08:53,799 -> 00:08:55,559] 纸钱对加了纸钱以后
[00:08:55,720 -> 00:08:58,879] 我其实从纸钱是看出他们的诚意到底有多高
[00:08:58,879 -> 00:09:02,360] 因为其实star相对来说反而虽然说是纸钱
[00:09:02,360 -> 00:09:04,480] 就其实他们挺吝啬给那些东西的
[00:09:04,720 -> 00:09:05,559] 尤其他们有些
[00:09:05,559 -> 00:09:06,919] 因为他最后就反应20倍
[00:09:07,039 -> 00:09:09,639] 他卖的一瞬间就上亿了
[00:09:09,639 -> 00:09:11,399] 因为有些公司stage比较后面
[00:09:11,440 -> 00:09:13,000] 他的option pool会小一些
[00:09:13,000 -> 00:09:14,360] 他不会那么随便给你
[00:09:14,360 -> 00:09:15,320] 对
[00:09:15,320 -> 00:09:16,360] 所以我就看他们的诚意
[00:09:16,360 -> 00:09:17,399] 后来看差不多
[00:09:17,399 -> 00:09:20,559] 然后你base salary cover掉我的开销
[00:09:20,559 -> 00:09:21,759] 甚至比我现在还高一些
[00:09:22,159 -> 00:09:23,279] 我觉得可以去了
[00:09:23,279 -> 00:09:25,080] 对现在很多startup招成群的時候
[00:09:25,080 -> 00:09:26,759] 他們被salary其實給的挺高的
[00:09:26,759 -> 00:09:28,639] 對其實沒有想像中那麼慘
[00:09:28,639 -> 00:09:30,159] 小公司其實還挺有錢的有一些
[00:09:30,440 -> 00:09:32,559] 對因為他們你說你要說那麼
[00:09:32,559 -> 00:09:34,200] 估值5到10個億是吧
[00:09:34,200 -> 00:09:36,600] 就是他們應該是拿了5000萬以上的現金了
[00:09:36,600 -> 00:09:37,960] 對他們這個錢
[00:09:37,960 -> 00:09:40,000] 婦女公司再加上他們有一些收入
[00:09:40,000 -> 00:09:42,639] 足夠他們活個好幾年了
[00:09:42,639 -> 00:09:44,440] 對然後這好幾年他們做不出來產品
[00:09:44,440 -> 00:09:45,639] 他們也沒有存在的必要
[00:09:45,639 -> 00:09:46,240] 也可以走了
[00:09:46,240 -> 00:09:46,519] 对
[00:09:46,519 -> 00:09:48,279] 所以说他们不会吝啬于给你这个钱
[00:09:48,279 -> 00:09:48,519] 对
[00:09:48,519 -> 00:09:50,240] 然后有些公司可能更狠
[00:09:50,240 -> 00:09:51,679] 因为他们不仅拿钱
[00:09:51,679 -> 00:09:52,480] 他们还赚钱了
[00:09:52,480 -> 00:09:53,960] 那些就更舒服了
[00:09:53,960 -> 00:09:54,559] 我感觉
[00:09:54,559 -> 00:09:55,120] 对
[00:09:55,120 -> 00:09:55,639] 是
[00:09:55,639 -> 00:09:57,840] 所以基本上做完这些信息以后
[00:09:57,840 -> 00:09:59,360] 我心里面就已经有底了
[00:09:59,360 -> 00:10:00,600] 然后就决定要去
[00:10:00,600 -> 00:10:01,440] 对于我来讲
[00:10:01,639 -> 00:10:02,759] risk是有的
[00:10:03,039 -> 00:10:06,200] 但是它的upside其实比我留我facebook要大很多
[00:10:06,200 -> 00:10:11,039] 是说实话就是去感受两年
[00:10:11,039 -> 00:10:12,679] 然后不成回来
[00:10:12,679 -> 00:10:13,960] 对这个经历本身
[00:10:13,960 -> 00:10:16,440] 我觉得比在facebook做两年也是更有意义的
[00:10:16,440 -> 00:10:16,759] 对
[00:10:16,759 -> 00:10:19,120] 然后而且我个人感觉是
[00:10:19,440 -> 00:10:22,399] 你把你的career放长一点来看
[00:10:22,399 -> 00:10:24,360] 其实这两年真不算什么
[00:10:24,360 -> 00:10:24,720] 对
[00:10:24,720 -> 00:10:26,720] 尤其是我之前可能升得比较快
[00:10:26,720 -> 00:10:28,480] 我把很多路线走完了
[00:10:28,480 -> 00:10:32,639] 对我有margin去花一点时间去走完
[00:10:34,279 -> 00:10:35,919] 我觉得这个决定非常make sense
[00:10:35,919 -> 00:10:38,480] 然后你这个方法也非常make sense
[00:10:38,480 -> 00:10:39,200] 我觉得
[00:10:39,200 -> 00:10:42,320] 狗香啊 物富贵
[00:10:42,320 -> 00:10:43,720] 物富贵
[00:10:43,720 -> 00:10:46,759] 但是我觉得你给
[00:10:46,759 -> 00:10:50,080] 就是很多镜头前的小伙伴可能没有这种机会吧
[00:10:50,080 -> 00:10:53,679] 就是那我那我那我觉得就是我想我想替大家问个问题
[00:10:53,679 -> 00:10:58,320] 就是你觉得什么阶段跳star就是在你的人生的什么阶段跳star是比较好的
[00:10:58,320 -> 00:11:01,200] 假设你在大厂没有这个成长这么快
[00:11:01,200 -> 00:11:05,919] 你是比如说升到了一5跳你new grind去
[00:11:05,919 -> 00:11:08,120] 还是你觉得应该在什么时候
[00:11:08,120 -> 00:11:10,200] 其实很predical的来讲
[00:11:10,200 -> 00:11:14,440] 我觉得E5的时候跳是挺好的
[00:11:14,440 -> 00:11:16,279] 对E5跳的时候
[00:11:16,279 -> 00:11:17,919] 对senior的时候跳是最好的
[00:11:17,919 -> 00:11:20,320] 因为市场的需求量是最大的
[00:11:20,320 -> 00:11:23,519] 然后首先你能在一个fame里面
[00:11:23,519 -> 00:11:25,360] 你升到E5或者L5
[00:11:25,360 -> 00:11:28,799] 已經證明你自己能在這一個organization生存下來了
[00:11:28,799 -> 00:11:30,879] 這是一個很好的一個trade record
[00:11:30,879 -> 00:11:33,360] 然後其實在這個階段上來講
[00:11:33,360 -> 00:11:35,679] 大廠你升到5其實錢不是很多
[00:11:35,679 -> 00:11:37,360] 很多startup可以逼掉他的
[00:11:37,360 -> 00:11:39,200] 所以你的包袱很小
[00:11:40,559 -> 00:11:42,720] 然後我覺得這個階段是最合適的
[00:11:42,720 -> 00:11:44,799] 我現在其實最後悔的一件事就是
[00:11:44,799 -> 00:11:46,919] 我過去4年我真的头都不抬
[00:11:46,919 -> 00:11:49,440] 我就laser focus在facebook这一块东西上
[00:11:49,440 -> 00:11:51,639] 然后我应该错过了很多机会
[00:11:51,639 -> 00:11:55,799] 未必了我觉得就是错过了机会
[00:11:55,799 -> 00:11:57,480] 在你想某一个平行宇宙
[00:11:57,480 -> 00:11:59,720] 可能我根本就没有e6的机会了
[00:11:59,720 -> 00:12:01,720] 我觉得我可能myself还是一样的
[00:12:01,720 -> 00:12:03,960] 我还是会继续顶着眼前那一幕一直看
[00:12:03,960 -> 00:12:05,480] 有可能是这样
[00:12:05,480 -> 00:12:07,360] 但是我觉得你去想那么多的话
[00:12:07,360 -> 00:12:09,840] 你没有 laser focus 也很难去真的做到
[00:12:09,840 -> 00:12:11,159] 对确实你没有 dedication
[00:12:11,159 -> 00:12:12,720] 你可能很难做那个样子出来
[00:12:12,720 -> 00:12:14,039] 对所以我觉得这种
[00:12:14,039 -> 00:12:14,759] 双人节
[00:12:14,759 -> 00:12:18,120] 就不要去搞 counterfactual 的假设了
[00:12:18,120 -> 00:12:21,480] 我觉得你现在是一个挺好的这样的一个 case
[00:12:21,480 -> 00:12:24,759] 然后我觉得就是蛮值得借鉴的
[00:12:24,759 -> 00:12:28,559] 我们给大家提供这样一个例子的话
[00:12:28,559 -> 00:12:30,879] 也希望给大家带来一些启发就行了
[00:12:30,879 -> 00:12:31,639] 就是讨论嘛
[00:12:31,639 -> 00:12:35,039] 我自己也在经常思考这些问题
[00:12:35,039 -> 00:12:36,320] 我经常会在想
[00:12:36,320 -> 00:12:39,159] 如果某一个阶段是不是做不一样的决策
[00:12:39,159 -> 00:12:41,399] 我会play out会有什么情况出生
[00:12:41,399 -> 00:12:41,919] 对
[00:12:41,919 -> 00:12:43,480] 然后不会其实还好了
[00:12:43,480 -> 00:12:44,480] 就当做玩嘛
[00:12:44,480 -> 00:12:44,879] 有点
[00:12:44,879 -> 00:12:45,360] 对有的时候就是命嘛对吧你其实还好了就当做玩嘛有的
[00:12:46,679 -> 00:12:46,960] 对有的时候就是命嘛对吧
[00:12:46,960 -> 00:12:48,960] 你最后的选择可能就是命
[00:12:48,960 -> 00:12:49,799] 对
[00:12:49,799 -> 00:12:52,840] 其实我包括做完这个选择以后
[00:12:53,159 -> 00:12:56,360] 我自己的想法也就是愿赌服输
[00:12:56,519 -> 00:12:58,840] 这是你自己做的一个选择
[00:12:58,840 -> 00:13:01,080] 你经历过那么多思考以后做的选择
[00:13:01,080 -> 00:13:01,519] 好的
[00:13:02,120 -> 00:13:03,279] 是诚实在天
[00:13:03,279 -> 00:13:03,799] 嗯
[00:13:03,799 -> 00:13:04,720] 那最后一个问题
[00:13:04,799 -> 00:13:07,399] 就是你刚刚去了starup開始工作
[00:13:07,399 -> 00:13:08,240] 什麼感覺
[00:13:10,519 -> 00:13:12,440] 比Facebook爽多了
[00:13:13,879 -> 00:13:16,879] 我上一個視頻才幫Facebook找人
[00:13:16,879 -> 00:13:17,919] 說話又好聽
[00:13:17,919 -> 00:13:18,320] 有沒有
[00:13:18,320 -> 00:13:19,519] 開玩笑的
[00:13:19,519 -> 00:13:21,960] 我覺得我最大的反應是什麼
[00:13:22,720 -> 00:13:24,600] Facebook的福利是真的太好了
[00:13:24,600 -> 00:13:25,120] 我的天我好懷念Facebook的福利是真的太好了我的天啊
[00:13:25,120 -> 00:13:27,720] 我好懷念Facebook的那些benefit
[00:13:27,720 -> 00:13:28,679] 真的一級棒
[00:13:28,679 -> 00:13:30,159] 但是同時還要說一點
[00:13:30,159 -> 00:13:32,240] 其實startup沒有想象中那麼
[00:13:32,679 -> 00:13:33,960] 就是那麼intense
[00:13:34,320 -> 00:13:35,559] 其實相比來說
[00:13:35,559 -> 00:13:37,919] 可能它會比很多大廠要自由
[00:13:37,919 -> 00:13:38,840] 要舒服一些
[00:13:39,159 -> 00:13:40,279] flexibility更高
[00:13:40,279 -> 00:13:41,559] 說一下什麼意思
[00:13:42,360 -> 00:13:43,679] 我大概講了一下
[00:13:44,720 -> 00:13:45,639] 在Facebook的话
[00:13:45,840 -> 00:13:48,159] 我们的review cycle其实是非常紧凑的
[00:13:48,159 -> 00:13:49,519] 就一年两次
[00:13:49,519 -> 00:13:51,399] 然后review cycle紧凑
[00:13:51,399 -> 00:13:54,120] 加上measuring的时间它会提早一些
[00:13:54,480 -> 00:13:57,440] 还有planning也会占掉一个多月的时间
[00:13:57,559 -> 00:14:00,559] 其实真正留给engineer execute的时间就不多
[00:14:00,559 -> 00:14:01,200] 三四个月
[00:14:01,759 -> 00:14:04,600] 而且你过去做的事情就不算了
[00:14:04,600 -> 00:14:07,039] 你只看你这4个月做了啥
[00:14:07,039 -> 00:14:08,480] 压力还是挺大的
[00:14:08,480 -> 00:14:10,919] 所以很多人会focus眼前能做什么事情
[00:14:10,919 -> 00:14:12,879] 会不停的在想不停的在stress
[00:14:12,879 -> 00:14:15,320] 如果错过了这两个周期的window
[00:14:15,320 -> 00:14:17,200] 我下一个阶段怎么办
[00:14:17,200 -> 00:14:18,519] 很多人会焦虑
[00:14:18,519 -> 00:14:21,200] 而且你要试很多东西才能试出来一个有用的
[00:14:21,200 -> 00:14:23,440] 尤其在产品组是很常见的事情
[00:14:23,440 -> 00:14:23,879] 对
[00:14:23,879 -> 00:14:26,480] 然后在startup不一样的地方是startup基本上它会有一个有用的这个尤其在产品组是很常见的事情对然后在STAR不一样的地方是STAR
[00:14:26,480 -> 00:14:28,639] 基本上它会有一个
[00:14:28,639 -> 00:14:29,600] Long term的
[00:14:29,600 -> 00:14:30,360] 对 它有个runway
[00:14:30,360 -> 00:14:31,320] 它有个long term的vision
[00:14:31,320 -> 00:14:32,720] 它知道destination在哪里
[00:14:32,720 -> 00:14:35,200] 但中间它不好的地方是
[00:14:35,200 -> 00:14:37,480] 它的roadmap可能它一步一步没有那么细致
[00:14:37,480 -> 00:14:39,799] 所以大家做事相对来说随性一点
[00:14:39,799 -> 00:14:43,879] 所以这一点的话反而给engineer提供了很多灵活度
