[00:00:00,000 -> 00:00:02,600] 好的,就说第一段经历吧
[00:00:02,600 -> 00:00:05,599] 第一段经历就是我读了六年博士
[00:02:21,159 -> 00:02:22,439] 然后我再回想
[00:02:22,439 -> 00:02:23,800] 现在再回想这个心态呢
[00:02:23,800 -> 00:02:26,000] 我会这样去想这个事情
[00:02:26,000 -> 00:02:30,000] 就是人生去追求的那些结果
[00:02:30,000 -> 00:02:34,000] 其实就是你一个结果和另一个结果
[00:02:34,000 -> 00:02:35,000] 没有高下之分
[00:02:35,000 -> 00:02:37,000] 所谓的那个结果
[00:02:37,000 -> 00:02:38,000] 其实是一个很虚的东西
[00:02:38,000 -> 00:02:40,000] 但是读博士那个六年
[00:02:40,000 -> 00:02:42,000] 如果把它当成一个体验的话
[00:02:42,000 -> 00:02:43,000] 这个体验并没有浪费
[00:02:43,000 -> 00:02:46,159] 就是在那6年里边
[00:02:46,159 -> 00:02:49,599] 我没有为我这个人生现在的目标
[00:02:49,599 -> 00:02:52,360] 去走很多看似正确的路
[00:02:52,759 -> 00:02:55,240] 但是它在一个另外的方向上
[00:02:55,240 -> 00:02:56,639] 让我走了足够远
[00:02:56,639 -> 00:02:58,039] 我觉得这个体验本身
[00:02:58,039 -> 00:03:00,360] 还是一个很有意思的体验
[00:03:00,560 -> 00:03:02,719] 所以说现在我再去回想那6年的话
[00:03:02,719 -> 00:03:04,360] 我觉得完全没有浪费
[00:03:04,680 -> 00:03:06,879] 所以说就是好好活着体验生活
[00:03:06,879 -> 00:03:08,000] 这个是一个好的目标
[00:03:08,000 -> 00:03:10,400] 但是其他的都是假的目标
[00:03:10,400 -> 00:03:12,080] 都是看似是人生的目标
[00:03:12,080 -> 00:03:12,879] 其实都是假的
[00:03:12,879 -> 00:03:14,719] 这边还有一个
[00:03:14,719 -> 00:03:16,960] UP主说的东西对我一个启发很大
[00:03:16,960 -> 00:03:18,199] 就是李自然说
[00:03:18,199 -> 00:03:19,400] 他说围棋
[00:03:19,400 -> 00:03:20,560] 就是他说
[00:03:20,560 -> 00:03:22,479] AlphaGo为什么很牛逼
[00:03:22,479 -> 00:03:24,879] 因为AlphaGo它是在全局优化
[00:03:24,879 -> 00:03:27,300] 它从来不看自己过去做了什么决定
[00:03:27,300 -> 00:03:29,000] 它只在看这一步棋的时候
[00:03:29,000 -> 00:03:30,599] 我怎么样子做到最好
[00:03:30,599 -> 00:03:34,000] 但是人类在下棋的时候会不自觉地去想
[00:03:34,000 -> 00:03:35,699] 说我过去下了什么
[00:03:35,699 -> 00:03:39,099] 我要怎么让我过去的这个experience有意义
[00:03:39,099 -> 00:03:41,400] 为什么让我过去的那步棋有意义
[00:03:41,400 -> 00:03:43,400] 所以你会看到人类的棋就是说哇
[00:03:43,400 -> 00:03:44,599] 它这个伏笔做得很好
[00:03:44,599 -> 00:03:46,680] 但是有的时候它是为了让这个东西变成一个好的伏笔而去下一部棋有意义所以你会看到人类的棋就是说哇他这个伏笔做得很好但是有的时候他是为了让这个东西
[00:03:46,680 -> 00:03:49,000] 变成一个好的伏笔而去下了很多棋
[00:03:49,280 -> 00:03:50,919] 然后AlphaGo在这个地方
[00:03:50,919 -> 00:03:51,960] 就比人类做得好一些
[00:03:51,960 -> 00:03:52,680] 我觉得其实也是
[00:03:52,680 -> 00:03:54,840] 就是不要太被自己的过往纠结到
[00:03:54,840 -> 00:03:58,039] 就是只看当下和未来什么东西是最好的
[00:03:58,039 -> 00:03:58,639] 就行了
[00:03:59,000 -> 00:04:00,919] 好的这是这一段的take away
