[00:00:00,000 -> 00:00:01,679] Hello大家好歡迎回到開台北地區
[00:03:29,919 -> 00:03:31,520] 如果我們聽眾中有家長的話
[00:03:31,520 -> 00:03:33,199] 你可以在你的日曆上
[00:03:33,199 -> 00:03:34,400] 記下來今天的日子
[00:03:34,400 -> 00:03:36,159] 記下來一年和兩年之後
[00:03:36,159 -> 00:03:36,960] 這日子
[00:03:36,960 -> 00:03:38,960] 提醒你自己一年或者兩年之後
[00:03:38,960 -> 00:03:39,840] 回來看這個視頻
[00:03:39,840 -> 00:03:40,800] 看我這個建議
[00:03:40,800 -> 00:03:42,639] 你到時候會後悔
[00:03:42,639 -> 00:03:43,919] 沒有聽我這個建議的
[00:03:43,919 -> 00:03:46,400] 如果你的孩子在上補習班停掉
[00:03:46,400 -> 00:03:48,199] 不要再逼他去上補習班了
[00:03:48,400 -> 00:03:49,560] 讓他去學一門手藝
[00:03:49,560 -> 00:03:51,199] 就補習班沒有意義了
[00:03:51,199 -> 00:03:54,300] 讓他做一些有用的快樂的
[00:03:54,599 -> 00:03:56,500] 如果去學習的話學一門手藝吧
[00:03:56,500 -> 00:03:57,699] 手藝會很重要的
[00:03:57,699 -> 00:03:59,699] 好我們回過來說
[00:03:59,699 -> 00:04:01,599] 我們怎麼去理解變化
[00:04:01,599 -> 00:04:02,800] 我打這樣一個比方
[00:04:02,800 -> 00:04:04,800] 就是我們經濟中產出東西
[00:04:04,800 -> 00:04:05,879] 不管是食物也好
[00:04:05,879 -> 00:04:07,240] 還是我要產生服務
[00:04:07,240 -> 00:04:10,599] 那這些東西其實在過去已經被機器取代了很多了
[00:04:10,599 -> 00:04:14,439] 我們現在一個人開著各種各樣的機器
[00:04:14,439 -> 00:04:16,720] 產出的糧食比過去1000個人多
[00:04:16,720 -> 00:04:18,720] 我們一個工廠產出的衣服
[00:04:18,720 -> 00:04:21,399] 比過去1萬個紡織女工產出的衣服還要多
[00:04:21,399 -> 00:04:23,240] 它已經被大規模的取代了
[00:04:23,240 -> 00:04:25,000] 但是什麼東西是可以留下来的
[00:04:25,000 -> 00:04:26,439] 一是这里边搞科研
[00:04:26,439 -> 00:04:28,399] 或者说组织起来的企业
[00:04:28,399 -> 00:04:29,519] 我卖挖掘机的人
[00:04:29,519 -> 00:04:31,959] 我这个造衣服的工厂是可以的
[00:04:32,000 -> 00:04:33,160] 但是从个体来说
[00:04:33,160 -> 00:04:34,839] 如果你不能去当老板的话
[00:04:34,839 -> 00:04:36,639] 那对你来说什么是有意义的
[00:04:36,680 -> 00:04:38,519] 你做一个手艺人是可以的
[00:04:38,560 -> 00:04:40,360] 你在手艺上精益求精
[00:04:40,399 -> 00:04:43,399] 无论市面上的面包卖的多便宜
[00:04:43,439 -> 00:04:45,680] 你的手艺是不可被取代的
[00:04:45,680 -> 00:04:47,519] 你靠做一个好吃的面包
[00:04:47,519 -> 00:04:48,839] 你就可以赚到钱
[00:04:48,839 -> 00:04:49,720] 养活自己
[00:04:49,720 -> 00:04:50,600] 做饭也是这样
[00:04:50,600 -> 00:04:51,439] 做东西也是这样
[00:04:51,439 -> 00:04:53,639] 你如果有一个做什么好东西的手艺
[00:04:53,639 -> 00:04:56,079] 是可以凭这个手艺养活自己的
[00:04:56,079 -> 00:04:59,079] 尤其大家的追求越来越高的时候
[00:04:59,079 -> 00:05:01,360] 我觉得这个会是拆GPT可能会带来一个改变
[00:05:01,360 -> 00:05:05,680] 就是当大家在追求快速地滿足自己最簡單的生存需要的時候
[00:05:05,720 -> 00:05:08,480] 大家就不會去對手藝這件事情放太多的
[00:05:08,480 -> 00:05:09,000] 精力
[00:05:09,040 -> 00:05:11,680] 可是當拆GPT給你很多時間
[00:05:11,680 -> 00:05:13,720] 讓你要思考自己人生意義的時候
[00:05:13,720 -> 00:05:16,040] 你可能就會對手藝或者quality
[00:05:16,040 -> 00:05:18,600] 良知這件事情放更多的注意力
[00:05:18,639 -> 00:05:21,160] 我覺得手藝人未來也會越來越重要的
[00:05:21,199 -> 00:05:23,319] 那拆GPT其實就push我們
[00:05:23,319 -> 00:05:25,519] 去要做一個智力的手藝人
[00:05:25,519 -> 00:05:26,319] 腦藝人
[00:05:26,560 -> 00:05:27,360] 腦藝人
[00:05:27,360 -> 00:05:27,800] 好吧
[00:05:27,800 -> 00:05:30,560] 我拆GPT就要push我們做一個腦藝人
[00:05:30,560 -> 00:05:32,240] 哈哈又發明了一個新詞
[00:05:32,240 -> 00:05:34,199] 我在我文章裏面詳細的講了
[00:05:34,199 -> 00:05:36,240] 拆GPT對我們人類社會很大的顛覆
[00:05:36,240 -> 00:05:38,560] 就是它會讓我們的智力分發成本
[00:05:38,560 -> 00:05:40,399] 編輯成本降為接近為零
[00:05:40,639 -> 00:05:43,120] 這個你看我的文章就我這就不展開了
[00:05:43,160 -> 00:05:44,079] 在這種情況下
[00:05:44,199 -> 00:05:47,500] 做一個腦藝人就會變得非常非常的重要
[00:05:47,500 -> 00:05:48,000] 好
[00:05:48,000 -> 00:05:49,000] 這是我前半部分
[00:05:49,000 -> 00:05:51,000] Chatchapiti會讓更多的人
[00:05:51,000 -> 00:05:53,000] 從搬磚的工作中解脫出來
[00:05:53,000 -> 00:05:54,500] 你解脫出來了以後
[00:05:54,500 -> 00:05:56,000] 不要再想著回去搬磚了
[00:05:56,000 -> 00:05:58,500] 你要想著怎麼變成一個腦藝人
[00:05:58,500 -> 00:05:59,000] 好
[00:05:59,000 -> 00:06:01,000] 下半部分就是講那什麼是腦藝人
[00:06:01,000 -> 00:06:02,000] 其實
[00:06:02,000 -> 00:06:04,000] 簡單的講就是批判性思維
[00:06:04,000 -> 00:06:06,740] 我在我的文檔裡邊有七個點
[00:06:06,740 -> 00:06:09,980] 這七個點其實也從根本上去闡述了一些東西
[00:06:09,980 -> 00:06:12,579] 這其實就像拆車背鏡的工作方式一樣
[00:06:12,579 -> 00:06:16,939] 那個文章是我對所有事情思考的大模型
[00:06:16,939 -> 00:06:20,939] 我跟大家對話的這些結論是那些大模型的一個結論
[00:06:20,939 -> 00:06:23,180] 我把這個大模型完全開人給大家了
[00:06:23,180 -> 00:06:24,300] 大家可以去讀
[00:06:24,300 -> 00:06:25,639] 那大家如果真的想了解
[00:06:25,639 -> 00:06:26,639] 为什么会得出这个结论
[00:06:26,639 -> 00:06:28,120] 我建议就去读一下那个文章
[00:06:28,120 -> 00:06:29,600] 可能有一个特别垃圾的模型
[00:06:29,600 -> 00:06:32,160] 然后可以输出类似输出类似的结论
[00:06:32,160 -> 00:06:33,639] 就像文心一言和拆GPT一样
[00:06:33,639 -> 00:06:36,199] 文心一言也可以完全就是回答你的各种话
[00:06:36,360 -> 00:06:37,800] 可是他回答那些话对你没有用
[00:06:37,800 -> 00:06:39,439] 拆GPT回答的那些话对你有用
[00:06:39,439 -> 00:06:41,680] 所以说读懂那个大模型
[00:06:41,680 -> 00:06:42,680] 我既然已经开源了
[00:06:42,680 -> 00:06:43,839] 我觉得还是挺重要的
[00:06:44,199 -> 00:06:44,759] 不管怎样
[00:06:44,759 -> 00:06:46,600] 这就简化的跟大家去说
[00:06:46,600 -> 00:06:47,839] 批判性思维很重要
[00:06:47,839 -> 00:06:49,839] 批判性思维就可以给你带来提问的能力
[00:06:49,839 -> 00:06:51,079] 可以给你带来判断力
[00:06:51,079 -> 00:06:52,399] 落到业务上来说
[00:06:52,399 -> 00:06:54,879] 它可以帮助你找到本质
[00:06:54,879 -> 00:06:55,920] 抓到重点
[00:06:55,920 -> 00:06:57,959] 和做内建最有用的事情
[00:06:57,959 -> 00:06:59,079] 我举一个自己的例子
[00:06:59,079 -> 00:07:00,399] 我在Facebook第一年
[00:07:00,399 -> 00:07:02,120] 我回想当时做的很多工作
[00:07:02,120 -> 00:07:04,319] 我觉得就是可以被拆除背地取代的
[00:07:04,319 -> 00:07:06,839] 要想那个时候我已经受过博士教育了
[00:07:06,839 -> 00:07:08,240] 在亚马逊工作了两年
[00:07:08,399 -> 00:07:09,680] 我不是一个菜鸟了
[00:07:09,879 -> 00:07:11,040] 我去那以后
[00:07:11,199 -> 00:07:13,279] 我写了很多各种各样的分析
[00:07:13,279 -> 00:07:15,279] 这些各种分析也挺深入的
[00:07:15,279 -> 00:07:17,560] 也有采用各种各样的方法
[00:07:17,560 -> 00:07:19,560] 方法也很严谨也很高级
[00:07:19,800 -> 00:07:22,319] 我们组里刚入职的一个程序员来跟我说
[00:07:22,519 -> 00:07:25,279] 就是外星人这些分析都很棒
[00:07:25,279 -> 00:07:26,240] 我也学到了很多东西
[00:07:26,240 -> 00:07:27,959] 但是你能不能告诉我接下来应该干嘛
[00:07:27,959 -> 00:07:28,959] 我一开始是觉得
[00:07:28,959 -> 00:07:30,360] 我应该告诉你接下来干嘛
[00:07:30,360 -> 00:07:31,720] 你自己不应该知道嘛
[00:07:31,759 -> 00:07:33,319] 但后来想难道我的作用
[00:07:33,319 -> 00:07:34,800] 不就是这个团队的大脑吗
[00:07:34,800 -> 00:07:36,240] 我就是应该告诉每个人
[00:07:36,240 -> 00:07:37,920] 我觉得你应该干嘛
[00:07:37,920 -> 00:07:39,160] 我起码对每一个人
[00:07:39,160 -> 00:07:40,480] 应该把时间花在哪里
[00:07:40,480 -> 00:07:41,680] 有一个自己的想法
[00:07:41,720 -> 00:07:43,399] 这才是一个合格的DS
[00:07:43,560 -> 00:07:44,680] 那我就去想
[00:07:44,720 -> 00:07:46,680] 我当时欠缺的是什么
[00:07:46,680 -> 00:07:48,560] 我当时欠缺的就是不知道本质
[00:07:48,600 -> 00:07:51,399] 我对怎么决策决策的重要因素不知道
[00:07:51,399 -> 00:07:52,600] 是我对这件事情
[00:07:52,639 -> 00:07:54,639] 运用的批判性思维是不够的
[00:07:54,680 -> 00:07:56,680] 好在有自己一个大模型
[00:07:56,680 -> 00:07:58,519] 所以说我后来就努力的去在
[00:07:58,519 -> 00:08:00,040] 提高自己这方面的能力
[00:08:00,040 -> 00:08:02,439] 我的很多视频也是关于这方面
[00:08:02,480 -> 00:08:04,759] 现在我也会去看一个人
[00:08:04,759 -> 00:08:08,399] 他的分析到底是对业务形成参考
[00:08:08,399 -> 00:08:11,040] 还是他真的知道这个业务怎么做好
[00:08:11,040 -> 00:08:11,839] 怎么做不好
[00:08:11,839 -> 00:08:13,279] 我相信所有的DS
[00:08:13,279 -> 00:08:15,779] 你如果给他相应的freedom
[00:08:15,779 -> 00:08:17,279] 给他相应的authority
[00:08:17,279 -> 00:08:19,079] 或者说是起码是授权
[00:08:19,079 -> 00:08:20,379] 让他真的去思考
[00:08:20,379 -> 00:08:23,819] 很多DS都是能对自己业务有一个想法的
[00:08:23,819 -> 00:08:26,339] 就是我觉得你应该去做A而不是應該去做B
[00:08:26,339 -> 00:08:28,139] 而且大家都有這個能力就是說
[00:08:28,139 -> 00:08:29,540] 當我發現A不對的時候
[00:08:29,540 -> 00:08:31,040] 我能識別到A是不對的
[00:08:31,040 -> 00:08:32,940] 我能去找到那個對的答案
[00:08:32,940 -> 00:08:34,740] 這就是批判性思維
[00:08:34,740 -> 00:08:36,840] 所以說例子就到此為止
[00:08:36,840 -> 00:08:39,279] 我更多的東西去看文章
[00:08:39,279 -> 00:08:41,419] 批判性思維是很重要的
[00:08:41,419 -> 00:08:44,919] 請大家現在就盡快的停止搬磚
[00:08:44,919 -> 00:08:46,360] 你有孩子去上補習班
[00:08:46,360 -> 00:08:47,840] 不要讓他去上補習班了
[00:08:47,840 -> 00:08:49,919] 去想方設法做腦藝人
[00:08:49,919 -> 00:08:54,000] 做腦藝人的方式就是去提高自己的批判性思維
[00:08:54,000 -> 00:08:57,600] 如果大家真的想去學習怎麼樣子提高批判性思維了
[00:08:57,600 -> 00:09:02,600] 我覺得我在過去的十幾年的學生和工作中
[00:09:02,600 -> 00:09:04,039] 也積累了很多想法
[00:09:04,039 -> 00:09:05,639] 可能會專門出一系列视频
[00:09:05,639 -> 00:09:07,000] 那就看大家的喜好了
[00:09:07,000 -> 00:09:08,720] 那这期视频我们就到这里
[00:09:08,720 -> 00:09:09,320] 下期再见
[00:09:09,320 -> 00:09:09,799] 拜拜
